sample,breed,BioProject,BioSample,Organism,sex
B,Mallard,PRJNA450892,SAMN08952581,Anas_platyrhynchos,male
C,Mallard,PRJNA450892,SAMN08952582,Anas_platyrhynchos,male
D,Mallard,PRJNA450892,SAMN08952583,Anas_platyrhynchos,male
1-2a,Pekin duck,PRJNA450892,SAMN08952620,Anas_platyrhynchos,female
1-2b,Pekin duck,PRJNA450892,SAMN08952621,Anas_platyrhynchos,male
1-3a,Pekin duck,PRJNA450892,SAMN08952622,Anas_platyrhynchos,female
1-3b,Pekin duck,PRJNA450892,SAMN08952623,Anas_platyrhynchos,male
2-1a,Pekin duck,PRJNA450892,SAMN08952624,Anas_platyrhynchos,female
2-1b,Pekin duck,PRJNA450892,SAMN08952625,Anas_platyrhynchos,male
2-2a,Pekin duck,PRJNA450892,SAMN08952626,Anas_platyrhynchos,female
2-2b,Pekin duck,PRJNA450892,SAMN08952627,Anas_platyrhynchos,male
2-3a,Pekin duck,PRJNA450892,SAMN08952628,Anas_platyrhynchos,female
2-3b,Pekin duck,PRJNA450892,SAMN08952629,Anas_platyrhynchos,male
5-3a,Pekin duck,PRJNA450892,SAMN08952630,Anas_platyrhynchos,female
5-3b,Pekin duck,PRJNA450892,SAMN08952631,Anas_platyrhynchos,male
PK-10,Pekin duck,PRJNA450892,SAMN08952632,Anas_platyrhynchos,male
PK-11,Pekin duck,PRJNA450892,SAMN08952633,Anas_platyrhynchos,male
PK-12,Pekin duck,PRJNA450892,SAMN08952634,Anas_platyrhynchos,male
PK-13,Pekin duck,PRJNA450892,SAMN08952635,Anas_platyrhynchos,male
PK-14,Pekin duck,PRJNA450892,SAMN08952636,Anas_platyrhynchos,male
PK-2,Pekin duck,PRJNA450892,SAMN08952637,Anas_platyrhynchos,female
PK-3,Pekin duck,PRJNA450892,SAMN08952638,Anas_platyrhynchos,female
PK-4,Pekin duck,PRJNA450892,SAMN08952639,Anas_platyrhynchos,female
PK-5,Pekin duck,PRJNA450892,SAMN08952640,Anas_platyrhynchos,female
PK-6,Pekin duck,PRJNA450892,SAMN08952641,Anas_platyrhynchos,female
yz-1a,Pekin duck,PRJNA450892,SAMN08952642,Anas_platyrhynchos,female
yz-1b,Pekin duck,PRJNA450892,SAMN08952643,Anas_platyrhynchos,male
yz-2a,Pekin duck,PRJNA450892,SAMN08952644,Anas_platyrhynchos,female
yz-2b,Pekin duck,PRJNA450892,SAMN08952645,Anas_platyrhynchos,male
yz-3a,Pekin duck,PRJNA450892,SAMN08952646,Anas_platyrhynchos,female
yz-3b,Pekin duck,PRJNA450892,SAMN08952647,Anas_platyrhynchos,male
yz-4a,Pekin duck,PRJNA450892,SAMN08952648,Anas_platyrhynchos,female
yz-4b,Pekin duck,PRJNA450892,SAMN08952649,Anas_platyrhynchos,male
GY1,Gaoyou duck,PRJNA450892,SAMN08952587,Anas_platyrhynchos,male
GY2,Gaoyou duck,PRJNA450892,SAMN08952588,Anas_platyrhynchos,female
GY-ci3,Gaoyou duck,PRJNA450892,SAMN08952589,Anas_platyrhynchos,female
GA1,Ji'an red duck,PRJNA450892,SAMN08952584,Anas_platyrhynchos,male
GA2,Ji'an red duck,PRJNA450892,SAMN08952585,Anas_platyrhynchos,female
GA-ci2,Ji'an red duck,PRJNA450892,SAMN08952586,Anas_platyrhynchos,female
JD1,Jinding duck,PRJNA450892,SAMN08952590,Anas_platyrhynchos,male
JD2,Jinding duck,PRJNA450892,SAMN08952591,Anas_platyrhynchos,female
JD-ci2,Jinding duck,PRJNA450892,SAMN08952592,Anas_platyrhynchos,female
LC1,Liancheng white duck,PRJNA450892,SAMN08952593,Anas_platyrhynchos,male
LC2,Liancheng white duck,PRJNA450892,SAMN08952594,Anas_platyrhynchos,female
LC-ci2,Liancheng white duck,PRJNA450892,SAMN08952595,Anas_platyrhynchos,female
LS1,Longsheng jade-green duck,PRJNA450892,SAMN08952596,Anas_platyrhynchos,male
LS2,Longsheng jade-green duck,PRJNA450892,SAMN08952597,Anas_platyrhynchos,female
LS-ci2,Longsheng jade-green duck,PRJNA450892,SAMN08952598,Anas_platyrhynchos,female
MW1,Mawang duck,PRJNA450892,SAMN08952599,Anas_platyrhynchos,male
MW2,Mawang duck,PRJNA450892,SAMN08952600,Anas_platyrhynchos,female
MW-ci2,Mawang duck,PRJNA450892,SAMN08952601,Anas_platyrhynchos,female
PT1,Putian black duck,PRJNA450892,SAMN08952602,Anas_platyrhynchos,male
PT2,Putian black duck,PRJNA450892,SAMN08952603,Anas_platyrhynchos,female
PT-ci2,Putian black duck,PRJNA450892,SAMN08952604,Anas_platyrhynchos,female
SS1,Sansui duck,PRJNA450892,SAMN08952608,Anas_platyrhynchos,male
SS2,Sansui duck,PRJNA450892,SAMN08952609,Anas_platyrhynchos,female
SS-ci2,Sansui duck,PRJNA450892,SAMN08952610,Anas_platyrhynchos,female
SM1,Shan sheldrake,PRJNA450892,SAMN08952605,Anas_platyrhynchos,male
SM2,Shan sheldrake,PRJNA450892,SAMN08952606,Anas_platyrhynchos,female
SM-ci2,Shan sheldrake,PRJNA450892,SAMN08952607,Anas_platyrhynchos,female
SX1,Shaoxing duck,PRJNA450892,SAMN08952611,Anas_platyrhynchos,male
SX2,Shaoxing duck,PRJNA450892,SAMN08952612,Anas_platyrhynchos,female
SX-ci2,Shaoxing duck,PRJNA450892,SAMN08952613,Anas_platyrhynchos,female
TW1,Taiwan duck,PRJNA450892,SAMN08952614,Anas_platyrhynchos,male
TW2,Taiwan duck,PRJNA450892,SAMN08952615,Anas_platyrhynchos,female
TW-ci2,Taiwan duck,PRJNA450892,SAMN08952616,Anas_platyrhynchos,female
YX1,Youxian sheldrake,PRJNA450892,SAMN08952617,Anas_platyrhynchos,male
YX2,Youxian sheldrake,PRJNA450892,SAMN08952618,Anas_platyrhynchos,female
YX-ci2,Youxian sheldrake,PRJNA450892,SAMN08952619,Anas_platyrhynchos,female
