BioProject,BioSample,Organism,sex,Locality,Province,Sample Name,Population,Continent,Country,Submitter_ID,Latitude,Longitude,refGenome
PRJNA304164,SAMN04296362,Parus_major,male,Loch Lomond,NA,NA,NA,Europe,Scotland,235,56.08,-4.37,GCF_001522545.3
PRJNA304164,SAMN04296363,Parus_major,male,Mariola,NA,NA,NA,Europe,Spain,1280,38.44,-0.33,GCF_001522545.3
PRJNA304164,SAMN04296364,Parus_major,male,Font Roja,NA,NA,NA,Europe,Spain,1235,38.39,-0.32,GCF_001522545.3
PRJNA304164,SAMN04296365,Parus_major,male,Gotland,NA,NA,NA,Europe,Sweden,105,57.05,18.18,GCF_001522545.3
PRJNA304164,SAMN04296376,Parus_major,male,NA,NA,NA,NA,Europe,NA,836,NA,NA,GCF_001522545.3
PRJNA304164,SAMN04296366,Parus_major,male,"Wytham Woods, Oxford",NA,NA,NA,Europe,United Kingdom,TL38228,51.77,-1.34,GCF_001522545.3
PRJNA304164,SAMN04296367,Parus_major,male,"Wytham Woods, Oxford",NA,NA,NA,Europe,United Kingdom,TL38138,51.77,-1.34,GCF_001522545.3
PRJNA304164,SAMN04296368,Parus_major,male,"Wytham Woods, Oxford",NA,NA,NA,Europe,United Kingdom,TL38197,51.77,-1.34,GCF_001522545.3
PRJNA304164,SAMN04296369,Parus_major,female,"Wytham Woods, Oxford",NA,NA,NA,Europe,United Kingdom,TL38174,51.77,-1.34,GCF_001522545.3
PRJNA304164,SAMN04296370,Parus_major,male,"Wytham Woods, Oxford",NA,NA,NA,Europe,United Kingdom,TL38215,51.77,-1.34,GCF_001522545.3
PRJNA304164,SAMN04296371,Parus_major,female,"Wytham Woods, Oxford",NA,NA,NA,Europe,United Kingdom,TL38187,51.77,-1.34,GCF_001522545.3
PRJNA304164,SAMN04296372,Parus_major,male,"Wytham Woods, Oxford",NA,NA,NA,Europe,United Kingdom,TL39629,51.77,-1.34,GCF_001522545.3
PRJNA304164,SAMN04296373,Parus_major,female,"Wytham Woods, Oxford",NA,NA,NA,Europe,United Kingdom,TL39600,51.77,-1.34,GCF_001522545.3
PRJNA304164,SAMN04296374,Parus_major,male,"Wytham Woods, Oxford",NA,NA,NA,Europe,United Kingdom,TL39399,51.77,-1.34,GCF_001522545.3
PRJNA304164,SAMN04296375,Parus_major,female,"Wytham Woods, Oxford",NA,NA,NA,Europe,United Kingdom,TL39490,51.77,-1.34,GCF_001522545.3
