BioProject,BioSample,Organism,sex,Submitter_Id,Population,lat_lon,Collection_date,Phenotype,refGenome,refSpecies
PRJNA323589,SAMN05930523,Fundulus_heteroclitus,male,F-29,Flax Pond,40.9637 N 73.1342 W,2008-11-23,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930520,Fundulus_heteroclitus,female,F-26,Flax Pond,40.9637 N 73.1342 W,2008-11-23,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930521,Fundulus_heteroclitus,male,F-27,Flax Pond,40.9637 N 73.1342 W,2008-11-23,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930511,Fundulus_heteroclitus,male,F-18,Flax Pond,40.9637 N 73.1342 W,2008-11-23,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930510,Fundulus_heteroclitus,female,F-17,Flax Pond,40.9637 N 73.1342 W,2008-11-23,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930515,Fundulus_heteroclitus,male,F-21,Flax Pond,40.9637 N 73.1342 W,2008-11-23,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930514,Fundulus_heteroclitus,female,F-20,Flax Pond,40.9637 N 73.1342 W,2008-11-23,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930513,Fundulus_heteroclitus,female,F-1,Flax Pond,40.9637 N 73.1342 W,2008-11-23,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930512,Fundulus_heteroclitus,female,F-19,Flax Pond,40.9637 N 73.1342 W,2008-11-23,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930519,Fundulus_heteroclitus,female,F-25,Flax Pond,40.9637 N 73.1342 W,2008-11-23,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930518,Fundulus_heteroclitus,male,F-24,Flax Pond,40.9637 N 73.1342 W,2008-11-23,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930517,Fundulus_heteroclitus,male,F-23,Flax Pond,40.9637 N 73.1342 W,2008-11-23,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930419,Fundulus_heteroclitus,female,BP-24,Bridgeport,41.1570 N 73.2189 W,2008-12-17,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930420,Fundulus_heteroclitus,female,BP-25,Bridgeport,41.1570 N 73.2189 W,2008-12-17,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930417,Fundulus_heteroclitus,female,BP-22,Bridgeport,41.1570 N 73.2189 W,2008-12-17,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930418,Fundulus_heteroclitus,female,BP-23,Bridgeport,41.1570 N 73.2189 W,2008-12-17,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930415,Fundulus_heteroclitus,male,BP-20,Bridgeport,41.1570 N 73.2189 W,2008-12-17,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930413,Fundulus_heteroclitus,female,BP-19,Bridgeport,41.1570 N 73.2189 W,2008-12-17,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930414,Fundulus_heteroclitus,female,BP-1,Bridgeport,41.1570 N 73.2189 W,2008-12-17,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930411,Fundulus_heteroclitus,male,BP-17,Bridgeport,41.1570 N 73.2189 W,2008-12-17,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930537,Fundulus_heteroclitus,male,F-45,Flax Pond,40.9637 N 73.1342 W,2008-11-23,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930536,Fundulus_heteroclitus,male,F-44,Flax Pond,40.9637 N 73.1342 W,2008-11-23,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930539,Fundulus_heteroclitus,female,F-47,Flax Pond,40.9637 N 73.1342 W,2008-11-23,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930538,Fundulus_heteroclitus,female,F-46,Flax Pond,40.9637 N 73.1342 W,2008-11-23,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930533,Fundulus_heteroclitus,female,F-41,Flax Pond,40.9637 N 73.1342 W,2008-11-23,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930532,Fundulus_heteroclitus,female,F-40,Flax Pond,40.9637 N 73.1342 W,2008-11-23,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930535,Fundulus_heteroclitus,male,F-43,Flax Pond,40.9637 N 73.1342 W,2008-11-23,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930534,Fundulus_heteroclitus,female,F-42,Flax Pond,40.9637 N 73.1342 W,2008-11-23,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930531,Fundulus_heteroclitus,male,F-39,Flax Pond,40.9637 N 73.1342 W,2008-11-23,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930451,Fundulus_heteroclitus,male,BP-7,Bridgeport,41.1570 N 73.2189 W,2008-12-17,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930452,Fundulus_heteroclitus,male,BP-8,Bridgeport,41.1570 N 73.2189 W,2008-12-17,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930540,Fundulus_heteroclitus,male,F-49,Flax Pond,40.9637 N 73.1342 W,2008-11-23,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930541,Fundulus_heteroclitus,female,F-4,Flax Pond,40.9637 N 73.1342 W,2008-11-23,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930542,Fundulus_heteroclitus,male,F-50,Flax Pond,40.9637 N 73.1342 W,2008-11-23,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930543,Fundulus_heteroclitus,female,F-51,Flax Pond,40.9637 N 73.1342 W,2008-11-23,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930544,Fundulus_heteroclitus,female,F-52,Flax Pond,40.9637 N 73.1342 W,2008-11-23,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930545,Fundulus_heteroclitus,female,F-53,Flax Pond,40.9637 N 73.1342 W,2008-11-23,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930546,Fundulus_heteroclitus,female,F-54,Flax Pond,40.9637 N 73.1342 W,2008-11-23,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930547,Fundulus_heteroclitus,male,F-5,Flax Pond,40.9637 N 73.1342 W,2008-11-23,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930548,Fundulus_heteroclitus,female,F-6,Flax Pond,40.9637 N 73.1342 W,2008-11-23,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930549,Fundulus_heteroclitus,female,F-7,Flax Pond,40.9637 N 73.1342 W,2008-11-23,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930637,Fundulus_heteroclitus,female,NBH-47,New Bedford Harbor,41.6676 N 70.9159 W,2008-07-22,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930638,Fundulus_heteroclitus,female,NBH-48,New Bedford Harbor,41.6676 N 70.9159 W,2008-07-22,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930551,Fundulus_heteroclitus,male,F-9,Flax Pond,40.9637 N 73.1342 W,2008-11-23,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930550,Fundulus_heteroclitus,female,F-8,Flax Pond,40.9637 N 73.1342 W,2008-11-23,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930606,Fundulus_heteroclitus,female,NBH-18,New Bedford Harbor,41.6676 N 70.9159 W,2008-07-22,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930605,Fundulus_heteroclitus,female,NBH-17,New Bedford Harbor,41.6676 N 70.9159 W,2008-07-22,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930604,Fundulus_heteroclitus,female,NBH-16,New Bedford Harbor,41.6676 N 70.9159 W,2008-07-22,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930603,Fundulus_heteroclitus,female,NBH-14,New Bedford Harbor,41.6676 N 70.9159 W,2008-07-22,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930602,Fundulus_heteroclitus,male,NBH-13,New Bedford Harbor,41.6676 N 70.9159 W,2008-07-22,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930601,Fundulus_heteroclitus,female,NBH-12,New Bedford Harbor,41.6676 N 70.9159 W,2008-07-22,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930599,Fundulus_heteroclitus,male,NBH-10,New Bedford Harbor,41.6676 N 70.9159 W,2008-07-22,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930366,Fundulus_heteroclitus,male,BI-23,Block Island,41.1818 N 71.5793 W,2011-08-04,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930365,Fundulus_heteroclitus,male,BI-22,Block Island,41.1818 N 71.5793 W,2011-08-04,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930364,Fundulus_heteroclitus,male,BI-21,Block Island,41.1818 N 71.5793 W,2011-08-04,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930363,Fundulus_heteroclitus,male,BI-20,Block Island,41.1818 N 71.5793 W,2011-08-04,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930370,Fundulus_heteroclitus,male,BI-27,Block Island,41.1818 N 71.5793 W,2011-08-04,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930369,Fundulus_heteroclitus,male,BI-26,Block Island,41.1818 N 71.5793 W,2011-08-04,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930368,Fundulus_heteroclitus,male,BI-25,Block Island,41.1818 N 71.5793 W,2011-08-04,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930367,Fundulus_heteroclitus,male,BI-24,Block Island,41.1818 N 71.5793 W,2011-08-04,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930639,Fundulus_heteroclitus,female,NBH-49,New Bedford Harbor,41.6676 N 70.9159 W,2008-07-22,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930640,Fundulus_heteroclitus,female,NBH-4,New Bedford Harbor,41.6676 N 70.9159 W,2008-07-22,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930641,Fundulus_heteroclitus,female,NBH-56,New Bedford Harbor,41.6676 N 70.9159 W,2008-07-22,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930362,Fundulus_heteroclitus,male,BI-19,Block Island,41.1818 N 71.5793 W,2011-08-04,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930361,Fundulus_heteroclitus,male,BI-17,Block Island,41.1818 N 71.5793 W,2011-08-04,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930645,Fundulus_heteroclitus,male,NBH-8,New Bedford Harbor,41.6676 N 70.9159 W,2008-07-22,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930646,Fundulus_heteroclitus,male,NBH-9,New Bedford Harbor,41.6676 N 70.9159 W,2008-07-22,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930442,Fundulus_heteroclitus,male,BP-48,Bridgeport,41.1570 N 73.2189 W,2008-12-17,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930441,Fundulus_heteroclitus,female,BP-47,Bridgeport,41.1570 N 73.2189 W,2008-12-17,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930446,Fundulus_heteroclitus,male,BP-51,Bridgeport,41.1570 N 73.2189 W,2008-12-17,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930445,Fundulus_heteroclitus,male,BP-50,Bridgeport,41.1570 N 73.2189 W,2008-12-17,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930444,Fundulus_heteroclitus,female,BP-4,Bridgeport,41.1570 N 73.2189 W,2008-12-17,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930443,Fundulus_heteroclitus,male,BP-49,Bridgeport,41.1570 N 73.2189 W,2008-12-17,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930450,Fundulus_heteroclitus,male,BP-6,Bridgeport,41.1570 N 73.2189 W,2008-12-17,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930448,Fundulus_heteroclitus,male,BP-53,Bridgeport,41.1570 N 73.2189 W,2008-12-17,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930447,Fundulus_heteroclitus,male,BP-52,Bridgeport,41.1570 N 73.2189 W,2008-12-17,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930644,Fundulus_heteroclitus,female,NBH-7,New Bedford Harbor,41.6676 N 70.9159 W,2008-07-22,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930381,Fundulus_heteroclitus,male,BI-38,Block Island,41.1818 N 71.5793 W,2011-08-04,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930384,Fundulus_heteroclitus,female,BI-41,Block Island,41.1818 N 71.5793 W,2011-08-04,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930383,Fundulus_heteroclitus,female,BI-40,Block Island,41.1818 N 71.5793 W,2011-08-04,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930386,Fundulus_heteroclitus,female,BI-43,Block Island,41.1818 N 71.5793 W,2011-08-04,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930385,Fundulus_heteroclitus,female,BI-42,Block Island,41.1818 N 71.5793 W,2011-08-04,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930388,Fundulus_heteroclitus,male,BI-45,Block Island,41.1818 N 71.5793 W,2011-08-04,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930387,Fundulus_heteroclitus,female,BI-44,Block Island,41.1818 N 71.5793 W,2011-08-04,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930390,Fundulus_heteroclitus,female,BI-47,Block Island,41.1818 N 71.5793 W,2011-08-04,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930607,Fundulus_heteroclitus,female,NBH-19,New Bedford Harbor,41.6676 N 70.9159 W,2008-07-22,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930608,Fundulus_heteroclitus,female,NBH-1,New Bedford Harbor,41.6676 N 70.9159 W,2008-07-22,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930611,Fundulus_heteroclitus,male,NBH-22,New Bedford Harbor,41.6676 N 70.9159 W,2008-07-22,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930612,Fundulus_heteroclitus,female,NBH-23,New Bedford Harbor,41.6676 N 70.9159 W,2008-07-22,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930609,Fundulus_heteroclitus,male,NBH-20,New Bedford Harbor,41.6676 N 70.9159 W,2008-07-22,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930610,Fundulus_heteroclitus,male,NBH-21,New Bedford Harbor,41.6676 N 70.9159 W,2008-07-22,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930615,Fundulus_heteroclitus,male,NBH-26,New Bedford Harbor,41.6676 N 70.9159 W,2008-07-22,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930616,Fundulus_heteroclitus,male,NBH-27,New Bedford Harbor,41.6676 N 70.9159 W,2008-07-22,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930613,Fundulus_heteroclitus,male,NBH-24,New Bedford Harbor,41.6676 N 70.9159 W,2008-07-22,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930614,Fundulus_heteroclitus,female,NBH-25,New Bedford Harbor,41.6676 N 70.9159 W,2008-07-22,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930357,Fundulus_heteroclitus,male,BI-11,Block Island,41.1818 N 71.5793 W,2011-08-04,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930358,Fundulus_heteroclitus,male,BI-12,Block Island,41.1818 N 71.5793 W,2011-08-04,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930359,Fundulus_heteroclitus,male,BI-14,Block Island,41.1818 N 71.5793 W,2011-08-04,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930360,Fundulus_heteroclitus,male,BI-15,Block Island,41.1818 N 71.5793 W,2011-08-04,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930506,Fundulus_heteroclitus,female,F-13,Flax Pond,40.9637 N 73.1342 W,2008-11-23,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930356,Fundulus_heteroclitus,male,BI-10,Block Island,41.1818 N 71.5793 W,2011-08-04,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930431,Fundulus_heteroclitus,female,BP-38,Bridgeport,41.1570 N 73.2189 W,2008-12-17,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930432,Fundulus_heteroclitus,female,BP-39,Bridgeport,41.1570 N 73.2189 W,2008-12-17,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930437,Fundulus_heteroclitus,female,BP-43,Bridgeport,41.1570 N 73.2189 W,2008-12-17,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930438,Fundulus_heteroclitus,male,BP-44,Bridgeport,41.1570 N 73.2189 W,2008-12-17,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930439,Fundulus_heteroclitus,female,BP-45,Bridgeport,41.1570 N 73.2189 W,2008-12-17,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930433,Fundulus_heteroclitus,female,BP-3,Bridgeport,41.1570 N 73.2189 W,2008-12-17,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930434,Fundulus_heteroclitus,female,BP-40,Bridgeport,41.1570 N 73.2189 W,2008-12-17,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930435,Fundulus_heteroclitus,male,BP-41,Bridgeport,41.1570 N 73.2189 W,2008-12-17,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930436,Fundulus_heteroclitus,male,BP-42,Bridgeport,41.1570 N 73.2189 W,2008-12-17,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930507,Fundulus_heteroclitus,male,F-14,Flax Pond,40.9637 N 73.1342 W,2008-11-23,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930371,Fundulus_heteroclitus,male,BI-28,Block Island,41.1818 N 71.5793 W,2011-08-04,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930372,Fundulus_heteroclitus,male,BI-29,Block Island,41.1818 N 71.5793 W,2011-08-04,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930375,Fundulus_heteroclitus,female,BI-32,Block Island,41.1818 N 71.5793 W,2011-08-04,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930376,Fundulus_heteroclitus,female,BI-33,Block Island,41.1818 N 71.5793 W,2011-08-04,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930374,Fundulus_heteroclitus,male,BI-30,Block Island,41.1818 N 71.5793 W,2011-08-04,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930379,Fundulus_heteroclitus,female,BI-36,Block Island,41.1818 N 71.5793 W,2011-08-04,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930380,Fundulus_heteroclitus,female,BI-37,Block Island,41.1818 N 71.5793 W,2011-08-04,Sensitive,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930618,Fundulus_heteroclitus,female,NBH-29,New Bedford Harbor,41.6676 N 70.9159 W,2008-07-22,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930617,Fundulus_heteroclitus,male,NBH-28,New Bedford Harbor,41.6676 N 70.9159 W,2008-07-22,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930620,Fundulus_heteroclitus,female,NBH-30,New Bedford Harbor,41.6676 N 70.9159 W,2008-07-22,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930619,Fundulus_heteroclitus,male,NBH-2,New Bedford Harbor,41.6676 N 70.9159 W,2008-07-22,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
PRJNA323589,SAMN05930621,Fundulus_heteroclitus,male,NBH-31,New Bedford Harbor,41.6676 N 70.9159 W,2008-07-22,Tolerant,GCF_011125445.2,Fundulus_heteroclitus
