BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	AGE	Biomaterial_provider	Collection_date	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Sample_Name	Strain	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	store_cond	birth_location	Alias	AssemblyName	Description	ENA_CHECKLIST	birth_date	use_species
PRJEB27649	ERR2697535	WGS	194	9987261126	SAMEA4785151	4468566906	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711928	Illumina HiSeq 2000	unspecified	PAIRED	PCR	GENOMIC	Passer_domesticus	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785151	ERP109758	NA	missing	NA	NA	NA	NA	NA	NA	NA	NA	NA	ERS2605089	NA	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:54Z	2018-07-11T09:24:40Z	public	ERS2605089	8934547	NA	NA	8934547	GCA_001700915.1	House sparrow\, M\, Aldra\, Norway	ERC000011	NA	1
PRJEB27649	ERR2697536	WGS	192	10666918306	SAMEA4785152	4875088967	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711929	Illumina HiSeq 2000	unspecified	PAIRED	PCR	GENOMIC	Passer_domesticus	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785152	ERP109758	NA	missing	NA	NA	NA	NA	NA	NA	NA	NA	NA	ERS2605090	NA	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:54Z	2018-07-11T09:24:40Z	public	ERS2605090	8L19766	NA	NA	8L19766	GCA_001700915.1	House sparrow\, M\, Aldra\, Norway	ERC000011	NA	1
PRJEB27649	ERR2697537	WGS	193	11526625359	SAMEA4785153	5199554296	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711930	Illumina HiSeq 2000	unspecified	PAIRED	PCR	GENOMIC	Passer_domesticus	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785153	ERP109758	NA	missing	NA	NA	NA	NA	NA	NA	NA	NA	NA	ERS2605091	NA	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:54Z	2018-07-11T09:24:40Z	public	ERS2605091	8L52830	NA	NA	8L52830	GCA_001700915.1	House sparrow\, M\, Aldra\, Norway	ERC000011	NA	1
PRJEB27649	ERR2697538	WGS	193	11452801555	SAMEA4785154	4971714298	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711931	Illumina HiSeq 2000	unspecified	PAIRED	PCR	GENOMIC	Passer_domesticus	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785154	ERP109758	NA	missing	NA	NA	NA	NA	NA	NA	NA	NA	NA	ERS2605092	NA	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:54Z	2018-07-11T09:24:40Z	public	ERS2605092	8N05240	NA	NA	8N05240	GCA_001700915.1	House sparrow\, M\, Aldra\, Norway	ERC000011	NA	1
PRJEB27649	ERR2697471	WGS	298	27501135156	SAMEA4785087	10385450265	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711864	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_domesticus	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785087	ERP109758	NA	missing	NA	NA	NA	NA	NA	NA	NA	NA	NA	ERS2605025	NA	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605025	FR061	NA	NA	FR061	GCA_001700915.1	House sparrow\, F\, Sales_France	ERC000011	NA	1
PRJNA255814	SRR5407744	WGS	200	16647794000	SAMN02929199	11049380374	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2700193	Illumina HiSeq 2000	HI.1031.001.Index_16.Sparrow_8887266_2	PAIRED	RANDOM	GENOMIC	Passer_domesticus	ILLUMINA	2017-04-03T00:00:00Z	8887266	SRP045123	Model organism or animal	female	Whole blood	8887266	Newly fledged	Juvenile (ca. 20 days)	Henrik Jensen\, Department of Biology\, Norwegian University of Science and Technology\, 7491 Trondheim\, Norway	2002-08-08	Norway	Europe	Norway: Luroey municipality\, Aldra	NA	missing	NA	NA	NA	NA	NA	NA	NA	NA	NA	25 uL blood was stored in 1 mL 100% ethanol, in a 1.5 mL Sarstedt micro tube, in room temperature; isolated November 2012	Norway: Luroey municipality: Aldra	NA	NA	NA	NA	Ca. July 19th 2002	1
PRJNA255814	SRR5407747	WGS	200	19191744800	SAMN02929199	12867776534	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2700196	Illumina HiSeq 2000	HI.1031.001.Index_18.Sparrow_8887266_3	PAIRED	RANDOM	GENOMIC	Passer_domesticus	ILLUMINA	2017-04-03T00:00:00Z	8887266	SRP045123	Model organism or animal	female	Whole blood	8887266	Newly fledged	Juvenile (ca. 20 days)	Henrik Jensen\, Department of Biology\, Norwegian University of Science and Technology\, 7491 Trondheim\, Norway	2002-08-08	Norway	Europe	Norway: Luroey municipality\, Aldra	NA	missing	NA	NA	NA	NA	NA	NA	NA	NA	NA	25 uL blood was stored in 1 mL 100% ethanol, in a 1.5 mL Sarstedt micro tube, in room temperature; isolated November 2012	Norway: Luroey municipality: Aldra	NA	NA	NA	NA	Ca. July 19th 2002	1
PRJNA255814	SRR5407748	WGS	202	30428395038	SAMN02929199	23645404158	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2700197	Illumina HiSeq 2000	Satre-SparrowgDNA-8887266_NoIndex_L002	PAIRED	RANDOM	GENOMIC	Passer_domesticus	ILLUMINA	2017-04-03T00:00:00Z	8887266	SRP045123	Model organism or animal	female	Whole blood	8887266	Newly fledged	Juvenile (ca. 20 days)	Henrik Jensen\, Department of Biology\, Norwegian University of Science and Technology\, 7491 Trondheim\, Norway	2002-08-08	Norway	Europe	Norway: Luroey municipality\, Aldra	NA	missing	NA	NA	NA	NA	NA	NA	NA	NA	NA	25 uL blood was stored in 1 mL 100% ethanol, in a 1.5 mL Sarstedt micro tube, in room temperature; isolated November 2012	Norway: Luroey municipality: Aldra	NA	NA	NA	NA	Ca. July 19th 2002	1
PRJNA255814	SRR5407749	WGS	202	30330513312	SAMN02929199	23596633403	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2700198	Illumina HiSeq 2000	Satre-SparrowgDNA-8887266_NoIndex_L001	PAIRED	RANDOM	GENOMIC	Passer_domesticus	ILLUMINA	2017-04-03T00:00:00Z	8887266	SRP045123	Model organism or animal	female	Whole blood	8887266	Newly fledged	Juvenile (ca. 20 days)	Henrik Jensen\, Department of Biology\, Norwegian University of Science and Technology\, 7491 Trondheim\, Norway	2002-08-08	Norway	Europe	Norway: Luroey municipality\, Aldra	NA	missing	NA	NA	NA	NA	NA	NA	NA	NA	NA	25 uL blood was stored in 1 mL 100% ethanol, in a 1.5 mL Sarstedt micro tube, in room temperature; isolated November 2012	Norway: Luroey municipality: Aldra	NA	NA	NA	NA	Ca. July 19th 2002	1
PRJNA255814	SRR5407745	WGS	202	24812787968	SAMN02929199	14703517571	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2700194	Illumina HiSeq 2000	Satre-sparrowMP-8887266-Spurv_TGACCA_L006	PAIRED	RANDOM	GENOMIC	Passer_domesticus	ILLUMINA	2017-04-03T00:00:00Z	8887266	SRP045123	Model organism or animal	female	Whole blood	8887266	Newly fledged	Juvenile (ca. 20 days)	Henrik Jensen\, Department of Biology\, Norwegian University of Science and Technology\, 7491 Trondheim\, Norway	2002-08-08	Norway	Europe	Norway: Luroey municipality\, Aldra	NA	missing	NA	NA	NA	NA	NA	NA	NA	NA	NA	25 uL blood was stored in 1 mL 100% ethanol, in a 1.5 mL Sarstedt micro tube, in room temperature; isolated November 2012	Norway: Luroey municipality: Aldra	NA	NA	NA	NA	Ca. July 19th 2002	1
PRJNA255814	SRR5407746	WGS	200	37481005600	SAMN02929199	25262870506	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2700195	Illumina HiSeq 2000	HI.1031.002.Index_18.Sparrow_8887266_3	PAIRED	RANDOM	GENOMIC	Passer_domesticus	ILLUMINA	2017-04-03T00:00:00Z	8887266	SRP045123	Model organism or animal	female	Whole blood	8887266	Newly fledged	Juvenile (ca. 20 days)	Henrik Jensen\, Department of Biology\, Norwegian University of Science and Technology\, 7491 Trondheim\, Norway	2002-08-08	Norway	Europe	Norway: Luroey municipality\, Aldra	NA	missing	NA	NA	NA	NA	NA	NA	NA	NA	NA	25 uL blood was stored in 1 mL 100% ethanol, in a 1.5 mL Sarstedt micro tube, in room temperature; isolated November 2012	Norway: Luroey municipality: Aldra	NA	NA	NA	NA	Ca. July 19th 2002	1
PRJNA255814	SRR5369957	WGS	200	14071019800	SAMN06619701	6313358084	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665284	Illumina HiSeq 2000	HI.1481.007.Index_16.8N73604	PAIRED	RANDOM	GENOMIC	Passer_domesticus	ILLUMINA	2017-03-24T00:00:00Z	8N73604	SRP045123	Model organism or animal	male	blood	8N73604	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369958	WGS	200	13122177000	SAMN06619700	5908320221	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665285	Illumina HiSeq 2000	HI.1481.006.Index_14.8N73248	PAIRED	RANDOM	GENOMIC	Passer_domesticus	ILLUMINA	2017-03-24T00:00:00Z	8N73248	SRP045123	Model organism or animal	male	blood	8N73248	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369959	WGS	200	11905583200	SAMN06619699	5351153806	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665286	Illumina HiSeq 2000	HI.1481.006.Index_12.8N06612	PAIRED	RANDOM	GENOMIC	Passer_domesticus	ILLUMINA	2017-03-24T00:00:00Z	8N06612	SRP045123	Model organism or animal	male	blood	8N06612	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369960	WGS	200	12860384800	SAMN06619698	5822140538	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665287	Illumina HiSeq 2000	HI.1481.005.Index_11.8N05890	PAIRED	RANDOM	GENOMIC	Passer_domesticus	ILLUMINA	2017-03-24T00:00:00Z	8N05890	SRP045123	Model organism or animal	male	blood	8N05890	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369961	WGS	200	11825613200	SAMN06619697	5317139790	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665288	Illumina HiSeq 2000	HI.1481.003.Index_5.8M72455	PAIRED	RANDOM	GENOMIC	Passer_domesticus	ILLUMINA	2017-03-24T00:00:00Z	8M72455	SRP045123	Model organism or animal	male	blood	8M72455	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369962	WGS	200	13807568400	SAMN06619696	6237254569	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665289	Illumina HiSeq 2000	HI.1481.003.Index_4.8M71932	PAIRED	RANDOM	GENOMIC	Passer_domesticus	ILLUMINA	2017-03-24T00:00:00Z	8M71932	SRP045123	Model organism or animal	male	blood	8M71932	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369963	WGS	200	13541257400	SAMN06619695	6279984506	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665290	Illumina HiSeq 2000	HI.1481.002.Index_2.8M31651	PAIRED	RANDOM	GENOMIC	Passer_domesticus	ILLUMINA	2017-03-24T00:00:00Z	8M31651	SRP045123	Model organism or animal	male	blood	8M31651	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369964	WGS	200	12762850800	SAMN06619694	5916816051	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665291	Illumina HiSeq 2000	HI.1481.002.Index_1.8L89915	PAIRED	RANDOM	GENOMIC	Passer_domesticus	ILLUMINA	2017-03-24T00:00:00Z	8L89915	SRP045123	Model organism or animal	male	blood	8L89915	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369965	WGS	200	13160673600	SAMN06619693	6085822251	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665292	Illumina HiSeq 2000	HI.1481.002.Index_27.8L64869	PAIRED	RANDOM	GENOMIC	Passer_domesticus	ILLUMINA	2017-03-24T00:00:00Z	8L64869	SRP045123	Model organism or animal	male	blood	8L64869	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369966	WGS	200	13372320200	SAMN06619692	9143694518	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665293	Illumina HiSeq 2000	HI.1452.007.Index_15.8L19786	PAIRED	RANDOM	GENOMIC	Passer_domesticus	ILLUMINA	2017-03-24T00:00:00Z	8L19786	SRP045123	Model organism or animal	male	blood	8L19786	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5407744	WGS	200	16647794000	SAMN02929199	11049380374	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2700193	Illumina HiSeq 2000	HI.1031.001.Index_16.Sparrow_8887266_2	PAIRED	RANDOM	GENOMIC	Passer_domesticus	ILLUMINA	2017-04-03T00:00:00Z	8887266	SRP045123	Model organism or animal	female	Whole blood	8887266	Newly fledged	Juvenile (ca. 20 days)	Henrik Jensen\, Department of Biology\, Norwegian University of Science and Technology\, 7491 Trondheim\, Norway	2002-08-08	Norway	Europe	Norway: Luroey municipality\, Aldra	NA	missing	NA	NA	NA	NA	NA	NA	NA	NA	NA	25 uL blood was stored in 1 mL 100% ethanol, in a 1.5 mL Sarstedt micro tube, in room temperature; isolated November 2012	Norway: Luroey municipality: Aldra	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5407747	WGS	200	19191744800	SAMN02929199	12867776534	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2700196	Illumina HiSeq 2000	HI.1031.001.Index_18.Sparrow_8887266_3	PAIRED	RANDOM	GENOMIC	Passer_domesticus	ILLUMINA	2017-04-03T00:00:00Z	8887266	SRP045123	Model organism or animal	female	Whole blood	8887266	Newly fledged	Juvenile (ca. 20 days)	Henrik Jensen\, Department of Biology\, Norwegian University of Science and Technology\, 7491 Trondheim\, Norway	2002-08-08	Norway	Europe	Norway: Luroey municipality\, Aldra	NA	missing	NA	NA	NA	NA	NA	NA	NA	NA	NA	25 uL blood was stored in 1 mL 100% ethanol, in a 1.5 mL Sarstedt micro tube, in room temperature; isolated November 2012	Norway: Luroey municipality: Aldra	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5407748	WGS	202	30428395038	SAMN02929199	23645404158	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2700197	Illumina HiSeq 2000	Satre-SparrowgDNA-8887266_NoIndex_L002	PAIRED	RANDOM	GENOMIC	Passer_domesticus	ILLUMINA	2017-04-03T00:00:00Z	8887266	SRP045123	Model organism or animal	female	Whole blood	8887266	Newly fledged	Juvenile (ca. 20 days)	Henrik Jensen\, Department of Biology\, Norwegian University of Science and Technology\, 7491 Trondheim\, Norway	2002-08-08	Norway	Europe	Norway: Luroey municipality\, Aldra	NA	missing	NA	NA	NA	NA	NA	NA	NA	NA	NA	25 uL blood was stored in 1 mL 100% ethanol, in a 1.5 mL Sarstedt micro tube, in room temperature; isolated November 2012	Norway: Luroey municipality: Aldra	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5407749	WGS	202	30330513312	SAMN02929199	23596633403	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2700198	Illumina HiSeq 2000	Satre-SparrowgDNA-8887266_NoIndex_L001	PAIRED	RANDOM	GENOMIC	Passer_domesticus	ILLUMINA	2017-04-03T00:00:00Z	8887266	SRP045123	Model organism or animal	female	Whole blood	8887266	Newly fledged	Juvenile (ca. 20 days)	Henrik Jensen\, Department of Biology\, Norwegian University of Science and Technology\, 7491 Trondheim\, Norway	2002-08-08	Norway	Europe	Norway: Luroey municipality\, Aldra	NA	missing	NA	NA	NA	NA	NA	NA	NA	NA	NA	25 uL blood was stored in 1 mL 100% ethanol, in a 1.5 mL Sarstedt micro tube, in room temperature; isolated November 2012	Norway: Luroey municipality: Aldra	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5407745	WGS	202	24812787968	SAMN02929199	14703517571	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2700194	Illumina HiSeq 2000	Satre-sparrowMP-8887266-Spurv_TGACCA_L006	PAIRED	RANDOM	GENOMIC	Passer_domesticus	ILLUMINA	2017-04-03T00:00:00Z	8887266	SRP045123	Model organism or animal	female	Whole blood	8887266	Newly fledged	Juvenile (ca. 20 days)	Henrik Jensen\, Department of Biology\, Norwegian University of Science and Technology\, 7491 Trondheim\, Norway	2002-08-08	Norway	Europe	Norway: Luroey municipality\, Aldra	NA	missing	NA	NA	NA	NA	NA	NA	NA	NA	NA	25 uL blood was stored in 1 mL 100% ethanol, in a 1.5 mL Sarstedt micro tube, in room temperature; isolated November 2012	Norway: Luroey municipality: Aldra	NA	NA	NA	NA	NA	1
