BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	Alias	Description	ENA_CHECKLIST	use_species
PRJEB10680	ERR1016712	WGS	202	4006288826	SAMEA3539932	2762997697	MPI-TUEBINGEN	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1095779	Illumina HiSeq 2000	C6_1	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2019-01-24T00:00:00Z	SAMEA3539932	ERP011965	male	ERS847081	2019-01-09	2018-11-16	NA	NA	MPI-TUEBINGEN	Max Planck Institute for Developmental Biology\, Tuebingen\, Germany	2019-01-09T17:03:13Z	2015-09-15T12:04:01Z	public	ERS847081	C6	C6	Intro Caigual	ERC000011	1
PRJEB10680	ERR1016713	WGS	198	2230025002	SAMEA3539932	1635408515	MPI-TUEBINGEN	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1095780	Illumina HiSeq 2000	C6_2	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2019-01-24T00:00:00Z	SAMEA3539932	ERP011965	male	ERS847081	2019-01-09	2018-11-16	NA	NA	MPI-TUEBINGEN	Max Planck Institute for Developmental Biology\, Tuebingen\, Germany	2019-01-09T17:03:13Z	2015-09-15T12:04:01Z	public	ERS847081	C6	C6	Intro Caigual	ERC000011	1
PRJEB10680	ERR1016714	WGS	198	5821923275	SAMEA3539933	4278215245	MPI-TUEBINGEN	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1095781	Illumina HiSeq 2000	C8_1	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2019-01-24T00:00:00Z	SAMEA3539933	ERP011965	male	ERS847082	2019-01-09	2018-11-16	NA	NA	MPI-TUEBINGEN	Max Planck Institute for Developmental Biology\, Tuebingen\, Germany	2019-01-09T17:03:13Z	2015-09-15T12:04:01Z	public	ERS847082	C8	C8	Intro Caigual	ERC000011	1
PRJEB10680	ERR1016715	WGS	197	4328326773	SAMEA3539934	3196226258	MPI-TUEBINGEN	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1095782	Illumina HiSeq 2000	C9_1	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2019-01-24T00:00:00Z	SAMEA3539934	ERP011965	male	ERS847083	2019-01-09	2018-11-16	NA	NA	MPI-TUEBINGEN	Max Planck Institute for Developmental Biology\, Tuebingen\, Germany	2019-01-09T17:03:13Z	2015-09-15T12:04:01Z	public	ERS847083	C9	C9	Intro Caigual	ERC000011	1
PRJEB10680	ERR1016716	WGS	202	2691058948	SAMEA3539935	1853060274	MPI-TUEBINGEN	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1095783	Illumina HiSeq 2000	LL1_1	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2019-01-24T00:00:00Z	SAMEA3539935	ERP011965	male	ERS847084	2019-01-09	2018-11-16	NA	NA	MPI-TUEBINGEN	Max Planck Institute for Developmental Biology\, Tuebingen\, Germany	2019-01-09T17:03:13Z	2015-09-15T12:04:01Z	public	ERS847084	LL1	LL1	Intro Lower Lalaja	ERC000011	1
PRJEB10680	ERR1016717	WGS	202	5728286710	SAMEA3539935	3720878886	MPI-TUEBINGEN	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1095784	Illumina HiSeq 2000	LL1_2	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2019-01-24T00:00:00Z	SAMEA3539935	ERP011965	male	ERS847084	2019-01-09	2018-11-16	NA	NA	MPI-TUEBINGEN	Max Planck Institute for Developmental Biology\, Tuebingen\, Germany	2019-01-09T17:03:13Z	2015-09-15T12:04:01Z	public	ERS847084	LL1	LL1	Intro Lower Lalaja	ERC000011	1
PRJEB10680	ERR1016718	WGS	202	4346819820	SAMEA3539936	2976622073	MPI-TUEBINGEN	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1095785	Illumina HiSeq 2000	LL10_1	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2019-01-24T00:00:00Z	SAMEA3539936	ERP011965	female	ERS847085	2019-01-09	2018-11-16	NA	NA	MPI-TUEBINGEN	Max Planck Institute for Developmental Biology\, Tuebingen\, Germany	2019-01-09T17:03:13Z	2015-09-15T12:04:02Z	public	ERS847085	LL10	LL10	Intro Lower Lalaja	ERC000011	1
PRJEB10680	ERR1016720	WGS	202	3274467470	SAMEA3539937	2235585965	MPI-TUEBINGEN	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1095787	Illumina HiSeq 2000	LL11_1	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2019-01-24T00:00:00Z	SAMEA3539937	ERP011965	female	ERS847086	2019-01-09	2018-11-16	NA	NA	MPI-TUEBINGEN	Max Planck Institute for Developmental Biology\, Tuebingen\, Germany	2019-01-09T17:03:13Z	2015-09-15T12:04:02Z	public	ERS847086	LL11	LL11	Intro Lower Lalaja	ERC000011	1
PRJEB10680	ERR1016721	WGS	202	3731437728	SAMEA3539937	2415661542	MPI-TUEBINGEN	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1095788	Illumina HiSeq 2000	LL11_2	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2019-01-24T00:00:00Z	SAMEA3539937	ERP011965	female	ERS847086	2019-01-09	2018-11-16	NA	NA	MPI-TUEBINGEN	Max Planck Institute for Developmental Biology\, Tuebingen\, Germany	2019-01-09T17:03:13Z	2015-09-15T12:04:02Z	public	ERS847086	LL11	LL11	Intro Lower Lalaja	ERC000011	1
PRJEB10680	ERR1016722	WGS	202	2200670416	SAMEA3539938	1516105472	MPI-TUEBINGEN	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1095789	Illumina HiSeq 2000	LL13_1	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2019-01-24T00:00:00Z	SAMEA3539938	ERP011965	female	ERS847087	2019-01-09	2018-11-16	NA	NA	MPI-TUEBINGEN	Max Planck Institute for Developmental Biology\, Tuebingen\, Germany	2019-01-09T17:03:13Z	2015-09-15T12:04:02Z	public	ERS847087	LL13	LL13	Intro Lower Lalaja	ERC000011	1
PRJEB10680	ERR1016724	WGS	202	6806317280	SAMEA3539939	4654960424	MPI-TUEBINGEN	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1095791	Illumina HiSeq 2000	LL14_1	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2019-01-24T00:00:00Z	SAMEA3539939	ERP011965	female	ERS847088	2019-01-09	2018-11-16	NA	NA	MPI-TUEBINGEN	Max Planck Institute for Developmental Biology\, Tuebingen\, Germany	2019-01-09T17:03:13Z	2015-09-15T12:04:02Z	public	ERS847088	LL14	LL14	Intro Lower Lalaja	ERC000011	1
PRJEB10680	ERR1016725	WGS	202	7718885610	SAMEA3539939	5011290018	MPI-TUEBINGEN	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1095792	Illumina HiSeq 2000	LL14_2	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2019-01-24T00:00:00Z	SAMEA3539939	ERP011965	female	ERS847088	2019-01-09	2018-11-16	NA	NA	MPI-TUEBINGEN	Max Planck Institute for Developmental Biology\, Tuebingen\, Germany	2019-01-09T17:03:13Z	2015-09-15T12:04:02Z	public	ERS847088	LL14	LL14	Intro Lower Lalaja	ERC000011	1
PRJEB10680	ERR1016726	WGS	202	2540016680	SAMEA3539940	1744977251	MPI-TUEBINGEN	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1095793	Illumina HiSeq 2000	LL2_1	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2019-01-24T00:00:00Z	SAMEA3539940	ERP011965	male	ERS847089	2019-01-09	2018-11-16	NA	NA	MPI-TUEBINGEN	Max Planck Institute for Developmental Biology\, Tuebingen\, Germany	2019-01-09T17:03:13Z	2015-09-15T12:04:02Z	public	ERS847089	LL2	LL2	Intro Lower Lalaja	ERC000011	1
PRJEB10680	ERR1016727	WGS	202	2882889258	SAMEA3539940	1878118904	MPI-TUEBINGEN	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1095794	Illumina HiSeq 2000	LL2_2	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2019-01-24T00:00:00Z	SAMEA3539940	ERP011965	male	ERS847089	2019-01-09	2018-11-16	NA	NA	MPI-TUEBINGEN	Max Planck Institute for Developmental Biology\, Tuebingen\, Germany	2019-01-09T17:03:13Z	2015-09-15T12:04:02Z	public	ERS847089	LL2	LL2	Intro Lower Lalaja	ERC000011	1
PRJEB10680	ERR1016728	WGS	202	3190287404	SAMEA3539941	2200616744	MPI-TUEBINGEN	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1095795	Illumina HiSeq 2000	LL3_1	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2019-01-24T00:00:00Z	SAMEA3539941	ERP011965	male	ERS847090	2019-01-09	2018-11-16	NA	NA	MPI-TUEBINGEN	Max Planck Institute for Developmental Biology\, Tuebingen\, Germany	2019-01-09T17:03:13Z	2015-09-15T12:04:02Z	public	ERS847090	LL3	LL3	Intro Lower Lalaja	ERC000011	1
PRJEB10680	ERR1016729	WGS	202	5288465444	SAMEA3539941	3626171301	MPI-TUEBINGEN	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1095796	Illumina HiSeq 2000	LL3_2	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2019-01-24T00:00:00Z	SAMEA3539941	ERP011965	male	ERS847090	2019-01-09	2018-11-16	NA	NA	MPI-TUEBINGEN	Max Planck Institute for Developmental Biology\, Tuebingen\, Germany	2019-01-09T17:03:13Z	2015-09-15T12:04:02Z	public	ERS847090	LL3	LL3	Intro Lower Lalaja	ERC000011	1
PRJEB10680	ERR1016730	WGS	202	6717060550	SAMEA3539941	4396921096	MPI-TUEBINGEN	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1095797	Illumina HiSeq 2000	LL3_3	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2019-01-24T00:00:00Z	SAMEA3539941	ERP011965	male	ERS847090	2019-01-09	2018-11-16	NA	NA	MPI-TUEBINGEN	Max Planck Institute for Developmental Biology\, Tuebingen\, Germany	2019-01-09T17:03:13Z	2015-09-15T12:04:02Z	public	ERS847090	LL3	LL3	Intro Lower Lalaja	ERC000011	1
PRJEB10680	ERR1016732	WGS	202	6255087762	SAMEA3539942	4087110519	MPI-TUEBINGEN	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1095799	Illumina HiSeq 2000	LL5_3	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2019-01-24T00:00:00Z	SAMEA3539942	ERP011965	female	ERS847091	2019-01-09	2018-11-16	NA	NA	MPI-TUEBINGEN	Max Planck Institute for Developmental Biology\, Tuebingen\, Germany	2019-01-09T17:03:13Z	2015-09-15T12:04:02Z	public	ERS847091	LL5	LL5	Intro Lower Lalaja	ERC000011	1
PRJEB10680	ERR1016733	WGS	202	3606893012	SAMEA3539943	2473616801	MPI-TUEBINGEN	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1095800	Illumina HiSeq 2000	LL6_1	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2019-01-24T00:00:00Z	SAMEA3539943	ERP011965	female	ERS847092	2019-01-09	2018-11-16	NA	NA	MPI-TUEBINGEN	Max Planck Institute for Developmental Biology\, Tuebingen\, Germany	2019-01-09T17:03:13Z	2015-09-15T12:04:02Z	public	ERS847092	LL6	LL6	Intro Lower Lalaja	ERC000011	1
PRJEB10680	ERR1016734	WGS	202	4035061302	SAMEA3539943	2628817575	MPI-TUEBINGEN	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1095801	Illumina HiSeq 2000	LL6_2	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2019-01-24T00:00:00Z	SAMEA3539943	ERP011965	female	ERS847092	2019-01-09	2018-11-16	NA	NA	MPI-TUEBINGEN	Max Planck Institute for Developmental Biology\, Tuebingen\, Germany	2019-01-09T17:03:13Z	2015-09-15T12:04:02Z	public	ERS847092	LL6	LL6	Intro Lower Lalaja	ERC000011	1
PRJEB10680	ERR1016735	WGS	202	2676183870	SAMEA3539944	1857026532	MPI-TUEBINGEN	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1095802	Illumina HiSeq 2000	LL7_1	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2019-01-24T00:00:00Z	SAMEA3539944	ERP011965	female	ERS847093	2019-01-09	2018-11-16	NA	NA	MPI-TUEBINGEN	Max Planck Institute for Developmental Biology\, Tuebingen\, Germany	2019-01-09T17:03:13Z	2015-09-15T12:04:02Z	public	ERS847093	LL7	LL7	Intro Lower Lalaja	ERC000011	1
PRJEB10680	ERR1016736	WGS	202	5594584526	SAMEA3539944	3702503442	MPI-TUEBINGEN	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1095803	Illumina HiSeq 2000	LL7_2	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2019-01-24T00:00:00Z	SAMEA3539944	ERP011965	female	ERS847093	2019-01-09	2018-11-16	NA	NA	MPI-TUEBINGEN	Max Planck Institute for Developmental Biology\, Tuebingen\, Germany	2019-01-09T17:03:13Z	2015-09-15T12:04:02Z	public	ERS847093	LL7	LL7	Intro Lower Lalaja	ERC000011	1
PRJEB10680	ERR1016738	WGS	202	8060166832	SAMEA3539945	5231345650	MPI-TUEBINGEN	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1095805	Illumina HiSeq 2000	LL9_2	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2019-01-24T00:00:00Z	SAMEA3539945	ERP011965	female	ERS847094	2019-01-09	2018-11-16	NA	NA	MPI-TUEBINGEN	Max Planck Institute for Developmental Biology\, Tuebingen\, Germany	2019-01-09T17:03:13Z	2015-09-15T12:04:02Z	public	ERS847094	LL9	LL9	Intro Lower Lalaja	ERC000011	1
PRJEB10680	ERR1016739	WGS	202	9177730418	SAMEA3539946	6362291090	MPI-TUEBINGEN	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1095806	Illumina HiSeq 2000	T10_1	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2019-01-24T00:00:00Z	SAMEA3539946	ERP011965	male	ERS847095	2019-01-09	2018-11-16	NA	NA	MPI-TUEBINGEN	Max Planck Institute for Developmental Biology\, Tuebingen\, Germany	2019-01-09T17:03:13Z	2015-09-15T12:04:02Z	public	ERS847095	T10	T10	Intro Taylor	ERC000011	1
PRJEB10680	ERR1016740	WGS	202	5827911090	SAMEA3539947	4049439611	MPI-TUEBINGEN	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1095807	Illumina HiSeq 2000	T13_1	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2019-01-24T00:00:00Z	SAMEA3539947	ERP011965	female	ERS847096	2019-01-09	2018-11-16	NA	NA	MPI-TUEBINGEN	Max Planck Institute for Developmental Biology\, Tuebingen\, Germany	2019-01-09T17:03:13Z	2015-09-15T12:04:02Z	public	ERS847096	T13	T13	Intro Taylor	ERC000011	1
PRJEB10680	ERR1016741	WGS	202	4381747842	SAMEA3539948	3040717450	MPI-TUEBINGEN	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1095808	Illumina HiSeq 2000	T14_1	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2019-01-24T00:00:00Z	SAMEA3539948	ERP011965	female	ERS847097	2019-01-09	2018-11-16	NA	NA	MPI-TUEBINGEN	Max Planck Institute for Developmental Biology\, Tuebingen\, Germany	2019-01-09T17:03:13Z	2015-09-15T12:04:02Z	public	ERS847097	T14	T14	Intro Taylor	ERC000011	1
PRJEB10680	ERR1016742	WGS	202	5356383904	SAMEA3539949	3714905066	MPI-TUEBINGEN	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1095809	Illumina HiSeq 2000	T15_1	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2019-01-24T00:00:00Z	SAMEA3539949	ERP011965	female	ERS847098	2019-01-09	2018-11-16	NA	NA	MPI-TUEBINGEN	Max Planck Institute for Developmental Biology\, Tuebingen\, Germany	2019-01-09T17:03:13Z	2015-09-15T12:04:03Z	public	ERS847098	T15	T15	Intro Taylor	ERC000011	1
PRJEB10680	ERR1016744	WGS	202	6864580948	SAMEA3539951	4720251518	MPI-TUEBINGEN	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1095811	Illumina HiSeq 2000	T2_1	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2019-01-24T00:00:00Z	SAMEA3539951	ERP011965	male	ERS847100	2019-01-09	2018-11-16	NA	NA	MPI-TUEBINGEN	Max Planck Institute for Developmental Biology\, Tuebingen\, Germany	2019-01-09T17:03:13Z	2015-09-15T12:04:03Z	public	ERS847100	T2	T2	Intro Taylor	ERC000011	1
PRJEB10680	ERR1016745	WGS	202	3721636082	SAMEA3539951	2588307320	MPI-TUEBINGEN	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1095812	Illumina HiSeq 2000	T2_2	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2019-01-24T00:00:00Z	SAMEA3539951	ERP011965	male	ERS847100	2019-01-09	2018-11-16	NA	NA	MPI-TUEBINGEN	Max Planck Institute for Developmental Biology\, Tuebingen\, Germany	2019-01-09T17:03:13Z	2015-09-15T12:04:03Z	public	ERS847100	T2	T2	Intro Taylor	ERC000011	1
PRJEB10680	ERR1016746	WGS	202	5128220460	SAMEA3539952	3537906876	MPI-TUEBINGEN	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1095813	Illumina HiSeq 2000	T3_1	PAIRED	RANDOM	GENOMIC	Poecilia_reticulata	ILLUMINA	2019-01-24T00:00:00Z	SAMEA3539952	ERP011965	male	ERS847101	2019-01-09	2018-11-16	NA	NA	MPI-TUEBINGEN	Max Planck Institute for Developmental Biology\, Tuebingen\, Germany	2019-01-09T17:03:13Z	2015-09-15T12:04:03Z	public	ERS847101	T3	T3	Intro Taylor	ERC000011	1
