BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Ecotype	Collection_date	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	lat_lon	Strain	Cultivar	env_broad_scale	env_local_scale	env_medium	isol_growth_condt	estimated_size	num_replicons	ploidy	propagation	use_species
PRJNA515277	SRR8444793	WGS	302	6545043962	SAMN10751913	2745553082	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5251929	NextSeq 500	133	PAIRED	RANDOM	GENOMIC	Chloebia_gouldiae	ILLUMINA	2019-03-04T00:00:00Z	erythrura_gouldiae_133	SRP179626	MIGS.eu	missing	yellow	2016-03-06	USA	North America	USA: Ithaca	42.480188 N 76.473953 W	male	133	not applicable	not applicable	not applicable	not applicable	1\,300\,000\,000	not applicable	diploid	not applicable	1
PRJNA515277	SRR8444794	WGS	302	6517835272	SAMN10751912	2706978635	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5251928	NextSeq 500	132	PAIRED	RANDOM	GENOMIC	Chloebia_gouldiae	ILLUMINA	2019-03-04T00:00:00Z	erythrura_gouldiae_132	SRP179626	MIGS.eu	missing	black	2016-03-06	USA	North America	USA: Ithaca	42.480188 N 76.473953 W	male	132	not applicable	not applicable	not applicable	not applicable	1\,300\,000\,000	not applicable	diploid	not applicable	1
PRJNA515277	SRR8444795	WGS	302	5364650386	SAMN10751915	2244689697	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5251927	NextSeq 500	138	PAIRED	RANDOM	GENOMIC	Chloebia_gouldiae	ILLUMINA	2019-03-04T00:00:00Z	erythrura_gouldiae_138	SRP179626	MIGS.eu	missing	yellow	2016-03-06	USA	North America	USA: Ithaca	42.480188 N 76.473953 W	female	138	not applicable	not applicable	not applicable	not applicable	1\,300\,000\,000	not applicable	diploid	not applicable	1
PRJNA515277	SRR8444796	WGS	302	4885626744	SAMN10751914	2047158237	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5251926	NextSeq 500	137	PAIRED	RANDOM	GENOMIC	Chloebia_gouldiae	ILLUMINA	2019-03-04T00:00:00Z	erythrura_gouldiae_137	SRP179626	MIGS.eu	missing	black	2016-03-06	USA	North America	USA: Ithaca	42.480188 N 76.473953 W	female	137	not applicable	not applicable	not applicable	not applicable	1\,300\,000\,000	not applicable	diploid	not applicable	1
PRJNA515277	SRR8444797	WGS	302	5444054642	SAMN10751925	2280969120	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5251925	NextSeq 500	212	PAIRED	RANDOM	GENOMIC	Chloebia_gouldiae	ILLUMINA	2019-03-04T00:00:00Z	erythrura_gouldiae_212	SRP179626	MIGS.eu	missing	yellow	2016-03-06	USA	North America	USA: Ithaca	42.480188 N 76.473953 W	female	212	not applicable	not applicable	not applicable	not applicable	1\,300\,000\,000	not applicable	diploid	not applicable	1
PRJNA515277	SRR8444798	WGS	302	6746119488	SAMN10751924	2814337198	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5251924	NextSeq 500	207	PAIRED	RANDOM	GENOMIC	Chloebia_gouldiae	ILLUMINA	2019-03-04T00:00:00Z	erythrura_gouldiae_207	SRP179626	MIGS.eu	missing	red	2016-03-06	USA	North America	USA: Ithaca	42.480188 N 76.473953 W	female	207	not applicable	not applicable	not applicable	not applicable	1\,300\,000\,000	not applicable	diploid	not applicable	1
PRJNA515277	SRR8444799	WGS	302	6151129356	SAMN10751919	2579914917	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5251923	NextSeq 500	185	PAIRED	RANDOM	GENOMIC	Chloebia_gouldiae	ILLUMINA	2019-03-04T00:00:00Z	erythrura_gouldiae_185	SRP179626	MIGS.eu	missing	yellow	2016-03-06	USA	North America	USA: Ithaca	42.480188 N 76.473953 W	male	185	not applicable	not applicable	not applicable	not applicable	1\,300\,000\,000	not applicable	diploid	not applicable	1
PRJNA515277	SRR8444800	WGS	302	5887473994	SAMN10751918	2475852244	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5251922	NextSeq 500	179	PAIRED	RANDOM	GENOMIC	Chloebia_gouldiae	ILLUMINA	2019-03-04T00:00:00Z	erythrura_gouldiae_179	SRP179626	MIGS.eu	missing	red	2016-03-06	USA	North America	USA: Ithaca	42.480188 N 76.473953 W	male	179	not applicable	not applicable	not applicable	not applicable	1\,300\,000\,000	not applicable	diploid	not applicable	1
PRJNA515277	SRR8444801	WGS	302	3731347410	SAMN10751917	1551922063	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5251921	NextSeq 500	170	PAIRED	RANDOM	GENOMIC	Chloebia_gouldiae	ILLUMINA	2019-03-04T00:00:00Z	erythrura_gouldiae_170	SRP179626	MIGS.eu	missing	black	2016-03-06	USA	North America	USA: Ithaca	42.480188 N 76.473953 W	female	170	not applicable	not applicable	not applicable	not applicable	1\,300\,000\,000	not applicable	diploid	not applicable	1
PRJNA515277	SRR8444802	WGS	302	5336337886	SAMN10751916	2287389959	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5251920	NextSeq 500	139	PAIRED	RANDOM	GENOMIC	Chloebia_gouldiae	ILLUMINA	2019-03-04T00:00:00Z	erythrura_gouldiae_139	SRP179626	MIGS.eu	missing	yellow	2016-03-06	USA	North America	USA: Ithaca	42.480188 N 76.473953 W	female	139	not applicable	not applicable	not applicable	not applicable	1\,300\,000\,000	not applicable	diploid	not applicable	1
PRJNA515277	SRR8444803	WGS	302	5319748120	SAMN10751923	2249065519	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5251919	NextSeq 500	206	PAIRED	RANDOM	GENOMIC	Chloebia_gouldiae	ILLUMINA	2019-03-04T00:00:00Z	erythrura_gouldiae_206	SRP179626	MIGS.eu	missing	red	2016-03-06	USA	North America	USA: Ithaca	42.480188 N 76.473953 W	female	206	not applicable	not applicable	not applicable	not applicable	1\,300\,000\,000	not applicable	diploid	not applicable	1
PRJNA515277	SRR8444804	WGS	302	4769452780	SAMN10751922	1987963415	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5251918	NextSeq 500	202	PAIRED	RANDOM	GENOMIC	Chloebia_gouldiae	ILLUMINA	2019-03-04T00:00:00Z	erythrura_gouldiae_202	SRP179626	MIGS.eu	missing	black	2016-03-06	USA	North America	USA: Ithaca	42.480188 N 76.473953 W	male	202	not applicable	not applicable	not applicable	not applicable	1\,300\,000\,000	not applicable	diploid	not applicable	1
PRJNA515277	SRR8444805	WGS	302	5426011350	SAMN10751921	2272354556	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5251917	NextSeq 500	196	PAIRED	RANDOM	GENOMIC	Chloebia_gouldiae	ILLUMINA	2019-03-04T00:00:00Z	erythrura_gouldiae_196	SRP179626	MIGS.eu	missing	black	2016-03-06	USA	North America	USA: Ithaca	42.480188 N 76.473953 W	male	196	not applicable	not applicable	not applicable	not applicable	1\,300\,000\,000	not applicable	diploid	not applicable	1
PRJNA515277	SRR8444806	WGS	302	5027852436	SAMN10751920	2082167244	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5251916	NextSeq 500	187	PAIRED	RANDOM	GENOMIC	Chloebia_gouldiae	ILLUMINA	2019-03-04T00:00:00Z	erythrura_gouldiae_187	SRP179626	MIGS.eu	missing	yellow	2016-03-06	USA	North America	USA: Ithaca	42.480188 N 76.473953 W	male	187	not applicable	not applicable	not applicable	not applicable	1\,300\,000\,000	not applicable	diploid	not applicable	1
