BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Collection_date	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Label	body_site	pathovar	use_species
PRJNA192205	SRR1286119	WGS	200	4672525800	SAMN02743850	3438281486	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX542255	Illumina HiSeq 2000	USA_CA_B03	PAIRED	RANDOM	GENOMIC	Corvus_brachyrhynchos	ILLUMINA	2014-05-30T00:00:00Z	USA_CA_B03	SRP022901	Model organism or animal	male	2010	USA	North America	USA: California	USA_CA_B03	tissue	tissue	1
PRJNA192205	SRR1286121	WGS	200	4758231400	SAMN02743850	3503708715	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX542255	Illumina HiSeq 2000	USA_CA_B03	PAIRED	RANDOM	GENOMIC	Corvus_brachyrhynchos	ILLUMINA	2014-05-30T00:00:00Z	USA_CA_B03	SRP022901	Model organism or animal	male	2010	USA	North America	USA: California	USA_CA_B03	tissue	tissue	1
PRJNA192205	SRR1286122	WGS	200	12734701200	SAMN02743850	8083741146	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX542255	Illumina HiSeq 2000	USA_CA_B03	PAIRED	RANDOM	GENOMIC	Corvus_brachyrhynchos	ILLUMINA	2014-05-30T00:00:00Z	USA_CA_B03	SRP022901	Model organism or animal	male	2010	USA	North America	USA: California	USA_CA_B03	tissue	tissue	1
PRJNA192205	SRR1286123	WGS	200	902878000	SAMN02743849	654576238	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX542257	Illumina HiSeq 2000	USA_NJ_B02	PAIRED	RANDOM	GENOMIC	Corvus_brachyrhynchos	ILLUMINA	2014-05-30T00:00:00Z	USA_NJ_B02	SRP022901	Model organism or animal	male	2010	USA	North America	USA: New Jersey	USA_NJ_B02	tissue	tissue	1
PRJNA192205	SRR1286124	WGS	200	3949351600	SAMN02743849	2926129846	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX542257	Illumina HiSeq 2000	USA_NJ_B02	PAIRED	RANDOM	GENOMIC	Corvus_brachyrhynchos	ILLUMINA	2014-05-30T00:00:00Z	USA_NJ_B02	SRP022901	Model organism or animal	male	2010	USA	North America	USA: New Jersey	USA_NJ_B02	tissue	tissue	1
PRJNA192205	SRR1286125	WGS	200	3940800400	SAMN02743849	2920918191	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX542257	Illumina HiSeq 2000	USA_NJ_B02	PAIRED	RANDOM	GENOMIC	Corvus_brachyrhynchos	ILLUMINA	2014-05-30T00:00:00Z	USA_NJ_B02	SRP022901	Model organism or animal	male	2010	USA	North America	USA: New Jersey	USA_NJ_B02	tissue	tissue	1
PRJNA192205	SRR1286127	WGS	200	4063637000	SAMN02743849	2969962408	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX542257	Illumina HiSeq 2000	USA_NJ_B02	PAIRED	RANDOM	GENOMIC	Corvus_brachyrhynchos	ILLUMINA	2014-05-30T00:00:00Z	USA_NJ_B02	SRP022901	Model organism or animal	male	2010	USA	North America	USA: New Jersey	USA_NJ_B02	tissue	tissue	1
PRJNA192205	SRR1286128	WGS	200	9620305400	SAMN02743849	6298016448	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX542257	Illumina HiSeq 2000	USA_NJ_B02	PAIRED	RANDOM	GENOMIC	Corvus_brachyrhynchos	ILLUMINA	2014-05-30T00:00:00Z	USA_NJ_B02	SRP022901	Model organism or animal	male	2010	USA	North America	USA: New Jersey	USA_NJ_B02	tissue	tissue	1
PRJNA192205	SRR1286130	WGS	200	2271316600	SAMN02743851	1397643644	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX542259	Illumina HiSeq 2000	USA_NY_B03	PAIRED	RANDOM	GENOMIC	Corvus_brachyrhynchos	ILLUMINA	2014-05-30T00:00:00Z	USA_NY_B03	SRP022901	Model organism or animal	male	2010	USA	North America	USA: New York	USA_NY_B03	blood	blood	1
PRJNA192205	SRR1286131	WGS	200	3812290600	SAMN02743851	2696492741	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX542259	Illumina HiSeq 2000	USA_NY_B03	PAIRED	RANDOM	GENOMIC	Corvus_brachyrhynchos	ILLUMINA	2014-05-30T00:00:00Z	USA_NY_B03	SRP022901	Model organism or animal	male	2010	USA	North America	USA: New York	USA_NY_B03	blood	blood	1
PRJNA192205	SRR1286132	WGS	200	3777078200	SAMN02743851	2675773393	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX542259	Illumina HiSeq 2000	USA_NY_B03	PAIRED	RANDOM	GENOMIC	Corvus_brachyrhynchos	ILLUMINA	2014-05-30T00:00:00Z	USA_NY_B03	SRP022901	Model organism or animal	male	2010	USA	North America	USA: New York	USA_NY_B03	blood	blood	1
PRJNA192205	SRR1286134	WGS	200	3900986800	SAMN02743851	2708480962	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX542259	Illumina HiSeq 2000	USA_NY_B03	PAIRED	RANDOM	GENOMIC	Corvus_brachyrhynchos	ILLUMINA	2014-05-30T00:00:00Z	USA_NY_B03	SRP022901	Model organism or animal	male	2010	USA	North America	USA: New York	USA_NY_B03	blood	blood	1
PRJNA192205	SRR1286135	WGS	200	10639559000	SAMN02743851	6749410832	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX542259	Illumina HiSeq 2000	USA_NY_B03	PAIRED	RANDOM	GENOMIC	Corvus_brachyrhynchos	ILLUMINA	2014-05-30T00:00:00Z	USA_NY_B03	SRP022901	Model organism or animal	male	2010	USA	North America	USA: New York	USA_NY_B03	blood	blood	1
PRJNA192205	SRR1289976	WGS	200	15668409000	SAMN02743852	10105731423	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX542247	Illumina HiSeq 2000	USA_NY_B04	PAIRED	RANDOM	GENOMIC	Corvus_brachyrhynchos	ILLUMINA	2014-05-30T00:00:00Z	USA_NY_B04	SRP022901	Model organism or animal	male	2010	USA	North America	USA: New York	USA_NY_B04	blood	blood	1
PRJNA192205	SRR1286126	WGS	200	4040071200	SAMN02743849	2959489981	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX542257	Illumina HiSeq 2000	USA_NJ_B02	PAIRED	RANDOM	GENOMIC	Corvus_brachyrhynchos	ILLUMINA	2014-05-30T00:00:00Z	USA_NJ_B02	SRP022901	Model organism or animal	male	2010	USA	North America	USA: New Jersey	USA_NJ_B02	tissue	tissue	1
