BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	Alias	AssemblyName	Description	ENA_CHECKLIST	use_species
PRJEB27649	ERR2697453	WGS	298	36690128953	SAMEA4785069	14226005008	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711846	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_hispaniolensis	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785069	ERP109758	NA	missing	NA	NA	NA	ERS2605007	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605007	CVS02	CVS02	PASSER_DOMESTICUS-1.0	Spanish sparrow\, M\, Cape_Verde	ERC000011	1
PRJEB27649	ERR2697474	WGS	473	37541597243	SAMEA4785090	15137061926	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711867	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_hispaniolensis	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785090	ERP109758	NA	missing	NA	NA	NA	ERS2605028	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605028	I289	I289	PASSER_DOMESTICUS-1.0	Spanish sparrow\, F\, Lesina_Italy	ERC000011	1
PRJEB27649	ERR2697476	WGS	190	11368148928	SAMEA4785092	5241827165	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711869	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_hispaniolensis	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785092	ERP109758	NA	missing	NA	NA	NA	ERS2605030	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:39Z	public	ERS2605030	KAZ14003	KAZ14003	PASSER_DOMESTICUS-1.0	Spanish sparrow\, M\, Chokpak\, Kazahkstan	ERC000011	1
PRJEB27649	ERR2697487	WGS	192	12915293639	SAMEA4785103	5691829868	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711880	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_hispaniolensis	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785103	ERP109758	NA	missing	NA	NA	NA	ERS2605041	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:54Z	2018-07-11T09:24:39Z	public	ERS2605041	KAZ14032	KAZ14032	PASSER_DOMESTICUS-1.0	Spanish sparrow\, M\, Chokpak\, Kazahkstan	ERC000011	1
PRJEB27649	ERR2697488	WGS	192	15494610946	SAMEA4785104	6863190028	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711881	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_hispaniolensis	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785104	ERP109758	NA	missing	NA	NA	NA	ERS2605042	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:54Z	2018-07-11T09:24:39Z	public	ERS2605042	KAZ14035	KAZ14035	PASSER_DOMESTICUS-1.0	Spanish sparrow\, M\, Chokpak\, Kazahkstan	ERC000011	1
PRJEB27649	ERR2697489	WGS	193	12890007409	SAMEA4785105	5576337308	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711882	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_hispaniolensis	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785105	ERP109758	NA	missing	NA	NA	NA	ERS2605043	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:54Z	2018-07-11T09:24:39Z	public	ERS2605043	KAZ14053	KAZ14053	PASSER_DOMESTICUS-1.0	Spanish sparrow\, M\, Chokpak\, Kazahkstan	ERC000011	1
PRJEB27649	ERR2697490	WGS	192	13892611066	SAMEA4785106	6051009981	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711883	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_hispaniolensis	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785106	ERP109758	NA	missing	NA	NA	NA	ERS2605044	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:54Z	2018-07-11T09:24:39Z	public	ERS2605044	KAZ14054	KAZ14054	PASSER_DOMESTICUS-1.0	Spanish sparrow\, M\, Chokpak\, Kazahkstan	ERC000011	1
PRJEB27649	ERR2697491	WGS	192	13792173999	SAMEA4785107	6016246273	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711884	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_hispaniolensis	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785107	ERP109758	NA	missing	NA	NA	NA	ERS2605045	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:54Z	2018-07-11T09:24:39Z	public	ERS2605045	KAZ14055	KAZ14055	PASSER_DOMESTICUS-1.0	Spanish sparrow\, M\, Chokpak\, Kazahkstan	ERC000011	1
PRJEB27649	ERR2697492	WGS	192	12209690170	SAMEA4785108	5375939146	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711885	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_hispaniolensis	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785108	ERP109758	NA	missing	NA	NA	NA	ERS2605046	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:54Z	2018-07-11T09:24:39Z	public	ERS2605046	KAZ14057	KAZ14057	PASSER_DOMESTICUS-1.0	Spanish sparrow\, M\, Chokpak\, Kazahkstan	ERC000011	1
PRJEB27649	ERR2697493	WGS	192	12687364234	SAMEA4785109	5558745822	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711886	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_hispaniolensis	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785109	ERP109758	NA	missing	NA	NA	NA	ERS2605047	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:54Z	2018-07-11T09:24:39Z	public	ERS2605047	KAZ14059	KAZ14059	PASSER_DOMESTICUS-1.0	Spanish sparrow\, M\, Chokpak\, Kazahkstan	ERC000011	1
PRJEB27649	ERR2697494	WGS	192	13445032723	SAMEA4785110	5842051820	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711887	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_hispaniolensis	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785110	ERP109758	NA	missing	NA	NA	NA	ERS2605048	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:54Z	2018-07-11T09:24:39Z	public	ERS2605048	KAZ14061	KAZ14061	PASSER_DOMESTICUS-1.0	Spanish sparrow\, M\, Chokpak\, Kazahkstan	ERC000011	1
PRJEB27649	ERR2697515	WGS	195	9633390031	SAMEA4785131	3959963922	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711908	Illumina HiSeq 2000	unspecified	PAIRED	PCR	GENOMIC	Passer_hispaniolensis	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785131	ERP109758	NA	missing	NA	NA	NA	ERS2605069	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:54Z	2018-07-11T09:24:39Z	public	ERS2605069	SA001	SA001	PASSER_DOMESTICUS-1.0	Spanish sparrow\, M\, Sardinia	ERC000011	1
PRJEB27649	ERR2697516	WGS	195	10165359546	SAMEA4785132	4169292561	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711909	Illumina HiSeq 2000	unspecified	PAIRED	PCR	GENOMIC	Passer_hispaniolensis	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785132	ERP109758	NA	missing	NA	NA	NA	ERS2605070	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:54Z	2018-07-11T09:24:39Z	public	ERS2605070	SA002	SA002	PASSER_DOMESTICUS-1.0	Spanish sparrow\, M\, Sardinia	ERC000011	1
PRJEB27649	ERR2697517	WGS	196	11378353755	SAMEA4785133	4506354604	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711910	Illumina HiSeq 2000	unspecified	PAIRED	PCR	GENOMIC	Passer_hispaniolensis	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785133	ERP109758	NA	missing	NA	NA	NA	ERS2605071	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:54Z	2018-07-11T09:24:39Z	public	ERS2605071	SA003	SA003	PASSER_DOMESTICUS-1.0	Spanish sparrow\, M\, Sardinia	ERC000011	1
PRJEB27649	ERR2697518	WGS	196	10272612207	SAMEA4785134	4061680244	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711911	Illumina HiSeq 2000	unspecified	PAIRED	PCR	GENOMIC	Passer_hispaniolensis	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785134	ERP109758	NA	missing	NA	NA	NA	ERS2605072	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:54Z	2018-07-11T09:24:39Z	public	ERS2605072	SA010	SA010	PASSER_DOMESTICUS-1.0	Spanish sparrow\, M\, Sardinia	ERC000011	1
PRJEB27649	ERR2697519	WGS	196	10193994624	SAMEA4785135	4014922679	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711912	Illumina HiSeq 2000	unspecified	PAIRED	PCR	GENOMIC	Passer_hispaniolensis	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785135	ERP109758	NA	missing	NA	NA	NA	ERS2605073	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:54Z	2018-07-11T09:24:39Z	public	ERS2605073	SA011	SA011	PASSER_DOMESTICUS-1.0	Spanish sparrow\, M\, Sardinia	ERC000011	1
PRJEB27649	ERR2697520	WGS	196	10410284118	SAMEA4785136	4130022028	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711913	Illumina HiSeq 2000	unspecified	PAIRED	PCR	GENOMIC	Passer_hispaniolensis	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785136	ERP109758	NA	missing	NA	NA	NA	ERS2605074	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:54Z	2018-07-11T09:24:39Z	public	ERS2605074	SA016	SA016	PASSER_DOMESTICUS-1.0	Spanish sparrow\, M\, Sardinia	ERC000011	1
PRJEB27649	ERR2697523	WGS	195	10128730042	SAMEA4785139	4111227466	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711916	Illumina HiSeq 2000	unspecified	PAIRED	PCR	GENOMIC	Passer_hispaniolensis	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785139	ERP109758	NA	missing	NA	NA	NA	ERS2605077	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:54Z	2018-07-11T09:24:39Z	public	ERS2605077	SA019	SA019	PASSER_DOMESTICUS-1.0	Spanish sparrow\, M\, Sardinia	ERC000011	1
PRJEB27649	ERR2697445	WGS	298	28725877003	SAMEA4785061	11260652620	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711838	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_hispaniolensis	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785061	ERP109758	NA	missing	NA	NA	NA	ERS2604999	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2604999	CSP22_151116	CSP22_151116	PASSER_DOMESTICUS-1.0	Spanish sparrow\, M\, Tenerife	ERC000011	1
PRJEB27649	ERR2697524	WGS	195	10033684078	SAMEA4785140	4016644938	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711917	Illumina HiSeq 2000	unspecified	PAIRED	PCR	GENOMIC	Passer_hispaniolensis	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785140	ERP109758	NA	missing	NA	NA	NA	ERS2605078	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:54Z	2018-07-11T09:24:39Z	public	ERS2605078	SA021	SA021	PASSER_DOMESTICUS-1.0	Spanish sparrow\, M\, Sardinia	ERC000011	1
PRJEB27649	ERR2697475	WGS	191	19572475898	SAMEA4785091	8764992651	UNIVERSITY OF OSLO	public	sra,bam	ena,ncbi,gs,s3	ncbi.public,s3.us-east-1,ena,gs.US	ERX2711868	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_hispaniolensis	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785091	ERP109758	NA	missing	NA	NA	NA	ERS2605029	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:39Z	public	ERS2605029	KAZ14001	KAZ14001	PASSER_DOMESTICUS-1.0	Spanish sparrow\, M\, Chokpak\, Kazahkstan	ERC000011	1
PRJEB27649	ERR2697521	WGS	196	10723819801	SAMEA4785137	4266684629	UNIVERSITY OF OSLO	public	sra,bam	ena,gs,ncbi,s3	ena,s3.us-east-1,gs.US,ncbi.public	ERX2711914	Illumina HiSeq 2000	unspecified	PAIRED	PCR	GENOMIC	Passer_hispaniolensis	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785137	ERP109758	NA	missing	NA	NA	NA	ERS2605075	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:54Z	2018-07-11T09:24:39Z	public	ERS2605075	SA017	SA017	PASSER_DOMESTICUS-1.0	Spanish sparrow\, M\, Sardinia	ERC000011	1
PRJEB27649	ERR2697522	WGS	196	9990074787	SAMEA4785138	3969851161	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711915	Illumina HiSeq 2000	unspecified	PAIRED	PCR	GENOMIC	Passer_hispaniolensis	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785138	ERP109758	NA	missing	NA	NA	NA	ERS2605076	2018-07-17	2018-11-16	CEES	University of Oslo	2018-07-17T17:02:54Z	2018-07-11T09:24:39Z	public	ERS2605076	SA018	SA018	PASSER_DOMESTICUS-1.0	Spanish sparrow\, M\, Sardinia	ERC000011	1
PRJNA255814	SRR5369947	WGS	200	13115738200	SAMN06619711	8377999098	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665274	Illumina HiSeq 2000	HI.1231.008.Index_27.Phisp_20_Lesina_295	PAIRED	RANDOM	GENOMIC	Passer_hispaniolensis	ILLUMINA	2017-03-24T00:00:00Z	2008-P0295	SRP045123	Model organism or animal	male	blood	2008-P0295	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369948	WGS	200	15004555400	SAMN06619710	10922285563	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665275	Illumina HiSeq 2000	HI.1158.004.Index_25.Phisp_19_Lesina_292	PAIRED	RANDOM	GENOMIC	Passer_hispaniolensis	ILLUMINA	2017-03-24T00:00:00Z	2008-P0292	SRP045123	Model organism or animal	male	blood	2008-P0292	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369949	WGS	200	13007650800	SAMN06619709	9495750936	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665276	Illumina HiSeq 2000	HI.1158.004.Index_23.Phisp_18_Lesina_289	PAIRED	RANDOM	GENOMIC	Passer_hispaniolensis	ILLUMINA	2017-03-24T00:00:00Z	2008-P0289	SRP045123	Model organism or animal	male	blood	2008-P0289	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369950	WGS	200	13041485200	SAMN06619708	9512948172	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665277	Illumina HiSeq 2000	HI.1158.004.Index_22.Phisp_17_Lesina_288	PAIRED	RANDOM	GENOMIC	Passer_hispaniolensis	ILLUMINA	2017-03-24T00:00:00Z	2008-P0288	SRP045123	Model organism or animal	male	blood	2008-P0288	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369951	WGS	200	14470337200	SAMN06619707	10308067865	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665278	Illumina HiSeq 2000	HI.1158.003.Index_21.Phisp_16_Lesina_287	PAIRED	RANDOM	GENOMIC	Passer_hispaniolensis	ILLUMINA	2017-03-24T00:00:00Z	2008-P0287	SRP045123	Model organism or animal	male	blood	2008-P0287	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369952	WGS	200	13931830200	SAMN06619706	10016762853	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665279	Illumina HiSeq 2000	HI.1158.003.Index_20.Phisp_15_Lesina_286	PAIRED	RANDOM	GENOMIC	Passer_hispaniolensis	ILLUMINA	2017-03-24T00:00:00Z	2008-P0286	SRP045123	Model organism or animal	male	blood	2008-P0286	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369954	WGS	200	13179326000	SAMN06619704	8438968919	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665281	Illumina HiSeq 2000	HI.1231.008.Index_18.Phisp_13_Lesina_282	PAIRED	RANDOM	GENOMIC	Passer_hispaniolensis	ILLUMINA	2017-03-24T00:00:00Z	2008-P0282	SRP045123	Model organism or animal	male	blood	2008-P0282	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369955	WGS	200	13915473600	SAMN06619703	9481577448	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665282	Illumina HiSeq 2000	HI.1231.007.Index_16.Phisp_12_Lesina_281	PAIRED	RANDOM	GENOMIC	Passer_hispaniolensis	ILLUMINA	2017-03-24T00:00:00Z	2008-P0281	SRP045123	Model organism or animal	male	blood	2008-P0281	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
