BioProject	Run	Assay Type	BioSample	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	Alias	AssemblyName	ENA_CHECKLIST	use_species
PRJEB10586	ERR1013167	WGS	SAMEA3532863	COLUMBIA UNIVERSITY	public	bam	ena	ena	ERX1092191	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Taeniopygia_guttata	ILLUMINA	2015-09-16T00:00:00Z	SAMEA3532863	ERP011851	missing	ERS840012	2015-09-15	2018-11-16	COLUMBIA UNIVERSITY	2015-09-15T17:01:22Z	2015-09-10T15:11:22Z	public	ERS840012	zebra finch (wild)	26516	taeGut1	ERC000011	1
PRJEB10586	ERR1013168	WGS	SAMEA3532864	COLUMBIA UNIVERSITY	public	bam	ena	ena	ERX1092192	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Taeniopygia_guttata	ILLUMINA	2015-09-16T00:00:00Z	SAMEA3532864	ERP011851	missing	ERS840013	2015-09-15	2018-11-16	COLUMBIA UNIVERSITY	2015-09-15T17:01:22Z	2015-09-10T15:11:22Z	public	ERS840013	zebra finch (wild)	28404	taeGut1	ERC000011	1
PRJEB10586	ERR1013169	WGS	SAMEA3532865	COLUMBIA UNIVERSITY	public	bam	ena	ena	ERX1092193	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Taeniopygia_guttata	ILLUMINA	2015-09-16T00:00:00Z	SAMEA3532865	ERP011851	missing	ERS840014	2015-09-15	2018-11-16	COLUMBIA UNIVERSITY	2015-09-15T17:01:23Z	2015-09-10T15:11:22Z	public	ERS840014	zebra finch (wild)	26820	taeGut1	ERC000011	1
PRJEB10586	ERR1013170	WGS	SAMEA3532866	COLUMBIA UNIVERSITY	public	bam	ena	ena	ERX1092194	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Taeniopygia_guttata	ILLUMINA	2015-09-16T00:00:00Z	SAMEA3532866	ERP011851	missing	ERS840015	2015-09-15	2018-11-16	COLUMBIA UNIVERSITY	2015-09-15T17:01:22Z	2015-09-10T15:11:22Z	public	ERS840015	zebra finch (wild)	26733	taeGut1	ERC000011	1
PRJEB10586	ERR1013171	WGS	SAMEA3532867	COLUMBIA UNIVERSITY	public	bam	ena	ena	ERX1092195	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Taeniopygia_guttata	ILLUMINA	2015-09-16T00:00:00Z	SAMEA3532867	ERP011851	missing	ERS840016	2015-09-15	2018-11-16	COLUMBIA UNIVERSITY	2015-09-15T17:01:22Z	2015-09-10T15:11:22Z	public	ERS840016	zebra finch (wild)	28481	taeGut1	ERC000011	1
PRJEB10586	ERR1013172	WGS	SAMEA3532868	COLUMBIA UNIVERSITY	public	bam	ena	ena	ERX1092196	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Taeniopygia_guttata	ILLUMINA	2015-09-16T00:00:00Z	SAMEA3532868	ERP011851	missing	ERS840017	2015-09-15	2018-11-16	COLUMBIA UNIVERSITY	2015-09-15T17:01:26Z	2015-09-10T15:11:22Z	public	ERS840017	zebra finch (wild)	26881	taeGut1	ERC000011	1
PRJEB10586	ERR1013173	WGS	SAMEA3532869	COLUMBIA UNIVERSITY	public	bam	ena	ena	ERX1092197	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Taeniopygia_guttata	ILLUMINA	2015-09-16T00:00:00Z	SAMEA3532869	ERP011851	missing	ERS840018	2015-09-15	2018-11-16	COLUMBIA UNIVERSITY	2015-09-15T17:01:23Z	2015-09-10T15:11:22Z	public	ERS840018	zebra finch (wild)	26781	taeGut1	ERC000011	1
PRJEB10586	ERR1013174	WGS	SAMEA3532870	COLUMBIA UNIVERSITY	public	bam	ena	ena	ERX1092198	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Taeniopygia_guttata	ILLUMINA	2015-09-16T00:00:00Z	SAMEA3532870	ERP011851	missing	ERS840019	2015-09-15	2018-11-16	COLUMBIA UNIVERSITY	2015-09-15T17:01:26Z	2015-09-10T15:11:23Z	public	ERS840019	zebra finch (wild)	26896	taeGut1	ERC000011	1
PRJEB10586	ERR1013175	WGS	SAMEA3532871	COLUMBIA UNIVERSITY	public	bam	ena	ena	ERX1092199	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Taeniopygia_guttata	ILLUMINA	2015-09-16T00:00:00Z	SAMEA3532871	ERP011851	missing	ERS840020	2015-09-15	2018-11-16	COLUMBIA UNIVERSITY	2015-09-15T17:01:22Z	2015-09-10T15:11:23Z	public	ERS840020	zebra finch (wild)	26792	taeGut1	ERC000011	1
PRJEB10586	ERR1013176	WGS	SAMEA3532872	COLUMBIA UNIVERSITY	public	bam	ena	ena	ERX1092200	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Taeniopygia_guttata	ILLUMINA	2015-09-16T00:00:00Z	SAMEA3532872	ERP011851	missing	ERS840021	2015-09-15	2018-11-16	COLUMBIA UNIVERSITY	2015-09-15T17:01:22Z	2015-09-10T15:11:23Z	public	ERS840021	zebra finch (wild)	28016	taeGut1	ERC000011	1
PRJEB10586	ERR1013177	WGS	SAMEA3532873	COLUMBIA UNIVERSITY	public	bam	ena	ena	ERX1092201	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Taeniopygia_guttata	ILLUMINA	2015-09-16T00:00:00Z	SAMEA3532873	ERP011851	missing	ERS840022	2015-09-15	2018-11-16	COLUMBIA UNIVERSITY	2015-09-15T17:01:26Z	2015-09-10T15:11:23Z	public	ERS840022	zebra finch (wild)	26795	taeGut1	ERC000011	1
PRJEB10586	ERR1013178	WGS	SAMEA3532874	COLUMBIA UNIVERSITY	public	bam	ena	ena	ERX1092202	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Taeniopygia_guttata	ILLUMINA	2015-09-16T00:00:00Z	SAMEA3532874	ERP011851	missing	ERS840023	2015-09-15	2018-11-16	COLUMBIA UNIVERSITY	2015-09-15T17:01:23Z	2015-09-10T15:11:23Z	public	ERS840023	zebra finch (wild)	28078	taeGut1	ERC000011	1
PRJEB10586	ERR1013179	WGS	SAMEA3532875	COLUMBIA UNIVERSITY	public	bam	ena	ena	ERX1092203	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Taeniopygia_guttata	ILLUMINA	2015-09-16T00:00:00Z	SAMEA3532875	ERP011851	missing	ERS840024	2015-09-15	2018-11-16	COLUMBIA UNIVERSITY	2015-09-15T17:01:23Z	2015-09-10T15:11:23Z	public	ERS840024	zebra finch (wild)	28313	taeGut1	ERC000011	1
