Run,Assay Type,BioSample,Center Name,Consent,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,DATASTORE filetype,DATASTORE provider,DATASTORE region,AvgSpotLen,Bases,Bytes,BioProject,Library Name,BioSampleModel,sex,Isolate,Tissue,AGE,geo_loc_name_country,geo_loc_name_country_continent,dev_stage,geo_loc_name,Collection_date,Ecotype,Breed,Strain,lat_lon,Cultivar,Specimen_voucher,isol_growth_condt,Biomaterial_provider,Sample_Type,Sample_Name,env_biome,env_feature,env_material,estimated_size,num_replicons,ploidy,propagation,collected_by,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,SRA_accession,Title,AssemblyName,run (run),actual_read_length (run),total_bases (run),project_name,Alias,geographic_location_(country_and/or_sea),Broker_name,isolation-source,env_broad_scale,env_local_scale,env_medium,sub_species,Investigation_type,snout-vent_length,vent-tail,weight,ENA_CHECKLIST,fasta_file (run),organism (run),COUNTRY,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,common_name,environment_(biome),environment_(feature),environment_(material),External_Id,geographic_location_(latitude),geographic_location_(longitude),host-associated_environmental_package,Sequencing_method,Submitter_Id,biotic_relationship,Clone,extrachrom_elements,rel_to_oxygen,samp_collect_device,samp_mat_process,samp_size,Source_material_ID,subspecf_gen_lin,trophic_level,Isolation_source,Description,Label,identified_by,locus_tag_prefix,geographic_location_(region_and_locality),PHENOTYPE,BIOME,Env_package,feature,material,Replicate,tissue_type,death_date,quality_book_char (run),Sample_ID,birth_location,Genotype,store_cond,tissue-type,geo-loc-name,specimen-voucher,alternative_specimen_voucher,sequencing_date (run),type-material
ERR340440,WGS,SAMEA1713766,DUKE,public,ERX313289,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Boa constrictor constrictor,ILLUMINA,2013-09-20T00:00:00Z,SAMEA1713766,ERP002294,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",202,3948250994,3583359440,PRJEB1550,D0472ACXX,,,,,,,,,,,,,,,,,,,,ERS218597,,,,,,,,,2013-09-13,2018-11-16,ILLUMINA,Illumina Cambridge Ltd.,2013-03-20T17:02:39Z,2013-03-04T13:22:45Z,public,ERS218597,Boa constrictor constrictor Sample used at the Assemblathon 2,,,,,,Boa constrictor constrictor #Assemblathon_2,,"Broker id for Matthias Haimel for Assemblathon 2 submissions\, Cambridge\, UK",,,,,constrictor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR340441,WGS,SAMEA1713766,DUKE,public,ERX313290,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Boa constrictor constrictor,ILLUMINA,2013-09-20T00:00:00Z,SAMEA1713766,ERP002294,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",202,7369202198,6720695419,PRJEB1550,D0472ACXX,,,,,,,,,,,,,,,,,,,,ERS218597,,,,,,,,,2013-09-13,2018-11-16,ILLUMINA,Illumina Cambridge Ltd.,2013-03-20T17:02:39Z,2013-03-04T13:22:45Z,public,ERS218597,Boa constrictor constrictor Sample used at the Assemblathon 2,,,,,,Boa constrictor constrictor #Assemblathon_2,,"Broker id for Matthias Haimel for Assemblathon 2 submissions\, Cambridge\, UK",,,,,constrictor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR340442,WGS,SAMEA1713766,DUKE,public,ERX313291,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Boa constrictor constrictor,ILLUMINA,2013-09-20T00:00:00Z,SAMEA1713766,ERP002294,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",202,4645127966,4203971652,PRJEB1550,D0472ACXX,,,,,,,,,,,,,,,,,,,,ERS218597,,,,,,,,,2013-09-13,2018-11-16,ILLUMINA,Illumina Cambridge Ltd.,2013-03-20T17:02:39Z,2013-03-04T13:22:45Z,public,ERS218597,Boa constrictor constrictor Sample used at the Assemblathon 2,,,,,,Boa constrictor constrictor #Assemblathon_2,,"Broker id for Matthias Haimel for Assemblathon 2 submissions\, Cambridge\, UK",,,,,constrictor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR340443,WGS,SAMEA1713766,DUKE,public,ERX313292,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Boa constrictor constrictor,ILLUMINA,2013-09-20T00:00:00Z,SAMEA1713766,ERP002294,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",202,636851056,568044932,PRJEB1550,D0472ACXX,,,,,,,,,,,,,,,,,,,,ERS218597,,,,,,,,,2013-09-13,2018-11-16,ILLUMINA,Illumina Cambridge Ltd.,2013-03-20T17:02:39Z,2013-03-04T13:22:45Z,public,ERS218597,Boa constrictor constrictor Sample used at the Assemblathon 2,,,,,,Boa constrictor constrictor #Assemblathon_2,,"Broker id for Matthias Haimel for Assemblathon 2 submissions\, Cambridge\, UK",,,,,constrictor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR340444,WGS,SAMEA1713766,DUKE,public,ERX313293,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Boa constrictor constrictor,ILLUMINA,2013-09-20T00:00:00Z,SAMEA1713766,ERP002294,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",202,1295376914,1139409238,PRJEB1550,D0472ACXX,,,,,,,,,,,,,,,,,,,,ERS218597,,,,,,,,,2013-09-13,2018-11-16,ILLUMINA,Illumina Cambridge Ltd.,2013-03-20T17:02:39Z,2013-03-04T13:22:45Z,public,ERS218597,Boa constrictor constrictor Sample used at the Assemblathon 2,,,,,,Boa constrictor constrictor #Assemblathon_2,,"Broker id for Matthias Haimel for Assemblathon 2 submissions\, Cambridge\, UK",,,,,constrictor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR340445,WGS,SAMEA1713766,DUKE,public,ERX313294,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Boa constrictor constrictor,ILLUMINA,2013-09-20T00:00:00Z,SAMEA1713766,ERP002294,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",202,3701657878,3188746008,PRJEB1550,D0472ACXX,,,,,,,,,,,,,,,,,,,,ERS218597,,,,,,,,,2013-09-13,2018-11-16,ILLUMINA,Illumina Cambridge Ltd.,2013-03-20T17:02:39Z,2013-03-04T13:22:45Z,public,ERS218597,Boa constrictor constrictor Sample used at the Assemblathon 2,,,,,,Boa constrictor constrictor #Assemblathon_2,,"Broker id for Matthias Haimel for Assemblathon 2 submissions\, Cambridge\, UK",,,,,constrictor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR340446,WGS,SAMEA1713766,DUKE,public,ERX313295,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Boa constrictor constrictor,ILLUMINA,2013-09-20T00:00:00Z,SAMEA1713766,ERP002294,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",202,6542083100,5861431401,PRJEB1550,D0472ACXX,,,,,,,,,,,,,,,,,,,,ERS218597,,,,,,,,,2013-09-13,2018-11-16,ILLUMINA,Illumina Cambridge Ltd.,2013-03-20T17:02:39Z,2013-03-04T13:22:45Z,public,ERS218597,Boa constrictor constrictor Sample used at the Assemblathon 2,,,,,,Boa constrictor constrictor #Assemblathon_2,,"Broker id for Matthias Haimel for Assemblathon 2 submissions\, Cambridge\, UK",,,,,constrictor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR340447,WGS,SAMEA1713766,DUKE,public,ERX313296,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Boa constrictor constrictor,ILLUMINA,2013-09-20T00:00:00Z,SAMEA1713766,ERP002294,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",202,3070090334,2803381704,PRJEB1550,D0472ACXX,,,,,,,,,,,,,,,,,,,,ERS218597,,,,,,,,,2013-09-13,2018-11-16,ILLUMINA,Illumina Cambridge Ltd.,2013-03-20T17:02:39Z,2013-03-04T13:22:45Z,public,ERS218597,Boa constrictor constrictor Sample used at the Assemblathon 2,,,,,,Boa constrictor constrictor #Assemblathon_2,,"Broker id for Matthias Haimel for Assemblathon 2 submissions\, Cambridge\, UK",,,,,constrictor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR340448,WGS,SAMEA1713766,DUKE,public,ERX313297,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Boa constrictor constrictor,ILLUMINA,2013-09-20T00:00:00Z,SAMEA1713766,ERP002294,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",202,1825013036,1635779866,PRJEB1550,D0472ACXX,,,,,,,,,,,,,,,,,,,,ERS218597,,,,,,,,,2013-09-13,2018-11-16,ILLUMINA,Illumina Cambridge Ltd.,2013-03-20T17:02:39Z,2013-03-04T13:22:45Z,public,ERS218597,Boa constrictor constrictor Sample used at the Assemblathon 2,,,,,,Boa constrictor constrictor #Assemblathon_2,,"Broker id for Matthias Haimel for Assemblathon 2 submissions\, Cambridge\, UK",,,,,constrictor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR941259,WGS,SAMN02223082,UC BERKELEY,public,SRX326529,Illumina Genome Analyzer,PAIRED,RANDOM,GENOMIC,Thamnophis elegans,ILLUMINA,2015-07-22T00:00:00Z,Thamnophis elegans female,SRP026493,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",164,7898127988,5890742588,PRJNA210004,GarterFdna,,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Garter Snake female,,,,,,,,,,,,,,,,,,,,,,
SRR941260,WGS,SAMN02223083,UC BERKELEY,public,SRX326530,Illumina Genome Analyzer,PAIRED,RANDOM,GENOMIC,Thamnophis elegans,ILLUMINA,2015-07-22T00:00:00Z,Thamnophis elegans male,SRP026493,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",164,9304294164,6662141815,PRJNA210004,GarterMdna,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Garter Snake male,,,,,,,,,,,,,,,,,,,,,,
SRR941261,WGS,SAMN02223080,UC BERKELEY,public,SRX326527,Illumina Genome Analyzer,PAIRED,RANDOM,GENOMIC,Sistrurus miliarius,ILLUMINA,2015-07-22T00:00:00Z,Sistrurus miliarius female,SRP026493,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",164,8624484316,6059887947,PRJNA210004,PygmyRattlesnakeFdna,,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pygmy Rattlesnake female,,,,,,,,,,,,,,,,,,,,,,
SRR941263,WGS,SAMN02223081,UC BERKELEY,public,SRX326528,Illumina Genome Analyzer,PAIRED,RANDOM,GENOMIC,Sistrurus miliarius,ILLUMINA,2015-07-22T00:00:00Z,Sistrurus miliarius male,SRP026493,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",164,7705168704,5842125644,PRJNA210004,PygmyRattlesnakeMdna,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pygmy Rattlesnake male,,,,,,,,,,,,,,,,,,,,,,
SRR2651093,WGS,SAMN04094110,"UNIVERSITY OF CALIFORNIA, BERKELEY",public,SRX1309380,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Anolis carolinensis,ILLUMINA,2016-10-14T00:00:00Z,MVZ 214979,SRP064545,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",200,12864716200,8165481803,PRJNA295940,,Model organism or animal,not determined,,liver,,,,adult,,1985,Louisiana Anole,,,,,,,"Museum of Vertebrate Zoology\, University of California\, Berkeley",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR2651655,WGS,SAMN04161375,"UNIVERSITY OF CALIFORNIA, BERKELEY",public,SRX1336372,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Anolis carolinensis,ILLUMINA,2016-09-17T00:00:00Z,MVZ 43405,SRP064545,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",190,17685534000,10074718029,PRJNA295940,JMSH001B,Model organism or animal,not determined,,liver,,,,adult,,,Louisiana Anole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR2017627,WGS,SAMN02402779,WUGSC,public,SRX1023942,Illumina HiSeq 2000,PAIRED,unspecified,GENOMIC,Thamnophis sirtalis,ILLUMINA,2015-05-12T00:00:00Z,262412,SRP018850,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",200,14897483800,9520236453,PRJNA189551,2895052569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR2017652,WGS,SAMN02402779,WUGSC,public,SRX1023943,Illumina HiSeq 2000,PAIRED,unspecified,GENOMIC,Thamnophis sirtalis,ILLUMINA,2015-05-13T00:00:00Z,262412,SRP018850,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",200,19727787000,13275852950,PRJNA189551,2895074839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR628242,WGS,SAMN01815951,UNIVERSITY OF ARKANSAS,public,SRX208141,Illumina HiSeq 2000,PAIRED,unspecified,GENOMIC,Crotalus horridus,ILLUMINA,2013-12-03T00:00:00Z,Crotalus horridus,SRP017258,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",101,16882973352,11419674196,PRJNA181087,,MIGS.eu,female,016-059-111,,,USA,North America,adult,USA: Arkansas,2009-12-09,,,,,,,missing,,,,,,,2000000000,10,diploid,single adult,,,,,,,,,,,,,,,Crotalus horridus genome,,,,,,,,,eukaryote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chh WMA-T 9/12/09,,,,,vertebrate,missing,mountain,blood,,,,,,,,,,,,,,
SRR3185239,WGS,SAMN01815951,MISSISSIPPI STATE UNIVERSITY,public,SRX1598453,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Crotalus horridus,ILLUMINA,2016-02-25T00:00:00Z,Crotalus horridus,SRP017258,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",600,7108737600,4538695840,PRJNA181087,DL12a,MIGS.eu,female,016-059-111,,,USA,North America,adult,USA: Arkansas,2009-12-09,,,,,,,missing,,,,,,,2000000000,10,diploid,single adult,,,,,,,,,,,,,,,Crotalus horridus genome,,,,,,,,,eukaryote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chh WMA-T 9/12/09,,,,,vertebrate,missing,mountain,blood,,,,,,,,,,,,,,
SRR3185241,WGS,SAMN01815951,MISSISSIPPI STATE UNIVERSITY,public,SRX1598453,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Crotalus horridus,ILLUMINA,2016-02-25T00:00:00Z,Crotalus horridus,SRP017258,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",600,7326886800,4798786336,PRJNA181087,DL12a,MIGS.eu,female,016-059-111,,,USA,North America,adult,USA: Arkansas,2009-12-09,,,,,,,missing,,,,,,,2000000000,10,diploid,single adult,,,,,,,,,,,,,,,Crotalus horridus genome,,,,,,,,,eukaryote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chh WMA-T 9/12/09,,,,,vertebrate,missing,mountain,blood,,,,,,,,,,,,,,
SRR3185252,WGS,SAMN01815951,MISSISSIPPI STATE UNIVERSITY,public,SRX1598457,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Crotalus horridus,ILLUMINA,2016-02-25T00:00:00Z,Crotalus horridus,SRP017258,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",600,7850490000,5454220840,PRJNA181087,DL12b,MIGS.eu,female,016-059-111,,,USA,North America,adult,USA: Arkansas,2009-12-09,,,,,,,missing,,,,,,,2000000000,10,diploid,single adult,,,,,,,,,,,,,,,Crotalus horridus genome,,,,,,,,,eukaryote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chh WMA-T 9/12/09,,,,,vertebrate,missing,mountain,blood,,,,,,,,,,,,,,
SRR3185265,WGS,SAMN01815951,MISSISSIPPI STATE UNIVERSITY,public,SRX1598457,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Crotalus horridus,ILLUMINA,2016-02-25T00:00:00Z,Crotalus horridus,SRP017258,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",600,7973455200,5520521151,PRJNA181087,DL12b,MIGS.eu,female,016-059-111,,,USA,North America,adult,USA: Arkansas,2009-12-09,,,,,,,missing,,,,,,,2000000000,10,diploid,single adult,,,,,,,,,,,,,,,Crotalus horridus genome,,,,,,,,,eukaryote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chh WMA-T 9/12/09,,,,,vertebrate,missing,mountain,blood,,,,,,,,,,,,,,
SRR3185268,WGS,SAMN01815951,MISSISSIPPI STATE UNIVERSITY,public,SRX1598458,Illumina HiSeq 2500,PAIRED,RANDOM,GENOMIC,Crotalus horridus,ILLUMINA,2016-02-25T00:00:00Z,Crotalus horridus,SRP017258,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",200,16052783200,9543977858,PRJNA181087,DL12a,MIGS.eu,female,016-059-111,,,USA,North America,adult,USA: Arkansas,2009-12-09,,,,,,,missing,,,,,,,2000000000,10,diploid,single adult,,,,,,,,,,,,,,,Crotalus horridus genome,,,,,,,,,eukaryote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chh WMA-T 9/12/09,,,,,vertebrate,missing,mountain,blood,,,,,,,,,,,,,,
SRR3185269,WGS,SAMN01815951,MISSISSIPPI STATE UNIVERSITY,public,SRX1598458,Illumina HiSeq 2500,PAIRED,RANDOM,GENOMIC,Crotalus horridus,ILLUMINA,2016-02-25T00:00:00Z,Crotalus horridus,SRP017258,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",200,14176133000,8305981979,PRJNA181087,DL12a,MIGS.eu,female,016-059-111,,,USA,North America,adult,USA: Arkansas,2009-12-09,,,,,,,missing,,,,,,,2000000000,10,diploid,single adult,,,,,,,,,,,,,,,Crotalus horridus genome,,,,,,,,,eukaryote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chh WMA-T 9/12/09,,,,,vertebrate,missing,mountain,blood,,,,,,,,,,,,,,
