BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Isolate	Biomaterial_provider	Collection_date	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	lat_lon	Sample_Name	project_name	isol_growth_condt	estimated_size	num_replicons	ploidy	propagation	ref_biomaterial	env_biome	env_feature	env_material	use_species
PRJDB1657	DRR084075	WGS	200	5967283800	SAMD00024017	4807919271	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077906	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Oreochromis_mossambicus	ILLUMINA	2017-01-27T00:00:00Z	SAMD00024017	DRP003419	MIGS.eu	missing	TR3	TLL	2013-11-01	Singapore	Asia	Singapore	missing	TR3	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	1
PRJDB1657	DRR084079	WGS	200	5945638600	SAMD00024021	4719218479	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077910	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Oreochromis_mossambicus	ILLUMINA	2017-01-27T00:00:00Z	SAMD00024021	DRP003419	MIGS.eu	missing	TR4	TLL	2013-11-01	Singapore	Asia	Singapore	missing	TR4	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	1
PRJDB1657	DRR084087	WGS	200	6285861200	SAMD00024029	5065189234	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077918	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Tilapia_sp._TR65	ILLUMINA	2017-01-27T00:00:00Z	SAMD00024029	DRP003419	MIGS.eu	missing	TR65	TLL	2013-12-01	China	Asia	China	missing	TR65	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	0
PRJDB1657	DRR084088	WGS	200	5455824600	SAMD00024030	4244705512	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077919	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Tilapia_sp._TR65	ILLUMINA	2017-01-27T00:00:00Z	SAMD00024030	DRP003419	MIGS.eu	missing	TR69	TLL	2013-12-01	China	Asia	China	missing	TR69	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	0
PRJDB1657	DRR084089	WGS	200	7072788600	SAMD00024031	5445937097	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077920	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Tilapia_sp._TR65	ILLUMINA	2017-01-27T00:00:00Z	SAMD00024031	DRP003419	MIGS.eu	missing	TR72	TLL	2013-12-01	China	Asia	China	missing	TR72	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	0
PRJDB1657	DRR084090	WGS	200	7079502600	SAMD00024032	5696459019	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077921	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Tilapia_sp._TR65	ILLUMINA	2017-01-27T00:00:00Z	SAMD00024032	DRP003419	MIGS.eu	missing	TR73	TLL	2013-12-01	China	Asia	China	missing	TR73	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	0
PRJDB1657	DRR084054	WGS	200	5064182800	SAMD00023996	4069067598	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077885	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2017-01-27T00:00:00Z	SAMD00023996	DRP003419	MIGS.eu	missing	TR10	TLL	2013-11-01	Singapore	Asia	Singapore	missing	TR10	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	1
PRJDB1657	DRR084060	WGS	200	6257270600	SAMD00024002	5050706326	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077891	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2017-01-27T00:00:00Z	SAMD00024002	DRP003419	MIGS.eu	missing	TR11	TLL	2013-11-01	Singapore	Asia	Singapore	missing	TR11	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	1
PRJDB1657	DRR084064	WGS	200	5689699600	SAMD00024006	4592316513	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077895	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2017-01-27T00:00:00Z	SAMD00024006	DRP003419	MIGS.eu	missing	TR12	TLL	2013-11-01	Singapore	Asia	Singapore	missing	TR12	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	1
PRJDB1657	DRR084065	WGS	200	6493200600	SAMD00024007	5217569537	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077896	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2017-01-27T00:00:00Z	SAMD00024007	DRP003419	MIGS.eu	missing	TR13	TLL	2013-12-01	China	Asia	China	missing	TR13	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	1
PRJDB1657	DRR084066	WGS	200	6123851400	SAMD00024008	4783694411	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077897	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2017-01-27T00:00:00Z	SAMD00024008	DRP003419	MIGS.eu	missing	TR15	TLL	2013-12-01	China	Asia	China	missing	TR15	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	1
PRJDB1657	DRR084067	WGS	200	6756228800	SAMD00024009	5417118687	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077898	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2017-01-27T00:00:00Z	SAMD00024009	DRP003419	MIGS.eu	missing	TR17	TLL	2013-12-01	China	Asia	China	missing	TR17	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	1
PRJDB1657	DRR084068	WGS	200	7116801200	SAMD00024010	5555636089	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077899	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2017-01-27T00:00:00Z	SAMD00024010	DRP003419	MIGS.eu	missing	TR18	TLL	2013-12-01	China	Asia	China	missing	TR18	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	1
PRJDB1657	DRR084070	WGS	200	5998941200	SAMD00024012	4813786951	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077901	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2017-01-27T00:00:00Z	SAMD00024012	DRP003419	MIGS.eu	missing	TR25	TLL	2013-12-01	China	Asia	China	missing	TR25	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	1
PRJDB1657	DRR084071	WGS	200	7283381400	SAMD00024013	5844621979	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077902	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2017-01-27T00:00:00Z	SAMD00024013	DRP003419	MIGS.eu	missing	TR26	TLL	2013-12-01	China	Asia	China	missing	TR26	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	1
PRJDB1657	DRR084072	WGS	200	6043498600	SAMD00024014	4734440175	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077903	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2017-01-27T00:00:00Z	SAMD00024014	DRP003419	MIGS.eu	missing	TR27	TLL	2013-12-01	China	Asia	China	missing	TR27	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	1
PRJDB1657	DRR084074	WGS	200	5963672600	SAMD00024016	4678036297	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077905	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2017-01-27T00:00:00Z	SAMD00024016	DRP003419	MIGS.eu	missing	TR29	TLL	2013-12-01	China	Asia	China	missing	TR29	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	1
PRJDB1657	DRR084076	WGS	200	6666236600	SAMD00024018	5222657593	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077907	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2017-01-27T00:00:00Z	SAMD00024018	DRP003419	MIGS.eu	missing	TR30	TLL	2013-12-01	China	Asia	China	missing	TR30	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	1
PRJDB1657	DRR084077	WGS	200	5447012000	SAMD00024019	4395194921	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077908	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2017-01-27T00:00:00Z	SAMD00024019	DRP003419	MIGS.eu	missing	TR38	TLL	2013-12-01	China	Asia	China	missing	TR38	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	1
PRJDB1657	DRR084078	WGS	200	6309895400	SAMD00024020	5061172403	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077909	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2017-01-27T00:00:00Z	SAMD00024020	DRP003419	MIGS.eu	missing	TR39	TLL	2013-12-01	China	Asia	China	missing	TR39	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	1
PRJDB1657	DRR084080	WGS	200	5920437400	SAMD00024022	4783253884	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077911	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2017-01-27T00:00:00Z	SAMD00024022	DRP003419	MIGS.eu	missing	TR51	TLL	2013-12-01	China	Asia	China	missing	TR51	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	1
PRJDB1657	DRR084081	WGS	200	5643451800	SAMD00024023	4329643599	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077912	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2017-01-27T00:00:00Z	SAMD00024023	DRP003419	MIGS.eu	missing	TR52	TLL	2013-12-01	China	Asia	China	missing	TR52	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	1
PRJDB1657	DRR084082	WGS	200	6162409800	SAMD00024024	4723990963	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077913	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2017-01-27T00:00:00Z	SAMD00024024	DRP003419	MIGS.eu	missing	TR53	TLL	2013-12-01	China	Asia	China	missing	TR53	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	1
PRJDB1657	DRR084083	WGS	200	5943952400	SAMD00024025	4553139750	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077914	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2017-01-27T00:00:00Z	SAMD00024025	DRP003419	MIGS.eu	missing	TR54	TLL	2013-12-01	China	Asia	China	missing	TR54	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	1
PRJDB1657	DRR084084	WGS	200	6974187000	SAMD00024026	5538117344	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077915	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2017-01-27T00:00:00Z	SAMD00024026	DRP003419	MIGS.eu	missing	TR59	TLL	2013-12-01	China	Asia	China	missing	TR59	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	1
PRJDB1657	DRR084085	WGS	200	6273770600	SAMD00024027	5008055369	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077916	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2017-01-27T00:00:00Z	SAMD00024027	DRP003419	MIGS.eu	missing	TR61	TLL	2013-12-01	China	Asia	China	missing	TR61	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	1
PRJDB1657	DRR084086	WGS	200	7060695800	SAMD00024028	5610235807	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077917	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2017-01-27T00:00:00Z	SAMD00024028	DRP003419	MIGS.eu	missing	TR64	TLL	2013-12-01	China	Asia	China	missing	TR64	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	1
PRJDB1657	DRR084091	WGS	200	6700863000	SAMD00024033	5136711451	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077922	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2017-01-27T00:00:00Z	SAMD00024033	DRP003419	MIGS.eu	missing	TR80	TLL	2013-12-01	China	Asia	China	missing	TR80	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	1
PRJDB1657	DRR084092	WGS	200	6419942000	SAMD00024034	4940834979	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077923	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2017-01-27T00:00:00Z	SAMD00024034	DRP003419	MIGS.eu	missing	TR82	TLL	2013-12-01	China	Asia	China	missing	TR82	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	1
PRJDB1657	DRR084093	WGS	200	6868034400	SAMD00024035	5514965939	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077924	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2017-01-27T00:00:00Z	SAMD00024035	DRP003419	MIGS.eu	missing	TR83	TLL	2013-12-01	China	Asia	China	missing	TR83	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	1
PRJDB1657	DRR084094	WGS	200	5462523000	SAMD00024036	4396387092	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077925	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2017-01-27T00:00:00Z	SAMD00024036	DRP003419	MIGS.eu	missing	TR84	TLL	2013-12-01	China	Asia	China	missing	TR84	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	1
PRJDB1657	DRR084095	WGS	200	5546619200	SAMD00024037	4316657632	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077926	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2017-01-27T00:00:00Z	SAMD00024037	DRP003419	MIGS.eu	missing	TR85	TLL	2013-12-01	China	Asia	China	missing	TR85	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	1
PRJDB1657	DRR084096	WGS	200	5519152200	SAMD00024038	4439436670	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077927	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2017-01-27T00:00:00Z	SAMD00024038	DRP003419	MIGS.eu	missing	TR88	TLL	2013-12-01	China	Asia	China	missing	TR88	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	1
PRJDB1657	DRR084097	WGS	200	6511076400	SAMD00024039	5219720867	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077928	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2017-01-27T00:00:00Z	SAMD00024039	DRP003419	MIGS.eu	missing	TR9	TLL	2013-11-01	Singapore	Asia	Singapore	missing	TR9	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	1
PRJDB1657	DRR084098	WGS	200	6795917800	SAMD00024040	5213187982	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077929	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2017-01-27T00:00:00Z	SAMD00024040	DRP003419	MIGS.eu	missing	TR91	TLL	2013-12-01	China	Asia	China	missing	TR91	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	1
PRJDB1657	DRR084099	WGS	200	6073338600	SAMD00024041	4697028160	TEMASEK	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX077930	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2017-01-27T00:00:00Z	SAMD00024041	DRP003419	MIGS.eu	missing	TR93	TLL	2013-12-01	China	Asia	China	missing	TR93	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	1
PRJDB1657	DRR084073	WGS	200	5207854400	SAMD00024015	4208596690	TEMASEK	public	sra	s3,gs,ncbi	gs.US,ncbi.public,s3.us-east-1	DRX077904	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2017-01-27T00:00:00Z	SAMD00024015	DRP003419	MIGS.eu	missing	TR28	TLL	2013-12-01	China	Asia	China	missing	TR28	A genome-wide scan for signatures of recent selection in tilapia	missing	missing	1	diploid	sexual	missing	aquatic biome	Aquaculture tanks	water	1
