BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	AGE	Biomaterial_provider	Collection_date	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Strain	store_cond	birth_location	birth_date	use_species
PRJNA255814	SRR5369941	WGS	200	12528766200	SAMN06619717	8920399156	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665268	Illumina HiSeq 2000	HI.1158.006.Index_6.Pitaliae_26_Guglionesi_432	PAIRED	RANDOM	GENOMIC	Passer_italiae	ILLUMINA	2017-03-24T00:00:00Z	2008-P0432	SRP045123	Model organism or animal	male	blood	2008-P0432	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369942	WGS	200	14866892800	SAMN06619716	10490195379	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665269	Illumina HiSeq 2000	HI.1158.006.Index_5.Pitaliae_25_Guglionesi_431	PAIRED	RANDOM	GENOMIC	Passer_italiae	ILLUMINA	2017-03-24T00:00:00Z	2008-P0431	SRP045123	Model organism or animal	male	blood	2008-P0431	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369943	WGS	200	13837050600	SAMN06619715	9800882325	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665270	Illumina HiSeq 2000	HI.1158.006.Index_4.Pitaliae_24_Guglionesi_429	PAIRED	RANDOM	GENOMIC	Passer_italiae	ILLUMINA	2017-03-24T00:00:00Z	2008-P0429	SRP045123	Model organism or animal	male	blood	2008-P0429	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369944	WGS	200	13123361600	SAMN06619714	9532578772	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665271	Illumina HiSeq 2000	HI.1158.005.Index_3.Pitaliae_23_Guglionesi_428	PAIRED	RANDOM	GENOMIC	Passer_italiae	ILLUMINA	2017-03-24T00:00:00Z	2008-P0428	SRP045123	Model organism or animal	male	blood	2008-P0428	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369946	WGS	200	15156260000	SAMN06619712	10999065914	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665273	Illumina HiSeq 2000	HI.1158.005.Index_1.Pitaliae_21_Guglionesi_426	PAIRED	RANDOM	GENOMIC	Passer_italiae	ILLUMINA	2017-03-24T00:00:00Z	2008-P0426	SRP045123	Model organism or animal	male	blood	2008-P0426	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369947	WGS	200	13115738200	SAMN06619711	8377999098	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665274	Illumina HiSeq 2000	HI.1231.008.Index_27.Phisp_20_Lesina_295	PAIRED	RANDOM	GENOMIC	Passer_hispaniolensis	ILLUMINA	2017-03-24T00:00:00Z	2008-P0295	SRP045123	Model organism or animal	male	blood	2008-P0295	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369948	WGS	200	15004555400	SAMN06619710	10922285563	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665275	Illumina HiSeq 2000	HI.1158.004.Index_25.Phisp_19_Lesina_292	PAIRED	RANDOM	GENOMIC	Passer_hispaniolensis	ILLUMINA	2017-03-24T00:00:00Z	2008-P0292	SRP045123	Model organism or animal	male	blood	2008-P0292	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369949	WGS	200	13007650800	SAMN06619709	9495750936	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665276	Illumina HiSeq 2000	HI.1158.004.Index_23.Phisp_18_Lesina_289	PAIRED	RANDOM	GENOMIC	Passer_hispaniolensis	ILLUMINA	2017-03-24T00:00:00Z	2008-P0289	SRP045123	Model organism or animal	male	blood	2008-P0289	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369950	WGS	200	13041485200	SAMN06619708	9512948172	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665277	Illumina HiSeq 2000	HI.1158.004.Index_22.Phisp_17_Lesina_288	PAIRED	RANDOM	GENOMIC	Passer_hispaniolensis	ILLUMINA	2017-03-24T00:00:00Z	2008-P0288	SRP045123	Model organism or animal	male	blood	2008-P0288	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369951	WGS	200	14470337200	SAMN06619707	10308067865	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665278	Illumina HiSeq 2000	HI.1158.003.Index_21.Phisp_16_Lesina_287	PAIRED	RANDOM	GENOMIC	Passer_hispaniolensis	ILLUMINA	2017-03-24T00:00:00Z	2008-P0287	SRP045123	Model organism or animal	male	blood	2008-P0287	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369952	WGS	200	13931830200	SAMN06619706	10016762853	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665279	Illumina HiSeq 2000	HI.1158.003.Index_20.Phisp_15_Lesina_286	PAIRED	RANDOM	GENOMIC	Passer_hispaniolensis	ILLUMINA	2017-03-24T00:00:00Z	2008-P0286	SRP045123	Model organism or animal	male	blood	2008-P0286	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369954	WGS	200	13179326000	SAMN06619704	8438968919	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665281	Illumina HiSeq 2000	HI.1231.008.Index_18.Phisp_13_Lesina_282	PAIRED	RANDOM	GENOMIC	Passer_hispaniolensis	ILLUMINA	2017-03-24T00:00:00Z	2008-P0282	SRP045123	Model organism or animal	male	blood	2008-P0282	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369955	WGS	200	13915473600	SAMN06619703	9481577448	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665282	Illumina HiSeq 2000	HI.1231.007.Index_16.Phisp_12_Lesina_281	PAIRED	RANDOM	GENOMIC	Passer_hispaniolensis	ILLUMINA	2017-03-24T00:00:00Z	2008-P0281	SRP045123	Model organism or animal	male	blood	2008-P0281	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369956	WGS	200	16940824800	SAMN06619702	11356286479	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665283	Illumina HiSeq 2000	HI.1231.007.Index_15.Phisp_11_Lesina_280	PAIRED	RANDOM	GENOMIC	Passer_hispaniolensis	ILLUMINA	2017-03-24T00:00:00Z	2008-P0280	SRP045123	Model organism or animal	male	blood	2008-P0280	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369957	WGS	200	14071019800	SAMN06619701	6313358084	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665284	Illumina HiSeq 2000	HI.1481.007.Index_16.8N73604	PAIRED	RANDOM	GENOMIC	Passer_domesticus	ILLUMINA	2017-03-24T00:00:00Z	8N73604	SRP045123	Model organism or animal	male	blood	8N73604	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369958	WGS	200	13122177000	SAMN06619700	5908320221	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665285	Illumina HiSeq 2000	HI.1481.006.Index_14.8N73248	PAIRED	RANDOM	GENOMIC	Passer_domesticus	ILLUMINA	2017-03-24T00:00:00Z	8N73248	SRP045123	Model organism or animal	male	blood	8N73248	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369959	WGS	200	11905583200	SAMN06619699	5351153806	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665286	Illumina HiSeq 2000	HI.1481.006.Index_12.8N06612	PAIRED	RANDOM	GENOMIC	Passer_domesticus	ILLUMINA	2017-03-24T00:00:00Z	8N06612	SRP045123	Model organism or animal	male	blood	8N06612	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369960	WGS	200	12860384800	SAMN06619698	5822140538	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665287	Illumina HiSeq 2000	HI.1481.005.Index_11.8N05890	PAIRED	RANDOM	GENOMIC	Passer_domesticus	ILLUMINA	2017-03-24T00:00:00Z	8N05890	SRP045123	Model organism or animal	male	blood	8N05890	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369961	WGS	200	11825613200	SAMN06619697	5317139790	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665288	Illumina HiSeq 2000	HI.1481.003.Index_5.8M72455	PAIRED	RANDOM	GENOMIC	Passer_domesticus	ILLUMINA	2017-03-24T00:00:00Z	8M72455	SRP045123	Model organism or animal	male	blood	8M72455	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369962	WGS	200	13807568400	SAMN06619696	6237254569	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665289	Illumina HiSeq 2000	HI.1481.003.Index_4.8M71932	PAIRED	RANDOM	GENOMIC	Passer_domesticus	ILLUMINA	2017-03-24T00:00:00Z	8M71932	SRP045123	Model organism or animal	male	blood	8M71932	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369963	WGS	200	13541257400	SAMN06619695	6279984506	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665290	Illumina HiSeq 2000	HI.1481.002.Index_2.8M31651	PAIRED	RANDOM	GENOMIC	Passer_domesticus	ILLUMINA	2017-03-24T00:00:00Z	8M31651	SRP045123	Model organism or animal	male	blood	8M31651	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369964	WGS	200	12762850800	SAMN06619694	5916816051	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665291	Illumina HiSeq 2000	HI.1481.002.Index_1.8L89915	PAIRED	RANDOM	GENOMIC	Passer_domesticus	ILLUMINA	2017-03-24T00:00:00Z	8L89915	SRP045123	Model organism or animal	male	blood	8L89915	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369965	WGS	200	13160673600	SAMN06619693	6085822251	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665292	Illumina HiSeq 2000	HI.1481.002.Index_27.8L64869	PAIRED	RANDOM	GENOMIC	Passer_domesticus	ILLUMINA	2017-03-24T00:00:00Z	8L64869	SRP045123	Model organism or animal	male	blood	8L64869	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369966	WGS	200	13372320200	SAMN06619692	9143694518	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665293	Illumina HiSeq 2000	HI.1452.007.Index_15.8L19786	PAIRED	RANDOM	GENOMIC	Passer_domesticus	ILLUMINA	2017-03-24T00:00:00Z	8L19786	SRP045123	Model organism or animal	male	blood	8L19786	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369945	WGS	200	12714878200	SAMN06619713	9286501632	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665272	Illumina HiSeq 2000	HI.1158.005.Index_2.Pitaliae_22_Guglionesi_427	PAIRED	RANDOM	GENOMIC	Passer_italiae	ILLUMINA	2017-03-24T00:00:00Z	2008-P0427	SRP045123	Model organism or animal	male	blood	2008-P0427	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369953	WGS	200	12466651000	SAMN06619705	9024475945	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665280	Illumina HiSeq 2000	HI.1158.003.Index_19.Phisp_14_Lesina_285	PAIRED	RANDOM	GENOMIC	Passer_hispaniolensis	ILLUMINA	2017-03-24T00:00:00Z	2008-P0285	SRP045123	Model organism or animal	male	blood	2008-P0285	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369938	WGS	200	14273018000	SAMN06619720	10280470896	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665265	Illumina HiSeq 2000	HI.1158.007.Index_9.Pitaliae_29_Guglionesi_435	PAIRED	RANDOM	GENOMIC	Passer_italiae	ILLUMINA	2017-03-24T00:00:00Z	2008-P0435	SRP045123	Model organism or animal	male	blood	2008-P0435	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5407744	WGS	200	16647794000	SAMN02929199	11049380374	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2700193	Illumina HiSeq 2000	HI.1031.001.Index_16.Sparrow_8887266_2	PAIRED	RANDOM	GENOMIC	Passer_domesticus	ILLUMINA	2017-04-03T00:00:00Z	8887266	SRP045123	Model organism or animal	female	Whole blood	8887266	Newly fledged	Juvenile (ca. 20 days)	Henrik Jensen\, Department of Biology\, Norwegian University of Science and Technology\, 7491 Trondheim\, Norway	2002-08-08	Norway	Europe	Norway: Luroey municipality\, Aldra	missing	25 uL blood was stored in 1 mL 100% ethanol, in a 1.5 mL Sarstedt micro tube, in room temperature; isolated November 2012	Norway: Luroey municipality: Aldra	NA	1
PRJNA255814	SRR5407747	WGS	200	19191744800	SAMN02929199	12867776534	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2700196	Illumina HiSeq 2000	HI.1031.001.Index_18.Sparrow_8887266_3	PAIRED	RANDOM	GENOMIC	Passer_domesticus	ILLUMINA	2017-04-03T00:00:00Z	8887266	SRP045123	Model organism or animal	female	Whole blood	8887266	Newly fledged	Juvenile (ca. 20 days)	Henrik Jensen\, Department of Biology\, Norwegian University of Science and Technology\, 7491 Trondheim\, Norway	2002-08-08	Norway	Europe	Norway: Luroey municipality\, Aldra	missing	25 uL blood was stored in 1 mL 100% ethanol, in a 1.5 mL Sarstedt micro tube, in room temperature; isolated November 2012	Norway: Luroey municipality: Aldra	NA	1
PRJNA255814	SRR5407748	WGS	202	30428395038	SAMN02929199	23645404158	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2700197	Illumina HiSeq 2000	Satre-SparrowgDNA-8887266_NoIndex_L002	PAIRED	RANDOM	GENOMIC	Passer_domesticus	ILLUMINA	2017-04-03T00:00:00Z	8887266	SRP045123	Model organism or animal	female	Whole blood	8887266	Newly fledged	Juvenile (ca. 20 days)	Henrik Jensen\, Department of Biology\, Norwegian University of Science and Technology\, 7491 Trondheim\, Norway	2002-08-08	Norway	Europe	Norway: Luroey municipality\, Aldra	missing	25 uL blood was stored in 1 mL 100% ethanol, in a 1.5 mL Sarstedt micro tube, in room temperature; isolated November 2012	Norway: Luroey municipality: Aldra	NA	1
PRJNA255814	SRR5407749	WGS	202	30330513312	SAMN02929199	23596633403	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2700198	Illumina HiSeq 2000	Satre-SparrowgDNA-8887266_NoIndex_L001	PAIRED	RANDOM	GENOMIC	Passer_domesticus	ILLUMINA	2017-04-03T00:00:00Z	8887266	SRP045123	Model organism or animal	female	Whole blood	8887266	Newly fledged	Juvenile (ca. 20 days)	Henrik Jensen\, Department of Biology\, Norwegian University of Science and Technology\, 7491 Trondheim\, Norway	2002-08-08	Norway	Europe	Norway: Luroey municipality\, Aldra	missing	25 uL blood was stored in 1 mL 100% ethanol, in a 1.5 mL Sarstedt micro tube, in room temperature; isolated November 2012	Norway: Luroey municipality: Aldra	NA	1
PRJNA255814	SRR5407745	WGS	202	24812787968	SAMN02929199	14703517571	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2700194	Illumina HiSeq 2000	Satre-sparrowMP-8887266-Spurv_TGACCA_L006	PAIRED	RANDOM	GENOMIC	Passer_domesticus	ILLUMINA	2017-04-03T00:00:00Z	8887266	SRP045123	Model organism or animal	female	Whole blood	8887266	Newly fledged	Juvenile (ca. 20 days)	Henrik Jensen\, Department of Biology\, Norwegian University of Science and Technology\, 7491 Trondheim\, Norway	2002-08-08	Norway	Europe	Norway: Luroey municipality\, Aldra	missing	25 uL blood was stored in 1 mL 100% ethanol, in a 1.5 mL Sarstedt micro tube, in room temperature; isolated November 2012	Norway: Luroey municipality: Aldra	NA	1
PRJNA255814	SRR5407746	WGS	200	37481005600	SAMN02929199	25262870506	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2700195	Illumina HiSeq 2000	HI.1031.002.Index_18.Sparrow_8887266_3	PAIRED	RANDOM	GENOMIC	Passer_domesticus	ILLUMINA	2017-04-03T00:00:00Z	8887266	SRP045123	Model organism or animal	female	Whole blood	8887266	Newly fledged	Juvenile (ca. 20 days)	Henrik Jensen\, Department of Biology\, Norwegian University of Science and Technology\, 7491 Trondheim\, Norway	2002-08-08	Norway	Europe	Norway: Luroey municipality\, Aldra	missing	25 uL blood was stored in 1 mL 100% ethanol, in a 1.5 mL Sarstedt micro tube, in room temperature; isolated November 2012	Norway: Luroey municipality: Aldra	NA	1
