BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	gssr_ids (run)	use_species
PRJNA89109	SRR1997525	WGS	200	2491917000	SAMN03568565	1504051571	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1009708	Illumina HiSeq 2000	2895001302	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2015-04-25T00:00:00Z	476668	SRP015682	missing	NA	1
PRJNA89109	SRR1997526	WGS	200	2162549800	SAMN03568561	1292485914	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1009704	Illumina HiSeq 2000	2895001305	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2015-04-25T00:00:00Z	476649	SRP015682	missing	NA	1
PRJNA89109	SRR1997527	WGS	200	2430161200	SAMN03568562	1433568256	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1009705	Illumina HiSeq 2000	2895001941	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2015-04-25T00:00:00Z	476653	SRP015682	missing	NA	1
PRJNA89109	SRR1997528	WGS	200	2440468000	SAMN03568564	1455747265	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1009707	Illumina HiSeq 2000	2894997583	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2015-04-25T00:00:00Z	476661	SRP015682	missing	NA	1
PRJNA89109	SRR1997529	WGS	200	2434884800	SAMN03568560	1465409420	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1009703	Illumina HiSeq 2000	2895001304	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2015-04-25T00:00:00Z	476645	SRP015682	missing	NA	1
PRJNA89109	SRR1997530	WGS	200	2454720600	SAMN03568558	1460582357	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1009701	Illumina HiSeq 2000	2894998976	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2015-04-25T00:00:00Z	476637	SRP015682	missing	NA	1
PRJNA89109	SRR1997531	WGS	200	2770154400	SAMN03568566	1635401785	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1009709	Illumina HiSeq 2000	2895001940	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2015-04-25T00:00:00Z	476675	SRP015682	missing	NA	1
PRJNA89109	SRR1997532	WGS	200	2487945600	SAMN03568565	1498904184	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1009708	Illumina HiSeq 2000	2895001302	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2015-04-25T00:00:00Z	476668	SRP015682	missing	NA	1
PRJNA89109	SRR1997533	WGS	200	2454595400	SAMN03568564	1465984049	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1009707	Illumina HiSeq 2000	2894997583	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2015-04-25T00:00:00Z	476661	SRP015682	missing	NA	1
PRJNA89109	SRR1997536	WGS	200	2762443400	SAMN03568566	1634048010	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1009709	Illumina HiSeq 2000	2895001940	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2015-04-25T00:00:00Z	476675	SRP015682	missing	NA	1
PRJNA89109	SRR1997537	WGS	200	10153586600	SAMN03568557	6916460055	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1009700	Illumina HiSeq 2000	2893717271	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2015-04-25T00:00:00Z	476633	SRP015682	missing	NA	1
PRJNA89109	SRR1997775	WGS	200	8592376600	SAMN03568554	5879973131	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1009697	Illumina HiSeq 2000	2893717270	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2015-04-25T00:00:00Z	476621	SRP015682	missing	NA	1
PRJNA89109	SRR1997778	WGS	200	9018658800	SAMN03568551	6074969236	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1009694	Illumina HiSeq 2000	2893717868	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2015-04-25T00:00:00Z	476509	SRP015682	missing	NA	1
PRJNA89109	SRR1997779	WGS	200	10689044000	SAMN03568555	7381283017	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1009698	Illumina HiSeq 2000	2893717275	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2015-04-25T00:00:00Z	476625	SRP015682	missing	NA	1
PRJNA89109	SRR1997780	WGS	200	8640178800	SAMN03568553	5822584901	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1009696	Illumina HiSeq 2000	2893717276	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2015-04-25T00:00:00Z	476517	SRP015682	missing	NA	1
PRJNA89109	SRR1997782	WGS	200	9807571200	SAMN03568556	6760322557	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1009699	Illumina HiSeq 2000	2893717269	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2015-04-25T00:00:00Z	476629	SRP015682	missing	NA	1
PRJNA89109	SRR1999251	WGS	200	2048671200	SAMN03568568	1210278928	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1009711	Illumina HiSeq 2000	2895001303	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2015-04-27T00:00:00Z	476686	SRP015682	missing	NA	1
PRJNA89109	SRR1999282	WGS	200	2058448000	SAMN03568568	1215162071	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1009711	Illumina HiSeq 2000	2895001303	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2015-04-27T00:00:00Z	476686	SRP015682	missing	NA	1
PRJNA89109	SRR1999283	WGS	200	2432532400	SAMN03568562	1436932184	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1009705	Illumina HiSeq 2000	2895001941	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2015-04-27T00:00:00Z	476653	SRP015682	missing	NA	1
PRJNA89109	SRR1999284	WGS	200	2044996000	SAMN03568563	1227892094	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1009706	Illumina HiSeq 2000	2895001301	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2015-04-27T00:00:00Z	476657	SRP015682	missing	NA	1
PRJNA89109	SRR1999285	WGS	200	2160789000	SAMN03568559	1305247587	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1009702	Illumina HiSeq 2000	2895001306	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2015-04-27T00:00:00Z	476641	SRP015682	missing	NA	1
PRJNA89109	SRR1999286	WGS	200	2456634000	SAMN03568558	1460107797	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1009701	Illumina HiSeq 2000	2894998976	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2015-04-27T00:00:00Z	476637	SRP015682	missing	NA	1
PRJNA89109	SRR1999287	WGS	200	2469335600	SAMN03568565	1489995295	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1009708	Illumina HiSeq 2000	2895001302	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2015-04-27T00:00:00Z	476668	SRP015682	missing	NA	1
PRJNA89109	SRR1999288	WGS	200	2451403800	SAMN03568560	1474257796	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1009703	Illumina HiSeq 2000	2895001304	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2015-04-27T00:00:00Z	476645	SRP015682	missing	NA	1
PRJNA89109	SRR1999289	WGS	200	2756587000	SAMN03568566	1629719833	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1009709	Illumina HiSeq 2000	2895001940	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2015-04-27T00:00:00Z	476675	SRP015682	missing	NA	1
PRJNA89109	SRR1999290	WGS	200	1885380000	SAMN03568567	1125353325	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1009710	Illumina HiSeq 2000	2894998977	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2015-04-27T00:00:00Z	476682	SRP015682	missing	NA	1
PRJNA89109	SRR1999387	WGS	200	2174148400	SAMN03568561	1299139692	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1009704	Illumina HiSeq 2000	2895001305	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2015-04-27T00:00:00Z	476649	SRP015682	missing	NA	1
PRJNA89109	SRR1999418	WGS	200	9562254200	SAMN03568552	6425002142	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1009695	Illumina HiSeq 2000	2893717869	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2015-04-27T00:00:00Z	476513	SRP015682	missing	NA	1
PRJNA89109	SRR610283	WGS	300	479452500	SAMN01797686	309970834	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX202145	Illumina MiSeq	2882460728	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2012-10-31T00:00:00Z	147033	SRP015682	missing	!	1
PRJNA89109	SRR610285	WGS	300	537423000	SAMN01797686	353708239	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX202149	Illumina MiSeq	2883218300	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2012-10-31T00:00:00Z	147033	SRP015682	missing	!	1
PRJNA89109	SRR610298	WGS	200	8460176000	SAMN01797686	6406488134	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX202146	Illumina HiSeq 2000	2882176488	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2012-10-31T00:00:00Z	147033	SRP015682	missing	!	1
PRJNA89109	SRR610300	WGS	200	8662371400	SAMN01797686	6521258849	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX202146	Illumina HiSeq 2000	2882176488	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2012-10-31T00:00:00Z	147033	SRP015682	missing	!	1
PRJNA89109	SRR610304	WGS	200	9240469600	SAMN01797686	6935184449	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX202148	Illumina HiSeq 2000	2882176490	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2012-10-31T00:00:00Z	147033	SRP015682	missing	!	1
PRJNA89109	SRR610310	WGS	200	11220749000	SAMN01797685	7729923467	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX202144	Illumina HiSeq 2000	2885204108	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2012-10-31T00:00:00Z	147023	SRP015682	missing	!	1
PRJNA89109	SRR610311	WGS	200	8747145400	SAMN01797686	6597326361	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX202146	Illumina HiSeq 2000	2882176488	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2012-10-31T00:00:00Z	147033	SRP015682	missing	!	1
PRJNA89109	SRR610312	WGS	200	11283964600	SAMN01797685	7831164383	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX202143	Illumina HiSeq 2000	2883621728	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2012-10-31T00:00:00Z	147023	SRP015682	missing	!	1
PRJNA89109	SRR610315	WGS	200	9325763600	SAMN01797686	7012360602	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX202148	Illumina HiSeq 2000	2882176490	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2012-10-31T00:00:00Z	147033	SRP015682	missing	!	1
PRJNA89109	SRR610316	WGS	200	9021992000	SAMN01797686	6813137362	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX202148	Illumina HiSeq 2000	2882176490	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2012-10-31T00:00:00Z	147033	SRP015682	missing	!	1
PRJNA89109	SRR610334	WGS	200	11209625800	SAMN01797685	7747585660	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX202143	Illumina HiSeq 2000	2883621728	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2012-10-31T00:00:00Z	147023	SRP015682	missing	!	1
PRJNA89109	SRR610336	WGS	200	15784337800	SAMN01797685	10884150544	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX202141	Illumina HiSeq 2000	2883581279	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2012-10-31T00:00:00Z	147023	SRP015682	missing	!	1
PRJNA89109	SRR610340	WGS	200	15827271000	SAMN01797685	10959574466	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX202141	Illumina HiSeq 2000	2883581279	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2012-10-31T00:00:00Z	147023	SRP015682	missing	!	1
PRJNA89109	SRR610341	WGS	200	16203331000	SAMN01797685	11388637207	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX202141	Illumina HiSeq 2000	2883581279	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2012-10-31T00:00:00Z	147023	SRP015682	missing	!	1
PRJNA89109	SRR610345	WGS	200	15666506200	SAMN01797685	10222874486	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX202147	Illumina HiSeq 2000	2887186488	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2012-10-31T00:00:00Z	147023	SRP015682	missing	!	1
PRJNA89109	SRR610346	WGS	200	17979600400	SAMN01797685	12377901193	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX202142	Illumina HiSeq 2000	2888167555	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2012-10-31T00:00:00Z	147023	SRP015682	missing	!	1
PRJNA89109	SRR835658	WGS	200	12675492400	SAMN02214419	8426758737	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX272118	Illumina HiSeq 2000	2891315888	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2013-04-26T00:00:00Z	163904	SRP015682	missing	NA	1
PRJNA89109	SRR1997535	WGS	200	2169244200	SAMN03568561	1293912640	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1009704	Illumina HiSeq 2000	2895001305	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2015-04-25T00:00:00Z	476649	SRP015682	missing	NA	1
PRJNA89109	SRR1997523	WGS	200	1894550800	SAMN03568567	1131814570	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1009710	Illumina HiSeq 2000	2894998977	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2015-04-25T00:00:00Z	476682	SRP015682	missing	NA	1
PRJNA89109	SRR1997456	WGS	200	2139895200	SAMN03568559	1290343739	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1009702	Illumina HiSeq 2000	2895001306	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2015-04-25T00:00:00Z	476641	SRP015682	missing	NA	1
PRJNA89109	SRR610335	WGS	200	11345776800	SAMN01797685	7983662237	WUGSC	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX202143	Illumina HiSeq 2000	2883621728	PAIRED	unspecified	GENOMIC	Poecilia_formosa	ILLUMINA	2012-10-31T00:00:00Z	147023	SRP015682	missing	!	1
