BioSample,SampleName1,SampleName2,BioProject,Organism,sex,Submitter_Id,refGenome,refSpecies
SAMEA2661438,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_yellow__9-sc-2016967,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661439,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_yellow__10-sc-2016968,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661440,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_yellow__11-sc-2016969,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661442,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_yellow__13-sc-2016971,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661443,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_yellow__14-sc-2016972,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661444,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_yellow__15-sc-2016973,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661445,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_yellow__16-sc-2016974,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661446,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_yellow__17-sc-2016975,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661249,NA,Outgroup,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__rujewa_-sc-2016559,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661302,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__6-sc-2016819,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661332,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__36-sc-2016849,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661340,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__8-sc-2016857,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661348,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__16-sc-2016865,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661441,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_yellow__12-sc-2016970,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661447,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__22-sc-2016976,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661448,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__24-sc-2016977,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661449,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__25-sc-2016978,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661450,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__26-sc-2016979,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661451,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__27-sc-2016980,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661311,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__15-sc-2016828,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661364,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__32-sc-2016881,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661372,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__2-sc-2016889,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661401,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__20-sc-2016930,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661416,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_blue__2-sc-2016945,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661323,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__27-sc-2016840,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661356,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__24-sc-2016873,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661361,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__29-sc-2016878,GCF_900246225.1,Astatotilapia_calliptera
SAMEA2661360,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__28-sc-2016877,GCF_900246225.1,Astatotilapia_calliptera
SAMN09786233,Rusizi River,2015-01,PRJNA485198,Astatotilapia_stappersii,male,KBE1,GCF_000239415.1,Haplochromis_burtoni
SAMN09786232,Rusizi River,2015-01,PRJNA485198,Astatotilapia_stappersii,male,KBD7,GCF_000239415.1,Haplochromis_burtoni
SAMN09786231,Rusizi River,2015-01,PRJNA485198,Astatotilapia_stappersii,male,KBD3,GCF_000239415.1,Haplochromis_burtoni
SAMN09786240,Rusizi River,2015-01,PRJNA485198,Astatotilapia_stappersii,female,KBH5,GCF_000239415.1,Haplochromis_burtoni
SAMN09786241,Rusizi River,2015-01,PRJNA485198,Astatotilapia_stappersii,female,KBH6,GCF_000239415.1,Haplochromis_burtoni
SAMN09786239,Rusizi River,2015-01,PRJNA485198,Astatotilapia_stappersii,female,KBH4,GCF_000239415.1,Haplochromis_burtoni
SAMN09786236,Rusizi River,2015-01,PRJNA485198,Astatotilapia_stappersii,female,KBG5,GCF_000239415.1,Haplochromis_burtoni
SAMN09786237,Rusizi River,2015-01,PRJNA485198,Astatotilapia_stappersii,male,KBG8,GCF_000239415.1,Haplochromis_burtoni
SAMN09786234,Rusizi River,2015-01,PRJNA485198,Astatotilapia_stappersii,male,KBE7,GCF_000239415.1,Haplochromis_burtoni
SAMN09786235,Rusizi River,2015-01,PRJNA485198,Astatotilapia_stappersii,female,KBE9,GCF_000239415.1,Haplochromis_burtoni
SAMN09786242,Rusizi Lake,2015-01,PRJNA485198,Astatotilapia_stappersii,male,KZD7,GCF_000239415.1,Haplochromis_burtoni
SAMN09786243,Rusizi Lake,2015-01,PRJNA485198,Astatotilapia_stappersii,male,KZD8,GCF_000239415.1,Haplochromis_burtoni
SAMN09786248,Rusizi Lake,2015-01,PRJNA485198,Astatotilapia_stappersii,female,KZE8,GCF_000239415.1,Haplochromis_burtoni
SAMN09786251,Rusizi Lake,2015-01,PRJNA485198,Astatotilapia_stappersii,male,KZF3,GCF_000239415.1,Haplochromis_burtoni
SAMN09786250,Rusizi Lake,2015-01,PRJNA485198,Astatotilapia_stappersii,female,KZF2,GCF_000239415.1,Haplochromis_burtoni
SAMN09786245,Rusizi Lake,2015-01,PRJNA485198,Astatotilapia_stappersii,male,KZE3,GCF_000239415.1,Haplochromis_burtoni
SAMN09786247,Rusizi Lake,2015-01,PRJNA485198,Astatotilapia_stappersii,female,KZE7,GCF_000239415.1,Haplochromis_burtoni
SAMN09786246,Rusizi Lake,2015-01,PRJNA485198,Astatotilapia_stappersii,male,KZE5,GCF_000239415.1,Haplochromis_burtoni
SAMN09786253,Rusizi Lake,2015-01,PRJNA485198,Astatotilapia_stappersii,missing,KZF6,GCF_000239415.1,Haplochromis_burtoni
SAMN09786252,Rusizi Lake,2015-01,PRJNA485198,Astatotilapia_stappersii,male,KZF4,GCF_000239415.1,Haplochromis_burtoni
SAMN09786249,Rusizi Lake,2015-01,PRJNA485198,Astatotilapia_stappersii,female,KZE9,GCF_000239415.1,Haplochromis_burtoni
SAMN09786238,Rusizi River,2015-01,PRJNA485198,Astatotilapia_stappersii,male,KBH1,GCF_000239415.1,Haplochromis_burtoni
SAMN09786244,Rusizi Lake,2015-01,PRJNA485198,Astatotilapia_stappersii,female,KZE2,GCF_000239415.1,Haplochromis_burtoni
SAMN09786230,Rusizi River,2015-01,PRJNA485198,Astatotilapia_stappersii,female,KBA6,GCF_000239415.1,Haplochromis_burtoni
