Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,TISSUE,Isolate,Strain,birth_location,Ecotype,SampleID,sub_species,Specimen_voucher
SRR7167887,WGS,300,7952664900,PRJNA323498,SAMN09211437,Model organism or animal,2375236012,CU BOULDER,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX4085826,Illumina NovaSeq 6000,WGS_library2640-97129,PAIRED,size fractionation,GENOMIC,Hirundo rustica erythrogaster,ILLUMINA,2018-09-05T00:00:00Z,2018-05-15T18:21:00Z,1,erythrogaster2640-97129,NA,SRP146254,blood,,,Colorado,erythrogaster,erythrogaster_sample2640-97129,erythrogaster,
SRR7167888,WGS,300,9627522600,PRJNA323498,SAMN09211433,Model organism or animal,2821679847,CU BOULDER,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX4085825,Illumina NovaSeq 6000,WGS_library2640-97014,PAIRED,size fractionation,GENOMIC,Hirundo rustica erythrogaster,ILLUMINA,2018-09-05T00:00:00Z,2018-05-15T18:24:00Z,1,erythrogaster2640-97014,NA,SRP146254,blood,,,Colorado,erythrogaster,erythrogaster_sample2640-97014,erythrogaster,
SRR7167889,WGS,300,9551661600,PRJNA323498,SAMN09211428,Model organism or animal,2822021730,CU BOULDER,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX4085824,Illumina NovaSeq 6000,WGS_library2600-54936,PAIRED,size fractionation,GENOMIC,Hirundo rustica erythrogaster,ILLUMINA,2018-09-05T00:00:00Z,2018-05-15T18:26:00Z,1,erythrogaster2600-54936,NA,SRP146254,blood,,,Colorado,erythrogaster,erythrogaster_sample2600-54936,erythrogaster,
SRR7167890,WGS,300,8537809800,PRJNA323498,SAMN09211423,Model organism or animal,2505930714,CU BOULDER,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX4085823,Illumina NovaSeq 6000,WGS_library2600-27714,PAIRED,size fractionation,GENOMIC,Hirundo rustica erythrogaster,ILLUMINA,2018-09-05T00:00:00Z,2018-05-15T18:23:00Z,1,erythrogaster2600-27714,NA,SRP146254,blood,,,Colorado,erythrogaster,erythrogaster_sample2600-27714,erythrogaster,
SRR7167893,WGS,300,9626215800,PRJNA323498,SAMN09211442,Model organism or animal,2834790288,CU BOULDER,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX4085820,Illumina NovaSeq 6000,WGS_library2640-97137,PAIRED,size fractionation,GENOMIC,Hirundo rustica erythrogaster,ILLUMINA,2018-09-05T00:00:00Z,2018-05-15T18:24:00Z,1,erythrogaster2640-97137,NA,SRP146254,blood,,,Colorado,erythrogaster,erythrogaster_sample2640-97137,erythrogaster,
SRR7167894,WGS,300,9921557100,PRJNA323498,SAMN09211441,Model organism or animal,2919856657,CU BOULDER,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX4085819,Illumina NovaSeq 6000,WGS_library2640-97135,PAIRED,size fractionation,GENOMIC,Hirundo rustica erythrogaster,ILLUMINA,2018-09-05T00:00:00Z,2018-05-15T18:24:00Z,1,erythrogaster2640-97135,NA,SRP146254,blood,,,Colorado,erythrogaster,erythrogaster_sample2640-97135,erythrogaster,
SRR14127696,WGS,300,7502022600,PRJNA323498,SAMN18196681,Model organism or animal,2240050964,UNIVERSITY OF COLORADO,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",adult,SRX10497965,Illumina NovaSeq 6000,1051,PAIRED,RANDOM,GENOMIC,Hirundo rustica,ILLUMINA,2021-04-01T00:00:00Z,2021-04-01T10:47:00Z,1,1051_WGS,male,SRP146254,blood,WGS sample 1051; replicate 1,gutturalis,,,,,
SRR14127697,WGS,300,9586033200,PRJNA323498,SAMN18196680,Model organism or animal,2867064522,UNIVERSITY OF COLORADO,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",adult,SRX10497964,Illumina NovaSeq 6000,1041,PAIRED,RANDOM,GENOMIC,Hirundo rustica,ILLUMINA,2021-04-01T00:00:00Z,2021-04-01T10:54:00Z,1,1041_WGS,male,SRP146254,blood,WGS sample 1041; replicate 1,gutturalis,,,,,
SRR14127698,WGS,300,7030477200,PRJNA323498,SAMN18196679,Model organism or animal,2077689834,UNIVERSITY OF COLORADO,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",adult,SRX10497963,Illumina NovaSeq 6000,1040,PAIRED,RANDOM,GENOMIC,Hirundo rustica,ILLUMINA,2021-04-01T00:00:00Z,2021-04-01T10:45:00Z,1,1040_WGS,female,SRP146254,blood,WGS sample 1040; replicate 1,gutturalis,,,,,
SRR14127699,WGS,300,6147008100,PRJNA323498,SAMN18196678,Model organism or animal,1816562538,UNIVERSITY OF COLORADO,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",adult,SRX10497962,Illumina NovaSeq 6000,1036,PAIRED,RANDOM,GENOMIC,Hirundo rustica,ILLUMINA,2021-04-01T00:00:00Z,2021-04-01T10:46:00Z,1,1036_WGS,female,SRP146254,blood,WGS sample 1036; replicate 1,gutturalis,,,,,
SRR14127700,WGS,300,7113103800,PRJNA323498,SAMN18196677,Model organism or animal,2101048064,UNIVERSITY OF COLORADO,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",adult,SRX10497961,Illumina NovaSeq 6000,1021,PAIRED,RANDOM,GENOMIC,Hirundo rustica,ILLUMINA,2021-04-01T00:00:00Z,2021-04-01T10:45:00Z,1,1021_WGS,male,SRP146254,blood,WGS sample 1021; replicate 1,gutturalis,,,,,
SRR14127701,WGS,300,8552034600,PRJNA323498,SAMN18196712,Model organism or animal,2506881724,UNIVERSITY OF COLORADO,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",adult,SRX10497960,Illumina NovaSeq 6000,1763,PAIRED,RANDOM,GENOMIC,Hirundo rustica,ILLUMINA,2021-04-01T00:00:00Z,2021-04-01T10:52:00Z,1,1763_WGS,female,SRP146254,blood,WGS sample 1763; replicate 1,rustica-gutturalis,,,,,
SRR14127702,WGS,300,8740935000,PRJNA323498,SAMN18196676,Model organism or animal,2597329746,UNIVERSITY OF COLORADO,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",adult,SRX10497959,Illumina NovaSeq 6000,1019,PAIRED,RANDOM,GENOMIC,Hirundo rustica,ILLUMINA,2021-04-01T00:00:00Z,2021-04-01T10:47:00Z,1,1019_WGS,female,SRP146254,blood,WGS sample 1019; replicate 1,gutturalis,,,,,
SRR14127703,WGS,300,9429312600,PRJNA323498,SAMN18196711,Model organism or animal,2792729727,UNIVERSITY OF COLORADO,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",adult,SRX10497958,Illumina NovaSeq 6000,1760,PAIRED,RANDOM,GENOMIC,Hirundo rustica,ILLUMINA,2021-04-01T00:00:00Z,2021-04-01T10:50:00Z,1,1760_WGS,female,SRP146254,blood,WGS sample 1760; replicate 1,rustica-gutturalis,,,,,
SRR14127704,WGS,300,6875136600,PRJNA323498,SAMN18196710,Model organism or animal,2040344648,UNIVERSITY OF COLORADO,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX10497957,Illumina NovaSeq 6000,1758,PAIRED,RANDOM,GENOMIC,Hirundo rustica,ILLUMINA,2021-04-01T00:00:00Z,2021-04-01T10:42:00Z,1,1758_WGS,female,SRP146254,blood,WGS sample 1758; replicate 1,rustica-gutturalis,,,,,
SRR14127705,WGS,300,7973848500,PRJNA323498,SAMN18196709,Model organism or animal,2373179350,UNIVERSITY OF COLORADO,public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",adult,SRX10497956,Illumina NovaSeq 6000,1747,PAIRED,RANDOM,GENOMIC,Hirundo rustica,ILLUMINA,2021-04-01T00:00:00Z,2021-04-01T10:47:00Z,1,1747_WGS,female,SRP146254,blood,WGS sample 1747; replicate 1,rustica-gutturalis,,,,,
SRR14127706,WGS,300,7452717300,PRJNA323498,SAMN18196708,Model organism or animal,2192877083,UNIVERSITY OF COLORADO,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",adult,SRX10497955,Illumina NovaSeq 6000,1744,PAIRED,RANDOM,GENOMIC,Hirundo rustica,ILLUMINA,2021-04-01T00:00:00Z,2021-04-01T10:51:00Z,1,1744_WGS,female,SRP146254,blood,WGS sample 1744; replicate 1,rustica-gutturalis,,,,,
SRR14127707,WGS,300,8836059300,PRJNA323498,SAMN18196707,Model organism or animal,2616411187,UNIVERSITY OF COLORADO,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",adult,SRX10497954,Illumina NovaSeq 6000,1736,PAIRED,RANDOM,GENOMIC,Hirundo rustica,ILLUMINA,2021-04-01T00:00:00Z,2021-04-01T10:51:00Z,1,1736_WGS,male,SRP146254,blood,WGS sample 1736; replicate 1,rustica-gutturalis,,,,,
SRR14127708,WGS,300,6979653600,PRJNA323498,SAMN18196706,Model organism or animal,2065398165,UNIVERSITY OF COLORADO,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",adult,SRX10497953,Illumina NovaSeq 6000,1723,PAIRED,RANDOM,GENOMIC,Hirundo rustica,ILLUMINA,2021-04-01T00:00:00Z,2021-04-01T10:48:00Z,1,1723_WGS,female,SRP146254,blood,WGS sample 1723; replicate 1,rustica-gutturalis,,,,,
SRR14127709,WGS,300,8304858000,PRJNA323498,SAMN18196705,Model organism or animal,2437954773,UNIVERSITY OF COLORADO,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",adult,SRX10497952,Illumina NovaSeq 6000,1848,PAIRED,RANDOM,GENOMIC,Hirundo rustica,ILLUMINA,2021-04-01T00:00:00Z,2021-04-01T10:54:00Z,1,1848_WGS,female,SRP146254,blood,WGS sample 1848; replicate 1,gutturalis,,,,,
SRR14127710,WGS,300,6138069300,PRJNA323498,SAMN18196704,Model organism or animal,1822576922,UNIVERSITY OF COLORADO,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",adult,SRX10497951,Illumina NovaSeq 6000,1838,PAIRED,RANDOM,GENOMIC,Hirundo rustica,ILLUMINA,2021-04-01T00:00:00Z,2021-04-01T10:45:00Z,1,1838_WGS,male,SRP146254,blood,WGS sample 1838; replicate 1,gutturalis,,,,,
SRR14127711,WGS,300,7618971300,PRJNA323498,SAMN18196703,Model organism or animal,2248910572,UNIVERSITY OF COLORADO,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",adult,SRX10497950,Illumina NovaSeq 6000,1822,PAIRED,RANDOM,GENOMIC,Hirundo rustica,ILLUMINA,2021-04-01T00:00:00Z,2021-04-01T11:05:00Z,1,1822_WGS,male,SRP146254,blood,WGS sample 1822; replicate 1,gutturalis,,,,,
SRR14127712,WGS,300,6982538100,PRJNA323498,SAMN18196702,Model organism or animal,2079098434,UNIVERSITY OF COLORADO,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",adult,SRX10497949,Illumina NovaSeq 6000,1808,PAIRED,RANDOM,GENOMIC,Hirundo rustica,ILLUMINA,2021-04-01T00:00:00Z,2021-04-01T10:46:00Z,1,1808_WGS,male,SRP146254,blood,WGS sample 1808; replicate 1,gutturalis,,,,,
SRR14127713,WGS,300,8666791500,PRJNA323498,SAMN18196675,Model organism or animal,2531127423,UNIVERSITY OF COLORADO,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",adult,SRX10497948,Illumina NovaSeq 6000,1015,PAIRED,RANDOM,GENOMIC,Hirundo rustica,ILLUMINA,2021-04-01T00:00:00Z,2021-04-01T10:49:00Z,1,1015_WGS,male,SRP146254,blood,WGS sample 1015; replicate 1,gutturalis,,,,,
SRR14127714,WGS,300,6220080600,PRJNA323498,SAMN18196701,Model organism or animal,1886793996,UNIVERSITY OF COLORADO,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",adult,SRX10497947,Illumina NovaSeq 6000,1798,PAIRED,RANDOM,GENOMIC,Hirundo rustica,ILLUMINA,2021-04-01T00:00:00Z,2021-04-01T10:46:00Z,1,1798_WGS,female,SRP146254,blood,WGS sample 1798; replicate 1,gutturalis,,,,,
SRR14127715,WGS,300,9320348400,PRJNA323498,SAMN18196700,Model organism or animal,2736859908,UNIVERSITY OF COLORADO,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",adult,SRX10497946,Illumina NovaSeq 6000,1791,PAIRED,RANDOM,GENOMIC,Hirundo rustica,ILLUMINA,2021-04-01T00:00:00Z,2021-04-01T10:57:00Z,1,1791_WGS,female,SRP146254,blood,WGS sample 1791; replicate 1,gutturalis,,,,,
SRR14127716,WGS,300,6402162000,PRJNA323498,SAMN18196699,Model organism or animal,2005070858,UNIVERSITY OF COLORADO,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",adult,SRX10497945,Illumina NovaSeq 6000,1777,PAIRED,RANDOM,GENOMIC,Hirundo rustica,ILLUMINA,2021-04-01T00:00:00Z,2021-04-01T10:46:00Z,1,1777_WGS,female,SRP146254,blood,WGS sample 1777; replicate 1,gutturalis,,,,,
SRR14127717,WGS,300,7010841600,PRJNA323498,SAMN18196698,Model organism or animal,2065795932,UNIVERSITY OF COLORADO,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",adult,SRX10497944,Illumina NovaSeq 6000,1311,PAIRED,RANDOM,GENOMIC,Hirundo rustica,ILLUMINA,2021-04-01T00:00:00Z,2021-04-01T10:47:00Z,1,1311_WGS,female,SRP146254,blood,WGS sample 1311; replicate 1,gutturalis,,,,,
SRR14127718,WGS,300,6975767700,PRJNA323498,SAMN18196697,Model organism or animal,2092092629,UNIVERSITY OF COLORADO,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",adult,SRX10497943,Illumina NovaSeq 6000,1307,PAIRED,RANDOM,GENOMIC,Hirundo rustica,ILLUMINA,2021-04-01T00:00:00Z,2021-04-01T10:45:00Z,1,1307_WGS,male,SRP146254,blood,WGS sample 1307; replicate 1,gutturalis,,,,,
SRR14127719,WGS,300,6791446200,PRJNA323498,SAMN18196696,Model organism or animal,2019465316,UNIVERSITY OF COLORADO,public,"run.zq,sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",adult,SRX10497942,Illumina NovaSeq 6000,1303,PAIRED,RANDOM,GENOMIC,Hirundo rustica,ILLUMINA,2021-04-01T00:00:00Z,2021-04-01T10:50:00Z,1,1303_WGS,female,SRP146254,blood,WGS sample 1303; replicate 1,gutturalis,,,,,
SRR14127720,WGS,300,8027143500,PRJNA323498,SAMN18196695,Model organism or animal,2384365697,UNIVERSITY OF COLORADO,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",adult,SRX10497941,Illumina NovaSeq 6000,1289,PAIRED,RANDOM,GENOMIC,Hirundo rustica,ILLUMINA,2021-04-01T00:00:00Z,2021-04-01T10:54:00Z,1,1289_WGS,male,SRP146254,blood,WGS sample 1289; replicate 1,gutturalis,,,,,
SRR14127721,WGS,300,6537862500,PRJNA323498,SAMN18196694,Model organism or animal,2011114575,UNIVERSITY OF COLORADO,public,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",adult,SRX10497940,Illumina NovaSeq 6000,1279,PAIRED,RANDOM,GENOMIC,Hirundo rustica,ILLUMINA,2021-04-01T00:00:00Z,2021-04-01T10:47:00Z,1,1279_WGS,female,SRP146254,blood,WGS sample 1279; replicate 1,gutturalis,,,,,
SRR14127722,WGS,300,8742649800,PRJNA323498,SAMN18196693,Model organism or animal,2592730192,UNIVERSITY OF COLORADO,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",adult,SRX10497939,Illumina NovaSeq 6000,1224,PAIRED,RANDOM,GENOMIC,Hirundo rustica,ILLUMINA,2021-04-01T00:00:00Z,2021-04-01T10:53:00Z,1,1224_WGS,male,SRP146254,blood,WGS sample 1224; replicate 1,gutturalis,,,,,
SRR14127723,WGS,300,7097169900,PRJNA323498,SAMN18196692,Model organism or animal,2096635208,UNIVERSITY OF COLORADO,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",adult,SRX10497938,Illumina NovaSeq 6000,1223,PAIRED,RANDOM,GENOMIC,Hirundo rustica,ILLUMINA,2021-04-01T00:00:00Z,2021-04-01T10:45:00Z,1,1223_WGS,male,SRP146254,blood,WGS sample 1223; replicate 1,gutturalis,,,,,
SRR14127724,WGS,300,8901189600,PRJNA323498,SAMN18196674,Model organism or animal,2686163158,UNIVERSITY OF COLORADO,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",adult,SRX10497937,Illumina NovaSeq 6000,1003,PAIRED,RANDOM,GENOMIC,Hirundo rustica,ILLUMINA,2021-04-01T00:00:00Z,2021-04-01T10:52:00Z,1,1003_WGS,male,SRP146254,blood,WGS sample 1003; replicate 1,gutturalis,,,,,
SRR14127725,WGS,300,8655586800,PRJNA323498,SAMN18196691,Model organism or animal,2572840557,UNIVERSITY OF COLORADO,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",adult,SRX10497936,Illumina NovaSeq 6000,1198,PAIRED,RANDOM,GENOMIC,Hirundo rustica,ILLUMINA,2021-04-01T00:00:00Z,2021-04-01T10:51:00Z,1,1198_WGS,male,SRP146254,blood,WGS sample 1198; replicate 1,gutturalis,,,,,
SRR14127726,WGS,300,7388893200,PRJNA323498,SAMN18196690,Model organism or animal,2198766562,UNIVERSITY OF COLORADO,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",adult,SRX10497935,Illumina NovaSeq 6000,1177,PAIRED,RANDOM,GENOMIC,Hirundo rustica,ILLUMINA,2021-04-01T00:00:00Z,2021-04-01T10:48:00Z,1,1177_WGS,male,SRP146254,blood,WGS sample 1177; replicate 1,gutturalis,,,,,
SRR14127727,WGS,300,3630127200,PRJNA323498,SAMN18196689,Model organism or animal,1073283857,UNIVERSITY OF COLORADO,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",adult,SRX10497934,Illumina NovaSeq 6000,1171,PAIRED,RANDOM,GENOMIC,Hirundo rustica,ILLUMINA,2021-04-01T00:00:00Z,2021-04-01T10:43:00Z,1,1171_WGS,female,SRP146254,blood,WGS sample 1171; replicate 1,gutturalis,,,,,
SRR14127728,WGS,300,7096847100,PRJNA323498,SAMN18196688,Model organism or animal,2120609137,UNIVERSITY OF COLORADO,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",adult,SRX10497933,Illumina NovaSeq 6000,1162,PAIRED,RANDOM,GENOMIC,Hirundo rustica,ILLUMINA,2021-04-01T00:00:00Z,2021-04-01T10:50:00Z,1,1162_WGS,male,SRP146254,blood,WGS sample 1162; replicate 1,gutturalis,,,,,
SRR14127729,WGS,300,8344254000,PRJNA323498,SAMN18196687,Model organism or animal,2466441790,UNIVERSITY OF COLORADO,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",adult,SRX10497932,Illumina NovaSeq 6000,1158,PAIRED,RANDOM,GENOMIC,Hirundo rustica,ILLUMINA,2021-04-01T00:00:00Z,2021-04-01T10:52:00Z,1,1158_WGS,female,SRP146254,blood,WGS sample 1158; replicate 1,gutturalis,,,,,
SRR14127730,WGS,300,7627619400,PRJNA323498,SAMN18196686,Model organism or animal,2285503409,UNIVERSITY OF COLORADO,public,"run.zq,sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",adult,SRX10497931,Illumina NovaSeq 6000,1107,PAIRED,RANDOM,GENOMIC,Hirundo rustica,ILLUMINA,2021-04-01T00:00:00Z,2021-04-01T10:51:00Z,1,1107_WGS,male,SRP146254,blood,WGS sample 1107; replicate 1,gutturalis,,,,,
SRR14127731,WGS,300,8999999400,PRJNA323498,SAMN18196685,Model organism or animal,2693544252,UNIVERSITY OF COLORADO,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",adult,SRX10497930,Illumina NovaSeq 6000,1095,PAIRED,RANDOM,GENOMIC,Hirundo rustica,ILLUMINA,2021-04-01T00:00:00Z,2021-04-01T10:55:00Z,1,1095_WGS,male,SRP146254,blood,WGS sample 1095; replicate 1,gutturalis,,,,,
SRR14127732,WGS,300,7163616000,PRJNA323498,SAMN18196684,Model organism or animal,2137759725,UNIVERSITY OF COLORADO,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX10497929,Illumina NovaSeq 6000,1091,PAIRED,RANDOM,GENOMIC,Hirundo rustica,ILLUMINA,2021-04-01T00:00:00Z,2021-04-01T10:52:00Z,1,1091_WGS,female,SRP146254,blood,WGS sample 1091; replicate 1,gutturalis,,,,,
