transcript	pN	pS	dN	dS	mk.raw.p.value	mk.odds.ni	dos
rna-XM_011619452.2	0.0	0.0	0.0	0.0	1.0	nan	NA
rna-XM_029840387.1	0.0	0.0	0.0	0.0	1.0	nan	NA
rna-XM_003978133.3	0.0	0.0	0.0	0.0	1.0	nan	NA
rna-XM_003978147.3	2.0	8.0	0.0	0.0	1.0	nan	NA
rna-XM_011619449.2	0.0	4.0	2.0	0.0	0.06666666666666667	0.0	1.0
rna-XM_029844179.1	0.0	4.0	2.0	0.0	0.06666666666666667	0.0	1.0
rna-XM_011619448.2	0.0	4.0	2.0	0.0	0.06666666666666667	0.0	1.0
rna-XM_003978146.3	20.0	6.0	1.0	0.0	1.0	0.0	0.23076923076923073
rna-XM_029850452.1	1.0	2.0	1.0	1.0	1.0	0.5	0.16666666666666669
rna-XM_003978132.3	1.0	2.0	1.0	1.0	1.0	0.5	0.16666666666666669
rna-XM_029850114.1	11.0	5.0	0.0	1.0	0.35294117647058815	inf	-0.6875
rna-XM_029850084.1	11.0	5.0	0.0	1.0	0.35294117647058815	inf	-0.6875
rna-XM_029850059.1	11.0	5.0	0.0	1.0	0.35294117647058815	inf	-0.6875
rna-XM_029850155.1	10.0	5.0	0.0	1.0	0.375	inf	-0.6666666666666666
rna-XM_029850018.1	11.0	5.0	0.0	1.0	0.35294117647058815	inf	-0.6875
rna-XM_029850215.1	9.0	2.0	0.0	1.0	0.25	inf	-0.8181818181818182
rna-XM_029849872.1	3.0	22.0	1.0	0.0	0.15384615384615383	0.0	0.88
rna-XM_029849954.1	3.0	20.0	1.0	0.0	0.16666666666666666	0.0	0.8695652173913043
rna-XM_011619462.2	3.0	22.0	1.0	0.0	0.15384615384615383	0.0	0.88
rna-XM_029845031.1	9.0	6.0	0.0	0.0	1.0	nan	NA
rna-XM_011619447.2	4.0	8.0	1.0	0.0	0.38461538461538464	0.0	0.6666666666666667
rna-XM_029845024.1	4.0	8.0	1.0	0.0	0.38461538461538464	0.0	0.6666666666666667
rna-XM_011619446.2	3.0	20.0	0.0	1.0	1.0	inf	-0.13043478260869565
rna-XM_029841427.1	3.0	9.0	1.0	0.0	0.30769230769230765	0.0	0.75
rna-XM_029841421.1	3.0	9.0	1.0	0.0	0.30769230769230765	0.0	0.75
rna-XM_029841415.1	3.0	9.0	1.0	0.0	0.30769230769230765	0.0	0.75
rna-XM_029844260.1	6.0	3.0	0.0	1.0	0.4000000000000001	inf	-0.6666666666666666
rna-XM_029842552.1	4.0	1.0	1.0	0.0	1.0	0.0	0.19999999999999996
rna-XM_029844558.1	0.0	1.0	0.0	0.0	1.0	nan	NA
rna-XM_003961014.3	3.0	2.0	0.0	0.0	1.0	nan	NA
rna-XM_011603138.2	6.0	8.0	0.0	0.0	1.0	nan	NA
rna-XM_003961013.2	0.0	2.0	0.0	0.0	1.0	nan	NA
rna-XM_029845766.1	15.0	17.0	0.0	0.0	1.0	nan	NA
rna-XM_011602711.2	12.0	13.0	1.0	1.0	1.0	0.9230769230769231	0.020000000000000018
rna-XM_011602758.2	12.0	13.0	1.0	1.0	1.0	0.9230769230769231	0.020000000000000018
rna-XM_003961012.3	0.0	8.0	0.0	0.0	1.0	nan	NA
rna-XM_029845771.1	1.0	3.0	0.0	0.0	1.0	nan	NA
rna-XM_003961027.3	1.0	3.0	0.0	0.0	1.0	nan	NA
rna-XM_029845740.1	2.0	4.0	21.0	2.0	0.008281756557618628	0.047619047619047616	0.5797101449275361
rna-XM_003961010.3	2.0	5.0	21.0	2.0	0.002689360447981138	0.0380952380952381	0.6273291925465838
rna-XM_003961008.3	6.0	13.0	0.0	0.0	1.0	nan	NA
rna-XM_011602629.2	6.0	13.0	0.0	0.0	1.0	nan	NA
rna-XM_003961007.3	0.0	0.0	0.0	0.0	1.0	nan	NA
rna-XM_003961006.3	1.0	1.0	0.0	0.0	1.0	nan	NA
rna-XM_003961005.3	0.0	0.0	0.0	0.0	1.0	nan	NA
rna-XM_003961004.3	5.0	2.0	1.0	0.0	1.0	0.0	0.2857142857142857
rna-XM_029848828.1	6.0	13.0	0.0	0.0	1.0	nan	NA
rna-XM_029848837.1	8.0	13.0	0.0	0.0	1.0	nan	NA
rna-XM_029848829.1	8.0	13.0	0.0	0.0	1.0	nan	NA
rna-XM_029848825.1	8.0	14.0	0.0	0.0	1.0	nan	NA
rna-XM_029848816.1	8.0	14.0	0.0	0.0	1.0	nan	NA
rna-XM_029848811.1	8.0	14.0	0.0	0.0	1.0	nan	NA
rna-XM_029848807.1	8.0	15.0	0.0	0.0	1.0	nan	NA
rna-XM_029848801.1	8.0	15.0	0.0	0.0	1.0	nan	NA
rna-XM_029848795.1	8.0	15.0	0.0	0.0	1.0	nan	NA
rna-XM_029848793.1	8.0	15.0	0.0	0.0	1.0	nan	NA
rna-XM_029848788.1	8.0	15.0	0.0	0.0	1.0	nan	NA
rna-XM_029848842.1	5.0	11.0	0.0	0.0	1.0	nan	NA
rna-XM_029848833.1	5.0	11.0	0.0	0.0	1.0	nan	NA
rna-XM_011618085.2	4.0	1.0	0.0	0.0	1.0	nan	NA
rna-XM_003961003.3	0.0	0.0	0.0	0.0	1.0	nan	NA
rna-XM_011617375.2	5.0	17.0	3.0	1.0	0.07210702341137122	0.09803921568627451	0.5227272727272727
rna-XM_011616884.2	6.0	17.0	3.0	1.0	0.09333333333333337	0.11764705882352941	0.4891304347826087
rna-XM_029850413.1	4.0	10.0	3.0	1.0	0.24509803921568624	0.13333333333333333	0.4642857142857143
rna-XM_029850410.1	4.0	10.0	3.0	1.0	0.24509803921568624	0.13333333333333333	0.4642857142857143
rna-XM_003961002.3	0.0	1.0	0.0	0.0	1.0	nan	NA
rna-XM_011614430.2	9.0	8.0	4.0	2.0	0.660019614253024	0.5625	0.13725490196078427
rna-XM_029850423.1	9.0	8.0	4.0	2.0	0.660019614253024	0.5625	0.13725490196078427
rna-XM_003961024.3	5.0	7.0	3.0	2.0	0.6199095022624436	0.47619047619047616	0.1833333333333333
rna-XM_003961023.3	3.0	4.0	0.0	0.0	1.0	nan	NA
rna-XM_011612743.2	5.0	11.0	0.0	0.0	1.0	nan	NA
rna-XM_003961021.3	1.0	2.0	0.0	0.0	1.0	nan	NA
rna-XM_011609560.2	3.0	6.0	0.0	0.0	1.0	nan	NA
rna-XM_003961020.3	3.0	6.0	0.0	0.0	1.0	nan	NA
rna-XM_011605809.2	6.0	5.0	2.0	2.0	1.0	1.2	-0.045454545454545414
rna-XM_011606855.2	6.0	5.0	2.0	2.0	1.0	1.2	-0.045454545454545414
rna-XM_029843586.1	6.0	5.0	2.0	2.0	1.0	1.2	-0.045454545454545414
rna-XM_011608328.2	6.0	5.0	2.0	2.0	1.0	1.2	-0.045454545454545414
rna-XM_029843325.1	12.0	15.0	1.0	0.0	0.4642857142857143	0.0	0.5555555555555556
rna-XM_029843372.1	12.0	15.0	1.0	0.0	0.4642857142857143	0.0	0.5555555555555556
rna-XM_029843270.1	12.0	15.0	1.0	0.0	0.4642857142857143	0.0	0.5555555555555556
rna-XM_029843425.1	12.0	15.0	1.0	0.0	0.4642857142857143	0.0	0.5555555555555556
rna-XM_011605026.2	1.0	2.0	1.0	0.0	1.0	0.0	0.6666666666666667
rna-XM_011603110.2	13.0	4.0	0.0	0.0	1.0	nan	NA
rna-XM_011602603.2	13.0	4.0	0.0	0.0	1.0	nan	NA
rna-XM_011603602.2	11.0	3.0	0.0	0.0	1.0	nan	NA
rna-XM_011604068.2	11.0	3.0	0.0	0.0	1.0	nan	NA
rna-XM_029843567.1	1.0	0.0	0.0	0.0	1.0	nan	NA
rna-XM_029843143.1	8.0	27.0	0.0	1.0	1.0	inf	-0.22857142857142856
rna-XM_029843187.1	8.0	27.0	0.0	1.0	1.0	inf	-0.22857142857142856
rna-XM_029843219.1	5.0	24.0	0.0	0.0	1.0	nan	NA
rna-XM_003961017.3	1.0	1.0	1.0	0.0	1.0	0.0	0.5
rna-XM_029844072.1	2.0	1.0	0.0	0.0	1.0	nan	NA
rna-XM_003961016.3	1.0	0.0	1.0	0.0	1.0	nan	0.0
rna-XM_029839052.1	10.0	18.0	2.0	2.0	0.6195773081201336	0.5555555555555556	0.14285714285714285
rna-XM_029839063.1	4.0	8.0	0.0	0.0	1.0	nan	NA
rna-XM_029839068.1	4.0	8.0	0.0	0.0	1.0	nan	NA
rna-XM_029839075.1	2.0	6.0	0.0	0.0	1.0	nan	NA
rna-XM_003977228.3	2.0	8.0	0.0	1.0	1.0	inf	-0.2
rna-XM_029846807.1	0.0	2.0	0.0	0.0	1.0	nan	NA
rna-XM_029846813.1	0.0	2.0	0.0	0.0	1.0	nan	NA
rna-XM_029848740.1	5.0	4.0	0.0	0.0	1.0	nan	NA
rna-XM_029832881.1	0.0	0.0	0.0	2.0	1.0	nan	NA
rna-XM_029832872.1	0.0	0.0	0.0	2.0	1.0	nan	NA
rna-XM_029832851.1	2.0	6.0	0.0	0.0	1.0	nan	NA
rna-XM_003961051.3	4.0	7.0	6.0	3.0	0.36984996427720884	0.2857142857142857	0.303030303030303
rna-XM_029832804.1	4.0	7.0	6.0	3.0	0.36984996427720884	0.2857142857142857	0.303030303030303
rna-XM_029832809.1	4.0	7.0	6.0	3.0	0.36984996427720884	0.2857142857142857	0.303030303030303
rna-XM_029832814.1	4.0	7.0	6.0	3.0	0.36984996427720884	0.2857142857142857	0.303030303030303
rna-XM_029832813.1	4.0	7.0	6.0	3.0	0.36984996427720884	0.2857142857142857	0.303030303030303
rna-XM_029832811.1	4.0	7.0	6.0	3.0	0.36984996427720884	0.2857142857142857	0.303030303030303
rna-XM_029832819.1	4.0	7.0	6.0	2.0	0.16980233388902122	0.19047619047619047	0.38636363636363635
rna-XM_029832838.1	4.0	11.0	2.0	0.0	0.11029411764705882	0.0	0.7333333333333334
rna-XM_029832827.1	0.0	0.0	0.0	0.0	1.0	nan	NA
rna-XM_029832893.1	0.0	0.0	0.0	0.0	1.0	nan	NA
rna-XM_029832895.1	0.0	0.0	0.0	0.0	1.0	nan	NA
rna-XM_029832898.1	0.0	0.0	0.0	0.0	1.0	nan	NA
rna-XM_029832746.1	28.0	45.0	5.0	11.0	0.776564865226653	1.3688888888888888	-0.07106164383561642
rna-XM_029832719.1	28.0	45.0	5.0	11.0	0.776564865226653	1.3688888888888888	-0.07106164383561642
rna-XM_029832725.1	28.0	45.0	5.0	11.0	0.776564865226653	1.3688888888888888	-0.07106164383561642
rna-XM_029832774.1	22.0	41.0	5.0	11.0	1.0	1.1804878048780487	-0.03670634920634919
rna-XM_029832780.1	22.0	41.0	5.0	11.0	1.0	1.1804878048780487	-0.03670634920634919
rna-XM_029832784.1	19.0	35.0	4.0	11.0	0.7580340195462465	1.4928571428571429	-0.0851851851851852
rna-XM_029832670.1	30.0	45.0	5.0	11.0	0.5825098526048103	1.4666666666666666	-0.08750000000000002
rna-XM_029832714.1	30.0	45.0	5.0	11.0	0.5825098526048103	1.4666666666666666	-0.08750000000000002
rna-XM_029832661.1	28.0	45.0	5.0	11.0	0.776564865226653	1.3688888888888888	-0.07106164383561642
rna-XM_029832752.1	27.0	44.0	4.0	11.0	0.556958236558021	1.6875	-0.1136150234741784
rna-XM_029832748.1	28.0	44.0	5.0	11.0	0.7762369271619167	1.4	-0.0763888888888889
rna-XM_029832756.1	27.0	43.0	4.0	11.0	0.5561962253838704	1.7267441860465116	-0.11904761904761907
rna-XM_029832764.1	26.0	40.0	4.0	11.0	0.5545997294617651	1.7875	-0.12727272727272726
rna-XM_029832722.1	28.0	45.0	5.0	11.0	0.776564865226653	1.3688888888888888	-0.07106164383561642
rna-XM_029832695.1	28.0	45.0	5.0	11.0	0.776564865226653	1.3688888888888888	-0.07106164383561642
rna-XM_029832790.1	18.0	33.0	1.0	1.0	1.0	0.5454545454545454	0.14705882352941174
rna-XM_029832712.1	28.0	45.0	5.0	11.0	0.776564865226653	1.3688888888888888	-0.07106164383561642
rna-XM_029832679.1	28.0	45.0	5.0	11.0	0.776564865226653	1.3688888888888888	-0.07106164383561642
rna-XM_029832720.1	28.0	45.0	5.0	11.0	0.776564865226653	1.3688888888888888	-0.07106164383561642
rna-XM_029832706.1	30.0	45.0	5.0	11.0	0.5825098526048103	1.4666666666666666	-0.08750000000000002
rna-XM_029832738.1	30.0	45.0	5.0	11.0	0.5825098526048103	1.4666666666666666	-0.08750000000000002
rna-XM_029832699.1	28.0	45.0	5.0	11.0	0.776564865226653	1.3688888888888888	-0.07106164383561642
rna-XM_029832718.1	28.0	45.0	5.0	11.0	0.776564865226653	1.3688888888888888	-0.07106164383561642
rna-XM_029832684.1	28.0	45.0	5.0	11.0	0.776564865226653	1.3688888888888888	-0.07106164383561642
rna-XM_029832665.1	28.0	45.0	5.0	11.0	0.776564865226653	1.3688888888888888	-0.07106164383561642
rna-XM_029832730.1	28.0	45.0	5.0	11.0	0.776564865226653	1.3688888888888888	-0.07106164383561642
rna-XM_029832688.1	28.0	45.0	5.0	11.0	0.776564865226653	1.3688888888888888	-0.07106164383561642
rna-XM_029832791.1	18.0	33.0	1.0	1.0	1.0	0.5454545454545454	0.14705882352941174
rna-XM_029832793.1	18.0	33.0	1.0	1.0	1.0	0.5454545454545454	0.14705882352941174
rna-XM_029832796.1	18.0	33.0	1.0	1.0	1.0	0.5454545454545454	0.14705882352941174
rna-XM_029832742.1	28.0	45.0	5.0	11.0	0.776564865226653	1.3688888888888888	-0.07106164383561642
rna-XM_003961050.3	3.0	1.0	0.0	1.0	0.4000000000000001	inf	-0.75
rna-XM_003961049.3	0.0	3.0	0.0	0.0	1.0	nan	NA
rna-XM_003961048.3	6.0	9.0	0.0	0.0	1.0	nan	NA
rna-XM_029831900.1	0.0	2.0	0.0	0.0	1.0	nan	NA
rna-XM_003961039.3	0.0	2.0	0.0	0.0	1.0	nan	NA
rna-XM_011604952.2	4.0	9.0	1.0	0.0	0.35714285714285715	0.0	0.6923076923076923
rna-XM_011605003.2	4.0	9.0	1.0	0.0	0.35714285714285715	0.0	0.6923076923076923
rna-XM_011604887.2	4.0	1.0	0.0	0.0	1.0	nan	NA
rna-XM_011604818.2	0.0	2.0	0.0	0.0	1.0	nan	NA
rna-XM_029840920.1	1.0	4.0	0.0	0.0	1.0	nan	NA
rna-XM_029840931.1	2.0	3.0	0.0	0.0	1.0	nan	NA
rna-XM_003961038.3	0.0	0.0	0.0	0.0	1.0	nan	NA
rna-XM_003961037.3	1.0	1.0	0.0	0.0	1.0	nan	NA
rna-XM_029840897.1	5.0	6.0	0.0	0.0	1.0	nan	NA
rna-XM_029840892.1	2.0	10.0	0.0	0.0	1.0	nan	NA
rna-XM_011604405.2	15.0	11.0	0.0	0.0	1.0	nan	NA
rna-XM_029840904.1	4.0	1.0	0.0	0.0	1.0	nan	NA
rna-XM_029840911.1	4.0	1.0	0.0	0.0	1.0	nan	NA
rna-XM_011604285.2	2.0	5.0	0.0	0.0	1.0	nan	NA
rna-XM_003961036.3	2.0	5.0	0.0	0.0	1.0	nan	NA
rna-XM_011604231.2	2.0	5.0	0.0	0.0	1.0	nan	NA
rna-XM_003961035.2	0.0	2.0	0.0	0.0	1.0	nan	NA
rna-XM_029839340.1	2.0	0.0	0.0	0.0	1.0	nan	NA
rna-XM_003961034.3	2.0	3.0	0.0	1.0	1.0	inf	-0.4
rna-XM_029839295.1	1.0	3.0	0.0	0.0	1.0	nan	NA
rna-XM_003961033.3	1.0	3.0	0.0	0.0	1.0	nan	NA
rna-XM_003961032.2	0.0	3.0	0.0	0.0	1.0	nan	NA
rna-XM_029839323.1	0.0	3.0	0.0	0.0	1.0	nan	NA
rna-XM_029839331.1	0.0	3.0	0.0	0.0	1.0	nan	NA
rna-XM_029839285.1	2.0	11.0	1.0	0.0	0.21428571428571427	0.0	0.8461538461538461
rna-XM_029839281.1	4.0	12.0	1.0	0.0	0.29411764705882354	0.0	0.75
rna-XM_011612714.2	3.0	7.0	3.0	0.0	0.06993006993006992	0.0	0.7
rna-XM_011612764.2	3.0	7.0	3.0	0.0	0.06993006993006992	0.0	0.7
rna-XM_011612627.2	0.0	3.0	1.0	1.0	0.4000000000000001	0.0	0.5
rna-XM_029843659.1	0.0	7.0	0.0	0.0	1.0	nan	NA
rna-XM_003961084.3	1.0	2.0	0.0	0.0	1.0	nan	NA
rna-XM_011612544.2	1.0	1.0	0.0	0.0	1.0	nan	NA
rna-XM_003961083.3	5.0	7.0	0.0	1.0	1.0	inf	-0.4166666666666667
rna-XM_029838484.1	5.0	7.0	0.0	1.0	1.0	inf	-0.4166666666666667
rna-XM_003961132.3	2.0	2.0	0.0	0.0	1.0	nan	NA
rna-XM_003961131.3	0.0	7.0	1.0	0.0	0.125	0.0	1.0
rna-XM_011612218.2	0.0	3.0	0.0	0.0	1.0	nan	NA
rna-XM_003961082.3	2.0	3.0	0.0	0.0	1.0	nan	NA
rna-XM_029838540.1	3.0	7.0	0.0	1.0	1.0	inf	-0.3
rna-XM_011612079.2	3.0	7.0	0.0	1.0	1.0	inf	-0.3
rna-XM_003961081.3	3.0	7.0	0.0	1.0	1.0	inf	-0.3
rna-XM_011611957.2	1.0	2.0	0.0	0.0	1.0	nan	NA
rna-XM_029838556.1	6.0	7.0	2.0	0.0	0.4666666666666667	0.0	0.5384615384615384
rna-XM_003961129.3	6.0	7.0	2.0	0.0	0.4666666666666667	0.0	0.5384615384615384
rna-XM_003961128.3	2.0	4.0	2.0	0.0	0.4285714285714286	0.0	0.6666666666666667
rna-XM_003961127.3	2.0	5.0	0.0	0.0	1.0	nan	NA
rna-XM_029840432.1	2.0	5.0	0.0	0.0	1.0	nan	NA
