Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,BioSampleModel,sex,Isolate,Collection_date,Tissue,Biomaterial_provider,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,lat_lon,Sample_Name,dev_stage,Ecotype,Strain,AGE,isol_growth_condt,Cultivar,estimated_size,num_replicons,ploidy,propagation,env_biome,env_feature,env_material,locus_tag_prefix,project_name,common_name,date_received,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),FAMILY,material,Order,provider,Submission_identifier,Submission_title,collected_by,Breed,tissue_type,death_date,store_cond,AssemblyName,Host,Sample_Type,bcid,coordinateUncertaintyInMeters,dayCollected,decimallatitude,decimallongitude,Depth,eventID,Genus,georeferenceProtocol,identified_by,locality,materialSampleID,MonthCollected,permitInformation,specificEpithet,YearCollected,dev-stage,env_broad_scale,env_local_scale,env_medium,biotic_relationship,COUNTRY,extrachrom_elements,health_state,host_taxid,Isolation_source,pathogenicity,ref_biomaterial,run (run),samp_collect_device,samp_mat_process,samp_size,sequencing_date (run),Source_material_ID,subspecf_gen_lin,trophic_level
SRR089296,WGS,250,70819212500,PRJNA60893,SAMN00189066,41748586526,MOUNT DESERT ISLAND BIOLOGICAL LABORATORY,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX036634,Illumina Genome Analyzer II,Leucoraja erinacea Stage 32 Embryonic DNA 500bp Paired-end Library (Delaware Biotechnology Institute),PAIRED,RANDOM,GENOMIC,Leucoraja erinacea,ILLUMINA,2011-12-15T00:00:00Z,MDIBL_LER_Stage32_DNA_1,SRP004931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stage 32 embryo,,,,,,,,,,,,,,,,,,,
SRR1705785,WGS,302,150699082066,PRJNA269969,SAMN01915239,95775301379,CORNELL,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX804127,Illumina HiSeq 2500,Kmer_analysis reads,PAIRED,unspecified,GENOMIC,Carcharodon carcharias,ILLUMINA,2017-08-15T00:00:00Z,C_car_delaware_2007,SRP051049,,female,C_car_delaware_2007,2007,,,USA,North America,USA: Delaware,,,,,,juvenile,,,,,,,,,,,,,,,,,,,,,,,,heart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR8241723,WGS,500,5509795000,PRJNA506906,SAMN10476608,2809300502,MANCHESTER METROPOLITAN UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5059975,Illumina MiSeq,RU_WGS_1,PAIRED,RANDOM,GENOMIC,Raja undulata,ILLUMINA,2018-11-27T00:00:00Z,Raja_undulata_R1,SRP170667,MIGS.eu,,not applicable,2014,,,uncalculated,uncalculated,not applicable,not applicable,,,not applicable,not applicable,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,,,,,,,,,,,,,,,,,,,not applicable,,,,,,,,,,,,,,,,,,,not applicable,not applicable,not applicable,not applicable,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,not applicable,not applicable,not applicable,,not applicable,not applicable,not applicable
SRR7614615,WGS,98,3538426416,PRJNA476219,SAMN09428498,2350141311,ULSAN NATIONAL INSTITUTE OF SCIENCE AND TECHNOLOGY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4479199,Illumina HiSeq 2500,WhaleShark_MATE_2Kb_L1,PAIRED,size fractionation,GENOMIC,Rhincodon typus,ILLUMINA,2019-08-23T00:00:00Z,WhaleShark_Ref,SRP155581,Model organism or animal,male,KOGIC-WS-01,,heart,,,,,,,adult,,,not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR7614616,WGS,98,2940802718,PRJNA476219,SAMN09428498,1935604132,ULSAN NATIONAL INSTITUTE OF SCIENCE AND TECHNOLOGY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4479198,Illumina HiSeq 2500,WhaleShark_MATE_15Kb_L2,PAIRED,size fractionation,GENOMIC,Rhincodon typus,ILLUMINA,2019-08-23T00:00:00Z,WhaleShark_Ref,SRP155581,Model organism or animal,male,KOGIC-WS-01,,heart,,,,,,,adult,,,not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR7614617,WGS,98,4062537766,PRJNA476219,SAMN09428498,2676285218,ULSAN NATIONAL INSTITUTE OF SCIENCE AND TECHNOLOGY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4479197,Illumina HiSeq 2500,WhaleShark_MATE_2Kb_L3,PAIRED,size fractionation,GENOMIC,Rhincodon typus,ILLUMINA,2019-08-23T00:00:00Z,WhaleShark_Ref,SRP155581,Model organism or animal,male,KOGIC-WS-01,,heart,,,,,,,adult,,,not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR7614618,WGS,98,5182433452,PRJNA476219,SAMN09428498,3394937408,ULSAN NATIONAL INSTITUTE OF SCIENCE AND TECHNOLOGY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4479196,Illumina HiSeq 2500,WhaleShark_MATE_2Kb_L2,PAIRED,size fractionation,GENOMIC,Rhincodon typus,ILLUMINA,2019-08-23T00:00:00Z,WhaleShark_Ref,SRP155581,Model organism or animal,male,KOGIC-WS-01,,heart,,,,,,,adult,,,not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR7614619,WGS,98,3026537626,PRJNA476219,SAMN09428498,2021563344,ULSAN NATIONAL INSTITUTE OF SCIENCE AND TECHNOLOGY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4479195,Illumina HiSeq 2500,WhaleShark_MATE_5Kb_L2,PAIRED,size fractionation,GENOMIC,Rhincodon typus,ILLUMINA,2019-08-23T00:00:00Z,WhaleShark_Ref,SRP155581,Model organism or animal,male,KOGIC-WS-01,,heart,,,,,,,adult,,,not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR7614620,WGS,98,2578691738,PRJNA476219,SAMN09428498,1737892361,ULSAN NATIONAL INSTITUTE OF SCIENCE AND TECHNOLOGY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4479194,Illumina HiSeq 2500,WhaleShark_MATE_5Kb_L1,PAIRED,size fractionation,GENOMIC,Rhincodon typus,ILLUMINA,2019-08-23T00:00:00Z,WhaleShark_Ref,SRP155581,Model organism or animal,male,KOGIC-WS-01,,heart,,,,,,,adult,,,not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR7614622,WGS,98,2278783024,PRJNA476219,SAMN09428498,1525408265,ULSAN NATIONAL INSTITUTE OF SCIENCE AND TECHNOLOGY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4479192,Illumina HiSeq 2500,WhaleShark_MATE_5Kb_L3,PAIRED,size fractionation,GENOMIC,Rhincodon typus,ILLUMINA,2019-08-23T00:00:00Z,WhaleShark_Ref,SRP155581,Model organism or animal,male,KOGIC-WS-01,,heart,,,,,,,adult,,,not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR7614623,WGS,180,44242847640,PRJNA476219,SAMN09428498,30255082905,ULSAN NATIONAL INSTITUTE OF SCIENCE AND TECHNOLOGY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4479191,Illumina HiSeq 2500,WhaleShark_PE_500_L1,PAIRED,size fractionation,GENOMIC,Rhincodon typus,ILLUMINA,2019-08-23T00:00:00Z,WhaleShark_Ref,SRP155581,Model organism or animal,male,KOGIC-WS-01,,heart,,,,,,,adult,,,not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR7614624,WGS,180,50526533160,PRJNA476219,SAMN09428498,35751529539,ULSAN NATIONAL INSTITUTE OF SCIENCE AND TECHNOLOGY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4479190,Illumina HiSeq 2500,WhaleShark_PE_400_L1,PAIRED,size fractionation,GENOMIC,Rhincodon typus,ILLUMINA,2019-08-23T00:00:00Z,WhaleShark_Ref,SRP155581,Model organism or animal,male,KOGIC-WS-01,,heart,,,,,,,adult,,,not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR7614625,WGS,180,66177432540,PRJNA476219,SAMN09428498,43972414629,ULSAN NATIONAL INSTITUTE OF SCIENCE AND TECHNOLOGY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4479189,Illumina HiSeq 2500,WhaleShark_PE_170_L2,PAIRED,size fractionation,GENOMIC,Rhincodon typus,ILLUMINA,2019-08-23T00:00:00Z,WhaleShark_Ref,SRP155581,Model organism or animal,male,KOGIC-WS-01,,heart,,,,,,,adult,,,not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR7614626,WGS,180,63149396580,PRJNA476219,SAMN09428498,42198943086,ULSAN NATIONAL INSTITUTE OF SCIENCE AND TECHNOLOGY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4479188,Illumina HiSeq 2500,WhaleShark_PE_170_L1,PAIRED,size fractionation,GENOMIC,Rhincodon typus,ILLUMINA,2019-08-23T00:00:00Z,WhaleShark_Ref,SRP155581,Model organism or animal,male,KOGIC-WS-01,,heart,,,,,,,adult,,,not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR7614627,WGS,98,2253670426,PRJNA476219,SAMN09428498,1493168304,ULSAN NATIONAL INSTITUTE OF SCIENCE AND TECHNOLOGY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4479187,Illumina HiSeq 2500,WhaleShark_MATE_10Kb_L1,PAIRED,size fractionation,GENOMIC,Rhincodon typus,ILLUMINA,2019-08-23T00:00:00Z,WhaleShark_Ref,SRP155581,Model organism or animal,male,KOGIC-WS-01,,heart,,,,,,,adult,,,not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR7614628,WGS,180,34848063720,PRJNA476219,SAMN09428498,24742449176,ULSAN NATIONAL INSTITUTE OF SCIENCE AND TECHNOLOGY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4479186,Illumina HiSeq 2500,WhaleShark_PE_700_L2,PAIRED,size fractionation,GENOMIC,Rhincodon typus,ILLUMINA,2019-08-23T00:00:00Z,WhaleShark_Ref,SRP155581,Model organism or animal,male,KOGIC-WS-01,,heart,,,,,,,adult,,,not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR7614629,WGS,180,39892577040,PRJNA476219,SAMN09428498,28367990630,ULSAN NATIONAL INSTITUTE OF SCIENCE AND TECHNOLOGY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4479185,Illumina HiSeq 2500,WhaleShark_PE_700_L1,PAIRED,size fractionation,GENOMIC,Rhincodon typus,ILLUMINA,2019-08-23T00:00:00Z,WhaleShark_Ref,SRP155581,Model organism or animal,male,KOGIC-WS-01,,heart,,,,,,,adult,,,not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR7614631,WGS,98,2107163856,PRJNA476219,SAMN09428498,1427471192,ULSAN NATIONAL INSTITUTE OF SCIENCE AND TECHNOLOGY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4479183,Illumina HiSeq 2500,WhaleShark_MATE_15Kb_L1,PAIRED,size fractionation,GENOMIC,Rhincodon typus,ILLUMINA,2019-08-23T00:00:00Z,WhaleShark_Ref,SRP155581,Model organism or animal,male,KOGIC-WS-01,,heart,,,,,,,adult,,,not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR7614632,WGS,98,3231315976,PRJNA476219,SAMN09428498,2122078818,ULSAN NATIONAL INSTITUTE OF SCIENCE AND TECHNOLOGY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4479182,Illumina HiSeq 2500,WhaleShark_MATE_10Kb_L2,PAIRED,size fractionation,GENOMIC,Rhincodon typus,ILLUMINA,2019-08-23T00:00:00Z,WhaleShark_Ref,SRP155581,Model organism or animal,male,KOGIC-WS-01,,heart,,,,,,,adult,,,not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR7693856,WGS,302,72948209928,PRJNA269969,SAMN09832472,26518012043,CORNELL UNIVERSITY,public,"bam,fasta,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4552936,Illumina HiSeq 3000,chicagolibrary4,PAIRED,RANDOM,GENOMIC,Carcharodon carcharias,ILLUMINA,2018-09-28T00:00:00Z,Pacific Individual White Shark for dovetail sequencing,SRP051049,Model organism or animal,male,,2014-11-16,blood,"Salvador Jorgensen\, Monterey Bay Aquarium",,,,,,Juvenile,Pacific Ocean California,,,,,,,,,,,,,,,,,,,,,,,,,,,,dry ice followed by -80 degrees celsius,assembly,,blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR7693858,WGS,320,59620840000,PRJNA269969,SAMN01915239,39818015101,CORNELL UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4552934,Illumina HiSeq 2500,15-20kb_mate_paired_library,PAIRED,RANDOM,GENOMIC,Carcharodon carcharias,ILLUMINA,2018-09-28T00:00:00Z,C_car_delaware_2007,SRP051049,,female,C_car_delaware_2007,2007,,,USA,North America,USA: Delaware,,,,,,juvenile,,,,,,,,,,,,,,,,,,,,,,,,heart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR7693861,WGS,520,138723809244,PRJNA269969,SAMN01915239,91981576718,CORNELL UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4552931,Illumina HiSeq 2500,Overlapping_250_bp_library,PAIRED,RANDOM,GENOMIC,Carcharodon carcharias,ILLUMINA,2018-09-28T00:00:00Z,C_car_delaware_2007,SRP051049,,female,C_car_delaware_2007,2007,,,USA,North America,USA: Delaware,,,,,,juvenile,,,,,,,,,,,,,,,,,,,,,,,,heart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR7693863,WGS,302,126724961254,PRJNA269969,SAMN01915239,64966400466,CORNELL UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4552929,Illumina HiSeq 2500,Swift_kit_pe_library,PAIRED,RANDOM,GENOMIC,Carcharodon carcharias,ILLUMINA,2018-09-28T00:00:00Z,C_car_delaware_2007,SRP051049,,female,C_car_delaware_2007,2007,,,USA,North America,USA: Delaware,,,,,,juvenile,,,,,,,,,,,,,,,,,,,,,,,,heart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR7693864,WGS,302,123369049674,PRJNA269969,SAMN01915239,53244014390,CORNELL UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4552928,Illumina HiSeq 2500,4th_paired_end_150bp_library,PAIRED,RANDOM,GENOMIC,Carcharodon carcharias,ILLUMINA,2018-09-28T00:00:00Z,C_car_delaware_2007,SRP051049,,female,C_car_delaware_2007,2007,,,USA,North America,USA: Delaware,,,,,,juvenile,,,,,,,,,,,,,,,,,,,,,,,,heart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR7693866,WGS,302,95825373120,PRJNA269969,SAMN01915239,58855516159,CORNELL UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4552926,Illumina HiSeq 2500,3rd_paired_end_library,PAIRED,RANDOM,GENOMIC,Carcharodon carcharias,ILLUMINA,2018-09-28T00:00:00Z,C_car_delaware_2007,SRP051049,,female,C_car_delaware_2007,2007,,,USA,North America,USA: Delaware,,,,,,juvenile,,,,,,,,,,,,,,,,,,,,,,,,heart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR7693868,WGS,302,32753961150,PRJNA269969,SAMN01915239,19914657621,CORNELL UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4552924,Illumina HiSeq 2500,1st_paired_end_library,PAIRED,RANDOM,GENOMIC,Carcharodon carcharias,ILLUMINA,2018-09-28T00:00:00Z,C_car_delaware_2007,SRP051049,,female,C_car_delaware_2007,2007,,,USA,North America,USA: Delaware,,,,,,juvenile,,,,,,,,,,,,,,,,,,,,,,,,heart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR7693869,WGS,320,33104990080,PRJNA269969,SAMN01915239,22024057173,CORNELL UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4552923,Illumina HiSeq 2500,8-10kb_mate_paired_library,PAIRED,RANDOM,GENOMIC,Carcharodon carcharias,ILLUMINA,2018-09-28T00:00:00Z,C_car_delaware_2007,SRP051049,,female,C_car_delaware_2007,2007,,,USA,North America,USA: Delaware,,,,,,juvenile,,,,,,,,,,,,,,,,,,,,,,,,heart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR7693855,WGS,302,81527395124,PRJNA269969,SAMN09832472,28885964124,CORNELL UNIVERSITY,public,"bam,fasta,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4552937,Illumina HiSeq 3000,chicagolibrary5,PAIRED,RANDOM,GENOMIC,Carcharodon carcharias,ILLUMINA,2018-09-28T00:00:00Z,Pacific Individual White Shark for dovetail sequencing,SRP051049,Model organism or animal,male,,2014-11-16,blood,"Salvador Jorgensen\, Monterey Bay Aquarium",,,,,,Juvenile,Pacific Ocean California,,,,,,,,,,,,,,,,,,,,,,,,,,,,dry ice followed by -80 degrees celsius,assembly,,blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR7693857,WGS,302,63909994094,PRJNA269969,SAMN09832472,20904990361,CORNELL UNIVERSITY,public,"bam,fasta,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4552935,Illumina HiSeq 3000,chicagolibrary1,PAIRED,RANDOM,GENOMIC,Carcharodon carcharias,ILLUMINA,2018-09-28T00:00:00Z,Pacific Individual White Shark for dovetail sequencing,SRP051049,Model organism or animal,male,,2014-11-16,blood,"Salvador Jorgensen\, Monterey Bay Aquarium",,,,,,Juvenile,Pacific Ocean California,,,,,,,,,,,,,,,,,,,,,,,,,,,,dry ice followed by -80 degrees celsius,assembly,,blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
