Run,Assay Type,BioProject,BioSample,Center Name,Consent,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,AvgSpotLen,Bases,Bytes,DATASTORE filetype,DATASTORE provider,DATASTORE region,sex,Library Name,dev_stage,BioSampleModel,Tissue,Isolate,geo_loc_name_country,geo_loc_name_country_continent,Breed,Strain,Ecotype,AGE,Cultivar,Specimen_voucher,geo_loc_name,lat_lon,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Collection_date,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,collected_by,geographic_location_(country_and/or_sea),tissue_type,geographic_location_(region_and_locality),Field_ID,run (run),common,sequencing_date (run),common_name,Sample_Name,health_state,date_received,FAMILY,material,Order,Project,provider_id,provider,Submission_description,Submission_identifier,Submission_title,tissue_storage,instrument_model (run),Sample_Type,Library,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,SRA_accession,Title,actual_read_length (run),Biomaterial_provider,External_Id,Id_Number,Submitter_Id,total_bases (run),environment_(biome),environment_(feature),environment_(material),geographic_location_(latitude),geographic_location_(longitude),host-associated_environmental_package,Investigation_type,project_name,Sequencing_method,env_broad_scale,env_local_scale,env_medium,isol_growth_condt,biotic_relationship,estimated_size,extrachrom_elements,breeding_history,store_cond,birth_location,Genotype,Isolation_source,Treatment,ArrayExpress-SPECIES,Label,Subject_ID,subsrc_note,Alias,AssemblyName,Description,ENA_CHECKLIST,Host,host_taxid,num_replicons,pathogenicity,ploidy,propagation,ref_biomaterial,samp_collect_device,samp_mat_process,samp_size,Source_material_ID,subspecf_gen_lin,trophic_level
SRR2027506,WGS,PRJNA269757,SAMN03256322,UNIVERSITY OF KENTUCKY,public,SRX800915,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Ambystoma mexicanum,ILLUMINA,2015-11-12T00:00:00Z,AM_shotgun_1,SRP051662,200,42551185000,27252286665,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",female,AM_shotgun,Adult,Model organism or animal,Liver,,,,,laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13003.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR2027507,WGS,PRJNA269757,SAMN03256322,UNIVERSITY OF KENTUCKY,public,SRX800915,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Ambystoma mexicanum,ILLUMINA,2015-11-12T00:00:00Z,AM_shotgun_1,SRP051662,200,43036328800,28041362245,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",female,AM_shotgun,Adult,Model organism or animal,Liver,,,,,laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13003.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR2027508,WGS,PRJNA269757,SAMN03256322,UNIVERSITY OF KENTUCKY,public,SRX800915,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Ambystoma mexicanum,ILLUMINA,2015-11-12T00:00:00Z,AM_shotgun_1,SRP051662,200,43422634200,27808249050,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",female,AM_shotgun,Adult,Model organism or animal,Liver,,,,,laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13003.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR2027510,WGS,PRJNA269757,SAMN03256322,UNIVERSITY OF KENTUCKY,public,SRX800915,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Ambystoma mexicanum,ILLUMINA,2015-11-12T00:00:00Z,AM_shotgun_1,SRP051662,200,42822374800,27347113628,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",female,AM_shotgun,Adult,Model organism or animal,Liver,,,,,laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13003.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR2027512,WGS,PRJNA269757,SAMN03256322,UNIVERSITY OF KENTUCKY,public,SRX800915,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Ambystoma mexicanum,ILLUMINA,2015-11-12T00:00:00Z,AM_shotgun_1,SRP051662,200,44690922200,28489869616,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",female,AM_shotgun,Adult,Model organism or animal,Liver,,,,,laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13003.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR2027513,WGS,PRJNA269757,SAMN03256322,UNIVERSITY OF KENTUCKY,public,SRX800915,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Ambystoma mexicanum,ILLUMINA,2015-11-12T00:00:00Z,AM_shotgun_1,SRP051662,200,45131992000,28509143635,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",female,AM_shotgun,Adult,Model organism or animal,Liver,,,,,laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13003.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR2027514,WGS,PRJNA269757,SAMN03256322,UNIVERSITY OF KENTUCKY,public,SRX800915,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Ambystoma mexicanum,ILLUMINA,2015-11-12T00:00:00Z,AM_shotgun_1,SRP051662,200,44993459800,28384060710,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",female,AM_shotgun,Adult,Model organism or animal,Liver,,,,,laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13003.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR2027515,WGS,PRJNA269757,SAMN03256322,UNIVERSITY OF KENTUCKY,public,SRX800915,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Ambystoma mexicanum,ILLUMINA,2015-11-12T00:00:00Z,AM_shotgun_1,SRP051662,200,44656372000,28194999457,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",female,AM_shotgun,Adult,Model organism or animal,Liver,,,,,laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13003.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR2027516,WGS,PRJNA269757,SAMN03256322,UNIVERSITY OF KENTUCKY,public,SRX800915,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Ambystoma mexicanum,ILLUMINA,2015-11-12T00:00:00Z,AM_shotgun_1,SRP051662,200,45199473800,28571206372,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",female,AM_shotgun,Adult,Model organism or animal,Liver,,,,,laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13003.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR2027517,WGS,PRJNA269757,SAMN03256322,UNIVERSITY OF KENTUCKY,public,SRX800915,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Ambystoma mexicanum,ILLUMINA,2015-11-12T00:00:00Z,AM_shotgun_1,SRP051662,200,45047104000,28482110941,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",female,AM_shotgun,Adult,Model organism or animal,Liver,,,,,laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13003.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR2027518,WGS,PRJNA269757,SAMN03256322,UNIVERSITY OF KENTUCKY,public,SRX800915,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Ambystoma mexicanum,ILLUMINA,2015-11-12T00:00:00Z,AM_shotgun_1,SRP051662,200,45816516000,29171868902,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",female,AM_shotgun,Adult,Model organism or animal,Liver,,,,,laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13003.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3210959,WGS,PRJNA313213,SAMN04518361,UC BERKELEY,public,SRX1619019,Illumina HiSeq 2000,PAIRED,PCR,GENOMIC,Xenopus laevis,ILLUMINA,2016-10-14T00:00:00Z,Xla.Jfemale,SRP071264,300,47610493200,30860284635,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",female,JBL009,adult,Model organism or animal,blood,,,,,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3210971,WGS,PRJNA313213,SAMN04518361,UC BERKELEY,public,SRX1619020,Illumina HiSeq 2000,PAIRED,PCR,GENOMIC,Xenopus laevis,ILLUMINA,2016-10-14T00:00:00Z,Xla.Jfemale,SRP071264,300,38740732500,25554222259,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",female,JBL010,adult,Model organism or animal,blood,,,,,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3210972,WGS,PRJNA313213,SAMN04518361,UC BERKELEY,public,SRX1619021,Illumina HiSeq 2000,PAIRED,PCR,GENOMIC,Xenopus laevis,ILLUMINA,2016-10-14T00:00:00Z,Xla.Jfemale,SRP071264,300,63532489800,42465420843,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",female,JBL011,adult,Model organism or animal,blood,,,,,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3210973,WGS,PRJNA313213,SAMN04518361,UC BERKELEY,public,SRX1619022,Illumina HiSeq 2000,PAIRED,PCR,GENOMIC,Xenopus laevis,ILLUMINA,2016-10-14T00:00:00Z,Xla.Jfemale,SRP071264,300,53309584200,35099240381,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",female,JBL012,adult,Model organism or animal,blood,,,,,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3210974,WGS,PRJNA313213,SAMN04518361,UC BERKELEY,public,SRX1619023,Illumina HiSeq 2000,PAIRED,PCR,GENOMIC,Xenopus laevis,ILLUMINA,2016-10-14T00:00:00Z,Xla.Jfemale,SRP071264,200,32159301400,21857295405,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",female,JBL013,adult,Model organism or animal,blood,,,,,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3210975,WGS,PRJNA313213,SAMN04518361,UC BERKELEY,public,SRX1619024,Illumina HiSeq 2000,PAIRED,PCR,GENOMIC,Xenopus laevis,ILLUMINA,2016-10-14T00:00:00Z,Xla.Jfemale,SRP071264,149,20827178175,11430405220,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",female,DEC225,adult,Model organism or animal,blood,,,,,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3210976,WGS,PRJNA313213,SAMN04518361,UC BERKELEY,public,SRX1619025,Illumina HiSeq 2000,PAIRED,PCR,GENOMIC,Xenopus laevis,ILLUMINA,2016-10-14T00:00:00Z,Xla.Jfemale,SRP071264,150,10906958400,5787867965,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",female,DEC450,adult,Model organism or animal,blood,,,,,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3210977,WGS,PRJNA313213,SAMN04518361,UC BERKELEY,public,SRX1619026,Illumina HiSeq 2000,PAIRED,PCR,GENOMIC,Xenopus laevis,ILLUMINA,2016-10-14T00:00:00Z,Xla.Jfemale,SRP071264,195,26472373980,18162302529,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",female,DEC1000,adult,Model organism or animal,blood,,,,,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3210978,WGS,PRJNA313213,SAMN04518361,UC BERKELEY,public,SRX1619027,Illumina HiSeq 2000,PAIRED,PCR,GENOMIC,Xenopus laevis,ILLUMINA,2016-10-14T00:00:00Z,Xla.Jfemale,SRP071264,150,9960382200,5430915527,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",female,DEC10KB,adult,Model organism or animal,blood,,,,,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR2085965,WGS,PRJNA285814,SAMN03760860,BCCAGSC,public,SRX1080118,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Lithobates catesbeianus,ILLUMINA,2017-01-14T00:00:00Z,brunoMaleBullFrogLiver,SRP060288,300,6546589500,4114912657,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",male,A43486,adult,Model organism or animal,liver,Bruno,,,,,,,,,,,,,,,,,,,,,139749,American bullfrog,2014-02-20T18:22:23Z,,,,,,,,,,,,,,,Illumina HiSeq 2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR2085966,WGS,PRJNA285814,SAMN03760860,BCCAGSC,public,SRX1080118,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Lithobates catesbeianus,ILLUMINA,2017-01-14T00:00:00Z,brunoMaleBullFrogLiver,SRP060288,300,6591714600,4127494092,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",male,A43486,adult,Model organism or animal,liver,Bruno,,,,,,,,,,,,,,,,,,,,,139748,American bullfrog,2014-02-20T18:22:19Z,,,,,,,,,,,,,,,Illumina HiSeq 2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR2085967,WGS,PRJNA285814,SAMN03760860,BCCAGSC,public,SRX1080114,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Lithobates catesbeianus,ILLUMINA,2017-01-14T00:00:00Z,brunoMaleBullFrogLiver,SRP060288,1000,2521770000,1674086992,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",male,A43481,adult,Model organism or animal,liver,Bruno,,,,,,,,,,,,,,,,,,,,,139672,American bullfrog,2014-02-19T22:21:36Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR2085968,WGS,PRJNA285814,SAMN03760860,BCCAGSC,public,SRX1080122,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Lithobates catesbeianus,ILLUMINA,2017-01-14T00:00:00Z,brunoMaleBullFrogLiver,SRP060288,1000,1880821000,1257752222,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",male,A43483,adult,Model organism or animal,liver,Bruno,,,,,,,,,,,,,,,,,,,,,139852,American bullfrog,2014-02-24T18:43:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR2085969,WGS,PRJNA285814,SAMN03760860,BCCAGSC,public,SRX1080110,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Lithobates catesbeianus,ILLUMINA,2017-01-14T00:00:00Z,brunoMaleBullFrogLiver,SRP060288,1000,2550544000,1686514910,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",male,A43482,adult,Model organism or animal,liver,Bruno,,,,,,,,,,,,,,,,,,,,,139852,American bullfrog,2014-02-24T18:43:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR2085970,WGS,PRJNA285814,SAMN03760860,BCCAGSC,public,SRX1080120,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Lithobates catesbeianus,ILLUMINA,2017-01-14T00:00:00Z,brunoMaleBullFrogLiver,SRP060288,300,2953663200,1862500642,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",male,A43485,adult,Model organism or animal,liver,Bruno,,,,,,,,,,,,,,,,,,,,,139749,American bullfrog,2014-02-20T18:22:23Z,,,,,,,,,,,,,,,Illumina HiSeq 2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR2085971,WGS,PRJNA285814,SAMN03760860,BCCAGSC,public,SRX1080114,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Lithobates catesbeianus,ILLUMINA,2017-01-14T00:00:00Z,brunoMaleBullFrogLiver,SRP060288,300,5814895800,3609748979,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",male,A43481,adult,Model organism or animal,liver,Bruno,,,,,,,,,,,,,,,,,,,,,139747,American bullfrog,2014-02-20T18:14:43Z,,,,,,,,,,,,,,,Illumina HiSeq 2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR2085972,WGS,PRJNA285814,SAMN03760860,BCCAGSC,public,SRX1080110,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Lithobates catesbeianus,ILLUMINA,2017-01-14T00:00:00Z,brunoMaleBullFrogLiver,SRP060288,1000,3198867000,2116926221,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",male,A43482,adult,Model organism or animal,liver,Bruno,,,,,,,,,,,,,,,,,,,,,139672,American bullfrog,2014-02-19T22:21:36Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR2085973,WGS,PRJNA285814,SAMN03760860,BCCAGSC,public,SRX1080117,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Lithobates catesbeianus,ILLUMINA,2017-01-14T00:00:00Z,brunoMaleBullFrogLiver,SRP060288,300,5295274800,3298072026,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",male,A43487,adult,Model organism or animal,liver,Bruno,,,,,,,,,,,,,,,,,,,,,139747,American bullfrog,2014-02-20T18:14:43Z,,,,,,,,,,,,,,,Illumina HiSeq 2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
