BioProject,BioSample,Submitter_ID,Organism,subspecies,sex,Locality,Province,Country,Continent,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJEB10586,SAMEA3532865,26820,Taeniopygia_guttata,NA,female,Fowlers Gap,New South Wales,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata,142425453,0,1161124,0.0081525,86959738,20.8868,-0.162104,-0.0284028,0.199478,-0.0358258,-0.0203543,0.125674,-0.134325,-0.0664465,-0.0837571,-0.0833885,cluster_3,ingroup,NA
PRJEB10586,SAMEA3532863,26516,Taeniopygia_guttata,NA,male,Fowlers Gap,New South Wales,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata,142425453,0,1162633,0.0081631,86960029,25.9496,-0.163528,-0.0281525,0.307289,0.00290093,-0.287864,0.244803,0.197904,-0.596177,0.310951,0.326529,cluster_3,ingroup,NA
PRJEB10586,SAMEA3532844,73790,Poephila_acuticauda,hecki,female,October Creek,Northern Territory,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata,142425453,0,1194108,0.00838409,60972108,27.333,0.164796,-0.0246502,-4.45842e-4,2.74442e-4,-1.47682e-4,-5.01392e-4,0.00160787,9.34795e-4,-7.71013e-4,1.61275e-4,cluster_2,outgroup,1
PRJEB10586,SAMEA3532841,W2994,Poephila_acuticauda,acuticauda,female,captive-born from mother from Mount House and father from Nelson’s Hole,NA,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata,142425453,0,1206156,0.00846868,60971988,27.7326,0.162834,-0.0243551,5.56507e-4,0.00243614,-0.00123304,7.0893e-4,-0.00126926,-8.53247e-4,-4.87672e-4,0.00137214,cluster_2,outgroup,2
PRJEB10586,SAMEA3532866,26733,Taeniopygia_guttata,NA,male,Fowlers Gap,New South Wales,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata,142425453,0,1213888,0.00852297,86959412,23.4142,-0.163532,-0.0284693,-0.265954,0.63168,-0.435807,0.0365845,0.298182,0.084341,-0.103361,-0.177314,cluster_3,ingroup,NA
PRJEB10586,SAMEA3532860,26721,Taeniopygia_guttata,NA,female,Fowlers Gap,New South Wales,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata,142425453,0,1214232,0.00852539,86960033,22.9191,-0.161444,-0.0276512,0.0662951,-0.0431068,0.158896,-0.0324544,0.00840191,-0.0347903,-0.0958231,0.154184,cluster_3,ingroup,NA
PRJEB10586,SAMEA3532870,26896,Taeniopygia_guttata,NA,female,Fowlers Gap,New South Wales,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata,142425453,0,1218439,0.00855492,86959859,20.9841,-0.161665,-0.0277473,0.198926,-0.508113,-0.221235,-0.186028,0.542814,0.453433,0.0827396,0.070666,cluster_3,ingroup,NA
PRJEB10586,SAMEA3532868,26881,Taeniopygia_guttata,NA,female,Fowlers Gap,New South Wales,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata,142425453,0,1233972,0.00866399,86959670,18.9168,-0.162679,-0.028203,-0.625841,-0.341192,0.280711,0.497065,0.234326,-0.169339,-0.0904747,-0.0696234,cluster_3,ingroup,NA
PRJEB10586,SAMEA3532832,G111,Poephila_acuticauda,acuticauda,female,Mount House,Western Australia,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata,142425453,0,1273690,0.00894285,60971373,24.9238,0.163787,-0.0244427,-0.00140437,2.71755e-4,-5.17212e-4,0.00113657,-2.46991e-4,4.39145e-4,-0.00142584,0.00108155,cluster_2,outgroup,NA
PRJEB10586,SAMEA3532850,73948,Poephila_acuticauda,hecki,female,October Creek,Northern Territory,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata,142425453,0,1291086,0.00906499,60970562,21.7783,0.163583,-0.0239624,1.2888e-4,-0.00125754,7.52422e-4,5.54813e-4,-4.40004e-4,9.77663e-4,-7.71403e-5,-4.28723e-5,cluster_2,outgroup,NA
PRJEB10586,SAMEA3532867,28481,Taeniopygia_guttata,NA,male,Fowlers Gap,New South Wales,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata,142425453,0,1324724,0.00930117,86958806,19.4117,-0.162288,-0.0278662,0.0455628,-0.0635937,-0.093265,-0.211652,0.0565131,-0.123318,-0.180025,-0.326424,cluster_3,ingroup,NA
PRJEB10586,SAMEA3532864,28404,Taeniopygia_guttata,NA,male,Fowlers Gap,New South Wales,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata,142425453,0,1341329,0.00941776,86958991,20.3726,-0.161557,-0.0281391,0.00939903,0.0391373,0.0278758,-0.0977225,0.0251808,-0.0394425,-0.0288212,0.0445666,cluster_3,ingroup,NA
PRJEB10586,SAMEA3532862,28402,Taeniopygia_guttata,NA,male,Fowlers Gap,New South Wales,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata,142425453,0,1343975,0.00943634,86959025,20.3059,-0.15985,-0.0276316,-0.0783783,0.0410641,-0.11352,-0.039218,-0.0795814,-0.0114976,-0.072507,-0.0593276,cluster_3,ingroup,NA
PRJEB10586,SAMEA3532859,28353,Taeniopygia_guttata,NA,male,Fowlers Gap,New South Wales,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata,142425453,0,1411473,0.00991026,86958836,23.201,-0.16142,-0.0281501,-0.0241179,0.12802,-0.0537719,0.0529816,0.0490622,0.12035,0.0848788,-0.153667,cluster_3,ingroup,NA
PRJEB10586,SAMEA3532845,73900,Poephila_acuticauda,hecki,female,October Creek,Northern Territory,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata,142425453,0,1449432,0.0101768,60967157,19.0925,0.163505,-0.0246925,-0.00136154,-0.00186474,2.63276e-4,-4.80704e-4,-2.30254e-4,1.84382e-4,-0.0010857,-4.40476e-4,cluster_2,outgroup,NA
PRJEB10586,SAMEA3532842,73783,Poephila_acuticauda,hecki,male,October Creek,Northern Territory,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata,142425453,0,1480369,0.010394,60972689,31.1032,0.163128,-0.0239368,-1.79335e-4,0.00109836,5.81015e-4,1.69419e-5,7.59033e-4,0.00128307,-8.99153e-5,-3.80297e-4,cluster_2,exclude,1
PRJEB10586,SAMEA3532833,G118,Poephila_acuticauda,acuticauda,male,Mount House,Western Australia,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata,142425453,0,1490703,0.0104665,60972358,32.3002,0.162233,-0.0241703,3.98738e-4,1.7604e-4,0.00115588,5.04763e-4,-4.7167e-4,4.79465e-5,7.56767e-4,5.39585e-4,cluster_2,outgroup,NA
PRJEB10586,SAMEA3532839,G294,Poephila_acuticauda,acuticauda,male,Nelson’s Hole,Western Australia,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata,142425453,0,1501101,0.0105396,60974052,32.715,0.161163,-0.0239056,5.7603e-4,-0.00112673,6.48201e-4,-5.01753e-4,5.53993e-4,-0.00177811,-0.00119401,9.34341e-4,cluster_2,outgroup,NA
PRJEB10586,SAMEA3532848,73933,Poephila_acuticauda,hecki,male,October Creek,Northern Territory,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata,142425453,0,1534466,0.0107738,60973283,26.5938,0.161527,-0.0237365,-0.00224081,-0.00102111,9.12169e-4,0.00173167,2.79885e-5,-2.22837e-4,-0.00114613,-2.19985e-4,cluster_2,outgroup,NA
PRJEB10586,SAMEA3532835,G169,Poephila_acuticauda,acuticauda,male,Mount House,Western Australia,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata,142425453,0,1621125,0.0113823,60972020,22.7793,0.161777,-0.0241441,9.29661e-4,8.54632e-4,-0.00143188,-0.00137208,0.00114458,2.35126e-4,1.20181e-4,-8.48201e-4,cluster_2,outgroup,NA
PRJEB10586,SAMEA3532851,73958,Poephila_acuticauda,hecki,male,October Creek,Northern Territory,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata,142425453,0,1699803,0.0119347,60971726,20.388,0.159968,-0.0236412,0.00217317,3.29593e-4,4.56851e-4,7.85617e-4,-7.79047e-4,-1.46617e-4,0.00201737,0.00017032200000000001,cluster_2,outgroup,NA
PRJEB10586,SAMEA3532847,73907,Poephila_acuticauda,hecki,male,October Creek,Northern Territory,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata,142425453,0,1734726,0.0121799,60970747,20.2959,0.163316,-0.0244107,8.66854e-5,0.00107647,-1.24513e-4,5.53953e-4,0.00164163,0.00202644,-8.84656e-4,8.44944e-4,cluster_2,exclude,1
PRJEB10586,SAMEA3532838,G276,Poephila_acuticauda,acuticauda,male,Nelson’s Hole,Western Australia,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata,142425453,0,1783270,0.0125207,60970212,18.2055,0.161229,-0.0239745,-1.40623e-4,1.46495e-4,-3.98702e-5,0.00135637,2.35064e-4,-0.00113874,0.00104288,9.04441e-4,cluster_2,outgroup,NA
PRJEB10586,SAMEA3532837,G250,Poephila_acuticauda,acuticauda,male,Nelson’s Hole,Western Australia,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata,142425453,0,1784241,0.0125275,60969957,19.8461,0.161703,-0.0243335,4.92217e-4,7.2396e-4,-0.00134245,1.83505e-4,5.75228e-4,-0.00112289,-0.00131653,0.00153478,cluster_2,exclude,2
PRJEB10586,SAMEA3532840,W2703,Poephila_acuticauda,acuticauda,male,captive-born from parents from Mount House,NA,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata,142425453,0,1801110,0.012646,60969662,18.9619,0.160658,-0.0236253,-1.96079e-4,-0.00103638,-3.60192e-4,-4.53995e-4,-0.00102583,-0.00162489,0.00120082,-7.79806e-4,cluster_2,outgroup,NA
PRJEB10586,SAMEA3532849,73942,Poephila_acuticauda,hecki,male,October Creek,Northern Territory,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata\n,142425453,0,1845865,0.0129602,60968658,16.2211,0.161072,-0.0231716,2.73372e-4,-8.60284e-4,-9.54188e-4,-4.16551e-4,-9.9829e-4,-4.07226e-4,-0.00186924,-0.00132179,cluster_2,outgroup,NA
PRJEB10586,SAMEA3532836,G183,Poephila_acuticauda,acuticauda,male,Mount House,Western Australia,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata,142425453,0,1864260,0.0130894,60969079,18.1819,0.161365,-0.0241469,0.00132714,0.00238084,-0.00158019,0.00117101,9.38001e-4,1.6616e-4,9.70022e-4,6.97077e-4,cluster_2,outgroup,NA
PRJEB10586,SAMEA3532858,28339,Taeniopygia_guttata,NA,female,Fowlers Gap,New South Wales,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata,142425453,0,3890462,0.0273158,86959742,24.9555,-0.162769,-0.0278494,0.0800716,0.0199386,0.111073,-0.0305645,-0.0603658,-0.0357515,-0.0818232,-0.0502531,cluster_3,ingroup,NA
PRJEB10586,SAMEA3532869,26781,Taeniopygia_guttata,NA,male,Fowlers Gap,New South Wales,Australia,Australia,GCF_008822105.2,Taeniopygia_guttata,142425453,0,4845598,0.034022,86959302,23.5983,-0.162327,-0.0280874,-0.0300143,0.0170151,0.00649551,-0.0312512,0.0420225,-0.0567747,-0.0396045,0.0433437,cluster_3,ingroup,NA
