BioProject,BioSample,Organism,sex,Population,Collection_date,Submitter_Id,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJNA485198,SAMN09786221,Ctenochromis_horei,male,Ndole Lake,2015-11,MFI7,GCF_000239415.1,Haplochromis_burtoni,40557744,0,916317,0.0225929,18622143,25.2005,-0.184953,0.00985759,-0.00172154,-0.207955,-9.51647e-4,4.9378e-4,-8.9807e-4,0.0142716,0.0331487,0.0649467,cluster_1,outgroup,7
PRJNA485198,SAMN09786101,Haplochromis_burtoni,male,Kalambo River 1,2015-12,LKH2,GCF_000239415.1,Haplochromis_burtoni,40557744,0,920974,0.0227077,29520047,25.6595,0.0376127,0.0425829,-0.0410255,-3.77307e-4,0.0379682,-0.052542,-0.00374646,0.00257509,9.61854e-5,0.00159574,cluster_2,ingroup,6
PRJNA485198,SAMN09786220,Ctenochromis_horei,male,Ndole Lake,2015-11,MFI6,GCF_000239415.1,Haplochromis_burtoni,40557744,0,956647,0.0235873,18619909,23.8472,-0.184808,0.0100439,-0.00206453,-0.203425,-0.00108487,-6.36243e-4,0.00314081,-0.0121438,-0.4882,0.408346,cluster_1,exclude,7
PRJNA485198,SAMN09786094,Haplochromis_burtoni,female,Chitili Creek,2015-12,MNG8,GCF_000239415.1,Haplochromis_burtoni,40557744,0,959579,0.0236596,29517767,20.9375,0.0374473,0.040831,-0.0408811,-5.53542e-4,0.0304313,-0.0286268,-0.117134,-0.00377406,-0.00189476,-6.35177e-4,cluster_2,ingroup,4
PRJNA485198,SAMN09786227,Ctenochromis_horei,female,Ndole Lake,2015-11,MIA9,GCF_000239415.1,Haplochromis_burtoni,40557744,0,964525,0.0237815,18621113,22.8494,-0.184626,0.00971309,-0.00200742,-0.20571,4.65794e-4,-0.00149144,-0.00126612,-0.018444,-0.154847,0.0371049,cluster_1,exclude,7
PRJNA485198,SAMN09786093,Haplochromis_burtoni,female,Chitili Creek,2015-12,MNG7,GCF_000239415.1,Haplochromis_burtoni,40557744,0,968817,0.0238873,29517832,19.9265,0.0375539,0.0400013,-0.0408503,-7.08865e-4,0.0319292,-0.0167796,-0.120424,-4.11939e-4,-0.00223777,1.5921e-5,cluster_2,exclude,4
PRJNA485198,SAMN09786218,Ctenochromis_horei,male,Ndole Lake,2015-11,MFI2,GCF_000239415.1,Haplochromis_burtoni,40557744,0,980853,0.0241841,18617425,21.5199,-0.184884,0.00977972,-0.00196145,-0.204907,0.00230481,0.00118846,-0.0020469,8.87388e-5,-0.0490892,-0.288988,cluster_1,exclude,7
PRJNA485198,SAMN09786091,Haplochromis_burtoni,female,Chitili Creek,2015-12,MNG5,GCF_000239415.1,Haplochromis_burtoni,40557744,0,982533,0.0242255,29517702,20.7288,0.0374834,0.0413447,-0.0422771,-5.54611e-4,0.0304966,-0.0265423,-0.121665,-0.0024178,-0.00253637,-9.26904e-4,cluster_2,exclude,4
PRJNA485198,SAMN09786105,Haplochromis_burtoni,female,Kalambo River 1,2015-12,LKH6,GCF_000239415.1,Haplochromis_burtoni,40557744,0,983529,0.0242501,29517436,21.3527,0.0374645,0.0415052,-0.040372,-3.76931e-4,0.0330372,-0.0495351,-0.0208708,-0.00132388,-3.75832e-5,-5.36678e-4,cluster_2,exclude,6
PRJNA485198,SAMN09786104,Haplochromis_burtoni,male,Kalambo River 1,2015-12,LKH5,GCF_000239415.1,Haplochromis_burtoni,40557744,0,985154,0.0242902,29517236,21.3675,0.0375367,0.0422571,-0.0411582,-5.3714e-4,0.0381774,-0.0434101,-0.0168591,0.00352386,0.00162814,0.00147681,cluster_2,exclude,6
PRJNA485198,SAMN09786219,Ctenochromis_horei,male,Ndole Lake,2015-11,MFI4,GCF_000239415.1,Haplochromis_burtoni,40557744,0,985774,0.0243054,18617873,21.6784,-0.184695,0.00983449,-0.0018431,-0.208485,4.6847e-5,3.63085e-4,7.29446e-4,-0.00926742,0.001448,0.470648,cluster_1,exclude,7
PRJNA485198,SAMN09786103,Haplochromis_burtoni,female,Kalambo River 1,2015-12,LKH4,GCF_000239415.1,Haplochromis_burtoni,40557744,0,993474,0.0244953,29517289,19.7224,0.037491,0.0421573,-0.0411725,-3.48623e-4,0.040104,-0.0602688,-0.0128317,-0.00271883,7.2852100000000007e-05,0.00148899,cluster_2,exclude,6
PRJNA485198,SAMN09786226,Ctenochromis_horei,female,Ndole Lake,2015-11,MIA8,GCF_000239415.1,Haplochromis_burtoni,40557744,0,996949,0.024581,18616335,21.4066,-0.184908,0.00976476,-0.00216961,-0.209968,8.10037e-4,-7.89103e-4,-0.00100946,-0.0236237,-0.0276287,-0.45093,cluster_1,exclude,7
PRJNA485198,SAMN09786229,Ctenochromis_horei,female,Ndole Lake,2015-11,MIB2,GCF_000239415.1,Haplochromis_burtoni,40557744,0,997873,0.0246038,18616997,21.8488,-0.185007,0.009979,-0.0021153500000000002,-0.21069,0.00106867,7.45441e-4,-5.33784e-4,-0.0264482,0.114908,-0.10565,cluster_1,exclude,7
PRJNA485198,SAMN09786084,Haplochromis_burtoni,male,Chitili Lake,2015-12,LKG4,GCF_000239415.1,Haplochromis_burtoni,40557744,0,999247,0.0246376,29516872,18.4258,0.0374368,0.040847,-0.0406344,-4.80706e-4,0.0305576,-0.0302231,-0.124809,-0.00121476,-7.78995e-4,-1.64994e-4,cluster_2,exclude,4
PRJNA485198,SAMN09786083,Haplochromis_burtoni,male,Chitili Lake,2015-12,LKG3,GCF_000239415.1,Haplochromis_burtoni,40557744,0,1001309,0.0246885,29516436,19.1764,0.0373528,0.0401115,-0.0403511,-7.96954e-4,0.0267005,-0.0188577,-0.111879,-0.00199646,-0.00266133,2.36077e-4,cluster_2,exclude,4
PRJNA485198,SAMN09786074,Haplochromis_burtoni,female,Chitili Lake,2015-12,LKF3,GCF_000239415.1,Haplochromis_burtoni,40557744,0,1005325,0.0247875,29516297,18.4459,0.0374074,0.0409841,-0.0416895,-7.34179e-4,0.0347009,-0.0291119,-0.120572,-0.00321819,-0.00195794,7.27601e-4,cluster_2,exclude,4
PRJNA485198,SAMN09786106,Haplochromis_burtoni,male,Kalambo River 1,2015-12,LKH8,GCF_000239415.1,Haplochromis_burtoni,40557744,0,1009913,0.0249006,29515384,17.6524,0.0375393,0.0420593,-0.0407378,-3.41097e-4,0.035612,-0.0433806,-0.0259221,-9.11741e-4,0.00146609,-1.58912e-4,cluster_2,exclude,6
PRJNA485198,SAMN09786095,Haplochromis_burtoni,female,Chitili Creek,2015-12,MNG9,GCF_000239415.1,Haplochromis_burtoni,40557744,0,1011006,0.0249276,29517119,18.7489,0.0374183,0.0401537,-0.0402598,-4.4322e-4,0.0284383,-0.0242044,-0.125689,-0.00452951,-4.60102e-5,5.38673e-4,cluster_2,exclude,4
PRJNA485198,SAMN09786108,Haplochromis_burtoni,male,Kalambo River 1,2015-12,LKI1,GCF_000239415.1,Haplochromis_burtoni,40557744,0,1015042,0.0250271,29516185,17.5238,0.0374972,0.0420931,-0.0408136,-6.71821e-4,0.0357263,-0.0456719,-0.0155198,0.00240931,0.00344407,0.00109536,cluster_2,exclude,6
PRJNA485198,SAMN09786137,Haplochromis_burtoni,female,Lufubu Lake,2015-11,MFC4,GCF_000239415.1,Haplochromis_burtoni,40557744,0,1017489,0.0250874,29516375,19.5298,0.0362233,0.0396144,0.0345509,-7.02404e-4,-0.269002,-0.0682616,0.024891,-0.00555972,-8.72933e-4,6.4495e-4,cluster_2,ingroup,NA
PRJNA485198,SAMN09786109,Haplochromis_burtoni,male,Kalambo River 1,2015-12,LKI2,GCF_000239415.1,Haplochromis_burtoni,40557744,0,1018059,0.0251015,29515743,16.9906,0.0373953,0.0421178,-0.0400197,-6.92189e-4,0.0298122,-0.0436499,-0.0280931,-6.61901e-4,-5.93862e-4,7.25804e-4,cluster_2,exclude,6
PRJNA485198,SAMN09786076,Haplochromis_burtoni,female,Chitili Lake,2015-12,LKF5,GCF_000239415.1,Haplochromis_burtoni,40557744,0,1018601,0.0251148,29516703,19.2327,0.0375199,0.0408748,-0.0413031,-4.94207e-4,0.0329726,-0.0195143,-0.118278,0.00523485,0.00157667,1.6605e-4,cluster_2,exclude,4
PRJNA485198,SAMN09786138,Haplochromis_burtoni,male,Lufubu Lake,2015-11,MFC6,GCF_000239415.1,Haplochromis_burtoni,40557744,0,1020580,0.0251636,29515753,19.1239,0.0361489,0.0393059,0.0363414,-2.56714e-4,-0.252857,-0.0686356,0.026379,-0.00275237,-0.00196929,3.3742e-4,cluster_2,ingroup,NA
PRJNA485198,SAMN09786111,Haplochromis_burtoni,male,Kalambo Lake,2015-08,MJI8,GCF_000239415.1,Haplochromis_burtoni,40557744,0,1021408,0.025184,29514342,19.8173,0.0374154,0.041599,-0.0412633,-5.2072e-4,0.0392698,-0.0462131,-0.0309096,-0.00393526,0.00106532,-8.82818e-5,cluster_2,exclude,6
PRJNA485198,SAMN09786176,Haplochromis_burtoni,male,Lunzua Lake,2015-08,MKE9,GCF_000239415.1,Haplochromis_burtoni,40557744,0,1022588,0.0252131,29513950,18.5293,0.0368986,0.0351175,-0.0374544,-7.91159e-4,-0.0111928,0.0673882,-0.0225505,0.00159526,9.85379e-4,8.63888e-4,cluster_2,ingroup,NA
PRJNA485198,SAMN09786086,Haplochromis_burtoni,male,Chitili Creek,2015-12,MNF3,GCF_000239415.1,Haplochromis_burtoni,40557744,0,1023218,0.0252287,29516104,18.5151,0.0376835,0.04122,-0.0414716,-3.16271e-4,0.0341524,-0.0285891,-0.11709,-9.19381e-4,-0.00122818,8.18243e-4,cluster_2,exclude,4
PRJNA485198,SAMN09786099,Haplochromis_burtoni,female,Kalambo River 1,2015-12,LKG9,GCF_000239415.1,Haplochromis_burtoni,40557744,0,1023221,0.0252287,29516367,18.6243,0.0374382,0.0411526,-0.0400315,-3.1375e-4,0.0322343,-0.0463526,-0.0329907,-0.00440269,6.30283e-4,-8.0313e-4,cluster_2,exclude,6
PRJNA485198,SAMN09786081,Haplochromis_burtoni,male,Chitili Lake,2015-12,LKG1,GCF_000239415.1,Haplochromis_burtoni,40557744,0,1024231,0.0252536,29515985,18.736,0.0375204,0.0410252,-0.0412552,-8.15614e-4,0.0312157,-0.0198707,-0.114363,-0.00621238,-0.00381197,0.00241685,cluster_2,exclude,4
PRJNA485198,SAMN09786082,Haplochromis_burtoni,male,Chitili Lake,2015-12,LKG2,GCF_000239415.1,Haplochromis_burtoni,40557744,0,1025204,0.0252776,29516195,17.6147,0.0374497,0.0407672,-0.0413325,-4.48881e-4,0.0275107,-0.0161675,-0.124533,4.39989e-5,-0.00107178,8.81622e-4,cluster_2,exclude,4
PRJNA485198,SAMN09786077,Haplochromis_burtoni,female,Chitili Lake,2015-12,LKF6,GCF_000239415.1,Haplochromis_burtoni,40557744,0,1028218,0.025352,29515138,17.8832,0.0374468,0.040277,-0.0401458,-4.14808e-4,0.0236329,-0.0163457,-0.11565,-0.00232508,0.00192213,3.73435e-4,cluster_2,exclude,4
PRJNA485198,SAMN09786107,Haplochromis_burtoni,male,Kalambo River 1,2015-12,LKH9,GCF_000239415.1,Haplochromis_burtoni,40557744,0,1028514,0.0253593,29515842,17.3349,0.0374067,0.0416366,-0.041245,-5.84097e-4,0.0338544,-0.0449754,-0.0307338,0.00111254,0.00244581,-5.44943e-4,cluster_2,exclude,6
PRJNA485198,SAMN09786145,Haplochromis_burtoni,female,Lufubu Lake,2015-11,MFE1,GCF_000239415.1,Haplochromis_burtoni,40557744,0,1029387,0.0253808,29516233,19.706,0.0361977,0.0394561,0.0352022,-4.71731e-4,-0.255982,-0.0588656,0.0249548,-0.00547449,0.00425735,4.1984e-5,cluster_2,ingroup,NA
PRJNA485198,SAMN09786098,Haplochromis_burtoni,male,Kalambo River 1,2015-12,LKG8,GCF_000239415.1,Haplochromis_burtoni,40557744,0,1032271,0.0254519,29515579,19.4684,0.0374612,0.0417274,-0.0408356,-3.33477e-4,0.0416963,-0.0534278,0.00527644,3.025e-5,3.04037e-4,0.00216105,cluster_2,ingroup,NA
PRJNA485198,SAMN09786078,Haplochromis_burtoni,female,Chitili Lake,2015-12,LKF7,GCF_000239415.1,Haplochromis_burtoni,40557744,0,1036243,0.0255498,29515833,18.2849,0.0375061,0.0408672,-0.0412228,-5.53398e-4,0.028531,-0.0215298,-0.116255,-0.00193448,-0.00100422,2.47857e-4,cluster_2,exclude,4
PRJNA485198,SAMN09786134,Haplochromis_burtoni,male,Lufubu Lake,2015-11,MFC1,GCF_000239415.1,Haplochromis_burtoni,40557744,0,1038174,0.0255974,29515574,19.7961,0.0361555,0.0395675,0.0349648,-5.27627e-4,-0.264093,-0.0657327,0.0300957,-1.72546e-4,-0.0016442,0.00108486,cluster_2,ingroup,NA
PRJNA485198,SAMN09786090,Haplochromis_burtoni,male,Chitili Creek,2015-12,MNG3,GCF_000239415.1,Haplochromis_burtoni,40557744,0,1039772,0.0256368,29516234,18.2066,0.0375013,0.0408299,-0.041,-4.75494e-4,0.0317669,-0.0307263,-0.129301,-0.00517942,2.54867e-4,8.95558e-4,cluster_2,exclude,4
PRJNA485198,SAMN09786097,Haplochromis_burtoni,female,Chitili Creek,2015-12,MNH3,GCF_000239415.1,Haplochromis_burtoni,40557744,0,1040729,0.0256604,29516326,17.6281,0.0374112,0.0406708,-0.0408273,-4.50886e-4,0.0309324,-0.0246459,-0.130643,-9.90354e-4,-0.00104019,3.12471e-4,cluster_2,exclude,4
PRJNA485198,SAMN09786225,Ctenochromis_horei,male,Ndole Lake,2015-11,MIA7,GCF_000239415.1,Haplochromis_burtoni,40557744,0,1042105,0.0256944,18613345,18.9715,-0.184839,0.0101003,-0.00186889,-0.209145,0.00126158,2.40295e-4,0.00152345,0.00248276,0.660864,0.320402,cluster_1,exclude,7
PRJNA485198,SAMN09786075,Haplochromis_burtoni,female,Chitili Lake,2015-12,LKF4,GCF_000239415.1,Haplochromis_burtoni,40557744,0,1042606,0.0257067,29516151,18.2393,0.0375354,0.0411734,-0.0411075,-4.52271e-4,0.029678,-0.0230649,-0.121378,-0.00465192,-7.54421e-4,3.74937e-4,cluster_2,exclude,4
PRJNA485198,SAMN09786139,Haplochromis_burtoni,male,Lufubu Lake,2015-11,MFC7,GCF_000239415.1,Haplochromis_burtoni,40557744,0,1043570,0.0257305,29516121,19.3134,0.0361183,0.039224,0.0312928,-3.86795e-4,-0.2539,-0.0678596,0.0257573,-3.58978e-4,-6.83171e-4,0.00170032,cluster_2,ingroup,NA
PRJNA485198,SAMN09786144,Haplochromis_burtoni,female,Lufubu Lake,2015-11,MFD9,GCF_000239415.1,Haplochromis_burtoni,40557744,0,1045226,0.0257713,29516112,18.5186,0.0361809,0.0394105,0.0365127,-4.03871e-4,-0.258546,-0.0643736,0.0252656,-0.00109403,-2.98758e-4,1.78232e-4,cluster_2,ingroup,NA
PRJNA485198,SAMN09786181,Haplochromis_burtoni,female,Lunzua Lake,2015-08,MKF8,GCF_000239415.1,Haplochromis_burtoni,40557744,0,1045946,0.0257891,29513554,19.6815,0.0370432,0.0357598,-0.0373894,-3.3679e-4,-0.0147131,0.0812343,-0.0196467,-0.00142988,8.60659e-4,-0.00397054,cluster_2,ingroup,NA
PRJNA485198,SAMN09786080,Haplochromis_burtoni,male,Chitili Lake,2015-12,LKF9,GCF_000239415.1,Haplochromis_burtoni,40557744,0,1047892,0.025837,29516607,19.4762,0.0375074,0.0408387,-0.0408657,-7.32879e-4,0.0281629,-0.0190105,-0.129409,0.00300345,2.47846e-5,-8.54294e-4,cluster_2,exclude,4
PRJNA485198,SAMN09786224,Ctenochromis_horei,male,Ndole Lake,2015-11,MIA5,GCF_000239415.1,Haplochromis_burtoni,40557744,0,1048434,0.0258504,18612937,18.6253,-0.184681,0.00987967,-0.00172034,-0.200555,0.0017331,-5.16264e-4,8.61448e-4,-0.00560125,0.268261,0.0796798,cluster_1,outgroup,NA
PRJNA485198,SAMN09786089,Haplochromis_burtoni,male,Chitili Creek,2015-12,MNG2,GCF_000239415.1,Haplochromis_burtoni,40557744,0,1048543,0.0258531,29515436,17.3462,0.0374114,0.0407461,-0.0408146,-7.17287e-4,0.0253298,-0.016236,-0.112147,-0.00304107,-0.00122716,-5.66912e-6,cluster_2,exclude,4
PRJNA485198,SAMN09786179,Haplochromis_burtoni,female,Lunzua Lake,2015-08,MKF5,GCF_000239415.1,Haplochromis_burtoni,40557744,0,1049126,0.0258675,29514082,18.9044,0.0371049,0.0347846,-0.0390596,-7.43273e-4,-0.00958531,0.102484,-0.00402136,-0.0033734,0.00142235,3.51687e-5,cluster_2,ingroup,NA
PRJNA485198,SAMN09786079,Haplochromis_burtoni,male,Chitili Lake,2015-12,LKF8,GCF_000239415.1,Haplochromis_burtoni,40557744,0,1049530,0.0258774,29516700,17.9983,0.0375249,0.0409899,-0.0413929,-2.97252e-4,0.0316298,-0.0250648,-0.117011,0.00107438,-0.00258818,-8.65903e-4,cluster_2,exclude,4
PRJNA485198,SAMN09786141,Haplochromis_burtoni,female,Lufubu Lake,2015-11,MFD4,GCF_000239415.1,Haplochromis_burtoni,40557744,0,1050782,0.0259083,29515008,18.3237,0.0360517,0.0395789,0.0362353,-1.39981e-4,-0.268557,-0.0620317,0.0333833,-0.00165753,6.89265e-4,-7.87617e-4,cluster_2,ingroup,NA
PRJNA485198,SAMN09786174,Haplochromis_burtoni,female,Lunzua Lake,2015-08,MKE6,GCF_000239415.1,Haplochromis_burtoni,40557744,0,1050922,0.0259117,29513090,18.0373,0.036981,0.0354947,-0.0383943,-5.54275e-4,-0.0087895,0.0758735,-0.00813018,0.00780774,9.1977e-4,-7.04068e-5,cluster_2,ingroup,NA
PRJNA485198,SAMN09786177,Haplochromis_burtoni,female,Lunzua Lake,2015-08,MKF2,GCF_000239415.1,Haplochromis_burtoni,40557744,0,1053798,0.0259827,29512678,20.1107,0.0370281,0.0351272,-0.0375009,-6.38299e-5,-0.0128422,0.0720421,-0.0210089,0.00900561,0.00141305,-0.00225884,cluster_2,ingroup,NA
PRJNA485198,SAMN09786092,Haplochromis_burtoni,female,Chitili Creek,2015-12,MNG6,GCF_000239415.1,Haplochromis_burtoni,40557744,0,1055248,0.0260184,29517266,20.1405,0.0375115,0.0408249,-0.0412539,-4.7892e-4,0.0358736,-0.0188513,-0.128281,-0.00288182,-0.00129592,-0.00113561,cluster_2,exclude,4
PRJNA485198,SAMN09786087,Haplochromis_burtoni,male,Chitili Creek,2015-12,MNF4,GCF_000239415.1,Haplochromis_burtoni,40557744,0,1058598,0.026101,29516104,17.9614,0.0374978,0.0407423,-0.0412588,-7.60083e-4,0.0341118,-0.0229694,-0.112819,9.01138e-4,-0.0025768,0.00141667,cluster_2,exclude,4
