BioProject,BioSample,Organism,sex,Country,Continent,Locality,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJNA319295,SAMN04884559,Phylloscopus_trochilus_trochilus,male,Sweden,Europe,Stensoffa,GCA_016584745.1,Phylloscopus_trochilus_trochilus,89168318,0,2521045,0.0282729,49937561,5.40422,-0.298751,-0.0185013,-0.0710832,-0.811715,-0.426637,0.040776,0.161776,-0.102268,0.035943,0.0540337,cluster_2,ingroup,NA
PRJEB21643,SAMEA104156774,Phylloscopus_collybita_tristis,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus,NA,GCA_016584745.1,NA,89168318,0,3841911,0.0430861,36540754,3.83572,0.0688246,-0.129963,-0.00275066,0.00271128,0.00436098,0.00161849,3.731e-4,0.00116791,-0.00108296,0.00273137,cluster_1,outgroup,NA
PRJEB21643,SAMEA104157462,Phylloscopus_collybita_tristis,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus,NA,GCA_016584745.1,NA,89168318,0,3875277,0.0434602,36466368,4.20455,0.0686984,-0.099245,-0.00128302,0.00243357,0.00182722,0.00145017,8.79012e-4,0.00170245,-0.00213921,6.19756e-4,cluster_6,outgroup,NA
PRJEB21643,SAMEA104156776,Phylloscopus_collybita_tristis,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus,NA,GCA_016584745.1,NA,89168318,0,4113867,0.046136,36531332,3.89668,0.0694777,-0.154933,-0.00308676,0.00288613,0.00285202,0.00298008,0.00052666500000000005,2.41702e-4,-0.00183354,0.00267006,cluster_1,outgroup,NA
PRJEB21643,SAMEA104152950,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus,NA,GCA_016584745.1,NA,89168318,0,4128749,0.0463029,44146911,4.94608,0.0676746,0.0832509,0.00199056,8.02919e-5,-0.00194216,-0.00126823,1.93479e-4,-8.31243e-4,-9.31945e-4,-0.0012505,cluster_5,outgroup,NA
PRJEB21643,SAMEA104157465,Phylloscopus_collybita_tristis,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus,NA,GCA_016584745.1,NA,89168318,0,4310277,0.0483387,36487240,4.00461,0.0675582,-0.10174,-0.00141319,9.28683e-4,0.00353347,0.0010041,0.00103736,0.00190904,-4.92517e-4,0.00162191,cluster_6,outgroup,NA
PRJEB21643,SAMEA104157464,Phylloscopus_collybita_tristis,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus,NA,GCA_016584745.1,NA,89168318,0,4538697,0.0509003,36497420,4.31458,0.0680008,-0.115971,-0.00141471,0.00221669,0.00268688,1.59524e-4,-1.59796e-5,9.63747e-4,-0.0013163,0.0024867,cluster_1,outgroup,NA
PRJEB21643,SAMEA104156767,Phylloscopus_collybita_tristis,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus,NA,GCA_016584745.1,NA,89168318,0,4602287,0.0516135,36495086,4.08143,0.0684108,-0.129606,-0.00218341,0.00182674,0.00383238,0.00280357,-2.41129e-4,9.77864e-4,-9.26669e-4,0.00252081,cluster_1,outgroup,NA
PRJEB21643,SAMEA104156769,Phylloscopus_collybita_tristis,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus,NA,GCA_016584745.1,NA,89168318,0,4796503,0.0537916,36484153,3.91142,0.0685528,-0.133247,-0.00296818,0.0023201,0.00284774,9.62371e-4,2.56145e-4,0.00113725,-0.00102495,0.00199702,cluster_1,outgroup,NA
PRJEB21643,SAMEA104156768,Phylloscopus_collybita_tristis,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus,NA,GCA_016584745.1,NA,89168318,0,4903696,0.0549937,36448461,3.98169,0.0683112,-0.133559,-0.00300404,0.00363666,0.00411958,0.00111356,0.0014367,8.45271e-4,-0.00193144,0.00372449,cluster_1,outgroup,NA
PRJEB21643,SAMEA104157460,Phylloscopus_collybita_tristis,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus,NA,GCA_016584745.1,NA,89168318,0,4919760,0.0551739,36481101,3.61967,0.0668364,-0.100432,-0.00220092,0.00109841,0.00235285,0.00120709,7.85183e-4,1.50352e-4,3.55701e-4,0.00115537,cluster_6,outgroup,NA
PRJEB21643,SAMEA104157466,Phylloscopus_collybita_tristis,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus,NA,GCA_016584745.1,NA,89168318,0,5078187,0.0569506,36441828,3.74953,0.0670963,-0.103737,-0.00177463,0.00140963,0.00270984,0.00106091,-9.10147e-4,5.94214e-4,-7.56035e-4,0.00224659,cluster_6,outgroup,NA
PRJEB21643,SAMEA104156773,Phylloscopus_collybita_tristis,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus,NA,GCA_016584745.1,NA,89168318,0,5119495,0.0574138,36489664,3.74643,0.0680804,-0.125232,-0.00175537,0.00175493,0.00303775,0.00145649,5.58678e-5,0.00142832,-4.98412e-4,0.00302597,cluster_1,outgroup,NA
PRJEB21643,SAMEA104157461,Phylloscopus_collybita_tristis,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus,NA,GCA_016584745.1,NA,89168318,0,5124005,0.0574644,36477675,4.14012,0.0669073,-0.0980657,-0.00141816,0.00224812,0.0030323,0.0011803,-7.27802e-5,0.0013119,-4.49132e-4,0.00206585,cluster_6,outgroup,NA
PRJEB21643,SAMEA104152951,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus,NA,GCA_016584745.1,NA,89168318,0,5226928,0.0586187,44136450,4.18335,0.0709054,0.156036,0.00209391,-3.0209e-4,-0.00349067,-0.00365696,-0.00107568,-3.68787e-5,0.00111275,-0.00150659,cluster_4,outgroup,NA
PRJEB21643,SAMEA104156770,Phylloscopus_collybita_tristis,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus,NA,GCA_016584745.1,NA,89168318,0,5262864,0.0590217,36469727,3.58449,0.0678045,-0.128928,-0.0023324,0.00113663,0.00305587,0.0028803,3.23391e-4,5.98595e-4,-0.00156957,0.00282256,cluster_1,outgroup,NA
PRJEB21643,SAMEA104157450,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus,NA,GCA_016584745.1,NA,89168318,0,5450660,0.0611278,44089391,3.94065,0.069465,-0.0476433,-0.00171334,4.75594e-4,0.00199112,0.00126381,7.19367e-4,4.45889e-6,-9.07044e-4,0.00129002,cluster_3,outgroup,NA
PRJEB21643,SAMEA104157458,Phylloscopus_collybita_tristis,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus,NA,GCA_016584745.1,NA,89168318,0,5702427,0.0639513,36449237,3.31714,0.0662115,-0.0995618,-0.00157944,6.68015e-4,0.00259411,7.16151e-4,0.00111728,6.21878e-4,-0.0015561,0.00275437,cluster_6,outgroup,NA
PRJEB21643,SAMEA104156772,Phylloscopus_collybita_tristis,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus,NA,GCA_016584745.1,NA,89168318,0,5707431,0.0640074,36492351,3.74023,0.0656257,-0.138409,-0.0013208,0.00178593,0.00406432,0.00140746,5.60768e-4,0.00204809,-6.48395e-4,0.0029698,cluster_1,outgroup,NA
PRJEB21643,SAMEA104152947,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus,NA,GCA_016584745.1,NA,89168318,0,5768110,0.0646879,44134856,4.96113,0.0672337,0.0798202,0.00158159,-3.21816e-4,-0.00236963,-0.00115488,-0.0011634,-1.28993e-4,0.00201146,-0.00327258,cluster_5,outgroup,NA
PRJEB21643,SAMEA104157456,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus,NA,GCA_016584745.1,NA,89168318,0,5830689,0.0653897,44107147,3.7554,0.0660245,0.0650435,0.00105014,-8.76557e-4,-0.00200756,-0.00126623,0.00125267,7.19758e-4,0.00199681,-0.00179046,cluster_5,outgroup,NA
PRJEB21643,SAMEA104157455,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus,NA,GCA_016584745.1,NA,89168318,0,5841014,0.0655055,44108452,3.79426,0.0668895,0.0686947,0.00254643,-6.67328e-4,-0.001933,-0.00103001,6.03592e-4,4.76055e-4,5.26107e-4,-0.00152213,cluster_5,outgroup,NA
PRJEB21643,SAMEA104152952,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus,NA,GCA_016584745.1,NA,89168318,0,5853815,0.065649,44117919,3.72988,0.0654761,0.0715653,0.00115233,-0.00166388,-3.38704e-4,2.70663e-4,5.52878e-4,-5.62182e-4,3.12795e-4,-9.55297e-4,cluster_5,outgroup,NA
PRJEB21643,SAMEA104152949,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus,NA,GCA_016584745.1,NA,89168318,0,5854569,0.0656575,44077072,4.15117,0.0667825,0.0805375,0.00139331,1.6944e-5,-0.0029606,-0.00175124,8.89539e-4,5.03214e-4,4.19985e-4,-0.00228725,cluster_5,outgroup,NA
PRJEB21643,SAMEA104156771,Phylloscopus_collybita_tristis,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus,NA,GCA_016584745.1,NA,89168318,0,5898413,0.0661492,36466739,3.68666,0.0675368,-0.126683,-0.0021309,0.00155967,0.00369483,0.00135414,3.53258e-4,0.00203009,-0.00137036,0.0014619,cluster_1,outgroup,NA
PRJEB21643,SAMEA104152948,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus,NA,GCA_016584745.1,NA,89168318,0,5902136,0.066191,44118043,4.8439,0.0670989,0.0759086,0.00133853,7.00206e-4,-0.00257505,-9.18106e-4,0.00103285,-0.00169114,3.7558e-4,-0.00202135,cluster_5,outgroup,NA
PRJEB21643,SAMEA104157451,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus,NA,GCA_016584745.1,NA,89168318,0,5918001,0.0663689,44106483,3.88309,0.0693524,-0.0512327,-2.25455e-4,0.00110813,0.00101374,-3.11666e-4,-1.257e-4,8.69968e-5,-0.00147998,2.75265e-4,cluster_3,outgroup,NA
PRJEB21643,SAMEA104157449,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus,NA,GCA_016584745.1,NA,89168318,0,6232747,0.0698987,44083872,3.7013,0.0692972,-0.028163,-0.00169973,0.00121429,4.11033e-4,4.18477e-4,1.94037e-4,0.00151823,-9.11883e-4,1.3584e-4,cluster_3,outgroup,NA
PRJEB21643,SAMEA104157457,Phylloscopus_collybita_tristis,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus,NA,GCA_016584745.1,NA,89168318,0,6367127,0.0714057,36447661,3.14021,0.0646132,-0.0824784,-0.00189632,0.00169479,0.00207414,0.00192069,-9.39791e-4,0.0015961,-9.49147e-4,0.00199032,cluster_6,outgroup,NA
PRJEB21643,SAMEA104157453,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus,NA,GCA_016584745.1,NA,89168318,0,6451363,0.0723504,44091625,3.61943,0.065951,0.0676705,0.00120256,-3.81671e-6,-0.00229423,-5.07929e-4,-6.36474e-4,7.55595e-4,-3.57082e-4,-0.0023684,cluster_5,outgroup,NA
PRJEB21643,SAMEA104157454,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus,NA,GCA_016584745.1,NA,89168318,0,6460754,0.0724557,44117575,4.12072,0.0680838,-0.0198546,9.6625e-4,4.52201e-4,0.00125715,-1.34501e-5,2.88823e-4,-0.00114891,-4.30421e-4,4.40498e-5,cluster_3,outgroup,NA
PRJEB21643,SAMEA104157452,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus,NA,GCA_016584745.1,NA,89168318,0,6523229,0.0731564,44115699,3.55516,0.0665643,0.0230352,4.29133e-4,3.75288e-4,-0.00179679,-4.20888e-4,5.53312e-4,3.88274e-4,-5.19772e-4,4.17893e-4,cluster_5,outgroup,NA
PRJEB21643,SAMEA104157463,Phylloscopus_collybita_tristis,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus,NA,GCA_016584745.1,NA,89168318,0,6621422,0.074257600000000007,36504580,3.36215,0.0650878,-0.104154,-0.00106891,0.00127364,0.00295834,0.00220733,3.75804e-4,0.00116421,-6.44177e-4,0.00185171,cluster_6,outgroup,NA
PRJEB21643,SAMEA104157459,Phylloscopus_collybita_tristis,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus,NA,GCA_016584745.1,NA,89168318,0,7165481,0.080359,36449000,2.74766,0.0629417,-0.0787813,-0.00116177,7.4239e-4,0.00236087,0.00135766,-3.63859e-4,6.00039e-4,0.00056565300000000005,0.00197809,cluster_6,exclude,NA
PRJEB21643,SAMEA104152954,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus,NA,GCA_016584745.1,NA,89168318,0,7282016,0.081666,44052542,3.20348,0.0654147,0.0671648,9.01237e-4,-4.59971e-4,-0.00173566,0.00121623,6.98967e-4,-0.00134317,0.0018659,-0.00194098,cluster_5,outgroup,NA
PRJEB21643,SAMEA104152058,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus,NA,GCA_016584745.1,NA,89168318,0,7330539,0.0822101,44158354,4.297,0.0649683,0.0715136,6.07184e-4,-0.00101203,-0.00168219,-1.09727e-4,-2.85225e-4,1.9292e-4,9.84456e-4,-9.63548e-4,cluster_5,outgroup,NA
PRJEB21643,SAMEA104152955,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus,NA,GCA_016584745.1,NA,89168318,0,7492493,0.0840264,44100455,4.24847,0.066255,0.0819659,0.00171961,-0.0022921,-0.00188395,-1.61663e-4,-1.26288e-4,-5.49356e-4,7.79701e-4,-0.00207138,cluster_5,outgroup,NA
PRJEB21643,SAMEA104152959,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus,NA,GCA_016584745.1,NA,89168318,0,7561176,0.0847967,44026699,2.73466,0.0733566,0.164384,0.00234575,-4.81994e-4,-0.00341383,-0.00415138,-0.00177762,-4.77232e-5,0.00103714,-0.001583,cluster_4,exclude,NA
PRJEB21643,SAMEA104157448,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus,NA,GCA_016584745.1,NA,89168318,0,7821214,0.0877129,44097245,2.90777,0.0664931,-0.0443408,-0.00115535,0.00123552,0.00109018,-8.91003e-5,9.94575e-4,4.50595e-4,-9.27294e-4,0.001476,cluster_3,exclude,NA
PRJEB21643,SAMEA104152953,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus,NA,GCA_016584745.1,NA,89168318,0,8233629,0.0923381,44075757,2.87288,0.0642991,0.0674014,0.00192848,-2.77348e-4,-0.00131533,-5.54377e-4,0.00125069,-5.38545e-4,2.55825e-5,-0.00199115,cluster_5,exclude,NA
PRJEB21643,SAMEA104157447,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus,NA,GCA_016584745.1,NA,89168318,0,9521478,0.106781,44094233,2.5315,0.0645663,-0.0275545,1.45959e-4,7.16392e-4,3.16199e-4,7.10075e-4,-2.49504e-4,-2.2417e-4,-4.5137e-4,0.00177769,cluster_3,exclude,NA
PRJEB21643,SAMEA104152960,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus,NA,GCA_016584745.1,NA,89168318,0,14819259,0.166194,43965414,1.45258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA
PRJEB21643,SAMEA104156775,Phylloscopus_collybita_tristis,missing,GCA_016584745.1,Phylloscopus_trochilus_trochilus,NA,GCA_016584745.1,NA,89168318,0,20562973,0.230609,36497173,1.0236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA
