BioProject,BioSample,Organism,sex,Submitter_Id,Population,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJNA686418,SAMN17134049,Falco_peregrinus,unknown,Yamal2,Yamal,GCF_000337955.1,Falco_peregrinus,13897242,0,128255,0.00922881,9522857,45.9593,-0.0296406,0.154307,0.0232552,0.0740131,-0.118542,-0.0537729,0.106592,-0.0638678,0.0234942,0.0070588,cluster_3,exclude,2
PRJNA686418,SAMN17126931,Falco_peregrinus,unknown,Kola6,Kola,GCF_000337955.1,Falco_peregrinus,13897242,0,131571,0.00946742,9522860,44.3659,-0.0295049,0.155364,-0.0357107,0.164307,-0.0730685,0.221395,0.125837,-0.0440267,0.0502828,-0.00470787,cluster_3,exclude,2
PRJNA686418,SAMN17132315,Falco_peregrinus,unknown,Kolyma8,Kolyma,GCF_000337955.1,Falco_peregrinus,13897242,0,132667,0.00954628,9522916,45.696,-0.0296041,0.187834,0.0646202,-0.124271,0.130992,-0.0503375,-0.0675207,-0.0681308,-0.0129451,-0.0292161,cluster_3,exclude,2
PRJNA686418,SAMN17132259,Falco_peregrinus,unknown,Kolyma6,Kolyma,GCF_000337955.1,Falco_peregrinus,13897242,0,132793,0.00955535,9522922,42.2574,-0.0297596,0.188865,0.0478749,-0.091134,0.14978,0.110841,0.0411176,0.628135,-0.466375,0.487729,cluster_3,exclude,2
PRJNA686418,SAMN17141464,Falco_peregrinus,unknown,Kolyma9,Kolyma,GCF_000337955.1,Falco_peregrinus,13897242,0,134680,0.00969113,9522731,43.2952,-0.0297589,0.180632,0.0715405,-0.150602,0.279913,0.0285791,-0.0813555,-0.668373,-0.250406,0.383794,cluster_3,exclude,2
PRJNA686418,SAMN17118395,Falco_peregrinus,unknown,Kola2,Kola,GCF_000337955.1,Falco_peregrinus,13897242,0,137707,0.00990894,9522544,39.3344,-0.0295768,0.151638,-0.0644305,0.270183,-0.0287583,0.435733,0.236829,-0.0968618,0.0985475,-0.0204665,cluster_3,exclude,2
PRJNA686418,SAMN17189680,Falco_peregrinus,unknown,Kola-4,Kola,GCF_000337955.1,Falco_peregrinus,13897242,0,138431,0.0099610400000000009,9522640,38.4119,-0.0297199,0.137939,-0.0258835,0.213643,-0.0137777,0.316285,0.108505,0.0231385,0.0621306,-0.0090173,cluster_3,exclude,2
PRJNA686418,SAMN17255110,Falco_peregrinus,unknown,Yamal5,Yamal,GCF_000337955.1,Falco_peregrinus,13897242,0,139427,0.0100327,9522657,39.8547,-0.0295735,0.159593,0.0284011,0.018406,-0.0818466,-0.0481396,0.0194451,0.0217382,0.00413183,0.0036641,cluster_3,exclude,2
PRJNA686418,SAMN17126933,Falco_peregrinus,unknown,Kolyma1,Kolyma,GCF_000337955.1,Falco_peregrinus,13897242,0,142717,0.0102694,9522643,38.7258,-0.0297966,0.192397,0.0587966,-0.136473,0.15287799999999999,-0.0160101,-0.0521879,-0.160168,0.287644,0.175582,cluster_3,exclude,2
PRJNA686418,SAMN17155198,Falco_peregrinus,unknown,Kolguev1,Kolguev,GCF_000337955.1,Falco_peregrinus,13897242,0,151603,0.0109089,9522415,39.1977,-0.0299163,0.156282,0.00450716,0.118521,-0.298339,-0.212515,-0.110454,-0.0397942,-0.0539942,-0.0108662,cluster_3,exclude,2
PRJNA686418,SAMN17155199,Falco_peregrinus,unknown,Kolguev2,Kolguev,GCF_000337955.1,Falco_peregrinus,13897242,0,153826,0.0110688,9522604,41.7656,-0.0299009,0.175769,0.013887,0.110303,-0.294026,-0.155666,-0.135435,-0.0175974,-0.0367334,-0.00965396,cluster_3,exclude,2
PRJNA686418,SAMN17150318,Falco_peregrinus,unknown,Kolguev4,Kolguev,GCF_000337955.1,Falco_peregrinus,13897242,0,159095,0.011448,9522671,43.6433,-0.0300994,0.175814,0.0112796,0.1332,-0.288491,-0.160746,-0.164964,0.0121718,-0.0169684,-0.0314617,cluster_3,exclude,2
PRJNA686418,SAMN17150848,Falco_peregrinus,unknown,Kolguev3,Kolguev,GCF_000337955.1,Falco_peregrinus,13897242,0,162580,0.0116987,9522508,44.6515,-0.0299603,0.176533,0.034027,0.125181,-0.274377,-0.156667,-0.101517,0.00538391,-0.0807429,0.0079557,cluster_3,exclude,2
PRJNA686418,SAMN17118869,Falco_peregrinus,unknown,Kola3,Kola,GCF_000337955.1,Falco_peregrinus,13897242,0,348390,0.025069,9523397,10.5486,-0.0267157,-0.193674,0.0429002,0.148406,0.157021,-0.00783265,-0.173699,0.0412224,-0.0261276,-0.00106809,cluster_5,ingroup,NA
PRJNA686418,SAMN17120983,Falco_peregrinus,unknown,Yamal3,Yamal,GCF_000337955.1,Falco_peregrinus,13897242,0,752018,0.0541128,9523410,5.3974,-0.0274846,-0.179995,0.101648,-0.0241873,-0.00959213,-0.116151,0.128928,2.22038e-5,0.00933441,0.0113774,cluster_4,ingroup,NA
PRJNA686418,SAMN17125938,Falco_peregrinus,unknown,Yamal4,Yamal,GCF_000337955.1,Falco_peregrinus,13897242,0,771564,0.0555192,9523283,5.35112,-0.0275032,-0.169402,0.0882652,-0.0304542,0.0510069,-0.13379,0.116494,0.0230442,0.0139419,-0.00182854,cluster_4,ingroup,NA
PRJNA686418,SAMN17141580,Falco_peregrinus,unknown,Kolyma-3,Kolyma,GCF_000337955.1,Falco_peregrinus,13897242,0,824611,0.0593363,9521298,5.46693,-0.0292711,0.0306737,0.112457,-0.166675,0.21278,-0.142669,0.0894694,0.0473096,0.201758,-0.161047,cluster_1,ingroup,NA
PRJNA686418,SAMN17141518,Falco_peregrinus,unknown,Kolyma-2,Kolyma,GCF_000337955.1,Falco_peregrinus,13897242,0,1135377,0.081698,9520538,4.34603,-0.0296638,0.0126681,0.132581,-0.11414,0.176962,-0.112888,0.1338,0.0269094,0.0234051,-0.183463,cluster_1,ingroup,NA
