BioProject,BioSample,Organism,sex,Submitter_ID,Continent,Country,Locality,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJNA616371,SAMN14488532,Sylvia_atricapilla,male,UCM057,Europe,Belgium,Foret de Mormal,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1307908,0.00994382,65309527,15.4995,0.0246429,-0.00159737,-0.00158194,-7.14608e-4,-2.95977e-4,-3.1846e-4,3.24046e-4,0.0122083,-0.0617432,0.0196309,cluster_5,ingroup,NA
PRJNA616371,SAMN14488561,Sylvia_borin,male,GW01,Europe,Spain,Pradoluengo (BU),GCA_009819655.1,Sylvia_atricapilla,131529770,0,1308520,0.00994847,59042464,20.3517,-0.359288,-0.250238,-0.0109448,-0.1405,-0.0315127,0.528908,-0.706496,8.76868e-4,-0.00184594,0.00162016,cluster_3,outgroup,NA
PRJNA616371,SAMN14488483,Sylvia_atricapilla,male,UCM154,Europe,Spain,Cazalla de la Sierra,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1308521,0.0099484800000000009,65306969,17.9836,0.024865,-0.0016387,-3.98869e-4,-2.09833e-4,0.00103343,2.67841e-4,5.95805e-4,0.0546573,0.120933,-0.00162105,cluster_1,ingroup,NA
PRJNA616371,SAMN14488497,Sylvia_atricapilla,male,UCM139,Europe,Spain,Guadarrama,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1315061,0.0099982,65307042,19.1132,0.0248945,-0.00156509,-6.38054e-4,-1.78921e-4,5.57915e-4,-3.17149e-4,0.00100112,0.0362631,0.0124737,-0.00695358,cluster_1,ingroup,NA
PRJNA616371,SAMN14488521,Sylvia_atricapilla,male,9244,Europe,Germany,Freiburg; Mooswald,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1315864,0.0100043,65307856,19.9706,0.0246635,-0.00159411,-0.00101766,0.0015415,-1.58782e-4,-0.00174403,0.00112084,0.024609,-0.0633651,0.00508854,cluster_5,ingroup,NA
PRJNA616371,SAMN14488511,Sylvia_atricapilla,male,9078,Europe,Germany,Freiburg; Mooswald  (breeding),GCA_009819655.1,Sylvia_atricapilla,131529770,0,1322986,0.0100585,65307773,22.4269,0.0247626,-0.00166615,-5.90973e-4,-3.1832e-5,-2.75199e-4,5.0709e-4,0.00106879,0.0256658,-0.0700212,-0.00172212,cluster_5,ingroup,NA
PRJNA616371,SAMN14488512,Sylvia_atricapilla,male,9239,Europe,Germany,Freiburg; Mooswald  (breeding),GCA_009819655.1,Sylvia_atricapilla,131529770,0,1327968,0.0100963,65307249,19.2839,0.0247192,-0.00159272,-7.69246e-5,6.59699e-4,2.12961e-4,-1.62124e-4,-0.00169754,0.016855,-0.0751446,-0.00227071,cluster_5,ingroup,NA
PRJNA616371,SAMN14488454,Sylvia_atricapilla,male,A270591,Europe,Azores / Terceira,Malha Verde,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1331863,0.0101259,65309433,17.6712,0.0251774,-0.00170369,-6.10818e-4,-1.8254e-4,-0.00136537,1.9351e-4,3.66618e-4,-0.324377,0.0825462,-0.0334728,cluster_1,ingroup,NA
PRJNA616371,SAMN14488480,Sylvia_atricapilla,male,UCM150,Europe,Spain,Cazalla de la Sierra,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1334038,0.0101425,65304762,16.5153,0.0250205,-0.00175036,-0.00137249,3.31151e-4,-6.74911e-5,-0.00157152,6.92034e-4,0.0542292,0.0919351,0.0015819,cluster_1,ingroup,NA
PRJNA616371,SAMN14488535,Sylvia_atricapilla,male,UCM061,Europe,Belgium,Tete Noire (Foret de Mormal),GCA_009819655.1,Sylvia_atricapilla,131529770,0,1341893,0.0102022,65309532,14.5524,0.0247238,-0.00165719,-1.8099e-4,5.76561e-4,-3.50571e-4,-8.33174e-4,0.00102906,0.0224409,-0.0491518,0.039316,cluster_5,ingroup,NA
PRJNA616371,SAMN14488523,Sylvia_atricapilla,male,9123,Europe,Germany,Freiburg; Mooswald,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1348383,0.0102515,65304635,19.8764,0.0247903,-0.00161649,-5.36421e-4,3.50469e-4,0.00109921,-2.06598e-4,1.91806e-4,0.0204573,-0.035239,0.0249373,cluster_5,ingroup,NA
PRJNA616371,SAMN14488501,Sylvia_atricapilla,male,9033,Europe,Germany,Freiburg; Mooswald  (breeding),GCA_009819655.1,Sylvia_atricapilla,131529770,0,1349312,0.0102586,65306941,19.4953,0.0246608,-0.00159721,4.08271e-5,-4.63091e-6,2.11919e-4,-4.58393e-4,-6.74115e-4,0.0247841,-0.0504318,0.0203273,cluster_5,ingroup,NA
PRJNA616371,SAMN14488490,Sylvia_atricapilla,male,UCM095,Europe,Spain,Alava,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1354226,0.010296,65309694,18.5645,0.0246731,-0.00159308,-0.00104905,-2.5096e-5,-7.99046e-4,-2.81958e-4,-0.00173638,0.0297241,-0.0104844,-0.0064276,cluster_5,ingroup,NA
PRJNA616371,SAMN14488541,Sylvia_atricapilla,male,9380,Europe,Poland,Bialowieza,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1361271,0.0103495,65307732,19.2446,0.0248155,-0.00165018,-0.00137554,3.44399e-4,8.0561e-4,1.05609e-4,0.00151097,0.0165464,-0.0655601,-0.00222578,cluster_5,ingroup,NA
PRJNA616371,SAMN14488485,Sylvia_atricapilla,male,UCM160,Europe,Spain,Cazalla de la Sierra,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1374280,0.0104484,65305613,16.7486,0.0250103,-0.00164897,-6.78135e-4,4.87373e-4,-7.7458e-4,0.00110183,-7.03611e-4,0.058149,0.107827,0.00324308,cluster_1,ingroup,NA
PRJNA616371,SAMN14488542,Sylvia_atricapilla,male,9350,Europe,Poland,Bialowieza,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1394435,0.0106017,65305560,20.4633,0.0247576,-0.00163764,-5.60799e-4,-6.22274e-4,-2.20927e-4,-2.19639e-4,0.00156347,0.0150092,-0.0721254,0.00748718,cluster_5,ingroup,NA
PRJNA616371,SAMN14488463,Sylvia_atricapilla,male,CAVE13,Africa,Cape Verde,Fogo,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1403420,0.01067,65306823,17.9888,0.024898,-0.00157823,-1.30334e-4,3.98007e-4,-8.49113e-4,-0.00133998,-0.00159431,-0.23485,0.0394843,0.021143,cluster_1,ingroup,NA
PRJNA616371,SAMN14488470,Sylvia_atricapilla,male,UCM075,Europe,Spain,Gibraltar,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1415609,0.0107627,65304925,17.0934,0.0247762,-0.00158875,-3.31018e-4,0.00135055,-2.42787e-4,6.34017e-4,-8.45413e-4,0.0781455,0.209315,0.0420365,cluster_5,ingroup,NA
PRJNA616371,SAMN14488496,Sylvia_atricapilla,male,UCM137,Europe,Spain,Guadarrama,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1416885,0.0107724,65304349,16.5572,0.0247049,-0.00170277,-0.00112813,-1.01606e-4,0.0011366,-6.40345e-5,-8.14913e-4,0.0317015,0.0117679,-0.037573,cluster_5,ingroup,NA
PRJNA616371,SAMN14488536,Sylvia_atricapilla,male,UCM063,Europe,Belgium,Angre,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1420942,0.0108032,65305524,16.2196,0.0246553,-0.00164984,-3.53368e-4,4.97202e-5,-8.33799e-5,0.00138401,4.79485e-4,0.0131979,-0.0689853,0.0257343,cluster_5,ingroup,NA
PRJNA616371,SAMN14488478,Sylvia_atricapilla,male,UCM148,Europe,Spain,Cazalla de la Sierra,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1431483,0.0108833,65311838,16.0035,0.0247781,-0.00161126,-5.92723e-4,-6.87748e-4,-1.71184e-4,0.00115513,4.66594e-5,0.0587276,0.124507,0.00971814,cluster_5,ingroup,NA
PRJNA616371,SAMN14488488,Sylvia_atricapilla,male,1219,Africa,Morocco,Asni,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1435261,0.0109121,65307606,16.3425,0.0249179,-0.00153593,-7.42349e-4,-4.13941e-4,0.00104504,0.00185327,-8.38239e-5,0.0566203,0.14909,0.00272295,cluster_1,ingroup,NA
PRJNA616371,SAMN14488533,Sylvia_atricapilla,male,UCM059,Europe,Belgium,Foret de Mormal,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1441655,0.0109607,65307054,15.4426,0.0247231,-0.00154369,-3.83317e-4,-0.00108825,4.5376e-4,-1.83374e-4,-2.40074e-4,0.016053,-0.0725564,0.00592342,cluster_5,ingroup,NA
PRJNA616371,SAMN14488477,Sylvia_atricapilla,male,UCM145,Europe,Spain,Cazalla de la Sierra,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1458632,0.0110897,65310826,16.7149,0.0249209,-0.00171077,-4.58506e-4,3.54522e-5,0.0023072,-7.54365e-5,-5.49383e-6,0.0589226,0.121231,0.0122909,cluster_1,ingroup,NA
PRJNA616371,SAMN14488499,Sylvia_atricapilla,male,9034,Europe,Germany,Freiburg; Mooswald  (breeding),GCA_009819655.1,Sylvia_atricapilla,131529770,0,1458948,0.0110922,65304974,17.728,0.0246451,-0.00171692,-0.00101363,5.86787e-4,0.00186723,6.51315e-4,0.00113286,0.023025,-0.0639902,-0.0104087,cluster_5,ingroup,NA
PRJNA616371,SAMN14488473,Sylvia_atricapilla,male,UCM081,Europe,Spain,Gibraltar,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1462971,0.0111227,65301850,14.5139,0.0250963,-0.001644,-0.00107417,4.80886e-4,-0.00182691,7.18726e-4,-0.001749,0.077875,0.188566,0.0314415,cluster_1,ingroup,NA
PRJNA616371,SAMN14488471,Sylvia_atricapilla,male,UCM076,Europe,Spain,Gibraltar,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1467618,0.0111581,65303651,16.6776,0.024946,-0.00167786,-0.00183301,-5.88899e-4,-6.25779e-4,-8.00496e-4,5.27218e-4,0.0668384,0.156769,0.0272408,cluster_1,ingroup,NA
PRJNA616371,SAMN14488554,Sylvia_atricapilla,male,UCM049,Europe,Sweden,"Lund, Krankesjon",GCA_009819655.1,Sylvia_atricapilla,131529770,0,1472782,0.0111973,65303093,15.2607,0.0245845,-0.00180335,-6.27297e-4,-5.86663e-4,-7.64199e-5,-0.00103851,1.38934e-4,0.0273583,-0.066503,0.00149919,cluster_5,ingroup,NA
PRJNA616371,SAMN14488513,Sylvia_atricapilla,male,9042,Europe,Germany,Freiburg; Mooswald  (breeding),GCA_009819655.1,Sylvia_atricapilla,131529770,0,1476074,0.0112224,65304677,16.5076,0.0248303,-0.001653,-8.12162e-4,1.48079e-4,2.28512e-4,1.14465e-4,4.86753e-4,0.0208969,-0.065618,-0.00296185,cluster_1,ingroup,NA
PRJNA616371,SAMN14488489,Sylvia_atricapilla,male,UCM094,Europe,Spain,Alava,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1488435,0.0113163,65302603,18.5806,0.0247662,-0.00171475,-0.00142146,0.00121633,6.116e-4,-1.30221e-4,0.00128575,0.0298771,-0.0304342,0.00264635,cluster_5,ingroup,NA
PRJNA616371,SAMN14488538,Sylvia_atricapilla,male,8201,Europe,Austria,Kefermarkt,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1488741,0.0113187,65301142,16.8357,0.0246314,-0.00164306,1.02114e-4,-0.00303096,-3.71682e-4,-0.00122156,-9.24634e-4,0.0226771,-0.0617086,0.011459,cluster_5,ingroup,NA
PRJNA616371,SAMN14488519,Sylvia_atricapilla,male,9073,Europe,Germany,Freiburg; Mooswald,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1489044,0.011321,65301559,17.4575,0.02466,-0.00162481,-2.708e-4,4.59626e-4,0.00136964,0.00193176,2.24221e-4,0.0181417,-0.0691216,0.00848678,cluster_5,ingroup,NA
PRJNA616371,SAMN14488506,Sylvia_atricapilla,male,EN08,Europe,United Kingdom,Brean (wintering),GCA_009819655.1,Sylvia_atricapilla,131529770,0,1509893,0.0114795,65292809,18.0151,0.0246064,-0.00150131,-0.00146842,-2.219e-5,-1.41718e-4,-4.67272e-4,0.00118623,0.0226348,-0.0654069,0.0160441,cluster_5,ingroup,NA
PRJNA616371,SAMN14488502,Sylvia_atricapilla,male,9030,Europe,Germany,Freiburg; Mooswald  (breeding),GCA_009819655.1,Sylvia_atricapilla,131529770,0,1511912,0.0114948,65303501,15.3223,0.02478,-0.00159549,-4.82516e-4,2.68977e-4,0.0018407,0.00156278,-0.00115235,0.0175038,-0.0526804,0.0121426,cluster_5,ingroup,NA
PRJNA616371,SAMN14488539,Sylvia_atricapilla,male,9357,Europe,Poland,Bialowieza,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1514619,0.0115154,65306910,17.3665,0.0247203,-0.00162407,-0.00100069,-0.00129563,1.60424e-4,5.01632e-4,6.60156e-4,0.0154471,-0.0646021,0.0206452,cluster_5,ingroup,NA
PRJNA616371,SAMN14488525,Sylvia_atricapilla,male,UCM014,Europe,Germany,"Radolfzell, Baden-WÌ_rttemberg",GCA_009819655.1,Sylvia_atricapilla,131529770,0,1518226,0.0115428,65300642,14.3811,0.0247058,-0.00161499,-0.00147968,-2.93537e-4,-2.58349e-4,-5.2112e-4,0.00190003,0.0323251,-0.06212,0.00858838,cluster_5,ingroup,NA
PRJNA616371,SAMN14488487,Sylvia_atricapilla,male,1206,Africa,Morocco,Asni,GCA_009819655.1,Sylvia_atricapilla,131529770,0,1521185,0.0115653,65300938,15.4959,0.0249688,-0.00161414,-0.00140744,-1.7172e-5,8.01809e-4,9.88014e-4,-8.32063e-4,0.0624266,0.142656,0.0198146,cluster_1,ingroup,NA
PRJNA616371,SAMN14488505,Sylvia_atricapilla,male,EN01,Europe,United Kingdom,Plymouth (wintering),GCA_009819655.1,Sylvia_atricapilla,131529770,0,1522577,0.0115759,65296088,18.2463,0.0246081,-0.0015283,-4.71894e-4,-2.91077e-5,0.00138308,0.00123585,0.00146507,0.017727,-0.0663379,0.00364638,cluster_5,ingroup,NA
