BioProject,BioSample,Organism,sex,Submitter_Id,Population,Subpopulation,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJNA628166,SAMN14732662,Dicentrarchus_labrax,male,AT211267,Atlantic,Atlantic,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,483529,0.0174806,18240650,27.0792,-0.0105017,0.215468,0.0445671,-0.0435773,-0.641122,-0.111923,0.164849,0.0922756,-0.0243483,0.0431664,cluster_1,exclude,3
PRJNA628166,SAMN14732675,Dicentrarchus_labrax,female,F184881,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,488000,0.0176423,18241094,22.0519,-0.012403,-0.0413361,-0.0076421,-0.00190897,0.00490303,-0.0123157,0.00144748,0.0195529,-0.035661,-0.0253948,cluster_2,ingroup,NA
PRJNA628166,SAMN14732682,Dicentrarchus_labrax,female,F204648,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,488196,0.0176493,18241044,21.5351,-0.0124396,-0.0398698,-0.00383258,-0.00108909,0.00248372,-0.0165135,0.0114489,0.0260219,-0.048357700000000003,-0.0273705,cluster_2,ingroup,NA
PRJNA628166,SAMN14732710,Dicentrarchus_labrax,male,WM204910,Mediterranean,W_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,489242,0.0176872,18240868,22.7258,-0.0123896,-0.0430244,-0.00971006,-0.00500792,0.00897108,-0.0184656,0.0177033,0.0286388,-0.0409246,-0.0259788,cluster_2,ingroup,NA
PRJNA628166,SAMN14732684,Dicentrarchus_labrax,male,NEM02,Mediterranean,NE_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,493388,0.0178371,18240836,25.0282,-0.01297,-0.105998,-0.0144401,-0.0130158,-0.0196292,0.0364778,-0.0107125,-0.0341887,0.0476729,0.0234097,cluster_2,ingroup,NA
PRJNA628166,SAMN14732704,Dicentrarchus_labrax,male,WM095636,Mediterranean,W_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,497890,0.0179998,18241046,23.1684,-0.0123876,-0.0385093,-0.00610343,-0.00169432,0.00732184,-0.00623391,0.0122153,0.0186711,-0.0357326,-0.0342851,cluster_2,ingroup,NA
PRJNA628166,SAMN14732693,Dicentrarchus_labrax,male,NEM30,Mediterranean,NE_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,501429,0.0181278,18240822,24.2422,-0.0129794,-0.107127,-0.0107687,-0.0153994,-0.0222205,0.0306457,-0.00944919,-0.0357478,0.0451135,0.0181113,cluster_2,ingroup,NA
PRJNA628166,SAMN14732673,Dicentrarchus_labrax,male,F1_831423,F1 hybrid,Unknown,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,505068,0.0182593,18240693,20.912,-0.0116849,0.089883,0.133853,-0.0123704,0.107083,0.459455,0.141888,0.290703,-0.0665868,0.156105,cluster_1,exclude,3
PRJNA628166,SAMN14732655,Dicentrarchus_labrax,male,AT205057,Atlantic,Atlantic,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,506442,0.018309,18240329,23.244,-0.0103942,0.193044,-0.0347825,-0.0343888,-0.0620445,0.079691,-0.0888811,-0.0669547,0.0316053,-0.00577262,cluster_1,ingroup,NA
PRJNA628166,SAMN14732685,Dicentrarchus_labrax,male,NEM04,Mediterranean,NE_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,507418,0.0183443,18240590,23.305,-0.0129072,-0.103513,-0.0146045,-0.0109559,-0.0221047,0.0307954,-0.010158,-0.0343247,0.0409431,0.013538,cluster_2,ingroup,NA
PRJNA628166,SAMN14732698,Dicentrarchus_labrax,male,SEM06,Mediterranean,SE_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,514347,0.0185948,18240665,22.6608,-0.0130355,-0.117495,-0.0153807,-0.026167,-0.0509402,0.0601224,-0.0402492,-0.0659805,0.0764306,0.0364612,cluster_2,ingroup,4
PRJNA628166,SAMN14732656,Dicentrarchus_labrax,male,AT205638,Atlantic,Atlantic,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,515511,0.0186368,18240288,21.6935,-0.010632,0.195891,0.0338364,-0.0464388,0.0382184,0.591696,0.0657831,0.241599,-0.0471045,0.183897,cluster_1,exclude,3
PRJNA628166,SAMN14732692,Dicentrarchus_labrax,male,NEM16,Mediterranean,NE_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,519213,0.0187707,18240857,21.5695,-0.01303,-0.104989,-0.0118166,-0.0133223,-0.0200098,0.0268148,-0.00852472,-0.0358358,0.0424063,0.0233467,cluster_2,ingroup,NA
PRJNA628166,SAMN14732681,Dicentrarchus_labrax,female,F204510,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,533903,0.0193018,18240725,19.2254,-0.0123326,-0.0393382,-0.00463625,-0.00483812,-0.00201522,-0.0162436,0.00925366,0.0254694,-0.0407385,-0.0284558,cluster_2,ingroup,NA
PRJNA628166,SAMN14732654,Dicentrarchus_labrax,male,AT103278,Atlantic,Atlantic,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,534531,0.0193245,18239856,20.8696,-0.0102498,0.200209,-0.0378062,-0.0369497,-0.0768064,0.0835916,-0.0818637,-0.0761684,0.0315784,-0.00325609,cluster_1,ingroup,NA
PRJNA628166,SAMN14732700,Dicentrarchus_labrax,male,SEM10,Mediterranean,SE_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,534657,0.019329,18240786,22.019,-0.0131133,-0.117803,-0.0158451,-0.0273753,-0.0457202,0.0576596,-0.037159,-0.073894,0.0865454,0.0452838,cluster_2,ingroup,1
PRJNA628166,SAMN14732696,Dicentrarchus_labrax,male,SEM03,Mediterranean,SE_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,535853,0.0193723,18240657,23.7334,-0.0130821,-0.116258,-0.0182514,-0.0239522,-0.0507342,0.0585165,-0.0317197,-0.0670739,0.0798572,0.0386521,cluster_2,exclude,4
PRJNA628166,SAMN14732707,Dicentrarchus_labrax,male,WM101174,Mediterranean,W_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,536657,0.0194013,18240111,19.7242,-0.0123871,-0.0401706,-0.00838926,0.00660849,0.00994733,-0.0148629,0.0148287,0.023949,-0.0345545,-0.029551,cluster_2,ingroup,NA
PRJNA628166,SAMN14732686,Dicentrarchus_labrax,male,NEM05,Mediterranean,NE_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,538499,0.0194679,18240389,21.2613,-0.0128598,-0.106872,-0.00825737,-0.0114475,-0.0248681,0.0248741,-0.0095038,-0.026572,0.0371338,0.0219575,cluster_2,ingroup,NA
PRJNA628166,SAMN14732660,Dicentrarchus_labrax,male,AT208678,Atlantic,Atlantic,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,549746,0.0198745,18240007,21.1528,-0.0103819,0.19642,-0.0337485,-0.0398022,-0.0797115,0.0948097,-0.0727171,-0.0830583,0.0263641,-0.00905273,cluster_1,ingroup,NA
PRJNA628166,SAMN14732711,Dicentrarchus_labrax,unknown,WME78204,Mediterranean,W_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,554530,0.0200475,18239923,15.5079,-0.012468,-0.0408961,-0.00507586,0.00305022,0.0116809,-0.0185618,0.00708141,0.0311605,-0.0428922,-0.0306184,cluster_2,ingroup,NA
PRJNA628166,SAMN14732695,Dicentrarchus_labrax,male,SEM02,Mediterranean,SE_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,573757,0.0207426,18240611,17.3304,-0.013033,-0.114957,-0.0217606,-0.0247725,-0.0423705,0.0643084,-0.0265213,-0.066888,0.0935848,0.0514266,cluster_2,exclude,2
PRJNA628166,SAMN14732701,Dicentrarchus_labrax,male,SEM11,Mediterranean,SE_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,575020,0.0207882,18240758,21.2374,-0.0131392,-0.117198,-0.0156107,-0.0268375,-0.0444277,0.0596041,-0.0387194,-0.0748383,0.0893859,0.0452516,cluster_2,exclude,1
PRJNA628166,SAMN14732653,Dicentrarchus_labrax,male,AT095165,Atlantic,Atlantic,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,579234,0.0209406,18239599,18.5134,-0.0104367,0.197023,-0.0426435,-0.0466876,-0.0664248,0.0915472,-0.0836015,-0.0923941,0.0203448,0.0033674,cluster_1,ingroup,NA
PRJNA628166,SAMN14732699,Dicentrarchus_labrax,male,SEM09,Mediterranean,SE_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,601889,0.0217596,18239476,15.610900000000001,-0.0130774,-0.111015,-0.0184936,-0.0210875,-0.0374599,0.0610464,-0.0279925,-0.0658389,0.0790788,0.044885,cluster_2,exclude,2
PRJNA628166,SAMN14732702,Dicentrarchus_labrax,male,SEM15,Mediterranean,SE_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,621060,0.0224527,18240073,15.5718,-0.0130244,-0.111847,-0.0154788,-0.0224204,-0.0372923,0.0436259,-0.035083,-0.0538159,0.0633137,0.0271826,cluster_2,exclude,4
PRJNA628166,SAMN14732703,Dicentrarchus_labrax,male,SEM21,Mediterranean,SE_Mediterranean,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,669893,0.0242181,18239396,13.1928,-0.0129966,-0.107962,-0.014795,-0.0188499,-0.0335287,0.0476742,-0.0248211,-0.050786,0.0688358,0.0272833,cluster_2,ingroup,NA
PRJNA628166,SAMN14732661,Dicentrarchus_labrax,male,AT211069,Atlantic,Atlantic,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,710091,0.0256713,18237243,12.3541,-0.0104683,0.210645,-0.218057,0.0678789,-0.0326411,0.0796174,-0.0409601,0.0055476,0.390483,-0.350355,cluster_1,exclude,3
PRJNA472842,SAMN09245594,Dicentrarchus_labrax,male,T5M_CGATGT_L005,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,973273,0.0351859,18243661,13.9985,-0.0130561,-0.104296,0.0143581,-0.0073793,0.0016147,0.0308762,-0.00514708,-0.00919232,0.0306755,0.028735,cluster_2,exclude,3
PRJNA472842,SAMN09245586,Dicentrarchus_labrax,female,T2F_TGACCA_L002,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,1001980,0.0362238,18243994,18.5767,-0.0125974,-0.0397273,-0.00866561,-3.81636e-5,-0.00203395,-0.0391344,-0.130565,-0.0119915,-0.202006,-0.130484,cluster_2,exclude,4
PRJNA472842,SAMN09245600,Dicentrarchus_labrax,male,T7M_ACTTGA_L007,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,1023867,0.037015,18243752,13.2139,-0.0131034,-0.117696,-0.00694163,-0.0229672,-0.0437168,0.0487168,-0.059475600000000003,-0.0674987,0.0548699,0.021095,cluster_2,exclude,4
PRJNA472842,SAMN09245582,Dicentrarchus_labrax,male,T1M_CGATGT_L001,Atlantic,Unknown,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,1029581,0.0372216,18243695,15.1892,-0.0108406,0.203378,0.331414,0.419914,0.106348,0.00337765,-0.11877,-0.238273,0.137383,-0.0413953,cluster_1,exclude,3
PRJNA472842,SAMN09245599,Dicentrarchus_labrax,unknown,T6C_GCCAAT_L006,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,1052517,0.0380508,18243601,13.3738,-0.0127935,-0.0789902,0.044509,0.0361083,-0.0365542,-0.0585821,0.0152871,0.0265798,-0.035688,0.00105409,cluster_2,ingroup,5
PRJNA472842,SAMN09245596,Dicentrarchus_labrax,unknown,T5C_TTAGGC_L005,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,1053054,0.0380702,18243519,13.5114,-0.0129535,-0.0745154,0.100337,0.0158862,0.0710184,0.0465368,0.0609141,0.0842265,-0.0125449,0.0292901,cluster_2,exclude,3
PRJNA472842,SAMN09245587,Dicentrarchus_labrax,unknown,T2C_GCCAAT_L002,F1 hybrid,Unknown,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,1066126,0.0385428,18243823,15.6611,-0.0117041,0.0764537,-0.0285499,-0.0227912,-0.0423233,0.019468,-0.279067,-0.10448,-0.277972,-0.188732,cluster_1,exclude,4
PRJNA472842,SAMN09245598,Dicentrarchus_labrax,female,T6F_TGACCA_L006,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,1097579,0.0396799,18242960,10.812,-0.0126551,-0.0466644,0.0640511,0.0528773,-0.0418042,-0.0957417,0.0354733,0.0552579,-0.0693204,-0.00735267,cluster_2,exclude,5
PRJNA472842,SAMN09245591,Dicentrarchus_labrax,male,T4M_GGCTAC_L004,Atlantic,Unknown,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,1109225,0.0401009,18243402,12.3226,-0.0105895,0.205423,-0.185949,0.13312,0.0225291,-0.124073,-0.337236,0.349781,0.0243576,0.253913,cluster_1,exclude,3
PRJNA472842,SAMN09245593,Dicentrarchus_labrax,unknown,T4C_CTTGTA_L004,F1 hybrid,Unknown,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,1116145,0.0403511,18243207,10.6582,-0.011844,0.0956137,-0.257195,0.199304,0.101711,-0.192259,-0.181611,0.360742,0.00918074,0.186922,cluster_1,exclude,3
PRJNA472842,SAMN09245601,Dicentrarchus_labrax,female,T7F_CAGATC_L007,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,1116940,0.0403798,18243365,10.6688,-0.0125934,-0.0476785,-0.00517896,-0.00166423,0.00192572,-0.0322077,-0.0846117,0.00217574,-0.135115,-0.0890025,cluster_2,exclude,4
PRJNA472842,SAMN09245592,Dicentrarchus_labrax,female,T4F_TAGCTT_L004,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,1118532,0.0404374,18243752,14.7845,-0.012572,-0.0385902,-0.0537108,0.0546018,0.04112,-0.0703867,0.00924536,0.0690684,-0.0412979,-0.0313107,cluster_2,exclude,3
PRJNA472842,SAMN09245588,Dicentrarchus_labrax,male,T3M_ACTTGA_L003,Atlantic,Unknown,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,1121239,0.0405352,18243670,13.8162,-0.0106372,0.204179,0.0226194,-0.212347,0.0992857,-0.124848,-0.254386,-0.15977,-0.171396,0.236784,cluster_1,exclude,3
PRJNA472842,SAMN09245584,Dicentrarchus_labrax,unknown,T1C_TTAGGC_L001,F1 hybrid,Unknown,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,1157328,0.0418399,18243633,15.5285,-0.0119421,0.101815,0.345539,0.338132,0.0422611,-0.107671,-0.00165039,-0.100599,0.0588155,-0.0204502,cluster_1,exclude,3
PRJNA472842,SAMN09245589,Dicentrarchus_labrax,female,T3F_CAGATC_L003,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,1245234,0.0450179,18243554,12.225,-0.0117077,0.0770672,0.114207,-0.00220087,0.0203046,-0.0408396,0.0469149,0.0718328,-0.0477645,0.0138003,cluster_1,exclude,3
PRJNA472842,SAMN09245605,Dicentrarchus_labrax,unknown,T8C_CTTGTA_L008,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,1249133,0.0451589,18243809,14.1681,-0.0129184,-0.088052,3.30371e-4,-0.00661778,-0.0106365,0.00100296,-0.0609817,-0.0346563,0.0194491,0.0135444,cluster_2,exclude,1
PRJNA472842,SAMN09245595,Dicentrarchus_labrax,female,T5F_ATCACG_L005,Mediterranean,Unknown,GCA_000689215.1,Dicentrarchus_labrax,27660850,0,1263568,0.0456807,18243078,8.6894,-0.012827,-0.0379923,0.166107,0.0307634,0.119865,0.0243001,0.111118,0.143909,-0.0477592,0.0194361,cluster_2,exclude,3
