BioProject,BioSample,Organism,sex,Submitter_Id,Country,Continent,Locality,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJNA192205,SAMN02743823,Corvus_corone_corone,male,D_Ko_C13,Germany,Europe,Germany: Konstanz,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,131382,0.0014496,12005196,20.0818,-0.0169837,0.00895005,-0.00594124,-0.0397741,-0.00130698,-0.0481719,-1.22848e-5,-0.00493248,-0.00937076,0.0404766,cluster_5,outgroup,NA
PRJNA192205,SAMN02743847,Corvus_corone_corone,male,E_Vi_C58,Spain,Europe,Spain: Villaseca de la Sorriba,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,134819,0.00148752,12005096,18.2147,-0.016737,0.00836671,-0.0113413,-0.0712425,-0.00240341,-0.0886845,-2.27109e-4,-0.0114399,-0.0203744,0.211228,cluster_5,outgroup,NA
PRJNA192205,SAMN02743824,Corvus_corone_corone,male,D_Ko_C15,Germany,Europe,Germany: Konstanz,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,147568,0.00162819,12005079,23.9557,-0.0169454,0.00885205,-0.00638568,-0.0401655,-0.00111889,-0.0481006,6.6363e-5,-0.00472891,-0.00950568,0.0447769,cluster_5,outgroup,NA
PRJNA192205,SAMN02743825,Corvus_corone_corone,male,D_Ko_C19,Germany,Europe,Germany: Konstanz,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,149838,0.00165323,12004961,14.9394,-0.0169892,0.00899549,-0.00631731,-0.0403047,-0.00106663,-0.0492907,8.68397e-5,-0.00511276,-0.0107284,0.0405027,cluster_5,outgroup,NA
PRJEB9057,SAMEA3334629,Corvus_pectoralis,missing,DNA_402,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,160254,0.00176816,11351673,11.5439,-0.0158602,0.00652507,-0.0140264,-0.0844192,-0.00276151,-0.0760714,2.74124e-4,-0.00180477,0.0268495,-0.0998024,cluster_5,outgroup,NA
PRJEB9057,SAMEA3334440,Corvus_brachyrhynchos,missing,DNA_377,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,166031,0.0018319,9424894,11.2695,-0.0141155,0.00231511,-0.0276441,-0.194535,-0.00834687,0.235479,-0.00321933,-0.0286576,-0.00375837,0.00565874,cluster_5,outgroup,NA
PRJNA192205,SAMN02743848,Corvus_brachyrhynchos,male,USA_CA_B01,USA,North America,USA: California,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,166921,0.00184172,9423697,17.5408,-0.014069,0.00263494,-0.0283676,-0.199806,-0.00917988,0.249547,-0.00372387,-0.0354833,-0.00646682,0.00395334,cluster_5,outgroup,NA
PRJEB9057,SAMEA3334437,Corvus_brachyrhynchos,missing,DNA_371,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,166956,0.0018421,9427889,9.31932,-0.0141449,0.00226144,-0.0280945,-0.195478,-0.00811188,0.240893,-0.00384058,-0.0332338,-0.00497115,0.00412445,cluster_5,outgroup,NA
PRJNA192205,SAMN02843225,Coloeus_monedula,male,S_Ri_J08,Sweden,Europe,Sweden: Rimbo,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,174409,0.00192434,19480482,11.2218,0.239152,0.0250645,0.0491746,0.00533753,-0.00399757,0.0119939,0.0148805,0.128407,0.0101249,0.0597815,cluster_6,outgroup,NA
PRJNA192205,SAMN02743818,Corvus_corone_corone,male,D_Ko_C02,Germany,Europe,Germany: Konstanz,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,184535,0.00203606,12004852,11.8319,-0.0169527,0.00887659,-0.00624805,-0.0394255,-0.00105659,-0.0479664,1.84872e-4,-0.00522475,-0.00869344,0.043271,cluster_5,outgroup,NA
PRJNA192205,SAMN02743827,Corvus_corone_corone,male,D_Ra_C01,Germany,Europe,Germany: Radolfzell,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,184865,0.0020397,12004776,10.8528,-0.0169114,0.00881621,-0.00640359,-0.0398028,-0.00136803,-0.0474023,-3.03543e-4,-0.00484614,-0.00672348,0.039477,cluster_5,outgroup,NA
PRJNA192205,SAMN02743830,Corvus_corone_corone,male,D_Ra_C11,Germany,Europe,Germany: Radolfzell,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,194401,0.00214492,12004876,11.8223,-0.0169596,0.00880493,-0.00610649,-0.0402084,-0.00108666,-0.0474364,-1.31825e-4,-0.00506424,-0.00766682,0.0427118,cluster_5,outgroup,NA
PRJNA192205,SAMN02843222,Corvus_frugilegus,male,IRL_Lm_R05,Ireland,Europe,"Ireland: Lough_Money_Farm\,Belfast",GCF_000738735.5,Corvus_cornix_cornix,90633301,0,198823,0.00219371,17015963,10.6729,0.026363,-0.0845358,-0.0140839,-0.0738771,5.36245e-4,0.0195689,0.0471534,0.679608,-0.0141842,-0.00498532,cluster_3,outgroup,NA
PRJEB9057,SAMEA3334624,Corvus_corone_orientalis,missing,DNA_428,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,200165,0.00220851,13844689,15.2322,-0.0168018,0.00844702,-0.00950067,-0.060955,-0.00218446,-0.0722202,-4.72267e-4,-0.00578609,0.0122496,-0.0683933,cluster_5,outgroup,2
PRJNA192205,SAMN02743826,Corvus_corone_corone,female,D_Ko_C20,Germany,Europe,Germany: Konstanz,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,200789,0.0022154,12004615,11.0593,-0.0169522,0.00883289,-0.00580191,-0.0394607,-0.00105414,-0.0458852,-5.96095e-4,-0.00491882,-0.00773633,0.035408,cluster_5,outgroup,NA
PRJNA192205,SAMN02743833,Corvus_corone_corone,male,E_Vi_C01,Spain,Europe,Spain: Villaseca de la Sorriba,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,200866,0.00221625,12004791,15.7449,-0.016731,0.00820225,-0.0112484,-0.0703082,-0.00234444,-0.0871006,-4.64761e-5,-0.0104538,-0.0204746,0.207815,cluster_5,outgroup,NA
PRJEB9057,SAMEA5089891,Corvus_pectoralis,female,CHN_Gu_P01,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,202602,0.0022354,11355862,12.4403,-0.015882,0.00647821,-0.0129743,-0.0796814,-0.0025265,-0.0677997,6.97927e-4,-0.00204752,0.0212175,-0.0872227,cluster_5,outgroup,NA
PRJNA192205,SAMN02843224,Coloeus_monedula,male,S_Ri_J01,Sweden,Europe,Sweden: Rimbo,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,212034,0.00233947,19478163,11.8539,0.239206,0.0249268,0.0546588,0.00417723,-0.00427901,0.012373,0.0152798,0.128644,0.00967431,0.0596762,cluster_6,outgroup,NA
PRJNA192205,SAMN02743837,Corvus_corone_corone,male,E_Vi_C19,Spain,Europe,Spain: Villaseca de la Sorriba,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,213403,0.00235458,12004694,11.145,-0.0166913,0.00811083,-0.0117957,-0.0699439,-0.00228301,-0.0871301,-2.42977e-4,-0.00977106,-0.0194856,0.203277,cluster_5,outgroup,NA
PRJNA192205,SAMN02743836,Corvus_corone_corone,male,E_Vi_C14,Spain,Europe,Spain: Villaseca de la Sorriba,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,225082,0.00248344,12004615,8.79536,-0.016684,0.00811696,-0.011096,-0.0698326,-0.00239513,-0.0863864,1.1218e-4,-0.0106024,-0.0191401,0.20225,cluster_5,outgroup,NA
PRJNA192205,SAMN02743839,Corvus_corone_corone,male,E_Vi_C23,Spain,Europe,Spain: Villaseca de la Sorriba,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,226196,0.00249573,12004670,11.6908,-0.0166923,0.00826258,-0.0111856,-0.0688559,-0.00243064,-0.0843801,5.05081e-5,-0.0099756,-0.0188476,0.191663,cluster_5,outgroup,NA
PRJNA192205,SAMN02743820,Corvus_corone_corone,male,D_Ko_C05,Germany,Europe,Germany: Konstanz,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,233759,0.00257917,12004590,10.1085,-0.0169161,0.00881475,-0.00598302,-0.0391256,-0.00132559,-0.0470228,4.72212e-5,-0.00447361,-0.00788621,0.0389328,cluster_5,outgroup,NA
PRJNA192205,SAMN02743834,Corvus_corone_corone,male,E_Vi_C05,Spain,Europe,Spain: Villaseca de la Sorriba,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,236901,0.00261384,12004654,11.6938,-0.0167516,0.00827066,-0.0110363,-0.0695367,-0.0019953700000000002,-0.0868328,-1.23794e-4,-0.0110183,-0.0197139,0.204408,cluster_5,outgroup,NA
PRJEB9057,SAMEA3334438,Corvus_brachyrhynchos,missing,DNA_374,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,238145,0.00262757,9427302,8.30439,-0.0139661,0.00235854,-0.0273844,-0.188971,-0.0077171,0.225215,-0.00275662,-0.0274066,-0.00415077,0.00604105,cluster_5,outgroup,NA
PRJNA192205,SAMN02743842,Corvus_corone_corone,male,E_Vi_C44,Spain,Europe,Spain: Villaseca de la Sorriba,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,247219,0.00272768,12004312,9.73545,-0.0167549,0.00823495,-0.0110715,-0.0684402,-0.00245645,-0.0848366,-3.81574e-4,-0.0106576,-0.0204128,0.190298,cluster_5,outgroup,NA
PRJNA192205,SAMN02743829,Corvus_corone_corone,male,D_Ra_C06,Germany,Europe,Germany: Radolfzell,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,252213,0.00278279,12004505,7.85799,-0.0170217,0.00895609,-0.00620853,-0.0401767,-0.00103154,-0.0481786,3.63261e-5,-0.00589841,-0.00932675,0.0425996,cluster_5,outgroup,NA
PRJNA192205,SAMN02743838,Corvus_corone_corone,male,E_Vi_C22,Spain,Europe,Spain: Villaseca de la Sorriba,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,256469,0.00282974,12004242,8.29323,-0.0167235,0.00825494,-0.0113006,-0.0697465,-0.0021523,-0.0860375,-1.79554e-4,-0.00967551,-0.0195883,0.200515,cluster_5,outgroup,NA
PRJNA192205,SAMN02743844,Corvus_corone_corone,male,E_Vi_C48,Spain,Europe,Spain: Villaseca de la Sorriba,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,261019,0.00287995,12004498,9.76703,-0.0166936,0.00812053,-0.011165,-0.0693744,-0.00216353,-0.0855128,-2.69983e-4,-0.0118729,-0.0191999,0.198949,cluster_5,outgroup,NA
PRJNA192205,SAMN02843223,Corvus_frugilegus,male,IRL_Lm_R01,Ireland,Europe,"Ireland: Lough_Money_Farm\,Belfast",GCF_000738735.5,Corvus_cornix_cornix,90633301,0,270723,0.00298701,17013667,11.1029,0.0259236,-0.0832081,-0.0143487,-0.073969,1.52737e-4,0.0188104,0.0459794,0.673971,-0.0140995,-0.00576666,cluster_3,outgroup,NA
PRJNA192205,SAMN02743841,Corvus_corone_corone,male,E_Vi_C37,Spain,Europe,Spain: Villaseca de la Sorriba,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,273249,0.00301489,12004311,8.42522,-0.0166693,0.00824758,-0.0110868,-0.0686255,-0.00216964,-0.0845012,-2.92022e-4,-0.0105524,-0.0196175,0.194642,cluster_5,outgroup,NA
PRJNA192205,SAMN02743840,Corvus_corone_corone,male,E_Vi_C32,Spain,Europe,Spain: Villaseca de la Sorriba,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,274349,0.00302702,12004243,9.20763,-0.0166702,0.00819207,-0.0110466,-0.0681688,-0.00232018,-0.0834184,-2.35166e-4,-0.0103353,-0.0191826,0.190158,cluster_5,outgroup,NA
PRJNA192205,SAMN02743835,Corvus_corone_corone,male,E_Vi_C08,Spain,Europe,Spain: Villaseca de la Sorriba,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,284660,0.00314079,12004300,8.29189,-0.0167002,0.00831188,-0.0114381,-0.0703057,-0.00229398,-0.086181,-2.68575e-4,-0.0105076,-0.0202622,0.207632,cluster_5,outgroup,NA
PRJNA192205,SAMN02743822,Corvus_corone_corone,male,D_Ko_C11,Germany,Europe,Germany: Konstanz,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,309715,0.00341723,12004134,9.36119,-0.0170028,0.00896163,-0.00635491,-0.0399793,-9.68807e-4,-0.0488143,3.46466e-4,-0.00519768,-0.00983591,0.0417007,cluster_5,outgroup,NA
PRJNA192205,SAMN02743821,Corvus_corone_corone,male,D_Ko_C08,Germany,Europe,Germany: Konstanz,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,311129,0.00343283,12004498,7.60504,-0.0170189,0.00891215,-0.00637993,-0.040811,-0.00122939,-0.0480302,4.00997e-4,-0.00586539,-0.0094754,0.0410306,cluster_5,outgroup,NA
PRJEB9057,SAMEA3334436,Corvus_brachyrhynchos,missing,DNA_369,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,318826,0.00351776,9418195,9.69425,-0.0141118,0.00267386,-0.0281792,-0.198968,-0.00935314,0.247616,-0.0035699,-0.0353923,-0.00648243,0.00388066,cluster_5,outgroup,NA
PRJEB9057,SAMEA3334621,Corvus_corone_orientalis,missing,DNA_416,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,320002,0.00353073,13844500,10.4636,-0.0168364,0.00841582,-0.0119589,-0.0773775,-0.00276237,-0.0983882,-3.45178e-4,-0.0119641,0.0305878,-0.154766,cluster_5,outgroup,8
PRJNA192205,SAMN02743845,Corvus_corone_corone,male,E_Vi_C51,Spain,Europe,Spain: Villaseca de la Sorriba,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,345577,0.00381291,12004222,8.41463,-0.0167378,0.00813024,-0.0107486,-0.0680138,-0.00235636,-0.0821486,-1.83391e-4,-0.0110106,-0.0171858,0.186063,cluster_5,outgroup,NA
PRJEB9057,SAMEA5089890,Corvus_corone_orientalis,male,RUS_Ya_O01,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,346595,0.00382415,13843857,9.89842,-0.0167123,0.00830143,-0.0111935,-0.0745756,-0.00272854,-0.0920747,-3.28323e-4,-0.00996385,0.0256841,-0.136337,cluster_5,exclude,8
PRJEB9057,SAMEA3334620,Corvus_corone_orientalis,missing,DNA_415,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,352519,0.00388951,13844199,9.06251,-0.0169151,0.0084657,-0.0089961,-0.0579574,-0.00194521,-0.0694129,-3.43991e-4,-0.00587556,0.013393,-0.0616825,cluster_5,outgroup,17
PRJNA192205,SAMN02743843,Corvus_corone_corone,male,E_Vi_C46,Spain,Europe,Spain: Villaseca de la Sorriba,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,358318,0.00395349,12003812,7.37112,-0.0166683,0.00807546,-0.0112475,-0.0692882,-0.00218305,-0.0850079,4.28796e-4,-0.00947944,-0.0185117,0.195023,cluster_5,outgroup,NA
PRJNA192205,SAMN02439829,Corvus_cornix,male,S_Up_H29,Sweden,Europe,Sweden: Uppsala,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,385913,0.00425796,32929608,27.5848,-0.0191087,0.0133245,0.0110468,0.041703,2.47236e-4,0.0138396,5.11836e-4,0.00158198,-0.0215579,-8.97827e-4,cluster_1,ingroup,NA
PRJNA192205,SAMN02439826,Corvus_cornix,male,S_Up_H09,Sweden,Europe,Sweden: Uppsala,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,407794,0.00449938,32929688,24.0385,-0.0190827,0.0132273,0.0104873,0.0399738,6.7222e-4,0.0132043,3.81923e-4,7.81356e-4,-0.0206175,-0.0033814,cluster_1,ingroup,NA
PRJNA192205,SAMN02439825,Corvus_cornix,male,S_Up_H03,Sweden,Europe,Sweden: Uppsala,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,435493,0.004805,32929610,21.9886,-0.0191201,0.0132805,0.0107441,0.0396364,2.79881e-4,0.0134646,5.3023e-4,6.79104e-4,-0.0175397,-0.00505209,cluster_1,ingroup,NA
PRJEB9057,SAMEA3334603,Corvus_corone_orientalis,missing,DNA_367,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,484525,0.00534599,13843574,6.93111,-0.0168401,0.00839984,-0.0120227,-0.0782607,-0.00275781,-0.0996523,-4.22667e-4,-0.0124357,0.0304301,-0.15897,cluster_5,exclude,8
PRJNA192205,SAMN02743831,Corvus_corone_corone,male,D_Ra_C14,Germany,Europe,Germany: Radolfzell,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,490808,0.00541532,12003558,6.76401,-0.0169989,0.00887436,-0.00641044,-0.0402877,-0.00135369,-0.0474057,-1.40429e-4,-0.00483461,-0.00595091,0.0386831,cluster_5,outgroup,NA
PRJEB9057,SAMEA3334661,Corvus_corone_orientalis,missing,DNA_420,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,492747,0.00543671,13843175,6.45792,-0.017146,0.00910649,-0.00612727,-0.0427834,-0.00142264,-0.0557495,-2.11205e-5,-0.0051297,-1.78195e-4,-0.023608,cluster_5,outgroup,1
PRJEB9057,SAMEA5089885,Corvus_cornix,female,IRL_Lm_H08,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,495831,0.00547074,32929092,16.9697,-0.0190964,0.01342,0.0114884,0.0423215,3.57241e-4,0.0151712,-9.61772e-4,-5.31419e-4,-0.0268709,0.00727205,cluster_1,ingroup,NA
PRJEB9057,SAMEA3334602,Corvus_corone_orientalis,missing,DNA_366,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,501473,0.00553299,13843203,6.59782,-0.0169313,0.00847793,-0.00893344,-0.0584441,-0.00203976,-0.0702494,-2.58977e-4,-0.00612001,0.0137053,-0.0623668,cluster_5,exclude,17
PRJEB9057,SAMEA3334605,Corvus_corone_orientalis,missing,DNA_370,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,510522,0.00563283,13843310,6.92912,-0.0161455,0.00687925,-0.0117144,-0.0736647,-0.00239163,-0.0670664,-6.02319e-5,-0.00355525,0.0177223,-0.0753473,cluster_5,outgroup,NA
PRJEB9057,SAMEA3334656,Corvus_corone_orientalis,missing,DNA_404,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,531592,0.00586531,13842944,6.22774,-0.017095,0.00896799,-0.00642194,-0.0424757,-0.00130387,-0.0548424,-2.3598e-5,-0.00485438,-8.43906e-4,-0.0223567,cluster_5,exclude,1
PRJEB9057,SAMEA3334645,Corvus_corone_orientalis,missing,DNA_349,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,536410,0.00591846,13843688,7.07766,-0.0171554,0.00911563,-0.00610846,-0.0421096,-9.8416e-4,-0.0552197,1.32053e-5,-0.00505024,-4.94495e-5,-0.0241581,cluster_5,exclude,1
PRJEB9057,SAMEA5089886,Corvus_cornix,female,IRL_Lm_H10,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,551377,0.0060836,32928909,20.4095,-0.0191667,0.0135483,0.0117983,0.043138,7.06346e-4,0.0160012,-2.92732e-4,4.33503e-4,-0.0266891,0.010092,cluster_1,ingroup,26
PRJEB9057,SAMEA5089887,Corvus_cornix,male,IRL_Lm_H12,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,557108,0.00614684,32929264,15.1988,-0.0190842,0.0133338,0.0106916,0.0399168,4.78294e-4,0.0117925,2.52272e-4,6.24274e-4,-0.0223281,0.0128479,cluster_1,ingroup,NA
PRJNA192205,SAMN02439832,Corvus_cornix,male,S_Up_H47,Sweden,Europe,Sweden: Uppsala,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,565349,0.00623776,32928938,17.4484,-0.019056,0.0132285,0.0107188,0.040137,3.58116e-4,0.0132344,3.65428e-4,0.00111054,-0.0175253,-8.7153e-4,cluster_1,ingroup,NA
PRJEB9057,SAMEA5089884,Corvus_cornix,male,IRL_Lm_H07,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,602620,0.00664899,32929047,14.2198,-0.0190815,0.0132323,0.0104831,0.0397072,5.6861e-4,0.0133158,5.30901e-4,7.80074e-4,-0.0262857,0.0128657,cluster_1,exclude,26
PRJNA192205,SAMN02439828,Corvus_cornix,male,S_Up_H24,Sweden,Europe,Sweden: Uppsala,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,608434,0.00671314,32929457,18.2598,-0.019053,0.0132605,0.0102953,0.0388343,2.84163e-4,0.0125792,4.93438e-4,3.0318e-4,-0.0168115,-0.00208592,cluster_1,ingroup,NA
PRJEB9057,SAMEA3334662,Corvus_corone_orientalis,missing,DNA_422,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,610483,0.00673575,13843491,5.91691,-0.017005,0.00878978,-0.00764068,-0.0491735,-0.00130192,-0.0569818,-9.66223e-6,-0.00457505,0.00351306,-0.0326488,cluster_5,outgroup,NA
PRJEB9057,SAMEA3334604,Corvus_corone_orientalis,missing,DNA_368,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,619942,0.00684011,13842555,6.255,-0.01613,0.00703141,-0.0118232,-0.0755938,-0.00231786,-0.0687942,-8.45095e-4,-0.00382913,0.0200994,-0.0838042,cluster_5,outgroup,NA
PRJNA192205,SAMN02439813,Corvus_cornix,male,PL_Wa_H17,Poland,Europe,Poland: Warsaw,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,640173,0.00706333,32929141,13.4109,-0.0191109,0.0133888,0.0107665,0.0408756,5.72995e-4,0.0145981,8.0069e-4,0.00159506,-0.014880000000000001,-0.00195698,cluster_1,ingroup,NA
PRJEB9057,SAMEA3334616,Corvus_corone_orientalis,missing,DNA_406,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,642498,0.00708898,13841216,5.74167,-0.0168889,0.00841789,-0.0114318,-0.0772402,-0.00284834,-0.0986769,-0.00125729,-0.0123755,0.0299397,-0.156387,cluster_5,exclude,8
PRJEB9057,SAMEA3334614,Corvus_corone_orientalis,missing,DNA_396,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,683076,0.0075367,13843151,5.40153,-0.0169889,0.00870686,-0.00835666,-0.0544071,-0.00178676,-0.063158,9.39603e-5,-0.00414186,0.00802206,-0.0512384,cluster_5,outgroup,NA
PRJEB9057,SAMEA3334615,Corvus_corone_orientalis,missing,DNA_400,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,684973,0.00755763,13842634,5.41875,-0.0169296,0.00850235,-0.00878684,-0.0565812,-0.00160548,-0.068209,-5.01606e-4,-0.00670684,0.00462769,-0.0574569,cluster_5,outgroup,25
PRJEB9057,SAMEA5089889,Corvus_cornix,male,IRL_Lm_H16,NA,NA,NA,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,689352,0.00760595,32928852,13.1948,-0.0191038,0.0132757,0.0104137,0.0389916,5.26611e-4,0.0117446,4.4311e-4,-5.36033e-4,-0.0217206,0.0126991,cluster_1,ingroup,NA
PRJNA192205,SAMN02439815,Corvus_cornix,male,PL_Wa_H23,Poland,Europe,Poland: Warsaw,GCF_000738735.5,Corvus_cornix_cornix,90633301,0,711283,0.00784792,32929162,13.2363,-0.0191229,0.0133337,0.0112715,0.0431341,6.1867e-4,0.0162429,5.8689e-4,0.00149377,-0.0162962,-8.04281e-4,cluster_1,ingroup,NA
