BioProject,BioSample,Organism,sex,Submitter_Id,Country,Continent,Locality,lat_lon,Population,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJNA354496,SAMN06046591,Symphodus_melops,missing,ST43,Norway,Europe,Norway,58.96 N 5.73 E,Western Norway,GCA_002819105.1,Symphodus_melops,12287893,0,926127,0.0753691,12277175,8.80064,-0.0205597,0.139315,-8.5647e-5,0.00121349,-0.0016184700000000001,7.24554e-4,-0.00366161,-0.00414909,-0.00419433,0.106155,cluster_3,ingroup,NA
PRJNA354496,SAMN06046596,Symphodus_melops,missing,ST48,Norway,Europe,Norway,58.96 N 5.73 E,Western Norway,GCA_002819105.1,Symphodus_melops,12287893,0,955447,0.0777552,12275658,7.58815,-0.0181493,0.146053,-0.00344148,0.00224245,0.00164023,-0.00218396,2.22582e-4,-3.28695e-4,0.654456,-0.131308,cluster_3,ingroup,1
PRJNA354496,SAMN06046589,Symphodus_melops,missing,ST41,Norway,Europe,Norway,58.96 N 5.73 E,Western Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1003149,0.0816372,12276288,7.7756,-0.0199238,0.13122,8.60042e-4,0.00586422,0.00116652,-0.0038209,-0.00413052,-0.00149281,0.0491122,0.0541999,cluster_3,exclude,1
PRJNA354496,SAMN06046557,Symphodus_melops,missing,EG23,Norway,Europe,Norway,58.45 N 5.99 E,Southern Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1014920,0.0825951,12278761,6.73735,-0.0619626,-0.109873,5.98995e-4,-0.0013379,-0.00162155,8.59668e-4,0.00132608,0.00208237,-0.00973619,0.00826056,cluster_1,ingroup,NA
PRJNA354496,SAMN06046583,Symphodus_melops,missing,SM113,Norway,Europe,Norway,63.46 N 7.69 E,Western Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1042100,0.0848071,12277266,7.3263,-0.0145414,0.171486,0.00487516,0.00381513,0.00212202,-0.00184304,-1.25911e-4,-0.00213244,-0.0569055,0.0369888,cluster_3,ingroup,NA
PRJNA354496,SAMN06046603,Symphodus_melops,missing,TV73,Norway,Europe,Norway,58.62 N 8.93 E,Southern Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1050385,0.0854813,12278261,6.13788,-0.0620617,-0.10406,0.00100687,3.22019e-4,-7.63082e-4,-0.00167049,1.43154e-4,0.0012143,0.00215134,-0.00868793,cluster_1,ingroup,NA
PRJNA354496,SAMN06046560,Symphodus_melops,missing,EG26,Norway,Europe,Norway,58.45 N 5.99 E,Southern Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1052406,0.0856458,12278136,5.97349,-0.0615238,-0.0998582,-5.57748e-4,-5.04607e-5,-0.00145054,-5.16126e-4,5.14144e-4,0.00192946,-0.00564375,0.0151137,cluster_1,ingroup,NA
PRJNA354496,SAMN06046559,Symphodus_melops,missing,EG25,Norway,Europe,Norway,58.45 N 5.99 E,Southern Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1052897,0.0856857,12278627,5.93158,-0.0618653,-0.101648,0.00119278,-0.00188249,-0.00106245,0.00175796,0.00306854,-0.00136775,0.0133771,0.00313815,cluster_1,ingroup,NA
PRJNA354496,SAMN06046544,Symphodus_melops,missing,AR65,Norway,Europe,Norway,58.46 N 8.77 E,Southern Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1054955,0.0858532,12278798,6.91802,-0.0623458,-0.106839,-4.62843e-4,-0.00182545,-0.0017681,-5.77717e-4,-1.08299e-4,0.00274471,-0.0127964,0.00705796,cluster_1,ingroup,NA
PRJNA354496,SAMN06046556,Symphodus_melops,missing,EG22,Norway,Europe,Norway,58.45 N 5.99 E,Southern Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1058264,0.0861225,12278784,6.27192,-0.0544829,-0.117401,-0.00881654,0.00375952,6.70002e-5,-0.00562534,-0.00402598,1.98382e-4,0.00132694,0.0135463,cluster_1,ingroup,NA
PRJNA354496,SAMN06046562,Symphodus_melops,missing,EG28,Norway,Europe,Norway,58.45 N 5.99 E,Southern Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1064861,0.0866594,12278014,6.31545,-0.0557311,-0.0631179,-0.00105239,7.11503e-4,4.01939e-4,4.26471e-4,0.00122271,0.00176906,-0.0151629,0.00884375,cluster_1,ingroup,NA
PRJNA354496,SAMN06046578,Symphodus_melops,missing,NH67,Norway,Europe,Norway,60.37 N 6.14 E,Western Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1070999,0.0871589,12278055,7.45414,-0.0163446,0.167229,0.00335078,0.00223669,-6.76381e-4,-0.00129811,-0.00106616,-0.00490619,-0.0434485,0.15408,cluster_3,ingroup,NA
PRJNA354496,SAMN06046582,Symphodus_melops,missing,SM112,Norway,Europe,Norway,63.46 N 7.69 E,Western Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1074296,0.0874272,12277247,7.31648,-0.0138588,0.179417,-7.10988e-5,0.00231275,0.0052705,-0.00133457,-1.93559e-4,-0.00290132,-0.156113,-0.239493,cluster_3,ingroup,NA
PRJNA354496,SAMN06046547,Symphodus_melops,missing,AR68,Norway,Europe,Norway,58.46 N 8.77 E,Southern Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1076905,0.0876395,12279215,6.75545,-0.0624451,-0.106848,4.1285e-4,-0.00234072,-6.2362e-4,-0.00200434,-6.15041e-4,0.00221267,-0.0079907,0.0182747,cluster_1,ingroup,NA
PRJNA354496,SAMN06046540,Symphodus_melops,missing,AR61,Norway,Europe,Norway,58.46 N 8.77 E,Southern Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1077709,0.0877049,12278713,6.74868,-0.061967,-0.106252,-2.26838e-4,6.33761e-4,-0.00152123,0.00145889,3.30902e-5,6.85901e-4,-0.0178716,0.0133168,cluster_1,ingroup,NA
PRJNA354496,SAMN06046581,Symphodus_melops,missing,SM111,Norway,Europe,Norway,63.46 N 7.69 E,Western Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1078253,0.0877492,12276681,7.78372,-0.0130472,0.174329,-0.00334444,0.0024735,0.00499012,-8.90341e-4,-0.00679898,-0.00284041,-0.166469,-0.387874,cluster_3,ingroup,NA
PRJNA354496,SAMN06046558,Symphodus_melops,missing,EG24,Norway,Europe,Norway,58.45 N 5.99 E,Southern Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1078414,0.0877623,12277984,6.17292,-0.0517027,-0.0350844,-4.79114e-4,-0.0033311,9.90195e-4,0.00138359,-1.30582e-5,9.23932e-4,-0.00522078,0.0178344,cluster_1,ingroup,NA
PRJNA354496,SAMN06046573,Symphodus_melops,missing,NH60,Norway,Europe,Norway,60.37 N 6.14 E,Western Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1078484,0.087768,12277539,6.84466,-0.0156097,0.161348,0.00163071,0.001675,0.00402294,-0.00481102,-0.00287629,-0.00353903,-0.0882579,0.137015,cluster_3,ingroup,NA
PRJNA354496,SAMN06046554,Symphodus_melops,missing,ARD8,United Kingdom,Europe,United Kingdom: Scotland,56.76 N 5.88 W,Scotland,GCA_002819105.1,Symphodus_melops,12287893,0,1078809,0.0877945,12273633,7.88152,0.344536,-0.0332975,0.076673,-0.149024,-0.0512576,0.11825,0.0243456,0.905094,8.81793e-4,0.00634774,cluster_2,ingroup,NA
PRJNA354496,SAMN06046555,Symphodus_melops,missing,EG21,Norway,Europe,Norway,58.45 N 5.99 E,Southern Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1082966,0.0881328,12278036,5.99895,-0.0492455,-0.0198544,9.66154e-4,-0.00197095,0.0014952,0.00146835,0.00170757,0.00152983,-0.0498022,-0.080682,cluster_1,ingroup,NA
PRJNA354496,SAMN06046545,Symphodus_melops,missing,AR66,Norway,Europe,Norway,58.46 N 8.77 E,Southern Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1086201,0.088396,12279140,6.46014,-0.0623827,-0.106151,-0.00128118,7.23808e-4,3.30714e-4,-6.75133e-4,0.00122496,0.00192894,-0.00558515,0.00981842,cluster_1,ingroup,NA
PRJNA354496,SAMN06046576,Symphodus_melops,missing,NH64,Norway,Europe,Norway,60.37 N 6.14 E,Western Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1089938,0.0887002,12277425,6.98418,-0.0154567,0.170367,-0.00494796,-0.00289234,0.00810804,-0.00483251,6.56524e-4,-0.00337851,-0.0833887,0.142579,cluster_3,ingroup,NA
PRJNA354496,SAMN06046546,Symphodus_melops,missing,AR67,Norway,Europe,Norway,58.46 N 8.77 E,Southern Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1092603,0.088917,12278913,6.52752,-0.0613768,-0.110618,-0.00103716,-0.00155129,-0.00315335,0.00298936,0.00222873,5.58847e-4,-0.0141427,-2.99786e-4,cluster_1,ingroup,NA
PRJNA354496,SAMN06046579,Symphodus_melops,missing,NH68,Norway,Europe,Norway,60.37 N 6.14 E,Western Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1102701,0.0897388,12277669,6.65876,-0.0196647,0.156324,-0.00283388,-6.09348e-4,0.00179628,-0.00373624,9.78252e-4,-0.00172916,-0.052955,0.0833148,cluster_3,ingroup,NA
PRJNA354496,SAMN06046602,Symphodus_melops,missing,TV70,Norway,Europe,Norway,58.62 N 8.93 E,Southern Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1104188,0.0898598,12278294,6.19444,-0.0608639,-0.093946,0.00117305,-0.00264807,-0.00119572,0.00321364,0.00204166,2.10505e-4,0.00344085,-5.78586e-4,cluster_1,ingroup,NA
PRJNA354496,SAMN06046575,Symphodus_melops,missing,NH63,Norway,Europe,Norway,60.37 N 6.14 E,Western Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1104690,0.0899007,12277314,6.66791,-0.0143628,0.172482,-1.10716e-4,-0.00126831,0.00515479,-0.00224705,-0.00221176,-0.00752163,-0.0654386,0.147278,cluster_3,ingroup,NA
PRJNA354496,SAMN06046577,Symphodus_melops,missing,NH65,Norway,Europe,Norway,60.37 N 6.14 E,Western Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1110052,0.090337,12277315,6.9645,-0.013904,0.172114,4.31204e-5,0.00515727,0.00735352,-0.00205782,-9.3429e-4,-0.00193807,-0.0809676,0.0823024,cluster_3,ingroup,NA
PRJNA354496,SAMN06046586,Symphodus_melops,missing,SM116,Norway,Europe,Norway,63.46 N 7.69 E,Western Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1112835,0.0905635,12275960,6.94228,-0.0152672,0.166422,-0.00532638,-8.73043e-4,0.00262047,-0.00374442,-0.00227076,-0.0102853,-0.0375202,0.110519,cluster_3,ingroup,NA
PRJNA354496,SAMN06046553,Symphodus_melops,missing,ARD6,United Kingdom,Europe,United Kingdom: Scotland,56.76 N 5.88 W,Scotland,GCA_002819105.1,Symphodus_melops,12287893,0,1117453,0.0909393,12273278,7.33036,0.350185,-0.0498884,-0.0353354,-0.233668,0.198689,0.502158,0.666349,-0.260045,4.36703e-4,-8.60475e-4,cluster_2,ingroup,NA
PRJNA354496,SAMN06046585,Symphodus_melops,missing,SM115,Norway,Europe,Norway,63.46 N 7.69 E,Western Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1119216,0.0910828,12275623,6.62485,-0.0163576,0.166533,-0.00131842,0.00194112,0.00488035,-0.00378204,2.18224e-4,-0.00255925,-0.069844,-0.189842,cluster_3,ingroup,NA
PRJNA354496,SAMN06046601,Symphodus_melops,missing,TV69,Norway,Europe,Norway,58.62 N 8.93 E,Southern Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1120836,0.0912147,12278542,5.85166,-0.0620685,-0.101851,3.65515e-4,2.39629e-5,-0.00120155,-7.36656e-4,-0.00145987,0.00126644,-0.0106252,0.00663553,cluster_1,ingroup,NA
PRJNA354496,SAMN06046599,Symphodus_melops,missing,TV67,Norway,Europe,Norway,58.62 N 8.93 E,Southern Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1123712,0.0914487,12278394,5.81294,-0.0614645,-0.102096,-0.00134144,-7.0553e-4,-8.79245e-4,0.0015789,2.95938e-4,0.00485966,-0.0315506,-0.0772282,cluster_1,ingroup,NA
PRJNA354496,SAMN06046592,Symphodus_melops,missing,ST44,Norway,Europe,Norway,58.96 N 5.73 E,Western Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1137759,0.0925919,12276247,6.3859,-0.0247484,0.142594,-0.00152822,0.00566721,0.00173229,-0.00347235,-0.00277172,-0.00960486,0.0168245,0.0697563,cluster_3,ingroup,NA
PRJNA354496,SAMN06046542,Symphodus_melops,missing,AR63,Norway,Europe,Norway,58.46 N 8.77 E,Southern Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1138657,0.092665,12278706,6.19542,-0.0631848,-0.111589,0.00218435,-3.2786e-4,-4.71675e-4,0.00156235,6.80487e-4,0.00255076,-0.00309331,-5.09414e-4,cluster_1,ingroup,NA
PRJNA354496,SAMN06046587,Symphodus_melops,missing,SM117,Norway,Europe,Norway,63.46 N 7.69 E,Western Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1148077,0.0934316,12276350,6.50137,-0.017271,0.168288,-3.64976e-4,0.00568016,0.00384669,-0.00197681,-0.00225665,-0.00531249,-0.0811336,0.0617672,cluster_3,ingroup,NA
PRJNA354496,SAMN06046541,Symphodus_melops,missing,AR62,Norway,Europe,Norway,58.46 N 8.77 E,Southern Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1153462,0.0938698,12278689,6.33178,-0.0611026,-0.103446,5.06395e-5,-0.00262599,-7.38747e-4,0.00179837,0.00117077,0.00348413,0.00107068,0.0171432,cluster_1,ingroup,NA
PRJNA354496,SAMN06046552,Symphodus_melops,missing,ARD23,United Kingdom,Europe,United Kingdom: Scotland,56.76 N 5.88 W,Scotland,GCA_002819105.1,Symphodus_melops,12287893,0,1154229,0.0939322,12273541,6.43203,0.359528,-0.0654114,-0.36702,-0.128417,-0.067869,-0.775384,0.300552,-0.0570727,-7.50065e-4,-0.00278535,cluster_2,ingroup,NA
PRJNA354496,SAMN06046580,Symphodus_melops,missing,NH69,Norway,Europe,Norway,60.37 N 6.14 E,Western Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1161517,0.0945253,12277323,6.29259,-0.0173271,0.166502,-7.0238e-4,0.00195182,0.00339115,-0.0018029,2.12239e-4,-0.00350049,-0.0761731,0.0623329,cluster_3,ingroup,NA
PRJNA354496,SAMN06046574,Symphodus_melops,missing,NH61,Norway,Europe,Norway,60.37 N 6.14 E,Western Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1167331,0.0949985,12277135,6.41503,-0.0183531,0.163972,-0.00246469,0.00199377,0.0013372,-0.00151842,-0.00297627,-0.00406772,-0.0626484,0.144138,cluster_3,ingroup,NA
PRJNA354496,SAMN06046588,Symphodus_melops,missing,SM118,Norway,Europe,Norway,63.46 N 7.69 E,Western Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1170691,0.0952719,12276562,5.94709,-0.0171569,0.167959,-0.00178047,-0.00106938,0.00317497,-0.00346878,6.73578e-4,-0.00148633,-0.0566098,0.139558,cluster_3,ingroup,NA
PRJNA354496,SAMN06046593,Symphodus_melops,missing,ST45,Norway,Europe,Norway,58.96 N 5.73 E,Western Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1175792,0.095687,12275972,6.3085,-0.0216256,0.148487,-0.00139318,0.00321983,0.00612506,-0.00153922,-0.00195498,-6.17673e-4,0.0158159,0.0478559,cluster_3,ingroup,NA
PRJNA354496,SAMN06046551,Symphodus_melops,missing,ARD21,United Kingdom,Europe,United Kingdom: Scotland,56.76 N 5.88 W,Scotland,GCA_002819105.1,Symphodus_melops,12287893,0,1175818,0.0956891,12273025,6.53414,0.362397,-0.072414,-0.439697,-0.191479,0.437426,0.166506,-0.617256,-0.132386,0.00156207,2.0114e-4,cluster_2,ingroup,NA
PRJNA354496,SAMN06046600,Symphodus_melops,missing,TV68,Norway,Europe,Norway,58.62 N 8.93 E,Southern Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1180023,0.0960314,12277857,5.85089,-0.0605918,-0.0937643,2.86414e-4,-0.00327097,-0.00184526,0.00169845,0.00191651,-2.72553e-4,-0.00396685,0.0118314,cluster_1,ingroup,NA
PRJNA354496,SAMN06046594,Symphodus_melops,missing,ST46,Norway,Europe,Norway,58.96 N 5.73 E,Western Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1182650,0.0962451,12276350,6.25699,-0.0252755,0.13923,-0.00348806,0.00428103,0.00280204,-0.00105921,-3.51249e-4,-0.00396263,0.643916,-0.118553,cluster_3,exclude,1
PRJNA354496,SAMN06046595,Symphodus_melops,missing,ST47,Norway,Europe,Norway,58.96 N 5.73 E,Western Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1182872,0.0962632,12275470,5.91537,-0.0202131,0.154331,-0.00122225,0.00173437,0.00511996,-0.00307407,-9.28462e-4,-1.82335e-4,0.107891,0.0663041,cluster_3,ingroup,NA
PRJNA354496,SAMN06046604,Symphodus_melops,missing,TV74,Norway,Europe,Norway,58.62 N 8.93 E,Southern Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1185239,0.0964558,12278152,5.52168,-0.061109,-0.100047,7.70802e-4,-0.00210279,-0.00244289,0.00268905,0.00137766,0.0016026,0.00298705,0.015868,cluster_1,ingroup,NA
PRJNA354496,SAMN06046549,Symphodus_melops,missing,ARD18,United Kingdom,Europe,United Kingdom: Scotland,56.76 N 5.88 W,Scotland,GCA_002819105.1,Symphodus_melops,12287893,0,1230606,0.100148,12272942,5.99695,0.343929,-0.0434642,0.120355,-0.225411,-0.80266,0.153419,-0.256108,-0.255568,9.59508e-4,-0.00135518,cluster_2,ingroup,NA
PRJNA354496,SAMN06046550,Symphodus_melops,missing,ARD20,United Kingdom,Europe,United Kingdom: Scotland,56.76 N 5.88 W,Scotland,GCA_002819105.1,Symphodus_melops,12287893,0,1235816,0.100572,12272424,6.10452,0.355158,-0.0658162,-0.120341,0.904863,-0.0780384,0.11563,0.0259786,-0.0158383,-0.00215969,0.00229849,cluster_2,ingroup,NA
PRJNA354496,SAMN06046598,Symphodus_melops,missing,TV66,Norway,Europe,Norway,58.62 N 8.93 E,Southern Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1237121,0.100678,12278018,5.10618,-0.0625405,-0.111571,-0.0013761,-8.49481e-4,-0.00238012,0.00349804,0.00211271,0.0034308,-0.00664526,0.0163908,cluster_1,ingroup,NA
PRJNA354496,SAMN06046543,Symphodus_melops,missing,AR64,Norway,Europe,Norway,58.46 N 8.77 E,Southern Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1239369,0.100861,12278250,5.81435,-0.0622773,-0.111095,-2.98722e-4,-0.00273288,-0.00282673,0.00197869,2.43548e-4,0.00286728,0.00246754,0.00599837,cluster_1,ingroup,NA
PRJNA354496,SAMN06046597,Symphodus_melops,missing,TV65,Norway,Europe,Norway,58.62 N 8.93 E,Southern Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1250220,0.101744,12277647,5.19834,-0.0618832,-0.10381,-4.78308e-4,-0.00407304,-0.00271621,0.00238135,0.00185515,0.001612,-0.00568276,0.00448483,cluster_1,ingroup,NA
PRJNA354496,SAMN06046590,Symphodus_melops,missing,ST42,Norway,Europe,Norway,58.96 N 5.73 E,Western Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1252416,0.101923,12274999,5.77888,-0.0214592,0.141384,-0.00315646,0.00128146,0.001973,-0.00307164,-0.0060939,-0.00336076,0.0178008,0.195713,cluster_3,ingroup,NA
PRJNA354496,SAMN06046584,Symphodus_melops,missing,SM114,Norway,Europe,Norway,63.46 N 7.69 E,Western Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1293420,0.10526,12275752,5.28273,-0.0164897,0.173152,-0.00146181,0.00247225,0.00126981,-6.74149e-4,-0.00261678,0.00164112,-0.158939,-0.690879,cluster_3,ingroup,NA
PRJNA354496,SAMN06046561,Symphodus_melops,missing,EG27,Norway,Europe,Norway,58.45 N 5.99 E,Southern Norway,GCA_002819105.1,Symphodus_melops,12287893,0,1305292,0.106226,12277356,4.78904,-0.0633779,-0.107803,-7.47437e-4,-0.00217307,-0.00244839,0.0010487,0.00173265,0.00231329,0.00536561,0.0210149,cluster_1,ingroup,NA
PRJNA354496,SAMN06046548,Symphodus_melops,missing,ARD15,United Kingdom,Europe,United Kingdom: Scotland,56.76 N 5.88 W,Scotland,GCA_002819105.1,Symphodus_melops,12287893,0,1385653,0.112766,12271265,5.20088,0.34844,-0.0677279,0.797242,0.00992522,0.3333,-0.26013,-0.132403,-0.161815,0.0040524,-0.00247707,cluster_2,ingroup,NA
