BioProject,BioSample,Organism,sex,Submitter_Id,Country,Continent,Locality,lat_lon,Ecotype,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJNA530695,SAMN11322342,Gasterosteus_aculeatus,female,LITC_DWN_8,Canada,North America,Little Campbell River,NA,marine,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,2558897,0.0558255,45810582,16.7759,0.00899651,0.00244763,-0.0430366,-0.0793572,-0.126082,0.0504048,0.0129168,0.0211395,-0.09884,-0.0157473,cluster_1,ingroup,NA
PRJNA530695,SAMN11322339,Gasterosteus_aculeatus,female,LITC_DWN_5,Canada,North America,Little Campbell River,NA,marine,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,2569513,0.0560571,45812249,20.6025,0.0107276,0.00150881,-0.0400411,-0.0740155,-0.12111,0.0486699,0.0114664,0.0198099,-0.0957339,-0.0149833,cluster_1,ingroup,NA
PRJNA530695,SAMN11322349,Gasterosteus_aculeatus,female,LITC_UP_18,Canada,North America,Little Campbell River,NA,marine,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,2594167,0.056595,45809777,16.8683,0.103224,-0.0197597,0.145539,0.00957762,0.00138129,0.0401616,0.0058923,0.0010469,-0.0173762,0.00677227,cluster_5,ingroup,NA
PRJEB15181,SAMEA4385626,Gasterosteus_aculeatus,missing,Qar_L35,Greenland,North America,Qarajat,"63°59027.60′′N, 51°26045.60′′W",lake,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,2613195,0.0570101,45825860,23.4667,-0.0604309,-0.00804914,0.0194394,0.00218021,0.00567229,-0.00955499,-0.0215267,0.00513507,0.00166384,-0.0285639,cluster_3,ingroup,NA
PRJNA530695,SAMN11322334,Gasterosteus_aculeatus,female,Tyne8_27,Scotland,Europe,River Tyne,NA,marine,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,2614770,0.0570445,45812532,24.6513,-0.0622752,-0.00845188,0.0182305,0.015536,0.0150121,9.71988e-5,-0.00936309,-8.66437e-4,-0.00103769,0.0359798,cluster_3,ingroup,NA
PRJEB5198,SAMEA2338590,Gasterosteus_aculeatus,male,BS37,USA,North America,Meadow Creek,61.5691 N 149.76 W,river,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,2619177,0.0571406,45828134,13.2506,0.0379225,-0.00578784,-0.0506986,-0.0252952,-0.047289,-0.0219438,-0.0220696,-0.0448601,0.198609,-0.056679,cluster_4,ingroup,NA
PRJEB5198,SAMEA2338554,Gasterosteus_aculeatus,female,BS45,Canada,North America,Misty Stream Inlet,50.602889 N 127.252306 W,river,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,2622717,0.0572179,45829042,18.3479,0.0703061,-0.012038,-0.0257801,0.0265545,-0.00966622,-0.304833,0.0234413,0.0247149,-0.108338,0.0194,cluster_4,ingroup,NA
PRJEB15181,SAMEA4385624,Gasterosteus_aculeatus,missing,Qar_L31,Greenland,North America,Qarajat,"63°59027.60′′N, 51°26045.60′′W",lake,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,2624416,0.0572549,45826707,21.9539,-0.0579803,-0.00740182,0.0141004,0.0105422,0.0109384,0.0016531,-0.00566344,-0.00658717,-0.00366494,0.0271087,cluster_3,ingroup,NA
PRJEB15181,SAMEA4385625,Gasterosteus_aculeatus,missing,Qar_L33,Greenland,North America,Qarajat,"63°59027.60′′N, 51°26045.60′′W",lake,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,2644614,0.0576956,45826012,22.3009,-0.0611423,-0.00821433,0.0199436,0.00383965,0.00674953,-0.00934532,-0.0235019,0.0068256,6.88191e-4,-0.028374,cluster_3,ingroup,NA
PRJEB5198,SAMEA2338571,Gasterosteus_aculeatus,male,BS48,Canada,North America,Misty Lake,50.604556 N 127.26175 W,lake,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,2646266,0.0577316,45827371,15.5054,0.0553046,-0.0103852,-0.0291168,0.0112932,-0.0149417,-0.195056,-0.00674836,0.0125158,-0.0175333,-0.0402924,cluster_4,ingroup,NA
PRJEB5198,SAMEA2338563,Gasterosteus_aculeatus,male,BS43,Canada,North America,Misty Stream Inlet,50.602889 N 127.252306 W,river,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,2658386,0.057996,45828367,18.1443,0.0683188,-0.0130216,-0.0190689,0.018801,-0.0145555,-0.315836,0.00455706,0.0351374,-0.098621,-0.0322735,cluster_4,ingroup,NA
PRJEB15181,SAMEA4385618,Gasterosteus_aculeatus,missing,Kob_L31,Greenland,North America,Kobbefjord Lake,"64° 7051.77′′N, 51°22018.18′′W",lake,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,2664453,0.0581284,45825449,21.1904,-0.0604996,-0.00800704,0.0191839,0.0031149,0.00534412,-0.00832036,-0.0212822,0.00982891,7.15264e-4,-0.0286123,cluster_3,ingroup,NA
PRJEB15181,SAMEA4385622,Gasterosteus_aculeatus,missing,Kob_M27,Greenland,North America,Kobbefjord,"64° 8016.77′′N, 51°23027.52′′W",marine,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,2664918,0.0581385,45825722,21.7707,-0.0593041,-0.0065108,0.0133738,0.00573888,0.00502805,0.00541309,-0.00652302,0.0110624,-0.013234,0.0387105,cluster_3,ingroup,NA
PRJEB5198,SAMEA2338564,Gasterosteus_aculeatus,female,BS53,Canada,North America,Misty Stream Inlet,50.602889 N 127.252306 W,river,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,2678099,0.0584261,45828874,17.4724,0.0703665,-0.0118391,-0.0243176,0.0260653,-0.0101455,-0.30638,0.0229863,0.0241948,-0.107291,0.0189188,cluster_4,ingroup,NA
PRJEB15181,SAMEA4385620,Gasterosteus_aculeatus,missing,Kob_L33,Greenland,North America,Kobbefjord Lake,"64° 7051.77′′N, 51°22018.18′′W",lake,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,2705046,0.059014,45826171,20.4335,-0.0582521,-0.00699586,0.0131098,0.00923924,0.00783779,0.00392936,-0.00128766,-0.00480443,-0.0069107,0.0257813,cluster_3,ingroup,NA
PRJEB5198,SAMEA2338577,Gasterosteus_aculeatus,female,BS39,USA,North America,Meadow Creek,61.5691 N 149.76 W,river,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,2705227,0.0590179,45827562,12.1815,0.0395213,-0.00491312,-0.0580621,-0.0180991,-0.0452351,-0.0105492,-0.00128812,-0.0560437,0.19172,0.0011444,cluster_4,ingroup,NA
PRJNA530695,SAMN11322338,Gasterosteus_aculeatus,female,LITC_DWN_4,Canada,North America,Little Campbell River,NA,marine,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,2713978,0.0592088,45809101,15.5187,0.00900244,0.00216543,-0.0421214,-0.0781334,-0.125823,0.0487683,0.014983,0.0180834,-0.0976728,-0.0164497,cluster_1,ingroup,NA
PRJEB15181,SAMEA4385621,Gasterosteus_aculeatus,missing,Kob_M26,Greenland,North America,Kobbefjord,"64° 8016.77′′N, 51°23027.52′′W",marine,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,2738640,0.0597469,45826287,20.6187,-0.058871,-0.00646884,0.0130402,0.00611656,0.00380181,0.00648398,-0.00517542,0.00850617,-0.0128423,0.0386467,cluster_3,ingroup,NA
PRJNA530695,SAMN11322341,Gasterosteus_aculeatus,female,LITC_DWN_7,Canada,North America,Little Campbell River,NA,marine,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,2756813,0.0601433,45809455,14.9116,0.00901888,0.00224673,-0.0419324,-0.0760943,-0.122774,0.0480903,0.0129339,0.0174299,-0.0921576,-0.0133898,cluster_1,ingroup,NA
PRJNA530695,SAMN11322348,Gasterosteus_aculeatus,female,LITC_UP_16,Canada,North America,Little Campbell River,NA,marine,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,2764019,0.0603005,45809638,13.7012,0.103353,-0.0199264,0.148053,0.0105886,0.00254902,0.0397175,0.00787224,4.83968e-4,-0.017179,0.0113115,cluster_5,ingroup,NA
PRJEB5198,SAMEA2338540,Gasterosteus_aculeatus,female,BS46,Canada,North America,Misty Lake,50.604556 N 127.26175 W,lake,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,2766551,0.0603558,45827115,13.7291,0.0612063,-0.00910372,-0.0405257,0.0170236,-0.0134216,-0.188643,0.0137698,0.00164171,-0.0277235,0.0176877,cluster_4,ingroup,NA
PRJNA530695,SAMN11322343,Gasterosteus_aculeatus,female,LITC_DWN_9,Canada,North America,Little Campbell River,NA,marine,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,2767277,0.0603716,45809233,14.0357,0.00933509,0.00195587,-0.0426615,-0.0776228,-0.125671,0.049564,0.0137225,0.0190746,-0.0947437,-0.0174306,cluster_1,ingroup,NA
PRJEB5198,SAMEA2338573,Gasterosteus_aculeatus,female,BS49,Canada,North America,Misty Stream Inlet,50.602889 N 127.252306 W,river,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,2808844,0.0612785,45826820,14.1891,0.0701353,-0.0118746,-0.0257781,0.0270343,-0.00816009,-0.298031,0.0228467,0.0231433,-0.102441,0.0216315,cluster_4,ingroup,NA
PRJNA387728,SAMN07162953,Gasterosteus_aculeatus,female,Bullock,Canada,North America,Bullock,48.874112 N 123.5090 W,lake,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,2822948,0.0615861,45827112,10.574,0.077637,-0.0119685,0.055912,-0.00826042,-0.015679,-0.00715819,0.0128507,-0.0181854,0.021048,0.0659424,cluster_4,ingroup,NA
PRJNA530695,SAMN11322328,Gasterosteus_aculeatus,male,Tyne2_14,Scotland,Europe,River Tyne,NA,marine,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,2852243,0.0622253,45820753,43.1944,-0.0652014,-0.00882478,0.0226067,0.00406428,0.00870603,-0.0085921,-0.0267837,0.0214329,-0.00277294,-0.0106261,cluster_3,ingroup,NA
PRJEB5198,SAMEA2338562,Gasterosteus_aculeatus,male,BS38b,USA,North America,Long Lake,61.5761 N 149.77375 W,lake,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,2919080,0.0636834,45825381,9.19628,0.0369014,-0.00582333,-0.0529039,-0.0242211,-0.0518914,-0.0206536,-0.0215847,-0.0484757,0.212238,-0.0562666,cluster_4,ingroup,NA
PRJNA530695,SAMN11322344,Gasterosteus_aculeatus,female,LITC_UP_12,Canada,North America,Little Campbell River,NA,marine,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,2929367,0.0639078,45807950,11.8514,0.104684,-0.0199994,0.150603,0.00881581,0.00292908,0.0419446,0.0077434,5.92266e-4,-0.0169491,0.0105223,cluster_5,ingroup,NA
PRJEB5198,SAMEA2338569,Gasterosteus_aculeatus,male,BS3,Germany,Europe,Malenter Au,54.204189 N 10.561639 E,river,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,2932705,0.0639806,45825987,17.4606,-0.065248,-0.00977037,0.0238039,0.0119335,0.0134476,-0.0143729,-0.0555201,0.0435339,0.0308014,0.0283863,cluster_3,ingroup,5
PRJNA530695,SAMN11322331,Gasterosteus_aculeatus,female,Tyne2_18,Scotland,Europe,River Tyne,NA,marine,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,2945532,0.0642605,45808905,15.1838,-0.062872,-0.00769406,0.0170527,0.0103665,0.011485,0.00426986,-0.00853555,0.0116536,-0.00956629,0.0417107,cluster_3,ingroup,NA
PRJEB5198,SAMEA2338598,Gasterosteus_aculeatus,female,BS2,Germany,Europe,Grosser Ploener See,54.156003 N 10.430144 E,lake,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,2955622,0.0644806,45827386,18.4221,-0.0642872,-0.00875338,0.0191077,0.0164297,0.0163552,-0.0028163,-0.0336286,0.0311608,0.0180492,0.069405,cluster_3,ingroup,NA
PRJEB5198,SAMEA2338551,Gasterosteus_aculeatus,male,BS62,Norway,Europe,Skogseidvatn Lake,60.244881 N 5.915387 E,lake,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,2988628,0.0652007,45827465,20.0008,-0.065109,-0.00945089,0.0231212,0.00803373,0.0113557,-0.0157309,-0.0396833,0.013335,0.0338747,-0.158049,cluster_3,ingroup,1
PRJEB15181,SAMEA4385619,Gasterosteus_aculeatus,missing,Kob_L32,Greenland,North America,Kobbefjord Lake,"64° 7051.77′′N, 51°22018.18′′W",lake,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,3004986,0.0655575,45824613,17.3683,-0.0579424,-0.0072452,0.0141978,0.0101826,0.0101664,0.00250789,-0.00399174,-0.00881786,-0.00509774,0.0255594,cluster_3,ingroup,NA
PRJEB5198,SAMEA2338546,Gasterosteus_aculeatus,male,BS4,Germany,Europe,Grosser Ploener See,54.156003 N 10.430144 E,lake,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,3024465,0.0659825,45825764,13.4547,-0.0561648,-0.00950596,0.0186516,0.00958844,0.00919811,-0.0291646,-0.0489665,0.0392573,0.020959,0.0150995,cluster_3,ingroup,NA
PRJEB5198,SAMEA2338553,Gasterosteus_aculeatus,male,BS56,Norway,Europe,Skogseidvatn Lake,60.244881 N 5.915387 E,lake,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,3043006,0.066387,45826139,13.9457,-0.0512533,-0.00890048,0.0121438,0.00540156,0.00416341,-0.0154775,-0.0347727,0.00313378,0.0540735,-0.126886,cluster_3,ingroup,2
PRJEB5198,SAMEA2338581,Gasterosteus_aculeatus,female,BS23,Germany,Europe,Eider,54.263617 N 10.040131 E,river,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,3066795,0.066906,45827910,15.9425,-0.0631227,-0.00904931,0.0188275,0.019227,0.0182339,-0.00465664,-0.0359603,0.026829,0.0253489,0.0752835,cluster_3,ingroup,NA
PRJNA387728,SAMN07162958,Gasterosteus_aculeatus,female,Klein,Canada,North America,Klein,49.730087 N 123.9686 W,lake,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,3074351,0.0670708,45826344,9.65403,0.0485863,-0.0061236,-0.0087914,-0.0203578,-0.0434675,-7.70695e-4,0.0100815,-0.0224905,0.0324055,0.0521971,cluster_4,ingroup,NA
PRJEB5198,SAMEA2338541,Gasterosteus_aculeatus,male,BS18,Germany,Europe,Westensee,54.283867 N 9.948808 E,lake,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,3077376,0.0671368,45824065,11.6243,-0.0561993,-0.00925131,0.0168928,0.00822701,0.00969763,-0.0158924,-0.0428601,0.028871,0.0338684,0.00124809,cluster_3,exclude,2
PRJNA530695,SAMN11322336,Gasterosteus_aculeatus,female,Tyne8_4,Scotland,Europe,River Tyne,NA,marine,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,3102802,0.0676915,45822172,31.5226,-0.063405,-0.00782217,0.0175436,0.0142813,0.0142381,0.00227208,-0.0065723,0.00167645,-0.00471988,0.0351934,cluster_3,ingroup,NA
PRJNA530695,SAMN11322345,Gasterosteus_aculeatus,female,LITC_UP_13,Canada,North America,Little Campbell River,NA,marine,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,3121564,0.0681008,45806325,10.4008,0.101994,-0.0195997,0.143406,0.00922513,0.00114371,0.0389905,0.0077439,0.00176425,-0.0188644,0.00811577,cluster_5,ingroup,NA
PRJNA530695,SAMN11322335,Gasterosteus_aculeatus,male,Tyne8_2,Scotland,Europe,River Tyne,NA,marine,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,3122921,0.0681304,45825472,36.9219,-0.0652329,-0.00926225,0.0236461,0.00776662,0.0113417,-0.0110777,-0.0261566,0.0121522,0.00552424,-0.0212312,cluster_3,ingroup,3
PRJEB5198,SAMEA1523618,Gasterosteus_aculeatus,missing,BS26,Denmark,Europe,Limfjord,"54°12'15.08N,10°33'41.90E",marine,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,3135797,0.0684113,45826683,13.3479,-0.0624136,-0.00722797,0.0161908,0.0102596,0.00960693,0.00359738,-0.0113215,0.0150901,-0.00601573,0.041441,cluster_3,ingroup,NA
PRJEB5198,SAMEA2338555,Gasterosteus_aculeatus,male,BS63b,Norway,Europe,Skogseidvatn River,60.255369 N 5.926577 E,river,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,3141904,0.0685446,45827228,21.3554,-0.0665168,-0.0102783,0.0242541,0.010983,0.0144754,-0.0191567,-0.0622419,0.0124555,0.0654419,-0.301884,cluster_3,exclude,1
PRJEB5198,SAMEA2338568,Gasterosteus_aculeatus,male,BS64b,Norway,Europe,Skogseidvatn Lake,60.244881 N 5.915387 E,lake,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,3148912,0.0686975,45827621,19.0444,-0.0653611,-0.00941461,0.0229845,0.00828302,0.0109857,-0.0154574,-0.0455735,0.0120784,0.0364089,-0.176987,cluster_3,exclude,1
PRJNA387728,SAMN07162950,Gasterosteus_aculeatus,female,Ambrose,Canada,North America,Ambrose,49.733195 N 124.0244 W,lake,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,3165583,0.0690612,45827855,12.5655,0.0511054,-0.00667439,-0.00396599,-0.0200624,-0.0422573,-0.00164447,0.00983857,-0.0215576,0.0319744,0.0528609,cluster_4,ingroup,NA
PRJEB5198,SAMEA2338572,Gasterosteus_aculeatus,female,BS58b,Norway,Europe,Skogseidvatn Lake,60.244881 N 5.915387 E,lake,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,3191183,0.0696197,45827092,16.8534,-0.0633528,-0.00811247,0.0171976,0.0137262,0.0132426,-0.00169625,-0.0191897,3.90795e-4,0.0236948,-0.0852717,cluster_3,ingroup,NA
PRJNA530695,SAMN11322330,Gasterosteus_aculeatus,female,Tyne2_16_2015,Scotland,Europe,River Tyne,NA,marine,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,3200455,0.0698219,45821685,36.9449,-0.0629037,-0.0074993,0.0160642,0.0104559,0.0101284,0.00455628,-0.00767218,0.0112636,-0.0139718,0.0446628,cluster_3,ingroup,NA
PRJNA387728,SAMN07162957,Gasterosteus_aculeatus,female,Kirk,Canada,North America,Kirk,49.739441 N 124.5863 W,lake,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,3201349,0.0698414,45828352,11.8643,0.0610539,-0.00912355,0.013914,-0.0118843,-0.0301404,-0.00984613,0.0129261,-0.0235964,0.0359767,0.0663574,cluster_4,ingroup,NA
PRJEB5198,SAMEA2338580,Gasterosteus_aculeatus,male,BS13,Germany,Europe,Eider,54.263617 N 10.040131 E,river,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,3210558,0.0700423,45824694,14.7278,-0.0652336,-0.00950514,0.0236553,0.0107157,0.0133113,-0.0138291,-0.0532791,0.0422688,0.0279633,0.0229368,cluster_3,ingroup,NA
PRJEB5198,SAMEA2338576,Gasterosteus_aculeatus,female,BS57,Norway,Europe,Skogseidvatn River,60.255369 N 5.926577 E,river,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,3223939,0.0703343,45827020,16.8219,-0.0640305,-0.00912373,0.0184416,0.0162775,0.0167879,-0.00656438,-0.0432039,0.00314076,0.0538526,-0.233445,cluster_3,exclude,1
PRJNA387728,SAMN07162971,Gasterosteus_aculeatus,female,Seyward Estuary,Canada,North America,Seyward Estuary,50.373634 N 125.9295 W,marine,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,3241769,0.0707233,45820385,7.08645,0.011924,0.00164299,-0.0379236,-0.057745,-0.0905218,0.0329182,0.0113002,0.00494787,-0.0381664,0.0150614,cluster_1,ingroup,NA
PRJNA387728,SAMN07162960,Gasterosteus_aculeatus,female,Ormond,Canada,North America,Ormond,50.180256 N 125.5258 W,lake,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,3242464,0.0707384,45828600,11.0106,0.0403818,-0.00469905,-0.0360923,-0.0188221,-0.0406814,-0.0078074,0.009586,-0.0224506,0.0397915,0.0386817,cluster_4,ingroup,NA
PRJNA530695,SAMN11322329,Gasterosteus_aculeatus,male,Tyne2_16_2014,Scotland,Europe,River Tyne,NA,marine,GCA_000180675.1,Gasterosteus_aculeatus,45837384,0,3263904,0.0712062,45807242,12.7744,-0.0648067,-0.00869234,0.0225868,0.00482531,0.00900193,-0.008678,-0.0266542,0.0173146,-0.00128097,-0.0139755,cluster_3,ingroup,NA
