BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	AGE	Ecotype	Biomaterial_provider	Strain	Genotype
PRJNA628166	SRR11638516	WGS	300	20436690600	SAMN14732705	8925785752	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202384	Illumina HiSeq 3000	WM098394	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	WM098394	SRP259113	Model organism or animal	male	sperm	Adult	Mediterranean	IFREMER	Mediterranean	WM098394
PRJNA628166	SRR11638517	WGS	300	20019285300	SAMN14732704	8664828800	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202383	Illumina HiSeq 3000	WM095636	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	WM095636	SRP259113	Model organism or animal	male	sperm	Adult	Mediterranean	IFREMER	Mediterranean	WM095636
PRJNA628166	SRR11638518	WGS	300	12583779600	SAMN14732703	5404759081	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202382	Illumina HiSeq 3000	SEM21	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	SEM21	SRP259113	Model organism or animal	male	sperm	Adult	Mediterranean	IFREMER	Mediterranean	SEM21
PRJNA628166	SRR11638519	WGS	300	42310962600	SAMN14732658	20047400362	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202381	Illumina HiSeq 3000	AT206125	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	AT206125	SRP259113	Model organism or animal	male	sperm	Adult	Atlantic	IFREMER	Atlantic	AT206125
PRJNA628166	SRR11638520	WGS	300	14478516900	SAMN14732702	6230825565	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202380	Illumina HiSeq 3000	SEM15	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	SEM15	SRP259113	Model organism or animal	male	sperm	Adult	Mediterranean	IFREMER	Mediterranean	SEM15
PRJNA628166	SRR11638521	WGS	300	18404602500	SAMN14732701	7858052424	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202379	Illumina HiSeq 3000	SEM11	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	SEM11	SRP259113	Model organism or animal	male	sperm	Adult	Mediterranean	IFREMER	Mediterranean	SEM11
PRJNA628166	SRR11638522	WGS	300	18677307600	SAMN14732700	8397460893	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202378	Illumina HiSeq 3000	SEM10	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	SEM10	SRP259113	Model organism or animal	male	sperm	Adult	Mediterranean	IFREMER	Mediterranean	SEM10
PRJNA628166	SRR11638523	WGS	300	14362102800	SAMN14732699	6254457877	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202377	Illumina HiSeq 3000	SEM09	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	SEM09	SRP259113	Model organism or animal	male	sperm	Adult	Mediterranean	IFREMER	Mediterranean	SEM09
PRJNA628166	SRR11638524	WGS	300	19620313500	SAMN14732698	8536531021	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202376	Illumina HiSeq 3000	SEM06	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	SEM06	SRP259113	Model organism or animal	male	sperm	Adult	Mediterranean	IFREMER	Mediterranean	SEM06
PRJNA628166	SRR11638525	WGS	300	31362467400	SAMN14732697	13565410979	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202375	Illumina HiSeq 3000	SEM05	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	SEM05	SRP259113	Model organism or animal	male	sperm	Adult	Mediterranean	IFREMER	Mediterranean	SEM05
PRJNA628166	SRR11638526	WGS	300	20743130700	SAMN14732696	9013418006	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202374	Illumina HiSeq 3000	SEM03	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	SEM03	SRP259113	Model organism or animal	male	sperm	Adult	Mediterranean	IFREMER	Mediterranean	SEM03
PRJNA628166	SRR11638527	WGS	300	16105230600	SAMN14732695	6938254512	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202373	Illumina HiSeq 3000	SEM02	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	SEM02	SRP259113	Model organism or animal	male	sperm	Adult	Mediterranean	IFREMER	Mediterranean	SEM02
PRJNA628166	SRR11638528	WGS	300	36007004100	SAMN14732694	15808659892	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202372	Illumina HiSeq 3000	Punc	PAIRED	RANDOM	GENOMIC	Dicentrarchus_punctatus	ILLUMINA	2020-04-29T00:00:00Z	Punc	SRP259113	Model organism or animal	unknown	fin	Adult	Atlantic	Gagnaire P-A	Atlantic	Punc
PRJNA628166	SRR11638529	WGS	300	20984385300	SAMN14732693	9248500699	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202371	Illumina HiSeq 3000	NEM30	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	NEM30	SRP259113	Model organism or animal	male	sperm	Adult	Mediterranean	IFREMER	Mediterranean	NEM30
PRJNA628166	SRR11638530	WGS	300	31943616000	SAMN14732657	15637184693	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202370	Illumina HiSeq 3000	AT205899	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	AT205899	SRP259113	Model organism or animal	male	sperm	Adult	Atlantic	IFREMER	Atlantic	AT205899
PRJNA628166	SRR11638531	WGS	300	19687666200	SAMN14732692	8671845687	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202369	Illumina HiSeq 3000	NEM16	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	NEM16	SRP259113	Model organism or animal	male	sperm	Adult	Mediterranean	IFREMER	Mediterranean	NEM16
PRJNA628166	SRR11638532	WGS	300	28649190900	SAMN14732691	12557945106	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202368	Illumina HiSeq 3000	NEM14	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	NEM14	SRP259113	Model organism or animal	male	sperm	Adult	Mediterranean	IFREMER	Mediterranean	NEM14
PRJNA628166	SRR11638533	WGS	300	40882357800	SAMN14732690	17672564260	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202367	Illumina HiSeq 3000	NEM10	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	NEM10	SRP259113	Model organism or animal	male	sperm	Adult	Mediterranean	IFREMER	Mediterranean	NEM10
PRJNA628166	SRR11638534	WGS	300	38418391200	SAMN14732689	16434929443	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202366	Illumina HiSeq 3000	NEM09	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	NEM09	SRP259113	Model organism or animal	male	sperm	Adult	Mediterranean	IFREMER	Mediterranean	NEM09
PRJNA628166	SRR11638535	WGS	300	25181642100	SAMN14732688	11065364216	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202365	Illumina HiSeq 3000	NEM08	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	NEM08	SRP259113	Model organism or animal	male	sperm	Adult	Mediterranean	IFREMER	Mediterranean	NEM08
PRJNA628166	SRR11638536	WGS	300	52266218700	SAMN14732687	22640523068	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202364	Illumina HiSeq 3000	NEM07	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	NEM07	SRP259113	Model organism or animal	male	sperm	Adult	Mediterranean	IFREMER	Mediterranean	NEM07
PRJNA628166	SRR11638537	WGS	300	18253031700	SAMN14732686	8164947404	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202363	Illumina HiSeq 3000	NEM05	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	NEM05	SRP259113	Model organism or animal	male	sperm	Adult	Mediterranean	IFREMER	Mediterranean	NEM05
PRJNA628166	SRR11638538	WGS	300	19832133300	SAMN14732685	8726669743	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202362	Illumina HiSeq 3000	NEM04	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	NEM04	SRP259113	Model organism or animal	male	sperm	Adult	Mediterranean	IFREMER	Mediterranean	NEM04
PRJNA628166	SRR11638539	WGS	300	21789852000	SAMN14732684	9615434715	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202361	Illumina HiSeq 3000	NEM02	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	NEM02	SRP259113	Model organism or animal	male	sperm	Adult	Mediterranean	IFREMER	Mediterranean	NEM02
PRJNA628166	SRR11638540	WGS	300	23625052200	SAMN14732683	10103084244	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202360	Illumina HiSeq 3000	F251175	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	F251175	SRP259113	Model organism or animal	female	fin	Adult	Mediterranean	IFREMER	Mediterranean	F251175
PRJNA628166	SRR11638541	WGS	300	25546323300	SAMN14732656	11848614200	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202359	Illumina HiSeq 3000	AT205638	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	AT205638	SRP259113	Model organism or animal	male	sperm	Adult	Atlantic	IFREMER	Atlantic	AT205638
PRJNA628166	SRR11638543	WGS	300	18118710300	SAMN14732681	7602684430	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202357	Illumina HiSeq 3000	F204510	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	F204510	SRP259113	Model organism or animal	female	fin	Adult	Mediterranean	IFREMER	Mediterranean	F204510
PRJNA628166	SRR11638545	WGS	300	37811106300	SAMN14732679	16772108236	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202355	Illumina HiSeq 3000	F197773	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	F197773	SRP259113	Model organism or animal	female	fin	Adult	Mediterranean	IFREMER	Mediterranean	F197773
PRJNA628166	SRR11638546	WGS	300	35660423400	SAMN14732678	15217100632	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202354	Illumina HiSeq 3000	F188042	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	F188042	SRP259113	Model organism or animal	female	fin	Adult	Mediterranean	IFREMER	Mediterranean	F188042
PRJNA628166	SRR11638547	WGS	300	41064978600	SAMN14732677	17573518180	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202353	Illumina HiSeq 3000	F187464	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	F187464	SRP259113	Model organism or animal	female	fin	Adult	Mediterranean	IFREMER	Mediterranean	F187464
PRJNA628166	SRR11638548	WGS	300	57966608700	SAMN14732676	25056777045	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202352	Illumina HiSeq 3000	F184968	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	F184968	SRP259113	Model organism or animal	female	fin	Adult	Mediterranean	IFREMER	Mediterranean	F184968
PRJNA628166	SRR11638549	WGS	300	22056320100	SAMN14732675	9415477839	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202351	Illumina HiSeq 3000	F184881	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	F184881	SRP259113	Model organism or animal	female	fin	Adult	Mediterranean	IFREMER	Mediterranean	F184881
PRJNA628166	SRR11638550	WGS	300	45637655700	SAMN14732674	20928969895	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202350	Illumina HiSeq 3000	F1_831536	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	F1_831536	SRP259113	Model organism or animal	male	sperm	Adult	F1 hybrid	IFREMER	F1 hybrid	F1831536
PRJNA628166	SRR11638551	WGS	300	20759636700	SAMN14732673	9088371854	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202349	Illumina HiSeq 3000	F1_831423	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	F1_831423	SRP259113	Model organism or animal	male	sperm	Adult	F1 hybrid	IFREMER	F1 hybrid	F1831423
PRJNA628166	SRR11638552	WGS	300	20108440800	SAMN14732655	9009027561	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202348	Illumina HiSeq 3000	AT205057	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	AT205057	SRP259113	Model organism or animal	male	sperm	Adult	Atlantic	IFREMER	Atlantic	AT205057
PRJNA628166	SRR11638553	WGS	300	71237943600	SAMN14732672	33152435232	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202347	Illumina HiSeq 3000	F1_831241	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	F1_831241	SRP259113	Model organism or animal	male	sperm	Adult	F1 hybrid	IFREMER	F1 hybrid	F1831241
PRJNA628166	SRR11638554	WGS	300	26615262600	SAMN14732671	11199609758	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202346	Illumina HiSeq 3000	F1_830964	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	F1_830964	SRP259113	Model organism or animal	male	sperm	Adult	F1 hybrid	IFREMER	F1 hybrid	F1830964
PRJNA628166	SRR11638555	WGS	300	49462834500	SAMN14732670	20607784752	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202345	Illumina HiSeq 3000	F1_830892	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	F1_830892	SRP259113	Model organism or animal	male	sperm	Adult	F1 hybrid	IFREMER	F1 hybrid	F1830892
PRJNA628166	SRR11638556	WGS	300	37454451900	SAMN14732669	15807825250	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202344	Illumina HiSeq 3000	F1_830517	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	F1_830517	SRP259113	Model organism or animal	male	sperm	Adult	F1 hybrid	IFREMER	F1 hybrid	F1830517
PRJNA628166	SRR11638557	WGS	300	29540061600	SAMN14732668	12817619063	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202343	Illumina HiSeq 3000	F1_830043	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	F1_830043	SRP259113	Model organism or animal	male	sperm	Adult	F1 hybrid	IFREMER	F1 hybrid	F1830043
PRJNA628166	SRR11638558	WGS	300	34339308000	SAMN14732667	14607016266	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202342	Illumina HiSeq 3000	F182171	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	F182171	SRP259113	Model organism or animal	female	fin	Adult	Mediterranean	IFREMER	Mediterranean	F182171
PRJNA628166	SRR11638559	WGS	300	30769274700	SAMN14732666	13176838345	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202341	Illumina HiSeq 3000	F173305	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	F173305	SRP259113	Model organism or animal	female	fin	Adult	Mediterranean	IFREMER	Mediterranean	F173305
PRJNA628166	SRR11638561	WGS	300	27820817100	SAMN14732664	13329624675	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202339	Illumina HiSeq 3000	F078192	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	F078192	SRP259113	Model organism or animal	female	fin	Adult	Mediterranean	IFREMER	Mediterranean	F078192
PRJNA628166	SRR11638562	WGS	300	47535611400	SAMN14732663	22246027672	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202338	Illumina HiSeq 3000	F074851	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	F074851	SRP259113	Model organism or animal	female	fin	Adult	Mediterranean	IFREMER	Mediterranean	F074851
PRJNA628166	SRR11638563	WGS	300	18017645100	SAMN14732654	7910092155	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202337	Illumina HiSeq 3000	AT103278	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	AT103278	SRP259113	Model organism or animal	male	sperm	Adult	Atlantic	IFREMER	Atlantic	AT103278
PRJNA628166	SRR11638564	WGS	300	15620514300	SAMN14732653	7152930715	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202336	Illumina HiSeq 3000	AT095165	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	AT095165	SRP259113	Model organism or animal	male	sperm	Adult	Atlantic	IFREMER	Atlantic	AT095165
PRJNA628166	SRR11638542	WGS	300	21665598600	SAMN14732682	9283257945	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202358	Illumina HiSeq 3000	F204648	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	F204648	SRP259113	Model organism or animal	female	fin	Adult	Mediterranean	IFREMER	Mediterranean	F204648
PRJNA628166	SRR11638544	WGS	300	41063472300	SAMN14732680	17172706199	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202356	Illumina HiSeq 3000	F198417	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	F198417	SRP259113	Model organism or animal	female	fin	Adult	Mediterranean	IFREMER	Mediterranean	F198417
