BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	Ecotype	Strain	Breed	Cultivar	common	Treatment
PRJNA325126	SRR4017507	WGS	302	5071978562	SAMN05223507	2059183158	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra,unknown_contigs	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011309	NextSeq 500	714	PAIRED	RANDOM	GENOMIC	Vermivora_chrysoptera	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23582_HGMNWBGXX_714_GTGGCC_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	NA	714_R1
PRJNA325126	SRR4017508	WGS	302	4451963804	SAMN05223493	1812468725	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra,unknown_contigs	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011310	NextSeq 500	716	PAIRED	RANDOM	GENOMIC	Vermivora_chrysoptera	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23583_HGMNWBGXX_716_GTTTCG_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	NA	716_R1
PRJNA325126	SRR4017509	WGS	302	5021497148	SAMN05223495	2084430166	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra,unknown_contigs	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011311	NextSeq 500	705	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23566_HGMNWBGXX_705_TTAGGC_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	NA	705_R1
PRJNA325126	SRR4017510	WGS	302	5220548368	SAMN05223508	2120371060	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011312	NextSeq 500	721	PAIRED	RANDOM	GENOMIC	Vermivora_chrysoptera	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23584_HGMNWBGXX_721_CGTACG_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	NA	721_R1
PRJNA325126	SRR4017511	WGS	302	5763136970	SAMN05223518	2344998409	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra,unknown_contigs	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011313	NextSeq 500	725	PAIRED	RANDOM	GENOMIC	Vermivora_chrysoptera	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23585_HGMNWBGXX_725_GAGTGG_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	NA	725_R1
PRJNA325126	SRR4017513	WGS	302	5348513922	SAMN05223489	2168144928	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra,unknown_contigs	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011314	NextSeq 500	733	PAIRED	RANDOM	GENOMIC	Vermivora_chrysoptera	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23586_HGMNWBGXX_733_ACTGAT_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	NA	733_R1
PRJNA325126	SRR4017514	WGS	302	5356684532	SAMN05223512	2193074397	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra,unknown_contigs	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011315	NextSeq 500	738	PAIRED	RANDOM	GENOMIC	Vermivora_chrysoptera	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23587_HGMNWBGXX_738_ATTCCT_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	NA	738_R1
PRJNA325126	SRR4017515	WGS	302	4842280382	SAMN05223492	1974802903	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra,unknown_contigs	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011316	NextSeq 500	708	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23567_HGMNWBGXX_708_TGACCA_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	NA	708_R1
PRJNA325126	SRR4017516	WGS	302	5275619880	SAMN05223501	2141967202	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra,unknown_contigs	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011317	NextSeq 500	709	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23568_HGMNWBGXX_709_ACAGTG_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	NA	709_R1
PRJNA325126	SRR4017517	WGS	302	6220412686	SAMN05223528	2531146412	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra,unknown_contigs	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011318	NextSeq 500	720	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23569_HGMNWBGXX_720_GCCAAT_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	NA	720_R1
PRJNA325126	SRR4017518	WGS	302	5592992888	SAMN05223509	2252697959	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra,unknown_contigs	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011319	NextSeq 500	724	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23570_HGMNWBGXX_724_CAGATC_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	NA	724_R1
PRJNA325126	SRR4017519	WGS	302	6326140470	SAMN05223523	2564701741	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra,unknown_contigs	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011320	NextSeq 500	741	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23571_HGMNWBGXX_741_ACTTGA_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	NA	741_R1
PRJNA325126	SRR4017520	WGS	302	5286955450	SAMN05223506	2148211135	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra,unknown_contigs	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011321	NextSeq 500	742	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23572_HGMNWBGXX_742_GATCAG_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	NA	742_R1
PRJNA325126	SRR4017521	WGS	302	6095202882	SAMN05223519	2479413804	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra,unknown_contigs	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011322	NextSeq 500	743	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23573_HGMNWBGXX_743_TAGCTT_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	NA	743_R1
PRJNA325126	SRR11425039	WGS	302	6211562274	SAMN14431356	2638961767	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003403	NextSeq 500	2150_81752_PE25T03	PAIRED	RANDOM	GENOMIC	Vermivora_chrysoptera_x_Vermivora_cyanoptera	ILLUMINA	2020-03-25T00:00:00Z	Vermivora_hybrid_2150_81752	SRP081220	Model organism or animal	male	Blood	NA	Adult	Lawrences_warbler	NA	NA	2150-81752	NA	NA
PRJNA325126	SRR11425471	WGS	302	2968060832	SAMN12573333	1305585073	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003904	NextSeq 500	2750-63335	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermovira_cyanoptera_2750_63335	SRP081220	Model organism or animal	male	blood	NA	adult	central_america	NA	NA	2750-63335	NA	NA
PRJNA325126	SRR11425472	WGS	302	3514306956	SAMN12573332	1542999649	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003903	NextSeq 500	2770-39353	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermovira_cyanoptera_2770_39353	SRP081220	Model organism or animal	male	blood	NA	adult	central_america	NA	NA	2770-39353	NA	NA
PRJNA325126	SRR11425475	WGS	302	5486538190	SAMN12573325	2561415933	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003900	NextSeq 500	2750-63508	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermovira_cyanoptera_2750_63508	SRP081220	Model organism or animal	male	blood	NA	adult	central_america	NA	NA	2750-63508	NA	NA
PRJNA325126	SRR11425476	WGS	302	4976849468	SAMN12573324	2324895642	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003899	NextSeq 500	2750-63504	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermovira_cyanoptera_2750_63504	SRP081220	Model organism or animal	male	blood	NA	adult	central_america	NA	NA	2750-63504	NA	NA
PRJNA325126	SRR11425478	WGS	302	5744048758	SAMN12573393	2669171509	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003897	NextSeq 500	2750-63553	PAIRED	RANDOM	GENOMIC	Vermivora_chrysoptera_x_Vermivora_cyanoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermivora_hybrid_2750_63553	SRP081220	Model organism or animal	male	blood	NA	adult	central_america	NA	NA	2750-63553	NA	NA
PRJNA325126	SRR11425480	WGS	302	3477490136	SAMN12573391	1625871148	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003895	NextSeq 500	2750-63210	PAIRED	RANDOM	GENOMIC	Vermivora_chrysoptera_x_Vermivora_cyanoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermivora_hybrid_2750_63210	SRP081220	Model organism or animal	male	blood	NA	adult	south_america	NA	NA	2750-63210	NA	NA
PRJNA325126	SRR11425484	WGS	302	4930775140	SAMN12573387	2288797772	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003891	NextSeq 500	2840-29315	PAIRED	RANDOM	GENOMIC	Vermivora_chrysoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermivora_chrysoptera_2840_29315	SRP081220	Model organism or animal	male	blood	NA	adult	south_america	NA	NA	2840-29315	NA	NA
PRJNA325126	SRR11425487	WGS	302	6002774574	SAMN12573384	2788519085	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003888	NextSeq 500	2840-29310	PAIRED	RANDOM	GENOMIC	Vermivora_chrysoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermivora_chrysoptera_2840_29310	SRP081220	Model organism or animal	male	blood	NA	adult	south_america	NA	NA	2840-29310	NA	NA
PRJNA325126	SRR11425488	WGS	302	6020150748	SAMN12573330	2801370564	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003887	NextSeq 500	2750-63243	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermovira_cyanoptera_2750_63243	SRP081220	Model organism or animal	male	blood	NA	adult	central_america	NA	NA	2750-63243	NA	NA
PRJNA325126	SRR11425492	WGS	302	6906405686	SAMN12573380	3062742425	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003883	NextSeq 500	2540-29241	PAIRED	RANDOM	GENOMIC	Vermivora_chrysoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermivora_chrysoptera_2540_29241	SRP081220	Model organism or animal	male	blood	NA	adult	south_america	NA	NA	2540-29241	NA	NA
PRJNA325126	SRR11425494	WGS	302	4137669082	SAMN12573378	1958118886	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003881	NextSeq 500	2840-29304	PAIRED	RANDOM	GENOMIC	Vermivora_chrysoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermivora_chrysoptera_2840_29304	SRP081220	Model organism or animal	male	blood	NA	adult	south_america	NA	NA	2840-29304	NA	NA
PRJNA325126	SRR11425496	WGS	302	4730830604	SAMN12573376	2201701134	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003879	NextSeq 500	2840-29302	PAIRED	RANDOM	GENOMIC	Vermivora_chrysoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermivora_chrysoptera_2840_29302	SRP081220	Model organism or animal	male	blood	NA	adult	south_america	NA	NA	2840-29302	NA	NA
PRJNA325126	SRR11425499	WGS	302	4826098316	SAMN12573329	2257619204	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003876	NextSeq 500	2750-63237	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermovira_cyanoptera_2750_63237	SRP081220	Model organism or animal	male	blood	NA	adult	south_america	NA	NA	2750-63237	NA	NA
PRJNA325126	SRR11425500	WGS	302	6448666702	SAMN12573373	2835097951	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003875	NextSeq 500	2520-97647	PAIRED	RANDOM	GENOMIC	Vermivora_chrysoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermivora_chrysoptera_2520_97647	SRP081220	Model organism or animal	male	blood	NA	adult	south_america	NA	NA	2520-97647	NA	NA
PRJNA325126	SRR11425503	WGS	302	5211685876	SAMN12573370	2443269369	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003872	NextSeq 500	2740-78968	PAIRED	RANDOM	GENOMIC	Vermivora_chrysoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermivora_chrysoptera_2740_78968	SRP081220	Model organism or animal	male	blood	NA	adult	south_america	NA	NA	2740-78968	NA	NA
PRJNA325126	SRR11425504	WGS	302	3623059874	SAMN12573369	1725457076	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003871	NextSeq 500	2740-78953	PAIRED	RANDOM	GENOMIC	Vermivora_chrysoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermivora_chrysoptera_2740_78953	SRP081220	Model organism or animal	male	blood	NA	adult	central_america	NA	NA	2740-78953	NA	NA
PRJNA325126	SRR11425507	WGS	302	9670521086	SAMN12573366	4253543005	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003868	NextSeq 500	2690-98043	PAIRED	RANDOM	GENOMIC	Vermivora_chrysoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermivora_chrysoptera_2690_98043	SRP081220	Model organism or animal	male	blood	NA	adult	central_america	NA	NA	2690-98043	NA	NA
PRJNA325126	SRR11425509	WGS	302	5396038152	SAMN12573364	2378402650	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003866	NextSeq 500	2750-63373	PAIRED	RANDOM	GENOMIC	Vermivora_chrysoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermivora_chrysoptera_2750_63373	SRP081220	Model organism or animal	male	blood	NA	adult	central_america	NA	NA	2750-63373	NA	NA
PRJNA325126	SRR11425511	WGS	302	6217349198	SAMN12573363	2869605504	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003864	NextSeq 500	2690-98282	PAIRED	RANDOM	GENOMIC	Vermivora_chrysoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermivora_chrysoptera_2690_98282	SRP081220	Model organism or animal	male	blood	NA	adult	central_america	NA	NA	2690-98282	NA	NA
PRJNA325126	SRR11425512	WGS	302	5446066264	SAMN12573362	2542468995	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003863	NextSeq 500	2750-63448	PAIRED	RANDOM	GENOMIC	Vermivora_chrysoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermivora_chrysoptera_2750_63448	SRP081220	Model organism or animal	male	blood	NA	adult	central_america	NA	NA	2750-63448	NA	NA
PRJNA325126	SRR11425514	WGS	302	5634755260	SAMN12573360	2646024711	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003861	NextSeq 500	2750-63331	PAIRED	RANDOM	GENOMIC	Vermivora_chrysoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermivora_chrysoptera_2750_63331	SRP081220	Model organism or animal	male	blood	NA	adult	central_america	NA	NA	2750-63331	NA	NA
PRJNA325126	SRR11425516	WGS	302	5024328700	SAMN12573358	2204091792	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003859	NextSeq 500	2740-78903	PAIRED	RANDOM	GENOMIC	Vermivora_chrysoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermivora_chrysoptera_2740_78903	SRP081220	Model organism or animal	male	blood	NA	adult	central_america	NA	NA	2740-78903	NA	NA
PRJNA325126	SRR11425517	WGS	302	4523168760	SAMN12573357	2116459887	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003858	NextSeq 500	2740-84929	PAIRED	RANDOM	GENOMIC	Vermivora_chrysoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermivora_chrysoptera_2740_84929	SRP081220	Model organism or animal	male	blood	NA	adult	central_america	NA	NA	2740-84929	NA	NA
PRJNA325126	SRR11425520	WGS	302	5374492868	SAMN12573354	2371422849	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003855	NextSeq 500	2060-41056	PAIRED	RANDOM	GENOMIC	Vermivora_chrysoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermivora_chrysoptera_2060_41056	SRP081220	Model organism or animal	male	blood	NA	adult	central_america	NA	NA	2060-41056	NA	NA
PRJNA325126	SRR11425522	WGS	302	5573205244	SAMN12573353	2464935227	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003853	NextSeq 500	2490-57314	PAIRED	RANDOM	GENOMIC	Vermivora_chrysoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermivora_chrysoptera_2490_57314	SRP081220	Model organism or animal	male	blood	NA	adult	central_america	NA	NA	2490-57314	NA	NA
PRJNA325126	SRR11425524	WGS	302	5164906378	SAMN12573351	2274814065	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003851	NextSeq 500	2060-41058	PAIRED	RANDOM	GENOMIC	Vermivora_chrysoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermivora_chrysoptera_2060_41058	SRP081220	Model organism or animal	female	blood	NA	adult	central_america	NA	NA	2060-41058	NA	NA
PRJNA325126	SRR11425525	WGS	302	4091354966	SAMN12573350	1853045131	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003850	NextSeq 500	2060-41054	PAIRED	RANDOM	GENOMIC	Vermivora_chrysoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermivora_chrysoptera_2060_41054	SRP081220	Model organism or animal	female	blood	NA	adult	central_america	NA	NA	2060-41054	NA	NA
PRJNA325126	SRR11425528	WGS	302	5285826574	SAMN12573347	2313930705	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003847	NextSeq 500	2750-63464	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermovira_cyanoptera_2750_63464	SRP081220	Model organism or animal	male	blood	NA	adult	central_america	NA	NA	2750-63464	NA	NA
