BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	dev_stage	AGE	Breed
PRJNA686418	SRR13277473	WGS	200	6139362200	SAMN17120864	4676912616	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9707278	Illumina HiSeq 2000	FALjfjRAPDIAAPEI	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2020-12-21T00:00:00Z	Kola10	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	Wild
PRJNA686418	SRR13277475	WGS	200	6198432400	SAMN17120865	4709329418	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9707280	Illumina HiSeq 2000	FALjfjRAADIAAPEI	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2020-12-21T00:00:00Z	Yamal1	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	Wild
PRJNA686418	SRR13277490	WGS	200	6143741600	SAMN17120983	4762738312	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9707295	Illumina HiSeq 2000	FALjfjRBCDIAAPEI	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2020-12-21T00:00:00Z	Yamal3	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	Wild
PRJNA686418	SRR13279069	WGS	200	6135141000	SAMN17125934	4777554779	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9708846	Illumina HiSeq 2000	FALjfjRBEDIAAPEI	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2020-12-21T00:00:00Z	Yamal11	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	Wild
PRJNA686418	SRR13279070	WGS	200	6130254800	SAMN17125939	4775871329	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9708847	Illumina HiSeq 2000	FALjfjRAIDIAAPEI	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2020-12-21T00:00:00Z	Kola8	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	wild
PRJNA686418	SRR13279071	WGS	200	6119943600	SAMN17125933	4820643686	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9708848	Illumina HiSeq 2000	FALjfjRAFDIAAPEI	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2020-12-21T00:00:00Z	Yamal9	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	Wild
PRJNA686418	SRR13279136	WGS	200	6177568800	SAMN17125937	4747657076	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9708907	Illumina HiSeq 2000	FALjfjRACDIAAPEI	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2020-12-21T00:00:00Z	Yamal6	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	Wild
PRJNA686418	SRR13279232	WGS	200	6166945400	SAMN17125936	4803963919	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9709003	Illumina HiSeq 2000	FALjfjRADDIAAPEI	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2020-12-21T00:00:00Z	Yamal7	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	Wild
PRJNA686418	SRR13279233	WGS	200	6144933800	SAMN17125938	4767174980	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9709004	Illumina HiSeq 2000	FALjfjRBDDIAAPEI	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2020-12-21T00:00:00Z	Yamal4	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	Wild
PRJNA686418	SRR13376018	WGS	300	54701971200	SAMN17120864	17390466099	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9799369	Illumina HiSeq 2000	BDSW200013099	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2021-01-07T00:00:00Z	Kola10	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	Wild
PRJNA686418	SRR13376020	WGS	300	63171024600	SAMN17126931	20107549323	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9799371	Illumina HiSeq 2000	BDSW200013100	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2021-01-07T00:00:00Z	Kola6	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	wild
PRJNA686418	SRR13376021	WGS	300	49607073900	SAMN17126933	15792009519	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9799372	Illumina HiSeq 2000	BDSW200013101	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2021-01-07T00:00:00Z	Kolyma1	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	Wild
PRJNA686418	SRR13376033	WGS	300	67528134000	SAMN17132248	21400565008	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9799384	Illumina HiSeq 2000	BDSW200013106	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2021-01-07T00:00:00Z	Kolyma5	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	Wild
PRJNA686418	SRR13376034	WGS	300	50484374700	SAMN17132259	16020207360	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9799385	Illumina HiSeq 2000	BDSW200013107	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2021-01-07T00:00:00Z	Kolyma6	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	Wild
PRJNA686418	SRR13376035	WGS	300	60687736200	SAMN17132314	19615146076	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9799386	Illumina HiSeq 2000	BDSW200013108	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2021-01-07T00:00:00Z	Kolyma7	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	Wild
PRJNA686418	SRR13376036	WGS	263	58278422544	SAMN17141464	19374816192	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9799387	Illumina HiSeq 2000	BDSW200013110	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2021-01-07T00:00:00Z	Kolyma9	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	Wild
PRJNA686418	SRR13376037	WGS	300	51471755400	SAMN17125934	17026485844	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9799388	Illumina HiSeq 2000	BDSW200013115	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2021-01-07T00:00:00Z	Yamal11	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	Wild
PRJNA686418	SRR13376038	WGS	300	49663578000	SAMN17120865	15806758636	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9799389	Illumina HiSeq 2000	BDSW200013092	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2021-01-07T00:00:00Z	Yamal1	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	Wild
PRJNA686418	SRR13376039	WGS	300	54174027300	SAMN17125937	17806175451	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9799390	Illumina HiSeq 2000	BDSW200013114	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2021-01-07T00:00:00Z	Yamal6	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	Wild
PRJNA686418	SRR13381401	WGS	300	56072275800	SAMN17125936	18301513406	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9804326	Illumina HiSeq 2000	BDSW200013116	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2021-01-07T00:00:00Z	Yamal7	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	Wild
PRJNA686418	SRR13311279	WGS	300	55390891800	SAMN17132315	18591262732	INSTITUTE OF ZOOLOGY	public	sra,fastq	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9739186	Illumina HiSeq 2000	BDSW200013109	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2020-12-28T00:00:00Z	Kolyma8	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	Wild
PRJNA686418	SRR13311280	WGS	300	45665707500	SAMN17169283	15198102123	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9739187	Illumina HiSeq 2000	BDSW200013119	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2020-12-29T00:00:00Z	Yamal10	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	Wild
PRJNA686418	SRR13311281	WGS	300	57290687400	SAMN17134049	19096940724	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9739188	Illumina HiSeq 2000	BDSW200013111	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2020-12-28T00:00:00Z	Yamal2	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	Wild
PRJNA686418	SRR13311282	WGS	300	55246011900	SAMN17125946	18167317045	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9739189	Illumina HiSeq 2000	BDSW200013120	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2020-12-28T00:00:00Z	Kola7	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	wild
PRJNA686418	SRR13311299	WGS	300	51412841400	SAMN17125933	17238468025	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9739206	Illumina HiSeq 2000	BDSW200013118	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2020-12-28T00:00:00Z	Yamal9	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	Wild
PRJNA686418	SRR13311495	WGS	300	53325347400	SAMN17125939	17790649473	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9739402	Illumina HiSeq 2000	BDSW200013121	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2020-12-28T00:00:00Z	Kola8	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	wild
PRJNA686418	SRR13316926	WGS	300	51513566100	SAMN17155198	17921441511	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9744406	Illumina HiSeq 2000	H3C5MDSXY	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2020-12-29T00:00:00Z	Kolguev1	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	Wild
PRJNA686418	SRR13316928	WGS	300	56514759600	SAMN17155199	19018029353	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9744408	Illumina HiSeq 2000	H3C5MDSXY	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2020-12-29T00:00:00Z	Kolguev2	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	Wild
PRJNA686418	SRR13320258	WGS	300	51275307900	SAMN17117209	16315546453	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9747738	Illumina HiSeq 2000	BDSW200013093	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2020-12-29T00:00:00Z	Kola1	SRP298505	Model organism or animal	unknown	blood	NA	2 months	wild
PRJNA686418	SRR13336266	WGS	300	56731299000	SAMN17120643	18538466597	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9763005	Illumina HiSeq 2000	BDSW200013098	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2020-12-31T00:00:00Z	Kola5	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	wild
PRJNA686418	SRR13336267	WGS	300	51939270300	SAMN17189680	16618470811	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9763006	Illumina HiSeq 2000	BDSW200013097	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2020-12-31T00:00:00Z	Kola-4	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	Wild
PRJNA686418	SRR13279231	WGS	200	6182385200	SAMN17125935	4796376364	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9709002	Illumina HiSeq 2000	FALjfjRAEDIAAPEI	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2020-12-21T00:00:00Z	Yamal8	SRP298505	Model organism or animal	unknown	Tissue	Juvenile	NA	Wild
PRJNA686418	SRR13284634	WGS	200	6176942000	SAMN17132248	4745236473	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9713985	Illumina HiSeq 2000	FALjfjRAWDIAAPEI	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2020-12-22T00:00:00Z	Kolyma5	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	Wild
PRJNA686418	SRR13334593	WGS	300	60939267600	SAMN17188551	19548390031	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9761332	Illumina HiSeq 2000	BDSW200013095	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2020-12-31T00:00:00Z	Kola9	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	Wild
PRJNA686418	SRR13376032	WGS	300	61941223200	SAMN17132232	19751528065	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9799383	Illumina HiSeq 2000	BDSW200013105	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2021-01-07T00:00:00Z	Kolyma4	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	Wild
PRJNA686418	SRR13274499	WGS	300	45070242600	SAMN17117209	15127421047	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9704325	Illumina HiSeq 2000	H3C5MDSXY	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2020-12-21T00:00:00Z	Kola1	SRP298505	Model organism or animal	unknown	blood	NA	2 months	wild
PRJNA686418	SRR13308152	WGS	300	62484465000	SAMN17125935	20977366638	INSTITUTE OF ZOOLOGY	public	fastq,sra	s3,gs,ncbi	ncbi.public,gs.US,s3.us-east-1	SRX9736145	Illumina HiSeq 2000	BDSW200013117	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2021-01-02T00:00:00Z	Yamal8	SRP298505	Model organism or animal	unknown	Tissue	Juvenile	NA	Wild
