BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	AGE	Ecotype	Strain	Breed	Cultivar
PRJNA612146	SRR12601681	WGS	300	13386016500	SAMN14363087	5078831581	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085711	Illumina HiSeq 4000	9	PAIRED	RANDOM	GENOMIC	Hippocampus_abdominalis	ILLUMINA	2020-09-06T00:00:00Z	Had_9	SRP280296	Model organism or animal	missing	muscle-9	Not applicable	missing	missing-9	Tasmania\, Austrialia	Not applicable	Not applicable	Not applicable-9
PRJNA612146	SRR12601685	WGS	300	5785984800	SAMN14363155	2434795734	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085707	Illumina HiSeq 4000	77	PAIRED	RANDOM	GENOMIC	Hippocampus_comes	ILLUMINA	2020-09-06T00:00:00Z	Hcm_14	SRP280296	Model organism or animal	missing	muscle-77	Not applicable	missing	missing-77	Banjarmasin\, Malaysia	Not applicable	Not applicable	Not applicable-77
PRJNA612146	SRR12601687	WGS	300	6036020700	SAMN14363153	2545863447	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085705	Illumina HiSeq 4000	75	PAIRED	RANDOM	GENOMIC	Hippocampus_comes	ILLUMINA	2020-09-06T00:00:00Z	Hcm_12	SRP280296	Model organism or animal	missing	muscle-75	Not applicable	missing	missing-75	Banjarmasin\, Malaysia	Not applicable	Not applicable	Not applicable-75
PRJNA612146	SRR12601688	WGS	300	6379106400	SAMN14363152	2693211263	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085704	Illumina HiSeq 4000	74	PAIRED	RANDOM	GENOMIC	Hippocampus_comes	ILLUMINA	2020-09-06T00:00:00Z	Hcm_11	SRP280296	Model organism or animal	missing	muscle-74	Not applicable	missing	missing-74	Banjarmasin\, Malaysia	Not applicable	Not applicable	Not applicable-74
PRJNA612146	SRR12601690	WGS	300	6880302900	SAMN14363118	2878657695	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085702	Illumina HiSeq 4000	40	PAIRED	RANDOM	GENOMIC	Hippocampus_barbouri	ILLUMINA	2020-09-06T00:00:00Z	Hbb_6	SRP280296	Model organism or animal	missing	muscle-40	Not applicable	missing	missing-40	Xiamen\, China	Not applicable	Not applicable	Not applicable-40
PRJNA612146	SRR12601694	WGS	300	8448998100	SAMN14363436	3438765652	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085698	Illumina HiSeq 4000	358	PAIRED	RANDOM	GENOMIC	Hippocampus_zosterae	ILLUMINA	2020-09-06T00:00:00Z	Hzt_S2	SRP280296	Model organism or animal	missing	muscle-358	Not applicable	missing	missing-358	Tampa\, US	Not applicable	Not applicable	Not applicable-358
PRJNA612146	SRR12601699	WGS	300	10213305600	SAMN14363431	3974471952	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085693	Illumina HiSeq 4000	353	PAIRED	RANDOM	GENOMIC	Hippocampus_zosterae	ILLUMINA	2020-09-06T00:00:00Z	Hzt_16	SRP280296	Model organism or animal	missing	muscle-353	Not applicable	missing	missing-353	Tampa\, US	Not applicable	Not applicable	Not applicable-353
PRJNA612146	SRR12601700	WGS	300	8282885700	SAMN14363430	3226837673	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085692	Illumina HiSeq 4000	352	PAIRED	RANDOM	GENOMIC	Hippocampus_zosterae	ILLUMINA	2020-09-06T00:00:00Z	Hzt_15	SRP280296	Model organism or animal	missing	muscle-352	Not applicable	missing	missing-352	Tampa\, US	Not applicable	Not applicable	Not applicable-352
PRJNA612146	SRR12601702	WGS	300	6064323300	SAMN14363114	2521701356	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085690	Illumina HiSeq 4000	36	PAIRED	RANDOM	GENOMIC	Hippocampus_barbouri	ILLUMINA	2020-09-06T00:00:00Z	Hbb_2	SRP280296	Model organism or animal	missing	muscle-36	Not applicable	missing	missing-36	Xiamen\, China	Not applicable	Not applicable	Not applicable-36
PRJNA612146	SRR12601704	WGS	300	8551338600	SAMN14363427	3381438941	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085688	Illumina HiSeq 4000	349	PAIRED	RANDOM	GENOMIC	Hippocampus_zosterae	ILLUMINA	2020-09-06T00:00:00Z	Hzt_12	SRP280296	Model organism or animal	missing	muscle-349	Not applicable	missing	missing-349	Tampa\, US	Not applicable	Not applicable	Not applicable-349
PRJNA612146	SRR12601706	WGS	300	10071831300	SAMN14363425	3934188818	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085686	Illumina HiSeq 4000	347	PAIRED	RANDOM	GENOMIC	Hippocampus_zosterae	ILLUMINA	2020-09-06T00:00:00Z	Hzt_10	SRP280296	Model organism or animal	missing	muscle-347	Not applicable	missing	missing-347	Tampa\, US	Not applicable	Not applicable	Not applicable-347
PRJNA612146	SRR12601708	WGS	300	8465968500	SAMN14363423	3320455790	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085684	Illumina HiSeq 4000	345	PAIRED	RANDOM	GENOMIC	Hippocampus_zosterae	ILLUMINA	2020-09-06T00:00:00Z	Hzt_8	SRP280296	Model organism or animal	missing	muscle-345	Not applicable	missing	missing-345	Tampa\, US	Not applicable	Not applicable	Not applicable-345
PRJNA612146	SRR12601709	WGS	300	8571569100	SAMN14363422	3339157870	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085683	Illumina HiSeq 4000	344	PAIRED	RANDOM	GENOMIC	Hippocampus_zosterae	ILLUMINA	2020-09-06T00:00:00Z	Hzt_7	SRP280296	Model organism or animal	missing	muscle-344	Not applicable	missing	missing-344	Tampa\, US	Not applicable	Not applicable	Not applicable-344
PRJNA612146	SRR12601711	WGS	300	10251673500	SAMN14363420	4120555296	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085681	Illumina HiSeq 4000	342	PAIRED	RANDOM	GENOMIC	Hippocampus_zosterae	ILLUMINA	2020-09-06T00:00:00Z	Hzt_5	SRP280296	Model organism or animal	missing	muscle-342	Not applicable	missing	missing-342	Tampa\, US	Not applicable	Not applicable	Not applicable-342
PRJNA612146	SRR12601713	WGS	300	5980054500	SAMN14363113	2503685770	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085679	Illumina HiSeq 4000	35	PAIRED	RANDOM	GENOMIC	Hippocampus_barbouri	ILLUMINA	2020-09-06T00:00:00Z	Hbb_1	SRP280296	Model organism or animal	missing	muscle-35	Not applicable	missing	missing-35	Xiamen\, China	Not applicable	Not applicable	Not applicable-35
PRJNA612146	SRR12601714	WGS	300	9644259600	SAMN14363418	3806504383	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085678	Illumina HiSeq 4000	340	PAIRED	RANDOM	GENOMIC	Hippocampus_zosterae	ILLUMINA	2020-09-06T00:00:00Z	Hzt_3	SRP280296	Model organism or animal	missing	muscle-340	Not applicable	missing	missing-340	Tampa\, US	Not applicable	Not applicable	Not applicable-340
PRJNA612146	SRR12601719	WGS	300	7499261400	SAMN14363413	2910803453	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085673	Illumina HiSeq 4000	335	PAIRED	RANDOM	GENOMIC	Hippocampus_trimaculatus	ILLUMINA	2020-09-06T00:00:00Z	Htl_19	SRP280296	Model organism or animal	missing	muscle-335	Not applicable	missing	missing-335	Phuket Island\, Thailand	Not applicable	Not applicable	Not applicable-335
PRJNA612146	SRR12601722	WGS	300	11029788600	SAMN14363410	4494514408	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085670	Illumina HiSeq 4000	332	PAIRED	RANDOM	GENOMIC	Hippocampus_trimaculatus	ILLUMINA	2020-09-06T00:00:00Z	Htl_15	SRP280296	Model organism or animal	missing	muscle-332	Not applicable	missing	missing-332	Lingshui\, Hainan Province	Not applicable	Not applicable	Not applicable-332
PRJNA612146	SRR12601724	WGS	300	7322578200	SAMN14363112	2950638555	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085668	Illumina HiSeq 4000	34	PAIRED	RANDOM	GENOMIC	Hippocampus_algiricus	ILLUMINA	2020-09-06T00:00:00Z	Hag_S8	SRP280296	Model organism or animal	missing	muscle-34	Not applicable	missing	missing-34	Abidjan\, Cote d'Ivoire	Not applicable	Not applicable	Not applicable-34
PRJNA612146	SRR12601726	WGS	300	8270476800	SAMN14363375	3268684387	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085666	Illumina HiSeq 4000	297	PAIRED	RANDOM	GENOMIC	Hippocampus_subelongatus	ILLUMINA	2020-09-06T00:00:00Z	Hsl_14	SRP280296	Model organism or animal	missing	muscle-297	Not applicable	missing	missing-297	Perth\, Austrilia	Not applicable	Not applicable	Not applicable-297
PRJNA612146	SRR12601728	WGS	300	18247034700	SAMN14363373	7085103918	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085664	Illumina HiSeq 4000	295	PAIRED	RANDOM	GENOMIC	Hippocampus_subelongatus	ILLUMINA	2020-09-06T00:00:00Z	Hsl_12	SRP280296	Model organism or animal	missing	muscle-295	Not applicable	missing	missing-295	Perth\, Austrilia	Not applicable	Not applicable	Not applicable-295
PRJNA612146	SRR12601730	WGS	300	8536116000	SAMN14363371	3298391294	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085662	Illumina HiSeq 4000	293	PAIRED	RANDOM	GENOMIC	Hippocampus_subelongatus	ILLUMINA	2020-09-06T00:00:00Z	Hsl_10	SRP280296	Model organism or animal	missing	muscle-293	Not applicable	missing	missing-293	Perth\, Austrilia	Not applicable	Not applicable	Not applicable-293
PRJNA612146	SRR12601732	WGS	300	10076641200	SAMN14363369	3897020753	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085660	Illumina HiSeq 4000	291	PAIRED	RANDOM	GENOMIC	Hippocampus_subelongatus	ILLUMINA	2020-09-06T00:00:00Z	Hsl_8	SRP280296	Model organism or animal	missing	muscle-291	Not applicable	missing	missing-291	Perth\, Austrilia	Not applicable	Not applicable	Not applicable-291
PRJNA612146	SRR12601734	WGS	300	10825065900	SAMN14363368	4228379036	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085658	Illumina HiSeq 4000	290	PAIRED	RANDOM	GENOMIC	Hippocampus_subelongatus	ILLUMINA	2020-09-06T00:00:00Z	Hsl_7	SRP280296	Model organism or animal	missing	muscle-290	Not applicable	missing	missing-290	Perth\, Austrilia	Not applicable	Not applicable	Not applicable-290
PRJNA612146	SRR12601736	WGS	300	9524645400	SAMN14363366	3700954356	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085656	Illumina HiSeq 4000	288	PAIRED	RANDOM	GENOMIC	Hippocampus_subelongatus	ILLUMINA	2020-09-06T00:00:00Z	Hsl_5	SRP280296	Model organism or animal	missing	muscle-288	Not applicable	missing	missing-288	Perth\, Austrilia	Not applicable	Not applicable	Not applicable-288
PRJNA612146	SRR12601738	WGS	300	10208199900	SAMN14363364	4016347427	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085654	Illumina HiSeq 4000	286	PAIRED	RANDOM	GENOMIC	Hippocampus_subelongatus	ILLUMINA	2020-09-06T00:00:00Z	Hsl_3	SRP280296	Model organism or animal	missing	muscle-286	Not applicable	missing	missing-286	Perth\, Austrilia	Not applicable	Not applicable	Not applicable-286
PRJNA612146	SRR12601740	WGS	300	7661488200	SAMN14363362	3121177610	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085652	Illumina HiSeq 4000	284	PAIRED	RANDOM	GENOMIC	Hippocampus_reidi	ILLUMINA	2020-09-06T00:00:00Z	Hrd_S6	SRP280296	Model organism or animal	missing	muscle-284	Not applicable	missing	missing-284	Amapa\, Brazil	Not applicable	Not applicable	Not applicable-284
PRJNA612146	SRR12601742	WGS	300	7644113100	SAMN14363360	3082900447	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085650	Illumina HiSeq 4000	282	PAIRED	RANDOM	GENOMIC	Hippocampus_reidi	ILLUMINA	2020-09-06T00:00:00Z	Hrd_S4	SRP280296	Model organism or animal	missing	muscle-282	Not applicable	missing	missing-282	Amapa\, Brazil	Not applicable	Not applicable	Not applicable-282
PRJNA612146	SRR12601744	WGS	300	6651436500	SAMN14363107	2682924576	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085648	Illumina HiSeq 4000	29	PAIRED	RANDOM	GENOMIC	Hippocampus_algiricus	ILLUMINA	2020-09-06T00:00:00Z	Hag_S12	SRP280296	Model organism or animal	missing	muscle-29	Not applicable	missing	missing-29	Abidjan\, Cote d'Ivoire	Not applicable	Not applicable	Not applicable-29
PRJNA612146	SRR12601746	WGS	300	15843236700	SAMN14363357	6068522448	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085646	Illumina HiSeq 4000	279	PAIRED	RANDOM	GENOMIC	Hippocampus_reidi	ILLUMINA	2020-09-06T00:00:00Z	Hrd_14	SRP280296	Model organism or animal	missing	muscle-279	Not applicable	missing	missing-279	Fortaleza\, Brazil	Not applicable	Not applicable	Not applicable-279
PRJNA612146	SRR12601750	WGS	300	10347294000	SAMN14363353	3993173520	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085642	Illumina HiSeq 4000	275	PAIRED	RANDOM	GENOMIC	Hippocampus_reidi	ILLUMINA	2020-09-06T00:00:00Z	Hrd_10	SRP280296	Model organism or animal	missing	muscle-275	Not applicable	missing	missing-275	Fortaleza\, Brazil	Not applicable	Not applicable	Not applicable-275
PRJNA612146	SRR12601752	WGS	300	7635918000	SAMN14363351	2950160380	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085640	Illumina HiSeq 4000	273	PAIRED	RANDOM	GENOMIC	Hippocampus_reidi	ILLUMINA	2020-09-06T00:00:00Z	Hrd_8	SRP280296	Model organism or animal	missing	muscle-273	Not applicable	missing	missing-273	Fortaleza\, Brazil	Not applicable	Not applicable	Not applicable-273
PRJNA612146	SRR12601753	WGS	300	8990633400	SAMN14363350	3409338400	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085639	Illumina HiSeq 4000	272	PAIRED	RANDOM	GENOMIC	Hippocampus_reidi	ILLUMINA	2020-09-06T00:00:00Z	Hrd_7	SRP280296	Model organism or animal	missing	muscle-272	Not applicable	missing	missing-272	Fortaleza\, Brazil	Not applicable	Not applicable	Not applicable-272
PRJNA612146	SRR12601755	WGS	300	8272849800	SAMN14363106	3331974637	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085637	Illumina HiSeq 4000	28	PAIRED	RANDOM	GENOMIC	Hippocampus_algiricus	ILLUMINA	2020-09-06T00:00:00Z	Hag_S11	SRP280296	Model organism or animal	missing	muscle-28	Not applicable	missing	missing-28	Abidjan\, Cote d'Ivoire	Not applicable	Not applicable	Not applicable-28
PRJNA612146	SRR12601758	WGS	300	8189076900	SAMN14363346	3278501961	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085634	Illumina HiSeq 4000	268	PAIRED	RANDOM	GENOMIC	Hippocampus_reidi	ILLUMINA	2020-09-06T00:00:00Z	Hrd_3	SRP280296	Model organism or animal	missing	muscle-268	Not applicable	missing	missing-268	Fortaleza\, Brazil	Not applicable	Not applicable	Not applicable-268
PRJNA612146	SRR12601760	WGS	300	8030774100	SAMN14363344	3141751816	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085632	Illumina HiSeq 4000	266	PAIRED	RANDOM	GENOMIC	Hippocampus_reidi	ILLUMINA	2020-09-06T00:00:00Z	Hrd_1	SRP280296	Model organism or animal	missing	muscle-266	Not applicable	missing	missing-266	Fortaleza\, Brazil	Not applicable	Not applicable	Not applicable-266
PRJNA612146	SRR12601762	WGS	300	10617957300	SAMN14363407	4028063686	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085630	Illumina HiSeq 4000	329	PAIRED	RANDOM	GENOMIC	Hippocampus_trimaculatus	ILLUMINA	2020-09-06T00:00:00Z	Htl_12	SRP280296	Model organism or animal	missing	muscle-329	Not applicable	missing	missing-329	Lingshui\, Hainan Province	Not applicable	Not applicable	Not applicable-329
PRJNA612146	SRR12601763	WGS	300	5584762200	SAMN14363406	2139765759	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9085629	Illumina HiSeq 4000	328	PAIRED	RANDOM	GENOMIC	Hippocampus_trimaculatus	ILLUMINA	2020-09-06T00:00:00Z	Htl_11	SRP280296	Model organism or animal	missing	muscle-328	Not applicable	missing	missing-328	Lingshui\, Hainan Province	Not applicable	Not applicable	Not applicable-328
