BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	AGE	Ecotype	Biomaterial_provider	Strain	Cultivar	PHENOTYPE
PRJNA485717	SRR7688072	WGS	302	2153499184	SAMN09813059	1055010002	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4548413	Illumina HiSeq 2500	OBSM642_MInd11	PAIRED	unspecified	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-08-13T00:00:00Z	OBSM642	SRP157620	Model organism or animal	unknown	fin	OBSM642_MInd11	not applicable	not applicable	marine	WGS	not applicable	not applicable	not applicable
PRJNA485717	SRR7688073	WGS	302	2391604742	SAMN09813066	1182221078	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4548412	Illumina HiSeq 2500	OBSM720_MInd18	PAIRED	unspecified	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-08-13T00:00:00Z	OBSM720	SRP157620	Model organism or animal	unknown	fin	OBSM720_MInd18	not applicable	not applicable	marine	WGS	not applicable	not applicable	not applicable
PRJNA485717	SRR7688074	WGS	302	1934419324	SAMN09813065	988551568	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4548411	Illumina HiSeq 2500	OBSM719_MInd17	PAIRED	unspecified	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-08-13T00:00:00Z	OBSM719	SRP157620	Model organism or animal	unknown	fin	OBSM719_MInd17	not applicable	not applicable	marine	WGS	not applicable	not applicable	not applicable
PRJNA485717	SRR7688075	WGS	302	2867889244	SAMN09813064	1458098911	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4548410	Illumina HiSeq 2500	OBSM718_MInd16	PAIRED	unspecified	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-08-13T00:00:00Z	OBSM718	SRP157620	Model organism or animal	unknown	fin	OBSM718_MInd16	not applicable	not applicable	marine	WGS	not applicable	not applicable	not applicable
PRJNA485717	SRR7688076	WGS	302	3323171760	SAMN09813063	1712568403	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4548409	Illumina HiSeq 2500	OBSM716_MInd15	PAIRED	unspecified	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-08-13T00:00:00Z	OBSM716	SRP157620	Model organism or animal	unknown	fin	OBSM716_MInd15	not applicable	not applicable	marine	WGS	not applicable	not applicable	not applicable
PRJNA485717	SRR7688080	WGS	302	2018818962	SAMN09813072	1054719713	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4548405	Illumina HiSeq 2500	ARDH4_MInd4	PAIRED	unspecified	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-08-13T00:00:00Z	ARDH4	SRP157620	Model organism or animal	unknown	fin	ARDH4_MInd4	not applicable	not applicable	marine	WGS	not applicable	not applicable	not applicable
PRJNA485717	SRR7688081	WGS	302	2266058510	SAMN09813069	1179882479	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4548404	Illumina HiSeq 2500	ARDH1_MInd1	PAIRED	unspecified	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-08-13T00:00:00Z	ARDH1	SRP157620	Model organism or animal	unknown	fin	ARDH1_MInd1	not applicable	not applicable	marine	WGS	not applicable	not applicable	not applicable
PRJNA485717	SRR7688082	WGS	302	2812725320	SAMN09813070	1437596530	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4548403	Illumina HiSeq 2500	ARDH2_MInd2	PAIRED	unspecified	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-08-13T00:00:00Z	ARDH2	SRP157620	Model organism or animal	unknown	fin	ARDH2_MInd2	not applicable	not applicable	marine	WGS	not applicable	not applicable	not applicable
PRJNA485717	SRR7688083	WGS	302	1918431142	SAMN09813075	986065665	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4548402	Illumina HiSeq 2500	ARDH7_MInd7	PAIRED	unspecified	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-08-13T00:00:00Z	ARDH7	SRP157620	Model organism or animal	unknown	fin	ARDH7_MInd7	not applicable	not applicable	marine	WGS	not applicable	not applicable	not applicable
PRJNA485717	SRR7688084	WGS	302	2148480246	SAMN09813076	1087440030	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4548401	Illumina HiSeq 2500	ARDH8_MInd8	PAIRED	unspecified	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-08-13T00:00:00Z	ARDH8	SRP157620	Model organism or animal	unknown	fin	ARDH8_MInd8	not applicable	not applicable	marine	WGS	not applicable	not applicable	not applicable
PRJNA485717	SRR7688085	WGS	302	1909691866	SAMN09813073	964383794	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4548400	Illumina HiSeq 2500	ARDH5_MInd5	PAIRED	unspecified	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-08-13T00:00:00Z	ARDH5	SRP157620	Model organism or animal	unknown	fin	ARDH5_MInd5	not applicable	not applicable	marine	WGS	not applicable	not applicable	not applicable
PRJNA485717	SRR7688086	WGS	302	2571864918	SAMN09813074	1301722058	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4548399	Illumina HiSeq 2500	ARDH6_MInd6	PAIRED	unspecified	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-08-13T00:00:00Z	ARDH6	SRP157620	Model organism or animal	unknown	fin	ARDH6_MInd6	not applicable	not applicable	marine	WGS	not applicable	not applicable	not applicable
PRJNA485717	SRR7688087	WGS	302	1841724350	SAMN09813077	957918229	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4548398	Illumina HiSeq 2500	ARDH9_Mind	PAIRED	unspecified	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-08-13T00:00:00Z	ARDH9	SRP157620	Model organism or animal	unknown	fin	ARDH9_Mind	not applicable	not applicable	marine	WGS	not applicable	not applicable	not applicable
PRJNA485717	SRR7688058	WGS	302	2765406148	SAMN09813055	1404313417	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4548427	Illumina HiSeq 2500	OBSM349_MInd7	PAIRED	unspecified	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-08-13T00:00:00Z	OBSM349	SRP157620	Model organism or animal	unknown	fin	OBSM349_MInd7	not applicable	not applicable	marine	WGS	not applicable	not applicable	not applicable
PRJNA485717	SRR7688088	WGS	302	2159349830	SAMN09813078	1119061927	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4548397	Illumina HiSeq 2500	ARDH24_MInd10	PAIRED	unspecified	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-08-13T00:00:00Z	ARDH24	SRP157620	Model organism or animal	unknown	fin	ARDH24_MInd10	not applicable	not applicable	marine	WGS	not applicable	not applicable	not applicable
PRJNA485717	SRR7688055	WGS	302	3208859022	SAMN09813054	1603840455	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4548430	Illumina HiSeq 2500	OBSM346_MInd6	PAIRED	unspecified	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-08-13T00:00:00Z	OBSM346	SRP157620	Model organism or animal	unknown	fin	OBSM346_MInd6	not applicable	not applicable	marine	WGS	not applicable	not applicable	not applicable
PRJNA485717	SRR7688054	WGS	302	2260527984	SAMN09813051	1141945222	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4548431	Illumina HiSeq 2500	OBSM298_MInd3	PAIRED	unspecified	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-08-13T00:00:00Z	OBSM298	SRP157620	Model organism or animal	unknown	fin	OBSM298_MInd3	not applicable	not applicable	marine	WGS	not applicable	not applicable	not applicable
PRJNA485717	SRR7688064	WGS	302	2209917012	SAMN09813067	1128663531	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4548421	Illumina HiSeq 2500	OBSM721_MInd19	PAIRED	unspecified	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-08-13T00:00:00Z	OBSM721	SRP157620	Model organism or animal	unknown	fin	OBSM721_MInd19	not applicable	not applicable	marine	WGS	not applicable	not applicable	not applicable
PRJNA485717	SRR7688079	WGS	302	2080003256	SAMN09813071	1056040533	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4548406	Illumina HiSeq 2500	ARDH3_MInd3	PAIRED	unspecified	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-08-13T00:00:00Z	ARDH3	SRP157620	Model organism or animal	unknown	fin	ARDH3_MInd3	not applicable	not applicable	marine	WGS	not applicable	not applicable	not applicable
PRJNA485717	SRR7688052	WGS	302	2318544902	SAMN09813049	1136427706	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4548433	Illumina HiSeq 2500	OBSM295_MInd1	PAIRED	unspecified	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-08-13T00:00:00Z	OBSM295	SRP157620	Model organism or animal	unknown	fin	OBSM295_MInd1	not applicable	not applicable	marine	WGS	not applicable	not applicable	not applicable
