BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	ArrayExpress-SPECIES	Subject_ID	Alias	ENA_CHECKLIST
PRJEB15289	ERR1749401	WGS	302	24696117950	SAMEA4033249	11217392412	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818581	HiSeq X Ten	DN461233J:F1	PAIRED	RANDOM	GENOMIC	Petrotilapia_genalutea	ILLUMINA	2016-12-07T00:00:00Z	c9c9ec90-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	Petrotilapia genalutea	NA	NA	NA
PRJEB15289	ERR1749402	WGS	302	25420674236	SAMEA4032036	11620036969	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818582	HiSeq X Ten	DN461233J:G1	PAIRED	RANDOM	GENOMIC	Petrotilapia_genalutea	ILLUMINA	2016-12-07T00:00:00Z	c9d25100-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	Petrotilapia genalutea	NA	NA	NA
PRJEB15289	ERR1749404	WGS	302	30051580590	SAMEA4032037	13314073105	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818584	HiSeq X Ten	DN461233J:A2	PAIRED	RANDOM	GENOMIC	Petrotilapia_genalutea	ILLUMINA	2016-12-07T00:00:00Z	c9e47970-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	Petrotilapia genalutea	NA	NA	NA
PRJEB15289	ERR1749405	WGS	302	23228266278	SAMEA4033251	10432162169	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818585	HiSeq X Ten	DN461233J:B2	PAIRED	RANDOM	GENOMIC	Petrotilapia_genalutea	ILLUMINA	2016-12-07T00:00:00Z	c9ed04f0-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	Petrotilapia genalutea	NA	NA	NA
PRJEB15289	ERR1749407	WGS	302	28098976638	SAMEA4033252	12481404491	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818587	HiSeq X Ten	DN461233J:D2	PAIRED	RANDOM	GENOMIC	Petrotilapia_genalutea	ILLUMINA	2016-12-07T00:00:00Z	c9fe9120-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	Petrotilapia genalutea	NA	NA	NA
PRJEB15289	ERR1749408	WGS	302	29233565270	SAMEA4032039	12878861413	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818588	HiSeq X Ten	DN461233J:E2	PAIRED	RANDOM	GENOMIC	Petrotilapia_genalutea	ILLUMINA	2016-12-07T00:00:00Z	ca0743b0-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	Petrotilapia genalutea	NA	NA	NA
PRJEB15289	ERR1749409	WGS	302	25665482382	SAMEA4033253	11654774632	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818589	HiSeq X Ten	DN461233J:F2	PAIRED	RANDOM	GENOMIC	Petrotilapia_genalutea	ILLUMINA	2016-12-07T00:00:00Z	ca0fa820-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	Petrotilapia genalutea	NA	NA	NA
PRJEB15289	ERR1749412	WGS	302	30093909514	SAMEA4032041	13476130641	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818592	HiSeq X Ten	DN461233J:A3	PAIRED	RANDOM	GENOMIC	Trematocranus_placodon	ILLUMINA	2016-12-07T00:00:00Z	ca292390-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	Trematocranus placodon	NA	NA	NA
PRJEB15289	ERR1749414	WGS	302	28578381404	SAMEA4032042	12825304702	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818594	HiSeq X Ten	DN461233J:C3	PAIRED	RANDOM	GENOMIC	Trematocranus_placodon	ILLUMINA	2016-12-07T00:00:00Z	ca3c5d70-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	Trematocranus placodon	NA	NA	NA
PRJEB15289	ERR1749416	WGS	302	26857670568	SAMEA4032107	11994060605	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818596	HiSeq X Ten	DN461234K:E3	PAIRED	RANDOM	GENOMIC	Tyrannochromis_macrostoma	ILLUMINA	2016-12-07T00:00:00Z	d6779f00-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	Tyrannochromis macrostoma	NA	NA	NA
PRJEB15289	ERR1749418	WGS	302	30053097536	SAMEA4033304	13320377465	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818598	HiSeq X Ten	DN461234K:B4	PAIRED	RANDOM	GENOMIC	Buccochromis_nototaenia	ILLUMINA	2016-12-07T00:00:00Z	d6ba2640-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	Buccochromis nototaenia	NA	NA	NA
PRJEB15289	ERR1749422	WGS	302	26684346124	SAMEA4033306	12045069430	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818602	HiSeq X Ten	DN461234K:F4	PAIRED	RANDOM	GENOMIC	Protomelas_similis	ILLUMINA	2016-12-07T00:00:00Z	d6eef1e0-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	Protomelas similis	NA	NA	NA
PRJEB15289	ERR1749424	WGS	302	33112703628	SAMEA4033307	14676651771	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818604	HiSeq X Ten	DN461234K:H4	PAIRED	RANDOM	GENOMIC	Dimidiochromis_kiwinge	ILLUMINA	2016-12-07T00:00:00Z	d709f3f0-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	Dimidiochromis kiwinge	NA	NA	NA
PRJEB15289	ERR1749426	WGS	302	25207647362	SAMEA4033308	11254940406	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818606	HiSeq X Ten	DN461234K:B5	PAIRED	RANDOM	GENOMIC	Dimidiochromis_kiwinge	ILLUMINA	2016-12-07T00:00:00Z	d7280340-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	Dimidiochromis kiwinge	NA	NA	NA
PRJEB15289	ERR1749427	WGS	302	32681296628	SAMEA4032112	14259412160	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818607	HiSeq X Ten	DN461234K:C5	PAIRED	RANDOM	GENOMIC	Dimidiochromis_strigatus	ILLUMINA	2016-12-07T00:00:00Z	d73bb250-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	Dimidiochromis strigatus	NA	NA	NA
PRJEB15289	ERR1749429	WGS	302	32266262558	SAMEA4033310	14340782898	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818609	HiSeq X Ten	DN461234K:F5	PAIRED	RANDOM	GENOMIC	Mylochromis_anaphyrmus	ILLUMINA	2016-12-07T00:00:00Z	d776e690-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	Mylochromis anaphyrmus	NA	NA	NA
PRJEB15289	ERR1749432	WGS	302	26232032872	SAMEA4032114	11533134871	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818612	HiSeq X Ten	DN461234K:C6	PAIRED	RANDOM	GENOMIC	Taeniolethrinops_praeorbitalis	ILLUMINA	2016-12-07T00:00:00Z	d7bc2cf0-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	Taeniolethrinops praeorbitalis	NA	NA	NA
PRJEB15289	ERR1749434	WGS	302	30106925412	SAMEA4033313	13376104118	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818614	HiSeq X Ten	DN461234K:E6	PAIRED	RANDOM	GENOMIC	Taeniolethrinops_furcicauda	ILLUMINA	2016-12-07T00:00:00Z	d7cf8de0-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	Taeniolethrinops furcicauda	NA	NA	NA
PRJEB15289	ERR1749436	WGS	302	28959824920	SAMEA4033314	12777516746	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818616	HiSeq X Ten	DN461234K:G6	PAIRED	RANDOM	GENOMIC	Lethrinops_longipinnis	ILLUMINA	2016-12-07T00:00:00Z	d7e22b80-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	Lethrinops longipinnis	NA	NA	NA
PRJEB15289	ERR1749438	WGS	302	31216861180	SAMEA4032123	13799573222	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818618	HiSeq X Ten	DN461234K:A7	PAIRED	RANDOM	GENOMIC	Tramitichromis_brevis	ILLUMINA	2016-12-07T00:00:00Z	d7f453f0-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	Tramitichromis brevis	NA	NA	NA
PRJEB15289	ERR1749440	WGS	302	26163608732	SAMEA4032124	11745802135	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818620	HiSeq X Ten	DN461234K:C7	PAIRED	RANDOM	GENOMIC	Sciaenochromis_benthicola	ILLUMINA	2016-12-07T00:00:00Z	d8067c60-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	Sciaenochromis benthicola	NA	NA	NA
PRJEB15289	ERR1749441	WGS	302	32866859018	SAMEA4033317	14504243362	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818621	HiSeq X Ten	DN461234K:D7	PAIRED	RANDOM	GENOMIC	Sciaenochromis_benthicola	ILLUMINA	2016-12-07T00:00:00Z	d80fcb30-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	Sciaenochromis benthicola	NA	NA	NA
PRJEB15289	ERR1749443	WGS	302	30707657772	SAMEA4032125	13233686496	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818623	HiSeq X Ten	DN461234K:G7	PAIRED	RANDOM	GENOMIC	Diplotaxodon_apogon	ILLUMINA	2016-12-07T00:00:00Z	d82b1b60-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	Diplotaxodon apogon	NA	NA	NA
PRJEB15289	ERR1749444	WGS	302	30006442764	SAMEA4032126	12925145613	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818624	HiSeq X Ten	DN461234K:C8	PAIRED	RANDOM	GENOMIC	Rhamphochromis_woodi	ILLUMINA	2016-12-07T00:00:00Z	d85363e0-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	Rhamphochromis woodi	NA	NA	NA
PRJEB15289	ERR1749447	WGS	302	30585139694	SAMEA4033321	13236139656	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818627	HiSeq X Ten	DN461234K:F8	PAIRED	RANDOM	GENOMIC	Pseudotropheus_fainzilberi	ILLUMINA	2016-12-07T00:00:00Z	d86fc580-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	Maylandia fainzilberi	NA	NA	NA
PRJEB15289	ERR1749449	WGS	302	33650461136	SAMEA4033322	14290512561	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818629	HiSeq X Ten	DN461234K:H8	PAIRED	RANDOM	GENOMIC	Pseudotropheus_fainzilberi	ILLUMINA	2016-12-07T00:00:00Z	d8857060-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	Maylandia fainzilberi	NA	NA	NA
PRJEB15289	ERR1749450	WGS	302	33599677118	SAMEA4032129	14105204654	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818630	HiSeq X Ten	DN461234K:A9	PAIRED	RANDOM	GENOMIC	Pseudotropheus_fainzilberi	ILLUMINA	2016-12-07T00:00:00Z	d8901ec0-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	Maylandia fainzilberi	NA	NA	NA
PRJEB15289	ERR1749452	WGS	302	33059341738	SAMEA4032131	14269942061	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818632	HiSeq X Ten	DN461234K:A10	PAIRED	RANDOM	GENOMIC	Copadichromis_virginalis	ILLUMINA	2016-12-07T00:00:00Z	d8e124f0-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	Copadichromis virginalis	NA	NA	NA
PRJEB15289	ERR1749454	WGS	302	31532999310	SAMEA4032132	13546423829	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818634	HiSeq X Ten	DN461234K:C10	PAIRED	RANDOM	GENOMIC	Copadichromis_virginalis	ILLUMINA	2016-12-07T00:00:00Z	d901a540-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	Copadichromis virginalis	NA	NA	NA
PRJEB15289	ERR1749456	WGS	302	26016037942	SAMEA4033326	11418217491	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818636	HiSeq X Ten	DN461234K:E10	PAIRED	RANDOM	GENOMIC	Copadichromis_virginalis	ILLUMINA	2016-12-07T00:00:00Z	d9320410-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	Copadichromis virginalis	NA	NA	NA
PRJEB15289	ERR1749458	WGS	302	42197589636	SAMEA4033327	18584476287	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818638	HiSeq X Ten	DN461234K:A11	PAIRED	RANDOM	GENOMIC	Lethrinops_gossei	ILLUMINA	2016-12-07T00:00:00Z	d96214c0-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	Lethrinops gossei	NA	NA	NA
PRJEB15289	ERR1749461	WGS	302	31586387172	SAMEA4032043	13900297697	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818641	HiSeq X Ten	DN461233J:E3	PAIRED	RANDOM	GENOMIC	Trematocranus_placodon	ILLUMINA	2016-12-07T00:00:00Z	ca4f7040-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	Trematocranus placodon	NA	NA	NA
PRJEB15289	ERR1749463	WGS	302	31255445908	SAMEA4032044	13683398702	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818643	HiSeq X Ten	DN461233J:G3	PAIRED	RANDOM	GENOMIC	Trematocranus_placodon	ILLUMINA	2016-12-07T00:00:00Z	ca60fc70-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	Trematocranus placodon	NA	NA	NA
PRJEB15289	ERR1749465	WGS	302	30103416474	SAMEA4032045	13323762883	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1818645	HiSeq X Ten	DN461233J:A4	PAIRED	RANDOM	GENOMIC	Trematocranus_placodon	ILLUMINA	2016-12-07T00:00:00Z	ca745d60-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-06	2018-11-16	2016-12-06	2019-07-23	NA	NA	NA	NA	NA	NA	Trematocranus placodon	NA	NA	NA
