Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	sample_name	ENA-FIRST-PUBLIC (run)	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE (run)	ENA-LAST-UPDATE	External_Id	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	Submitter_Id	common_name	lat_lon	collected_by	tissue_type	geographic_location_(region_and_locality)
ERR3457568	WGS	200	41486163200	PRJEB33706	SAMEA5816981	19604028529	EVOLUTIONARY BIOLOGY CENTRE, UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX3479363	Illumina HiSeq 2000	1003	PAIRED	RANDOM	GENOMIC	Corvus_moneduloides	ILLUMINA	2019-10-02T00:00:00Z	SAMEA5816981	ERP116519	female	NC3	2019-09-25	2019-09-25	2019-07-30	2019-07-29	SAMEA5816981	Evolutionary Biology Centre\, Uppsala University	Evolutionary Biology Centre\, Uppsala University	2019-09-25T04:46:35Z	2019-07-29T13:08:34Z	public	NC3	New Caledonian crow	NA	Gavin Hunt\, stored at Department of Anatomy\, University of Otago	blood	New Caledonia\, Mar?
ERR3457569	WGS	200	30372771800	PRJEB33706	SAMEA5816981	13292222706	EVOLUTIONARY BIOLOGY CENTRE, UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX3479364	Illumina HiSeq 2000	1004	PAIRED	RANDOM	GENOMIC	Corvus_moneduloides	ILLUMINA	2019-10-02T00:00:00Z	SAMEA5816981	ERP116519	female	NC3	2019-09-25	2019-09-25	2019-07-30	2019-07-29	SAMEA5816981	Evolutionary Biology Centre\, Uppsala University	Evolutionary Biology Centre\, Uppsala University	2019-09-25T04:46:35Z	2019-07-29T13:08:34Z	public	NC3	New Caledonian crow	NA	Gavin Hunt\, stored at Department of Anatomy\, University of Otago	blood	New Caledonia\, Mar?
ERR3457570	WGS	200	5922695800	PRJEB33706	SAMEA5816982	2752089888	EVOLUTIONARY BIOLOGY CENTRE, UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX3479365	Illumina HiSeq 2000	1007	PAIRED	RANDOM	GENOMIC	Corvus_moneduloides	ILLUMINA	2019-10-02T00:00:00Z	SAMEA5816982	ERP116519	missing	NC5	2019-09-25	2019-09-25	2019-07-30	2019-07-29	SAMEA5816982	Evolutionary Biology Centre\, Uppsala University	Evolutionary Biology Centre\, Uppsala University	2019-09-25T04:46:35Z	2019-07-29T13:08:34Z	public	NC5	New Caledonian crow	NA	Gavin Hunt\, stored at Department of Anatomy\, University of Otago	blood	New Caledonia\, Mar?
ERR3457571	WGS	200	5492369800	PRJEB33706	SAMEA5816982	2545726464	EVOLUTIONARY BIOLOGY CENTRE, UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX3479366	Illumina HiSeq 2000	1008	PAIRED	RANDOM	GENOMIC	Corvus_moneduloides	ILLUMINA	2019-10-02T00:00:00Z	SAMEA5816982	ERP116519	missing	NC5	2019-09-25	2019-09-25	2019-07-30	2019-07-29	SAMEA5816982	Evolutionary Biology Centre\, Uppsala University	Evolutionary Biology Centre\, Uppsala University	2019-09-25T04:46:35Z	2019-07-29T13:08:34Z	public	NC5	New Caledonian crow	NA	Gavin Hunt\, stored at Department of Anatomy\, University of Otago	blood	New Caledonia\, Mar?
ERR3457572	WGS	200	4426585200	PRJEB33706	SAMEA5816983	2053047236	EVOLUTIONARY BIOLOGY CENTRE, UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX3479367	Illumina HiSeq 2000	1009	PAIRED	RANDOM	GENOMIC	Corvus_moneduloides	ILLUMINA	2019-10-02T00:00:00Z	SAMEA5816983	ERP116519	missing	NC6	2019-09-25	2019-09-25	2019-07-30	2019-07-29	SAMEA5816983	Evolutionary Biology Centre\, Uppsala University	Evolutionary Biology Centre\, Uppsala University	2019-09-25T04:46:35Z	2019-07-29T13:08:34Z	public	NC6	New Caledonian crow	NA	Gavin Hunt\, stored at Department of Anatomy\, University of Otago	blood	New Caledonia\, Mar?
ERR3457573	WGS	200	4129893200	PRJEB33706	SAMEA5816983	1908876238	EVOLUTIONARY BIOLOGY CENTRE, UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX3479368	Illumina HiSeq 2000	1010	PAIRED	RANDOM	GENOMIC	Corvus_moneduloides	ILLUMINA	2019-10-02T00:00:00Z	SAMEA5816983	ERP116519	missing	NC6	2019-09-25	2019-09-25	2019-07-30	2019-07-29	SAMEA5816983	Evolutionary Biology Centre\, Uppsala University	Evolutionary Biology Centre\, Uppsala University	2019-09-25T04:46:35Z	2019-07-29T13:08:34Z	public	NC6	New Caledonian crow	NA	Gavin Hunt\, stored at Department of Anatomy\, University of Otago	blood	New Caledonia\, Mar?
ERR3457574	WGS	200	3319329200	PRJEB33706	SAMEA5816984	1535051194	EVOLUTIONARY BIOLOGY CENTRE, UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX3479369	Illumina HiSeq 2000	1011	PAIRED	RANDOM	GENOMIC	Corvus_moneduloides	ILLUMINA	2019-10-02T00:00:00Z	SAMEA5816984	ERP116519	missing	NC8	2019-09-25	2019-09-25	2019-07-30	2019-07-29	SAMEA5816984	Evolutionary Biology Centre\, Uppsala University	Evolutionary Biology Centre\, Uppsala University	2019-09-25T04:46:35Z	2019-07-29T13:08:34Z	public	NC8	New Caledonian crow	NA	Gavin Hunt\, stored at Department of Anatomy\, University of Otago	blood	New Caledonia\, Mar?
ERR3457575	WGS	200	3181842600	PRJEB33706	SAMEA5816984	1473194089	EVOLUTIONARY BIOLOGY CENTRE, UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX3479370	Illumina HiSeq 2000	1012	PAIRED	RANDOM	GENOMIC	Corvus_moneduloides	ILLUMINA	2019-10-02T00:00:00Z	SAMEA5816984	ERP116519	missing	NC8	2019-09-25	2019-09-25	2019-07-30	2019-07-29	SAMEA5816984	Evolutionary Biology Centre\, Uppsala University	Evolutionary Biology Centre\, Uppsala University	2019-09-25T04:46:35Z	2019-07-29T13:08:34Z	public	NC8	New Caledonian crow	NA	Gavin Hunt\, stored at Department of Anatomy\, University of Otago	blood	New Caledonia\, Mar?
ERR3457576	WGS	250	7538123250	PRJEB33706	SAMEA5816985	2819706223	EVOLUTIONARY BIOLOGY CENTRE, UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX3479371	Illumina HiSeq 2000	1031	PAIRED	RANDOM	GENOMIC	Corvus_splendens	ILLUMINA	2019-10-02T00:00:00Z	SAMEA5816985	ERP116519	male	PJG222	2019-09-25	2019-09-25	2019-07-30	2019-07-29	SAMEA5816985	Evolutionary Biology Centre\, Uppsala University	Evolutionary Biology Centre\, Uppsala University	2019-09-25T04:46:35Z	2019-07-29T13:08:34Z	public	PJG222	House crow	1.3188893 N 103.8512346 E	Burke Museum of Natural History and Culture\, museum ID UWBM 64938\, tissue number PJG 222	tissue (wing)	Singapore
ERR3457577	WGS	250	7510339250	PRJEB33706	SAMEA5816985	2796747016	EVOLUTIONARY BIOLOGY CENTRE, UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX3479372	Illumina HiSeq 2000	1032	PAIRED	RANDOM	GENOMIC	Corvus_splendens	ILLUMINA	2019-10-02T00:00:00Z	SAMEA5816985	ERP116519	male	PJG222	2019-09-25	2019-09-25	2019-07-30	2019-07-29	SAMEA5816985	Evolutionary Biology Centre\, Uppsala University	Evolutionary Biology Centre\, Uppsala University	2019-09-25T04:46:35Z	2019-07-29T13:08:34Z	public	PJG222	House crow	1.3188893 N 103.8512346 E	Burke Museum of Natural History and Culture\, museum ID UWBM 64938\, tissue number PJG 222	tissue (wing)	Singapore
