BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Isolate	Ecotype	Biomaterial_provider	Collection_date	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	lat_lon	Sample_Name	Strain	Breed	Cultivar	Submitter_Id	project_name	isol_growth_condt	estimated_size	num_replicons	ploidy	propagation	ref_biomaterial	env_biome	env_feature	env_material	PHENOTYPE	Individual
PRJDB9016	DRR198835	WGS	302	6226085152	SAMD00195031	2632544562	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX189252	HiSeq X Ten	library_SAMD00195031	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2020-08-31T00:00:00Z	SAMD00195031	DRP006468	MIGS.eu	missing	missing	missing	NA	missing	Japan	Asia	Japan:Hokkaido\, Tokotan River	missing	tokotan06_03	missing	missing	NA	missing	missing	missing	missing	missing	Whole genome re-sequences of Japanese Tokotan stickleback populations	NA	NA	missing	missing	missing	missing	missing
PRJDB9016	DRR198848	WGS	302	8118780156	SAMD00195044	3455626167	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX189265	HiSeq X Ten	library_SAMD00195044	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2020-08-31T00:00:00Z	SAMD00195044	DRP006468	MIGS.eu	missing	missing	missing	NA	missing	Japan	Asia	Japan:Hokkaido\, Tokotan River	missing	tokotan06_22	missing	missing	NA	missing	missing	missing	missing	missing	Whole genome re-sequences of Japanese Tokotan stickleback populations	NA	NA	missing	missing	missing	missing	missing
PRJDB9016	DRR198851	WGS	302	7595583880	SAMD00195047	3000761931	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX189268	HiSeq X Ten	library_SAMD00195047	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2020-08-31T00:00:00Z	SAMD00195047	DRP006468	MIGS.eu	missing	missing	missing	NA	missing	Japan	Asia	Japan:Hokkaido\, Tokotan River	missing	tokotan06_29	missing	missing	NA	missing	missing	missing	missing	missing	Whole genome re-sequences of Japanese Tokotan stickleback populations	NA	NA	missing	missing	missing	missing	missing
PRJDB9016	DRR198836	WGS	302	5936957600	SAMD00195032	2481891655	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX189253	HiSeq X Ten	library_SAMD00195032	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2020-08-31T00:00:00Z	SAMD00195032	DRP006468	MIGS.eu	missing	missing	missing	NA	missing	Japan	Asia	Japan:Hokkaido\, Tokotan River	missing	tokotan06_04	missing	missing	NA	missing	missing	missing	missing	missing	Whole genome re-sequences of Japanese Tokotan stickleback populations	NA	NA	missing	missing	missing	missing	missing
PRJDB9016	DRR198838	WGS	302	7779572246	SAMD00195034	3417391792	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX189255	HiSeq X Ten	library_SAMD00195034	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2020-08-31T00:00:00Z	SAMD00195034	DRP006468	MIGS.eu	missing	missing	missing	NA	missing	Japan	Asia	Japan:Hokkaido\, Tokotan River	missing	tokotan06_06	missing	missing	NA	missing	missing	missing	missing	missing	Whole genome re-sequences of Japanese Tokotan stickleback populations	NA	NA	missing	missing	missing	missing	missing
PRJDB9016	DRR198841	WGS	302	6508994524	SAMD00195037	2741196637	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX189258	HiSeq X Ten	library_SAMD00195037	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2020-08-31T00:00:00Z	SAMD00195037	DRP006468	MIGS.eu	missing	missing	missing	NA	missing	Japan	Asia	Japan:Hokkaido\, Tokotan River	missing	tokotan06_09	missing	missing	NA	missing	missing	missing	missing	missing	Whole genome re-sequences of Japanese Tokotan stickleback populations	NA	NA	missing	missing	missing	missing	missing
PRJDB9016	DRR198847	WGS	302	7188126386	SAMD00195043	3043696086	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX189264	HiSeq X Ten	library_SAMD00195043	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2020-08-31T00:00:00Z	SAMD00195043	DRP006468	MIGS.eu	missing	missing	missing	NA	missing	Japan	Asia	Japan:Hokkaido\, Tokotan River	missing	tokotan06_21	missing	missing	NA	missing	missing	missing	missing	missing	Whole genome re-sequences of Japanese Tokotan stickleback populations	NA	NA	missing	missing	missing	missing	missing
PRJDB9016	DRR198849	WGS	302	6549336288	SAMD00195045	2736162669	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX189266	HiSeq X Ten	library_SAMD00195045	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2020-08-31T00:00:00Z	SAMD00195045	DRP006468	MIGS.eu	missing	missing	missing	NA	missing	Japan	Asia	Japan:Hokkaido\, Tokotan River	missing	tokotan06_24	missing	missing	NA	missing	missing	missing	missing	missing	Whole genome re-sequences of Japanese Tokotan stickleback populations	NA	NA	missing	missing	missing	missing	missing
PRJDB9016	DRR198842	WGS	302	7224549398	SAMD00195038	3044607042	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX189259	HiSeq X Ten	library_SAMD00195038	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2020-08-31T00:00:00Z	SAMD00195038	DRP006468	MIGS.eu	missing	missing	missing	NA	missing	Japan	Asia	Japan:Hokkaido\, Tokotan River	missing	tokotan06_13	missing	missing	NA	missing	missing	missing	missing	missing	Whole genome re-sequences of Japanese Tokotan stickleback populations	NA	NA	missing	missing	missing	missing	missing
PRJDB9016	DRR198833	WGS	302	6958927714	SAMD00195029	2935867815	NIG	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	DRX189250	HiSeq X Ten	library_SAMD00195029	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2020-08-31T00:00:00Z	SAMD00195029	DRP006468	MIGS.eu	missing	missing	missing	NA	missing	Japan	Asia	Japan:Hokkaido\, Tokotan River	missing	tokotan06_01	missing	missing	NA	missing	missing	missing	missing	missing	Whole genome re-sequences of Japanese Tokotan stickleback populations	NA	NA	missing	missing	missing	missing	missing
