BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Collection_date	geo_loc_name_country	geo_loc_name_country_continent	lat_lon	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	geographic_location_(country_and/or_sea)	tissue_type	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	Alias	Description	ENA_CHECKLIST
PRJEB5198	ERR407014	WGS	71	2853858450	SAMEA2338560	1574768930	MPI-EVB	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX373375	Illumina HiSeq 2000	NG-5241_4kb.BS21	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2014-03-03T00:00:00Z	SAMEA2338560	ERP004574	male	May-2010	Germany	Europe	54.263617 N 10.040131 E	ERS391867	2014-01-10	2018-11-16	Germany	Muscle tissue	MPI-EVB	Max Planck Institute for Evolutionary Biology\, Ploen\, Germany	2014-01-10T16:33:02Z	2018-03-08T17:04:47Z	public	ERS391867	BS21 River Three-spined stickleback	BS21	BS21 Three-spined stickleback caught during May 2010 in Eider at Schleswig-Holstein\, Germany (54°15'49.02N\,10°2'24.47E). Muscle tissue was used for DNA extraction using a Qiagen DNA Midi kit following the manufacturer's protocol for high molecular weig...	ERC000011
PRJEB5198	ERR407015	WGS	35	1753465730	SAMEA2338549	816526421	MPI-EVB	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX373376	Illumina HiSeq 2000	NG-5241_4kb.BS22	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2014-03-02T00:00:00Z	SAMEA2338549	ERP004574	male	May-2010	Germany	Europe	54.283867 N 9.948808 E	ERS391921	2014-01-10	2018-11-16	Germany	Muscle tissue	MPI-EVB	Max Planck Institute for Evolutionary Biology\, Ploen\, Germany	2014-01-10T16:33:02Z	2018-03-08T17:04:59Z	public	ERS391921	BS22 Lake Three-spined stickleback	BS22	BS22 Three-spined stickleback caught during May 2010 in Westensee at Schleswig-Holstein\, Germany (54°17'1.92N\,9°56'55.71E). Muscle tissue was used for DNA extraction using a Qiagen DNA Midi kit following the manufacturer's protocol for high molecular w...	ERC000011
PRJEB5198	ERR407016	WGS	71	2683536280	SAMEA2338581	1434480141	MPI-EVB	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX373377	Illumina HiSeq 2000	NG-5241_4kb.BS23	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2014-03-03T00:00:00Z	SAMEA2338581	ERP004574	female	May-2010	Germany	Europe	54.263617 N 10.040131 E	ERS391868	2014-01-10	2018-11-16	Germany	Muscle tissue	MPI-EVB	Max Planck Institute for Evolutionary Biology\, Ploen\, Germany	2014-01-10T16:33:02Z	2018-03-08T17:04:47Z	public	ERS391868	BS23 River Three-spined stickleback	BS23	BS23 Three-spined stickleback caught during May 2010 in Eider at Schleswig-Holstein\, Germany (54°15'49.02N\,10°2'24.47E). Muscle tissue was used for DNA extraction using a Qiagen DNA Midi kit following the manufacturer's protocol for high molecular weig...	ERC000011
PRJEB5198	ERR407017	WGS	35	1668003786	SAMEA2338567	762239301	MPI-EVB	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX373378	Illumina HiSeq 2000	NG-5241_4kb.BS24	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2014-03-02T00:00:00Z	SAMEA2338567	ERP004574	female	May-2010	Germany	Europe	54.283867 N 9.948808 E	ERS391922	2014-01-10	2018-11-16	Germany	Muscle tissue	MPI-EVB	Max Planck Institute for Evolutionary Biology\, Ploen\, Germany	2014-01-10T16:33:02Z	2018-03-08T17:04:59Z	public	ERS391922	BS24 Lake Three-spined stickleback	BS24	BS24 Three-spined stickleback caught during May 2010 in Westensee at Schleswig-Holstein\, Germany (54°17'1.92N\,9°56'55.71E). Muscle tissue was used for DNA extraction using a Qiagen DNA Midi kit following the manufacturer's protocol for high molecular w...	ERC000011
PRJEB5198	ERR407018	WGS	35	1903257470	SAMEA1523621	893382878	MPI-EVB	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX373379	Illumina HiSeq 2000	NG-5241_4kb.BS25	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2014-03-02T00:00:00Z	SAMEA1523621	ERP004574	missing	NA	NA	NA	NA	ERS123916	2014-01-10	2018-11-16	NA	NA	MPI-EVB	Max Planck Institute for Evolutionary Biology\, Ploen\, Germany	2012-10-01T17:06:41Z	2018-03-08T15:42:36Z	public	ERS123916	BS25 Marine Three-spined stickleback	BS25	BS25 Three-spined stickleback caught in September 2010 from Lemvig in Limfjord\, Denmark in the North Sea (56??36'9.19N\, 8??18'1.94E). Muscle tissue was used for DNA extraction using a Qiagen DNA Midi kit following the manufacturer's protocol for high m...	NA
PRJEB5198	ERR407019	WGS	79	2136089794	SAMEA1523618	1082979733	MPI-EVB	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX373380	Illumina HiSeq 2000	NG-5241_4kb.BS26	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2014-03-02T00:00:00Z	SAMEA1523618	ERP004574	missing	NA	NA	NA	NA	ERS123917	2014-01-10	2018-11-16	NA	NA	MPI-EVB	Max Planck Institute for Evolutionary Biology\, Ploen\, Germany	2012-10-01T17:06:41Z	2018-03-08T15:42:36Z	public	ERS123917	BS26 Marine Three-spined stickleback	BS26	BS26 Three-spined stickleback caught in September 2010 from Lemvig in Limfjord\, Denmark in the North Sea (56??36'9.19N\, 8??18'1.94E). Muscle tissue was used for DNA extraction using a Qiagen DNA Midi kit following the manufacturer's protocol for high m...	NA
PRJEB5198	ERR407021	WGS	79	2613700780	SAMEA1523619	1385948995	MPI-EVB	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX373382	Illumina HiSeq 2000	NG-5241_4kb.BS28	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2014-03-03T00:00:00Z	SAMEA1523619	ERP004574	missing	NA	NA	NA	NA	ERS123919	2014-01-10	2018-11-16	NA	NA	MPI-EVB	Max Planck Institute for Evolutionary Biology\, Ploen\, Germany	2012-10-01T17:06:41Z	2018-03-08T15:42:36Z	public	ERS123919	BS28 Marine Three-spined stickleback	BS28	BS28 Three-spined stickleback caught in September 2010 from Lemvig in Limfjord\, Denmark in the North Sea (56??36'9.19N\, 8??18'1.94E). Muscle tissue was used for DNA extraction using a Qiagen DNA Midi kit following the manufacturer's protocol for high m...	NA
PRJEB5198	ERR407022	WGS	79	2615701520	SAMEA1523623	1377860954	MPI-EVB	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX373383	Illumina HiSeq 2000	NG-5241_4kb.BS29	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2014-03-03T00:00:00Z	SAMEA1523623	ERP004574	missing	NA	NA	NA	NA	ERS123920	2014-01-10	2018-11-16	NA	NA	MPI-EVB	Max Planck Institute for Evolutionary Biology\, Ploen\, Germany	2012-10-01T17:06:41Z	2018-03-08T15:42:36Z	public	ERS123920	BS29 Marine Three-spined stickleback	BS29	BS29 Three-spined stickleback caught in September 2010 from Lemvig in Limfjord\, Denmark in the North Sea (56??36'9.19N\, 8??18'1.94E). Muscle tissue was used for DNA extraction using a Qiagen DNA Midi kit following the manufacturer's protocol for high m...	NA
PRJEB5198	ERR407023	WGS	101	8149998589	SAMEA2338598	5197595762	MPI-EVB	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX373384	Illumina HiSeq 2000	NG-5241_4kb.BS2	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2014-03-03T00:00:00Z	SAMEA2338598	ERP004574	female	May-2010	Germany	Europe	54.156003 N 10.430144 E	ERS391869	2014-01-10	2018-11-16	Germany	Muscle tissue	MPI-EVB	Max Planck Institute for Evolutionary Biology\, Ploen\, Germany	2014-01-10T16:33:02Z	2018-03-08T17:04:47Z	public	ERS391869	BS2 Lake Three-spined stickleback	BS2	BS2 Three-spined stickleback caught during May 2010 in Grosser Ploener See at Schleswig-Holstein\, Germany (54°9'21.61N\,10°25'48.52E). Muscle tissue was used for DNA extraction using a Qiagen DNA Midi kit following the manufacturer's protocol for high m...	ERC000011
PRJEB5198	ERR407024	WGS	101	7465839147	SAMEA1523620	4649055076	MPI-EVB	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX373385	Illumina HiSeq 2000	NG-5241_4kb.BS30	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2014-03-03T00:00:00Z	SAMEA1523620	ERP004574	missing	NA	NA	NA	NA	ERS123921	2014-01-10	2018-11-16	NA	NA	MPI-EVB	Max Planck Institute for Evolutionary Biology\, Ploen\, Germany	2012-10-01T17:06:41Z	2018-03-08T15:42:36Z	public	ERS123921	BS30 Marine Three-spined stickleback	BS30	BS30 Three-spined stickleback caught in September 2010 from Lemvig in Limfjord\, Denmark in the North Sea (56??36'9.19N\, 8??18'1.94E). Muscle tissue was used for DNA extraction using a Qiagen DNA Midi kit following the manufacturer's protocol for high m...	NA
PRJEB5198	ERR407025	WGS	101	7704660419	SAMEA2338569	4844640539	MPI-EVB	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX373386	Illumina HiSeq 2000	NG-5241_4kb.BS3	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2014-03-03T00:00:00Z	SAMEA2338569	ERP004574	male	May-2010	Germany	Europe	54.204189 N 10.561639 E	ERS391882	2014-01-10	2018-11-16	Germany	Muscle tissue	MPI-EVB	Max Planck Institute for Evolutionary Biology\, Ploen\, Germany	2014-01-10T16:33:02Z	2018-03-08T17:04:48Z	public	ERS391882	BS3 River Three-spined stickleback	BS3	BS3 Three-spined stickleback caught during May 2010 in Malenter Au at Schleswig-Holstein\, Germany (54°12'15.08N\,10°33'41.90E). Muscle tissue was used for DNA extraction using a Qiagen DNA Midi kit following the manufacturer's protocol for high molecula...	ERC000011
PRJEB5198	ERR407026	WGS	101	6350525045	SAMEA2338546	3831300060	MPI-EVB	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX373387	Illumina HiSeq 2000	NG-5241_4kb.BS4	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2014-03-03T00:00:00Z	SAMEA2338546	ERP004574	male	May-2010	Germany	Europe	54.156003 N 10.430144 E	ERS391870	2014-01-10	2018-11-16	Germany	Muscle tissue	MPI-EVB	Max Planck Institute for Evolutionary Biology\, Ploen\, Germany	2014-01-10T16:33:02Z	2018-03-08T17:04:47Z	public	ERS391870	BS4 Lake Three-spined stickleback	BS4	BS4 Three-spined stickleback caught during May 2010 in Grosser Ploener See at Schleswig-Holstein\, Germany (54°9'21.61N\,10°25'48.52E). Muscle tissue was used for DNA extraction using a Qiagen DNA Midi kit following the manufacturer's protocol for high m...	ERC000011
PRJEB5198	ERR407027	WGS	79	1925159598	SAMEA2338559	1024978511	MPI-EVB	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX373388	Illumina HiSeq 2000	NG-5241_4kb.BS5	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2014-03-03T00:00:00Z	SAMEA2338559	ERP004574	male	May-2010	Germany	Europe	54.204189 N 10.561639 E	ERS391883	2014-01-10	2018-11-16	Germany	Muscle tissue	MPI-EVB	Max Planck Institute for Evolutionary Biology\, Ploen\, Germany	2014-01-10T16:33:02Z	2018-03-08T17:04:48Z	public	ERS391883	BS5 River Three-spined stickleback	BS5	BS5 Three-spined stickleback caught during May 2010 in Malenter Au at Schleswig-Holstein\, Germany (54°12'15.08N\,10°33'41.90E). Muscle tissue was used for DNA extraction using a Qiagen DNA Midi kit following the manufacturer's protocol for high molecula...	ERC000011
PRJEB5198	ERR407028	WGS	79	2179160590	SAMEA2338594	1160403021	MPI-EVB	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX373389	Illumina HiSeq 2000	NG-5241_4kb.BS6	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2014-03-03T00:00:00Z	SAMEA2338594	ERP004574	male	May-2010	Germany	Europe	54.156003 N 10.430144 E	ERS391871	2014-01-10	2018-11-16	Germany	Muscle tissue	MPI-EVB	Max Planck Institute for Evolutionary Biology\, Ploen\, Germany	2014-01-10T16:33:02Z	2018-03-08T17:04:48Z	public	ERS391871	BS6 Lake Three-spined stickleback	BS6	BS6 Three-spined stickleback caught during May 2010 in Grosser Ploener See at Schleswig-Holstein\, Germany (54°9'21.61N\,10°25'48.52E). Muscle tissue was used for DNA extraction using a Qiagen DNA Midi kit following the manufacturer's protocol for high m...	ERC000011
PRJEB5198	ERR407029	WGS	79	3133436514	SAMEA2338552	1743498906	MPI-EVB	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX373390	Illumina HiSeq 2000	NG-5241_4kb.BS7	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2014-03-03T00:00:00Z	SAMEA2338552	ERP004574	female	May-2010	Germany	Europe	54.204189 N 10.561639 E	ERS391884	2014-01-10	2018-11-16	Germany	Muscle tissue	MPI-EVB	Max Planck Institute for Evolutionary Biology\, Ploen\, Germany	2014-01-10T16:33:02Z	2018-03-08T17:04:48Z	public	ERS391884	BS7 River Three-spined stickleback	BS7	BS7 Three-spined stickleback caught during May 2010 in Malenter Au at Schleswig-Holstein\, Germany (54°12'15.08N\,10°33'41.90E). Muscle tissue was used for DNA extraction using a Qiagen DNA Midi kit following the manufacturer's protocol for high molecula...	ERC000011
PRJEB5198	ERR407030	WGS	35	2329915788	SAMEA2338579	1157883638	MPI-EVB	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX373391	Illumina HiSeq 2000	NG-5241_4kb.BS8	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2014-03-03T00:00:00Z	SAMEA2338579	ERP004574	female	May-2010	Germany	Europe	54.156003 N 10.430144 E	ERS391872	2014-01-10	2018-11-16	Germany	Muscle tissue	MPI-EVB	Max Planck Institute for Evolutionary Biology\, Ploen\, Germany	2014-01-10T16:33:02Z	2018-03-08T17:04:48Z	public	ERS391872	BS8 Lake Three-spined stickleback	BS8	BS8 Three-spined stickleback caught during May 2010 in Grosser Ploener See at Schleswig-Holstein\, Germany (54°9'21.61N\,10°25'48.52E). Muscle tissue was used for DNA extraction using a Qiagen DNA Midi kit following the manufacturer's protocol for high m...	ERC000011
PRJEB5198	ERR407031	WGS	35	2507931390	SAMEA2338593	1256204009	MPI-EVB	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX373392	Illumina HiSeq 2000	NG-5241_4kb.BS9	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2014-03-03T00:00:00Z	SAMEA2338593	ERP004574	male	May-2010	Germany	Europe	54.204189 N 10.561639 E	ERS391885	2014-01-10	2018-11-16	Germany	Muscle tissue	MPI-EVB	Max Planck Institute for Evolutionary Biology\, Ploen\, Germany	2014-01-10T16:33:02Z	2018-03-08T17:04:48Z	public	ERS391885	BS9 River Three-spined stickleback	BS9	BS9 Three-spined stickleback caught during May 2010 in Malenter Au at Schleswig-Holstein\, Germany (54°12'15.08N\,10°33'41.90E). Muscle tissue was used for DNA extraction using a Qiagen DNA Midi kit following the manufacturer's protocol for high molecula...	ERC000011
PRJEB5198	ERR407032	WGS	192	236819712	SAMEA2338557	157154239	MPI-EVB	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX373393	Illumina HiSeq 2000	NG-5241_STD.BS10	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2014-03-02T00:00:00Z	SAMEA2338557	ERP004574	female	May-2010	Germany	Europe	54.156003 N 10.430144 E	ERS391873	2014-01-10	2018-11-16	Germany	Muscle tissue	MPI-EVB	Max Planck Institute for Evolutionary Biology\, Ploen\, Germany	2014-01-10T16:33:02Z	2018-03-08T17:04:48Z	public	ERS391873	BS10 Lake Three-spined stickleback	BS10	BS10 Three-spined stickleback caught during May 2010 in Grosser Ploener See at Schleswig-Holstein\, Germany (54°9'21.61N\,10°25'48.52E). Muscle tissue was used for DNA extraction using a Qiagen DNA Midi kit following the manufacturer's protocol for high ...	ERC000011
