Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,sex,Collection_Date,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,sub_species,Isolate,BioSampleModel,strain,body_site,Label,pathovar,sample_name,ENA-FIRST-PUBLIC (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Submitter_Id,Age,common_name,BIOMATERIAL_PROVIDER,Cultivar,BREED,lat_lon,tissue,collected_by,Host,tissue_type,Isolation_source,geographic_location_(region_and_locality),Host_disease,geographic_location_(country_and/or_sea),project_name,Individual,passage_history,sample_type,host_description,host_disease_stage,host_tissue_sampled,host_health_state,host_scientific_name,COUNTRY,source_material_ID,actual_read_length (run),center_name (exp),env_biome,env_feature,env_material,environment_(biome),environment_(feature),environment_(material),geographic_location_(latitude),geographic_location_(longitude),Investigation_type,isol_growth_condt,num_replicons,Run (run),sequencing_method,total_bases (run),ref_biomaterial,host-associated_environmental_package,serovar,dev_stage,env_broad_scale,env_local_scale,env_medium,estimated_size,human_gut_environmental_package,locus_tag_prefix,Genotype,Ecotype,ENA_duplicate,store_cond,AssemblyName,attribute_package,biotic_relationship,dangling_references (run),health_disease_stat,host_species,IFSAC+_Category,isolate_name_alias,lab_host,nat-host,ontological_term,pathogenicity,pathotype,ploidy,propagation,provider,samp_collect_device,samp_mat_process,sample_accession (run),sample_same_as,serotype,Source_code,source_type,specific_host,specimen_category,specimen_voucher,trophic_level,uFORGE_Sample_ID,Warwick_ST
SRR866517,WGS,200,3336537800,PRJNA192205,SAMN02143031,2441682925,UPPSALA UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX283200,Illumina Genome Analyzer II,Hooded_crow_S_Up_H32,PAIRED,RANDOM PCR,GENOMIC,Corvus cornix cornix,ILLUMINA,2014-05-29T00:00:00Z,S_Up_H32,SRP022901,male,2010,Sweden,Europe,Sweden: Uppsala,cornix,S_Up_H32,,,,,,,,,,,,,,,,,,,,,,,,,,,blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR866522,WGS,200,4111362600,PRJNA192205,SAMN02143031,3008120322,UPPSALA UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX283200,Illumina Genome Analyzer II,Hooded_crow_S_Up_H32,PAIRED,RANDOM PCR,GENOMIC,Corvus cornix cornix,ILLUMINA,2014-05-29T00:00:00Z,S_Up_H32,SRP022901,male,2010,Sweden,Europe,Sweden: Uppsala,cornix,S_Up_H32,,,,,,,,,,,,,,,,,,,,,,,,,,,blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR866594,WGS,200,3189417400,PRJNA192205,SAMN02143031,2311587970,UPPSALA UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX283200,Illumina Genome Analyzer II,Hooded_crow_S_Up_H32,PAIRED,RANDOM PCR,GENOMIC,Corvus cornix cornix,ILLUMINA,2014-05-29T00:00:00Z,S_Up_H32,SRP022901,male,2010,Sweden,Europe,Sweden: Uppsala,cornix,S_Up_H32,,,,,,,,,,,,,,,,,,,,,,,,,,,blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR866596,WGS,200,3135402000,PRJNA192205,SAMN02143031,2299378717,UPPSALA UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX283200,Illumina Genome Analyzer II,Hooded_crow_S_Up_H32,PAIRED,RANDOM PCR,GENOMIC,Corvus cornix cornix,ILLUMINA,2014-05-29T00:00:00Z,S_Up_H32,SRP022901,male,2010,Sweden,Europe,Sweden: Uppsala,cornix,S_Up_H32,,,,,,,,,,,,,,,,,,,,,,,,,,,blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR866601,WGS,200,4531841600,PRJNA192205,SAMN02143031,3389503919,UPPSALA UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX283200,Illumina Genome Analyzer II,Hooded_crow_S_Up_H32,PAIRED,RANDOM PCR,GENOMIC,Corvus cornix cornix,ILLUMINA,2014-05-29T00:00:00Z,S_Up_H32,SRP022901,male,2010,Sweden,Europe,Sweden: Uppsala,cornix,S_Up_H32,,,,,,,,,,,,,,,,,,,,,,,,,,,blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR866603,WGS,200,4382814000,PRJNA192205,SAMN02143031,3211949706,UPPSALA UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX283200,Illumina Genome Analyzer II,Hooded_crow_S_Up_H32,PAIRED,RANDOM PCR,GENOMIC,Corvus cornix cornix,ILLUMINA,2014-05-29T00:00:00Z,S_Up_H32,SRP022901,male,2010,Sweden,Europe,Sweden: Uppsala,cornix,S_Up_H32,,,,,,,,,,,,,,,,,,,,,,,,,,,blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR866903,WGS,100,3321117900,PRJNA192205,SAMN02143031,2369285160,UPPSALA UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX286211,Illumina Genome Analyzer II,Hooded_crow_S_Up_H32_3kb,PAIRED,RANDOM PCR,GENOMIC,Corvus cornix cornix,ILLUMINA,2014-05-30T00:00:00Z,S_Up_H32,SRP022901,male,2010,Sweden,Europe,Sweden: Uppsala,cornix,S_Up_H32,,,,,,,,,,,,,,,,,,,,,,,,,,,blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR862083,WGS,200,4959310600,PRJNA192205,SAMN02143031,3650464824,UPPSALA UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX283200,Illumina Genome Analyzer II,Hooded_crow_S_Up_H32,PAIRED,RANDOM PCR,GENOMIC,Corvus cornix cornix,ILLUMINA,2014-05-29T00:00:00Z,S_Up_H32,SRP022901,male,2010,Sweden,Europe,Sweden: Uppsala,cornix,S_Up_H32,,,,,,,,,,,,,,,,,,,,,,,,,,,blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR863616,WGS,200,5111921400,PRJNA192205,SAMN02143031,3761673663,UPPSALA UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX283200,Illumina Genome Analyzer II,Hooded_crow_S_Up_H32,PAIRED,RANDOM PCR,GENOMIC,Corvus cornix cornix,ILLUMINA,2014-05-29T00:00:00Z,S_Up_H32,SRP022901,male,2010,Sweden,Europe,Sweden: Uppsala,cornix,S_Up_H32,,,,,,,,,,,,,,,,,,,,,,,,,,,blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR866512,WGS,200,4844300000,PRJNA192205,SAMN02143031,3549764568,UPPSALA UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX283200,Illumina Genome Analyzer II,Hooded_crow_S_Up_H32,PAIRED,RANDOM PCR,GENOMIC,Corvus cornix cornix,ILLUMINA,2014-05-29T00:00:00Z,S_Up_H32,SRP022901,male,2010,Sweden,Europe,Sweden: Uppsala,cornix,S_Up_H32,,,,,,,,,,,,,,,,,,,,,,,,,,,blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR866516,WGS,200,3444084400,PRJNA192205,SAMN02143031,2572604093,UPPSALA UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX283200,Illumina Genome Analyzer II,Hooded_crow_S_Up_H32,PAIRED,RANDOM PCR,GENOMIC,Corvus cornix cornix,ILLUMINA,2014-05-29T00:00:00Z,S_Up_H32,SRP022901,male,2010,Sweden,Europe,Sweden: Uppsala,cornix,S_Up_H32,,,,,,,,,,,,,,,,,,,,,,,,,,,blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR866520,WGS,200,4323658200,PRJNA192205,SAMN02143031,3177372737,UPPSALA UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX283200,Illumina Genome Analyzer II,Hooded_crow_S_Up_H32,PAIRED,RANDOM PCR,GENOMIC,Corvus cornix cornix,ILLUMINA,2014-05-29T00:00:00Z,S_Up_H32,SRP022901,male,2010,Sweden,Europe,Sweden: Uppsala,cornix,S_Up_H32,,,,,,,,,,,,,,,,,,,,,,,,,,,blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR866521,WGS,200,4247240200,PRJNA192205,SAMN02143031,3169599218,UPPSALA UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX283200,Illumina Genome Analyzer II,Hooded_crow_S_Up_H32,PAIRED,RANDOM PCR,GENOMIC,Corvus cornix cornix,ILLUMINA,2014-05-29T00:00:00Z,S_Up_H32,SRP022901,male,2010,Sweden,Europe,Sweden: Uppsala,cornix,S_Up_H32,,,,,,,,,,,,,,,,,,,,,,,,,,,blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR866523,WGS,200,4426906400,PRJNA192205,SAMN02143031,3254593896,UPPSALA UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX283200,Illumina Genome Analyzer II,Hooded_crow_S_Up_H32,PAIRED,RANDOM PCR,GENOMIC,Corvus cornix cornix,ILLUMINA,2014-05-29T00:00:00Z,S_Up_H32,SRP022901,male,2010,Sweden,Europe,Sweden: Uppsala,cornix,S_Up_H32,,,,,,,,,,,,,,,,,,,,,,,,,,,blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR866524,WGS,200,4575670600,PRJNA192205,SAMN02143031,3366478984,UPPSALA UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX283200,Illumina Genome Analyzer II,Hooded_crow_S_Up_H32,PAIRED,RANDOM PCR,GENOMIC,Corvus cornix cornix,ILLUMINA,2014-05-29T00:00:00Z,S_Up_H32,SRP022901,male,2010,Sweden,Europe,Sweden: Uppsala,cornix,S_Up_H32,,,,,,,,,,,,,,,,,,,,,,,,,,,blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR866526,WGS,200,4494802000,PRJNA192205,SAMN02143031,3357803341,UPPSALA UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX283200,Illumina Genome Analyzer II,Hooded_crow_S_Up_H32,PAIRED,RANDOM PCR,GENOMIC,Corvus cornix cornix,ILLUMINA,2014-05-29T00:00:00Z,S_Up_H32,SRP022901,male,2010,Sweden,Europe,Sweden: Uppsala,cornix,S_Up_H32,,,,,,,,,,,,,,,,,,,,,,,,,,,blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR866528,WGS,200,3208484200,PRJNA192205,SAMN02143031,2363041801,UPPSALA UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX283200,Illumina Genome Analyzer II,Hooded_crow_S_Up_H32,PAIRED,RANDOM PCR,GENOMIC,Corvus cornix cornix,ILLUMINA,2014-05-29T00:00:00Z,S_Up_H32,SRP022901,male,2010,Sweden,Europe,Sweden: Uppsala,cornix,S_Up_H32,,,,,,,,,,,,,,,,,,,,,,,,,,,blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR866595,WGS,200,3254168800,PRJNA192205,SAMN02143031,2435081022,UPPSALA UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX283200,Illumina Genome Analyzer II,Hooded_crow_S_Up_H32,PAIRED,RANDOM PCR,GENOMIC,Corvus cornix cornix,ILLUMINA,2014-05-29T00:00:00Z,S_Up_H32,SRP022901,male,2010,Sweden,Europe,Sweden: Uppsala,cornix,S_Up_H32,,,,,,,,,,,,,,,,,,,,,,,,,,,blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR866599,WGS,200,4472493000,PRJNA192205,SAMN02143031,3242166786,UPPSALA UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX283200,Illumina Genome Analyzer II,Hooded_crow_S_Up_H32,PAIRED,RANDOM PCR,GENOMIC,Corvus cornix cornix,ILLUMINA,2014-05-29T00:00:00Z,S_Up_H32,SRP022901,male,2010,Sweden,Europe,Sweden: Uppsala,cornix,S_Up_H32,,,,,,,,,,,,,,,,,,,,,,,,,,,blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR867100,WGA,98,5198966150,PRJNA192205,SAMN02143031,3506077853,UPPSALA UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX286214,Illumina Genome Analyzer II,Hooded_crow_S_Up_H32_2kb,PAIRED,RANDOM PCR,GENOMIC,Corvus cornix cornix,ILLUMINA,2014-05-30T00:00:00Z,S_Up_H32,SRP022901,male,2010,Sweden,Europe,Sweden: Uppsala,cornix,S_Up_H32,,,,,,,,,,,,,,,,,,,,,,,,,,,blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR867101,WGA,98,10645729906,PRJNA192205,SAMN02143031,7492997410,UPPSALA UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX286214,Illumina Genome Analyzer II,Hooded_crow_S_Up_H32_2kb,PAIRED,RANDOM PCR,GENOMIC,Corvus cornix cornix,ILLUMINA,2014-05-30T00:00:00Z,S_Up_H32,SRP022901,male,2010,Sweden,Europe,Sweden: Uppsala,cornix,S_Up_H32,,,,,,,,,,,,,,,,,,,,,,,,,,,blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR867102,WGA,98,5389076056,PRJNA192205,SAMN02143031,3488077648,UPPSALA UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX286214,Illumina Genome Analyzer II,Hooded_crow_S_Up_H32_2kb,PAIRED,RANDOM PCR,GENOMIC,Corvus cornix cornix,ILLUMINA,2014-05-30T00:00:00Z,S_Up_H32,SRP022901,male,2010,Sweden,Europe,Sweden: Uppsala,cornix,S_Up_H32,,,,,,,,,,,,,,,,,,,,,,,,,,,blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR867103,WGA,98,5398320592,PRJNA192205,SAMN02143031,3501842056,UPPSALA UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX286214,Illumina Genome Analyzer II,Hooded_crow_S_Up_H32_2kb,PAIRED,RANDOM PCR,GENOMIC,Corvus cornix cornix,ILLUMINA,2014-05-30T00:00:00Z,S_Up_H32,SRP022901,male,2010,Sweden,Europe,Sweden: Uppsala,cornix,S_Up_H32,,,,,,,,,,,,,,,,,,,,,,,,,,,blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR867104,WGA,98,3290783944,PRJNA192205,SAMN02143031,2213716577,UPPSALA UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX286214,Illumina Genome Analyzer II,Hooded_crow_S_Up_H32_2kb,PAIRED,RANDOM PCR,GENOMIC,Corvus cornix cornix,ILLUMINA,2014-05-30T00:00:00Z,S_Up_H32,SRP022901,male,2010,Sweden,Europe,Sweden: Uppsala,cornix,S_Up_H32,,,,,,,,,,,,,,,,,,,,,,,,,,,blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
