Order,species,link to sample sheet,notes,paper,cov_params,Clade,mapped_genome,genome_annotated,Ingroup or Outgroup,Notes,Available_Outgroups,Old_Outgroups,On_NCBI,Outgroup Pub
26,Clupea harengus,[sample sheet](https://github.com/sjswuitchik/compPopGen_ms/blob/master/SRA/cleaned-metadata/Clupea_harengus_sample_metadata.csv),-,"[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7738190/), [PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5410801/), [PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5524536/)","low coverage (most samples around 10x, a few much higher)",Fish,Clupea_harengus,Yes,Ingroup,,Clupea pallasii,,,
78,Cyprinus carpio,[sample sheet](https://github.com/sjswuitchik/compPopGen_ms/blob/master/SRA/cleaned-metadata/Cyprinus_carpio_sample_metadata.csv),-,ADD,ADD,Fish,Cyprinus_carpio,Yes,Ingroup,,,,Poropuntius huangchuchieni,https://doi.org/10.1073/pnas.2005545117
43,Fundulus heteroclitus,[sample sheet](https://github.com/sjswuitchik/compPopGen_ms/blob/master/SRA/cleaned-metadata/Fundulus_heteroclitus_sample_metadata.csv),,[paper](http://science.sciencemag.org/content/354/6317/1305.full),low coverage (1-7x approx),Fish,Fundulus_heteroclitus,Yes,Ingroup,,,,Xiphophorus_maculatus (GCA_002775205.2),https://pubmed.ncbi.nlm.nih.gov/23542700/
75,Haplochromis burtoni,[sample sheet](https://github.com/sjswuitchik/compPopGen_ms/blob/master/SRA/cleaned-metadata/Haplochromis_burtoni_sample_metadata.csv),,[doi](https://doi.org/10.1101/2021.01.12.426414),high coverage (9.8-24x per paper),Fish,Haplochromis_burtoni,Yes,Ingroup,,"Astatotilapia stappersii, Ctenochromis horei",,,
48,Larimichthys crocea,[sample sheet](https://github.com/sjswuitchik/compPopGen_ms/blob/master/SRA/cleaned-metadata/Larimichthys_crocea_sample_metadata.csv),,[PMC}(https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7645154/),low coverage (7-12x typical),Fish,Larimichthys_crocea,Yes,Ingroup,,,,Larimichthys_polyactis (GCA_018985215.1),https://d197for5662m48.cloudfront.net/documents/publicationstatus/67519/preprint_pdf/8808f2abcf58bc59492accbef5b2a013.pdf
50,Oryzias latipes,[sample sheet](https://github.com/sjswuitchik/compPopGen_ms/blob/master/SRA/cleaned-metadata/Oryzias_latipes_sample_metadata.csv),,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3962483/),low coverage (9x average),Fish,Oryzias_latipes,Yes,Ingroup,,,,Oryzias_celebensis (aka. C. medaka),"Not published yet, but the only option"
82,Poecilia reticulata,[sample sheet](https://github.com/sjswuitchik/compPopGen_ms/blob/master/SRA/cleaned-metadata/Poecilia_reticulata_sample_metadata.csv),all genus in one run,[PMC}(https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6452659/); [PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7643365/); [PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7826173/); [PMC}(https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5290318/),low coverage (variable but often 10x or lower),Fish,Poecilia_reticulata,Yes,Ingroup,,Poecilia_formosa,,,
55,Pungitius pungitius,[sample sheet](https://github.com/sjswuitchik/compPopGen_ms/blob/master/SRA/cleaned-metadata/Pungitius_pungitius_sample_metadata.csv),all genus in one run,[PMC}(https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4635650/); [paper](https://academic.oup.com/mbe/article/36/1/28/5112968),low coverage (7-9x),Fish,Pungitius_pungitius,Yes,Ingroup,,"Pungitius sinensis, Pungitius tymensis",,,
69,Takifugu rubripes,[sample sheet](https://github.com/sjswuitchik/compPopGen_ms/blob/master/SRA/cleaned-metadata/Takifugu_rubripes_sample_metadata.csv),all of genus in one run,[paper](https://www.researchsquare.com/article/rs-7259/v1),low coverage (average 10x coverage),Fish,Takifugu_rubripes,Yes,Ingroup,,"Takifugu alboplumbeus, Takifugu favidus, Takifugu obscurus",,,
95,Hippocampus comes,[sample sheet](https://github.com/sjswuitchik/compPopGen_ms/blob/master/SRA/cleaned-metadata/Hippocampus_comes_sample_metadata.csv),all species in one genus,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7889852/),high coverage (16x average),Fish,Hippocampus_comes,Yes,Ingroup,,Many Hippocampus species,,,
76,Anolis carolinensis,[sample sheet](https://github.com/sjswuitchik/compPopGen_ms/blob/master/SRA/cleaned-metadata/Anolis_carolinensis_sample_metadata.csv),-,[PMC}(https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6681179/),low coverage (11-12x but use low coverage for consistency with other Anolis),Herp,Anolis_carolinensis,Yes,Ingroup,,"Anolis porcatus, Anolis allisoni",,,
