BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Isolate	Isolation_source	Sample_Name	flowcell_barcode (run)	geographic_location_(country_and/or_sea	instrument_name (run)	lane (run)	material_type (exp)	project (exp)	project (run)	run_barcode (run)	run_name (run)	analysis_type (exp)	analysis_type (run)	region)	sample_type (exp)
PRJNA59571	SRR071599	WGS	202	27888453502	SAMN00117560	16437144719	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX030392	Illumina HiSeq 2000	Solexa-36943	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2010-12-06T00:00:00Z	PRJNA167910.000638D3DF	SRP004172	female	000638D3DF	blood	000638D3DF	205EYABXX	missing	3	Genomic DNA	G1286	G1286	205EYABXX100806	100806_SL-HAP_0061_AFC205EYABXX	Blood	AssemblyWithReference	AssemblyWithReference	SL-HAP	21438
PRJNA59571	SRR071601	WGS	202	6259622662	SAMN00117560	38813631629	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX030394	Illumina Genome Analyzer II	Solexa-20767	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2010-11-05T00:00:00Z	PRJNA167910.000638D3DF	SRP004172	female	000638D3DF	blood	000638D3DF	61H8HAAXX	missing	2	Genomic DNA	G1286	G1286	61H8HAAXX100305	100305_SL-XAK_0006_FC61H8HAAXX	Blood	WGSNoRef	WGSNoRef	SL-XAK	21032
PRJNA59571	SRR071602	WGS	71	3747293877	SAMN00117560	25130994568	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX030395	Illumina Genome Analyzer II	Solexa-25955	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2010-11-05T00:00:00Z	PRJNA167910.000638D3DF	SRP004172	female	000638D3DF	blood	000638D3DF	61MA8AAXX	missing	5	Genomic DNA	G1286	G1286	61MA8AAXX100514	100514_SL-XCM_00004_FC61MA8AAXX	Blood	WGSNoRef	WGSNoRef	SL-XCM	21869
PRJNA59571	SRR071603	WGS	202	28445102074	SAMN00117560	16766852639	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX030396	Illumina HiSeq 2000	Solexa-36940	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2010-12-06T00:00:00Z	PRJNA167910.000638D3DF	SRP004172	female	000638D3DF	blood	000638D3DF	205EYABXX	missing	5	Genomic DNA	G1286	G1286	205EYABXX100806	100806_SL-HAP_0061_AFC205EYABXX	Blood	AssemblyWithReference	AssemblyWithReference	SL-HAP	21438
PRJNA59571	SRR071604	WGS	202	6613438186	SAMN00117560	41317446819	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX030397	Illumina Genome Analyzer II	Solexa-20767	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2010-11-05T00:00:00Z	PRJNA167910.000638D3DF	SRP004172	female	000638D3DF	blood	000638D3DF	61H8HAAXX	missing	8	Genomic DNA	G1286	G1286	61H8HAAXX100305	100305_SL-XAK_0006_FC61H8HAAXX	Blood	WGSNoRef	WGSNoRef	SL-XAK	21032
PRJNA59571	SRR071605	WGS	202	6772000712	SAMN00117560	41780612266	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX030398	Illumina Genome Analyzer II	Solexa-20767	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2010-11-05T00:00:00Z	PRJNA167910.000638D3DF	SRP004172	female	000638D3DF	blood	000638D3DF	61H8HAAXX	missing	4	Genomic DNA	G1286	G1286	61H8HAAXX100305	100305_SL-XAK_0006_FC61H8HAAXX	Blood	WGSNoRef	WGSNoRef	SL-XAK	21032
PRJNA59571	SRR071607	WGS	71	3283431068	SAMN00117560	22017448172	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX030400	Illumina Genome Analyzer II	Solexa-25909	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2010-11-05T00:00:00Z	PRJNA167910.000638D3DF	SRP004172	female	000638D3DF	blood	000638D3DF	61MA8AAXX	missing	2	Genomic DNA	G1286	G1286	61MA8AAXX100514	100514_SL-XCM_00004_FC61MA8AAXX	Blood	WGSNoRef	WGSNoRef	SL-XCM	21869
PRJNA59571	SRR071608	WGS	72	2728017864	SAMN00117560	18148157062	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX030401	Illumina Genome Analyzer II	Solexa-24176	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2010-11-05T00:00:00Z	PRJNA167910.000638D3DF	SRP004172	female	000638D3DF	blood	000638D3DF	613YCAAXX	missing	7	Genomic DNA	G1286	G1286	613YCAAXX100405	100405_SL-XBB_0012_FC613YCAAXX	Blood	AssemblyWithReference	AssemblyWithReference	SL-XBB	21438
PRJNA59571	SRR071610	WGS	202	6543433268	SAMN00117560	40827326814	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX030403	Illumina Genome Analyzer II	Solexa-20767	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2010-11-05T00:00:00Z	PRJNA167910.000638D3DF	SRP004172	female	000638D3DF	blood	000638D3DF	61H8HAAXX	missing	1	Genomic DNA	G1286	G1286	61H8HAAXX100305	100305_SL-XAK_0006_FC61H8HAAXX	Blood	WGSNoRef	WGSNoRef	SL-XAK	21032
PRJNA59571	SRR071611	WGS	152	1744734888	SAMN00117560	964360917	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX030404	Illumina Genome Analyzer II	Solexa-29403	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2010-11-05T00:00:00Z	PRJNA167910.000638D3DF	SRP004172	female	000638D3DF	blood	000638D3DF	61NE9AAXX	missing	6	Genomic DNA	G1286	G1286	61NE9AAXX100603	100603_SL-XDE_0007_FC61NE9AAXX	Blood	WGSNoRef	WGSNoRef	SL-XDE	22085
PRJNA59571	SRR071612	WGS	202	27812544326	SAMN00117560	16297792663	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX030405	Illumina HiSeq 2000	Solexa-36943	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2010-12-06T00:00:00Z	PRJNA167910.000638D3DF	SRP004172	female	000638D3DF	blood	000638D3DF	205EYABXX	missing	2	Genomic DNA	G1286	G1286	205EYABXX100806	100806_SL-HAP_0061_AFC205EYABXX	Blood	AssemblyWithReference	AssemblyWithReference	SL-HAP	21438
PRJNA59571	SRR071613	WGS	72	2687976432	SAMN00117560	17912980121	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX030406	Illumina Genome Analyzer II	Solexa-24176	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2010-11-05T00:00:00Z	PRJNA167910.000638D3DF	SRP004172	female	000638D3DF	blood	000638D3DF	613YCAAXX	missing	8	Genomic DNA	G1286	G1286	613YCAAXX100405	100405_SL-XBB_0012_FC613YCAAXX	Blood	AssemblyWithReference	AssemblyWithReference	SL-XBB	21438
PRJNA59571	SRR071614	WGS	202	27839402246	SAMN00117560	16477569600	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX030407	Illumina HiSeq 2000	Solexa-36940	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2010-12-06T00:00:00Z	PRJNA167910.000638D3DF	SRP004172	female	000638D3DF	blood	000638D3DF	205EYABXX	missing	7	Genomic DNA	G1286	G1286	205EYABXX100806	100806_SL-HAP_0061_AFC205EYABXX	Blood	AssemblyWithReference	AssemblyWithReference	SL-HAP	21438
PRJNA59571	SRR071615	WGS	71	3708943298	SAMN00117560	24865147836	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX030408	Illumina Genome Analyzer II	Solexa-25955	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2010-11-05T00:00:00Z	PRJNA167910.000638D3DF	SRP004172	female	000638D3DF	blood	000638D3DF	61MA8AAXX	missing	6	Genomic DNA	G1286	G1286	61MA8AAXX100514	100514_SL-XCM_00004_FC61MA8AAXX	Blood	WGSNoRef	WGSNoRef	SL-XCM	21869
PRJNA59571	SRR071616	WGS	71	3368962780	SAMN00117560	22510047053	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX030409	Illumina Genome Analyzer II	Solexa-25941	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2010-11-05T00:00:00Z	PRJNA167910.000638D3DF	SRP004172	female	000638D3DF	blood	000638D3DF	61MA8AAXX	missing	7	Genomic DNA	G1286	G1286	61MA8AAXX100514	100514_SL-XCM_00004_FC61MA8AAXX	Blood	WGSNoRef	WGSNoRef	SL-XCM	21869
PRJNA59571	SRR071617	WGS	71	3494237594	SAMN00117560	23412299296	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX030410	Illumina Genome Analyzer II	Solexa-25906	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2010-11-05T00:00:00Z	PRJNA167910.000638D3DF	SRP004172	female	000638D3DF	blood	000638D3DF	61MA8AAXX	missing	4	Genomic DNA	G1286	G1286	61MA8AAXX100514	100514_SL-XCM_00004_FC61MA8AAXX	Blood	WGSNoRef	WGSNoRef	SL-XCM	21869
PRJNA59571	SRR071619	WGS	202	6017318208	SAMN00117560	37264590158	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX030412	Illumina Genome Analyzer II	Solexa-20767	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2010-11-05T00:00:00Z	PRJNA167910.000638D3DF	SRP004172	female	000638D3DF	blood	000638D3DF	61H8HAAXX	missing	6	Genomic DNA	G1286	G1286	61H8HAAXX100305	100305_SL-XAK_0006_FC61H8HAAXX	Blood	WGSNoRef	WGSNoRef	SL-XAK	21032
PRJNA59571	SRR071621	WGS	202	4999465458	SAMN00117560	46907748	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX030414	Illumina HiSeq 2000	Solexa-36943	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2010-12-06T00:00:00Z	PRJNA167910.000638D3DF	SRP004172	female	000638D3DF	blood	000638D3DF	205EYABXX	missing	1	Genomic DNA	G1286	G1286	205EYABXX100806	100806_SL-HAP_0061_AFC205EYABXX	Blood	AssemblyWithReference	AssemblyWithReference	SL-HAP	21438
PRJNA59571	SRR071622	WGS	71	3358278061	SAMN00117560	22456712432	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX030415	Illumina Genome Analyzer II	Solexa-25941	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2010-11-05T00:00:00Z	PRJNA167910.000638D3DF	SRP004172	female	000638D3DF	blood	000638D3DF	61MA8AAXX	missing	8	Genomic DNA	G1286	G1286	61MA8AAXX100514	100514_SL-XCM_00004_FC61MA8AAXX	Blood	WGSNoRef	WGSNoRef	SL-XCM	21869
PRJNA59571	SRR071620	WGS	71	3634911811	SAMN00117560	24362091723	BI	public	sra,srf	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX030413	Illumina Genome Analyzer II	Solexa-25906	PAIRED	RANDOM	GENOMIC	Oreochromis_niloticus	ILLUMINA	2010-11-05T00:00:00Z	PRJNA167910.000638D3DF	SRP004172	female	000638D3DF	blood	000638D3DF	61MA8AAXX	missing	3	Genomic DNA	G1286	G1286	61MA8AAXX100514	100514_SL-XCM_00004_FC61MA8AAXX	Blood	WGSNoRef	WGSNoRef	SL-XCM	21869
