BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	AGE	Collection_date	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	lat_lon	sub_species	use_species
PRJNA319295	SRR3511956	WGS	202	1868341026	SAMN04881278	870043946	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764120	Illumina HiSeq 2500	ww_reseq_01L20_5	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_acredula	ILLUMINA	2017-04-28T00:00:00Z	ww_01L20	SRP074112	Model organism or animal	male	blood	01L/20	adult	2nd calendar year or older (2cy+)	2001-06-11	Sweden	Europe	Sweden:Stordalen	68.33 N 19.100000000000023 E	acredula	1
PRJNA319295	SRR3511958	WGS	202	1301801322	SAMN04884551	622829888	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764122	Illumina HiSeq 2500	ww_reseq_01M08_1	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_acredula	ILLUMINA	2017-04-28T00:00:00Z	ww_01M08	SRP074112	Model organism or animal	male	blood	01M/08	adult	2nd calendar year or older (2cy+)	2001-06-10	Sweden	Europe	Sweden: Kaisepakte	68.3 N 19.299999999999955 E	acredula	1
PRJNA319295	SRR3511960	WGS	202	1618934858	SAMN04884551	751491769	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764124	Illumina HiSeq 2500	ww_reseq_01M08_3	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_acredula	ILLUMINA	2017-04-28T00:00:00Z	ww_01M08	SRP074112	Model organism or animal	male	blood	01M/08	adult	2nd calendar year or older (2cy+)	2001-06-10	Sweden	Europe	Sweden: Kaisepakte	68.3 N 19.299999999999955 E	acredula	1
PRJNA319295	SRR3511962	WGS	202	1642891048	SAMN04884551	763919115	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764126	Illumina HiSeq 2500	ww_reseq_01M08_5	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_acredula	ILLUMINA	2017-04-28T00:00:00Z	ww_01M08	SRP074112	Model organism or animal	male	blood	01M/08	adult	2nd calendar year or older (2cy+)	2001-06-10	Sweden	Europe	Sweden: Kaisepakte	68.3 N 19.299999999999955 E	acredula	1
PRJNA319295	SRR3511963	WGS	202	1660540192	SAMN04884551	774284722	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764127	Illumina HiSeq 2500	ww_reseq_01M08_6	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_acredula	ILLUMINA	2017-04-28T00:00:00Z	ww_01M08	SRP074112	Model organism or animal	male	blood	01M/08	adult	2nd calendar year or older (2cy+)	2001-06-10	Sweden	Europe	Sweden: Kaisepakte	68.3 N 19.299999999999955 E	acredula	1
PRJNA319295	SRR3511966	WGS	202	3421149770	SAMN04884554	1571000626	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764130	Illumina HiSeq 2500	ww_reseq_01O01_3	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_acredula	ILLUMINA	2017-04-28T00:00:00Z	ww_01O01	SRP074112	Model organism or animal	male	blood	01O/01	adult	2nd calendar year or older (2cy+)	2001-06-12	Sweden	Europe	Sweden: Kallax	65.5 N 22.1 E	acredula	1
PRJNA319295	SRR3511968	WGS	202	3504135410	SAMN04884554	1613059360	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764132	Illumina HiSeq 2500	ww_reseq_01O01_5	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_acredula	ILLUMINA	2017-04-28T00:00:00Z	ww_01O01	SRP074112	Model organism or animal	male	blood	01O/01	adult	2nd calendar year or older (2cy+)	2001-06-12	Sweden	Europe	Sweden: Kallax	65.5 N 22.1 E	acredula	1
PRJNA319295	SRR3511970	WGS	202	2685341136	SAMN04884555	1277279903	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764134	Illumina HiSeq 2500	ww_reseq_01O04_1	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_acredula	ILLUMINA	2017-04-28T00:00:00Z	ww_01O04	SRP074112	Model organism or animal	male	blood	01O/04	adult	2nd calendar year or older (2cy+)	2001-06-12	Sweden	Europe	Sweden: Kallax	65.5 N 22.100000000000023 E	acredula	1
PRJNA319295	SRR3511972	WGS	202	3526698810	SAMN04884555	1639116053	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764136	Illumina HiSeq 2500	ww_reseq_01O04_3	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_acredula	ILLUMINA	2017-04-28T00:00:00Z	ww_01O04	SRP074112	Model organism or animal	male	blood	01O/04	adult	2nd calendar year or older (2cy+)	2001-06-12	Sweden	Europe	Sweden: Kallax	65.5 N 22.100000000000023 E	acredula	1
PRJNA319295	SRR3511974	WGS	202	3603046730	SAMN04884555	1678937686	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764138	Illumina HiSeq 2500	ww_reseq_01O04_5	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_acredula	ILLUMINA	2017-04-28T00:00:00Z	ww_01O04	SRP074112	Model organism or animal	male	blood	01O/04	adult	2nd calendar year or older (2cy+)	2001-06-12	Sweden	Europe	Sweden: Kallax	65.5 N 22.100000000000023 E	acredula	1
PRJNA319295	SRR3511975	WGS	202	3625402272	SAMN04884555	1692899764	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764139	Illumina HiSeq 2500	ww_reseq_01O04_6	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_acredula	ILLUMINA	2017-04-28T00:00:00Z	ww_01O04	SRP074112	Model organism or animal	male	blood	01O/04	adult	2nd calendar year or older (2cy+)	2001-06-12	Sweden	Europe	Sweden: Kallax	65.5 N 22.100000000000023 E	acredula	1
PRJNA319295	SRR3511977	WGS	202	2754798634	SAMN04884556	1268816040	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764141	Illumina HiSeq 2500	ww_reseq_01O06_2	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_acredula	ILLUMINA	2017-04-28T00:00:00Z	ww_01O06	SRP074112	Model organism or animal	male	blood	01O/06	adult	2nd calendar year or older (2cy+)	2001-06-12	Sweden	Europe	Sweden: Kallax	65.5 N 22.100000000000023 E	acredula	1
PRJNA319295	SRR3511978	WGS	202	2778476872	SAMN04884556	1290136771	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764142	Illumina HiSeq 2500	ww_reseq_01O06_3	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_acredula	ILLUMINA	2017-04-28T00:00:00Z	ww_01O06	SRP074112	Model organism or animal	male	blood	01O/06	adult	2nd calendar year or older (2cy+)	2001-06-12	Sweden	Europe	Sweden: Kallax	65.5 N 22.100000000000023 E	acredula	1
PRJNA319295	SRR3511979	WGS	202	2811319446	SAMN04884556	1311211766	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764143	Illumina HiSeq 2500	ww_reseq_01O06_4	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_acredula	ILLUMINA	2017-04-28T00:00:00Z	ww_01O06	SRP074112	Model organism or animal	male	blood	01O/06	adult	2nd calendar year or older (2cy+)	2001-06-12	Sweden	Europe	Sweden: Kallax	65.5 N 22.100000000000023 E	acredula	1
PRJNA319295	SRR3511981	WGS	202	2855203744	SAMN04884556	1331978958	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764145	Illumina HiSeq 2500	ww_reseq_01O06_6	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_acredula	ILLUMINA	2017-04-28T00:00:00Z	ww_01O06	SRP074112	Model organism or animal	male	blood	01O/06	adult	2nd calendar year or older (2cy+)	2001-06-12	Sweden	Europe	Sweden: Kallax	65.5 N 22.100000000000023 E	acredula	1
PRJNA319295	SRR3511982	WGS	202	1789198234	SAMN04884644	856323598	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764146	Illumina HiSeq 2500	ww_reseq_01P02_1	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_trochilus	ILLUMINA	2017-04-28T00:00:00Z	ww_01P/02	SRP074112	Model organism or animal	male	blood	01P/02	adult	2nd calendar year or older (2cy+)	2001-06-14	Sweden	Europe	Sweden: Barko	60.2 N 18.200000000000045 E	trochilus	1
PRJNA319295	SRR3511984	WGS	202	2237862454	SAMN04884644	1034733514	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764148	Illumina HiSeq 2500	ww_reseq_01P02_3	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_trochilus	ILLUMINA	2017-04-28T00:00:00Z	ww_01P/02	SRP074112	Model organism or animal	male	blood	01P/02	adult	2nd calendar year or older (2cy+)	2001-06-14	Sweden	Europe	Sweden: Barko	60.2 N 18.200000000000045 E	trochilus	1
PRJNA319295	SRR3511986	WGS	202	2276013790	SAMN04884644	1053987245	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764150	Illumina HiSeq 2500	ww_reseq_01P02_5	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_trochilus	ILLUMINA	2017-04-28T00:00:00Z	ww_01P/02	SRP074112	Model organism or animal	male	blood	01P/02	adult	2nd calendar year or older (2cy+)	2001-06-14	Sweden	Europe	Sweden: Barko	60.2 N 18.200000000000045 E	trochilus	1
PRJNA319295	SRR3511987	WGS	202	2298581432	SAMN04884644	1067453327	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764151	Illumina HiSeq 2500	ww_reseq_01P02_6	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_trochilus	ILLUMINA	2017-04-28T00:00:00Z	ww_01P/02	SRP074112	Model organism or animal	male	blood	01P/02	adult	2nd calendar year or older (2cy+)	2001-06-14	Sweden	Europe	Sweden: Barko	60.2 N 18.200000000000045 E	trochilus	1
PRJNA319295	SRR3511989	WGS	202	1898297828	SAMN04884645	875992679	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764153	Illumina HiSeq 2500	ww_reseq_03K06_2	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_trochilus	ILLUMINA	2017-04-28T00:00:00Z	ww_03K/06	SRP074112	Model organism or animal	male	blood	03K/06	adult	2nd calendar year or older (2cy+)	2003-06-27	Sweden	Europe	Sweden: Grasmaro	58.3 N 17 E	trochilus	1
PRJNA319295	SRR3511991	WGS	202	1941312314	SAMN04884645	907025466	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764155	Illumina HiSeq 2500	ww_reseq_03K06_4	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_trochilus	ILLUMINA	2017-04-28T00:00:00Z	ww_03K/06	SRP074112	Model organism or animal	male	blood	03K/06	adult	2nd calendar year or older (2cy+)	2003-06-27	Sweden	Europe	Sweden: Grasmaro	58.3 N 17 E	trochilus	1
PRJNA319295	SRR3511993	WGS	202	1967163668	SAMN04884645	919343225	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764157	Illumina HiSeq 2500	ww_reseq_03K06_6	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_trochilus	ILLUMINA	2017-04-28T00:00:00Z	ww_03K/06	SRP074112	Model organism or animal	male	blood	03K/06	adult	2nd calendar year or older (2cy+)	2003-06-27	Sweden	Europe	Sweden: Grasmaro	58.3 N 17 E	trochilus	1
PRJNA319295	SRR3511994	WGS	202	1238327266	SAMN04884561	596380856	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764158	Illumina HiSeq 2500	ww_reseq_96A01_1	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_trochilus	ILLUMINA	2017-04-28T00:00:00Z	ww_96A/01	SRP074112	Model organism or animal	male	blood	96A/01	adult	2nd calendar year or older (2cy+)	1996-05-07	Sweden	Europe	Sweden: Stensoffa	55.7 N 13.399999999999977 E	trochilus	1
PRJNA319295	SRR3511996	WGS	202	1531527236	SAMN04884561	713513839	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764160	Illumina HiSeq 2500	ww_reseq_96A01_3	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_trochilus	ILLUMINA	2017-04-28T00:00:00Z	ww_96A/01	SRP074112	Model organism or animal	male	blood	96A/01	adult	2nd calendar year or older (2cy+)	1996-05-07	Sweden	Europe	Sweden: Stensoffa	55.7 N 13.399999999999977 E	trochilus	1
PRJNA319295	SRR3511997	WGS	202	1543050124	SAMN04884561	721770213	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764161	Illumina HiSeq 2500	ww_reseq_96A01_4	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_trochilus	ILLUMINA	2017-04-28T00:00:00Z	ww_96A/01	SRP074112	Model organism or animal	male	blood	96A/01	adult	2nd calendar year or older (2cy+)	1996-05-07	Sweden	Europe	Sweden: Stensoffa	55.7 N 13.399999999999977 E	trochilus	1
PRJNA319295	SRR3511998	WGS	202	1555681992	SAMN04884561	726100226	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764162	Illumina HiSeq 2500	ww_reseq_96A01_5	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_trochilus	ILLUMINA	2017-04-28T00:00:00Z	ww_96A/01	SRP074112	Model organism or animal	male	blood	96A/01	adult	2nd calendar year or older (2cy+)	1996-05-07	Sweden	Europe	Sweden: Stensoffa	55.7 N 13.399999999999977 E	trochilus	1
PRJNA319295	SRR3511999	WGS	202	1568816840	SAMN04884561	734291331	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764163	Illumina HiSeq 2500	ww_reseq_96A01_6	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_trochilus	ILLUMINA	2017-04-28T00:00:00Z	ww_96A/01	SRP074112	Model organism or animal	male	blood	96A/01	adult	2nd calendar year or older (2cy+)	1996-05-07	Sweden	Europe	Sweden: Stensoffa	55.7 N 13.399999999999977 E	trochilus	1
PRJNA319295	SRR3512004	WGS	202	2062002466	SAMN04884562	959968256	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764168	Illumina HiSeq 2500	ww_reseq_96B07_5	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_trochilus	ILLUMINA	2017-04-28T00:00:00Z	ww_96B/07	SRP074112	Model organism or animal	male	blood	96B/07	adult	2nd calendar year or older (2cy+)	1996-05-14	Sweden	Europe	Sweden: Kvismaren	59.2 N 15.4 E	trochilus	1
PRJNA319295	SRR3512005	WGS	202	2080889668	SAMN04884562	971434123	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764169	Illumina HiSeq 2500	ww_reseq_96B07_6	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_trochilus	ILLUMINA	2017-04-28T00:00:00Z	ww_96B/07	SRP074112	Model organism or animal	male	blood	96B/07	adult	2nd calendar year or older (2cy+)	1996-05-14	Sweden	Europe	Sweden: Kvismaren	59.2 N 15.4 E	trochilus	1
PRJNA319295	SRR3512006	WGS	202	1377166108	SAMN04884563	652250668	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764170	Illumina HiSeq 2500	ww_reseq_97A12_1	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_trochilus	ILLUMINA	2017-04-28T00:00:00Z	ww_97A/12	SRP074112	Model organism or animal	male	blood	97A/12	adult	2nd calendar year or older (2cy+)	1997-05-16	Sweden	Europe	Sweden: Haganas	56.3 N 14.700000000000045 E	trochilus	1
PRJNA319295	SRR3512007	WGS	202	1828951430	SAMN04884563	845129767	LUND UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1764171	Illumina HiSeq 2500	ww_reseq_97A12_2	PAIRED	RANDOM	GENOMIC	Phylloscopus_trochilus_trochilus	ILLUMINA	2017-04-28T00:00:00Z	ww_97A/12	SRP074112	Model organism or animal	male	blood	97A/12	adult	2nd calendar year or older (2cy+)	1997-05-16	Sweden	Europe	Sweden: Haganas	56.3 N 14.700000000000045 E	trochilus	1
