BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	AGE	Ecotype	birth_location
PRJNA616371	SRR11451651	WGS	298	24905689970	SAMN14488459	12026794909	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029503	NextSeq 500	N968352_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	N968352	SRP254615	Model organism or animal	male	blood	N968352	after hatch year	resident island	Canary Islands / La Palma
PRJNA616371	SRR11451652	WGS	299	29553991521	SAMN14488530	13728698728	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029502	NextSeq 500	UCM053_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM053	SRP254615	Model organism or animal	male	blood	UCM053	after hatch year	med dist SW	Belgium
PRJNA616371	SRR11451653	WGS	297	21501286376	SAMN14488529	10164505405	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029501	NextSeq 500	UCM051_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM051	SRP254615	Model organism or animal	male	blood	UCM051	after hatch year	med dist SW	Belgium
PRJNA616371	SRR11451654	WGS	297	29605417253	SAMN14488528	13599923925	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029500	NextSeq 500	UCM018_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM018	SRP254615	Model organism or animal	male	blood	UCM018	after hatch year	med dist SW	Germany
PRJNA616371	SRR11451655	WGS	296	44866589571	SAMN14488527	21257053201	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029499	NextSeq 500	UCM017_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM017	SRP254615	Model organism or animal	male	blood	UCM017	after hatch year	med dist SW	Germany
PRJNA616371	SRR11451656	WGS	296	22993056815	SAMN14488526	10567827172	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029498	NextSeq 500	UCM016_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM016	SRP254615	Model organism or animal	male	blood	UCM016	after hatch year	med dist SW	Germany
PRJNA616371	SRR11451657	WGS	297	22739640198	SAMN14488525	10428895612	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029497	NextSeq 500	UCM014_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM014	SRP254615	Model organism or animal	male	blood	UCM014	after hatch year	med dist SW	Germany
PRJNA616371	SRR11451658	WGS	299	22356428702	SAMN14488524	10111438051	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029496	NextSeq 500	UCM012_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM012	SRP254615	Model organism or animal	male	blood	UCM012	after hatch year	med dist SW	Germany
PRJNA616371	SRR11451659	WGS	299	31228020068	SAMN14488523	14863163074	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029495	NextSeq 500	9123_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	9123	SRP254615	Model organism or animal	male	blood	9123	after hatch year	med dist SW	Germany
PRJNA616371	SRR11451660	WGS	298	29666789425	SAMN14488522	13579617401	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029494	NextSeq 500	9179_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	9179	SRP254615	Model organism or animal	male	blood	9179	after hatch year	med dist SW	Germany
PRJNA616371	SRR11451662	WGS	296	42416551606	SAMN14488458	20132081329	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029492	NextSeq 500	N968342_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	N968342	SRP254615	Model organism or animal	male	blood	N968342	after hatch year	resident island	Canary Islands / La Palma
PRJNA616371	SRR11451663	WGS	299	26237058386	SAMN14488520	12649459086	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029491	NextSeq 500	9167_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	9167	SRP254615	Model organism or animal	male	blood	9167	after hatch year	med dist SW	Germany
PRJNA616371	SRR11451664	WGS	299	27884187001	SAMN14488519	13163382242	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029490	NextSeq 500	9073_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	9073	SRP254615	Model organism or animal	male	blood	9073	after hatch year	med dist SW	Germany
PRJNA616371	SRR11451665	WGS	299	24031468219	SAMN14488518	11451498641	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029489	NextSeq 500	9138_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	9138	SRP254615	Model organism or animal	male	blood	9138	after hatch year	med dist SW	Germany
PRJNA616371	SRR11451666	WGS	299	26758650466	SAMN14488517	12596835092	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029488	NextSeq 500	9176_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	9176	SRP254615	Model organism or animal	male	blood	9176	after hatch year	med dist SW	Germany
PRJNA616371	SRR11451667	WGS	298	162640308972	SAMN14488516	87714405139	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029487	NextSeq 500	9130_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	9130	SRP254615	Model organism or animal	male	blood	9130	after hatch year	med dist SW	Germany
PRJNA616371	SRR11451668	WGS	299	26116725389	SAMN14488515	12165660794	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029486	NextSeq 500	9106_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	9106	SRP254615	Model organism or animal	male	blood	9106	after hatch year	med dist SW	Germany
PRJNA616371	SRR11451669	WGS	298	23899599689	SAMN14488514	11396903983	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029485	NextSeq 500	9194_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	9194	SRP254615	Model organism or animal	male	blood	9194	after hatch year	med dist SW	Germany
PRJNA616371	SRR11451670	WGS	298	25034880186	SAMN14488513	11642756609	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029484	NextSeq 500	9042_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	9042	SRP254615	Model organism or animal	male	blood	9042	after hatch year	med dist NW	Germany
PRJNA616371	SRR11451672	WGS	299	34978679765	SAMN14488511	16646222290	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029482	NextSeq 500	9078_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	9078	SRP254615	Model organism or animal	male	blood	9078	after hatch year	med dist NW	Germany
PRJNA616371	SRR11451673	WGS	298	32236222345	SAMN14488457	15051254612	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029481	NextSeq 500	1N23590_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	1N23590	SRP254615	Model organism or animal	male	blood	1N23590	after hatch year	resident island	Canary Islands / La Palma
PRJNA616371	SRR11451674	WGS	299	30633131706	SAMN14488510	14062556152	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029480	NextSeq 500	9201_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	9201	SRP254615	Model organism or animal	male	blood	9201	after hatch year	med dist NW	Germany
PRJNA616371	SRR11451675	WGS	298	22147919382	SAMN14488509	9916971417	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029479	NextSeq 500	bcUK_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	bcUK	SRP254615	Model organism or animal	male	blood	bcUK	after hatch year	med dist NW	United Kingdom
PRJNA616371	SRR11451676	WGS	292	35157759045	SAMN14488508	16823061726	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029478	NextSeq 500	BRN05_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	BRN05	SRP254615	Model organism or animal	male	blood	BRN05	after hatch year	med dist NW	United Kingdom
PRJNA616371	SRR11451677	WGS	294	30930183630	SAMN14488507	14838615243	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029477	NextSeq 500	BRN10_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	BRN10	SRP254615	Model organism or animal	male	blood	BRN10	after hatch year	med dist NW	United Kingdom
PRJNA616371	SRR11451678	WGS	295	34298917403	SAMN14488506	16468685004	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029476	NextSeq 500	EN08_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	EN08	SRP254615	Model organism or animal	male	blood	EN08	after hatch year	med dist NW	United Kingdom
PRJNA616371	SRR11451679	WGS	295	33200374651	SAMN14488505	15993644818	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029475	NextSeq 500	EN01_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	EN01	SRP254615	Model organism or animal	male	blood	EN01	after hatch year	med dist NW	United Kingdom
PRJNA616371	SRR11451680	WGS	296	23487281740	SAMN14488504	11116408845	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029474	NextSeq 500	DU08_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	DU08	SRP254615	Model organism or animal	male	blood	DU08	after hatch year	med dist NW	Ireland
PRJNA616371	SRR11451681	WGS	297	20241201846	SAMN14488503	9441865819	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029473	NextSeq 500	9175_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	9175	SRP254615	Model organism or animal	male	blood	9175	after hatch year	med dist NW	Germany
PRJNA616371	SRR11451682	WGS	298	24376294819	SAMN14488502	11423109717	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029472	NextSeq 500	9030_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	9030	SRP254615	Model organism or animal	male	blood	9030	after hatch year	med dist NW	Germany
PRJNA616371	SRR11451683	WGS	300	30386738033	SAMN14488501	14320316495	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029471	NextSeq 500	9033_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	9033	SRP254615	Model organism or animal	male	blood	9033	after hatch year	med dist NW	Germany
PRJNA616371	SRR11451684	WGS	297	43865359617	SAMN14488456	20919195109	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029470	NextSeq 500	1N23588_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	1N23588	SRP254615	Model organism or animal	male	blood	1N23588	after hatch year	resident island	Canary Islands / La Palma
PRJNA616371	SRR11451685	WGS	299	26770886982	SAMN14488500	12301947710	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029469	NextSeq 500	9029_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	9029	SRP254615	Model organism or animal	male	blood	9029	after hatch year	med dist NW	Germany
PRJNA616371	SRR11451686	WGS	298	28236080103	SAMN14488499	13353663399	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029468	NextSeq 500	9034_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	9034	SRP254615	Model organism or animal	male	blood	9034	after hatch year	med dist NW	Germany
PRJNA616371	SRR11451687	WGS	296	20418649011	SAMN14488498	10008176943	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029467	NextSeq 500	UCM114_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM114	SRP254615	Model organism or animal	male	blood	UCM114	after hatch year	short dist SW	Spain
PRJNA616371	SRR11451688	WGS	295	34163433062	SAMN14488497	16078424221	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029466	NextSeq 500	UCM139_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM139	SRP254615	Model organism or animal	male	blood	UCM139	after hatch year	short dist SW	Spain
PRJNA616371	SRR11451689	WGS	297	27216999349	SAMN14488496	12501406859	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029465	NextSeq 500	UCM137_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM137	SRP254615	Model organism or animal	male	blood	UCM137	after hatch year	short dist SW	Spain
PRJNA616371	SRR11451690	WGS	296	18368364494	SAMN14488495	8271839658	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029464	NextSeq 500	UCM123_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM123	SRP254615	Model organism or animal	male	blood	UCM123	after hatch year	short dist SW	Spain
PRJNA616371	SRR11451691	WGS	295	17803163873	SAMN14488494	8119228303	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029463	NextSeq 500	UCM117_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM117	SRP254615	Model organism or animal	male	blood	UCM117	after hatch year	short dist SW	Spain
PRJNA616371	SRR11451693	WGS	298	17276378534	SAMN14488492	8182257187	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029461	NextSeq 500	UCM097_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM097	SRP254615	Model organism or animal	male	blood	UCM097	after hatch year	short dist SW	Spain
PRJNA616371	SRR11451694	WGS	298	24842708751	SAMN14488491	11662156322	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029460	NextSeq 500	UCM96_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM96	SRP254615	Model organism or animal	male	blood	UCM096	after hatch year	short dist SW	Spain
PRJNA616371	SRR11451695	WGS	296	30407410034	SAMN14488455	13891960708	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029459	NextSeq 500	A270598_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	A270598	SRP254615	Model organism or animal	male	blood	A270598	after hatch year	resident island	Azores / Terceira
PRJNA616371	SRR11451696	WGS	298	29816718458	SAMN14488490	13799434696	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029458	NextSeq 500	UCM95_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM95	SRP254615	Model organism or animal	male	blood	UCM095	after hatch year	short dist SW	Spain
PRJNA616371	SRR11451697	WGS	296	33496798693	SAMN14488489	15838049849	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029457	NextSeq 500	UCM094_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM094	SRP254615	Model organism or animal	male	blood	UCM094	after hatch year	short dist SW	Spain
PRJNA616371	SRR11451699	WGS	298	25808409417	SAMN14488487	12221089910	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029455	NextSeq 500	1206_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	1206	SRP254615	Model organism or animal	male	blood	1206	after hatch year	resident continent	Morocco
PRJNA616371	SRR11451700	WGS	299	38169381116	SAMN14488486	17697252210	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029454	NextSeq 500	1204_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	1204	SRP254615	Model organism or animal	male	blood	1204	after hatch year	resident continent	Morocco
PRJNA616371	SRR11451701	WGS	295	27924889602	SAMN14488485	13058314003	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029453	NextSeq 500	UCM160_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM160	SRP254615	Model organism or animal	male	blood	UCM160	after hatch year	resident continent	Spain
PRJNA616371	SRR11451702	WGS	298	30579122120	SAMN14488484	14330061707	MAX PLANCK INSTITUTE FOR EVOLUTIONARY BIOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8029452	NextSeq 500	UCM155_library	PAIRED	RANDOM	GENOMIC	Sylvia_atricapilla	ILLUMINA	2020-04-01T00:00:00Z	UCM155	SRP254615	Model organism or animal	male	blood	UCM155	after hatch year	resident continent	Spain
