BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	AGE	Ecotype	use_species
PRJNA422339	SRR6384194	WGS	200	7000000000	SAMN13381303	2828841784	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477963	Illumina HiSeq 2500	wHAXPI033975-73	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample95	SRP126917	Model organism or animal	not determined	sketetal muscle	sample95	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 621 km	1
PRJNA422339	SRR6384196	WGS	200	7000000000	SAMN13381301	2802890099	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477961	Illumina HiSeq 2500	wHAXPI033973-68	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample93	SRP126917	Model organism or animal	not determined	sketetal muscle	sample93	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 619 km	1
PRJNA422339	SRR6384197	WGS	200	7000000000	SAMN13381300	2847904127	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477960	Illumina HiSeq 2500	wHAXPI033972-63	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample92	SRP126917	Model organism or animal	not determined	sketetal muscle	sample92	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 618 km	1
PRJNA422339	SRR6384198	WGS	200	7000000000	SAMN13381299	2822497956	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477959	Illumina HiSeq 2500	wHAXPI033971-61	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample91	SRP126917	Model organism or animal	not determined	sketetal muscle	sample91	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 626 km	1
PRJNA422339	SRR6384201	WGS	200	7000000000	SAMN13381228	2947688679	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477956	Illumina HiSeq 2500	wHAXPI033740-34	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample20	SRP126917	Model organism or animal	not determined	sketetal muscle	sample20	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 618 km	1
PRJNA422339	SRR6384202	WGS	200	7000000000	SAMN13381227	2922940159	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477955	Illumina HiSeq 2500	wHAXPI033739-32	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample19	SRP126917	Model organism or animal	not determined	sketetal muscle	sample19	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 626 km	1
PRJNA422339	SRR6384203	WGS	200	7000000000	SAMN13381226	2929554792	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477954	Illumina HiSeq 2500	wHAXPI033738-31	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample18	SRP126917	Model organism or animal	not determined	sketetal muscle	sample18	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 625 km	1
PRJNA422339	SRR6384204	WGS	200	7000000000	SAMN13381225	2960496732	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477953	Illumina HiSeq 2500	wHAXPI033737-30	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample17	SRP126917	Model organism or animal	not determined	sketetal muscle	sample17	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 624 km	1
PRJNA422339	SRR6384205	WGS	200	7000000000	SAMN13381224	2995809221	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477952	Illumina HiSeq 2500	wHAXPI033736-29	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample16	SRP126917	Model organism or animal	not determined	sketetal muscle	sample16	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 623 km	1
PRJNA422339	SRR6384207	WGS	200	7000000000	SAMN13381222	3033023962	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477950	Illumina HiSeq 2500	wHAXPI033734-27	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample14	SRP126917	Model organism or animal	not determined	sketetal muscle	sample14	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 621 km	1
PRJNA422339	SRR6384208	WGS	200	7000000000	SAMN13381221	3020574874	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477949	Illumina HiSeq 2500	wHAXPI033733-26	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample13	SRP126917	Model organism or animal	not determined	sketetal muscle	sample13	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 620 km	1
PRJNA422339	SRR6384209	WGS	160	7000000000	SAMN13381220	2906513612	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477948	Illumina HiSeq 2500	wHAXPI033732-25	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample12	SRP126917	Model organism or animal	not determined	sketetal muscle	sample12	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 619 km	1
PRJNA422339	SRR6384210	WGS	200	7000000000	SAMN13381219	3009946158	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477947	Illumina HiSeq 2500	wHAXPI033731-24	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample11	SRP126917	Model organism or animal	not determined	sketetal muscle	sample11	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 618 km	1
PRJNA422339	SRR6384211	WGS	200	7000000000	SAMN13381289	2875972903	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477946	Illumina HiSeq 2500	wHAXPI033932-39	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample81	SRP126917	Model organism or animal	not determined	sketetal muscle	sample81	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 625 km	1
PRJNA422339	SRR6384212	WGS	200	7000000000	SAMN13381290	2854290977	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477945	Illumina HiSeq 2500	wHAXPI033933-40	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample82	SRP126917	Model organism or animal	not determined	sketetal muscle	sample82	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 626 km	1
PRJNA422339	SRR6384213	WGS	200	7000000000	SAMN13381291	2892077967	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477944	Illumina HiSeq 2500	wHAXPI033934-41	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample83	SRP126917	Model organism or animal	not determined	sketetal muscle	sample83	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 618 km	1
PRJNA422339	SRR6384214	WGS	200	7000000000	SAMN13381292	2701249290	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477943	Illumina HiSeq 2500	wHAXPI033935-42	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample84	SRP126917	Model organism or animal	not determined	sketetal muscle	sample84	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 619 km	1
PRJNA422339	SRR6384215	WGS	200	7000000000	SAMN13381293	2684732127	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477942	Illumina HiSeq 2500	wHAXPI033965-45	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample85	SRP126917	Model organism or animal	not determined	sketetal muscle	sample85	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 620 km	1
PRJNA422339	SRR6384216	WGS	200	7000000000	SAMN13381294	2700692937	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477941	Illumina HiSeq 2500	wHAXPI033966-47	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample86	SRP126917	Model organism or animal	not determined	sketetal muscle	sample86	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 621 km	1
PRJNA422339	SRR6384217	WGS	200	7000000000	SAMN13381295	2689373817	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477940	Illumina HiSeq 2500	wHAXPI033967-50	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample87	SRP126917	Model organism or animal	not determined	sketetal muscle	sample87	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 622 km	1
PRJNA422339	SRR6384219	WGS	200	7000000000	SAMN13381297	2817327078	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477938	Illumina HiSeq 2500	wHAXPI033969-58	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample89	SRP126917	Model organism or animal	not determined	sketetal muscle	sample89	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 624 km	1
PRJNA422339	SRR6384220	WGS	200	7000000000	SAMN13381298	2824325852	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477937	Illumina HiSeq 2500	wHAXPI033970-59	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample90	SRP126917	Model organism or animal	not determined	sketetal muscle	sample90	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 625 km	1
PRJNA422339	SRR6384221	WGS	200	7000000000	SAMN13381244	2782728153	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477936	Illumina HiSeq 2500	wHAXPI033840-72	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample36	SRP126917	Model organism or animal	not determined	sketetal muscle	sample36	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 625 km	1
PRJNA422339	SRR6384222	WGS	200	7000000000	SAMN13381243	2773647755	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477935	Illumina HiSeq 2500	wHAXPI033839-68	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample35	SRP126917	Model organism or animal	not determined	sketetal muscle	sample35	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 624 km	1
PRJNA422339	SRR6384223	WGS	200	7000000000	SAMN13381246	2878092688	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477934	Illumina HiSeq 2500	wHAXPI033842-74	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample38	SRP126917	Model organism or animal	not determined	sketetal muscle	sample38	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 618 km	1
PRJNA422339	SRR6384224	WGS	200	7000000000	SAMN13381245	2772911012	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477933	Illumina HiSeq 2500	wHAXPI033841-73	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample37	SRP126917	Model organism or animal	not determined	sketetal muscle	sample37	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 626 km	1
PRJNA422339	SRR6384225	WGS	200	7000000000	SAMN13381240	2783619700	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477932	Illumina HiSeq 2500	wHAXPI033836-59	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample32	SRP126917	Model organism or animal	not determined	sketetal muscle	sample32	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 621 km	1
PRJNA422339	SRR6384226	WGS	200	7000000000	SAMN13381239	2811979471	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477931	Illumina HiSeq 2500	wHAXPI033835-58	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample31	SRP126917	Model organism or animal	not determined	sketetal muscle	sample31	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 620 km	1
PRJNA422339	SRR6384227	WGS	200	7000000000	SAMN13381242	2797990652	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477930	Illumina HiSeq 2500	wHAXPI033838-63	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample34	SRP126917	Model organism or animal	not determined	sketetal muscle	sample34	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 623 km	1
PRJNA422339	SRR6384228	WGS	200	7000000000	SAMN13381241	2806056586	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477929	Illumina HiSeq 2500	wHAXPI033837-61	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample33	SRP126917	Model organism or animal	not determined	sketetal muscle	sample33	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 622 km	1
PRJNA422339	SRR6384229	WGS	200	7000000000	SAMN13381248	2779866017	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477928	Illumina HiSeq 2500	wHAXPI033844-78	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample40	SRP126917	Model organism or animal	not determined	sketetal muscle	sample40	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 620 km	1
PRJNA422339	SRR6384230	WGS	200	7000000000	SAMN13381247	2766104314	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477927	Illumina HiSeq 2500	wHAXPI033843-75	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample39	SRP126917	Model organism or animal	not determined	sketetal muscle	sample39	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 619 km	1
PRJNA422339	SRR6384231	WGS	200	7000000000	SAMN13381235	2843258723	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477926	Illumina HiSeq 2500	wHAXPI033747-45	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample27	SRP126917	Model organism or animal	not determined	sketetal muscle	sample27	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 625 km	1
PRJNA422339	SRR6384232	WGS	200	7000000000	SAMN13381236	2856108152	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477925	Illumina HiSeq 2500	wHAXPI033748-47	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample28	SRP126917	Model organism or animal	not determined	sketetal muscle	sample28	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 626 km	1
PRJNA422339	SRR6384233	WGS	200	7000000000	SAMN13381233	2852274878	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477924	Illumina HiSeq 2500	wHAXPI033745-41	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample25	SRP126917	Model organism or animal	not determined	sketetal muscle	sample25	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 623 km	1
PRJNA422339	SRR6384234	WGS	200	7000000000	SAMN13381234	2859046018	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477923	Illumina HiSeq 2500	wHAXPI033746-42	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample26	SRP126917	Model organism or animal	not determined	sketetal muscle	sample26	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 624 km	1
PRJNA422339	SRR6384235	WGS	200	7000000000	SAMN13381231	2933307848	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477922	Illumina HiSeq 2500	wHAXPI033743-39	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample23	SRP126917	Model organism or animal	not determined	sketetal muscle	sample23	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 621 km	1
PRJNA422339	SRR6384236	WGS	200	7000000000	SAMN13381232	2897186463	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477921	Illumina HiSeq 2500	wHAXPI033744-40	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample24	SRP126917	Model organism or animal	not determined	sketetal muscle	sample24	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 622 km	1
PRJNA422339	SRR6384237	WGS	200	7000000000	SAMN13381229	2901907568	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477920	Illumina HiSeq 2500	wHAXPI033741-35	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample21	SRP126917	Model organism or animal	not determined	sketetal muscle	sample21	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 619 km	1
PRJNA422339	SRR6384238	WGS	153	7000000000	SAMN13381230	2865685598	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477919	Illumina HiSeq 2500	wHAXPI033742-36	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample22	SRP126917	Model organism or animal	not determined	sketetal muscle	sample22	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 620 km	1
PRJNA422339	SRR6384240	WGS	200	7000000000	SAMN13381237	2945515056	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477917	Illumina HiSeq 2500	wHAXPI033749-50	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample29	SRP126917	Model organism or animal	not determined	sketetal muscle	sample29	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 618 km	1
PRJNA422339	SRR6384241	WGS	200	7000000000	SAMN13381238	2784262403	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477916	Illumina HiSeq 2500	wHAXPI033834-54	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample30	SRP126917	Model organism or animal	not determined	sketetal muscle	sample30	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 619 km	1
PRJNA422339	SRR6384243	WGS	200	7000000000	SAMN13381262	2723488428	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477914	Illumina HiSeq 2500	wHAXPI033859-111	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample54	SRP126917	Model organism or animal	not determined	sketetal muscle	sample54	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 625 km	1
PRJNA422339	SRR6384244	WGS	200	7000000000	SAMN13381261	2770960201	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3477913	Illumina HiSeq 2500	wHAXPI033858-108	PAIRED	RANDOM	GENOMIC	Coilia_nasus	ILLUMINA	2019-01-01T00:00:00Z	anchovy_sample53	SRP126917	Model organism or animal	not determined	sketetal muscle	sample53	not determined	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 624 km	1
