BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	dev_stage	Strain	use_species
PRJNA522329	SRR8586031	WGS	300	4474562700	SAMN10928588	1459980234	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386563	HiSeq X Ten	OO25	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO25	SRP186117	Model organism or animal	not determined	fin	adult	OO25	0
PRJNA522329	SRR8586032	WGS	300	4419519300	SAMN10928589	1467098300	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386562	HiSeq X Ten	OO26	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO26	SRP186117	Model organism or animal	not determined	fin	adult	OO26	0
PRJNA522329	SRR8586033	WGS	300	4221735900	SAMN10928586	1410940010	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386561	HiSeq X Ten	OO23	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO23	SRP186117	Model organism or animal	not determined	fin	adult	OO23	0
PRJNA522329	SRR8586034	WGS	300	4076050500	SAMN10928587	1327968899	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386560	HiSeq X Ten	OO24	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO24	SRP186117	Model organism or animal	not determined	fin	adult	OO24	0
PRJNA522329	SRR8586035	WGS	300	4442439600	SAMN10928584	1456985427	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386559	HiSeq X Ten	OO21	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO21	SRP186117	Model organism or animal	not determined	fin	adult	OO21	0
PRJNA522329	SRR8586036	WGS	300	4012515600	SAMN10928585	1313568089	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386558	HiSeq X Ten	OO22	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO22	SRP186117	Model organism or animal	not determined	fin	adult	OO22	0
PRJNA522329	SRR8586037	WGS	300	4273042500	SAMN10928582	1554583721	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386557	HiSeq X Ten	OO19	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO19	SRP186117	Model organism or animal	not determined	fin	adult	OO19	0
PRJNA522329	SRR8586038	WGS	300	3733979400	SAMN10928583	1250790463	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386556	HiSeq X Ten	OO20	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO20	SRP186117	Model organism or animal	not determined	fin	adult	OO20	0
PRJNA522329	SRR8586039	WGS	300	4849387800	SAMN10928580	1614446788	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386555	HiSeq X Ten	OO17	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO17	SRP186117	Model organism or animal	not determined	fin	adult	OO17	0
PRJNA522329	SRR8586040	WGS	300	3665796900	SAMN10928581	1187683611	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386554	HiSeq X Ten	OO18	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO18	SRP186117	Model organism or animal	not determined	fin	adult	OO18	0
PRJNA522329	SRR8586041	WGS	300	6285256800	SAMN10928579	2013976301	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386553	HiSeq X Ten	OO16	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO16	SRP186117	Model organism or animal	not determined	fin	adult	OO16	0
PRJNA522329	SRR8586042	WGS	300	3642318300	SAMN10928578	1228550131	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386552	HiSeq X Ten	OO15	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO15	SRP186117	Model organism or animal	not determined	fin	adult	OO15	0
PRJNA522329	SRR8586043	WGS	300	4142486400	SAMN10928573	1360321293	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386551	HiSeq X Ten	OO08	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO08	SRP186117	Model organism or animal	not determined	fin	adult	OO08	0
PRJNA522329	SRR8586044	WGS	300	4236128100	SAMN10928572	1398160635	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386550	HiSeq X Ten	OO07	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO07	SRP186117	Model organism or animal	not determined	fin	adult	OO07	0
PRJNA522329	SRR8586045	WGS	300	5326073400	SAMN10928571	1737486561	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386549	HiSeq X Ten	OO06	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO06	SRP186117	Model organism or animal	not determined	fin	adult	OO06	0
PRJNA522329	SRR8586047	WGS	300	3879563400	SAMN10928577	1261909794	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386547	HiSeq X Ten	OO14	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO14	SRP186117	Model organism or animal	not determined	fin	adult	OO14	0
PRJNA522329	SRR8586048	WGS	300	4475504700	SAMN10928576	1460864257	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386546	HiSeq X Ten	OO12	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO12	SRP186117	Model organism or animal	not determined	fin	adult	OO12	0
PRJNA522329	SRR8586049	WGS	300	4315434600	SAMN10928575	1417962668	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386545	HiSeq X Ten	OO10	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO10	SRP186117	Model organism or animal	not determined	fin	adult	OO10	0
PRJNA522329	SRR8586050	WGS	300	4417028400	SAMN10928574	1444439402	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386544	HiSeq X Ten	OO09	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO09	SRP186117	Model organism or animal	not determined	fin	adult	OO09	0
PRJNA522329	SRR8586028	WGS	300	3763227000	SAMN10928590	1231872527	CAFS	public	fastq,sra	gs,ncbi,s3	ncbi.public,gs.US,s3.us-east-1	SRX5386566	HiSeq X Ten	OO27	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO27	SRP186117	Model organism or animal	not determined	fin	adult	OO27	0
