BioProject	Run	Assay Type	BioSample	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	Alias	Description	ENA_CHECKLIST	sub_species	use_species
PRJEB21643	ERR2029753	WGS	SAMEA104157457	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088810	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_tristis	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104157457	ERP023915	missing	ERS1816475	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T12:22:58Z	public	ERS1816475	Pcol20	Pcol20	Tristis\, sympatry	ERC000011	tristis	1
PRJEB21643	ERR2029754	WGS	SAMEA104157458	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088811	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_tristis	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104157458	ERP023915	missing	ERS1816476	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T12:22:58Z	public	ERS1816476	Pcol21	Pcol21	Tristis\, sympatry	ERC000011	tristis	1
PRJEB21643	ERR2029755	WGS	SAMEA104157459	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088812	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_tristis	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104157459	ERP023915	missing	ERS1816477	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T12:22:58Z	public	ERS1816477	Pcol22	Pcol22	Tristis\, sympatry	ERC000011	tristis	1
PRJEB21643	ERR2029756	WGS	SAMEA104157460	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088813	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_tristis	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104157460	ERP023915	missing	ERS1816478	2017-12-15	2018-11-16	NA	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T12:22:58Z	public	ERS1816478	Pcol23	Pcol23	Tristis\, sympatry	ERC000011	tristis	1
PRJEB21643	ERR2029757	WGS	SAMEA104157461	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088814	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_tristis	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104157461	ERP023915	missing	ERS1816479	2017-12-15	2018-11-16	NA	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T12:22:58Z	public	ERS1816479	Pcol37	Pcol37	Tristis\, sympatry	ERC000011	tristis	1
PRJEB21643	ERR2029758	WGS	SAMEA104157462	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088815	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_tristis	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104157462	ERP023915	missing	ERS1816480	2017-12-15	2018-11-16	NA	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T12:22:58Z	public	ERS1816480	Pcol38	Pcol38	Tristis\, sympatry	ERC000011	tristis	1
PRJEB21643	ERR2029759	WGS	SAMEA104157463	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088816	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_tristis	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104157463	ERP023915	missing	ERS1816481	2017-12-15	2018-11-16	NA	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T12:22:58Z	public	ERS1816481	Pcol39	Pcol39	Tristis\, sympatry	ERC000011	tristis	1
PRJEB21643	ERR2029760	WGS	SAMEA104157464	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088817	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_tristis	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104157464	ERP023915	missing	ERS1816482	2017-12-15	2018-11-16	NA	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T12:22:58Z	public	ERS1816482	Pcol41	Pcol41	Tristis\, sympatry	ERC000011	tristis	1
PRJEB21643	ERR2029761	WGS	SAMEA104157465	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088818	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_tristis	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104157465	ERP023915	missing	ERS1816483	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T12:22:58Z	public	ERS1816483	Pcol42	Pcol42	Tristis\, sympatry	ERC000011	tristis	1
PRJEB21643	ERR2029762	WGS	SAMEA104157466	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088819	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_tristis	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104157466	ERP023915	missing	ERS1816484	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T12:22:58Z	public	ERS1816484	Pcol47	Pcol47	Tristis\, sympatry	ERC000011	tristis	1
