BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	AGE	Ecotype	Biomaterial_provider	Collection_date	Sample_Type	Strain	Breed	Cultivar	Sample_code	use_species
PRJNA356817	SRR5097368	WGS	250	65972081250	SAMN06127791	24243367841	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2414178	Illumina HiSeq 2500	ABPO3	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-30T00:00:00Z	ABPO3	SRP094895	Model organism or animal	not determined	Muscle	not applicable	not applicable	not applicable	not applicable	NA	NA	NA	ABPO31	not applicable	not applicable	NA	1
PRJNA356817	SRR5097369	WGS	250	58897768750	SAMN06127784	21166310174	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2414179	Illumina HiSeq 2500	AAPO4	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-30T00:00:00Z	AAPO4	SRP094895	Model organism or animal	not determined	Muscle	not applicable	not applicable	not applicable	not applicable	NA	NA	NA	AAPO41	not applicable	not applicable	NA	1
PRJNA356817	SRR5097370	WGS	250	58086727250	SAMN06127779	20662233107	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2414180	Illumina HiSeq 2500	AAPM	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-30T00:00:00Z	AAPM	SRP094895	Model organism or animal	male	Muscle	not applicable	not applicable	not applicable	not applicable	NA	NA	NA	AAPM1	not applicable	not applicable	NA	1
PRJNA356817	SRR5097371	WGS	250	62620638750	SAMN06127782	22884809238	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2414181	Illumina HiSeq 2500	AAPO2	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-30T00:00:00Z	AAPO2	SRP094895	Model organism or animal	not determined	Muscle	not applicable	not applicable	not applicable	not applicable	NA	NA	NA	AAPO21	not applicable	not applicable	NA	1
PRJNA356817	SRR5097372	WGS	250	62565113000	SAMN06127780	23432613621	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2414182	Illumina HiSeq 2500	AAPF	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-30T00:00:00Z	AAPF	SRP094895	Model organism or animal	female	Muscle	not applicable	not applicable	not applicable	not applicable	NA	NA	NA	AAPF1	not applicable	not applicable	NA	1
PRJNA356817	SRR5770114	WGS	250	57649590000	SAMN07292367	20833252187	UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2969151	Illumina HiSeq 2500	APO001	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-29T00:00:00Z	APO001	SRP094895	Model organism or animal	not collected	Muscle	NA	NA	not collected	Atlantic3	NA	NA	NA	NA	NA	NA	NA	1
PRJNA356817	SRR5770115	WGS	250	62620638750	SAMN07292368	22884809242	UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2969150	Illumina HiSeq 2500	APO002	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-29T00:00:00Z	APO002	SRP094895	Model organism or animal	not collected	Muscle	NA	NA	not collected	Atlantic4	NA	NA	NA	NA	NA	NA	NA	1
PRJNA356817	SRR5770116	WGS	250	58086727250	SAMN07292365	20662233111	UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2969149	Illumina HiSeq 2500	APM001	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-29T00:00:00Z	APM001	SRP094895	Model organism or animal	male	Muscle	NA	NA	not collected	Atlantic1	NA	NA	NA	NA	NA	NA	NA	1
PRJNA356817	SRR5770117	WGS	250	62565113000	SAMN07292366	23432613625	UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2969148	Illumina HiSeq 2500	APF001	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-29T00:00:00Z	APF001	SRP094895	Model organism or animal	female	Muscle	NA	NA	not collected	Atlantic2	NA	NA	NA	NA	NA	NA	NA	1
PRJNA356817	SRR5770118	WGS	250	56172938250	SAMN07292371	20000272565	UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2969147	Illumina HiSeq 2500	APO005	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-29T00:00:00Z	APO005	SRP094895	Model organism or animal	not collected	Muscle	NA	NA	not collected	Atlantic7	NA	NA	NA	NA	NA	NA	NA	1
PRJNA356817	SRR5770119	WGS	250	53940488750	SAMN07292372	19050235879	UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2969146	Illumina HiSeq 2500	APO006	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-29T00:00:00Z	APO006	SRP094895	Model organism or animal	not collected	Muscle	NA	NA	not collected	Atlantic8	NA	NA	NA	NA	NA	NA	NA	1
PRJNA356817	SRR5770120	WGS	250	41284697250	SAMN07292369	14158693435	UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2969145	Illumina HiSeq 2500	APO003	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-29T00:00:00Z	APO003	SRP094895	Model organism or animal	not collected	Muscle	NA	NA	not collected	Atlantic5	NA	NA	NA	NA	NA	NA	NA	1
PRJNA356817	SRR5770121	WGS	250	58897768750	SAMN07292370	21166310178	UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2969144	Illumina HiSeq 2500	APO004	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-29T00:00:00Z	APO004	SRP094895	Model organism or animal	not collected	Muscle	NA	NA	not collected	Atlantic6	NA	NA	NA	NA	NA	NA	NA	1
PRJNA356817	SRR5770122	WGS	250	67063320250	SAMN07292375	25004941309	UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2969143	Illumina HiSeq 2500	BPO001	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-29T00:00:00Z	BPO001	SRP094895	Model organism or animal	not collected	Muscle	NA	NA	not collected	Baltic3	NA	NA	NA	NA	NA	NA	NA	1
PRJNA356817	SRR5770123	WGS	250	53902165000	SAMN07292376	19079884085	UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2969142	Illumina HiSeq 2500	BPO002	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-29T00:00:00Z	BPO002	SRP094895	Model organism or animal	not collected	Muscle	NA	NA	not collected	Baltic4	NA	NA	NA	NA	NA	NA	NA	1
PRJNA356817	SRR5097365	WGS	250	57220333750	SAMN06127788	20394989477	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2414175	Illumina HiSeq 2500	ABPF	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2017-06-30T00:00:00Z	ABPF	SRP094895	Model organism or animal	female	Muscle	not applicable	not applicable	not applicable	not applicable	NA	NA	NA	ABPF1	not applicable	not applicable	NA	1
PRJNA642736	SRR12106887	WGS	299	30168411738	SAMN15398084	11631729918	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631115	Illumina NovaSeq 6000	HGS20_CapeWrath_Atlantic_Spring_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS20_CapeWrath	SRP269168	Model organism or animal	not applicable	missing	NA	adult	NA	Cape Wrath	NA	NA	pool	NA	NA	NA	HGS20_CapeWrath	1
PRJNA642736	SRR12106874	WGS	302	3491254994	SAMN15398089	1263316771	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631128	Illumina NovaSeq 6000	HGS22_CapeWrath_Atlantic_Autumn_rg3	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS22_CapeWrath	SRP269168	Model organism or animal	not applicable	missing	NA	adult	NA	Cape Wrath	NA	NA	pool	NA	NA	NA	HGS22_CapeWrath	1
PRJNA642736	SRR12106875	WGS	302	3534434048	SAMN15398089	1280068688	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631127	Illumina NovaSeq 6000	HGS22_CapeWrath_Atlantic_Autumn_rg2	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS22_CapeWrath	SRP269168	Model organism or animal	not applicable	missing	NA	adult	NA	Cape Wrath	NA	NA	pool	NA	NA	NA	HGS22_CapeWrath	1
PRJNA642736	SRR12106876	WGS	300	28069268280	SAMN15398089	10722847729	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631126	Illumina NovaSeq 6000	HGS22_CapeWrath_Atlantic_Autumn_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS22_CapeWrath	SRP269168	Model organism or animal	not applicable	missing	NA	adult	NA	Cape Wrath	NA	NA	pool	NA	NA	NA	HGS22_CapeWrath	1
PRJNA642736	SRR12106879	WGS	302	2854402830	SAMN15398088	1020145627	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631123	Illumina NovaSeq 6000	HGS16_Orkney_NorthSea_Autumn_rg2	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS16_Orkney	SRP269168	Model organism or animal	not applicable	missing	NA	adult	NA	North Sea:Orkney	NA	NA	pool	NA	NA	NA	HGS16_Orkney	1
PRJNA642736	SRR12106880	WGS	299	27330086242	SAMN15398088	10442346216	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631122	Illumina NovaSeq 6000	HGS16_Orkney_NorthSea_Autumn_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS16_Orkney	SRP269168	Model organism or animal	not applicable	missing	NA	adult	NA	North Sea:Orkney	NA	NA	pool	NA	NA	NA	HGS16_Orkney	1
PRJNA642736	SRR12106881	WGS	299	29289455092	SAMN15398087	11263231463	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631121	Illumina NovaSeq 6000	HGS18_CelticSea_Atlantic_AutumnWinter_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS18_CelticSea	SRP269168	Model organism or animal	not applicable	missing	NA	adult	NA	Celtic Sea	NA	NA	pool	NA	NA	NA	HGS18_CelticSea	1
PRJNA642736	SRR12106883	WGS	302	5934526802	SAMN15398086	2150257331	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631119	Illumina NovaSeq 6000	HGS21_Hebrides_Atlantic_Mixed_rg2	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS21_Hebrides	SRP269168	Model organism or animal	not applicable	missing	NA	adult	NA	North Sea:Hebrides	NA	NA	pool	NA	NA	NA	HGS21_Hebrides	1
PRJNA642736	SRR12106884	WGS	302	25570846152	SAMN15398086	9787724265	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631118	Illumina NovaSeq 6000	HGS21_Hebrides_Atlantic_Mixed_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS21_Hebrides	SRP269168	Model organism or animal	not applicable	missing	NA	adult	NA	North Sea:Hebrides	NA	NA	pool	NA	NA	NA	HGS21_Hebrides	1
PRJNA642736	SRR12106885	WGS	302	23197946384	SAMN15398085	8295322621	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631117	Illumina NovaSeq 6000	HGS27_Gloppen_Atlantic_Spring_rg2	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS27_Gloppen	SRP269168	Model organism or animal	not applicable	missing	NA	adult	NA	Norway:Gloppen	NA	NA	pool	NA	NA	NA	HGS27_Gloppen	1
PRJNA642736	SRR12106886	WGS	302	23365068050	SAMN15398085	8357649895	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631116	Illumina NovaSeq 6000	HGS27_Gloppen_Atlantic_Spring_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS27_Gloppen	SRP269168	Model organism or animal	not applicable	missing	NA	adult	NA	Norway:Gloppen	NA	NA	pool	NA	NA	NA	HGS27_Gloppen	1
PRJNA642736	SRR12106889	WGS	296	45936621868	SAMN15398083	17896873301	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631113	Illumina NovaSeq 6000	HGS15_NSSH_Atlantic_Spring_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS15_NSSH	SRP269168	Model organism or animal	not applicable	missing	NA	adult	NA	Norway	NA	NA	pool	NA	NA	NA	HGS15_NSSH	1
PRJNA642736	SRR12106890	WGS	299	33642323614	SAMN15398082	14043885927	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631112	Illumina NovaSeq 6000	HGS9_Greenland_Atlantic_Spring_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS9_Greenland	SRP269168	Model organism or animal	not applicable	missing	NA	adult	NA	Greenland	NA	NA	pool	NA	NA	NA	HGS9_Greenland	1
PRJNA642736	SRR12106892	WGS	302	8282786994	SAMN15398080	2993091974	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631110	Illumina NovaSeq 6000	HGS19_TeelinBay_Atlantic_Winter_rg3	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS19_TeelinBay	SRP269168	Model organism or animal	not applicable	missing	NA	adult	NA	Teelin Bay	NA	NA	pool	NA	NA	NA	HGS19_TeelinBay	1
PRJNA642736	SRR12106893	WGS	302	8398240084	SAMN15398080	3034236281	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631109	Illumina NovaSeq 6000	HGS19_TeelinBay_Atlantic_Winter_rg2	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS19_TeelinBay	SRP269168	Model organism or animal	not applicable	missing	NA	adult	NA	Teelin Bay	NA	NA	pool	NA	NA	NA	HGS19_TeelinBay	1
PRJNA642736	SRR12106894	WGS	302	20274964186	SAMN15398080	7717143435	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631108	Illumina NovaSeq 6000	HGS19_TeelinBay_Atlantic_Winter_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS19_TeelinBay	SRP269168	Model organism or animal	not applicable	missing	NA	adult	NA	Teelin Bay	NA	NA	pool	NA	NA	NA	HGS19_TeelinBay	1
PRJNA642736	SRR12106895	WGS	299	43977608237	SAMN15398079	16688931899	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631107	Illumina NovaSeq 6000	HGS17_IsleOfMan_IrishSea_Autumn_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS17_IsleOfMan	SRP269168	Model organism or animal	not applicable	missing	NA	adult	NA	Irish Sea:Isle Of Man	NA	NA	pool	NA	NA	NA	HGS17_IsleOfMan	1
PRJNA642736	SRR12106896	WGS	298	38442047857	SAMN15398078	14585384461	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631106	Illumina NovaSeq 6000	HGS23_Clyde_Atlantic_Spring_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS23_Clyde	SRP269168	Model organism or animal	not applicable	missing	NA	adult	NA	Clyde	NA	NA	pool	NA	NA	NA	HGS23_Clyde	1
PRJNA642736	SRR12106897	WGS	302	16848853914	SAMN15398077	6131871891	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631105	Illumina NovaSeq 6000	HGS26_Lusterfjorden_Atlantic_Spring_rg2	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS26_Lusterfjorden	SRP269168	Model organism or animal	not applicable	missing	NA	adult	NA	Norway:Lusterfjorden	NA	NA	pool	NA	NA	NA	HGS26_Lusterfjorden	1
PRJNA642736	SRR12106898	WGS	302	17203047970	SAMN15398077	6262324434	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631104	Illumina NovaSeq 6000	HGS26_Lusterfjorden_Atlantic_Spring_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS26_Lusterfjorden	SRP269168	Model organism or animal	not applicable	missing	NA	adult	NA	Norway:Lusterfjorden	NA	NA	pool	NA	NA	NA	HGS26_Lusterfjorden	1
PRJNA642736	SRR12106900	WGS	302	21871062876	SAMN15398076	7702340310	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631102	Illumina NovaSeq 6000	HGS25_Lindas_Atlantic_Spring_rg2	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS25_Lindas	SRP269168	Model organism or animal	not applicable	missing	NA	adult	NA	Norway:Lindas	NA	NA	pool	NA	NA	NA	HGS25_Lindas	1
PRJNA642736	SRR12106901	WGS	302	21992444830	SAMN15398076	7749553009	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631101	Illumina NovaSeq 6000	HGS25_Lindas_Atlantic_Spring_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS25_Lindas	SRP269168	Model organism or animal	not applicable	missing	NA	adult	NA	Norway:Lindas	NA	NA	pool	NA	NA	NA	HGS25_Lindas	1
PRJNA642736	SRR12106902	WGS	299	56006550421	SAMN15398075	23286555773	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631100	Illumina NovaSeq 6000	HGS8_KattegatNorth_Atlantic_Spring_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS8_KattegatNorth	SRP269168	Model organism or animal	not applicable	missing	NA	adult	NA	Kattegat	NA	NA	pool	NA	NA	NA	HGS8_KattegatNorth	1
PRJNA642736	SRR12106903	WGS	249	20146192590	SAMN15398074	9040703945	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631099	Illumina NovaSeq 6000	LandvikS32_Norway_Baltic_Spring_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	LandvikS32	SRP269168	Model organism or animal	not applicable	missing	NA	adult	NA	Norway:Landvik	NA	NA	pool	NA	NA	NA	LandvikS32	1
PRJNA642736	SRR12106904	WGS	251	30075386610	SAMN15398073	14385937802	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631098	Illumina NovaSeq 6000	LandvikS17_Norway_Baltic_Spring_rg1	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	LandvikS17	SRP269168	Model organism or animal	not applicable	missing	NA	adult	NA	Norway:Landvik	NA	NA	pool	NA	NA	NA	LandvikS17	1
PRJNA642736	SRR12106905	WGS	302	19440089716	SAMN15398072	6966909495	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631097	Illumina NovaSeq 6000	HGS24_Landvik_Atlantic_Spring_rg2	PAIRED	RANDOM	GENOMIC	Clupea_harengus	ILLUMINA	2020-12-07T00:00:00Z	HGS24_Landvik	SRP269168	Model organism or animal	not applicable	missing	NA	adult	NA	Norway:Landvik	NA	NA	pool	NA	NA	NA	HGS24_Landvik	1
