BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	tissue_type	geographic_location_(region_and_locality)	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	Alias	AssemblyName	Description	ENA_CHECKLIST	use_species
PRJEB27649	ERR2697506	WGS	200	10582703600	SAMEA4785122	4076209389	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711899	Illumina HiSeq 2000	unspecified	PAIRED	PCR	GENOMIC	Passer_italiae	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785122	ERP109758	NA	missing	NA	NA	NA	ERS2605060	2018-07-17	2018-11-16	NA	NA	CEES	University of Oslo	2018-07-17T17:02:54Z	2018-07-11T09:24:39Z	public	ERS2605060	Rimini_103	Rimini_103	PASSER_DOMESTICUS-1.0	Italian sparrow\, M\, Rimini_Italy	ERC000011	1
PRJEB27649	ERR2697507	WGS	200	10939283200	SAMEA4785123	4210097822	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711900	Illumina HiSeq 2000	unspecified	PAIRED	PCR	GENOMIC	Passer_italiae	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785123	ERP109758	NA	missing	NA	NA	NA	ERS2605061	2018-07-17	2018-11-16	NA	NA	CEES	University of Oslo	2018-07-17T17:02:54Z	2018-07-11T09:24:39Z	public	ERS2605061	Rimini_104	Rimini_104	PASSER_DOMESTICUS-1.0	Italian sparrow\, M\, Rimini_Italy	ERC000011	1
PRJEB27649	ERR2697508	WGS	200	11079346800	SAMEA4785124	4290124197	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711901	Illumina HiSeq 2000	unspecified	PAIRED	PCR	GENOMIC	Passer_italiae	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785124	ERP109758	NA	missing	NA	NA	NA	ERS2605062	2018-07-17	2018-11-16	NA	NA	CEES	University of Oslo	2018-07-17T17:02:54Z	2018-07-11T09:24:39Z	public	ERS2605062	Rimini_110	Rimini_110	PASSER_DOMESTICUS-1.0	Italian sparrow\, M\, Rimini_Italy	ERC000011	1
PRJEB27649	ERR2697509	WGS	200	9909466600	SAMEA4785125	3866262861	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711902	Illumina HiSeq 2000	unspecified	PAIRED	PCR	GENOMIC	Passer_italiae	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785125	ERP109758	NA	missing	NA	NA	NA	ERS2605063	2018-07-17	2018-11-16	NA	NA	CEES	University of Oslo	2018-07-17T17:02:54Z	2018-07-11T09:24:39Z	public	ERS2605063	Rimini_112	Rimini_112	PASSER_DOMESTICUS-1.0	Italian sparrow\, M\, Rimini_Italy	ERC000011	1
PRJEB27649	ERR2697510	WGS	200	10527403800	SAMEA4785126	4086971786	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711903	Illumina HiSeq 2000	unspecified	PAIRED	PCR	GENOMIC	Passer_italiae	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785126	ERP109758	NA	missing	NA	NA	NA	ERS2605064	2018-07-17	2018-11-16	NA	NA	CEES	University of Oslo	2018-07-17T17:02:54Z	2018-07-11T09:24:39Z	public	ERS2605064	Rimini_85	Rimini_85	PASSER_DOMESTICUS-1.0	Italian sparrow\, M\, Rimini_Italy	ERC000011	1
PRJEB27649	ERR2697511	WGS	200	9942253200	SAMEA4785127	3872525150	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711904	Illumina HiSeq 2000	unspecified	PAIRED	PCR	GENOMIC	Passer_italiae	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785127	ERP109758	NA	missing	NA	NA	NA	ERS2605065	2018-07-17	2018-11-16	NA	NA	CEES	University of Oslo	2018-07-17T17:02:54Z	2018-07-11T09:24:39Z	public	ERS2605065	Rimini_88	Rimini_88	PASSER_DOMESTICUS-1.0	Italian sparrow\, M\, Rimini_Italy	ERC000011	1
PRJEB27649	ERR2697512	WGS	200	9722068200	SAMEA4785128	3801993323	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711905	Illumina HiSeq 2000	unspecified	PAIRED	PCR	GENOMIC	Passer_italiae	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785128	ERP109758	NA	missing	NA	NA	NA	ERS2605066	2018-07-17	2018-11-16	NA	NA	CEES	University of Oslo	2018-07-17T17:02:54Z	2018-07-11T09:24:39Z	public	ERS2605066	Rimini_91	Rimini_91	PASSER_DOMESTICUS-1.0	Italian sparrow\, M\, Rimini_Italy	ERC000011	1
PRJEB27649	ERR2697513	WGS	200	10050093400	SAMEA4785129	3984480415	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711906	Illumina HiSeq 2000	unspecified	PAIRED	PCR	GENOMIC	Passer_italiae	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785129	ERP109758	NA	missing	NA	NA	NA	ERS2605067	2018-07-17	2018-11-16	NA	NA	CEES	University of Oslo	2018-07-17T17:02:54Z	2018-07-11T09:24:39Z	public	ERS2605067	Rimini_93	Rimini_93	PASSER_DOMESTICUS-1.0	Italian sparrow\, M\, Rimini_Italy	ERC000011	1
PRJEB27649	ERR2697514	WGS	200	10904747200	SAMEA4785130	4262826281	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711907	Illumina HiSeq 2000	unspecified	PAIRED	PCR	GENOMIC	Passer_italiae	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785130	ERP109758	NA	missing	NA	NA	NA	ERS2605068	2018-07-17	2018-11-16	NA	NA	CEES	University of Oslo	2018-07-17T17:02:54Z	2018-07-11T09:24:39Z	public	ERS2605068	Rimini_94	Rimini_94	PASSER_DOMESTICUS-1.0	Italian sparrow\, M\, Rimini_Italy	ERC000011	1
PRJEB27649	ERR2697534	WGS	466	36884879314	SAMEA4785150	16642853676	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711927	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_italiae	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785150	ERP109758	NA	missing	NA	NA	NA	ERS2605088	2018-07-17	2018-11-16	NA	NA	CEES	University of Oslo	2018-07-17T17:02:54Z	2018-07-11T09:24:40Z	public	ERS2605088	PO430	PO430	PASSER_DOMESTICUS-1.0	Italian sparrow\, F\, Lesina_Italy	ERC000011	1
PRJEB27649	ERR2697461	WGS	200	10653195600	SAMEA4785077	4127295572	UNIVERSITY OF OSLO	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX2711854	HiSeq X Ten	unspecified	PAIRED	PCR	GENOMIC	Passer_italiae	ILLUMINA	2018-07-18T00:00:00Z	SAMEA4785077	ERP109758	NA	missing	NA	NA	NA	ERS2605015	2018-07-17	2018-11-16	NA	NA	CEES	University of Oslo	2018-07-17T17:02:55Z	2018-07-11T09:24:38Z	public	ERS2605015	Crotone514	Crotone514	PASSER_DOMESTICUS-1.0	Italian sparrow\, M\, Crotone_Italy	ERC000011	1
PRJNA255814	SRR5369937	WGS	200	13227730800	SAMN06619721	9558962700	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665264	Illumina HiSeq 2000	HI.1158.007.Index_10.Pitaliae_30_Guglionesi_436	PAIRED	RANDOM	GENOMIC	Passer_italiae	ILLUMINA	2017-03-24T00:00:00Z	2008-P0436	SRP045123	Model organism or animal	male	blood	2008-P0436	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369939	WGS	200	13993182000	SAMN06619719	8836259662	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665266	Illumina HiSeq 2000	HI.1231.008.Index_8.Pitaliae_28_Guglionesi_434	PAIRED	RANDOM	GENOMIC	Passer_italiae	ILLUMINA	2017-03-24T00:00:00Z	2008-P0434	SRP045123	Model organism or animal	male	blood	2008-P0434	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369940	WGS	200	14345745000	SAMN06619718	10270655375	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665267	Illumina HiSeq 2000	HI.1158.007.Index_7.Pitaliae_27_Guglionesi_433	PAIRED	RANDOM	GENOMIC	Passer_italiae	ILLUMINA	2017-03-24T00:00:00Z	2008-P0433	SRP045123	Model organism or animal	male	blood	2008-P0433	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369941	WGS	200	12528766200	SAMN06619717	8920399156	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665268	Illumina HiSeq 2000	HI.1158.006.Index_6.Pitaliae_26_Guglionesi_432	PAIRED	RANDOM	GENOMIC	Passer_italiae	ILLUMINA	2017-03-24T00:00:00Z	2008-P0432	SRP045123	Model organism or animal	male	blood	2008-P0432	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369942	WGS	200	14866892800	SAMN06619716	10490195379	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665269	Illumina HiSeq 2000	HI.1158.006.Index_5.Pitaliae_25_Guglionesi_431	PAIRED	RANDOM	GENOMIC	Passer_italiae	ILLUMINA	2017-03-24T00:00:00Z	2008-P0431	SRP045123	Model organism or animal	male	blood	2008-P0431	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369943	WGS	200	13837050600	SAMN06619715	9800882325	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665270	Illumina HiSeq 2000	HI.1158.006.Index_4.Pitaliae_24_Guglionesi_429	PAIRED	RANDOM	GENOMIC	Passer_italiae	ILLUMINA	2017-03-24T00:00:00Z	2008-P0429	SRP045123	Model organism or animal	male	blood	2008-P0429	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369944	WGS	200	13123361600	SAMN06619714	9532578772	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665271	Illumina HiSeq 2000	HI.1158.005.Index_3.Pitaliae_23_Guglionesi_428	PAIRED	RANDOM	GENOMIC	Passer_italiae	ILLUMINA	2017-03-24T00:00:00Z	2008-P0428	SRP045123	Model organism or animal	male	blood	2008-P0428	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369946	WGS	200	15156260000	SAMN06619712	10999065914	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665273	Illumina HiSeq 2000	HI.1158.005.Index_1.Pitaliae_21_Guglionesi_426	PAIRED	RANDOM	GENOMIC	Passer_italiae	ILLUMINA	2017-03-24T00:00:00Z	2008-P0426	SRP045123	Model organism or animal	male	blood	2008-P0426	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369945	WGS	200	12714878200	SAMN06619713	9286501632	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665272	Illumina HiSeq 2000	HI.1158.005.Index_2.Pitaliae_22_Guglionesi_427	PAIRED	RANDOM	GENOMIC	Passer_italiae	ILLUMINA	2017-03-24T00:00:00Z	2008-P0427	SRP045123	Model organism or animal	male	blood	2008-P0427	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJNA255814	SRR5369938	WGS	200	14273018000	SAMN06619720	10280470896	UNIVERSITY OF OSLO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2665265	Illumina HiSeq 2000	HI.1158.007.Index_9.Pitaliae_29_Guglionesi_435	PAIRED	RANDOM	GENOMIC	Passer_italiae	ILLUMINA	2017-03-24T00:00:00Z	2008-P0435	SRP045123	Model organism or animal	male	blood	2008-P0435	adult	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PRJEB22939	ERR2185478	WGS	NA	NA	SAMEA104363372	NA	UNIVERSITY OF OSLO	public	bam	ena	ena	ERX2241597	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Passer_italiae	ILLUMINA	2017-11-01T00:00:00Z	SAMEA104363372	ERP104668	NA	male	NA	NA	NA	ERS1988350	2017-10-31	2018-11-16	Blood	Crete	UNIVERSITY OF OSLO	University of Oslo	2017-10-31T17:02:48Z	2017-10-31T06:16:07Z	public	ERS1988350	ItalianIslandSparrow	1	NA	bam-file with whole genome resequencing data	ERC000011	1
PRJEB22939	ERR2185479	WGS	NA	NA	SAMEA104363373	NA	UNIVERSITY OF OSLO	public	bam	ena	ena	ERX2241598	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Passer_italiae	ILLUMINA	2017-11-01T00:00:00Z	SAMEA104363373	ERP104668	NA	male	NA	NA	NA	ERS1988351	2017-10-31	2018-11-16	Blood	Crete	UNIVERSITY OF OSLO	University of Oslo	2017-10-31T17:02:48Z	2017-10-31T06:16:07Z	public	ERS1988351	ItalianIslandSparrow	2	NA	NA	ERC000011	1
PRJEB22939	ERR2185480	WGS	NA	NA	SAMEA104363374	NA	UNIVERSITY OF OSLO	public	bam	ena	ena	ERX2241599	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Passer_italiae	ILLUMINA	2017-11-01T00:00:00Z	SAMEA104363374	ERP104668	NA	male	NA	NA	NA	ERS1988352	2017-10-31	2018-11-16	Blood	Crete	UNIVERSITY OF OSLO	University of Oslo	2017-10-31T17:02:48Z	2017-10-31T06:16:07Z	public	ERS1988352	ItalianIslandSparrow	3	NA	NA	ERC000011	1
PRJEB22939	ERR2185481	WGS	NA	NA	SAMEA104363375	NA	UNIVERSITY OF OSLO	public	bam	ena	ena	ERX2241600	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Passer_italiae	ILLUMINA	2017-11-01T00:00:00Z	SAMEA104363375	ERP104668	NA	male	NA	NA	NA	ERS1988353	2017-10-31	2018-11-16	Blood	Crete	UNIVERSITY OF OSLO	University of Oslo	2017-10-31T17:02:48Z	2017-10-31T06:16:07Z	public	ERS1988353	ItalianIslandSparrow	4	NA	NA	ERC000011	1
PRJEB22939	ERR2185482	WGS	NA	NA	SAMEA104363376	NA	UNIVERSITY OF OSLO	public	bam	ena	ena	ERX2241601	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Passer_italiae	ILLUMINA	2017-11-01T00:00:00Z	SAMEA104363376	ERP104668	NA	male	NA	NA	NA	ERS1988354	2017-10-31	2018-11-16	Blood	Crete	UNIVERSITY OF OSLO	University of Oslo	2017-10-31T17:02:48Z	2017-10-31T06:16:07Z	public	ERS1988354	ItalianIslandSparrow	5	NA	NA	ERC000011	1
PRJEB22939	ERR2185483	WGS	NA	NA	SAMEA104363377	NA	UNIVERSITY OF OSLO	public	bam	ena	ena	ERX2241602	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Passer_italiae	ILLUMINA	2017-11-01T00:00:00Z	SAMEA104363377	ERP104668	NA	male	NA	NA	NA	ERS1988355	2017-10-31	2018-11-16	Blood	Crete	UNIVERSITY OF OSLO	University of Oslo	2017-10-31T17:02:48Z	2017-10-31T06:16:07Z	public	ERS1988355	ItalianIslandSparrow	6	NA	NA	ERC000011	1
PRJEB22939	ERR2185484	WGS	NA	NA	SAMEA104363378	NA	UNIVERSITY OF OSLO	public	bam	ena	ena	ERX2241603	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Passer_italiae	ILLUMINA	2017-11-01T00:00:00Z	SAMEA104363378	ERP104668	NA	male	NA	NA	NA	ERS1988356	2017-10-31	2018-11-16	Blood	Crete	UNIVERSITY OF OSLO	University of Oslo	2017-10-31T17:02:48Z	2017-10-31T06:16:07Z	public	ERS1988356	ItalianIslandSparrow	7	NA	NA	ERC000011	1
PRJEB22939	ERR2185485	WGS	NA	NA	SAMEA104363379	NA	UNIVERSITY OF OSLO	public	bam	ena	ena	ERX2241604	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Passer_italiae	ILLUMINA	2017-11-01T00:00:00Z	SAMEA104363379	ERP104668	NA	male	NA	NA	NA	ERS1988357	2017-10-31	2018-11-16	Blood	Crete	UNIVERSITY OF OSLO	University of Oslo	2017-10-31T17:02:48Z	2017-10-31T06:16:07Z	public	ERS1988357	ItalianIslandSparrow	8	NA	NA	ERC000011	1
PRJEB22939	ERR2185486	WGS	NA	NA	SAMEA104363380	NA	UNIVERSITY OF OSLO	public	bam	ena	ena	ERX2241605	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Passer_italiae	ILLUMINA	2017-11-01T00:00:00Z	SAMEA104363380	ERP104668	NA	male	NA	NA	NA	ERS1988358	2017-10-31	2018-11-16	Blood	Crete	UNIVERSITY OF OSLO	University of Oslo	2017-10-31T17:02:48Z	2017-10-31T06:16:07Z	public	ERS1988358	ItalianIslandSparrow	9	NA	NA	ERC000011	1
PRJEB22939	ERR2185487	WGS	NA	NA	SAMEA104363381	NA	UNIVERSITY OF OSLO	public	bam	ena	ena	ERX2241606	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Passer_italiae	ILLUMINA	2017-11-01T00:00:00Z	SAMEA104363381	ERP104668	NA	male	NA	NA	NA	ERS1988359	2017-10-31	2018-11-16	Blood	Crete	UNIVERSITY OF OSLO	University of Oslo	2017-10-31T17:02:48Z	2017-10-31T06:16:07Z	public	ERS1988359	ItalianIslandSparrow	10	NA	NA	ERC000011	1
PRJEB22939	ERR2185488	WGS	NA	NA	SAMEA104363382	NA	UNIVERSITY OF OSLO	public	bam	ena	ena	ERX2241607	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM	GENOMIC	Passer_italiae	ILLUMINA	2017-11-01T00:00:00Z	SAMEA104363382	ERP104668	NA	male	NA	NA	NA	ERS1988360	2017-10-31	2018-11-16	Blood	Sicily	UNIVERSITY OF OSLO	University of Oslo	2017-10-31T17:02:48Z	2017-10-31T06:16:07Z	public	ERS1988360	ItalianIslandSparrow	11	NA	NA	ERC000011	1
