BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	Ecotype	Biomaterial_provider	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	collected_by	lat_lon	Sample_Type	use_species
PRJNA668259	SRR12854656	WGS	302	3092454934	SAMN16492487	981811197	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321520	Illumina NovaSeq 6000	ACA40	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA40	SRP287931	Model organism or animal	missing	not applicable	ACA40	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12854657	WGS	302	4057026022	SAMN16492473	1284300500	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321519	Illumina NovaSeq 6000	ACA28	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA28	SRP287931	Model organism or animal	missing	not applicable	ACA28	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12854658	WGS	302	3826081790	SAMN16492460	1211965457	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321518	Illumina NovaSeq 6000	ACA16	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA16	SRP287931	Model organism or animal	missing	not applicable	ACA16	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12854700	WGS	302	6952260158	SAMN16492484	2215495390	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321969	Illumina NovaSeq 6000	ACA38	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA38	SRP287931	Model organism or animal	missing	not applicable	ACA38	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12854701	WGS	302	6087000864	SAMN16492469	1925462534	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321968	Illumina NovaSeq 6000	ACA24	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA24	SRP287931	Model organism or animal	missing	not applicable	ACA24	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12854705	WGS	302	3485502196	SAMN16492500	1103521487	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321964	Illumina NovaSeq 6000	ACA7	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA7	SRP287931	Model organism or animal	missing	not applicable	ACA7	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12854724	WGS	302	4410080632	SAMN16492494	1416620466	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321945	Illumina NovaSeq 6000	ACA47	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA47	SRP287931	Model organism or animal	missing	not applicable	ACA47	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12854725	WGS	302	3476789798	SAMN16492491	1104927686	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321944	Illumina NovaSeq 6000	ACA44	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA44	SRP287931	Model organism or animal	missing	not applicable	ACA44	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12854726	WGS	302	3787340928	SAMN16492497	1201710153	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321943	Illumina NovaSeq 6000	ACA4	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA4	SRP287931	Model organism or animal	missing	not applicable	ACA4	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12854737	WGS	302	2344163562	SAMN16492483	747613798	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321932	Illumina NovaSeq 6000	ACA37	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA37	SRP287931	Model organism or animal	missing	not applicable	ACA37	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12854748	WGS	302	5539666634	SAMN16492476	1756526903	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321921	Illumina NovaSeq 6000	ACA30	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA30	SRP287931	Model organism or animal	missing	not applicable	ACA30	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12854758	WGS	302	3327292852	SAMN16492455	1073836156	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321911	Illumina NovaSeq 6000	ACA11	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA11	SRP287931	Model organism or animal	missing	not applicable	ACA11	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12854759	WGS	302	4234922746	SAMN16492489	1339128185	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321910	Illumina NovaSeq 6000	ACA42	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA42	SRP287931	Model organism or animal	missing	not applicable	ACA42	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12854760	WGS	302	5465898302	SAMN16492485	1734345789	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321909	Illumina NovaSeq 6000	ACA39	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA39	SRP287931	Model organism or animal	missing	not applicable	ACA39	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12854761	WGS	302	6238861564	SAMN16492479	1975391202	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321908	Illumina NovaSeq 6000	ACA33	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA33	SRP287931	Model organism or animal	missing	not applicable	ACA33	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12854762	WGS	302	7111041188	SAMN16492471	2269417527	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321907	Illumina NovaSeq 6000	ACA26	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA26	SRP287931	Model organism or animal	missing	not applicable	ACA26	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12854763	WGS	302	5737955606	SAMN16492463	1813458145	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321906	Illumina NovaSeq 6000	ACA19	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA19	SRP287931	Model organism or animal	missing	not applicable	ACA19	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12854764	WGS	302	2491000794	SAMN16492459	789436583	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321905	Illumina NovaSeq 6000	ACA15	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA15	SRP287931	Model organism or animal	missing	not applicable	ACA15	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12854765	WGS	302	5210358888	SAMN16492454	1734226508	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321904	Illumina NovaSeq 6000	ACA10	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA10	SRP287931	Model organism or animal	missing	not applicable	ACA10	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12854769	WGS	302	4245598144	SAMN16492464	1359679125	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321900	Illumina NovaSeq 6000	ACA1	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA1	SRP287931	Model organism or animal	missing	not applicable	ACA1	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12854866	WGS	302	5591131058	SAMN16492502	1765185720	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321803	Illumina NovaSeq 6000	ACA9	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA9	SRP287931	Model organism or animal	missing	not applicable	ACA9	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12854867	WGS	302	4560172820	SAMN16492495	1448820353	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321802	Illumina NovaSeq 6000	ACA48	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA48	SRP287931	Model organism or animal	missing	not applicable	ACA48	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12854868	WGS	302	3471680260	SAMN16492492	1098733970	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321801	Illumina NovaSeq 6000	ACA45	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA45	SRP287931	Model organism or animal	missing	not applicable	ACA45	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12854871	WGS	302	3598215240	SAMN16492481	1165144198	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321798	Illumina NovaSeq 6000	ACA35	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA35	SRP287931	Model organism or animal	missing	not applicable	ACA35	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12854873	WGS	302	5362135028	SAMN16492477	1692093814	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321796	Illumina NovaSeq 6000	ACA31	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA31	SRP287931	Model organism or animal	missing	not applicable	ACA31	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12854874	WGS	302	3306784938	SAMN16492467	1049284048	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321795	Illumina NovaSeq 6000	ACA22	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA22	SRP287931	Model organism or animal	missing	not applicable	ACA22	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12854875	WGS	302	5641894540	SAMN16492465	1790690989	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321794	Illumina NovaSeq 6000	ACA20	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA20	SRP287931	Model organism or animal	missing	not applicable	ACA20	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12854877	WGS	302	2936244830	SAMN16492457	936318112	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321792	Illumina NovaSeq 6000	ACA13	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA13	SRP287931	Model organism or animal	missing	not applicable	ACA13	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12854951	WGS	302	5374993584	SAMN16492470	1714322520	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321718	Illumina NovaSeq 6000	ACA25	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA25	SRP287931	Model organism or animal	missing	not applicable	ACA25	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12854970	WGS	302	2530314852	SAMN16492498	800857753	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321699	Illumina NovaSeq 6000	ACA5	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA5	SRP287931	Model organism or animal	missing	not applicable	ACA5	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12854971	WGS	302	5494726618	SAMN16492493	1759175329	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321698	Illumina NovaSeq 6000	ACA46	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA46	SRP287931	Model organism or animal	missing	not applicable	ACA46	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12854972	WGS	302	4633939340	SAMN16492480	1475333903	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321697	Illumina NovaSeq 6000	ACA34	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA34	SRP287931	Model organism or animal	missing	not applicable	ACA34	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12854974	WGS	302	3845215000	SAMN16492466	1216336590	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321695	Illumina NovaSeq 6000	ACA21	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA21	SRP287931	Model organism or animal	missing	not applicable	ACA21	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12854975	WGS	302	2451186322	SAMN16492461	775105273	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321694	Illumina NovaSeq 6000	ACA17	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA17	SRP287931	Model organism or animal	missing	not applicable	ACA17	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12855016	WGS	302	2925063582	SAMN16492499	937474098	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321653	Illumina NovaSeq 6000	ACA6	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA6	SRP287931	Model organism or animal	missing	not applicable	ACA6	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12855017	WGS	302	4622120268	SAMN16492496	1469620677	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321652	Illumina NovaSeq 6000	ACA49	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA49	SRP287931	Model organism or animal	missing	not applicable	ACA49	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12854870	WGS	302	4620915590	SAMN16492488	1460512104	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9321799	Illumina NovaSeq 6000	ACA41	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA41	SRP287931	Model organism or animal	missing	not applicable	ACA41	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12854872	WGS	302	5668135320	SAMN16492478	1810637256	UPPSALA UNIVERSITY	public	sra,fastq	gs,ncbi,s3	s3.us-east-1,ncbi.public,gs.US	SRX9321797	Illumina NovaSeq 6000	ACA32	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA32	SRP287931	Model organism or animal	missing	not applicable	ACA32	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
PRJNA668259	SRR12854876	WGS	302	5863108332	SAMN16492462	1851783968	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	s3.us-east-1,ncbi.public,gs.US	SRX9321793	Illumina NovaSeq 6000	ACA18	PAIRED	RANDOM	GENOMIC	Anguilla_rostrata	ILLUMINA	2020-11-27T00:00:00Z	ACA18	SRP287931	Model organism or animal	missing	not applicable	ACA18	young	ACA	Leif Andersson	Canada	North America	Canada:Musquash River	Hakan Wickstrom	45.18285 N 66.25026 W	tissue sample	0
