Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Isolate	BioSampleModel	strain	Age	tissue	ENA_duplicate
SRR7002437	Targeted-Capture	302	235302998	PRJNA448444	SAMN08910226	128760365	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935147	Illumina HiSeq 2500	99403008	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	99403008	SRP139974	female	Rota Corvus kubaryi 99403008	Model organism or animal	Rota	2.9 yr	Blood	NA
SRR7002438	Targeted-Capture	290	252314219	PRJNA448444	SAMN08910225	179548324	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935146	Illumina MiSeq	99403007_MiSeq	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	99403007	SRP139974	male	Rota Corvus kubaryi 99403007	Model organism or animal	Rota	1.0 yr	Blood	NA
SRR7002439	Targeted-Capture	251	846104846	PRJNA448444	SAMN08910230	319535613	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935145	Illumina HiSeq 2500	99403013	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	99403013	SRP139974	female	Rota Corvus kubaryi 99403013	Model organism or animal	Rota	0.5 yr	Blood	NA
SRR7002440	Targeted-Capture	251	2078339375	PRJNA448444	SAMN08910229	783017441	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935144	Illumina HiSeq 2500	99403012	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	99403012	SRP139974	male	Rota Corvus kubaryi 99403012	Model organism or animal	Rota	0.5 yr	Blood	NA
SRR7002445	Targeted-Capture	302	174023574	PRJNA448444	SAMN08910193	96568887	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935139	Illumina HiSeq 2500	213144_HiSeq1	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	213144	SRP139974	missing	Rota Corvus kubaryi 213144	Model organism or animal	Rota	missing	Blood	NA
SRR7002446	Targeted-Capture	302	1053198424	PRJNA448444	SAMN08910192	652843128	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935138	Illumina HiSeq 2500	Guam-55#1	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	Guam-55#1	SRP139974	missing	Guam Corvus kubaryi Guam-55#1	Model organism or animal	Guam	missing	Blood	NA
SRR7002449	Targeted-Capture	302	1355805142	PRJNA448444	SAMN08910191	737056548	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935135	Illumina HiSeq 2500	901_HiSeq1	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	901	SRP139974	missing	Guam Corvus kubaryi 901	Model organism or animal	Guam	missing	Blood	NA
SRR7002450	Targeted-Capture	298	69743557	PRJNA448444	SAMN08910190	45633959	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935134	Illumina MiSeq	668	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	668	SRP139974	missing	Guam Corvus kubaryi 668	Model organism or animal	Guam	missing	missing	NA
SRR7002451	Targeted-Capture	302	102113146	PRJNA448444	SAMN08910271	57124413	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935133	Illumina HiSeq 2500	CROW-24_C	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	CROW-24	SRP139974	missing	Rota Corvus kubaryi CROW-24	Model organism or animal	Rota	missing	Blood	NA
SRR7002453	Targeted-Capture	302	316367046	PRJNA448444	SAMN08910271	177144380	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935131	Illumina HiSeq 2500	CROW-24_B	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	CROW-24	SRP139974	missing	Rota Corvus kubaryi CROW-24	Model organism or animal	Rota	missing	Blood	NA
SRR7002456	Targeted-Capture	285	202082954	PRJNA448444	SAMN08910266	145855421	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935128	Illumina MiSeq	CROW-6_MiSeq	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	CROW-6	SRP139974	missing	Rota Corvus kubaryi CROW-6	Model organism or animal	Rota	missing	Blood	NA
SRR7002457	Targeted-Capture	302	207827642	PRJNA448444	SAMN08910267	111977224	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935127	Illumina HiSeq 2500	CROW-7	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	CROW-7	SRP139974	missing	Rota Corvus kubaryi CROW-7	Model organism or animal	Rota	missing	Blood	NA
SRR7002459	Targeted-Capture	251	972343645	PRJNA448444	SAMN08910217	375733382	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935125	Illumina HiSeq 2500	84477247	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	84477247	SRP139974	male	Rota Corvus kubaryi 84477247	Model organism or animal	Rota	3.1 yr	Blood	NA
SRR7002461	Targeted-Capture	297	739099411	PRJNA448444	SAMN08910219	486691797	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935123	Illumina MiSeq	84477254	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	84477254	SRP139974	male	Rota Corvus kubaryi 84477254	Model organism or animal	Rota	2.3 yr	Blood	NA
SRR7002462	Targeted-Capture	251	718767033	PRJNA448444	SAMN08910214	273366414	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935122	Illumina HiSeq 2500	84477243	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	84477243	SRP139974	male	Rota Corvus kubaryi 84477243	Model organism or animal	Rota	0.1 yr	Blood	NA
SRR7002463	Targeted-Capture	251	977273676	PRJNA448444	SAMN08910215	380864706	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935121	Illumina HiSeq 2500	84477245	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	84477245	SRP139974	male	Rota Corvus kubaryi 84477245	Model organism or animal	Rota	0.1 yr	Blood	NA
SRR7002464	Targeted-Capture	302	247628524	PRJNA448444	SAMN08910216	137414683	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935120	Illumina HiSeq 2500	84477246_B_HiSeq1	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	84477246	SRP139974	male	Rota Corvus kubaryi 84477246	Model organism or animal	Rota	1.5 yr	Blood	NA
SRR7002465	Targeted-Capture	251	662958515	PRJNA448444	SAMN08910216	260149981	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935119	Illumina HiSeq 2500	84477246_B_HiSeq2	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	84477246	SRP139974	male	Rota Corvus kubaryi 84477246	Model organism or animal	Rota	1.5 yr	Blood	NA
SRR7002466	Targeted-Capture	293	57165202	PRJNA448444	SAMN08910247	38599059	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935118	Illumina MiSeq	99404751	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	99404751	SRP139974	female	Rota Corvus kubaryi 99404751	Model organism or animal	Rota	0.0 yr	Blood	NA
SRR7002473	Targeted-Capture	302	678148550	PRJNA448444	SAMN08910244	373946274	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935111	Illumina HiSeq 2500	99404746_HiSeq1	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	99404746	SRP139974	missing	Rota Corvus kubaryi 99404746	Model organism or animal	Rota	0.5 yr	Blood	NA
SRR7002475	Targeted-Capture	289	59151239	PRJNA448444	SAMN08910244	41812926	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935109	Illumina MiSeq	99404746_MiSeq	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	99404746	SRP139974	missing	Rota Corvus kubaryi 99404746	Model organism or animal	Rota	0.5 yr	Blood	NA
SRR7002479	Targeted-Capture	302	223566070	PRJNA448444	SAMN08910234	119945735	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935105	Illumina HiSeq 2500	99403018	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	99403018	SRP139974	male	Rota Corvus kubaryi 99403018	Model organism or animal	Rota	1.0 yr	Blood	NA
SRR7002480	Targeted-Capture	298	71045777	PRJNA448444	SAMN08910231	46498158	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935104	Illumina MiSeq	99403014	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	99403014	SRP139974	male	Rota Corvus kubaryi 99403014	Model organism or animal	Rota	1.0 yr	Blood	NA
SRR7002481	Targeted-Capture	302	509374038	PRJNA448444	SAMN08910232	277024859	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935103	Illumina HiSeq 2500	99403016	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	99403016	SRP139974	missing	Rota Corvus kubaryi 99403016	Model organism or animal	Rota	0.1 yr	Blood	NA
SRR7002487	Targeted-Capture	302	569016320	PRJNA448444	SAMN08910269	313824841	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935097	Illumina HiSeq 2500	CROW-9	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	CROW-9	SRP139974	missing	Rota Corvus kubaryi CROW-9	Model organism or animal	Rota	missing	Blood	NA
SRR7002489	WGS	299	877506893	PRJNA448444	SAMN08910264	505391771	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935095	Illumina HiSeq 2500	21-23-1	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	21-23-1	SRP139974	male	21-23-1	Model organism or animal	Rota	1 yr	Blood	https://www.ebi.ac.uk/ena/browser/view/SAMEA5818590
SRR7002491	Targeted-Capture	295	358987759	PRJNA448444	SAMN08910193	250718607	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935093	Illumina MiSeq	15-6-1	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	213144	SRP139974	missing	Rota Corvus kubaryi 213144	Model organism or animal	Rota	missing	Blood	NA
SRR7002493	Targeted-Capture	302	344331038	PRJNA448444	SAMN08910260	189429666	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935091	Illumina HiSeq 2500	99404799	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	99404799	SRP139974	male	Rota Corvus kubaryi 99404799	Model organism or animal	Rota	missing	Blood	NA
SRR7002496	Targeted-Capture	302	1348593382	PRJNA448444	SAMN08910266	786401498	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935088	Illumina HiSeq 2500	CROW-6_HiSeq	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	CROW-6	SRP139974	missing	Rota Corvus kubaryi CROW-6	Model organism or animal	Rota	missing	Blood	NA
SRR7002497	Targeted-Capture	295	52372582	PRJNA448444	SAMN08910265	37126133	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935087	Illumina MiSeq	21-27-1_MiSeq	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	21-27-1	SRP139974	male	Rota Corvus kubaryi 21-27-1	Model organism or animal	Rota	1 yr	Blood	NA
SRR7002499	Targeted-Capture	302	322188700	PRJNA448444	SAMN08910200	177161916	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935085	Illumina HiSeq 2500	84477221_HiSeq1	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	84477221	SRP139974	female	Rota Corvus kubaryi 84477221	Model organism or animal	Rota	1.0 yr	Blood	NA
SRR7002500	Targeted-Capture	251	1014445266	PRJNA448444	SAMN08910199	399473396	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935084	Illumina HiSeq 2500	84477219	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	84477219	SRP139974	female	Rota Corvus kubaryi 84477219	Model organism or animal	Rota	5.4 yr	Blood	NA
SRR7002502	Targeted-Capture	251	968772578	PRJNA448444	SAMN08910198	366447603	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935082	Illumina HiSeq 2500	84477218_HiSeq2	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	84477218	SRP139974	female	Rota Corvus kubaryi 84477218	Model organism or animal	Rota	0.1yr	Blood	NA
SRR7002504	Targeted-Capture	302	466880826	PRJNA448444	SAMN08910197	249545000	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935080	Illumina HiSeq 2500	84477217	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	84477217	SRP139974	female	Rota Corvus kubaryi 84477217	Model organism or animal	Rota	0.0 yr	Blood	NA
SRR7002507	Targeted-Capture	251	1531479664	PRJNA448444	SAMN08910194	585138166	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935077	Illumina HiSeq 2500	213146	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	213146	SRP139974	female	Rota Corvus kubaryi 213146	Model organism or animal	Rota	1 yr	Blood	NA
SRR7002508	Targeted-Capture	302	469725062	PRJNA448444	SAMN08910248	258309415	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935076	Illumina HiSeq 2500	99404752	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	99404752	SRP139974	male	Rota Corvus kubaryi 99404752	Model organism or animal	Rota	0.3 yr	Blood	NA
SRR7002509	Targeted-Capture	296	86300640	PRJNA448444	SAMN08910249	57249051	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935075	Illumina MiSeq	99404753	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	99404753	SRP139974	male	Rota Corvus kubaryi 99404753	Model organism or animal	Rota	0.1 yr	Blood	NA
SRR7002514	Targeted-Capture	298	39067548	PRJNA448444	SAMN08910254	26222876	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935070	Illumina MiSeq	99404759	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	99404759	SRP139974	missing	Rota Corvus kubaryi 99404759	Model organism or animal	Rota	0.0 yr	Blood	NA
SRR7002515	Targeted-Capture	297	133595172	PRJNA448444	SAMN08910255	86746432	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935069	Illumina MiSeq	99404761	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	99404761	SRP139974	male	Rota Corvus kubaryi 99404761	Model organism or animal	Rota	1.2 yr	Blood	NA
SRR7002516	Targeted-Capture	302	174101188	PRJNA448444	SAMN08910256	98567089	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935068	Illumina HiSeq 2500	99404762	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	99404762	SRP139974	male	Rota Corvus kubaryi 99404762	Model organism or animal	Rota	missing	Blood	NA
SRR7002519	Targeted-Capture	302	237380758	PRJNA448444	SAMN08910210	134188462	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935065	Illumina HiSeq 2500	84477236	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	84477236	SRP139974	male	Rota Corvus kubaryi 84477236	Model organism or animal	Rota	0.0 yr	Blood	NA
SRR7002520	Targeted-Capture	302	1154285978	PRJNA448444	SAMN08910212	623454405	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935064	Illumina HiSeq 2500	84477239_HiSeq	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	84477239	SRP139974	male	Rota Corvus kubaryi 84477239	Model organism or animal	Rota	3.5 yr	Blood	NA
SRR7002526	Targeted-Capture	302	400851244	PRJNA448444	SAMN08910213	221059089	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935058	Illumina HiSeq 2500	84477240	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	84477240	SRP139974	male	Rota Corvus kubaryi 84477240	Model organism or animal	Rota	0.6 yr	Blood	NA
SRR7515980	WGS	286	44717308064	PRJNA448444	SAMN08910264	20193934397	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4386043	Illumina HiSeq 2500	library_21-23-1	PAIRED	RANDOM	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	21-23-1	SRP139974	male	21-23-1	Model organism or animal	Rota	1 yr	Blood	https://www.ebi.ac.uk/ena/browser/view/SAMEA5818590
SRR7002423	Targeted-Capture	251	1782557038	PRJNA448444	SAMN08910204	672284812	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935161	Illumina HiSeq 2500	84477230	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	84477230	SRP139974	male	Rota Corvus kubaryi 84477230	Model organism or animal	Rota	0.1 yr	Blood	NA
SRR7002426	Targeted-Capture	251	416466411	PRJNA448444	SAMN08910203	161845744	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935158	Illumina HiSeq 2500	84477227	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	84477227	SRP139974	female	Rota Corvus kubaryi 84477227	Model organism or animal	Rota	3.8 yr	Blood	NA
SRR7002430	Targeted-Capture	251	1525220860	PRJNA448444	SAMN08910206	584625274	SMITHSONIAN INSTITUTION	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3935154	Illumina HiSeq 2500	84477232_HiSeq2	PAIRED	Hybrid Selection	GENOMIC	Corvus_kubaryi	ILLUMINA	2019-03-19T00:00:00Z	84477232	SRP139974	female	Rota Corvus kubaryi 84477232	Model organism or animal	Rota	0.3 yr	Blood	NA
