BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	dev_stage	Strain
PRJNA522329	SRR8585990	WGS	300	6438200700	SAMN10928558	1967006091	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386604	HiSeq X Ten	N04	PAIRED	RANDOM	GENOMIC	Takifugu_alboplumbeus	ILLUMINA	2019-02-17T00:00:00Z	N04	SRP186117	Model organism or animal	unknown	fin	adult	N04
PRJNA522329	SRR8585991	WGS	300	3895560600	SAMN10928628	1232488691	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386603	HiSeq X Ten	R31	PAIRED	RANDOM	GENOMIC	Takifugu_rubripes	ILLUMINA	2019-02-17T00:00:00Z	R31	SRP186117	Model organism or animal	unknown	fin	adult	R31
PRJNA522329	SRR8585993	WGS	300	4569399000	SAMN10928622	1429299948	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386601	HiSeq X Ten	R24	PAIRED	RANDOM	GENOMIC	Takifugu_rubripes	ILLUMINA	2019-02-17T00:00:00Z	R24	SRP186117	Model organism or animal	unknown	fin	adult	R24
PRJNA522329	SRR8585994	WGS	300	5989769100	SAMN10928623	1824083179	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386600	HiSeq X Ten	R25	PAIRED	RANDOM	GENOMIC	Takifugu_rubripes	ILLUMINA	2019-02-17T00:00:00Z	R25	SRP186117	Model organism or animal	unknown	fin	adult	R25
PRJNA522329	SRR8585995	WGS	300	6701069700	SAMN10928620	2023641267	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386599	HiSeq X Ten	R22	PAIRED	RANDOM	GENOMIC	Takifugu_rubripes	ILLUMINA	2019-02-17T00:00:00Z	R22	SRP186117	Model organism or animal	unknown	fin	adult	R22
PRJNA522329	SRR8585996	WGS	300	4417517400	SAMN10928621	1368774556	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386598	HiSeq X Ten	R23	PAIRED	RANDOM	GENOMIC	Takifugu_rubripes	ILLUMINA	2019-02-17T00:00:00Z	R23	SRP186117	Model organism or animal	unknown	fin	adult	R23
PRJNA522329	SRR8585998	WGS	300	5936481900	SAMN10928627	1797761356	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386596	HiSeq X Ten	R29	PAIRED	RANDOM	GENOMIC	Takifugu_rubripes	ILLUMINA	2019-02-17T00:00:00Z	R29	SRP186117	Model organism or animal	unknown	fin	adult	R29
PRJNA522329	SRR8586000	WGS	292	4994881500	SAMN10928625	1622064774	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386594	HiSeq X Ten	R27	PAIRED	RANDOM	GENOMIC	Takifugu_rubripes	ILLUMINA	2019-02-17T00:00:00Z	R27	SRP186117	Model organism or animal	unknown	fin	adult	R27
PRJNA522329	SRR8586001	WGS	300	3530390400	SAMN10928617	1100215687	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386593	HiSeq X Ten	R19	PAIRED	RANDOM	GENOMIC	Takifugu_rubripes	ILLUMINA	2019-02-17T00:00:00Z	R19	SRP186117	Model organism or animal	unknown	fin	adult	R19
PRJNA522329	SRR8586002	WGS	300	4562066700	SAMN10928616	1483946054	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386592	HiSeq X Ten	R18	PAIRED	RANDOM	GENOMIC	Takifugu_rubripes	ILLUMINA	2019-02-17T00:00:00Z	R18	SRP186117	Model organism or animal	unknown	fin	adult	R18
PRJNA522329	SRR8586003	WGS	300	5553538500	SAMN10928615	1719379744	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386591	HiSeq X Ten	R17	PAIRED	RANDOM	GENOMIC	Takifugu_rubripes	ILLUMINA	2019-02-17T00:00:00Z	R17	SRP186117	Model organism or animal	unknown	fin	adult	R17
PRJNA522329	SRR8586005	WGS	300	6927034200	SAMN10928613	2119785972	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386589	HiSeq X Ten	R15	PAIRED	RANDOM	GENOMIC	Takifugu_rubripes	ILLUMINA	2019-02-17T00:00:00Z	R15	SRP186117	Model organism or animal	unknown	fin	adult	R15
PRJNA522329	SRR8586006	WGS	300	4046372400	SAMN10928612	1324292538	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386588	HiSeq X Ten	R14	PAIRED	RANDOM	GENOMIC	Takifugu_rubripes	ILLUMINA	2019-02-17T00:00:00Z	R14	SRP186117	Model organism or animal	unknown	fin	adult	R14
PRJNA522329	SRR8586007	WGS	300	3692266200	SAMN10928611	1150710286	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386587	HiSeq X Ten	R13	PAIRED	RANDOM	GENOMIC	Takifugu_rubripes	ILLUMINA	2019-02-17T00:00:00Z	R13	SRP186117	Model organism or animal	unknown	fin	adult	R13
PRJNA522329	SRR8586008	WGS	300	4316484000	SAMN10928610	1390750186	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386586	HiSeq X Ten	R12	PAIRED	RANDOM	GENOMIC	Takifugu_rubripes	ILLUMINA	2019-02-17T00:00:00Z	R12	SRP186117	Model organism or animal	unknown	fin	adult	R12
PRJNA522329	SRR8586009	WGS	300	5649555600	SAMN10928619	1712338425	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386585	HiSeq X Ten	R21	PAIRED	RANDOM	GENOMIC	Takifugu_rubripes	ILLUMINA	2019-02-17T00:00:00Z	R21	SRP186117	Model organism or animal	unknown	fin	adult	R21
PRJNA522329	SRR8586010	WGS	300	6289278000	SAMN10928618	1912296961	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386584	HiSeq X Ten	R20	PAIRED	RANDOM	GENOMIC	Takifugu_rubripes	ILLUMINA	2019-02-17T00:00:00Z	R20	SRP186117	Model organism or animal	unknown	fin	adult	R20
PRJNA522329	SRR8586011	WGS	300	4984605000	SAMN10928600	1710093573	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386583	HiSeq X Ten	OO40	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO40	SRP186117	Model organism or animal	unknown	fin	adult	OO40
PRJNA522329	SRR8586012	WGS	300	5946317400	SAMN10928601	1826007421	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386582	HiSeq X Ten	R01	PAIRED	RANDOM	GENOMIC	Takifugu_rubripes	ILLUMINA	2019-02-17T00:00:00Z	R01	SRP186117	Model organism or animal	unknown	fin	adult	R01
PRJNA522329	SRR8586013	WGS	300	3739335900	SAMN10928602	1150524437	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386581	HiSeq X Ten	R02	PAIRED	RANDOM	GENOMIC	Takifugu_rubripes	ILLUMINA	2019-02-17T00:00:00Z	R02	SRP186117	Model organism or animal	unknown	fin	adult	R02
PRJNA522329	SRR8586014	WGS	300	5026768200	SAMN10928603	1535351184	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386580	HiSeq X Ten	R03	PAIRED	RANDOM	GENOMIC	Takifugu_rubripes	ILLUMINA	2019-02-17T00:00:00Z	R03	SRP186117	Model organism or animal	unknown	fin	adult	R03
PRJNA522329	SRR8586015	WGS	300	4287222600	SAMN10928604	1338870826	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386579	HiSeq X Ten	R04	PAIRED	RANDOM	GENOMIC	Takifugu_rubripes	ILLUMINA	2019-02-17T00:00:00Z	R04	SRP186117	Model organism or animal	unknown	fin	adult	R04
PRJNA522329	SRR8586016	WGS	300	5047521600	SAMN10928605	1658334317	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386578	HiSeq X Ten	R07	PAIRED	RANDOM	GENOMIC	Takifugu_rubripes	ILLUMINA	2019-02-17T00:00:00Z	R07	SRP186117	Model organism or animal	unknown	fin	adult	R07
PRJNA522329	SRR8586017	WGS	300	4046846100	SAMN10928606	1254859948	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386577	HiSeq X Ten	R08	PAIRED	RANDOM	GENOMIC	Takifugu_rubripes	ILLUMINA	2019-02-17T00:00:00Z	R08	SRP186117	Model organism or animal	unknown	fin	adult	R08
PRJNA522329	SRR8586018	WGS	300	5736153900	SAMN10928607	1727949591	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386576	HiSeq X Ten	R09	PAIRED	RANDOM	GENOMIC	Takifugu_rubripes	ILLUMINA	2019-02-17T00:00:00Z	R09	SRP186117	Model organism or animal	unknown	fin	adult	R09
PRJNA522329	SRR8586019	WGS	300	4750047000	SAMN10928608	1549751876	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386575	HiSeq X Ten	R10	PAIRED	RANDOM	GENOMIC	Takifugu_rubripes	ILLUMINA	2019-02-17T00:00:00Z	R10	SRP186117	Model organism or animal	unknown	fin	adult	R10
PRJNA522329	SRR8586020	WGS	300	5843991600	SAMN10928609	1798789404	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386574	HiSeq X Ten	R11	PAIRED	RANDOM	GENOMIC	Takifugu_rubripes	ILLUMINA	2019-02-17T00:00:00Z	R11	SRP186117	Model organism or animal	unknown	fin	adult	R11
PRJNA522329	SRR8586021	WGS	300	6108749100	SAMN10928599	1975503208	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386573	HiSeq X Ten	OO39	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO39	SRP186117	Model organism or animal	unknown	fin	adult	OO39
PRJNA522329	SRR8586022	WGS	300	3826542000	SAMN10928598	1270657344	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386572	HiSeq X Ten	OO38	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO38	SRP186117	Model organism or animal	unknown	fin	adult	OO38
PRJNA522329	SRR8586023	WGS	300	4864729500	SAMN10928595	1591693639	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386571	HiSeq X Ten	OO34	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO34	SRP186117	Model organism or animal	unknown	fin	adult	OO34
PRJNA522329	SRR8586024	WGS	300	4067484300	SAMN10928594	1335729573	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386570	HiSeq X Ten	OO33	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO33	SRP186117	Model organism or animal	unknown	fin	adult	OO33
PRJNA522329	SRR8586025	WGS	300	3956404800	SAMN10928597	1298736491	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386569	HiSeq X Ten	OO37	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO37	SRP186117	Model organism or animal	unknown	fin	adult	OO37
PRJNA522329	SRR8586026	WGS	300	4640310000	SAMN10928596	1538297468	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386568	HiSeq X Ten	OO36	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO36	SRP186117	Model organism or animal	unknown	fin	adult	OO36
PRJNA522329	SRR8586027	WGS	300	3945477600	SAMN10928591	1306532600	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386567	HiSeq X Ten	OO28	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO28	SRP186117	Model organism or animal	unknown	fin	adult	OO28
PRJNA522329	SRR8586029	WGS	300	3859861500	SAMN10928593	1256665733	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386565	HiSeq X Ten	OO32	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO32	SRP186117	Model organism or animal	unknown	fin	adult	OO32
PRJNA522329	SRR8586030	WGS	300	4305796800	SAMN10928592	1403920633	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386564	HiSeq X Ten	OO30	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO30	SRP186117	Model organism or animal	unknown	fin	adult	OO30
PRJNA522329	SRR8586031	WGS	300	4474562700	SAMN10928588	1459980234	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386563	HiSeq X Ten	OO25	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO25	SRP186117	Model organism or animal	unknown	fin	adult	OO25
PRJNA522329	SRR8586032	WGS	300	4419519300	SAMN10928589	1467098300	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386562	HiSeq X Ten	OO26	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO26	SRP186117	Model organism or animal	unknown	fin	adult	OO26
PRJNA522329	SRR8586033	WGS	300	4221735900	SAMN10928586	1410940010	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386561	HiSeq X Ten	OO23	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO23	SRP186117	Model organism or animal	unknown	fin	adult	OO23
PRJNA522329	SRR8586034	WGS	300	4076050500	SAMN10928587	1327968899	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386560	HiSeq X Ten	OO24	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO24	SRP186117	Model organism or animal	unknown	fin	adult	OO24
PRJNA522329	SRR8586035	WGS	300	4442439600	SAMN10928584	1456985427	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386559	HiSeq X Ten	OO21	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO21	SRP186117	Model organism or animal	unknown	fin	adult	OO21
PRJNA522329	SRR8586036	WGS	300	4012515600	SAMN10928585	1313568089	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386558	HiSeq X Ten	OO22	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO22	SRP186117	Model organism or animal	unknown	fin	adult	OO22
PRJNA522329	SRR8586037	WGS	300	4273042500	SAMN10928582	1554583721	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386557	HiSeq X Ten	OO19	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO19	SRP186117	Model organism or animal	unknown	fin	adult	OO19
PRJNA522329	SRR8586038	WGS	300	3733979400	SAMN10928583	1250790463	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386556	HiSeq X Ten	OO20	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO20	SRP186117	Model organism or animal	unknown	fin	adult	OO20
PRJNA522329	SRR8586039	WGS	300	4849387800	SAMN10928580	1614446788	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386555	HiSeq X Ten	OO17	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO17	SRP186117	Model organism or animal	unknown	fin	adult	OO17
PRJNA522329	SRR8586040	WGS	300	3665796900	SAMN10928581	1187683611	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386554	HiSeq X Ten	OO18	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO18	SRP186117	Model organism or animal	unknown	fin	adult	OO18
PRJNA522329	SRR8586041	WGS	300	6285256800	SAMN10928579	2013976301	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386553	HiSeq X Ten	OO16	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO16	SRP186117	Model organism or animal	unknown	fin	adult	OO16
PRJNA522329	SRR8586042	WGS	300	3642318300	SAMN10928578	1228550131	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386552	HiSeq X Ten	OO15	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO15	SRP186117	Model organism or animal	unknown	fin	adult	OO15
PRJNA522329	SRR8586043	WGS	300	4142486400	SAMN10928573	1360321293	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386551	HiSeq X Ten	OO08	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO08	SRP186117	Model organism or animal	unknown	fin	adult	OO08
PRJNA522329	SRR8586044	WGS	300	4236128100	SAMN10928572	1398160635	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386550	HiSeq X Ten	OO07	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO07	SRP186117	Model organism or animal	unknown	fin	adult	OO07
PRJNA522329	SRR8586045	WGS	300	5326073400	SAMN10928571	1737486561	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386549	HiSeq X Ten	OO06	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO06	SRP186117	Model organism or animal	unknown	fin	adult	OO06
PRJNA522329	SRR8586046	WGS	300	4747107600	SAMN10928570	1466261144	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386548	HiSeq X Ten	N29	PAIRED	RANDOM	GENOMIC	Takifugu_alboplumbeus	ILLUMINA	2019-02-17T00:00:00Z	N29	SRP186117	Model organism or animal	unknown	fin	adult	N29
PRJNA522329	SRR8586047	WGS	300	3879563400	SAMN10928577	1261909794	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386547	HiSeq X Ten	OO14	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO14	SRP186117	Model organism or animal	unknown	fin	adult	OO14
PRJNA522329	SRR8586048	WGS	300	4475504700	SAMN10928576	1460864257	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386546	HiSeq X Ten	OO12	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO12	SRP186117	Model organism or animal	unknown	fin	adult	OO12
PRJNA522329	SRR8586049	WGS	300	4315434600	SAMN10928575	1417962668	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386545	HiSeq X Ten	OO10	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO10	SRP186117	Model organism or animal	unknown	fin	adult	OO10
PRJNA522329	SRR8586050	WGS	300	4417028400	SAMN10928574	1444439402	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386544	HiSeq X Ten	OO09	PAIRED	RANDOM	GENOMIC	Takifugu_obscurus	ILLUMINA	2019-02-17T00:00:00Z	OO09	SRP186117	Model organism or animal	unknown	fin	adult	OO09
PRJNA522329	SRR8586051	WGS	300	5646610500	SAMN10928564	1701794130	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386543	HiSeq X Ten	N17	PAIRED	RANDOM	GENOMIC	Takifugu_alboplumbeus	ILLUMINA	2019-02-17T00:00:00Z	N17	SRP186117	Model organism or animal	unknown	fin	adult	N17
PRJNA522329	SRR8586052	WGS	300	4739463000	SAMN10928565	1486772065	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386542	HiSeq X Ten	N20	PAIRED	RANDOM	GENOMIC	Takifugu_alboplumbeus	ILLUMINA	2019-02-17T00:00:00Z	N20	SRP186117	Model organism or animal	unknown	fin	adult	N20
PRJNA522329	SRR8586053	WGS	300	3692457300	SAMN10928566	1146485154	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386541	HiSeq X Ten	N21	PAIRED	RANDOM	GENOMIC	Takifugu_alboplumbeus	ILLUMINA	2019-02-17T00:00:00Z	N21	SRP186117	Model organism or animal	unknown	fin	adult	N21
PRJNA522329	SRR8586054	WGS	300	4104228900	SAMN10928567	1323304618	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386540	HiSeq X Ten	N22	PAIRED	RANDOM	GENOMIC	Takifugu_alboplumbeus	ILLUMINA	2019-02-17T00:00:00Z	N22	SRP186117	Model organism or animal	unknown	fin	adult	N22
PRJNA522329	SRR8586055	WGS	300	4731801300	SAMN10928560	1539662216	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386539	HiSeq X Ten	N08	PAIRED	RANDOM	GENOMIC	Takifugu_alboplumbeus	ILLUMINA	2019-02-17T00:00:00Z	N08	SRP186117	Model organism or animal	unknown	fin	adult	N08
PRJNA522329	SRR8586056	WGS	300	5209021200	SAMN10928561	1580969077	CAFS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5386538	HiSeq X Ten	N09	PAIRED	RANDOM	GENOMIC	Takifugu_alboplumbeus	ILLUMINA	2019-02-17T00:00:00Z	N09	SRP186117	Model organism or animal	unknown	fin	adult	N09
