BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	AGE	Ecotype	Collection_date	lat_lon	Strain	Breed	Cultivar	AssemblyName	use_species
PRJNA323589	SRR4781355	WGS	199	8865530464	SAMN05930643	5272492585	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313568	Illumina HiSeq 2500	NBH-6	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-20T00:00:00Z	NBH-6	SRP092392	Model organism or animal	female	caudal fin	NBH-6	adult	Not applicable	New Bedford Harbor	2008-07-22	41.6676 N 70.9159 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781361	WGS	202	324628140	SAMN05930428	342061986	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313569	Illumina HiSeq 2500	BP-32	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-20T00:00:00Z	BP-32	SRP092392	Model organism or animal	male	caudal fin	BP-32	adult	Not applicable	Bridgeport	2008-12-17	41.1570 N 73.2189 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781364	WGS	202	867929562	SAMN05930427	513685559	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313570	Illumina HiSeq 2500	BP-31	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-20T00:00:00Z	BP-31	SRP092392	Model organism or animal	female	caudal fin	BP-31	adult	Not applicable	Bridgeport	2008-12-17	41.1570 N 73.2189 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781367	WGS	202	1473231046	SAMN05930430	687945637	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313571	Illumina HiSeq 2500	BP-34	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-20T00:00:00Z	BP-34	SRP092392	Model organism or animal	female	caudal fin	BP-34	adult	Not applicable	Bridgeport	2008-12-17	41.1570 N 73.2189 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781370	WGS	202	892988066	SAMN05930429	508361056	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313572	Illumina HiSeq 2500	BP-33	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-20T00:00:00Z	BP-33	SRP092392	Model organism or animal	female	caudal fin	BP-33	adult	Not applicable	Bridgeport	2008-12-17	41.1570 N 73.2189 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781373	WGS	202	686256822	SAMN05930424	451083628	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313573	Illumina HiSeq 2500	BP-29	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-20T00:00:00Z	BP-29	SRP092392	Model organism or animal	female	caudal fin	BP-29	adult	Not applicable	Bridgeport	2008-12-17	41.1570 N 73.2189 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781375	WGS	202	257449808	SAMN05930423	326439561	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313574	Illumina HiSeq 2500	BP-28	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-20T00:00:00Z	BP-28	SRP092392	Model organism or animal	male	caudal fin	BP-28	adult	Not applicable	Bridgeport	2008-12-17	41.1570 N 73.2189 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781382	WGS	202	1250524834	SAMN05930425	617184438	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313576	Illumina HiSeq 2500	BP-2	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-20T00:00:00Z	BP-2	SRP092392	Model organism or animal	female	caudal fin	BP-2	adult	Not applicable	Bridgeport	2008-12-17	41.1570 N 73.2189 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781386	WGS	202	793035032	SAMN05930422	476633877	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313577	Illumina HiSeq 2500	BP-27	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-20T00:00:00Z	BP-27	SRP092392	Model organism or animal	male	caudal fin	BP-27	adult	Not applicable	Bridgeport	2008-12-17	41.1570 N 73.2189 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781390	WGS	202	213200496	SAMN05930421	308873877	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313578	Illumina HiSeq 2500	BP-26	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-20T00:00:00Z	BP-26	SRP092392	Model organism or animal	male	caudal fin	BP-26	adult	Not applicable	Bridgeport	2008-12-17	41.1570 N 73.2189 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781394	WGS	202	1077347810	SAMN05930528	562521741	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313579	Illumina HiSeq 2500	F-33	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-20T00:00:00Z	F-33	SRP092392	Model organism or animal	male	caudal fin	F-33	adult	Not applicable	Flax Pond	2008-11-23	40.9637 N 73.1342 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781400	WGS	202	1194244604	SAMN05930526	601727705	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313581	Illumina HiSeq 2500	F-31	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-20T00:00:00Z	F-31	SRP092392	Model organism or animal	female	caudal fin	F-31	adult	Not applicable	Flax Pond	2008-11-23	40.9637 N 73.1342 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781403	WGS	202	1383097434	SAMN05930527	649239618	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313582	Illumina HiSeq 2500	F-32	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-20T00:00:00Z	F-32	SRP092392	Model organism or animal	female	caudal fin	F-32	adult	Not applicable	Flax Pond	2008-11-23	40.9637 N 73.1342 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781406	WGS	202	450227498	SAMN05930524	376356124	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313583	Illumina HiSeq 2500	F-2	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-20T00:00:00Z	F-2	SRP092392	Model organism or animal	female	caudal fin	F-2	adult	Not applicable	Flax Pond	2008-11-23	40.9637 N 73.1342 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781410	WGS	202	891338736	SAMN05930525	504903062	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313584	Illumina HiSeq 2500	F-30	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-20T00:00:00Z	F-30	SRP092392	Model organism or animal	male	caudal fin	F-30	adult	Not applicable	Flax Pond	2008-11-23	40.9637 N 73.1342 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781413	WGS	202	687353480	SAMN05930522	454792690	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313585	Illumina HiSeq 2500	F-28	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-20T00:00:00Z	F-28	SRP092392	Model organism or animal	female	caudal fin	F-28	adult	Not applicable	Flax Pond	2008-11-23	40.9637 N 73.1342 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781415	WGS	202	1277175906	SAMN05930523	625231726	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313586	Illumina HiSeq 2500	F-29	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-20T00:00:00Z	F-29	SRP092392	Model organism or animal	male	caudal fin	F-29	adult	Not applicable	Flax Pond	2008-11-23	40.9637 N 73.1342 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781417	WGS	202	664502836	SAMN05930520	446832893	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313587	Illumina HiSeq 2500	F-26	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-20T00:00:00Z	F-26	SRP092392	Model organism or animal	female	caudal fin	F-26	adult	Not applicable	Flax Pond	2008-11-23	40.9637 N 73.1342 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781419	WGS	202	850577560	SAMN05930521	499121639	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313588	Illumina HiSeq 2500	F-27	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-20T00:00:00Z	F-27	SRP092392	Model organism or animal	male	caudal fin	F-27	adult	Not applicable	Flax Pond	2008-11-23	40.9637 N 73.1342 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781420	WGS	202	982600922	SAMN05930511	541098111	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313589	Illumina HiSeq 2500	F-18	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-20T00:00:00Z	F-18	SRP092392	Model organism or animal	male	caudal fin	F-18	adult	Not applicable	Flax Pond	2008-11-23	40.9637 N 73.1342 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781426	WGS	202	1071817454	SAMN05930510	565578409	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313590	Illumina HiSeq 2500	F-17	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-20T00:00:00Z	F-17	SRP092392	Model organism or animal	female	caudal fin	F-17	adult	Not applicable	Flax Pond	2008-11-23	40.9637 N 73.1342 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781431	WGS	202	1169597372	SAMN05930515	590849135	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313591	Illumina HiSeq 2500	F-21	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-20T00:00:00Z	F-21	SRP092392	Model organism or animal	male	caudal fin	F-21	adult	Not applicable	Flax Pond	2008-11-23	40.9637 N 73.1342 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781433	WGS	202	825345740	SAMN05930514	496590317	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313592	Illumina HiSeq 2500	F-20	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-20T00:00:00Z	F-20	SRP092392	Model organism or animal	female	caudal fin	F-20	adult	Not applicable	Flax Pond	2008-11-23	40.9637 N 73.1342 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781436	WGS	202	1287464372	SAMN05930513	635657158	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313593	Illumina HiSeq 2500	F-1	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-20T00:00:00Z	F-1	SRP092392	Model organism or animal	female	caudal fin	F-1	adult	Not applicable	Flax Pond	2008-11-23	40.9637 N 73.1342 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781439	WGS	202	1525468852	SAMN05930512	693038967	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313594	Illumina HiSeq 2500	F-19	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-20T00:00:00Z	F-19	SRP092392	Model organism or animal	female	caudal fin	F-19	adult	Not applicable	Flax Pond	2008-11-23	40.9637 N 73.1342 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781443	WGS	202	1063315072	SAMN05930519	560724644	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313595	Illumina HiSeq 2500	F-25	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-20T00:00:00Z	F-25	SRP092392	Model organism or animal	female	caudal fin	F-25	adult	Not applicable	Flax Pond	2008-11-23	40.9637 N 73.1342 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781446	WGS	202	660855120	SAMN05930518	443968035	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313596	Illumina HiSeq 2500	F-24	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-20T00:00:00Z	F-24	SRP092392	Model organism or animal	male	caudal fin	F-24	adult	Not applicable	Flax Pond	2008-11-23	40.9637 N 73.1342 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781448	WGS	202	99159174	SAMN05930517	274318565	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313597	Illumina HiSeq 2500	F-23	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-20T00:00:00Z	F-23	SRP092392	Model organism or animal	male	caudal fin	F-23	adult	Not applicable	Flax Pond	2008-11-23	40.9637 N 73.1342 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781457	WGS	202	815596008	SAMN05930419	497150071	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313599	Illumina HiSeq 2500	BP-24	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-20T00:00:00Z	BP-24	SRP092392	Model organism or animal	female	caudal fin	BP-24	adult	Not applicable	Bridgeport	2008-12-17	41.1570 N 73.2189 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781460	WGS	202	1343028310	SAMN05930420	650037920	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313600	Illumina HiSeq 2500	BP-25	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-20T00:00:00Z	BP-25	SRP092392	Model organism or animal	female	caudal fin	BP-25	adult	Not applicable	Bridgeport	2008-12-17	41.1570 N 73.2189 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781462	WGS	202	1283388618	SAMN05930417	631062702	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313601	Illumina HiSeq 2500	BP-22	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-20T00:00:00Z	BP-22	SRP092392	Model organism or animal	female	caudal fin	BP-22	adult	Not applicable	Bridgeport	2008-12-17	41.1570 N 73.2189 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781466	WGS	202	820554300	SAMN05930418	492056348	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313602	Illumina HiSeq 2500	BP-23	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-20T00:00:00Z	BP-23	SRP092392	Model organism or animal	female	caudal fin	BP-23	adult	Not applicable	Bridgeport	2008-12-17	41.1570 N 73.2189 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781469	WGS	202	731058200	SAMN05930415	473452880	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313603	Illumina HiSeq 2500	BP-20	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-20T00:00:00Z	BP-20	SRP092392	Model organism or animal	male	caudal fin	BP-20	adult	Not applicable	Bridgeport	2008-12-17	41.1570 N 73.2189 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781475	WGS	202	103506012	SAMN05930413	276073081	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313605	Illumina HiSeq 2500	BP-19	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-20T00:00:00Z	BP-19	SRP092392	Model organism or animal	female	caudal fin	BP-19	adult	Not applicable	Bridgeport	2008-12-17	41.1570 N 73.2189 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781477	WGS	202	1427867098	SAMN05930414	661198350	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313606	Illumina HiSeq 2500	BP-1	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-20T00:00:00Z	BP-1	SRP092392	Model organism or animal	female	caudal fin	BP-1	adult	Not applicable	Bridgeport	2008-12-17	41.1570 N 73.2189 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781480	WGS	202	1393049772	SAMN05930411	657979469	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313607	Illumina HiSeq 2500	BP-17	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-20T00:00:00Z	BP-17	SRP092392	Model organism or animal	male	caudal fin	BP-17	adult	Not applicable	Bridgeport	2008-12-17	41.1570 N 73.2189 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781487	WGS	202	1016962536	SAMN05930537	545608568	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313609	Illumina HiSeq 2500	F-45	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-20T00:00:00Z	F-45	SRP092392	Model organism or animal	male	caudal fin	F-45	adult	Not applicable	Flax Pond	2008-11-23	40.9637 N 73.1342 W	Not applicable	Not applicable	Not applicable	assembly	1
PRJNA323589	SRR4781490	WGS	202	1252447268	SAMN05930536	621294077	UNIVERSITY OF CALIFORNIA, DAVIS	public	bam,fasta,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2313610	Illumina HiSeq 2500	F-44	PAIRED	RANDOM	GENOMIC	Fundulus_heteroclitus	ILLUMINA	2018-05-20T00:00:00Z	F-44	SRP092392	Model organism or animal	male	caudal fin	F-44	adult	Not applicable	Flax Pond	2008-11-23	40.9637 N 73.1342 W	Not applicable	Not applicable	Not applicable	assembly	1
