BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	AGE	Ecotype	Biomaterial_provider	Strain	Breed	Cultivar
PRJNA260715	SRR1927184	WGS	202	15088757034	SAMN03421314	9937023096	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX958771	Illumina HiSeq 2000	library_Tinaja_11	PAIRED	RANDOM	GENOMIC	Astyanax_mexicanus	ILLUMINA	2017-04-13T00:00:00Z	Tinaja_11	SRP046999	Model organism or animal	unknown	fin	NA	not collected	NA	not collected	Tinaja_11	NA	NA
PRJNA260715	SRR1927212	WGS	202	13352671468	SAMN03421315	8789769878	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX958774	Illumina HiSeq 2000	library_Tinaja_6	PAIRED	RANDOM	GENOMIC	Astyanax_mexicanus	ILLUMINA	2017-04-13T00:00:00Z	Tinaja_6	SRP046999	Model organism or animal	unknown	fin	NA	not collected	NA	not collected	Tinaja_6	NA	NA
PRJNA260715	SRR1927214	WGS	202	16697398376	SAMN03421316	11057941073	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX958775	Illumina HiSeq 2000	library_Tinaja_12	PAIRED	RANDOM	GENOMIC	Astyanax_mexicanus	ILLUMINA	2017-04-13T00:00:00Z	Tinaja_12	SRP046999	Model organism or animal	unknown	fin	NA	not collected	NA	not collected	Tinaja_12	NA	NA
PRJNA260715	SRR1927215	WGS	202	15924536074	SAMN03421317	10504681554	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX958776	Illumina HiSeq 2000	library_Tinaja_B	PAIRED	RANDOM	GENOMIC	Astyanax_mexicanus	ILLUMINA	2017-04-13T00:00:00Z	Tinaja_B	SRP046999	Model organism or animal	unknown	fin	NA	not collected	NA	not collected	Tinaja_B	NA	NA
PRJNA260715	SRR1927218	WGS	202	11955351214	SAMN03421318	8051155698	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX958777	Illumina HiSeq 2000	library_Tinaja_2	PAIRED	RANDOM	GENOMIC	Astyanax_mexicanus	ILLUMINA	2017-04-13T00:00:00Z	Tinaja_2	SRP046999	Model organism or animal	unknown	fin	NA	not collected	NA	not collected	Tinaja_2	NA	NA
PRJNA260715	SRR1927224	WGS	202	13422435198	SAMN03421320	9034349007	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX958779	Illumina HiSeq 2000	library_Tinaja_3	PAIRED	RANDOM	GENOMIC	Astyanax_mexicanus	ILLUMINA	2017-04-13T00:00:00Z	Tinaja_3	SRP046999	Model organism or animal	unknown	fin	NA	not collected	NA	not collected	Tinaja_3	NA	NA
PRJNA260715	SRR1927237	WGS	202	13602235802	SAMN03421327	9027665409	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX958787	Illumina HiSeq 2000	library_Rascon_6	PAIRED	RANDOM	GENOMIC	Astyanax_mexicanus	ILLUMINA	2017-04-13T00:00:00Z	Rascon_6	SRP046999	Model organism or animal	unknown	fin	NA	not collected	NA	not collected	Rascon_6	NA	NA
PRJNA260715	SRR1575270	WGS	202	12939216252	SAMN03024475	8784406127	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX699056	Illumina HiSeq 2000	library_Choy_01	PAIRED	RANDOM	GENOMIC	Astyanax_mexicanus	ILLUMINA	2017-04-13T00:00:00Z	Choy_01	SRP046999	Model organism or animal	unknown	fin	NA	not collected	NA	not collected	Choy_01	NA	NA
PRJNA260715	SRR1575271	WGS	202	14161038906	SAMN03024476	9725838704	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX699057	Illumina HiSeq 2000	library_Choy_05	PAIRED	RANDOM	GENOMIC	Astyanax_mexicanus	ILLUMINA	2017-04-13T00:00:00Z	Choy_05	SRP046999	Model organism or animal	unknown	fin	NA	not collected	NA	not collected	Choy_05	NA	NA
PRJNA260715	SRR1575272	WGS	202	11976978142	SAMN03024477	8193916206	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX699139	Illumina HiSeq 2000	library_Choy_06	PAIRED	RANDOM	GENOMIC	Astyanax_mexicanus	ILLUMINA	2017-04-13T00:00:00Z	Choy_06	SRP046999	Model organism or animal	unknown	fin	NA	not collected	NA	not collected	Choy_06	NA	NA
PRJNA260715	SRR1575273	WGS	202	13082658068	SAMN03024478	8908132118	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX699140	Illumina HiSeq 2000	library_Choy_09	PAIRED	RANDOM	GENOMIC	Astyanax_mexicanus	ILLUMINA	2017-04-13T00:00:00Z	Choy_09	SRP046999	Model organism or animal	unknown	fin	NA	not collected	NA	not collected	Choy_09	NA	NA
PRJNA260715	SRR1575274	WGS	202	12706954430	SAMN03024479	8721644815	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX699141	Illumina HiSeq 2000	library_Choy_10	PAIRED	RANDOM	GENOMIC	Astyanax_mexicanus	ILLUMINA	2017-04-13T00:00:00Z	Choy_10	SRP046999	Model organism or animal	unknown	fin	NA	not collected	NA	not collected	Choy_10	NA	NA
PRJNA260715	SRR1575275	WGS	202	13359222732	SAMN03024480	9122709430	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX699142	Illumina HiSeq 2000	library_Choy_11	PAIRED	RANDOM	GENOMIC	Astyanax_mexicanus	ILLUMINA	2017-04-13T00:00:00Z	Choy_11	SRP046999	Model organism or animal	unknown	fin	NA	not collected	NA	not collected	Choy_11	NA	NA
PRJNA260715	SRR1575276	WGS	202	13422615988	SAMN03024481	9154904639	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX699143	Illumina HiSeq 2000	library_Choy_12	PAIRED	RANDOM	GENOMIC	Astyanax_mexicanus	ILLUMINA	2017-04-13T00:00:00Z	Choy_12	SRP046999	Model organism or animal	unknown	fin	NA	not collected	NA	not collected	Choy_12	NA	NA
PRJNA260715	SRR1575277	WGS	202	14412128946	SAMN03024482	9775693388	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX699144	Illumina HiSeq 2000	library_Choy_13	PAIRED	RANDOM	GENOMIC	Astyanax_mexicanus	ILLUMINA	2017-04-13T00:00:00Z	Choy_13	SRP046999	Model organism or animal	unknown	fin	NA	not collected	NA	not collected	Choy_13	NA	NA
PRJNA260715	SRR1575278	WGS	202	12713448124	SAMN03024483	8641148683	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX699145	Illumina HiSeq 2000	library_Choy_14	PAIRED	RANDOM	GENOMIC	Astyanax_mexicanus	ILLUMINA	2017-04-13T00:00:00Z	Choy_14	SRP046999	Model organism or animal	unknown	fin	NA	not collected	NA	not collected	Choy_14	NA	NA
PRJNA260715	SRR1575279	WGS	202	16265359766	SAMN03024484	11033785624	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX699146	Illumina HiSeq 2000	library_Pach_3	PAIRED	RANDOM	GENOMIC	Astyanax_mexicanus	ILLUMINA	2017-04-13T00:00:00Z	Pach_3	SRP046999	Model organism or animal	unknown	fin	NA	not collected	NA	not collected	Pach_3	NA	NA
PRJNA260715	SRR1575280	WGS	202	12294529818	SAMN03024485	8458149418	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX699147	Illumina HiSeq 2000	library_Pach_7	PAIRED	RANDOM	GENOMIC	Astyanax_mexicanus	ILLUMINA	2017-04-13T00:00:00Z	Pach_7	SRP046999	Model organism or animal	unknown	fin	NA	not collected	NA	not collected	Pach_7	NA	NA
PRJNA260715	SRR1575281	WGS	202	13234699630	SAMN03024486	9062523573	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX699148	Illumina HiSeq 2000	library_Pach_8	PAIRED	RANDOM	GENOMIC	Astyanax_mexicanus	ILLUMINA	2017-04-13T00:00:00Z	Pach_8	SRP046999	Model organism or animal	unknown	fin	NA	not collected	NA	not collected	Pach_8	NA	NA
PRJNA260715	SRR1575282	WGS	202	12478379512	SAMN03024487	8589768438	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX699149	Illumina HiSeq 2000	library_Pach_9	PAIRED	RANDOM	GENOMIC	Astyanax_mexicanus	ILLUMINA	2017-04-13T00:00:00Z	Pach_9	SRP046999	Model organism or animal	unknown	fin	NA	not collected	NA	not collected	Pach_9	NA	NA
PRJNA260715	SRR1575283	WGS	202	11399194714	SAMN03024488	7830008483	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX699150	Illumina HiSeq 2000	library_Pach_11	PAIRED	RANDOM	GENOMIC	Astyanax_mexicanus	ILLUMINA	2017-04-13T00:00:00Z	Pach_11	SRP046999	Model organism or animal	unknown	fin	NA	not collected	NA	not collected	Pach_11	NA	NA
PRJNA260715	SRR1575284	WGS	202	13875793696	SAMN03024489	9513567221	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX699151	Illumina HiSeq 2000	library_Pach_12	PAIRED	RANDOM	GENOMIC	Astyanax_mexicanus	ILLUMINA	2017-04-13T00:00:00Z	Pach_12	SRP046999	Model organism or animal	unknown	fin	NA	not collected	NA	not collected	Pach_12	NA	NA
PRJNA260715	SRR1575285	WGS	202	11344976702	SAMN03024490	7897108098	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX699152	Illumina HiSeq 2000	library_Pach_14	PAIRED	RANDOM	GENOMIC	Astyanax_mexicanus	ILLUMINA	2017-04-13T00:00:00Z	Pach_14	SRP046999	Model organism or animal	unknown	fin	NA	not collected	NA	not collected	Pach_14	NA	NA
PRJNA260715	SRR1575286	WGS	202	13807053904	SAMN03024491	9506994352	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX699153	Illumina HiSeq 2000	library_Pach_15	PAIRED	RANDOM	GENOMIC	Astyanax_mexicanus	ILLUMINA	2017-04-13T00:00:00Z	Pach_15	SRP046999	Model organism or animal	unknown	fin	NA	not collected	NA	not collected	Pach_15	NA	NA
PRJNA260715	SRR1575287	WGS	202	11361385364	SAMN03024492	7790837928	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX699154	Illumina HiSeq 2000	library_Pach_17	PAIRED	RANDOM	GENOMIC	Astyanax_mexicanus	ILLUMINA	2017-04-13T00:00:00Z	Pach_17	SRP046999	Model organism or animal	unknown	fin	NA	not collected	NA	not collected	Pach_17	NA	NA
PRJNA260715	SRR1575288	WGS	202	14382373538	SAMN03024493	9899914755	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX699155	Illumina HiSeq 2000	library_Molino_2a	PAIRED	RANDOM	GENOMIC	Astyanax_mexicanus	ILLUMINA	2017-04-13T00:00:00Z	Molino_2a	SRP046999	Model organism or animal	unknown	fin	NA	not collected	NA	not collected	Molino_2a	NA	NA
PRJNA260715	SRR1575289	WGS	202	13757330796	SAMN03024494	9468509253	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX699156	Illumina HiSeq 2000	library_Molino_7a	PAIRED	RANDOM	GENOMIC	Astyanax_mexicanus	ILLUMINA	2017-04-13T00:00:00Z	Molino_7a	SRP046999	Model organism or animal	unknown	fin	NA	not collected	NA	not collected	Molino_7a	NA	NA
PRJNA260715	SRR1575290	WGS	202	13205823730	SAMN03024495	9073032561	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX699157	Illumina HiSeq 2000	library_Molino_9b	PAIRED	RANDOM	GENOMIC	Astyanax_mexicanus	ILLUMINA	2017-04-13T00:00:00Z	Molino_9b	SRP046999	Model organism or animal	unknown	fin	NA	not collected	NA	not collected	Molino_9b	NA	NA
PRJNA260715	SRR1575291	WGS	202	14680683906	SAMN03024496	9863776437	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX699158	Illumina HiSeq 2000	library_Molino_10b	PAIRED	RANDOM	GENOMIC	Astyanax_mexicanus	ILLUMINA	2017-04-13T00:00:00Z	Molino_10b	SRP046999	Model organism or animal	unknown	fin	NA	not collected	NA	not collected	Molino_10b	NA	NA
PRJNA260715	SRR1575292	WGS	202	11815333298	SAMN03024497	8169463723	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX699159	Illumina HiSeq 2000	library_Molino_11a	PAIRED	RANDOM	GENOMIC	Astyanax_mexicanus	ILLUMINA	2017-04-13T00:00:00Z	Molino_11a	SRP046999	Model organism or animal	unknown	fin	NA	not collected	NA	not collected	Molino_11a	NA	NA
PRJNA260715	SRR1575293	WGS	202	13158378576	SAMN03024498	8991038105	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX699160	Illumina HiSeq 2000	library_Molino_12a	PAIRED	RANDOM	GENOMIC	Astyanax_mexicanus	ILLUMINA	2017-04-13T00:00:00Z	Molino_12a	SRP046999	Model organism or animal	unknown	fin	NA	not collected	NA	not collected	Molino_12a	NA	NA
PRJNA260715	SRR1575294	WGS	202	17247573656	SAMN03024499	11656166816	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX699161	Illumina HiSeq 2000	library_Molino_13b	PAIRED	RANDOM	GENOMIC	Astyanax_mexicanus	ILLUMINA	2017-04-13T00:00:00Z	Molino_13b	SRP046999	Model organism or animal	unknown	fin	NA	not collected	NA	not collected	Molino_13b	NA	NA
PRJNA260715	SRR1575295	WGS	202	10934617742	SAMN03024500	7537551470	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX699162	Illumina HiSeq 2000	library_Molino_14a	PAIRED	RANDOM	GENOMIC	Astyanax_mexicanus	ILLUMINA	2017-04-13T00:00:00Z	Molino_14a	SRP046999	Model organism or animal	unknown	fin	NA	not collected	NA	not collected	Molino_14a	NA	NA
PRJNA260715	SRR1575296	WGS	202	11097344902	SAMN03024501	7654878385	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX699163	Illumina HiSeq 2000	library_Molino_15b	PAIRED	RANDOM	GENOMIC	Astyanax_mexicanus	ILLUMINA	2017-04-13T00:00:00Z	Molino_15b	SRP046999	Model organism or animal	unknown	fin	NA	not collected	NA	not collected	Molino_15b	NA	NA
PRJNA260715	SRR1575297	WGS	202	18040726252	SAMN03024502	12099923590	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX699164	Illumina HiSeq 2000	library_Rascon_02	PAIRED	RANDOM	GENOMIC	Astyanax_mexicanus	ILLUMINA	2017-04-13T00:00:00Z	Rascon_02	SRP046999	Model organism or animal	unknown	fin	NA	not collected	NA	not collected	Rascon_02	NA	NA
PRJNA260715	SRR1575298	WGS	202	17143297216	SAMN03024503	11463798692	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX699165	Illumina HiSeq 2000	library_Rascon_04	PAIRED	RANDOM	GENOMIC	Astyanax_mexicanus	ILLUMINA	2017-04-13T00:00:00Z	Rascon_04	SRP046999	Model organism or animal	unknown	fin	NA	not collected	NA	not collected	Rascon_04	NA	NA
PRJNA260715	SRR1575299	WGS	202	13588325274	SAMN03024504	9321056280	UNIVERSITY OF MINNESOTA	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX699167	Illumina HiSeq 2000	library_Granadas_2-2	PAIRED	RANDOM	GENOMIC	Astyanax_aeneus	ILLUMINA	2017-04-13T00:00:00Z	Granadas_2-2	SRP046999	Model organism or animal	unknown	fin	NA	not collected	NA	not collected	Granadas_2-2	NA	NA
