BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	Alias	AssemblyName	use_species
PRJEB2759	ERR110357	WGS	200	8713006800	SAMEA1317612	7632466995	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX087791	Illumina HiSeq 2000	4297860	PAIRED	RANDOM	GENOMIC	Oryzias_latipes	ILLUMINA	2012-04-27T00:00:00Z	SAMEA1317612	ERP001016	missing	ERS074181	2012-04-17	2018-11-16	SC	Wellcome Sanger Institute	2012-04-17T13:49:07Z	2018-03-08T15:33:23Z	public	ERS074181	Oryzias latipes	M8T_28_F-sc-2011-11-17T09:06:30Z-1305517	NA	1
PRJEB2759	ERR110358	WGS	200	9562012600	SAMEA1317616	6552781911	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX087792	Illumina HiSeq 2000	4297861	PAIRED	RANDOM	GENOMIC	Oryzias_latipes	ILLUMINA	2012-04-27T00:00:00Z	SAMEA1317616	ERP001016	missing	ERS074182	2012-04-17	2018-11-16	SC	Wellcome Sanger Institute	2012-04-17T13:49:07Z	2018-03-08T15:33:23Z	public	ERS074182	Oryzias latipes	M8T_28_M-sc-2011-11-17T09:06:30Z-1305518	assembly	1
PRJEB2759	ERR110359	WGS	200	7670915400	SAMEA1317597	5332309910	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX087793	Illumina HiSeq 2000	4297862	PAIRED	RANDOM	GENOMIC	Oryzias_latipes	ILLUMINA	2012-04-27T00:00:00Z	SAMEA1317597	ERP001016	missing	ERS074183	2012-04-17	2018-11-16	SC	Wellcome Sanger Institute	2012-04-17T13:49:07Z	2018-03-08T15:33:24Z	public	ERS074183	Oryzias latipes	M8T_28_C-sc-2011-11-17T09:06:31Z-1305519	assembly	1
PRJEB2759	ERR110360	WGS	200	9107678000	SAMEA1317599	6244252460	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX087794	Illumina HiSeq 2000	4297866	PAIRED	RANDOM	GENOMIC	Oryzias_latipes	ILLUMINA	2012-04-27T00:00:00Z	SAMEA1317599	ERP001016	missing	ERS074184	2012-04-17	2018-11-16	SC	Wellcome Sanger Institute	2012-04-17T13:49:07Z	2018-03-08T15:33:23Z	public	ERS074184	Oryzias latipes	M8T_30_F-sc-2011-11-17T09:06:32Z-1305520	assembly	1
PRJEB2759	ERR110362	WGS	200	7537489800	SAMEA1317609	5217474477	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX087796	Illumina HiSeq 2000	4297868	PAIRED	RANDOM	GENOMIC	Oryzias_latipes	ILLUMINA	2012-04-27T00:00:00Z	SAMEA1317609	ERP001016	missing	ERS074186	2012-04-17	2018-11-16	SC	Wellcome Sanger Institute	2012-04-17T13:49:07Z	2018-03-08T15:33:24Z	public	ERS074186	Oryzias latipes	M8T_30_C-sc-2011-11-17T09:06:33Z-1305522	assembly	1
PRJEB2759	ERR110363	WGS	200	8337688600	SAMEA1317598	5606496545	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX087797	Illumina HiSeq 2000	4300781	PAIRED	RANDOM	GENOMIC	Oryzias_latipes	ILLUMINA	2012-04-27T00:00:00Z	SAMEA1317598	ERP001016	missing	ERS074175	2012-04-17	2018-11-16	SC	Wellcome Sanger Institute	2012-04-17T13:49:07Z	2018-03-08T15:33:23Z	public	ERS074175	Oryzias latipes	M8T_20_F-sc-2011-11-17T09:06:26Z-1305511	assembly	1
PRJEB2759	ERR110364	WGS	200	7870981600	SAMEA1317596	5346518822	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX087798	Illumina HiSeq 2000	4300782	PAIRED	RANDOM	GENOMIC	Oryzias_latipes	ILLUMINA	2012-04-27T00:00:00Z	SAMEA1317596	ERP001016	missing	ERS074176	2012-04-17	2018-11-16	SC	Wellcome Sanger Institute	2012-04-17T13:49:07Z	2018-03-08T15:33:23Z	public	ERS074176	Oryzias latipes	M8T_20_M-sc-2011-11-17T09:06:27Z-1305512	assembly	1
PRJEB2759	ERR110365	WGS	200	7524039000	SAMEA1317602	6533480391	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX087799	Illumina HiSeq 2000	4300783	PAIRED	RANDOM	GENOMIC	Oryzias_latipes	ILLUMINA	2012-04-27T00:00:00Z	SAMEA1317602	ERP001016	missing	ERS074177	2012-04-17	2018-11-16	SC	Wellcome Sanger Institute	2012-04-17T13:49:07Z	2018-03-08T15:33:24Z	public	ERS074177	Oryzias latipes	M8T_20_C-sc-2011-11-17T09:06:28Z-1305513	NA	1
PRJEB2759	ERR110366	WGS	200	9105153000	SAMEA1317594	6294278103	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX087800	Illumina HiSeq 2000	4297869	PAIRED	RANDOM	GENOMIC	Oryzias_latipes	ILLUMINA	2012-04-27T00:00:00Z	SAMEA1317594	ERP001016	missing	ERS074187	2012-04-17	2018-11-16	SC	Wellcome Sanger Institute	2012-04-17T13:49:07Z	2018-03-08T15:33:23Z	public	ERS074187	Oryzias latipes	M8T_32_F-sc-2011-11-17T09:06:34Z-1305523	assembly	1
PRJEB2759	ERR110367	WGS	200	8435848000	SAMEA1317603	5796187063	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX087801	Illumina HiSeq 2000	4297870	PAIRED	RANDOM	GENOMIC	Oryzias_latipes	ILLUMINA	2012-04-27T00:00:00Z	SAMEA1317603	ERP001016	missing	ERS074188	2012-04-17	2018-11-16	SC	Wellcome Sanger Institute	2012-04-17T13:49:07Z	2018-03-08T15:33:24Z	public	ERS074188	Oryzias latipes	M8T_32_M-sc-2011-11-17T09:06:34Z-1305524	assembly	1
PRJEB2759	ERR110368	WGS	200	9697555600	SAMEA1317606	6538003785	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX087802	Illumina HiSeq 2000	4297871	PAIRED	RANDOM	GENOMIC	Oryzias_latipes	ILLUMINA	2012-04-27T00:00:00Z	SAMEA1317606	ERP001016	missing	ERS074189	2012-04-17	2018-11-16	SC	Wellcome Sanger Institute	2012-04-17T13:49:07Z	2018-03-08T15:33:24Z	public	ERS074189	Oryzias latipes	M8T_32_C-sc-2011-11-17T09:06:35Z-1305525	assembly	1
PRJEB2759	ERR110361	WGS	200	7578916800	SAMEA1317605	5212287535	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX087795	Illumina HiSeq 2000	4297867	PAIRED	RANDOM	GENOMIC	Oryzias_latipes	ILLUMINA	2012-04-27T00:00:00Z	SAMEA1317605	ERP001016	missing	ERS074185	2012-04-17	2018-11-16	SC	Wellcome Sanger Institute	2012-04-17T13:49:07Z	2018-03-08T15:33:23Z	public	ERS074185	Oryzias latipes	M8T_30_M-sc-2011-11-17T09:06:33Z-1305521	assembly	1
PRJEB2759	ERR110351	WGS	200	8660607200	SAMEA1317614	5843164283	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX087785	Illumina HiSeq 2000	4300778	PAIRED	RANDOM	GENOMIC	Oryzias_latipes	ILLUMINA	2012-04-27T00:00:00Z	SAMEA1317614	ERP001016	missing	ERS074172	2012-04-17	2018-11-16	SC	Wellcome Sanger Institute	2012-04-17T13:49:07Z	2018-03-08T15:33:23Z	public	ERS074172	Oryzias latipes	M8T_16_F-sc-2011-11-17T09:06:23Z-1305508	assembly	1
PRJEB2759	ERR110354	WGS	200	7353535400	SAMEA1317604	5074720838	SC	public	bam,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX087788	Illumina HiSeq 2000	4297857	PAIRED	RANDOM	GENOMIC	Oryzias_latipes	ILLUMINA	2012-04-27T00:00:00Z	SAMEA1317604	ERP001016	missing	ERS074178	2012-04-17	2018-11-16	SC	Wellcome Sanger Institute	2012-04-17T13:49:07Z	2018-03-08T15:33:23Z	public	ERS074178	Oryzias latipes	M8T_25_F-sc-2011-11-17T09:06:28Z-1305514	assembly	1
