BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	Ecotype	Strain	Breed	Cultivar	common	Treatment	use_species
PRJNA325126	SRR11425471	WGS	302	2968060832	SAMN12573333	1305585073	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003904	NextSeq 500	2750-63335	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermovira_cyanoptera_2750_63335	SRP081220	Model organism or animal	male	blood	NA	adult	central_america	NA	NA	2750-63335	NA	NA	1
PRJNA325126	SRR11425472	WGS	302	3514306956	SAMN12573332	1542999649	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003903	NextSeq 500	2770-39353	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermovira_cyanoptera_2770_39353	SRP081220	Model organism or animal	male	blood	NA	adult	central_america	NA	NA	2770-39353	NA	NA	1
PRJNA325126	SRR11425475	WGS	302	5486538190	SAMN12573325	2561415933	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003900	NextSeq 500	2750-63508	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermovira_cyanoptera_2750_63508	SRP081220	Model organism or animal	male	blood	NA	adult	central_america	NA	NA	2750-63508	NA	NA	1
PRJNA325126	SRR11425476	WGS	302	4976849468	SAMN12573324	2324895642	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003899	NextSeq 500	2750-63504	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermovira_cyanoptera_2750_63504	SRP081220	Model organism or animal	male	blood	NA	adult	central_america	NA	NA	2750-63504	NA	NA	1
PRJNA325126	SRR11425488	WGS	302	6020150748	SAMN12573330	2801370564	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003887	NextSeq 500	2750-63243	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermovira_cyanoptera_2750_63243	SRP081220	Model organism or animal	male	blood	NA	adult	central_america	NA	NA	2750-63243	NA	NA	1
PRJNA325126	SRR11425499	WGS	302	4826098316	SAMN12573329	2257619204	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003876	NextSeq 500	2750-63237	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermovira_cyanoptera_2750_63237	SRP081220	Model organism or animal	male	blood	NA	adult	south_america	NA	NA	2750-63237	NA	NA	1
PRJNA325126	SRR11425528	WGS	302	5285826574	SAMN12573347	2313930705	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003847	NextSeq 500	2750-63464	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermovira_cyanoptera_2750_63464	SRP081220	Model organism or animal	male	blood	NA	adult	central_america	NA	NA	2750-63464	NA	NA	1
PRJNA325126	SRR11425529	WGS	302	6080585780	SAMN12573346	2825163201	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003846	NextSeq 500	2750-63550	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermovira_cyanoptera_2750_63550	SRP081220	Model organism or animal	male	blood	NA	adult	central_america	NA	NA	2750-63550	NA	NA	1
PRJNA325126	SRR11425531	WGS	302	3796040038	SAMN12573344	1703746118	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003844	NextSeq 500	2560-53254	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermovira_cyanoptera_2560_53254	SRP081220	Model organism or animal	male	blood	NA	adult	central_america	NA	NA	2560-53254	NA	NA	1
PRJNA325126	SRR11425533	WGS	302	5128056338	SAMN12573343	2246490526	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003842	NextSeq 500	2560-53231	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermovira_cyanoptera_2560_53231	SRP081220	Model organism or animal	male	blood	NA	adult	central_america	NA	NA	2560-53231	NA	NA	1
PRJNA325126	SRR11425535	WGS	302	5352461364	SAMN12573341	2510115020	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003840	NextSeq 500	2750-63202	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermovira_cyanoptera_2750_63202	SRP081220	Model organism or animal	male	blood	NA	adult	central_america	NA	NA	2750-63202	NA	NA	1
PRJNA325126	SRR11425537	WGS	302	3407111754	SAMN12573339	1597571935	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003838	NextSeq 500	2740-78971	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermovira_cyanoptera_2740_78971	SRP081220	Model organism or animal	male	blood	NA	adult	central_america	NA	NA	2740-78971	NA	NA	1
PRJNA325126	SRR11425540	WGS	302	9027479734	SAMN12573336	3971489304	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003835	NextSeq 500	OZ99-180	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermovira_cyanoptera_OZ99_180	SRP081220	Model organism or animal	male	blood	NA	adult	central_america	NA	NA	OZ99-180	NA	NA	1
PRJNA325126	SRR11425473	WGS	302	4526666826	SAMN12573335	1990658456	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003902	NextSeq 500	2750-63353	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermovira_cyanoptera_2750_63353	SRP081220	Model organism or animal	male	blood	NA	adult	central_america	NA	NA	2750-63353	NA	NA	1
PRJNA325126	SRR11425474	WGS	302	2622018964	SAMN12573334	1147511338	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003901	NextSeq 500	2750-63360	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermovira_cyanoptera_2750_63360	SRP081220	Model organism or animal	male	blood	NA	adult	central_america	NA	NA	2750-63360	NA	NA	1
PRJNA325126	SRR11425477	WGS	302	29475318384	SAMN12573331	12954285311	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003898	NextSeq 500	2750-63238	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermovira_cyanoptera_2750_63238	SRP081220	Model organism or animal	male	blood	NA	adult	central_america	NA	NA	2750-63238	NA	NA	1
PRJNA325126	SRR11425510	WGS	302	6139497222	SAMN12573328	2746748441	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003865	NextSeq 500	2690-98096	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermovira_cyanoptera_2690_98096	SRP081220	Model organism or animal	male	blood	NA	adult	central_america	NA	NA	2690-98096	NA	NA	1
PRJNA325126	SRR11425521	WGS	302	6093086768	SAMN12573327	2674614372	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003854	NextSeq 500	2750-63523	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermovira_cyanoptera_2750_63523	SRP081220	Model organism or animal	male	blood	NA	adult	central_america	NA	NA	2750-63523	NA	NA	1
PRJNA325126	SRR11425530	WGS	302	4611524598	SAMN12573345	2168907140	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003845	NextSeq 500	2750-63537	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermovira_cyanoptera_2750_63537	SRP081220	Model organism or animal	male	blood	NA	adult	central_america	NA	NA	2750-63537	NA	NA	1
PRJNA325126	SRR11425532	WGS	302	8361986796	SAMN12573326	3665156787	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003843	NextSeq 500	2750-63506	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermovira_cyanoptera_2750_63506	SRP081220	Model organism or animal	male	blood	NA	adult	central_america	NA	NA	2750-63506	NA	NA	1
PRJNA325126	SRR11425534	WGS	302	3427013252	SAMN12573342	1502793047	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003841	NextSeq 500	2750-63225	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermovira_cyanoptera_2750_63225	SRP081220	Model organism or animal	male	blood	NA	adult	central_america	NA	NA	2750-63225	NA	NA	1
PRJNA325126	SRR11425539	WGS	302	10927960902	SAMN12573337	4877413187	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003836	NextSeq 500	OZ99-070	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermovira_cyanoptera_OZ99_070	SRP081220	Model organism or animal	female	blood	NA	adult	central_america	NA	NA	OZ99-070	NA	NA	1
PRJNA325126	SRR11425538	WGS	302	5654105004	SAMN12573338	2506420318	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8003837	NextSeq 500	2650-01181	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermovira_cyanoptera_2650_01181	SRP081220	Model organism or animal	male	blood	NA	adult	central_america	NA	NA	2650-01181	NA	NA	1
PRJNA325126	SRR11425536	WGS	302	5363748916	SAMN12573340	2502237269	PENNSYLVANIA STATE UNIVERSITY	public	fastq,sra	gs,ncbi,s3	ncbi.public,s3.us-east-1,gs.US	SRX8003839	NextSeq 500	2740-78772	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2020-03-27T00:00:00Z	Vermovira_cyanoptera_2740_78772	SRP081220	Model organism or animal	male	blood	NA	adult	central_america	NA	NA	2740-78772	NA	NA	1
PRJNA325126	SRR4017496	WGS	302	6010212230	SAMN05223487	2443185816	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra,unknown_contigs	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011298	NextSeq 500	703	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23564_HGMNWBGXX_703_ATCACG_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	703_R1	NA	1
PRJNA325126	SRR4017497	WGS	302	5290725618	SAMN05223503	2168014658	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011299	NextSeq 500	704	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23565_HGMNWBGXX_704_CGATGT_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	704_R1	NA	1
PRJNA325126	SRR4017509	WGS	302	5021497148	SAMN05223495	2084430166	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra,unknown_contigs	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011311	NextSeq 500	705	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23566_HGMNWBGXX_705_TTAGGC_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	705_R1	NA	1
PRJNA325126	SRR4017515	WGS	302	4842280382	SAMN05223492	1974802903	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra,unknown_contigs	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011316	NextSeq 500	708	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23567_HGMNWBGXX_708_TGACCA_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	708_R1	NA	1
PRJNA325126	SRR4017516	WGS	302	5275619880	SAMN05223501	2141967202	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra,unknown_contigs	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011317	NextSeq 500	709	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23568_HGMNWBGXX_709_ACAGTG_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	709_R1	NA	1
PRJNA325126	SRR4017517	WGS	302	6220412686	SAMN05223528	2531146412	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra,unknown_contigs	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011318	NextSeq 500	720	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23569_HGMNWBGXX_720_GCCAAT_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	720_R1	NA	1
PRJNA325126	SRR4017518	WGS	302	5592992888	SAMN05223509	2252697959	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra,unknown_contigs	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011319	NextSeq 500	724	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23570_HGMNWBGXX_724_CAGATC_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	724_R1	NA	1
PRJNA325126	SRR4017519	WGS	302	6326140470	SAMN05223523	2564701741	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra,unknown_contigs	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011320	NextSeq 500	741	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23571_HGMNWBGXX_741_ACTTGA_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	741_R1	NA	1
PRJNA325126	SRR4017520	WGS	302	5286955450	SAMN05223506	2148211135	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra,unknown_contigs	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011321	NextSeq 500	742	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23572_HGMNWBGXX_742_GATCAG_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	742_R1	NA	1
PRJNA325126	SRR4017521	WGS	302	6095202882	SAMN05223519	2479413804	CORNELL LAB OF ORNITHOLOGY	public	fastq,sra,unknown_contigs	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2011322	NextSeq 500	743	PAIRED	RANDOM	GENOMIC	Vermivora_cyanoptera	ILLUMINA	2016-09-23T00:00:00Z	5512_3270_23573_HGMNWBGXX_743_TAGCTT_R1	SRP081220	Model organism or animal	male	blood	not applicable	adult	not applicable	not applicable	not applicable	not applicable	743_R1	NA	1
