BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	Ecotype	Strain	Cultivar	birth_location	PHENOTYPE	Individual	sequencing_info
PRJNA530695	SRR8868223	WGS	300	9930576070	SAMN11322341	3699040448	FRIEDRICH MIESCHER LABORATORY OF THE MAX PLANCK SOCIETY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5655290	Illumina HiSeq 3000	LITC_DWN_7_F.caudalfin.DNAseq	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2019-05-14T00:00:00Z	LITC_DWN_7_F.caudalfin.DNAseq	SRP191488	Model organism or animal	female	caudalfin	LITC_DWN_7	adult	marine	Little Campbell River\, Canada	not applicable	wild mating	not applicable	Felicity Jones\, Jones Lab\, Friedrich Miescher Laboratory of Max Planck Society\, Max-Planck-Ring 9\, Tuebingen\, Germany	Little Campbell River, Canada
PRJNA530695	SRR8868234	WGS	300	14293531990	SAMN11322339	5291721812	FRIEDRICH MIESCHER LABORATORY OF THE MAX PLANCK SOCIETY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5655279	Illumina HiSeq 3000	LITC_DWN_5_F.caudalfin.DNAseq	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2019-05-14T00:00:00Z	LITC_DWN_5_F.caudalfin.DNAseq	SRP191488	Model organism or animal	female	caudalfin	LITC_DWN_5	adult	marine	Little Campbell River\, Canada	not applicable	wild mating	not applicable	Felicity Jones\, Jones Lab\, Friedrich Miescher Laboratory of Max Planck Society\, Max-Planck-Ring 9\, Tuebingen\, Germany	Little Campbell River, Canada
PRJNA530695	SRR8868235	WGS	300	17140713587	SAMN11322340	6318365804	FRIEDRICH MIESCHER LABORATORY OF THE MAX PLANCK SOCIETY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5655278	Illumina HiSeq 3000	LITC_DWN_6_F.caudalfin.DNAseq	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2019-05-14T00:00:00Z	LITC_DWN_6_F.caudalfin.DNAseq	SRP191488	Model organism or animal	female	caudalfin	LITC_DWN_6	adult	marine	Little Campbell River\, Canada	not applicable	wild mating	not applicable	Felicity Jones\, Jones Lab\, Friedrich Miescher Laboratory of Max Planck Society\, Max-Planck-Ring 9\, Tuebingen\, Germany	Little Campbell River, Canada
PRJNA530695	SRR8868237	WGS	300	10479671652	SAMN11322331	3856113888	FRIEDRICH MIESCHER LABORATORY OF THE MAX PLANCK SOCIETY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5655276	Illumina HiSeq 3000	Tyne2_18.caudalfin.DNAseq	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2019-05-14T00:00:00Z	Tyne2_18.caudalfin.DNAseq	SRP191488	Model organism or animal	female	caudalfin	Tyne2_18	adult	marine	River Tyne\, Scotland	not applicable	wild mating	not applicable	Felicity Jones\, Jones Lab\, Friedrich Miescher Laboratory of Max Planck Society\, Max-Planck-Ring 9\, Tuebingen\, Germany	River Tyne, Scotland
PRJNA530695	SRR8868238	WGS	300	20405013516	SAMN11322332	7577607720	FRIEDRICH MIESCHER LABORATORY OF THE MAX PLANCK SOCIETY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5655275	Illumina HiSeq 3000	Tyne2_20.caudalfin.DNAseq	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2019-05-14T00:00:00Z	Tyne2_20.caudalfin.DNAseq	SRP191488	Model organism or animal	female	caudalfin	Tyne2_20	adult	marine	River Tyne\, Scotland	not applicable	wild mating	not applicable	Felicity Jones\, Jones Lab\, Friedrich Miescher Laboratory of Max Planck Society\, Max-Planck-Ring 9\, Tuebingen\, Germany	River Tyne, Scotland
PRJNA530695	SRR8868240	WGS	300	17646598834	SAMN11322334	6513587437	FRIEDRICH MIESCHER LABORATORY OF THE MAX PLANCK SOCIETY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5655273	Illumina HiSeq 3000	Tyne8_27.caudalfin.DNAseq	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2019-05-14T00:00:00Z	Tyne8_27.caudalfin.DNAseq	SRP191488	Model organism or animal	female	caudalfin	Tyne8_27	adult	freshwater	River Tyne\, Scotland	not applicable	wild mating	not applicable	Felicity Jones\, Jones Lab\, Friedrich Miescher Laboratory of Max Planck Society\, Max-Planck-Ring 9\, Tuebingen\, Germany	River Tyne, Scotland
PRJNA530695	SRR8868241	WGS	302	33230626474	SAMN11322335	15408754795	FRIEDRICH MIESCHER LABORATORY OF THE MAX PLANCK SOCIETY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5655272	Illumina HiSeq 3000	Tyne8_2.caudalfin.DNAseq	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2019-05-14T00:00:00Z	Tyne8_2.caudalfin.DNAseq	SRP191488	Model organism or animal	male	caudalfin	Tyne8_2	adult	freshwater	River Tyne\, Scotland	not applicable	wild mating	not applicable	Felicity Jones\, Jones Lab\, Friedrich Miescher Laboratory of Max Planck Society\, Max-Planck-Ring 9\, Tuebingen\, Germany	River Tyne, Scotland
PRJNA530695	SRR8868242	WGS	298	22828851958	SAMN11322336	9406338290	FRIEDRICH MIESCHER LABORATORY OF THE MAX PLANCK SOCIETY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5655271	Illumina HiSeq 3000	Tyne8_4.caudalfin.DNAseq	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2019-05-14T00:00:00Z	Tyne8_4.caudalfin.DNAseq	SRP191488	Model organism or animal	female	caudalfin	Tyne8_4	adult	freshwater	River Tyne\, Scotland	not applicable	wild mating	not applicable	Felicity Jones\, Jones Lab\, Friedrich Miescher Laboratory of Max Planck Society\, Max-Planck-Ring 9\, Tuebingen\, Germany	River Tyne, Scotland
PRJNA530695	SRR8868243	WGS	202	17638534354	SAMN11322337	11226897198	FRIEDRICH MIESCHER LABORATORY OF THE MAX PLANCK SOCIETY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5655270	Illumina HiSeq 3000	Tyne8_7.caudalfin.DNAseq	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2019-05-14T00:00:00Z	Tyne8_7.caudalfin.DNAseq	SRP191488	Model organism or animal	female	caudalfin	Tyne8_7	adult	freshwater	River Tyne\, Scotland	not applicable	wild mating	not applicable	Felicity Jones\, Jones Lab\, Friedrich Miescher Laboratory of Max Planck Society\, Max-Planck-Ring 9\, Tuebingen\, Germany	River Tyne, Scotland
PRJNA530695	SRR8868244	WGS	300	10198973356	SAMN11322338	3820182304	FRIEDRICH MIESCHER LABORATORY OF THE MAX PLANCK SOCIETY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5655269	Illumina HiSeq 3000	LITC_DWN_4_F.caudalfin.DNAseq	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2019-05-14T00:00:00Z	LITC_DWN_4_F.caudalfin.DNAseq	SRP191488	Model organism or animal	female	caudalfin	LITC_DWN_4	adult	marine	Little Campbell River\, Canada	not applicable	wild mating	not applicable	Felicity Jones\, Jones Lab\, Friedrich Miescher Laboratory of Max Planck Society\, Max-Planck-Ring 9\, Tuebingen\, Germany	Little Campbell River, Canada
PRJNA530695	SRR8868236	WGS	300	11692316573	SAMN11322349	4289171838	FRIEDRICH MIESCHER LABORATORY OF THE MAX PLANCK SOCIETY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5655277	Illumina HiSeq 3000	LITC_UP_18_F.caudalfin.DNAseq	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2019-05-14T00:00:00Z	LITC_UP_18_F.caudalfin.DNAseq	SRP191488	Model organism or animal	female	caudalfin	LITC_UP_18	adult	freshwater	Little Campbell River\, Canada	not applicable	wild mating	not applicable	Felicity Jones\, Jones Lab\, Friedrich Miescher Laboratory of Max Planck Society\, Max-Planck-Ring 9\, Tuebingen\, Germany	Little Campbell River, Canada
PRJNA530695	SRR8868239	WGS	298	17645698481	SAMN11322333	7525154385	FRIEDRICH MIESCHER LABORATORY OF THE MAX PLANCK SOCIETY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5655274	Illumina HiSeq 3000	Tyne8_1.caudalfin.DNAseq	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2019-05-14T00:00:00Z	Tyne8_1.caudalfin.DNAseq	SRP191488	Model organism or animal	male	caudalfin	Tyne8_1	adult	freshwater	River Tyne\, Scotland	not applicable	wild mating	not applicable	Felicity Jones\, Jones Lab\, Friedrich Miescher Laboratory of Max Planck Society\, Max-Planck-Ring 9\, Tuebingen\, Germany	River Tyne, Scotland
PRJNA530695	SRR8868198	WGS	293	28827628867	SAMN11322330	13707441171	FRIEDRICH MIESCHER LABORATORY OF THE MAX PLANCK SOCIETY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX5655315	Illumina HiSeq 3000	Tyne2_16_2015.caudalfin.DNAseq	PAIRED	RANDOM	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2019-05-14T00:00:00Z	Tyne2_16_2015.caudalfin.DNAseq	SRP191488	Model organism or animal	female	caudalfin	Tyne2_16_2015	adult	marine	River Tyne\, Scotland	not applicable	wild mating	not applicable	Felicity Jones\, Jones Lab\, Friedrich Miescher Laboratory of Max Planck Society\, Max-Planck-Ring 9\, Tuebingen\, Germany	River Tyne, Scotland
