BioProject	Run	Assay Type	BioSample	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	Alias	Description	ENA_CHECKLIST	sub_species	use_species
PRJEB21643	ERR2026814	WGS	SAMEA104152957	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2085947	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_abietinus	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104152957	ERP023915	ERS1811975	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:35Z	2017-07-05T14:45:54Z	public	ERS1811975	Pcol09 BAM used for genome assembly	Assembly BAM 1	Abeitinus\, allopatry	ERC000011	abietinus	1
PRJEB21643	ERR2026815	WGS	SAMEA104152958	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2085948	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_abietinus	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104152958	ERP023915	ERS1811976	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:35Z	2017-07-05T14:45:54Z	public	ERS1811976	Pcol09 BAM used for genome assembly	Assembly BAM 2	Abeitinus\, allopatry	ERC000011	abietinus	1
PRJEB21643	ERR2026816	WGS	SAMEA104152959	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2085949	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_abietinus	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104152959	ERP023915	ERS1811977	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:35Z	2017-07-05T14:45:54Z	public	ERS1811977	Pcol09 BAM used for genome assembly	Assembly BAM 3	Abeitinus\, allopatry	ERC000011	abietinus	1
PRJEB21643	ERR2026817	WGS	SAMEA104152960	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2085950	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_abietinus	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104152960	ERP023915	ERS1811978	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:35Z	2017-07-05T14:45:55Z	public	ERS1811978	Pcol09 BAM used for genome assembly	Assembly BAM 4	Abeitinus\, allopatry	ERC000011	abietinus	1
PRJEB21643	ERR2029724	WGS	SAMEA104156767	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088781	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_tristis	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104156767	ERP023915	ERS1815785	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T11:12:28Z	public	ERS1815785	Pcol13	Pcol13	Tristis\, allopatry	ERC000011	tristis	1
PRJEB21643	ERR2029725	WGS	SAMEA104156768	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088782	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_tristis	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104156768	ERP023915	ERS1815786	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T11:57:01Z	public	ERS1815786	Pcol14	PCol14	Tristis\, allopatry	ERC000011	tristis	1
PRJEB21643	ERR2029726	WGS	SAMEA104156769	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088783	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_tristis	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104156769	ERP023915	ERS1815787	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T11:12:28Z	public	ERS1815787	Pcol15	Pcol15	Tristis\, allopatry	ERC000011	tristis	1
PRJEB21643	ERR2029727	WGS	SAMEA104156770	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088784	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_tristis	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104156770	ERP023915	ERS1815788	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T11:12:28Z	public	ERS1815788	Pcol16	Pcol16	Tristis\, allopatry	ERC000011	tristis	1
PRJEB21643	ERR2029728	WGS	SAMEA104156771	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088785	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_tristis	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104156771	ERP023915	ERS1815789	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T11:12:28Z	public	ERS1815789	Pcol17	Pcol17	Tristis\, allopatry	ERC000011	tristis	1
PRJEB21643	ERR2029729	WGS	SAMEA104156772	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088786	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_tristis	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104156772	ERP023915	ERS1815790	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T11:12:28Z	public	ERS1815790	Pcol18	Pcol18	Tristis\, allopatry	ERC000011	tristis	1
PRJEB21643	ERR2029730	WGS	SAMEA104156773	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088787	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_tristis	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104156773	ERP023915	ERS1815791	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T11:12:28Z	public	ERS1815791	Pcol19	Pcol19	Tristis\, allopatry	ERC000011	tristis	1
PRJEB21643	ERR2029731	WGS	SAMEA104156774	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088788	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_tristis	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104156774	ERP023915	ERS1815792	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T11:12:28Z	public	ERS1815792	Pcol510	Pcol510	Tristis\, allopatry	ERC000011	tristis	1
PRJEB21643	ERR2029732	WGS	SAMEA104156776	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088789	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_tristis	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104156776	ERP023915	ERS1815794	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T11:12:28Z	public	ERS1815794	Pcol704	Pcol704	Tristis\, allopatry	ERC000011	tristis	1
PRJEB21643	ERR2029733	WGS	SAMEA104156775	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088790	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_tristis	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104156775	ERP023915	ERS1815793	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T11:12:28Z	public	ERS1815793	Pcol703	Pcol703	Tristis\, allopatry	ERC000011	tristis	1
PRJEB21643	ERR2029743	WGS	SAMEA104157447	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088800	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_abietinus	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104157447	ERP023915	ERS1816465	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T12:11:09Z	public	ERS1816465	Pcol24	Pcol24	Abeitinus\, sympatry	ERC000011	abietinus	1
PRJEB21643	ERR2029744	WGS	SAMEA104157448	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088801	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_abietinus	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104157448	ERP023915	ERS1816466	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T12:11:09Z	public	ERS1816466	Pcol25	Pcol25	Abeitinus\, sympatry	ERC000011	abietinus	1
PRJEB21643	ERR2029745	WGS	SAMEA104157449	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088802	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_abietinus	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104157449	ERP023915	ERS1816467	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T12:11:09Z	public	ERS1816467	Pcol26	Pcol26	Abeitinus\, sympatry	ERC000011	abietinus	1
PRJEB21643	ERR2029746	WGS	SAMEA104157450	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088803	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_abietinus	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104157450	ERP023915	ERS1816468	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T12:11:09Z	public	ERS1816468	Pcol27	Pcol27	Abeitinus\, sympatry	ERC000011	abietinus	1
PRJEB21643	ERR2029747	WGS	SAMEA104157451	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088804	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_abietinus	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104157451	ERP023915	ERS1816469	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T12:11:09Z	public	ERS1816469	Pcol29	Pcol29	Abeitinus\, sympatry	ERC000011	abietinus	1
PRJEB21643	ERR2029748	WGS	SAMEA104157452	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088805	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_abietinus	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104157452	ERP023915	ERS1816470	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T12:11:09Z	public	ERS1816470	Pcol31	Pcol31	Abeitinus\, sympatry	ERC000011	abietinus	1
PRJEB21643	ERR2029749	WGS	SAMEA104157453	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088806	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_abietinus	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104157453	ERP023915	ERS1816471	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T12:11:09Z	public	ERS1816471	Pcol32	Pcol32	Abeitinus\, sympatry	ERC000011	abietinus	1
PRJEB21643	ERR2029750	WGS	SAMEA104157454	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088807	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_abietinus	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104157454	ERP023915	ERS1816472	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T12:11:09Z	public	ERS1816472	Pcol33	Pcol33	Abeitinus\, sympatry	ERC000011	abietinus	1
PRJEB21643	ERR2029751	WGS	SAMEA104157455	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088808	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_abietinus	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104157455	ERP023915	ERS1816473	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T12:11:09Z	public	ERS1816473	Pcol34	Pcol34	Abeitinus\, sympatry	ERC000011	abietinus	1
PRJEB21643	ERR2029752	WGS	SAMEA104157456	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088809	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_abietinus	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104157456	ERP023915	ERS1816474	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T12:11:09Z	public	ERS1816474	Pcol35	Pcol35	Abeitinus\, sympatry	ERC000011	abietinus	1
PRJEB21643	ERR2029753	WGS	SAMEA104157457	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088810	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_tristis	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104157457	ERP023915	ERS1816475	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T12:22:58Z	public	ERS1816475	Pcol20	Pcol20	Tristis\, sympatry	ERC000011	tristis	1
PRJEB21643	ERR2029754	WGS	SAMEA104157458	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088811	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_tristis	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104157458	ERP023915	ERS1816476	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T12:22:58Z	public	ERS1816476	Pcol21	Pcol21	Tristis\, sympatry	ERC000011	tristis	1
PRJEB21643	ERR2029755	WGS	SAMEA104157459	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088812	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_tristis	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104157459	ERP023915	ERS1816477	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T12:22:58Z	public	ERS1816477	Pcol22	Pcol22	Tristis\, sympatry	ERC000011	tristis	1
PRJEB21643	ERR2029756	WGS	SAMEA104157460	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088813	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_tristis	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104157460	ERP023915	ERS1816478	2017-12-15	2018-11-16	NA	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T12:22:58Z	public	ERS1816478	Pcol23	Pcol23	Tristis\, sympatry	ERC000011	tristis	1
PRJEB21643	ERR2029757	WGS	SAMEA104157461	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088814	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_tristis	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104157461	ERP023915	ERS1816479	2017-12-15	2018-11-16	NA	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T12:22:58Z	public	ERS1816479	Pcol37	Pcol37	Tristis\, sympatry	ERC000011	tristis	1
PRJEB21643	ERR2029758	WGS	SAMEA104157462	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088815	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_tristis	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104157462	ERP023915	ERS1816480	2017-12-15	2018-11-16	NA	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T12:22:58Z	public	ERS1816480	Pcol38	Pcol38	Tristis\, sympatry	ERC000011	tristis	1
PRJEB21643	ERR2029759	WGS	SAMEA104157463	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088816	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_tristis	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104157463	ERP023915	ERS1816481	2017-12-15	2018-11-16	NA	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T12:22:58Z	public	ERS1816481	Pcol39	Pcol39	Tristis\, sympatry	ERC000011	tristis	1
PRJEB21643	ERR2029760	WGS	SAMEA104157464	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088817	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_tristis	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104157464	ERP023915	ERS1816482	2017-12-15	2018-11-16	NA	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T12:22:58Z	public	ERS1816482	Pcol41	Pcol41	Tristis\, sympatry	ERC000011	tristis	1
PRJEB21643	ERR2029761	WGS	SAMEA104157465	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088818	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_tristis	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104157465	ERP023915	ERS1816483	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T12:22:58Z	public	ERS1816483	Pcol42	Pcol42	Tristis\, sympatry	ERC000011	tristis	1
PRJEB21643	ERR2029762	WGS	SAMEA104157466	EVOLUTIONARY BIOLOGY CENTRE	public	bam	ena	ena	ERX2088819	Illumina HiSeq 2000	unspecified	PAIRED	RANDOM PCR	GENOMIC	Phylloscopus_collybita_tristis	ILLUMINA	2017-12-16T00:00:00Z	SAMEA104157466	ERP023915	ERS1816484	2017-12-15	2018-11-16	Evolutionary Biology Centre	Evolutionary Biology Centre	2017-12-15T17:02:36Z	2017-07-10T12:22:58Z	public	ERS1816484	Pcol47	Pcol47	Tristis\, sympatry	ERC000011	tristis	1
