BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Isolate	Ecotype	Collection_date	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	lat_lon	Strain	Cultivar	isol_growth_condt	estimated_size	ploidy	propagation	env_biome	env_feature	env_material	Depth	use_species
PRJNA354496	SRR5043536	WGS	252	5023839240	SAMN06046560	1765564326	UNIVERSITY OF AGDER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2366589	Illumina HiSeq 2500	EG26_CCGTCC_L001	PAIRED	RANDOM	GENOMIC	Symphodus_melops	ILLUMINA	2017-12-01T00:00:00Z	EG26	SRP093690	MIGS.eu,MIGS/MIMS/MIMARKS.water	missing	not applicable	Southern Norway	2014-01-06	Norway	Europe	Norway	58.45 N 5.99 E	not applicable	not applicable	wild	600 Mbps	diploid	sexual	rocky shore	sea	water	2-10	1
PRJNA354496	SRR5043538	WGS	252	4424004648	SAMN06046548	1588092410	UNIVERSITY OF AGDER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2366591	Illumina HiSeq 2500	ARD15_GTGAAA_L004	PAIRED	RANDOM	GENOMIC	Symphodus_melops	ILLUMINA	2017-12-01T00:00:00Z	ARD15	SRP093690	MIGS.eu,MIGS/MIMS/MIMARKS.water	missing	not applicable	Scotland	2014-01-01	United Kingdom	Europe	United Kingdom: Scotland	56.76 N 5.88 W	not applicable	not applicable	wild	600 Mbps	diploid	sexual	rocky shore	sea	water	2-10	1
PRJNA354496	SRR5043539	WGS	252	6111210672	SAMN06046582	2182751151	UNIVERSITY OF AGDER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2366592	Illumina HiSeq 2500	SM112_GAGTGG_L002	PAIRED	RANDOM	GENOMIC	Symphodus_melops	ILLUMINA	2017-12-01T00:00:00Z	SM112	SRP093690	MIGS.eu,MIGS/MIMS/MIMARKS.water	missing	not applicable	Western Norway	2014-01-02	Norway	Europe	Norway	63.46 N 7.69 E	not applicable	not applicable	wild	600 Mbps	diploid	sexual	rocky shore	sea	water	2-10	1
PRJNA354496	SRR5043542	WGS	252	5153063076	SAMN06046602	1788797973	UNIVERSITY OF AGDER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2366595	Illumina HiSeq 2500	TV70_CTTGTA_L004	PAIRED	RANDOM	GENOMIC	Symphodus_melops	ILLUMINA	2017-12-01T00:00:00Z	TV70	SRP093690	MIGS.eu,MIGS/MIMS/MIMARKS.water	missing	not applicable	Southern Norway	2014-01-06	Norway	Europe	Norway	58.62 N 8.93 E	not applicable	not applicable	wild	600 Mbps	diploid	sexual	rocky shore	sea	water	2-10	1
PRJNA354496	SRR5043544	WGS	302	11814729240	SAMN06046571	4688893090	UNIVERSITY OF AGDER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2366597	Illumina HiSeq 4000	GF38_S162_L008	PAIRED	RANDOM	GENOMIC	Symphodus_melops	ILLUMINA	2017-12-01T00:00:00Z	GF38	SRP093690	MIGS.eu,MIGS/MIMS/MIMARKS.water	missing	not applicable	Southern Norway	2014-01-09	Sweden	Europe	Sweden	58.34 N 11.56 E	not applicable	not applicable	wild	600 Mbps	diploid	sexual	rocky shore	sea	water	2-10	1
PRJNA354496	SRR5043546	WGS	252	6707891736	SAMN06046554	2397816389	UNIVERSITY OF AGDER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2366599	Illumina HiSeq 2500	ARD8_CCGTCC_L007	PAIRED	RANDOM	GENOMIC	Symphodus_melops	ILLUMINA	2017-12-01T00:00:00Z	ARD8	SRP093690	MIGS.eu,MIGS/MIMS/MIMARKS.water	missing	not applicable	Scotland	2014-01-07	United Kingdom	Europe	United Kingdom: Scotland	56.76 N 5.88 W	not applicable	not applicable	wild	600 Mbps	diploid	sexual	rocky shore	sea	water	2-10	1
PRJNA354496	SRR5043548	WGS	302	9532949516	SAMN06046565	3779946854	UNIVERSITY OF AGDER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2366601	Illumina HiSeq 4000	GF03_S156_L008	PAIRED	RANDOM	GENOMIC	Symphodus_melops	ILLUMINA	2017-12-01T00:00:00Z	GF03	SRP093690	MIGS.eu,MIGS/MIMS/MIMARKS.water	missing	not applicable	Southern Norway	2014-01-03	Sweden	Europe	Sweden	58.34 N 11.56 E	not applicable	not applicable	wild	600 Mbps	diploid	sexual	rocky shore	sea	water	2-10	1
PRJNA354496	SRR5043549	WGS	252	4888916172	SAMN06046600	1701553823	UNIVERSITY OF AGDER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2366602	Illumina HiSeq 2500	TV68_GCCAAT_L004	PAIRED	RANDOM	GENOMIC	Symphodus_melops	ILLUMINA	2017-12-01T00:00:00Z	TV68	SRP093690	MIGS.eu,MIGS/MIMS/MIMARKS.water	missing	not applicable	Southern Norway	2014-01-04	Norway	Europe	Norway	58.62 N 8.93 E	not applicable	not applicable	wild	600 Mbps	diploid	sexual	rocky shore	sea	water	2-10	1
PRJNA354496	SRR5043551	WGS	252	5892554808	SAMN06046586	2111581864	UNIVERSITY OF AGDER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2366604	Illumina HiSeq 2500	SM116_TTAGGC_L003	PAIRED	RANDOM	GENOMIC	Symphodus_melops	ILLUMINA	2017-12-01T00:00:00Z	SM116	SRP093690	MIGS.eu,MIGS/MIMS/MIMARKS.water	missing	not applicable	Western Norway	2014-01-06	Norway	Europe	Norway	63.46 N 7.69 E	not applicable	not applicable	wild	600 Mbps	diploid	sexual	rocky shore	sea	water	2-10	1
PRJNA354496	SRR5043553	WGS	252	4448492496	SAMN06046584	1547243020	UNIVERSITY OF AGDER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2366606	Illumina HiSeq 2500	SM114_ATTCCT_L004	PAIRED	RANDOM	GENOMIC	Symphodus_melops	ILLUMINA	2017-12-01T00:00:00Z	SM114	SRP093690	MIGS.eu,MIGS/MIMS/MIMARKS.water	missing	not applicable	Western Norway	2014-01-04	Norway	Europe	Norway	63.46 N 7.69 E	not applicable	not applicable	wild	600 Mbps	diploid	sexual	rocky shore	sea	water	2-10	1
PRJNA354496	SRR5043554	WGS	252	4043991924	SAMN06046561	1430684892	UNIVERSITY OF AGDER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2366607	Illumina HiSeq 2500	EG27_GTCCGC_L004	PAIRED	RANDOM	GENOMIC	Symphodus_melops	ILLUMINA	2017-12-01T00:00:00Z	EG27	SRP093690	MIGS.eu,MIGS/MIMS/MIMARKS.water	missing	not applicable	Southern Norway	2014-01-07	Norway	Europe	Norway	58.45 N 5.99 E	not applicable	not applicable	wild	600 Mbps	diploid	sexual	rocky shore	sea	water	2-10	1
PRJNA354496	SRR5043556	WGS	252	5100914952	SAMN06046603	1771187447	UNIVERSITY OF AGDER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2366609	Illumina HiSeq 2500	TV73_AGTCAA_L004	PAIRED	RANDOM	GENOMIC	Symphodus_melops	ILLUMINA	2017-12-01T00:00:00Z	TV73	SRP093690	MIGS.eu,MIGS/MIMS/MIMARKS.water	missing	not applicable	Southern Norway	2014-01-07	Norway	Europe	Norway	58.62 N 8.93 E	not applicable	not applicable	wild	600 Mbps	diploid	sexual	rocky shore	sea	water	2-10	1
PRJNA354496	SRR5043558	WGS	302	15136585186	SAMN06046568	6090218848	UNIVERSITY OF AGDER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2366611	Illumina HiSeq 4000	GF07_S159_L008	PAIRED	RANDOM	GENOMIC	Symphodus_melops	ILLUMINA	2017-12-01T00:00:00Z	GF07	SRP093690	MIGS.eu,MIGS/MIMS/MIMARKS.water	missing	not applicable	Southern Norway	2014-01-06	Sweden	Europe	Sweden	58.34 N 11.56 E	not applicable	not applicable	wild	600 Mbps	diploid	sexual	rocky shore	sea	water	2-10	1
PRJNA354496	SRR5043562	WGS	252	4383370656	SAMN06046597	1523040007	UNIVERSITY OF AGDER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2366615	Illumina HiSeq 2500	TV65_CGATGT_L004	PAIRED	RANDOM	GENOMIC	Symphodus_melops	ILLUMINA	2017-12-01T00:00:00Z	TV65	SRP093690	MIGS.eu,MIGS/MIMS/MIMARKS.water	missing	not applicable	Southern Norway	2014-01-01	Norway	Europe	Norway	58.62 N 8.93 E	not applicable	not applicable	wild	600 Mbps	diploid	sexual	rocky shore	sea	water	2-10	1
PRJNA354496	SRR5043564	WGS	252	6782188644	SAMN06046589	2412453130	UNIVERSITY OF AGDER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2366617	Illumina HiSeq 2500	ST41_TAGCTT_L003	PAIRED	RANDOM	GENOMIC	Symphodus_melops	ILLUMINA	2017-12-01T00:00:00Z	ST41	SRP093690	MIGS.eu,MIGS/MIMS/MIMARKS.water	missing	not applicable	Western Norway	2014-01-01	Norway	Europe	Norway	58.96 N 5.73 E	not applicable	not applicable	wild	600 Mbps	diploid	sexual	rocky shore	sea	water	2-10	1
PRJNA354496	SRR5043567	WGS	252	5693615676	SAMN06046573	2055972576	UNIVERSITY OF AGDER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2366620	Illumina HiSeq 2500	NH60_ATCACG_L002	PAIRED	RANDOM	GENOMIC	Symphodus_melops	ILLUMINA	2017-12-01T00:00:00Z	NH60	SRP093690	MIGS.eu,MIGS/MIMS/MIMARKS.water	missing	not applicable	Western Norway	2014-01-01	Norway	Europe	Norway	60.37 N 6.14 E	not applicable	not applicable	wild	600 Mbps	diploid	sexual	rocky shore	sea	water	2-10	1
PRJNA354496	SRR5043570	WGS	252	4865156604	SAMN06046601	1697465699	UNIVERSITY OF AGDER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2366623	Illumina HiSeq 2500	TV69_CAGATC_L004	PAIRED	RANDOM	GENOMIC	Symphodus_melops	ILLUMINA	2017-12-01T00:00:00Z	TV69	SRP093690	MIGS.eu,MIGS/MIMS/MIMARKS.water	missing	not applicable	Southern Norway	2014-01-05	Norway	Europe	Norway	58.62 N 8.93 E	not applicable	not applicable	wild	600 Mbps	diploid	sexual	rocky shore	sea	water	2-10	1
PRJNA354496	SRR5043572	WGS	252	6248027016	SAMN06046553	2253103749	UNIVERSITY OF AGDER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2366625	Illumina HiSeq 2500	ARD6_ATGTCA_L007	PAIRED	RANDOM	GENOMIC	Symphodus_melops	ILLUMINA	2017-12-01T00:00:00Z	ARD6	SRP093690	MIGS.eu,MIGS/MIMS/MIMARKS.water	missing	not applicable	Scotland	2014-01-06	United Kingdom	Europe	United Kingdom: Scotland	56.76 N 5.88 W	not applicable	not applicable	wild	600 Mbps	diploid	sexual	rocky shore	sea	water	2-10	1
PRJNA354496	SRR5043574	WGS	252	5428764180	SAMN06046592	1954679742	UNIVERSITY OF AGDER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2366627	Illumina HiSeq 2500	ST44_GTTTCG_L003	PAIRED	RANDOM	GENOMIC	Symphodus_melops	ILLUMINA	2017-12-01T00:00:00Z	ST44	SRP093690	MIGS.eu,MIGS/MIMS/MIMARKS.water	missing	not applicable	Western Norway	2014-01-04	Norway	Europe	Norway	58.96 N 5.73 E	not applicable	not applicable	wild	600 Mbps	diploid	sexual	rocky shore	sea	water	2-10	1
PRJNA354496	SRR5043576	WGS	252	5545635984	SAMN06046551	1956949202	UNIVERSITY OF AGDER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2366629	Illumina HiSeq 2500	ARD21_ACAGTG_L001	PAIRED	RANDOM	GENOMIC	Symphodus_melops	ILLUMINA	2017-12-01T00:00:00Z	ARD21	SRP093690	MIGS.eu,MIGS/MIMS/MIMARKS.water	missing	not applicable	Scotland	2014-01-04	United Kingdom	Europe	United Kingdom: Scotland	56.76 N 5.88 W	not applicable	not applicable	wild	600 Mbps	diploid	sexual	rocky shore	sea	water	2-10	1
PRJNA354496	SRR5043513	WGS	252	5485103316	SAMN06046587	1966306596	UNIVERSITY OF AGDER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2366566	Illumina HiSeq 2500	SM117_ACTTGA_L003	PAIRED	RANDOM	GENOMIC	Symphodus_melops	ILLUMINA	2017-12-01T00:00:00Z	SM117	SRP093690	MIGS.eu,MIGS/MIMS/MIMARKS.water	missing	not applicable	Western Norway	2014-01-07	Norway	Europe	Norway	63.46 N 7.69 E	not applicable	not applicable	wild	600 Mbps	diploid	sexual	rocky shore	sea	water	2-10	1
PRJNA354496	SRR5043515	WGS	302	11656459798	SAMN06046569	4570198206	UNIVERSITY OF AGDER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2366568	Illumina HiSeq 4000	GF23_S160_L008	PAIRED	RANDOM	GENOMIC	Symphodus_melops	ILLUMINA	2017-12-01T00:00:00Z	GF23	SRP093690	MIGS.eu,MIGS/MIMS/MIMARKS.water	missing	not applicable	Southern Norway	2014-01-07	Sweden	Europe	Sweden	58.34 N 11.56 E	not applicable	not applicable	wild	600 Mbps	diploid	sexual	rocky shore	sea	water	2-10	1
PRJNA354496	SRR5043516	WGS	252	5617273284	SAMN06046547	2008549294	UNIVERSITY OF AGDER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2366569	Illumina HiSeq 2500	AR68_AGTTCC_L007	PAIRED	RANDOM	GENOMIC	Symphodus_melops	ILLUMINA	2017-12-01T00:00:00Z	AR68	SRP093690	MIGS.eu,MIGS/MIMS/MIMARKS.water	missing	not applicable	Southern Norway	2014-01-08	Norway	Europe	Norway	58.46 N 8.77 E	not applicable	not applicable	wild	600 Mbps	diploid	sexual	rocky shore	sea	water	2-10	1
PRJNA354496	SRR5043518	WGS	252	5050507644	SAMN06046555	1770794944	UNIVERSITY OF AGDER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2366571	Illumina HiSeq 2500	EG21_CAGATC_L001	PAIRED	RANDOM	GENOMIC	Symphodus_melops	ILLUMINA	2017-12-01T00:00:00Z	EG21	SRP093690	MIGS.eu,MIGS/MIMS/MIMARKS.water	missing	not applicable	Southern Norway	2014-01-01	Norway	Europe	Norway	58.45 N 5.99 E	not applicable	not applicable	wild	600 Mbps	diploid	sexual	rocky shore	sea	water	2-10	1
PRJNA354496	SRR5043520	WGS	252	5320425852	SAMN06046593	1919073944	UNIVERSITY OF AGDER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2366573	Illumina HiSeq 2500	ST45_CGTACG_L003	PAIRED	RANDOM	GENOMIC	Symphodus_melops	ILLUMINA	2017-12-01T00:00:00Z	ST45	SRP093690	MIGS.eu,MIGS/MIMS/MIMARKS.water	missing	not applicable	Western Norway	2014-01-05	Norway	Europe	Norway	58.96 N 5.73 E	not applicable	not applicable	wild	600 Mbps	diploid	sexual	rocky shore	sea	water	2-10	1
PRJNA354496	SRR5043522	WGS	252	4244825088	SAMN06046598	1491163230	UNIVERSITY OF AGDER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2366575	Illumina HiSeq 2500	TV66_TGACCA_L004	PAIRED	RANDOM	GENOMIC	Symphodus_melops	ILLUMINA	2017-12-01T00:00:00Z	TV66	SRP093690	MIGS.eu,MIGS/MIMS/MIMARKS.water	missing	not applicable	Southern Norway	2014-01-02	Norway	Europe	Norway	58.62 N 8.93 E	not applicable	not applicable	wild	600 Mbps	diploid	sexual	rocky shore	sea	water	2-10	1
PRJNA354496	SRR5043524	WGS	252	4854640896	SAMN06046599	1694249197	UNIVERSITY OF AGDER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2366577	Illumina HiSeq 2500	TV67_ACAGTG_L004	PAIRED	RANDOM	GENOMIC	Symphodus_melops	ILLUMINA	2017-12-01T00:00:00Z	TV67	SRP093690	MIGS.eu,MIGS/MIMS/MIMARKS.water	missing	not applicable	Southern Norway	2014-01-03	Norway	Europe	Norway	58.62 N 8.93 E	not applicable	not applicable	wild	600 Mbps	diploid	sexual	rocky shore	sea	water	2-10	1
PRJNA354496	SRR5043526	WGS	252	6206630220	SAMN06046583	2218721044	UNIVERSITY OF AGDER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2366579	Illumina HiSeq 2500	SM113_ACTGAT_L002	PAIRED	RANDOM	GENOMIC	Symphodus_melops	ILLUMINA	2017-12-01T00:00:00Z	SM113	SRP093690	MIGS.eu,MIGS/MIMS/MIMARKS.water	missing	not applicable	Western Norway	2014-01-03	Norway	Europe	Norway	63.46 N 7.69 E	not applicable	not applicable	wild	600 Mbps	diploid	sexual	rocky shore	sea	water	2-10	1
PRJNA354496	SRR5043530	WGS	252	7492912056	SAMN06046591	2705379276	UNIVERSITY OF AGDER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2366583	Illumina HiSeq 2500	ST43_GTGGCC_L003	PAIRED	RANDOM	GENOMIC	Symphodus_melops	ILLUMINA	2017-12-01T00:00:00Z	ST43	SRP093690	MIGS.eu,MIGS/MIMS/MIMARKS.water	missing	not applicable	Western Norway	2014-01-03	Norway	Europe	Norway	58.96 N 5.73 E	not applicable	not applicable	wild	600 Mbps	diploid	sexual	rocky shore	sea	water	2-10	1
PRJNA354496	SRR5043532	WGS	302	13623934532	SAMN06046572	5379167949	UNIVERSITY OF AGDER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2366585	Illumina HiSeq 4000	GF49_S163_L008	PAIRED	RANDOM	GENOMIC	Symphodus_melops	ILLUMINA	2017-12-01T00:00:00Z	GF49	SRP093690	MIGS.eu,MIGS/MIMS/MIMARKS.water	missing	not applicable	Southern Norway	2014-01-10	Sweden	Europe	Sweden	58.34 N 11.56 E	not applicable	not applicable	wild	600 Mbps	diploid	sexual	rocky shore	sea	water	2-10	1
PRJNA354496	SRR5043534	WGS	252	5549057136	SAMN06046575	1987834270	UNIVERSITY OF AGDER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2366587	Illumina HiSeq 2500	NH63_ACTTGA_L002	PAIRED	RANDOM	GENOMIC	Symphodus_melops	ILLUMINA	2017-12-01T00:00:00Z	NH63	SRP093690	MIGS.eu,MIGS/MIMS/MIMARKS.water	missing	not applicable	Western Norway	2014-01-03	Norway	Europe	Norway	60.37 N 6.14 E	not applicable	not applicable	wild	600 Mbps	diploid	sexual	rocky shore	sea	water	2-10	1
PRJNA354496	SRR5043535	WGS	252	5064151428	SAMN06046595	1816483798	UNIVERSITY OF AGDER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2366588	Illumina HiSeq 2500	ST47_ACTGAT_L003	PAIRED	RANDOM	GENOMIC	Symphodus_melops	ILLUMINA	2017-12-01T00:00:00Z	ST47	SRP093690	MIGS.eu,MIGS/MIMS/MIMARKS.water	missing	not applicable	Western Norway	2014-01-07	Norway	Europe	Norway	58.96 N 5.73 E	not applicable	not applicable	wild	600 Mbps	diploid	sexual	rocky shore	sea	water	2-10	1
PRJNA354496	SRR5043537	WGS	302	10087224008	SAMN06046570	3969289230	UNIVERSITY OF AGDER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2366590	Illumina HiSeq 4000	GF28_S161_L008	PAIRED	RANDOM	GENOMIC	Symphodus_melops	ILLUMINA	2017-12-01T00:00:00Z	GF28	SRP093690	MIGS.eu,MIGS/MIMS/MIMARKS.water	missing	not applicable	Southern Norway	2014-01-08	Sweden	Europe	Sweden	58.34 N 11.56 E	not applicable	not applicable	wild	600 Mbps	diploid	sexual	rocky shore	sea	water	2-10	1
