Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Collection_Date	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	sub_species	Isolate	BioSampleModel	body_site	Label	pathovar	tissue_type
SRR862083	WGS	200	4959310600	PRJNA192205	SAMN02143031	3650464824	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX283200	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-29T00:00:00Z	S_Up_H32	SRP022901	male	2010	Sweden	Europe	Sweden: Uppsala	cornix	S_Up_H32	NA	NA	NA	NA	blood
SRR863616	WGS	200	5111921400	PRJNA192205	SAMN02143031	3761673663	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX283200	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-29T00:00:00Z	S_Up_H32	SRP022901	male	2010	Sweden	Europe	Sweden: Uppsala	cornix	S_Up_H32	NA	NA	NA	NA	blood
SRR866512	WGS	200	4844300000	PRJNA192205	SAMN02143031	3549764568	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX283200	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-29T00:00:00Z	S_Up_H32	SRP022901	male	2010	Sweden	Europe	Sweden: Uppsala	cornix	S_Up_H32	NA	NA	NA	NA	blood
SRR866516	WGS	200	3444084400	PRJNA192205	SAMN02143031	2572604093	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX283200	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-29T00:00:00Z	S_Up_H32	SRP022901	male	2010	Sweden	Europe	Sweden: Uppsala	cornix	S_Up_H32	NA	NA	NA	NA	blood
SRR866520	WGS	200	4323658200	PRJNA192205	SAMN02143031	3177372737	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX283200	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-29T00:00:00Z	S_Up_H32	SRP022901	male	2010	Sweden	Europe	Sweden: Uppsala	cornix	S_Up_H32	NA	NA	NA	NA	blood
SRR866521	WGS	200	4247240200	PRJNA192205	SAMN02143031	3169599218	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX283200	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-29T00:00:00Z	S_Up_H32	SRP022901	male	2010	Sweden	Europe	Sweden: Uppsala	cornix	S_Up_H32	NA	NA	NA	NA	blood
SRR866523	WGS	200	4426906400	PRJNA192205	SAMN02143031	3254593896	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX283200	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-29T00:00:00Z	S_Up_H32	SRP022901	male	2010	Sweden	Europe	Sweden: Uppsala	cornix	S_Up_H32	NA	NA	NA	NA	blood
SRR866524	WGS	200	4575670600	PRJNA192205	SAMN02143031	3366478984	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX283200	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-29T00:00:00Z	S_Up_H32	SRP022901	male	2010	Sweden	Europe	Sweden: Uppsala	cornix	S_Up_H32	NA	NA	NA	NA	blood
SRR866526	WGS	200	4494802000	PRJNA192205	SAMN02143031	3357803341	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX283200	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-29T00:00:00Z	S_Up_H32	SRP022901	male	2010	Sweden	Europe	Sweden: Uppsala	cornix	S_Up_H32	NA	NA	NA	NA	blood
SRR866528	WGS	200	3208484200	PRJNA192205	SAMN02143031	2363041801	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX283200	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-29T00:00:00Z	S_Up_H32	SRP022901	male	2010	Sweden	Europe	Sweden: Uppsala	cornix	S_Up_H32	NA	NA	NA	NA	blood
SRR866595	WGS	200	3254168800	PRJNA192205	SAMN02143031	2435081022	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX283200	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-29T00:00:00Z	S_Up_H32	SRP022901	male	2010	Sweden	Europe	Sweden: Uppsala	cornix	S_Up_H32	NA	NA	NA	NA	blood
SRR866599	WGS	200	4472493000	PRJNA192205	SAMN02143031	3242166786	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX283200	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-29T00:00:00Z	S_Up_H32	SRP022901	male	2010	Sweden	Europe	Sweden: Uppsala	cornix	S_Up_H32	NA	NA	NA	NA	blood
SRR867100	WGA	98	5198966150	PRJNA192205	SAMN02143031	3506077853	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX286214	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32_2kb	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-30T00:00:00Z	S_Up_H32	SRP022901	male	2010	Sweden	Europe	Sweden: Uppsala	cornix	S_Up_H32	NA	NA	NA	NA	blood
SRR867101	WGA	98	10645729906	PRJNA192205	SAMN02143031	7492997410	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX286214	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32_2kb	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-30T00:00:00Z	S_Up_H32	SRP022901	male	2010	Sweden	Europe	Sweden: Uppsala	cornix	S_Up_H32	NA	NA	NA	NA	blood
SRR867102	WGA	98	5389076056	PRJNA192205	SAMN02143031	3488077648	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX286214	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32_2kb	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-30T00:00:00Z	S_Up_H32	SRP022901	male	2010	Sweden	Europe	Sweden: Uppsala	cornix	S_Up_H32	NA	NA	NA	NA	blood
SRR867103	WGA	98	5398320592	PRJNA192205	SAMN02143031	3501842056	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX286214	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32_2kb	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-30T00:00:00Z	S_Up_H32	SRP022901	male	2010	Sweden	Europe	Sweden: Uppsala	cornix	S_Up_H32	NA	NA	NA	NA	blood
SRR867104	WGA	98	3290783944	PRJNA192205	SAMN02143031	2213716577	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX286214	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32_2kb	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-30T00:00:00Z	S_Up_H32	SRP022901	male	2010	Sweden	Europe	Sweden: Uppsala	cornix	S_Up_H32	NA	NA	NA	NA	blood
SRR867105	WGA	98	3293195822	PRJNA192205	SAMN02143031	2213390863	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX286214	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32_2kb	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-30T00:00:00Z	S_Up_H32	SRP022901	male	2010	Sweden	Europe	Sweden: Uppsala	cornix	S_Up_H32	NA	NA	NA	NA	blood
SRR867107	WGA	98	5171095146	PRJNA192205	SAMN02143031	3411020776	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX286214	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32_2kb	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-30T00:00:00Z	S_Up_H32	SRP022901	male	2010	Sweden	Europe	Sweden: Uppsala	cornix	S_Up_H32	NA	NA	NA	NA	blood
SRR867108	WGA	98	5171792318	PRJNA192205	SAMN02143031	3410489358	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX286214	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32_2kb	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-30T00:00:00Z	S_Up_H32	SRP022901	male	2010	Sweden	Europe	Sweden: Uppsala	cornix	S_Up_H32	NA	NA	NA	NA	blood
SRR867110	WGS	100	4460153700	PRJNA192205	SAMN02143031	3165790777	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX286215	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32_5kb	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-30T00:00:00Z	S_Up_H32	SRP022901	male	2010	Sweden	Europe	Sweden: Uppsala	cornix	S_Up_H32	NA	NA	NA	NA	blood
SRR867112	WGS	98	7513065434	PRJNA192205	SAMN02143031	5255692563	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX286215	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32_5kb	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-30T00:00:00Z	S_Up_H32	SRP022901	male	2010	Sweden	Europe	Sweden: Uppsala	cornix	S_Up_H32	NA	NA	NA	NA	blood
SRR867113	WGS	98	7735500640	PRJNA192205	SAMN02143031	5419093184	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX286215	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32_5kb	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-30T00:00:00Z	S_Up_H32	SRP022901	male	2010	Sweden	Europe	Sweden: Uppsala	cornix	S_Up_H32	NA	NA	NA	NA	blood
SRR867114	WGS	98	3587447094	PRJNA192205	SAMN02143031	2364390302	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX286215	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32_5kb	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-30T00:00:00Z	S_Up_H32	SRP022901	male	2010	Sweden	Europe	Sweden: Uppsala	cornix	S_Up_H32	NA	NA	NA	NA	blood
SRR867115	WGS	98	3595488288	PRJNA192205	SAMN02143031	2374946429	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX286215	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32_5kb	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-30T00:00:00Z	S_Up_H32	SRP022901	male	2010	Sweden	Europe	Sweden: Uppsala	cornix	S_Up_H32	NA	NA	NA	NA	blood
SRR867116	WGS	98	4862850160	PRJNA192205	SAMN02143031	3235813601	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX286215	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32_5kb	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-30T00:00:00Z	S_Up_H32	SRP022901	male	2010	Sweden	Europe	Sweden: Uppsala	cornix	S_Up_H32	NA	NA	NA	NA	blood
SRR867117	WGS	98	4869349422	PRJNA192205	SAMN02143031	3239555685	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX286215	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32_5kb	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-30T00:00:00Z	S_Up_H32	SRP022901	male	2010	Sweden	Europe	Sweden: Uppsala	cornix	S_Up_H32	NA	NA	NA	NA	blood
SRR867118	WGS	98	3270192282	PRJNA192205	SAMN02143031	2328134850	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX286216	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32_20kb	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-30T00:00:00Z	S_Up_H32	SRP022901	male	2010	Sweden	Europe	Sweden: Uppsala	cornix	S_Up_H32	NA	NA	NA	NA	blood
SRR867119	WGS	98	16135956564	PRJNA192205	SAMN02143031	10679444970	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX286216	Illumina Genome Analyzer II	Hooded_crow_S_Up_H32_20kb	PAIRED	RANDOM PCR	GENOMIC	Corvus_cornix_cornix	ILLUMINA	2014-05-30T00:00:00Z	S_Up_H32	SRP022901	male	2010	Sweden	Europe	Sweden: Uppsala	cornix	S_Up_H32	NA	NA	NA	NA	blood
SRR1284298	WGS	200	2598374400	PRJNA192205	SAMN02743852	1928090959	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX535391	Illumina HiSeq 2000	USA_NY_B04	PAIRED	RANDOM	GENOMIC	Corvus_brachyrhynchos	ILLUMINA	2014-05-30T00:00:00Z	USA_NY_B04	SRP022901	male	2010	USA	North America	USA: New York	NA	NA	Model organism or animal	blood	USA_NY_B04	blood	NA
SRR1284299	WGS	200	1972829800	PRJNA192205	SAMN02743819	1222106209	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX535392	Illumina HiSeq 2000	D_Ko_C04	PAIRED	RANDOM	GENOMIC	Corvus_corone_corone	ILLUMINA	2014-05-30T00:00:00Z	D_Ko_C04	SRP022901	male	2010	Germany	Europe	Germany: Konstanz	corone	NA	Model organism or animal	blood	D_Ko_C04	blood	NA
SRR1284300	WGS	200	3316606200	PRJNA192205	SAMN02743819	2361571316	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX535392	Illumina HiSeq 2000	D_Ko_C04	PAIRED	RANDOM	GENOMIC	Corvus_corone_corone	ILLUMINA	2014-05-30T00:00:00Z	D_Ko_C04	SRP022901	male	2010	Germany	Europe	Germany: Konstanz	corone	NA	Model organism or animal	blood	D_Ko_C04	blood	NA
SRR1284302	WGS	200	3286466600	PRJNA192205	SAMN02743819	2343812197	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX535392	Illumina HiSeq 2000	D_Ko_C04	PAIRED	RANDOM	GENOMIC	Corvus_corone_corone	ILLUMINA	2014-05-30T00:00:00Z	D_Ko_C04	SRP022901	male	2010	Germany	Europe	Germany: Konstanz	corone	NA	Model organism or animal	blood	D_Ko_C04	blood	NA
SRR1284304	WGS	200	3344792400	PRJNA192205	SAMN02743819	2334859659	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX535392	Illumina HiSeq 2000	D_Ko_C04	PAIRED	RANDOM	GENOMIC	Corvus_corone_corone	ILLUMINA	2014-05-30T00:00:00Z	D_Ko_C04	SRP022901	male	2010	Germany	Europe	Germany: Konstanz	corone	NA	Model organism or animal	blood	D_Ko_C04	blood	NA
SRR1284307	WGS	200	10258570000	PRJNA192205	SAMN02743819	7280822580	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX535392	Illumina HiSeq 2000	D_Ko_C04	PAIRED	RANDOM	GENOMIC	Corvus_corone_corone	ILLUMINA	2014-05-30T00:00:00Z	D_Ko_C04	SRP022901	male	2010	Germany	Europe	Germany: Konstanz	corone	NA	Model organism or animal	blood	D_Ko_C04	blood	NA
SRR1284320	WGS	200	2367198000	PRJNA192205	SAMN02743820	1733624899	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX535393	Illumina HiSeq 2000	D_Ko_C05	PAIRED	RANDOM	GENOMIC	Corvus_corone_corone	ILLUMINA	2014-05-30T00:00:00Z	D_Ko_C05	SRP022901	male	2010	Germany	Europe	Germany: Konstanz	corone	NA	Model organism or animal	blood	D_Ko_C05	blood	NA
SRR1284321	WGS	200	1894166400	PRJNA192205	SAMN02743820	1406638300	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX535393	Illumina HiSeq 2000	D_Ko_C05	PAIRED	RANDOM	GENOMIC	Corvus_corone_corone	ILLUMINA	2014-05-30T00:00:00Z	D_Ko_C05	SRP022901	male	2010	Germany	Europe	Germany: Konstanz	corone	NA	Model organism or animal	blood	D_Ko_C05	blood	NA
SRR1284322	WGS	200	1897678200	PRJNA192205	SAMN02743820	1402390817	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX535393	Illumina HiSeq 2000	D_Ko_C05	PAIRED	RANDOM	GENOMIC	Corvus_corone_corone	ILLUMINA	2014-05-30T00:00:00Z	D_Ko_C05	SRP022901	male	2010	Germany	Europe	Germany: Konstanz	corone	NA	Model organism or animal	blood	D_Ko_C05	blood	NA
SRR1284323	WGS	200	1895064200	PRJNA192205	SAMN02743820	1395164775	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX535393	Illumina HiSeq 2000	D_Ko_C05	PAIRED	RANDOM	GENOMIC	Corvus_corone_corone	ILLUMINA	2014-05-30T00:00:00Z	D_Ko_C05	SRP022901	male	2010	Germany	Europe	Germany: Konstanz	corone	NA	Model organism or animal	blood	D_Ko_C05	blood	NA
SRR1284324	WGS	200	4022631600	PRJNA192205	SAMN02743820	2803975318	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX535393	Illumina HiSeq 2000	D_Ko_C05	PAIRED	RANDOM	GENOMIC	Corvus_corone_corone	ILLUMINA	2014-05-30T00:00:00Z	D_Ko_C05	SRP022901	male	2010	Germany	Europe	Germany: Konstanz	corone	NA	Model organism or animal	blood	D_Ko_C05	blood	NA
SRR1284325	WGS	200	3569390200	PRJNA192205	SAMN02743821	2620803671	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX535394	Illumina HiSeq 2000	D_Ko_C08	PAIRED	RANDOM	GENOMIC	Corvus_corone_corone	ILLUMINA	2014-05-30T00:00:00Z	D_Ko_C08	SRP022901	male	2010	Germany	Europe	Germany: Konstanz	corone	NA	Model organism or animal	blood	D_Ko_C08	blood	NA
SRR1284326	WGS	200	1940973200	PRJNA192205	SAMN02743821	1443661803	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX535394	Illumina HiSeq 2000	D_Ko_C08	PAIRED	RANDOM	GENOMIC	Corvus_corone_corone	ILLUMINA	2014-05-30T00:00:00Z	D_Ko_C08	SRP022901	male	2010	Germany	Europe	Germany: Konstanz	corone	NA	Model organism or animal	blood	D_Ko_C08	blood	NA
SRR1284327	WGS	200	1945466800	PRJNA192205	SAMN02743821	1438966458	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX535394	Illumina HiSeq 2000	D_Ko_C08	PAIRED	RANDOM	GENOMIC	Corvus_corone_corone	ILLUMINA	2014-05-30T00:00:00Z	D_Ko_C08	SRP022901	male	2010	Germany	Europe	Germany: Konstanz	corone	NA	Model organism or animal	blood	D_Ko_C08	blood	NA
