BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	AGE	Ecotype	Strain	Breed	Cultivar	use_species
PRJNA634228	SRR13065802	WGS	300	11710046700	SAMN16789478	4084725524	JINGGANGSHAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9513803	Illumina HiSeq 4000	HNXY02	PAIRED	RANDOM	GENOMIC	Passer_montanus	ILLUMINA	2020-11-16T00:00:00Z	PM_Samp20	SRP262565	Model organism or animal	unknown	breast muscle replicate 19	not collected	not collected	not collected	not collected	not collected	not collected	not collected	1
PRJNA634228	SRR13065803	WGS	300	12341429700	SAMN16789477	4245615656	JINGGANGSHAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9513802	Illumina HiSeq 4000	HNXY01	PAIRED	RANDOM	GENOMIC	Passer_montanus	ILLUMINA	2020-11-16T00:00:00Z	PM_Samp19	SRP262565	Model organism or animal	unknown	breast muscle replicate 18	not collected	not collected	not collected	not collected	not collected	not collected	not collected	1
PRJNA634228	SRR13065804	WGS	300	11000026500	SAMN16789476	3758435638	JINGGANGSHAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9513801	Illumina HiSeq 4000	XZDX02	PAIRED	RANDOM	GENOMIC	Passer_montanus	ILLUMINA	2020-11-16T00:00:00Z	PM_Samp18	SRP262565	Model organism or animal	unknown	breast muscle replicate 17	not collected	not collected	not collected	not collected	not collected	not collected	not collected	1
PRJNA634228	SRR13065805	WGS	300	11266544700	SAMN16789475	3853869845	JINGGANGSHAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9513800	Illumina HiSeq 4000	XZDX01	PAIRED	RANDOM	GENOMIC	Passer_montanus	ILLUMINA	2020-11-16T00:00:00Z	PM_Samp17	SRP262565	Model organism or animal	unknown	breast muscle replicate 16	not collected	not collected	not collected	not collected	not collected	not collected	not collected	1
PRJNA634228	SRR13065806	WGS	300	11292659100	SAMN16789474	3881320146	JINGGANGSHAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9513799	Illumina HiSeq 4000	ZJJS02	PAIRED	RANDOM	GENOMIC	Passer_montanus	ILLUMINA	2020-11-16T00:00:00Z	PM_Samp16	SRP262565	Model organism or animal	unknown	breast muscle replicate 15	not collected	not collected	not collected	not collected	not collected	not collected	not collected	1
PRJNA634228	SRR13065807	WGS	300	10947829500	SAMN16789473	3742853407	JINGGANGSHAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9513798	Illumina HiSeq 4000	ZJJS01	PAIRED	RANDOM	GENOMIC	Passer_montanus	ILLUMINA	2020-11-16T00:00:00Z	PM_Samp15	SRP262565	Model organism or animal	unknown	breast muscle replicate 14	not collected	not collected	not collected	not collected	not collected	not collected	not collected	1
PRJNA634228	SRR13065808	WGS	300	10298662200	SAMN16789472	3513835831	JINGGANGSHAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9513797	Illumina HiSeq 4000	YNEY02	PAIRED	RANDOM	GENOMIC	Passer_montanus	ILLUMINA	2020-11-16T00:00:00Z	PM_Samp14	SRP262565	Model organism or animal	unknown	breast muscle replicate 13	not collected	not collected	not collected	not collected	not collected	not collected	not collected	1
PRJNA634228	SRR13065810	WGS	300	11726163600	SAMN16789470	4025400564	JINGGANGSHAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9513795	Illumina HiSeq 4000	SDYT02	PAIRED	RANDOM	GENOMIC	Passer_montanus	ILLUMINA	2020-11-16T00:00:00Z	PM_Samp12	SRP262565	Model organism or animal	unknown	breast muscle replicate 11	not collected	not collected	not collected	not collected	not collected	not collected	not collected	1
PRJNA634228	SRR13065811	WGS	300	11182724100	SAMN16789469	3839267396	JINGGANGSHAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9513794	Illumina HiSeq 4000	SDYT01	PAIRED	RANDOM	GENOMIC	Passer_montanus	ILLUMINA	2020-11-16T00:00:00Z	PM_Samp11	SRP262565	Model organism or animal	unknown	breast muscle replicate 10	not collected	not collected	not collected	not collected	not collected	not collected	not collected	1
PRJNA634228	SRR13065812	WGS	300	11303128500	SAMN16789460	3805914497	JINGGANGSHAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9513793	Illumina HiSeq 4000	JXJA02	PAIRED	RANDOM	GENOMIC	Passer_montanus	ILLUMINA	2020-11-16T00:00:00Z	PM_Samp02	SRP262565	Model organism or animal	unknown	breast muscle replicate 1	not collected	not collected	not collected	not collected	not collected	not collected	not collected	1
PRJNA634228	SRR13065813	WGS	300	12725918700	SAMN16789459	4303509985	JINGGANGSHAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9513792	Illumina HiSeq 4000	JXJA01	PAIRED	RANDOM	GENOMIC	Passer_montanus	ILLUMINA	2020-11-16T00:00:00Z	PM_Samp01	SRP262565	Model organism or animal	unknown	breast muscle	not collected	not collected	not collected	not collected	not collected	not collected	not collected	1
PRJNA634228	SRR13065809	WGS	300	10923810900	SAMN16789471	3723557026	JINGGANGSHAN UNIVERSITY	public	fastq,sra	gs,ncbi,s3	ncbi.public,s3.us-east-1,gs.US	SRX9513796	Illumina HiSeq 4000	YNEY01	PAIRED	RANDOM	GENOMIC	Passer_montanus	ILLUMINA	2020-11-16T00:00:00Z	PM_Samp13	SRP262565	Model organism or animal	unknown	breast muscle replicate 12	not collected	not collected	not collected	not collected	not collected	not collected	not collected	1
PRJNA634228	SRR11822950	WGS	300	2050071300	SAMN14987184	739227471	JINGGANGSHAN UNIVERSITY	public	fastq,sra	gs,s3,ncbi	ncbi.public,gs.US,s3.us-east-1	SRX8373566	Illumina HiSeq 4000	SMQWGS7-S	PAIRED	RANDOM	GENOMIC	Passer_montanus	ILLUMINA	2020-05-21T00:00:00Z	Passer_DenovoGenomics	SRP262565	Model organism or animal	unknown	breast muscle	not collected	not collected	not collected	not collected	not collected	not collected	not collected	1
PRJNA634228	SRR13065794	WGS	300	11129630400	SAMN16789464	3836391290	JINGGANGSHAN UNIVERSITY	public	sra,fastq	ncbi,gs,s3	ncbi.public,gs.US,s3.us-east-1	SRX9513811	Illumina HiSeq 4000	GXNN02	PAIRED	RANDOM	GENOMIC	Passer_montanus	ILLUMINA	2020-11-16T00:00:00Z	PM_Samp06	SRP262565	Model organism or animal	unknown	breast muscle replicate 5	not collected	not collected	not collected	not collected	not collected	not collected	not collected	1
