BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	Ecotype	Biomaterial_provider	Collection_date	collected_by	health_state	AssemblyName	use_species
PRJNA298374	SRR2891315	WGS	202	9011154956	SAMN04158632	5040094968	CAFS	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1410661	Illumina HiSeq 2000	ALK01	PAIRED	RANDOM	GENOMIC	Leuciscus_waleckii	ILLUMINA	2017-03-24T00:00:00Z	amur ide re-seq	SRP064681	Model organism or animal	not collected	fins	Dali Nor Lake and Ganggeng Nor Lake	adult fish	Inner Mongolia	CAFS	2013-09-04	CAFS	bwa-0.5.9-r16	FLSR01v2	1
PRJNA298374	SRR2891316	WGS	202	7255002104	SAMN04158632	4192242522	CAFS	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1410662	Illumina HiSeq 2000	ALK02	PAIRED	RANDOM	GENOMIC	Leuciscus_waleckii	ILLUMINA	2017-03-24T00:00:00Z	amur ide re-seq	SRP064681	Model organism or animal	not collected	fins	Dali Nor Lake and Ganggeng Nor Lake	adult fish	Inner Mongolia	CAFS	2013-09-04	CAFS	bwa-0.5.9-r16	FLSR01v2	1
PRJNA298374	SRR2891317	WGS	202	8512835298	SAMN04158632	4909691555	CAFS	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1410663	Illumina HiSeq 2000	ALK03	PAIRED	RANDOM	GENOMIC	Leuciscus_waleckii	ILLUMINA	2017-03-24T00:00:00Z	amur ide re-seq	SRP064681	Model organism or animal	not collected	fins	Dali Nor Lake and Ganggeng Nor Lake	adult fish	Inner Mongolia	CAFS	2013-09-04	CAFS	bwa-0.5.9-r16	FLSR01v2	1
PRJNA298374	SRR2891318	WGS	202	10745677446	SAMN04158632	6242577893	CAFS	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1410664	Illumina HiSeq 2000	ALK04	PAIRED	RANDOM	GENOMIC	Leuciscus_waleckii	ILLUMINA	2017-03-24T00:00:00Z	amur ide re-seq	SRP064681	Model organism or animal	not collected	fins	Dali Nor Lake and Ganggeng Nor Lake	adult fish	Inner Mongolia	CAFS	2013-09-04	CAFS	bwa-0.5.9-r16	FLSR01v2	1
PRJNA298374	SRR2891319	WGS	202	7412887930	SAMN04158632	4042237116	CAFS	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1410665	Illumina HiSeq 2000	ALK05	PAIRED	RANDOM	GENOMIC	Leuciscus_waleckii	ILLUMINA	2017-03-24T00:00:00Z	amur ide re-seq	SRP064681	Model organism or animal	not collected	fins	Dali Nor Lake and Ganggeng Nor Lake	adult fish	Inner Mongolia	CAFS	2013-09-04	CAFS	bwa-0.5.9-r16	FLSR01v2	1
PRJNA298374	SRR2891320	WGS	202	7582569546	SAMN04158632	4183730186	CAFS	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1410666	Illumina HiSeq 2000	ALK06	PAIRED	RANDOM	GENOMIC	Leuciscus_waleckii	ILLUMINA	2017-03-24T00:00:00Z	amur ide re-seq	SRP064681	Model organism or animal	not collected	fins	Dali Nor Lake and Ganggeng Nor Lake	adult fish	Inner Mongolia	CAFS	2013-09-04	CAFS	bwa-0.5.9-r16	FLSR01v2	1
PRJNA298374	SRR2891321	WGS	202	6701843890	SAMN04158632	3571517697	CAFS	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1410667	Illumina HiSeq 2000	ALK07	PAIRED	RANDOM	GENOMIC	Leuciscus_waleckii	ILLUMINA	2018-10-01T00:00:00Z	amur ide re-seq	SRP064681	Model organism or animal	not collected	fins	Dali Nor Lake and Ganggeng Nor Lake	adult fish	Inner Mongolia	CAFS	2013-09-04	CAFS	bwa-0.5.9-r16	FLSR01	1
PRJNA298374	SRR2891322	WGS	202	7029489304	SAMN04158632	3861299262	CAFS	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1410668	Illumina HiSeq 2000	ALK08	PAIRED	RANDOM	GENOMIC	Leuciscus_waleckii	ILLUMINA	2018-10-01T00:00:00Z	amur ide re-seq	SRP064681	Model organism or animal	not collected	fins	Dali Nor Lake and Ganggeng Nor Lake	adult fish	Inner Mongolia	CAFS	2013-09-04	CAFS	bwa-0.5.9-r16	FLSR01	1
PRJNA298374	SRR2891323	WGS	202	6243230362	SAMN04158632	3450227949	CAFS	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1410669	Illumina HiSeq 2000	ALK09	PAIRED	RANDOM	GENOMIC	Leuciscus_waleckii	ILLUMINA	2018-10-01T00:00:00Z	amur ide re-seq	SRP064681	Model organism or animal	not collected	fins	Dali Nor Lake and Ganggeng Nor Lake	adult fish	Inner Mongolia	CAFS	2013-09-04	CAFS	bwa-0.5.9-r16	FLSR01	1
PRJNA298374	SRR2891324	WGS	202	8171268448	SAMN04158632	4614447926	CAFS	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1410670	Illumina HiSeq 2000	ALK10	PAIRED	RANDOM	GENOMIC	Leuciscus_waleckii	ILLUMINA	2017-03-24T00:00:00Z	amur ide re-seq	SRP064681	Model organism or animal	not collected	fins	Dali Nor Lake and Ganggeng Nor Lake	adult fish	Inner Mongolia	CAFS	2013-09-04	CAFS	bwa-0.5.9-r16	FLSR01v2	1
PRJNA298374	SRR2891325	WGS	202	7900606426	SAMN04158632	4461181748	CAFS	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1410671	Illumina HiSeq 2000	ALK11	PAIRED	RANDOM	GENOMIC	Leuciscus_waleckii	ILLUMINA	2017-03-24T00:00:00Z	amur ide re-seq	SRP064681	Model organism or animal	not collected	fins	Dali Nor Lake and Ganggeng Nor Lake	adult fish	Inner Mongolia	CAFS	2013-09-04	CAFS	bwa-0.5.9-r16	FLSR01v2	1
PRJNA298374	SRR2891326	WGS	202	9419991240	SAMN04158632	5489839694	CAFS	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1410672	Illumina HiSeq 2000	ALK12	PAIRED	RANDOM	GENOMIC	Leuciscus_waleckii	ILLUMINA	2017-03-24T00:00:00Z	amur ide re-seq	SRP064681	Model organism or animal	not collected	fins	Dali Nor Lake and Ganggeng Nor Lake	adult fish	Inner Mongolia	CAFS	2013-09-04	CAFS	bwa-0.5.9-r16	FLSR01v2	1
PRJNA298374	SRR2891327	WGS	202	8002737020	SAMN04158632	4543192757	CAFS	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1410673	Illumina HiSeq 2000	ALK13	PAIRED	RANDOM	GENOMIC	Leuciscus_waleckii	ILLUMINA	2017-03-24T00:00:00Z	amur ide re-seq	SRP064681	Model organism or animal	not collected	fins	Dali Nor Lake and Ganggeng Nor Lake	adult fish	Inner Mongolia	CAFS	2013-09-04	CAFS	bwa-0.5.9-r16	FLSR01v2	1
PRJNA298374	SRR2891328	WGS	202	8463302070	SAMN04158632	5093582602	CAFS	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1410674	Illumina HiSeq 2000	ALK14	PAIRED	RANDOM	GENOMIC	Leuciscus_waleckii	ILLUMINA	2017-03-24T00:00:00Z	amur ide re-seq	SRP064681	Model organism or animal	not collected	fins	Dali Nor Lake and Ganggeng Nor Lake	adult fish	Inner Mongolia	CAFS	2013-09-04	CAFS	bwa-0.5.9-r16	FLSR01v2	1
PRJNA298374	SRR2891329	WGS	202	8355814840	SAMN04158632	4808492112	CAFS	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1410675	Illumina HiSeq 2000	ALK15	PAIRED	RANDOM	GENOMIC	Leuciscus_waleckii	ILLUMINA	2017-03-24T00:00:00Z	amur ide re-seq	SRP064681	Model organism or animal	not collected	fins	Dali Nor Lake and Ganggeng Nor Lake	adult fish	Inner Mongolia	CAFS	2013-09-04	CAFS	bwa-0.5.9-r16	FLSR01v2	1
PRJNA298374	SRR2891330	WGS	202	7955976242	SAMN04158632	4574979257	CAFS	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1410676	Illumina HiSeq 2000	ALK16	PAIRED	RANDOM	GENOMIC	Leuciscus_waleckii	ILLUMINA	2017-03-24T00:00:00Z	amur ide re-seq	SRP064681	Model organism or animal	not collected	fins	Dali Nor Lake and Ganggeng Nor Lake	adult fish	Inner Mongolia	CAFS	2013-09-04	CAFS	bwa-0.5.9-r16	FLSR01v2	1
PRJNA298374	SRR2891331	WGS	202	7716199414	SAMN04158632	4433128994	CAFS	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1410677	Illumina HiSeq 2000	ALK17	PAIRED	RANDOM	GENOMIC	Leuciscus_waleckii	ILLUMINA	2017-03-24T00:00:00Z	amur ide re-seq	SRP064681	Model organism or animal	not collected	fins	Dali Nor Lake and Ganggeng Nor Lake	adult fish	Inner Mongolia	CAFS	2013-09-04	CAFS	bwa-0.5.9-r16	FLSR01v2	1
PRJNA298374	SRR2891332	WGS	202	9301277254	SAMN04158632	5517673994	CAFS	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1410678	Illumina HiSeq 2000	ALK18	PAIRED	RANDOM	GENOMIC	Leuciscus_waleckii	ILLUMINA	2017-03-24T00:00:00Z	amur ide re-seq	SRP064681	Model organism or animal	not collected	fins	Dali Nor Lake and Ganggeng Nor Lake	adult fish	Inner Mongolia	CAFS	2013-09-04	CAFS	bwa-0.5.9-r16	FLSR01v2	1
