BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	use_species
PRJNA304164	SRR2961681	WGS	200	8892075400	SAMN04296352	5827163465	UNIVERSITY OF SHEFFIELD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452870	Illumina HiSeq 2000	PMBE-731-731-lib2	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	731	SRP066678	Model organism or animal	male	blood	731	Hatching	1
PRJNA304164	SRR2961684	WGS	200	3842142000	SAMN04296353	2399398708	UNIVERSITY OF SHEFFIELD	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452871	Illumina HiSeq 2000	PMBE-770-770-lib1	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	770	SRP066678	Model organism or animal	male	blood	770	Hatching	1
PRJNA304164	SRR2961687	WGS	200	3868111000	SAMN04296353	2409749427	UNIVERSITY OF SHEFFIELD	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452871	Illumina HiSeq 2000	PMBE-770-770-lib1	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	770	SRP066678	Model organism or animal	male	blood	770	Hatching	1
PRJNA304164	SRR2961689	WGS	200	8282963800	SAMN04296354	5432234636	UNIVERSITY OF SHEFFIELD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452872	Illumina HiSeq 2000	PMBE-317-317-lib1	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	317	SRP066678	Model organism or animal	male	blood	317	Hatching	1
PRJNA304164	SRR2961690	WGS	200	8331676200	SAMN04296354	5450270809	UNIVERSITY OF SHEFFIELD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452872	Illumina HiSeq 2000	PMBE-317-317-lib1	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	317	SRP066678	Model organism or animal	male	blood	317	Hatching	1
PRJNA304164	SRR2961695	WGS	200	5795430400	SAMN04296355	4027766786	UNIVERSITY OF SHEFFIELD	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452873	Illumina HiSeq 2000	PMBE-896-896-lg1-lib1	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	896	SRP066678	Model organism or animal	male	blood	896	Hatching	1
PRJNA304164	SRR2961696	WGS	200	5718970600	SAMN04296355	3971885487	UNIVERSITY OF SHEFFIELD	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452873	Illumina HiSeq 2000	PMBE-896-896-lg1-lib1	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	896	SRP066678	Model organism or animal	male	blood	896	Hatching	1
PRJNA304164	SRR2961697	WGS	200	7525261600	SAMN04296356	5276196695	UNIVERSITY OF SHEFFIELD	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452874	Illumina HiSeq 2000	PMBE-233-233-lib1	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	233	SRP066678	Model organism or animal	female	blood	233	Hatching	1
PRJNA304164	SRR2961698	WGS	200	7420833600	SAMN04296356	5201602351	UNIVERSITY OF SHEFFIELD	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452874	Illumina HiSeq 2000	PMBE-233-233-lib1	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	233	SRP066678	Model organism or animal	female	blood	233	Hatching	1
PRJNA304164	SRR2961699	WGS	200	4247366400	SAMN04296357	2689006143	UNIVERSITY OF SHEFFIELD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452875	Illumina HiSeq 2000	PMBE-906-906-lib2	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	906	SRP066678	Model organism or animal	male	blood	906	Hatching	1
PRJNA304164	SRR2961700	WGS	200	4224575000	SAMN04296357	2668631717	UNIVERSITY OF SHEFFIELD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452875	Illumina HiSeq 2000	PMBE-906-906-lib2	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	906	SRP066678	Model organism or animal	male	blood	906	Hatching	1
PRJNA304164	SRR2961701	WGS	200	5424407200	SAMN04296358	3505332103	UNIVERSITY OF SHEFFIELD	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452876	Illumina HiSeq 2000	PMBE-823-823-lib1	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	823	SRP066678	Model organism or animal	male	blood	823	Hatching	1
PRJNA304164	SRR2961704	WGS	200	5444403600	SAMN04296358	3510555246	UNIVERSITY OF SHEFFIELD	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452876	Illumina HiSeq 2000	PMBE-823-823-lib1	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	823	SRP066678	Model organism or animal	male	blood	823	Hatching	1
PRJNA304164	SRR2961712	WGS	200	5591019600	SAMN04296359	3540010949	UNIVERSITY OF SHEFFIELD	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452879	Illumina HiSeq 2000	PMBE-11-11-lib1	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	11	SRP066678	Model organism or animal	male	blood	11	Hatching	1
PRJNA304164	SRR2961713	WGS	200	5611997200	SAMN04296359	3545406763	UNIVERSITY OF SHEFFIELD	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452879	Illumina HiSeq 2000	PMBE-11-11-lib1	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	11	SRP066678	Model organism or animal	male	blood	11	Hatching	1
PRJNA304164	SRR2961716	WGS	200	7436080800	SAMN04296360	5165239854	UNIVERSITY OF SHEFFIELD	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452890	Illumina HiSeq 2000	PMBE-1387-1387-lg1-lib1	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	1387	SRP066678	Model organism or animal	female	blood	1387	Hatching	1
PRJNA304164	SRR2961717	WGS	200	7348527400	SAMN04296360	5101498907	UNIVERSITY OF SHEFFIELD	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452890	Illumina HiSeq 2000	PMBE-1387-1387-lg1-lib1	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	1387	SRP066678	Model organism or animal	female	blood	1387	Hatching	1
PRJNA304164	SRR2961718	WGS	200	2955590800	SAMN04296361	1983769263	UNIVERSITY OF SHEFFIELD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452891	Illumina HiSeq 2000	PMBE-1376-1376-lib1	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	1376	SRP066678	Model organism or animal	female	blood	1376	Hatching	1
PRJNA304164	SRR2961722	WGS	200	5384480000	SAMN04296362	3410268062	UNIVERSITY OF SHEFFIELD	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452894	Illumina HiSeq 2000	PMBE-235-235-lib1	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	235	SRP066678	Model organism or animal	male	blood	235	Hatching	1
PRJNA304164	SRR2961725	WGS	200	4400866000	SAMN04296363	2962711856	UNIVERSITY OF SHEFFIELD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452897	Illumina HiSeq 2000	PMBE-1280-1280-lib1	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	1280	SRP066678	Model organism or animal	male	blood	1280	Hatching	1
PRJNA304164	SRR2961727	WGS	200	4453461400	SAMN04296363	2993442210	UNIVERSITY OF SHEFFIELD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452897	Illumina HiSeq 2000	PMBE-1280-1280-lib1	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	1280	SRP066678	Model organism or animal	male	blood	1280	Hatching	1
PRJNA304164	SRR2961728	WGS	200	5059762800	SAMN04296364	3321895992	UNIVERSITY OF SHEFFIELD	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452899	Illumina HiSeq 2000	PMBE-1235-1235-lib1	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	1235	SRP066678	Model organism or animal	male	blood	1235	Hatching	1
PRJNA304164	SRR2961729	WGS	200	5033210600	SAMN04296364	3306378271	UNIVERSITY OF SHEFFIELD	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452899	Illumina HiSeq 2000	PMBE-1235-1235-lib1	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	1235	SRP066678	Model organism or animal	male	blood	1235	Hatching	1
PRJNA304164	SRR2961731	WGS	200	5806814800	SAMN04296365	3737431841	UNIVERSITY OF SHEFFIELD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452901	Illumina HiSeq 2000	PMBE-105-105-lib1	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	105	SRP066678	Model organism or animal	male	blood	105	Hatching	1
PRJNA304164	SRR2961733	WGS	200	5835246000	SAMN04296365	3761766137	UNIVERSITY OF SHEFFIELD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452901	Illumina HiSeq 2000	PMBE-105-105-lib1	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	105	SRP066678	Model organism or animal	male	blood	105	Hatching	1
PRJNA304164	SRR2961736	WGS	200	7685972000	SAMN04296376	4996974145	UNIVERSITY OF SHEFFIELD	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452904	Illumina HiSeq 2000	PMBE-836-836-lib2	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	836	SRP066678	Model organism or animal	male	blood	836	Hatching	1
PRJNA304164	SRR2961737	WGS	200	7712813600	SAMN04296376	5012510850	UNIVERSITY OF SHEFFIELD	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452904	Illumina HiSeq 2000	PMBE-836-836-lib2	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	836	SRP066678	Model organism or animal	male	blood	836	Hatching	1
PRJNA304164	SRR2961746	WGS	200	5164128200	SAMN04296366	3294785962	UNIVERSITY OF SHEFFIELD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452912	Illumina HiSeq 2000	PMBE-TL38228-TL38228-lib2	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	TL38228	SRP066678	Model organism or animal	male	blood	TL38228	Hatching	1
PRJNA304164	SRR2961748	WGS	200	5136733600	SAMN04296366	3269982329	UNIVERSITY OF SHEFFIELD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452912	Illumina HiSeq 2000	PMBE-TL38228-TL38228-lib2	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	TL38228	SRP066678	Model organism or animal	male	blood	TL38228	Hatching	1
PRJNA304164	SRR2961750	WGS	200	5284796400	SAMN04296367	3395963999	UNIVERSITY OF SHEFFIELD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452917	Illumina HiSeq 2000	PMBE-TL38138-TL38138-lib2	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	TL38138	SRP066678	Model organism or animal	male	blood	TL38138	Hatching	1
PRJNA304164	SRR2961752	WGS	200	5317339600	SAMN04296367	3423263502	UNIVERSITY OF SHEFFIELD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452917	Illumina HiSeq 2000	PMBE-TL38138-TL38138-lib2	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	TL38138	SRP066678	Model organism or animal	male	blood	TL38138	Hatching	1
PRJNA304164	SRR2961753	WGS	200	6006898600	SAMN04296368	3981615170	UNIVERSITY OF SHEFFIELD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452920	Illumina HiSeq 2000	PMBE-TL38197-TL38197-lib2	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	TL38197	SRP066678	Model organism or animal	male	blood	TL38197	Hatching	1
PRJNA304164	SRR2961754	WGS	200	6017353200	SAMN04296368	3997642435	UNIVERSITY OF SHEFFIELD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452920	Illumina HiSeq 2000	PMBE-TL38197-TL38197-lib2	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	TL38197	SRP066678	Model organism or animal	male	blood	TL38197	Hatching	1
PRJNA304164	SRR2961756	WGS	200	7485490600	SAMN04296369	5258826363	UNIVERSITY OF SHEFFIELD	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452923	Illumina HiSeq 2000	PMBE-TL38174-TL38174-lib2	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	TL38174	SRP066678	Model organism or animal	female	blood	TL38174	Hatching	1
PRJNA304164	SRR2961758	WGS	200	7397091800	SAMN04296369	5194366523	UNIVERSITY OF SHEFFIELD	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452923	Illumina HiSeq 2000	PMBE-TL38174-TL38174-lib2	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	TL38174	SRP066678	Model organism or animal	female	blood	TL38174	Hatching	1
PRJNA304164	SRR2961759	WGS	200	4675533000	SAMN04296370	3037250719	UNIVERSITY OF SHEFFIELD	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452925	Illumina HiSeq 2000	PMBE-TL38215-TL38215-lib1	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	TL38215	SRP066678	Model organism or animal	male	blood	TL38215	Hatching	1
PRJNA304164	SRR2961760	WGS	200	4656576800	SAMN04296370	3025652499	UNIVERSITY OF SHEFFIELD	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452925	Illumina HiSeq 2000	PMBE-TL38215-TL38215-lib1	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	TL38215	SRP066678	Model organism or animal	male	blood	TL38215	Hatching	1
PRJNA304164	SRR2961762	WGS	200	5307177200	SAMN04296371	3453628210	UNIVERSITY OF SHEFFIELD	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452926	Illumina HiSeq 2000	PMBE-TL38187-TL38187-lib2	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	TL38187	SRP066678	Model organism or animal	female	blood	TL38187	Hatching	1
PRJNA304164	SRR2961763	WGS	200	5365146200	SAMN04296371	3483992797	UNIVERSITY OF SHEFFIELD	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452926	Illumina HiSeq 2000	PMBE-TL38187-TL38187-lib2	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	TL38187	SRP066678	Model organism or animal	female	blood	TL38187	Hatching	1
PRJNA304164	SRR2961765	WGS	200	4339250800	SAMN04296372	2704599863	UNIVERSITY OF SHEFFIELD	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452929	Illumina HiSeq 2000	PMBE-TL39629-TL39629-lib2	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	TL39629	SRP066678	Model organism or animal	male	blood	TL39629	Hatching	1
PRJNA304164	SRR2961767	WGS	200	4308039400	SAMN04296372	2691366066	UNIVERSITY OF SHEFFIELD	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452929	Illumina HiSeq 2000	PMBE-TL39629-TL39629-lib2	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	TL39629	SRP066678	Model organism or animal	male	blood	TL39629	Hatching	1
PRJNA304164	SRR2961769	WGS	200	5551084800	SAMN04296373	3632104809	UNIVERSITY OF SHEFFIELD	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452932	Illumina HiSeq 2000	PMBE-TL39600-TL39600-lib1	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	TL39600	SRP066678	Model organism or animal	female	blood	TL39600	Hatching	1
PRJNA304164	SRR2961771	WGS	200	5501345400	SAMN04296373	3601500994	UNIVERSITY OF SHEFFIELD	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452932	Illumina HiSeq 2000	PMBE-TL39600-TL39600-lib1	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	TL39600	SRP066678	Model organism or animal	female	blood	TL39600	Hatching	1
PRJNA304164	SRR2961773	WGS	200	7347552800	SAMN04296374	4834084795	UNIVERSITY OF SHEFFIELD	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452935	Illumina HiSeq 2000	PMBE-TL39399-TL39399-lib1	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	TL39399	SRP066678	Model organism or animal	male	blood	TL39399	Hatching	1
PRJNA304164	SRR2961775	WGS	200	3952358800	SAMN04296375	2611542115	UNIVERSITY OF SHEFFIELD	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452936	Illumina HiSeq 2000	PMBE-TL39490-TL39490-lib2	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	TL39490	SRP066678	Model organism or animal	female	blood	TL39490	Hatching	1
PRJNA304164	SRR2961776	WGS	200	4012420600	SAMN04296375	2653137073	UNIVERSITY OF SHEFFIELD	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452936	Illumina HiSeq 2000	PMBE-TL39490-TL39490-lib2	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	TL39490	SRP066678	Model organism or animal	female	blood	TL39490	Hatching	1
PRJNA304164	SRR2961723	WGS	200	5397795000	SAMN04296362	3411299668	UNIVERSITY OF SHEFFIELD	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452894	Illumina HiSeq 2000	PMBE-235-235-lib1	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	235	SRP066678	Model organism or animal	male	blood	235	Hatching	1
PRJNA304164	SRR2961774	WGS	200	7303540000	SAMN04296374	4807705592	UNIVERSITY OF SHEFFIELD	public	bam,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1452935	Illumina HiSeq 2000	PMBE-TL39399-TL39399-lib1	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	TL39399	SRP066678	Model organism or animal	male	blood	TL39399	Hatching	1
PRJNA304164	SRR2961679	WGS	200	4129250200	SAMN04296351	2634120943	UNIVERSITY OF SHEFFIELD	public	fastq,sra	gs,ncbi,s3	gs.US,s3.us-east-1,ncbi.public	SRX1452867	Illumina HiSeq 2000	PMBE-52-52-lib2	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	52	SRP066678	Model organism or animal	male	blood	52	Hatching	1
PRJNA304164	SRR2961719	WGS	200	3055948800	SAMN04296361	2050846291	UNIVERSITY OF SHEFFIELD	public	fastq,sra	gs,ncbi,s3	gs.US,s3.us-east-1,ncbi.public	SRX1452891	Illumina HiSeq 2000	PMBE-1376-1376-lib1	PAIRED	RANDOM	GENOMIC	Parus_major	ILLUMINA	2016-01-20T00:00:00Z	1376	SRP066678	Model organism or animal	female	blood	1376	Hatching	1
