BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	dev_stage	AGE	Biomaterial_provider	Collection_date	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	collected_by	lat_lon	Host	Breed	bcid	Depth	identified_by	use_species
PRJNA430094	SRR6473775	WGS	250	7974336860	SAMN08365924	2939787818	DURHAM UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3563697	Illumina HiSeq 2500	Crup_L43	PAIRED	RANDOM	GENOMIC	Coryphaenoides_rupestris	ILLUMINA	2018-01-15T00:00:00Z	Crup_L43	SRP129631	Model organism or animal	missing	muscle	adult	missing	A. Rus Hoelzel	2015-09-11	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland	missing	56.20616667 N 9.382666667 W	missing	missing	ark:/21547/Aut2Crup_L43	1000\, 1062	missing	1
PRJNA430094	SRR6473776	WGS	250	6595504119	SAMN08365935	2437270385	DURHAM UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3563696	Illumina HiSeq 2500	Crup_L32	PAIRED	RANDOM	GENOMIC	Coryphaenoides_rupestris	ILLUMINA	2018-01-15T00:00:00Z	Crup_L32	SRP129631	Model organism or animal	missing	muscle	adult	missing	A. Rus Hoelzel	2015-09-11	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland	missing	56.20616667 N 9.382666667 W	missing	missing	ark:/21547/Aut2Crup_L32	1000\, 1062	missing	1
PRJNA430094	SRR6473777	WGS	250	8677386878	SAMN08365937	3198442904	DURHAM UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3563695	Illumina HiSeq 2500	Crup_L46	PAIRED	RANDOM	GENOMIC	Coryphaenoides_rupestris	ILLUMINA	2018-01-15T00:00:00Z	Crup_L46	SRP129631	Model organism or animal	missing	muscle	adult	missing	A. Rus Hoelzel	2015-09-11	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland	missing	56.20616667 N 9.382666667 W	missing	missing	ark:/21547/Aut2Crup_L46	1000\, 1062	missing	1
PRJNA430094	SRR6473778	WGS	250	8830046945	SAMN08365900	3322056904	DURHAM UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3563694	Illumina HiSeq 2500	Crup_L013	PAIRED	RANDOM	GENOMIC	Coryphaenoides_rupestris	ILLUMINA	2018-01-15T00:00:00Z	Crup_L013	SRP129631	Model organism or animal	missing	muscle	adult	missing	A. Rus Hoelzel	2015-09-11	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland	missing	56.297 N 9.633166667 W	missing	missing	ark:/21547/Aut2Crup_L013	1500\, 1504	missing	1
PRJNA430094	SRR6473779	WGS	250	7998126399	SAMN08365932	2969714438	DURHAM UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3563693	Illumina HiSeq 2500	Crup_L011	PAIRED	RANDOM	GENOMIC	Coryphaenoides_rupestris	ILLUMINA	2018-01-15T00:00:00Z	Crup_L011	SRP129631	Model organism or animal	missing	muscle	adult	missing	A. Rus Hoelzel	2015-09-11	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland	missing	56.297 N 9.633166667 W	missing	missing	ark:/21547/Aut2Crup_L011	1500\, 1504	missing	1
PRJNA430094	SRR6473780	WGS	250	8678306630	SAMN08365943	3242139711	DURHAM UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3563692	Illumina HiSeq 2500	Crup_J68	PAIRED	RANDOM	GENOMIC	Coryphaenoides_rupestris	ILLUMINA	2018-01-15T00:00:00Z	Crup_J68	SRP129631	Model organism or animal	missing	muscle	adult	missing	A. Rus Hoelzel	2015-09-11	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland	missing	56.29266667 N 9.881166667 W	missing	missing	ark:/21547/Aut2Crup_J68	1800\, 1800	missing	1
PRJNA430094	SRR6473781	WGS	250	7959417517	SAMN08365942	2997288307	DURHAM UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3563691	Illumina HiSeq 2500	Crup_J66	PAIRED	RANDOM	GENOMIC	Coryphaenoides_rupestris	ILLUMINA	2018-01-15T00:00:00Z	Crup_J66	SRP129631	Model organism or animal	missing	muscle	adult	missing	A. Rus Hoelzel	2015-09-11	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland	missing	56.29266667 N 9.881166667 W	missing	missing	ark:/21547/Aut2Crup_J66	1800\, 1800	missing	1
PRJNA430094	SRR6473782	WGS	250	10546890254	SAMN08365939	3978285915	DURHAM UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3563690	Illumina HiSeq 2500	Crup_Cru13	PAIRED	RANDOM	GENOMIC	Coryphaenoides_rupestris	ILLUMINA	2018-01-15T00:00:00Z	Crup_Cru13	SRP129631	Model organism or animal	missing	muscle	adult	missing	A. Rus Hoelzel	2015-09-11	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland	missing	56.23466667 N 9.256833333 W	missing	missing	ark:/21547/Aut2Crup_Cru13	750\, 788	missing	1
PRJNA430094	SRR6473783	WGS	250	9466827587	SAMN08365940	3605325172	DURHAM UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3563689	Illumina HiSeq 2500	Crup_Cru15	PAIRED	RANDOM	GENOMIC	Coryphaenoides_rupestris	ILLUMINA	2018-01-15T00:00:00Z	Crup_Cru15	SRP129631	Model organism or animal	missing	muscle	adult	missing	A. Rus Hoelzel	2015-09-11	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland	missing	56.23466667 N 9.256833333 W	missing	missing	ark:/21547/Aut2Crup_Cru15	750\, 788	missing	1
PRJNA430094	SRR6473784	WGS	250	8976158097	SAMN08365936	3360542391	DURHAM UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3563688	Illumina HiSeq 2500	Crup_L45	PAIRED	RANDOM	GENOMIC	Coryphaenoides_rupestris	ILLUMINA	2018-01-15T00:00:00Z	Crup_L45	SRP129631	Model organism or animal	missing	muscle	adult	missing	A. Rus Hoelzel	2015-09-11	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland	missing	56.20616667 N 9.382666667 W	missing	missing	ark:/21547/Aut2Crup_L45	1000\, 1062	missing	1
PRJNA430094	SRR6473785	WGS	250	7261836225	SAMN08365954	2646174757	DURHAM UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3563687	Illumina HiSeq 2500	Crup_L48	PAIRED	RANDOM	GENOMIC	Coryphaenoides_rupestris	ILLUMINA	2018-01-15T00:00:00Z	Crup_L48	SRP129631	Model organism or animal	missing	muscle	adult	missing	A. Rus Hoelzel	2015-09-11	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland	missing	56.20616667 N 9.382666667 W	missing	missing	ark:/21547/Aut2Crup_L48	1000\, 1062	missing	1
PRJNA430094	SRR6473787	WGS	250	8544089700	SAMN08365950	3187357519	DURHAM UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3563685	Illumina HiSeq 2500	Crup_L025	PAIRED	RANDOM	GENOMIC	Coryphaenoides_rupestris	ILLUMINA	2018-01-15T00:00:00Z	Crup_L025	SRP129631	Model organism or animal	missing	muscle	adult	missing	A. Rus Hoelzel	2015-09-11	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland	missing	56.297 N 9.633166667 W	missing	missing	ark:/21547/Aut2Crup_L025	1500\, 1504	missing	1
PRJNA430094	SRR6473788	WGS	249	6358586737	SAMN08365951	2363307312	DURHAM UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3563684	Illumina HiSeq 2500	Crup_L27	PAIRED	RANDOM	GENOMIC	Coryphaenoides_rupestris	ILLUMINA	2018-01-15T00:00:00Z	Crup_L27	SRP129631	Model organism or animal	missing	muscle	adult	missing	A. Rus Hoelzel	2015-09-11	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland	missing	56.20616667 N 9.382666667 W	missing	missing	ark:/21547/Aut2Crup_L27	1000\, 1062	missing	1
PRJNA430094	SRR6473789	WGS	250	8933782645	SAMN08365952	3333234469	DURHAM UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3563683	Illumina HiSeq 2500	Crup_L42	PAIRED	RANDOM	GENOMIC	Coryphaenoides_rupestris	ILLUMINA	2018-01-15T00:00:00Z	Crup_L42	SRP129631	Model organism or animal	missing	muscle	adult	missing	A. Rus Hoelzel	2015-09-11	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland	missing	56.20616667 N 9.382666667 W	missing	missing	ark:/21547/Aut2Crup_L42	1000\, 1062	missing	1
PRJNA430094	SRR6473790	WGS	250	9235772087	SAMN08365953	3443977728	DURHAM UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3563682	Illumina HiSeq 2500	Crup_L44	PAIRED	RANDOM	GENOMIC	Coryphaenoides_rupestris	ILLUMINA	2018-01-15T00:00:00Z	Crup_L44	SRP129631	Model organism or animal	missing	muscle	adult	missing	A. Rus Hoelzel	2015-09-11	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland	missing	56.20616667 N 9.382666667 W	missing	missing	ark:/21547/Aut2Crup_L44	1000\, 1062	missing	1
PRJNA430094	SRR6473791	WGS	250	7395214088	SAMN08365946	2780218791	DURHAM UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3563681	Illumina HiSeq 2500	Crup_L017	PAIRED	RANDOM	GENOMIC	Coryphaenoides_rupestris	ILLUMINA	2018-01-15T00:00:00Z	Crup_L017	SRP129631	Model organism or animal	missing	muscle	adult	missing	A. Rus Hoelzel	2015-09-11	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland	missing	56.297 N 9.633166667 W	missing	missing	ark:/21547/Aut2Crup_L017	1500\, 1504	missing	1
PRJNA430094	SRR6473792	WGS	250	10447942379	SAMN08365947	3970625220	DURHAM UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3563680	Illumina HiSeq 2500	Crup_L019	PAIRED	RANDOM	GENOMIC	Coryphaenoides_rupestris	ILLUMINA	2018-01-15T00:00:00Z	Crup_L019	SRP129631	Model organism or animal	missing	muscle	adult	missing	A. Rus Hoelzel	2015-09-11	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland	missing	56.297 N 9.633166667 W	missing	missing	ark:/21547/Aut2Crup_L019	1500\, 1504	missing	1
PRJNA430094	SRR6473794	WGS	250	8118539138	SAMN08365949	3103414429	DURHAM UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3563678	Illumina HiSeq 2500	Crup_L023	PAIRED	RANDOM	GENOMIC	Coryphaenoides_rupestris	ILLUMINA	2018-01-15T00:00:00Z	Crup_L023	SRP129631	Model organism or animal	missing	muscle	adult	missing	A. Rus Hoelzel	2015-09-11	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland	missing	56.297 N 9.633166667 W	missing	missing	ark:/21547/Aut2Crup_L023	1500\, 1504	missing	1
PRJNA430094	SRR6473795	WGS	249	9208233045	SAMN08365914	3492803102	DURHAM UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3563677	Illumina HiSeq 2500	Crup_Cru8	PAIRED	RANDOM	GENOMIC	Coryphaenoides_rupestris	ILLUMINA	2018-01-15T00:00:00Z	Crup_Cru8	SRP129631	Model organism or animal	missing	muscle	adult	missing	A. Rus Hoelzel	2015-09-11	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland	missing	56.23466667 N 9.256833333 W	missing	missing	ark:/21547/Aut2Crup_Cru8	750\, 788	missing	1
PRJNA430094	SRR6473796	WGS	250	8691709075	SAMN08365915	3160312143	DURHAM UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3563676	Illumina HiSeq 2500	Crup_J70	PAIRED	RANDOM	GENOMIC	Coryphaenoides_rupestris	ILLUMINA	2018-01-15T00:00:00Z	Crup_J70	SRP129631	Model organism or animal	missing	muscle	adult	missing	A. Rus Hoelzel	2015-09-11	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland	missing	56.29266667 N 9.881166667 W	missing	missing	ark:/21547/Aut2Crup_J70	1800\, 1800	missing	1
PRJNA430094	SRR6473797	WGS	250	9710957019	SAMN08365930	3692962700	DURHAM UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3563675	Illumina HiSeq 2500	Crup_J85	PAIRED	RANDOM	GENOMIC	Coryphaenoides_rupestris	ILLUMINA	2018-01-15T00:00:00Z	Crup_J85	SRP129631	Model organism or animal	missing	muscle	adult	missing	A. Rus Hoelzel	2015-09-11	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland	missing	56.29266667 N 9.881166667 W	missing	missing	ark:/21547/Aut2Crup_J85	1800\, 1800	missing	1
PRJNA430094	SRR6473798	WGS	250	8635148061	SAMN08365931	3186506881	DURHAM UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3563674	Illumina HiSeq 2500	Crup_L01	PAIRED	RANDOM	GENOMIC	Coryphaenoides_rupestris	ILLUMINA	2018-01-15T00:00:00Z	Crup_L01	SRP129631	Model organism or animal	missing	muscle	adult	missing	A. Rus Hoelzel	2015-09-11	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland	missing	56.297 N 9.633166667 W	missing	missing	ark:/21547/Aut2Crup_L01	1500\, 1504	missing	1
PRJNA430094	SRR6473799	WGS	250	7325767724	SAMN08365928	2683785147	DURHAM UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3563673	Illumina HiSeq 2500	Crup_J82	PAIRED	RANDOM	GENOMIC	Coryphaenoides_rupestris	ILLUMINA	2018-01-15T00:00:00Z	Crup_J82	SRP129631	Model organism or animal	missing	muscle	adult	missing	A. Rus Hoelzel	2015-09-11	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland	missing	56.29266667 N 9.881166667 W	missing	missing	ark:/21547/Aut2Crup_J82	1800\, 1800	missing	1
PRJNA430094	SRR6473800	WGS	250	7718783567	SAMN08365929	2847087098	DURHAM UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3563672	Illumina HiSeq 2500	Crup_J83	PAIRED	RANDOM	GENOMIC	Coryphaenoides_rupestris	ILLUMINA	2018-01-15T00:00:00Z	Crup_J83	SRP129631	Model organism or animal	missing	muscle	adult	missing	A. Rus Hoelzel	2015-09-11	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland	missing	56.29266667 N 9.881166667 W	missing	missing	ark:/21547/Aut2Crup_J83	1800\, 1800	missing	1
PRJNA430094	SRR6473801	WGS	250	9510135488	SAMN08365926	3651889100	DURHAM UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3563671	Illumina HiSeq 2500	Crup_Cru24	PAIRED	RANDOM	GENOMIC	Coryphaenoides_rupestris	ILLUMINA	2018-01-15T00:00:00Z	Crup_Cru24	SRP129631	Model organism or animal	missing	muscle	adult	missing	A. Rus Hoelzel	2015-09-11	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland	missing	56.23466667 N 9.256833333 W	missing	missing	ark:/21547/Aut2Crup_Cru24	750\, 788	missing	1
PRJNA430094	SRR6473802	WGS	247	7468900233	SAMN08365927	2799909349	DURHAM UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3563670	Illumina HiSeq 2500	Crup_J67	PAIRED	RANDOM	GENOMIC	Coryphaenoides_rupestris	ILLUMINA	2018-01-15T00:00:00Z	Crup_J67	SRP129631	Model organism or animal	missing	muscle	adult	missing	A. Rus Hoelzel	2015-09-11	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland	missing	56.29266667 N 9.881166667 W	missing	missing	ark:/21547/Aut2Crup_J67	1800\, 1800	missing	1
PRJNA430094	SRR6473803	WGS	250	8323734836	SAMN08365906	3180632639	DURHAM UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3563669	Illumina HiSeq 2500	Crup_Cru28	PAIRED	RANDOM	GENOMIC	Coryphaenoides_rupestris	ILLUMINA	2018-01-15T00:00:00Z	Crup_Cru28	SRP129631	Model organism or animal	missing	muscle	adult	missing	A. Rus Hoelzel	2015-09-11	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland	missing	56.23466667 N 9.256833333 W	missing	missing	ark:/21547/Aut2Crup_Cru28	750\, 788	missing	1
PRJNA430094	SRR6473804	WGS	250	7592106275	SAMN08365907	2787762252	DURHAM UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3563668	Illumina HiSeq 2500	Crup_J100	PAIRED	RANDOM	GENOMIC	Coryphaenoides_rupestris	ILLUMINA	2018-01-15T00:00:00Z	Crup_J100	SRP129631	Model organism or animal	missing	muscle	adult	missing	A. Rus Hoelzel	2015-09-11	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland	missing	56.297 N 9.633166667 W	missing	missing	ark:/21547/Aut2Crup_J100	1500\, 1504	missing	1
PRJNA430094	SRR6473805	WGS	250	9250196680	SAMN08365908	3373476308	DURHAM UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3563667	Illumina HiSeq 2500	Crup_J86	PAIRED	RANDOM	GENOMIC	Coryphaenoides_rupestris	ILLUMINA	2018-01-15T00:00:00Z	Crup_J86	SRP129631	Model organism or animal	missing	muscle	adult	missing	A. Rus Hoelzel	2015-09-11	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland	missing	56.29266667 N 9.881166667 W	missing	missing	ark:/21547/Aut2Crup_J86	1800\, 1800	missing	1
PRJNA430094	SRR6473806	WGS	250	7689097359	SAMN08365909	2787168538	DURHAM UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3563666	Illumina HiSeq 2500	Crup_L06	PAIRED	RANDOM	GENOMIC	Coryphaenoides_rupestris	ILLUMINA	2018-01-15T00:00:00Z	Crup_L06	SRP129631	Model organism or animal	missing	muscle	adult	missing	A. Rus Hoelzel	2015-09-11	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland	missing	56.297 N 9.633166667 W	missing	missing	ark:/21547/Aut2Crup_L06	1500\, 1504	missing	1
PRJNA430094	SRR6473807	WGS	250	7544637379	SAMN08365910	2793470645	DURHAM UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3563665	Illumina HiSeq 2500	Crup_L26	PAIRED	RANDOM	GENOMIC	Coryphaenoides_rupestris	ILLUMINA	2018-01-15T00:00:00Z	Crup_L26	SRP129631	Model organism or animal	missing	muscle	adult	missing	A. Rus Hoelzel	2015-09-11	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland	missing	56.20616667 N 9.382666667 W	missing	missing	ark:/21547/Aut2Crup_L26	1000\, 1062	missing	1
PRJNA430094	SRR6473808	WGS	250	7497722418	SAMN08365911	2849074779	DURHAM UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3563664	Illumina HiSeq 2500	Crup_L35	PAIRED	RANDOM	GENOMIC	Coryphaenoides_rupestris	ILLUMINA	2018-01-15T00:00:00Z	Crup_L35	SRP129631	Model organism or animal	missing	muscle	adult	missing	A. Rus Hoelzel	2015-09-11	United Kingdom	Europe	United Kingdom: Hebridies\, Scotland	missing	56.20616667 N 9.382666667 W	missing	missing	ark:/21547/Aut2Crup_L35	1000\, 1062	missing	1
