BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	AGE	Sample_Type	Breed	use_species
PRJNA450892	SRR7091422	WGS	274	13167328800	SAMN08952562	4958357567	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020399	Illumina HiSeq 2000	51	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S19	SRP144280	Model organism or animal	female	blood	8 week	51	not collected	1
PRJNA450892	SRR7091423	WGS	278	12941176550	SAMN08952557	4891577962	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020398	Illumina HiSeq 2000	33	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S14	SRP144280	Model organism or animal	female	blood	8 week	33	not collected	1
PRJNA450892	SRR7091424	WGS	276	12240251550	SAMN08952556	4619460301	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020397	Illumina HiSeq 2000	32	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S13	SRP144280	Model organism or animal	female	blood	8 week	32	not collected	1
PRJNA450892	SRR7091425	WGS	274	11840009700	SAMN08952555	4507717251	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020396	Illumina HiSeq 2000	29	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S12	SRP144280	Model organism or animal	female	blood	8 week	29	not collected	1
PRJNA450892	SRR7091426	WGS	276	11948602300	SAMN08952554	4478364885	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020395	Illumina HiSeq 2000	28	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S11	SRP144280	Model organism or animal	female	blood	8 week	28	not collected	1
PRJNA450892	SRR7091427	WGS	276	11751811050	SAMN08952561	4411001608	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020394	Illumina HiSeq 2000	49	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S18	SRP144280	Model organism or animal	female	blood	8 week	49	not collected	1
PRJNA450892	SRR7091428	WGS	273	11635557450	SAMN08952560	4476437224	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020393	Illumina HiSeq 2000	46	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S17	SRP144280	Model organism or animal	female	blood	8 week	46	not collected	1
PRJNA450892	SRR7091429	WGS	277	14289506100	SAMN08952559	5411263799	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020392	Illumina HiSeq 2000	45	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S16	SRP144280	Model organism or animal	female	blood	8 week	45	not collected	1
PRJNA450892	SRR7091430	WGS	277	14022985750	SAMN08952558	5291265521	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020391	Illumina HiSeq 2000	34	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S15	SRP144280	Model organism or animal	female	blood	8 week	34	not collected	1
PRJNA450892	SRR7091431	WGS	300	14605523100	SAMN08952646	5489347426	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020390	HiSeq X Ten	yz-3a	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S103	SRP144280	Model organism or animal	female	blood	8 week	yz-3a	not collected	1
PRJNA450892	SRR7091432	WGS	300	16675048200	SAMN08952647	6260377590	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020389	HiSeq X Ten	yz-3b	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S104	SRP144280	Model organism or animal	male	blood	8 week	yz-3b	not collected	1
PRJNA450892	SRR7091433	WGS	300	13663785000	SAMN08952644	5107392036	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020388	HiSeq X Ten	yz-2a	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S101	SRP144280	Model organism or animal	female	blood	8 week	yz-2a	not collected	1
PRJNA450892	SRR7091435	WGS	300	14154932400	SAMN08952648	5329423012	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020386	HiSeq X Ten	yz-4a	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S105	SRP144280	Model organism or animal	female	blood	8 week	yz-4a	not collected	1
PRJNA450892	SRR7091436	WGS	300	14201574600	SAMN08952649	5352504122	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020385	HiSeq X Ten	yz-4b	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S106	SRP144280	Model organism or animal	male	blood	8 week	yz-4b	not collected	1
PRJNA450892	SRR7091437	WGS	274	12606058100	SAMN08952575	4883488885	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020384	Illumina HiSeq 2000	83	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S32	SRP144280	Model organism or animal	female	blood	8 week	83	not collected	1
PRJNA450892	SRR7091438	WGS	278	13073734550	SAMN08952574	4919778082	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020383	Illumina HiSeq 2000	82	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S31	SRP144280	Model organism or animal	female	blood	8 week	82	not collected	1
PRJNA450892	SRR7091440	WGS	278	13946319000	SAMN08952576	5259053500	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020381	Illumina HiSeq 2000	84	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S33	SRP144280	Model organism or animal	female	blood	8 week	84	not collected	1
PRJNA450892	SRR7091441	WGS	276	12199672150	SAMN08952579	4628827056	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020380	Illumina HiSeq 2000	96	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S36	SRP144280	Model organism or animal	female	blood	8 week	96	not collected	1
PRJNA450892	SRR7091442	WGS	276	12712239700	SAMN08952578	4834412049	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020379	Illumina HiSeq 2000	95	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S35	SRP144280	Model organism or animal	female	blood	8 week	95	not collected	1
PRJNA450892	SRR7091443	WGS	300	17030402100	SAMN08952581	6890287830	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020378	HiSeq X Ten	B	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S38	SRP144280	Model organism or animal	male	blood	8 week	B	not collected	1
PRJNA450892	SRR7091444	WGS	278	12647946100	SAMN08952580	4739405266	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020377	Illumina HiSeq 2000	102	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S37	SRP144280	Model organism or animal	female	blood	8 week	102	not collected	1
PRJNA450892	SRR7091445	WGS	300	18370090200	SAMN08952583	7434021590	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020376	HiSeq X Ten	D	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S40	SRP144280	Model organism or animal	male	blood	8 week	D	not collected	1
PRJNA450892	SRR7091446	WGS	300	18086885100	SAMN08952582	7357164854	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020375	HiSeq X Ten	C	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S39	SRP144280	Model organism or animal	male	blood	8 week	C	not collected	1
PRJNA450892	SRR7091447	WGS	300	15584695200	SAMN08952601	6269995870	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020374	HiSeq X Ten	MW-ci2_F	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S58	SRP144280	Model organism or animal	female	blood	8 week	MW-ci2_F	not collected	1
PRJNA450892	SRR7091448	WGS	299	13521211002	SAMN08952600	5441720302	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020373	HiSeq X Ten	MW2	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S57	SRP144280	Model organism or animal	female	blood	8 week	MW2	not collected	1
PRJNA450892	SRR7091449	WGS	299	11720367498	SAMN08952599	4773354329	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020372	HiSeq X Ten	MW1	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S56	SRP144280	Model organism or animal	male	blood	8 week	MW1	not collected	1
PRJNA450892	SRR7091450	WGS	300	15779082000	SAMN08952598	6448511302	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020371	HiSeq X Ten	LS-ci2_F	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S55	SRP144280	Model organism or animal	female	blood	8 week	LS-ci2_F	not collected	1
PRJNA450892	SRR7091451	WGS	299	12530773719	SAMN08952597	5376947154	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020370	HiSeq X Ten	LS2	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S54	SRP144280	Model organism or animal	female	blood	8 week	LS2	not collected	1
PRJNA450892	SRR7091452	WGS	299	11081255027	SAMN08952596	4815640603	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020369	HiSeq X Ten	LS1	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S53	SRP144280	Model organism or animal	male	blood	8 week	LS1	not collected	1
PRJNA450892	SRR7091453	WGS	300	21516513900	SAMN08952595	8605174453	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020368	HiSeq X Ten	LC-ci2_F	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S52	SRP144280	Model organism or animal	female	blood	8 week	LC-ci2_F	not collected	1
PRJNA450892	SRR7091454	WGS	299	10297412064	SAMN08952594	4475648847	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020367	HiSeq X Ten	LC2	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S51	SRP144280	Model organism or animal	female	blood	8 week	LC2	not collected	1
PRJNA450892	SRR7091455	WGS	299	11782396642	SAMN08952603	5070548699	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020366	HiSeq X Ten	PT2	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S60	SRP144280	Model organism or animal	female	blood	8 week	PT2	not collected	1
PRJNA450892	SRR7091456	WGS	299	12207783144	SAMN08952602	5274615231	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020365	HiSeq X Ten	PT1	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S59	SRP144280	Model organism or animal	male	blood	8 week	PT1	not collected	1
PRJNA450892	SRR7091457	WGS	274	13189019600	SAMN08952545	5028452403	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020364	Illumina HiSeq 2000	7	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S2	SRP144280	Model organism or animal	female	blood	8 week	7	not collected	1
PRJNA450892	SRR7091458	WGS	280	14206058650	SAMN08952544	5269249993	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020363	Illumina HiSeq 2000	6	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S1	SRP144280	Model organism or animal	female	blood	8 week	6	not collected	1
PRJNA450892	SRR7091459	WGS	276	14566437200	SAMN08952547	5352026926	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020362	Illumina HiSeq 2000	10	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S4	SRP144280	Model organism or animal	female	blood	8 week	10	not collected	1
PRJNA450892	SRR7091460	WGS	278	13874619900	SAMN08952546	5277444579	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020361	Illumina HiSeq 2000	9	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S3	SRP144280	Model organism or animal	female	blood	8 week	9	not collected	1
PRJNA450892	SRR7091461	WGS	273	12753192750	SAMN08952549	4823636252	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020360	Illumina HiSeq 2000	17	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S6	SRP144280	Model organism or animal	female	blood	8 week	17	not collected	1
PRJNA450892	SRR7091462	WGS	277	12284652900	SAMN08952548	4633885067	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020359	Illumina HiSeq 2000	16	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S5	SRP144280	Model organism or animal	female	blood	8 week	16	not collected	1
PRJNA450892	SRR7091463	WGS	280	13953590050	SAMN08952551	5232093573	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020358	Illumina HiSeq 2000	21	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S8	SRP144280	Model organism or animal	female	blood	8 week	21	not collected	1
PRJNA450892	SRR7091464	WGS	278	12976187150	SAMN08952550	4932597575	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020357	Illumina HiSeq 2000	18	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S7	SRP144280	Model organism or animal	female	blood	8 week	18	not collected	1
PRJNA450892	SRR7091465	WGS	276	13174512300	SAMN08952553	4856224017	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020356	Illumina HiSeq 2000	26	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S10	SRP144280	Model organism or animal	female	blood	8 week	26	not collected	1
PRJNA450892	SRR7091466	WGS	274	11501056950	SAMN08952552	4467551238	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020355	Illumina HiSeq 2000	25	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S9	SRP144280	Model organism or animal	female	blood	8 week	25	not collected	1
PRJNA450892	SRR7091468	WGS	275	12485587500	SAMN08952567	4770251490	INSTITUTE OF ANIMAL SCIENCES (IAS), CHINESE ACADEMY OF AGRICULTURAL SCIENCES (CAAS)	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4020353	Illumina HiSeq 2000	64	PAIRED	PCR	GENOMIC	Anas_platyrhynchos	ILLUMINA	2018-05-02T00:00:00Z	S24	SRP144280	Model organism or animal	female	blood	8 week	64	not collected	1
