BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	AGE	Ecotype	Biomaterial_provider	Collection_date	Sample_Type	Sample_code	use_species
PRJNA642736	SRR12106960	WGS	300	13317401400	SAMN15398037	5686582645	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631042	Illumina NovaSeq 6000	Pacific35_Vancouver_Pacific_rg3	PAIRED	RANDOM	GENOMIC	Clupea_pallasii	ILLUMINA	2020-12-07T00:00:00Z	Pacific35	SRP269168	Model organism or animal	unknown	missing	NA	adult	NA	Canada:Vancouver	NA	NA	individual	Pacific35	1
PRJNA642736	SRR12106961	WGS	300	12800255100	SAMN15398037	5434365220	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631041	Illumina NovaSeq 6000	Pacific35_Vancouver_Pacific_rg2	PAIRED	RANDOM	GENOMIC	Clupea_pallasii	ILLUMINA	2020-12-07T00:00:00Z	Pacific35	SRP269168	Model organism or animal	unknown	missing	NA	adult	NA	Canada:Vancouver	NA	NA	individual	Pacific35	1
PRJNA642736	SRR12106962	WGS	300	13227622200	SAMN15398037	5600988695	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631040	Illumina NovaSeq 6000	Pacific35_Vancouver_Pacific_rg1	PAIRED	RANDOM	GENOMIC	Clupea_pallasii	ILLUMINA	2020-12-07T00:00:00Z	Pacific35	SRP269168	Model organism or animal	unknown	missing	NA	adult	NA	Canada:Vancouver	NA	NA	individual	Pacific35	1
PRJNA642736	SRR12106963	WGS	300	7344657900	SAMN15398036	3098824138	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631039	Illumina NovaSeq 6000	Pacific30_Vancouver_Pacific_rg3	PAIRED	RANDOM	GENOMIC	Clupea_pallasii	ILLUMINA	2020-12-07T00:00:00Z	Pacific30	SRP269168	Model organism or animal	unknown	missing	NA	adult	NA	Canada:Vancouver	NA	NA	individual	Pacific30	1
PRJNA642736	SRR12106964	WGS	300	7271668200	SAMN15398036	3048558292	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631038	Illumina NovaSeq 6000	Pacific30_Vancouver_Pacific_rg2	PAIRED	RANDOM	GENOMIC	Clupea_pallasii	ILLUMINA	2020-12-07T00:00:00Z	Pacific30	SRP269168	Model organism or animal	unknown	missing	NA	adult	NA	Canada:Vancouver	NA	NA	individual	Pacific30	1
PRJNA642736	SRR12106965	WGS	300	13890557100	SAMN15398033	5861945607	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631037	Illumina NovaSeq 6000	Pacific3_Vancouver_Pacific_rg2	PAIRED	RANDOM	GENOMIC	Clupea_pallasii	ILLUMINA	2020-12-07T00:00:00Z	Pacific3	SRP269168	Model organism or animal	unknown	missing	NA	adult	NA	Canada:Vancouver	NA	NA	individual	Pacific3	1
PRJNA642736	SRR12106966	WGS	300	13662280800	SAMN15398033	5752426563	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631036	Illumina NovaSeq 6000	Pacific3_Vancouver_Pacific_rg1	PAIRED	RANDOM	GENOMIC	Clupea_pallasii	ILLUMINA	2020-12-07T00:00:00Z	Pacific3	SRP269168	Model organism or animal	unknown	missing	NA	adult	NA	Canada:Vancouver	NA	NA	individual	Pacific3	1
PRJNA642736	SRR12106932	WGS	300	17351566200	SAMN15398034	7309733034	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8631070	Illumina NovaSeq 6000	Pacific5_Vancouver_Pacific_rg2	PAIRED	RANDOM	GENOMIC	Clupea_pallasii	ILLUMINA	2020-12-07T00:00:00Z	Pacific5	SRP269168	Model organism or animal	unknown	missing	NA	adult	NA	Canada:Vancouver	NA	NA	individual	Pacific5	1
PRJNA338612	SRR5410387	WGS	299	396862069	SAMN05589107	175737370	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2702505	Illumina HiSeq 2500	PH6.lib	PAIRED	RANDOM	GENOMIC	Clupea_pallasii	ILLUMINA	2017-04-05T00:00:00Z	PH6	SRP102201	Model organism or animal	missing	Muscle	Individual PH6	NA	missing	NA	Andersson Lab\, Uppsala University\, Sweden	2014	Individual DNA	NA	1
PRJNA338612	SRR5410389	WGS	299	229273921	SAMN05589105	102461182	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2702507	Illumina HiSeq 2500	PH4.lib	PAIRED	RANDOM	GENOMIC	Clupea_pallasii	ILLUMINA	2017-04-05T00:00:00Z	PH4	SRP102201	Model organism or animal	missing	Muscle	Individual PH4	NA	missing	NA	Andersson Lab\, Uppsala University\, Sweden	2014	Individual DNA	NA	1
PRJNA338612	SRR5410390	WGS	299	112369076	SAMN05589104	49479199	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2702508	Illumina HiSeq 2500	PH3.lib	PAIRED	RANDOM	GENOMIC	Clupea_pallasii	ILLUMINA	2017-04-05T00:00:00Z	PH3	SRP102201	Model organism or animal	missing	Muscle	Individual PH3	NA	missing	NA	Andersson Lab\, Uppsala University\, Sweden	2014	Individual DNA	NA	1
PRJNA338612	SRR5410391	WGS	299	268799272	SAMN05589103	119178877	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2702509	Illumina HiSeq 2500	PH2.lib	PAIRED	RANDOM	GENOMIC	Clupea_pallasii	ILLUMINA	2017-04-05T00:00:00Z	PH2	SRP102201	Model organism or animal	missing	Muscle	Individual PH2	NA	missing	NA	Andersson Lab\, Uppsala University\, Sweden	2014	Individual DNA	NA	1
PRJNA338612	SRR5410392	WGS	299	301812296	SAMN05589102	132956526	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2702510	Illumina HiSeq 2500	PH1.lib	PAIRED	RANDOM	GENOMIC	Clupea_pallasii	ILLUMINA	2017-04-05T00:00:00Z	PH1	SRP102201	Model organism or animal	missing	Muscle	Individual PH1	NA	missing	NA	Andersson Lab\, Uppsala University\, Sweden	2014	Individual DNA	NA	1
PRJNA338612	SRR5410388	WGS	299	300710600	SAMN05589106	133608414	UPPSALA UNIVERSITY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2702506	Illumina HiSeq 2500	PH5.lib	PAIRED	RANDOM	GENOMIC	Clupea_pallasii	ILLUMINA	2017-04-05T00:00:00Z	PH5	SRP102201	Model organism or animal	missing	Muscle	Individual PH5	NA	missing	NA	Andersson Lab\, Uppsala University\, Sweden	2014	Individual DNA	NA	1
