BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	AGE	Ecotype	Strain	Breed	Cultivar	COUNTRY	use_species
PRJNA690558	SRR13394217	WGS	302	8613719802	SAMN17251334	2668225790	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813477	Illumina NovaSeq 6000	GEO2A8	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	GEO2A8	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	GEO2A8	not applicable	not applicable	NA	1
PRJNA690558	SRR13394218	WGS	302	17840486920	SAMN17251333	5660567898	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813476	Illumina NovaSeq 6000	GEO2A7	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	GEO2A7	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	GEO2A7	not applicable	not applicable	NA	1
PRJNA690558	SRR13394220	WGS	302	11960015400	SAMN17251331	3776206416	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813474	Illumina NovaSeq 6000	GEO2A5	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	GEO2A5	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	GEO2A5	not applicable	not applicable	NA	1
PRJNA690558	SRR13394221	WGS	302	10396206248	SAMN17251330	3268037361	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813473	Illumina NovaSeq 6000	GEO2A4	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	GEO2A4	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	GEO2A4	not applicable	not applicable	NA	1
PRJNA690558	SRR13394224	WGS	302	13092201320	SAMN17251328	4040974576	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813470	Illumina NovaSeq 6000	GEO2A2	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	GEO2A2	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	GEO2A2	not applicable	not applicable	NA	1
PRJNA690558	SRR13394226	WGS	302	14382277672	SAMN17251326	4376058554	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813468	Illumina NovaSeq 6000	GEO2A1	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	GEO2A1	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	GEO2A1	not applicable	not applicable	NA	1
PRJNA690558	SRR13394227	WGS	302	8246553034	SAMN17251325	3652466247	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813467	Illumina NovaSeq 6000	FLSA1	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	FLSA1	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	FLSA1	not applicable	not applicable	NA	1
PRJNA690558	SRR13394228	WGS	302	780800464	SAMN17251324	328000904	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813466	Illumina NovaSeq 6000	FCTA1	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	FCTA1	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	FCTA1	not applicable	not applicable	NA	1
PRJNA690558	SRR13394229	WGS	302	7669822124	SAMN17251323	3061360819	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813465	Illumina NovaSeq 6000	EXUA2	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	EXUA2	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	EXUA2	not applicable	not applicable	NA	1
PRJNA690558	SRR13394230	WGS	302	8938495132	SAMN17251322	4018699702	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813464	Illumina NovaSeq 6000	EXUA1	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	EXUA1	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	EXUA1	not applicable	not applicable	NA	1
PRJNA690558	SRR13394231	WGS	302	5537885740	SAMN17251321	2340837746	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813463	Illumina NovaSeq 6000	EPLA1	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	EPLA1	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	EPLA1	not applicable	not applicable	NA	1
PRJNA690558	SRR13394232	WGS	302	6972458824	SAMN17251320	3138454470	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813462	Illumina NovaSeq 6000	DEAA1	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	DEAA1	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	DEAA1	not applicable	not applicable	NA	1
PRJNA690558	SRR13394280	WGS	302	6472295484	SAMN17251277	2704005505	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813414	Illumina NovaSeq 6000	CLRA1	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	CLRA1	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	CLRA1	not applicable	not applicable	NA	1
PRJNA690558	SRR13394282	WGS	301	14998854490	SAMN17251435	6273103060	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813412	Illumina NovaSeq 6000	WDPA1	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	WDPA1	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	WDPA1	not applicable	not applicable	NA	1
PRJNA690558	SRR13394289	WGS	302	6554032086	SAMN17251276	2603974548	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813405	Illumina NovaSeq 6000	CATA1	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	CATA1	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	CATA1	not applicable	not applicable	NA	1
PRJNA690558	SRR13394298	WGS	301	9490000994	SAMN17251420	4042556322	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813396	Illumina NovaSeq 6000	SPPA1	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	SPPA1	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	SPPA1	not applicable	not applicable	NA	1
PRJNA690558	SRR13394299	WGS	302	6104720714	SAMN17251419	2589132771	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813395	Illumina NovaSeq 6000	SCLA1	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	SCLA1	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	SCLA1	not applicable	not applicable	NA	1
PRJNA690558	SRR13394300	WGS	302	6971087744	SAMN17251275	3427837235	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813394	Illumina NovaSeq 6000	CAIA1	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	CAIA1	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	CAIA1	not applicable	not applicable	NA	1
PRJNA690558	SRR13394302	WGS	302	2470420702	SAMN17251417	997627380	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813392	Illumina NovaSeq 6000	RHPA1	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	RHPA1	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	RHPA1	not applicable	not applicable	NA	1
PRJNA690558	SRR13394303	WGS	302	13493334934	SAMN17251416	5594475637	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813391	Illumina NovaSeq 6000	PWLA1	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	PWLA1	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	PWLA1	not applicable	not applicable	NA	1
PRJNA690558	SRR13394317	WGS	302	8690551018	SAMN17251403	3943140333	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813377	Illumina NovaSeq 6000	OYSA2	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	OYSA2	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	OYSA2	not applicable	not applicable	NA	1
PRJNA690558	SRR13394318	WGS	302	11313674698	SAMN17251402	5168532098	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813376	Illumina NovaSeq 6000	OYSA1	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	OYSA1	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	OYSA1	not applicable	not applicable	NA	1
PRJNA690558	SRR13394337	WGS	302	9895511690	SAMN17251385	3100805456	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813357	Illumina NovaSeq 6000	OSPA9	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	OSPA9	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	OSPA9	not applicable	not applicable	NA	1
PRJNA690558	SRR13394338	WGS	302	9909685758	SAMN17251384	3067223633	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813356	Illumina NovaSeq 6000	OSPA8	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	OSPA8	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	OSPA8	not applicable	not applicable	NA	1
PRJNA690558	SRR13394339	WGS	302	12775557038	SAMN17251383	3925777808	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813355	Illumina NovaSeq 6000	OSPA7	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	OSPA7	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	OSPA7	not applicable	not applicable	NA	1
PRJNA690558	SRR13394340	WGS	302	12619696650	SAMN17251382	3940780543	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813354	Illumina NovaSeq 6000	OSPA6	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	OSPA6	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	OSPA6	not applicable	not applicable	NA	1
PRJNA690558	SRR13394341	WGS	302	12066171118	SAMN17251381	5446026915	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813353	Illumina NovaSeq 6000	OSPA5	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	OSPA5	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	OSPA5	not applicable	not applicable	NA	1
PRJNA690558	SRR13394342	WGS	302	9033236458	SAMN17251380	4013023444	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813352	Illumina NovaSeq 6000	OSPA4	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	OSPA4	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	OSPA4	not applicable	not applicable	NA	1
PRJNA690558	SRR13394343	WGS	302	7615638492	SAMN17251379	2374660128	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813351	Illumina NovaSeq 6000	OSPA13	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	OSPA13	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	OSPA13	not applicable	not applicable	NA	1
PRJNA690558	SRR13394345	WGS	302	9008020364	SAMN17251378	2816301582	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813349	Illumina NovaSeq 6000	OSPA12	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	OSPA12	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	OSPA12	not applicable	not applicable	NA	1
PRJNA690558	SRR13394346	WGS	302	8237248112	SAMN17251377	2553555488	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813348	Illumina NovaSeq 6000	OSPA11	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	OSPA11	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	OSPA11	not applicable	not applicable	NA	1
PRJNA690558	SRR13394347	WGS	302	34665214658	SAMN17251376	16053089940	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813347	Illumina NovaSeq 6000	OSPA10	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	OSPA10	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	OSPA10	not applicable	not applicable	NA	1
PRJNA690558	SRR13394348	WGS	300	12047397600	SAMN17251375	5880154805	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813346	Illumina NovaSeq 6000	NLLA1	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	NLLA1	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NLLA1	not applicable	not applicable	NA	1
PRJNA690558	SRR13394349	WGS	302	8309603386	SAMN17251374	2562700399	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813345	Illumina NovaSeq 6000	NCCA9	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	NCCA9	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NCCA9	not applicable	not applicable	NA	1
PRJNA690558	SRR13394350	WGS	302	18463026398	SAMN17251373	5698125648	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813344	Illumina NovaSeq 6000	NCCA8	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	NCCA8	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NCCA8	not applicable	not applicable	NA	1
PRJNA690558	SRR13394351	WGS	302	18907814112	SAMN17251372	5959442926	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813343	Illumina NovaSeq 6000	NCCA7	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	NCCA7	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NCCA7	not applicable	not applicable	NA	1
PRJNA690558	SRR13394352	WGS	302	4708802422	SAMN17251371	1988266526	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813342	Illumina NovaSeq 6000	NCCA6	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	NCCA6	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NCCA6	not applicable	not applicable	NA	1
PRJNA690558	SRR13394353	WGS	302	9510385284	SAMN17251370	4183694434	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813341	Illumina NovaSeq 6000	NCCA5	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	NCCA5	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NCCA5	not applicable	not applicable	NA	1
PRJNA690558	SRR13394354	WGS	302	11997673894	SAMN17251369	5032249393	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813340	Illumina NovaSeq 6000	NCCA4	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	NCCA4	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NCCA4	not applicable	not applicable	NA	1
PRJNA690558	SRR13394356	WGS	302	16798234184	SAMN17251368	6867870806	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813338	Illumina NovaSeq 6000	NCCA3	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	NCCA3	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NCCA3	not applicable	not applicable	NA	1
PRJNA690558	SRR13394357	WGS	302	5134728424	SAMN17251367	2124594396	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813337	Illumina NovaSeq 6000	NCCA2	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	NCCA2	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NCCA2	not applicable	not applicable	NA	1
PRJNA690558	SRR13394358	WGS	302	32884993816	SAMN17251366	14698593818	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813336	Illumina NovaSeq 6000	NCCA15	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-10T00:00:00Z	NCCA15	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NCCA15	not applicable	not applicable	NA	1
PRJNA690558	SRR13394359	WGS	302	12310381908	SAMN17251365	3875392992	UNIVERSITY OF CALIFORNIA BERKELEY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9813335	Illumina NovaSeq 6000	NCCA12	PAIRED	RANDOM	GENOMIC	Cyprinodon_variegatus	ILLUMINA	2021-01-09T00:00:00Z	NCCA12	SRP301081	Model organism or animal	unknown	muscle	not applicable	not collected	not collected	not applicable	NCCA12	not applicable	not applicable	NA	1
